@relation 'Sax dominant'

@attribute o1atMaa numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atLcc numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o2atLcc numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMaa numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMac numeric
@attribute o2atLac numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atLcc numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMaa numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute destClass {1,2}

@data
26,31,3,27,4,0,27,0,31,0,27,4,14,15,30,0,16,15,1,31,16,15,0,30,1,15,27,31,3,28,4,27,3,0,0,31,0,4,0,31,2.0
29,31,1,30,2,0,30,0,31,0,29,1,29,1,31,0,2,30,0,31,1,29,0,31,0,30,10,31,19,11,20,11,20,0,0,31,0,20,0,31,1.0
31,31,0,31,0,0,31,0,31,0,31,0,26,4,30,0,5,27,1,31,4,26,0,30,1,27,18,31,11,19,12,19,12,0,0,31,0,12,0,31,2.0
31,31,0,31,0,0,31,0,31,0,31,0,14,15,30,0,16,15,1,31,16,15,0,30,1,15,9,31,17,12,20,11,19,0,0,31,0,20,0,31,2.0
23,31,6,24,7,0,24,0,31,0,24,7,7,22,26,4,23,8,5,27,23,8,4,26,5,8,13,31,17,14,18,13,17,0,0,31,0,18,0,31,2.0
29,31,1,30,2,0,30,0,31,0,29,1,21,7,31,0,9,23,0,31,8,22,0,31,0,23,13,27,16,14,16,14,17,2,2,28,3,17,3,28,1.0
29,31,1,30,2,0,30,0,31,0,29,1,18,11,31,0,12,19,0,31,12,19,0,31,0,19,18,31,10,20,12,19,11,0,0,31,0,12,0,31,1.0
27,31,2,28,3,0,28,0,31,0,28,3,3,26,30,0,27,4,1,31,27,4,0,30,1,4,8,31,20,10,22,9,21,0,0,31,0,22,0,31,1.0
26,31,3,27,4,0,27,0,31,0,27,4,14,15,30,0,16,15,1,31,16,15,0,30,1,15,23,31,5,25,7,24,6,0,0,31,0,7,0,31,2.0
23,31,6,24,7,0,24,0,31,0,24,7,7,22,26,4,23,8,5,27,23,8,4,26,5,8,11,31,17,13,19,12,18,0,0,31,0,19,0,31,1.0
27,31,2,28,3,0,28,0,31,0,28,3,17,11,29,1,13,19,2,30,12,18,1,29,2,19,16,27,11,18,12,18,13,2,2,28,3,13,3,28,2.0
29,31,1,30,2,0,30,0,31,0,29,1,14,14,31,0,16,16,0,31,15,15,0,31,0,16,10,27,19,11,19,11,20,2,2,28,3,20,3,28,1.0
29,31,1,30,2,0,30,0,31,0,29,1,18,11,31,0,12,19,0,31,12,19,0,31,0,19,11,27,17,13,18,12,18,2,2,28,3,19,3,28,1.0
29,31,1,30,2,0,30,0,31,0,29,1,19,9,31,0,11,21,0,31,10,20,0,31,0,21,13,27,14,15,15,15,16,2,2,28,3,16,3,28,1.0
29,31,1,30,2,0,30,0,31,0,29,1,21,7,31,0,9,23,0,31,8,22,0,31,0,23,15,31,12,17,14,17,14,0,0,31,0,14,0,31,2.0
31,31,0,31,0,0,31,0,31,0,31,0,26,4,30,0,5,27,1,31,4,26,0,30,1,27,21,31,8,22,9,22,9,0,0,31,0,9,0,31,2.0
29,31,1,30,2,0,30,0,31,0,29,1,18,10,31,0,12,20,0,31,11,19,0,31,0,20,13,27,16,14,16,14,17,2,2,28,3,17,3,28,1.0
29,31,1,30,2,0,30,0,31,0,29,1,30,0,31,0,1,31,0,31,0,30,0,31,0,31,25,31,4,26,5,26,5,0,0,31,0,5,0,31,2.0
26,31,3,27,4,0,27,0,31,0,27,4,5,24,26,4,25,6,5,27,25,6,4,26,5,6,8,31,22,9,23,8,22,0,0,31,0,23,0,31,1.0
19,27,10,19,11,2,20,3,28,3,20,11,9,20,25,4,21,10,5,26,21,10,5,26,5,10,16,25,14,17,15,16,14,5,6,26,6,15,5,25,2.0
24,31,4,26,6,0,26,0,31,0,25,5,14,15,31,0,16,15,0,31,16,15,0,31,0,15,15,27,13,17,14,16,14,2,2,28,3,15,3,28,1.0
29,31,1,30,2,0,30,0,31,0,29,1,16,13,31,0,14,17,0,31,14,17,0,31,0,17,10,31,18,12,20,11,19,0,0,31,0,20,0,31,1.0
31,31,0,31,0,0,31,0,31,0,31,0,29,1,30,0,2,30,1,31,1,29,0,30,1,30,21,31,6,23,8,23,8,0,0,31,0,8,0,31,2.0
29,31,1,30,2,0,30,0,31,0,29,1,18,10,31,0,12,20,0,31,11,19,0,31,0,20,13,31,14,15,16,15,16,0,0,31,0,16,0,31,1.0
25,31,3,27,5,0,27,0,31,0,26,4,13,16,31,0,17,14,0,31,17,14,0,31,0,14,15,31,13,17,15,16,14,0,0,31,0,15,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,13,16,31,0,17,14,0,31,17,14,0,31,0,14,9,31,19,11,21,10,20,0,0,31,0,21,0,31,1.0
25,31,3,27,5,0,27,0,31,0,26,4,17,12,31,0,13,18,0,31,13,18,0,31,0,18,19,31,9,21,11,20,10,0,0,31,0,11,0,31,2.0
26,31,3,27,4,0,27,0,31,0,27,4,10,19,26,4,20,11,5,27,20,11,4,26,5,11,9,31,21,10,22,9,21,0,0,31,0,22,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,17,12,31,0,13,18,0,31,13,18,0,31,0,18,11,27,17,13,18,12,18,2,2,28,3,19,3,28,1.0
26,31,3,27,4,0,27,0,31,0,27,4,14,15,29,1,16,15,2,30,16,15,1,29,2,15,16,31,14,17,15,16,14,0,0,31,0,15,0,31,2.0
26,31,3,27,4,0,27,0,31,0,27,4,6,23,30,0,24,7,1,31,24,7,0,30,1,7,8,31,20,10,22,9,21,0,0,31,0,22,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,14,14,31,0,16,16,0,31,15,15,0,31,0,16,10,31,19,11,20,11,20,0,0,31,0,20,0,31,1.0
31,31,0,31,0,0,31,0,31,0,31,0,18,10,30,0,12,20,1,31,11,19,0,30,1,20,10,31,19,11,20,11,20,0,0,31,0,20,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,21,7,31,0,9,23,0,31,8,22,0,31,0,23,13,27,16,14,16,14,17,2,2,28,3,17,3,28,1.0
31,31,0,31,0,0,31,0,31,0,31,0,17,11,30,0,13,19,1,31,12,18,0,30,1,19,9,31,20,10,21,10,21,0,0,31,0,21,0,31,1.0
31,31,0,31,0,0,31,0,31,0,31,0,26,4,30,0,5,27,1,31,4,26,0,30,1,27,20,31,9,21,10,21,10,0,0,31,0,10,0,31,2.0
23,31,6,24,7,0,24,0,31,0,24,7,12,15,25,4,17,14,5,26,17,14,5,26,5,14,13,21,17,14,18,13,17,9,10,22,10,18,9,21,2.0
16,26,13,16,14,3,17,4,27,4,17,14,2,27,26,4,28,3,5,27,28,3,4,26,5,3,17,26,13,18,14,17,13,3,4,27,4,14,4,27,2.0
31,31,0,31,0,0,31,0,31,0,31,0,26,4,30,0,5,27,1,31,4,26,0,30,1,27,21,31,8,22,9,22,9,0,0,31,0,9,0,31,2.0
23,31,6,24,7,0,24,0,31,0,24,7,3,26,25,4,27,4,5,26,27,4,5,26,5,4,9,25,21,10,22,9,21,5,6,26,6,22,5,25,1.0
31,31,0,31,0,0,31,0,31,0,31,0,17,10,30,0,12,19,1,31,12,19,0,30,1,19,14,27,14,16,15,15,15,2,2,28,3,16,3,28,1.0
27,31,2,28,3,0,28,0,31,0,28,3,26,4,30,0,5,27,1,31,4,26,0,30,1,27,24,31,5,25,6,25,6,0,0,31,0,6,0,31,2.0
27,31,2,28,3,0,28,0,31,0,28,3,10,19,30,0,20,11,1,31,20,11,0,30,1,11,11,31,17,13,19,12,18,0,0,31,0,19,0,31,1.0
20,27,9,20,10,2,21,3,28,3,21,10,10,19,26,4,20,11,5,27,20,11,4,26,5,11,16,22,14,17,15,16,14,7,8,23,8,15,8,23,2.0
29,31,1,30,2,0,30,0,31,0,29,1,18,8,31,0,11,21,0,31,10,20,0,31,0,21,12,31,15,14,17,14,17,0,0,31,0,17,0,31,1.0
5,23,24,5,25,6,6,7,24,7,6,25,0,31,17,10,31,0,12,19,31,0,12,19,12,0,16,21,14,17,15,16,14,9,10,22,10,15,9,21,2.0
31,31,0,31,0,0,31,0,31,0,31,0,26,4,30,0,5,27,1,31,4,26,0,30,1,27,20,31,7,22,9,22,9,0,0,31,0,9,0,31,2.0
15,27,12,16,14,2,17,3,28,3,17,14,0,31,23,7,31,0,8,24,31,0,7,23,8,0,13,26,17,14,18,13,17,3,4,27,4,18,4,27,2.0
29,31,1,30,2,0,30,0,31,0,29,1,20,8,31,0,10,22,0,31,9,21,0,31,0,22,10,31,19,11,20,11,20,0,0,31,0,20,0,31,1.0
27,31,2,28,3,0,28,0,31,0,28,3,13,16,30,0,17,14,1,31,17,14,0,30,1,14,15,31,13,17,15,16,14,0,0,31,0,15,0,31,1.0
25,31,3,27,5,0,27,0,31,0,26,4,14,15,31,0,16,15,0,31,16,15,0,31,0,15,18,31,10,20,12,19,11,0,0,31,0,12,0,31,2.0
29,31,1,30,2,0,30,0,31,0,29,1,26,4,31,0,5,27,0,31,4,26,0,31,0,27,13,31,16,14,17,14,17,0,0,31,0,17,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,15,12,31,0,14,17,0,31,14,17,0,31,0,17,11,31,17,13,19,12,18,0,0,31,0,19,0,31,1.0
31,31,0,31,0,0,31,0,31,0,31,0,27,3,30,0,4,28,1,31,3,27,0,30,1,28,21,31,8,22,9,22,9,0,0,31,0,9,0,31,2.0
19,27,8,20,10,2,21,3,28,3,21,10,14,15,18,10,16,15,12,20,16,15,11,19,12,15,16,18,14,17,14,16,14,9,10,20,11,15,11,20,2.0
31,31,0,31,0,0,31,0,31,0,31,0,13,16,30,0,17,14,1,31,17,14,0,30,1,14,15,31,13,17,15,16,14,0,0,31,0,15,0,31,1.0
31,31,0,31,0,0,31,0,31,0,31,0,29,1,30,0,2,30,1,31,1,29,0,30,1,30,24,31,5,25,6,25,6,0,0,31,0,6,0,31,2.0
31,31,0,31,0,0,31,0,31,0,31,0,29,1,30,0,2,30,1,31,1,29,0,30,1,30,21,31,8,22,9,22,9,0,0,31,0,9,0,31,2.0
29,31,1,30,2,0,30,0,31,0,29,1,15,14,31,0,15,16,0,31,15,16,0,31,0,16,13,31,15,15,17,14,16,0,0,31,0,17,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,17,12,31,0,13,18,0,31,13,18,0,31,0,18,15,31,13,17,15,16,14,0,0,31,0,15,0,31,1.0
26,31,3,27,4,0,27,0,31,0,27,4,9,20,24,5,21,10,6,25,21,10,6,25,6,10,9,25,21,10,22,9,21,5,6,26,6,22,5,25,1.0
29,31,1,30,2,0,30,0,31,0,29,1,17,12,31,0,13,18,0,31,13,18,0,31,0,18,15,31,13,17,15,16,14,0,0,31,0,15,0,31,1.0
26,31,3,27,4,0,27,0,31,0,27,4,10,19,23,7,20,11,8,24,20,11,7,23,8,11,9,27,21,10,22,9,21,2,3,28,3,22,3,28,1.0
23,27,6,23,7,2,24,3,28,3,24,7,10,19,26,4,20,11,5,27,20,11,4,26,5,11,13,31,17,14,18,13,17,0,0,31,0,18,0,31,2.0
31,31,0,31,0,0,31,0,31,0,31,0,15,12,30,0,14,17,1,31,14,17,0,30,1,17,14,31,14,16,16,15,15,0,0,31,0,16,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,26,4,31,0,5,27,0,31,4,26,0,31,0,27,19,31,8,21,10,21,10,0,0,31,0,10,0,31,2.0
31,31,0,31,0,0,31,0,31,0,31,0,17,12,30,0,13,18,1,31,13,18,0,30,1,18,16,31,12,18,14,17,13,0,0,31,0,14,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,17,11,31,0,13,19,0,31,12,18,0,31,0,19,13,27,16,14,16,14,17,2,2,28,3,17,3,28,1.0
29,31,1,30,2,0,30,0,31,0,29,1,14,14,31,0,16,16,0,31,15,15,0,31,0,16,10,31,19,11,20,11,20,0,0,31,0,20,0,31,1.0
31,31,0,31,0,0,31,0,31,0,31,0,26,4,30,0,5,27,1,31,4,26,0,30,1,27,21,28,8,22,9,22,9,1,2,29,2,9,2,29,2.0
27,31,2,28,3,0,28,0,31,0,28,3,26,4,30,0,5,27,1,31,4,26,0,30,1,27,21,31,8,22,9,22,9,0,0,31,0,9,0,31,2.0
31,31,0,31,0,0,31,0,31,0,31,0,26,4,30,0,5,27,1,31,4,26,0,30,1,27,20,31,7,22,9,22,9,0,0,31,0,9,0,31,2.0
29,31,1,30,2,0,30,0,31,0,29,1,29,1,31,0,2,30,0,31,1,29,0,31,0,30,20,27,7,22,8,22,9,2,2,28,3,9,3,28,2.0
27,31,2,28,3,0,28,0,31,0,28,3,14,15,30,0,16,15,1,31,16,15,0,30,1,15,15,31,13,17,15,16,14,0,0,31,0,15,0,31,1.0
22,31,7,23,8,0,23,0,31,0,23,8,11,18,26,4,19,12,5,27,19,12,4,26,5,12,17,26,13,18,14,17,13,3,4,27,4,14,4,27,2.0
23,31,6,24,7,0,24,0,31,0,24,7,7,22,25,4,23,8,5,26,23,8,5,26,5,8,13,21,17,14,18,13,17,9,10,22,10,18,9,21,2.0
26,31,3,27,4,0,27,0,31,0,27,4,14,15,30,0,16,15,1,31,16,15,0,30,1,15,18,31,10,20,12,19,11,0,0,31,0,12,0,31,2.0
27,31,2,28,3,0,28,0,31,0,28,3,7,22,26,4,23,8,5,27,23,8,4,26,5,8,8,31,20,10,22,9,21,0,0,31,0,22,0,31,1.0
31,31,0,31,0,0,31,0,31,0,31,0,25,3,30,0,5,27,1,31,4,26,0,30,1,27,20,31,7,22,9,22,9,0,0,31,0,9,0,31,2.0
23,31,6,24,7,0,24,0,31,0,24,7,20,9,30,0,10,21,1,31,10,21,0,30,1,21,27,24,3,28,4,27,3,5,6,25,6,4,6,25,2.0
29,31,1,30,2,0,30,0,31,0,29,1,17,12,31,0,13,18,0,31,13,18,0,31,0,18,15,31,13,17,15,16,14,0,0,31,0,15,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,16,12,31,0,14,18,0,31,13,17,0,31,0,18,15,31,12,17,14,17,14,0,0,31,0,14,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,21,7,31,0,9,23,0,31,8,22,0,31,0,23,20,31,7,22,9,22,9,0,0,31,0,9,0,31,2.0
31,31,0,31,0,0,31,0,31,0,31,0,26,4,30,0,5,27,1,31,4,26,0,30,1,27,21,31,8,22,9,22,9,0,0,31,0,9,0,31,2.0
23,26,6,23,7,3,24,4,27,4,24,7,17,12,30,0,13,18,1,31,13,18,0,30,1,18,22,31,6,24,8,23,7,0,0,31,0,8,0,31,2.0
29,31,1,30,2,0,30,0,31,0,29,1,17,12,31,0,13,18,0,31,13,18,0,31,0,18,11,27,17,13,18,12,18,2,2,28,3,19,3,28,1.0
29,31,1,30,2,0,30,0,31,0,29,1,17,12,31,0,13,18,0,31,13,18,0,31,0,18,16,27,12,18,13,17,13,2,2,28,3,14,3,28,1.0
31,31,0,31,0,0,31,0,31,0,31,0,26,4,30,0,5,27,1,31,4,26,0,30,1,27,21,31,8,22,9,22,9,0,0,31,0,9,0,31,2.0
31,31,0,31,0,0,31,0,31,0,31,0,26,4,30,0,5,27,1,31,4,26,0,30,1,27,20,31,9,21,10,21,10,0,0,31,0,10,0,31,2.0
29,31,1,30,2,0,30,0,31,0,29,1,13,16,31,0,17,14,0,31,17,14,0,31,0,14,15,31,13,17,15,16,14,0,0,31,0,15,0,31,1.0
31,31,0,31,0,0,31,0,31,0,31,0,29,1,30,0,2,30,1,31,1,29,0,30,1,30,10,31,19,11,20,11,20,0,0,31,0,20,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,17,11,31,0,13,19,0,31,12,18,0,31,0,19,10,31,19,11,20,11,20,0,0,31,0,20,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,17,12,31,0,13,18,0,31,13,18,0,31,0,18,11,31,17,13,19,12,18,0,0,31,0,19,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,15,14,31,0,15,16,0,31,15,16,0,31,0,16,12,27,16,14,17,13,17,2,2,28,3,18,3,28,1.0
29,31,1,30,2,0,30,0,31,0,29,1,17,12,31,0,13,18,0,31,13,18,0,31,0,18,15,31,13,17,15,16,14,0,0,31,0,15,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,22,6,31,0,8,24,0,31,7,23,0,31,0,24,13,27,16,14,16,14,17,2,2,28,3,17,3,28,1.0
29,31,1,30,2,0,30,0,31,0,29,1,13,16,31,0,17,14,0,31,17,14,0,31,0,14,15,31,13,17,15,16,14,0,0,31,0,15,0,31,1.0
27,31,2,28,3,0,28,0,31,0,28,3,7,22,26,4,23,8,5,27,23,8,4,26,5,8,4,31,24,6,26,5,25,0,0,31,0,26,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,20,7,31,0,9,22,0,31,9,22,0,31,0,22,11,31,17,13,19,12,18,0,0,31,0,19,0,31,1.0
25,31,3,27,5,0,27,0,31,0,26,4,26,4,31,0,5,27,0,31,4,26,0,31,0,27,20,31,7,22,9,22,9,0,0,31,0,9,0,31,2.0
29,31,1,30,2,0,30,0,31,0,29,1,17,11,31,0,13,19,0,31,12,18,0,31,0,19,13,27,16,14,16,14,17,2,2,28,3,17,3,28,1.0
31,31,0,31,0,0,31,0,31,0,31,0,25,3,30,0,5,27,1,31,4,26,0,30,1,27,19,31,8,21,10,21,10,0,0,31,0,10,0,31,2.0
31,31,0,31,0,0,31,0,31,0,31,0,26,4,30,0,5,27,1,31,4,26,0,30,1,27,24,31,5,25,6,25,6,0,0,31,0,6,0,31,2.0
31,31,0,31,0,0,31,0,31,0,31,0,21,7,30,0,9,23,1,31,8,22,0,30,1,23,16,27,11,18,13,18,13,2,3,28,3,13,3,28,2.0
23,31,6,24,7,0,24,0,31,0,24,7,0,31,17,10,31,0,12,19,31,0,12,19,12,0,7,29,21,9,23,8,22,1,2,30,2,23,1,29,1.0
23,31,6,24,7,0,24,0,31,0,24,7,9,20,21,8,21,10,9,22,21,10,9,22,9,10,7,29,21,9,23,8,22,1,2,30,2,23,1,29,1.0
29,31,1,30,2,0,30,0,31,0,29,1,15,13,31,0,15,17,0,31,14,16,0,31,0,17,10,27,19,11,19,11,20,2,2,28,3,20,3,28,1.0
31,31,0,31,0,0,31,0,31,0,31,0,22,6,30,0,8,24,1,31,7,23,0,30,1,24,17,31,10,19,12,19,12,0,0,31,0,12,0,31,2.0
31,31,0,31,0,0,31,0,31,0,31,0,29,1,30,0,2,30,1,31,1,29,0,30,1,30,24,31,5,25,6,25,6,0,0,31,0,6,0,31,2.0
19,31,10,20,11,0,20,0,31,0,20,11,2,27,22,7,28,3,8,23,28,3,8,23,8,3,12,22,18,13,19,12,18,8,9,23,9,19,8,22,2.0
5,23,24,5,25,6,6,7,24,7,6,25,0,31,14,15,31,0,16,15,31,0,16,15,16,0,16,25,14,17,15,16,14,5,6,26,6,15,5,25,2.0
31,31,0,31,0,0,31,0,31,0,31,0,27,3,30,0,4,28,1,31,3,27,0,30,1,28,25,31,4,26,5,26,5,0,0,31,0,5,0,31,2.0
29,31,1,30,2,0,30,0,31,0,29,1,14,15,31,0,16,15,0,31,16,15,0,31,0,15,11,31,17,13,19,12,18,0,0,31,0,19,0,31,1.0
26,31,3,27,4,0,27,0,31,0,27,4,10,19,26,4,20,11,5,27,20,11,4,26,5,11,7,31,21,9,23,8,22,0,0,31,0,23,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,22,6,31,0,8,24,0,31,7,23,0,31,0,24,21,31,6,23,8,23,8,0,0,31,0,8,0,31,2.0
29,31,1,30,2,0,30,0,31,0,29,1,18,11,31,0,12,19,0,31,12,19,0,31,0,19,15,31,13,17,15,16,14,0,0,31,0,15,0,31,1.0
23,31,6,24,7,0,24,0,31,0,24,7,17,12,30,0,13,18,1,31,13,18,0,30,1,18,27,31,3,28,4,27,3,0,0,31,0,4,0,31,2.0
31,31,0,31,0,0,31,0,31,0,31,0,21,7,30,0,9,23,1,31,8,22,0,30,1,23,25,31,4,26,5,26,5,0,0,31,0,5,0,31,2.0
29,31,1,30,2,0,30,0,31,0,29,1,17,12,31,0,13,18,0,31,13,18,0,31,0,18,14,31,14,16,16,15,15,0,0,31,0,16,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,18,11,31,0,12,19,0,31,12,19,0,31,0,19,15,31,13,17,15,16,14,0,0,31,0,15,0,31,1.0
27,31,2,28,3,0,28,0,31,0,28,3,6,23,30,0,24,7,1,31,24,7,0,30,1,7,5,31,23,7,25,6,24,0,0,31,0,25,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,17,12,31,0,13,18,0,31,13,18,0,31,0,18,14,27,14,16,15,15,15,2,2,28,3,16,3,28,1.0
29,31,1,30,2,0,30,0,31,0,29,1,17,12,31,0,13,18,0,31,13,18,0,31,0,18,19,31,9,21,11,20,10,0,0,31,0,11,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,29,1,31,0,2,30,0,31,1,29,0,31,0,30,19,31,8,21,10,21,10,0,0,31,0,10,0,31,2.0
19,31,10,20,11,0,20,0,31,0,20,11,0,31,19,10,31,0,11,20,31,0,11,20,11,0,13,29,17,14,18,13,17,1,2,30,2,18,1,29,2.0
29,31,1,30,2,0,30,0,31,0,29,1,21,7,31,0,9,23,0,31,8,22,0,31,0,23,20,31,7,22,9,22,9,0,0,31,0,9,0,31,2.0
31,31,0,31,0,0,31,0,31,0,31,0,27,3,30,0,4,28,1,31,3,27,0,30,1,28,21,31,8,22,9,22,9,0,0,31,0,9,0,31,2.0
29,31,1,30,2,0,30,0,31,0,29,1,17,12,31,0,13,18,0,31,13,18,0,31,0,18,11,31,17,13,19,12,18,0,0,31,0,19,0,31,1.0
27,31,2,28,3,0,28,0,31,0,28,3,5,24,30,0,25,6,1,31,25,6,0,30,1,6,4,31,24,6,26,5,25,0,0,31,0,26,0,31,1.0
31,31,0,31,0,0,31,0,31,0,31,0,26,4,30,0,5,27,1,31,4,26,0,30,1,27,18,31,11,19,12,19,12,0,0,31,0,12,0,31,2.0
29,31,1,30,2,0,30,0,31,0,29,1,26,4,31,0,5,27,0,31,4,26,0,31,0,27,24,31,5,25,6,25,6,0,0,31,0,6,0,31,2.0
31,31,0,31,0,0,31,0,31,0,31,0,26,4,30,0,5,27,1,31,4,26,0,30,1,27,21,31,8,22,9,22,9,0,0,31,0,9,0,31,2.0
23,31,6,24,7,0,24,0,31,0,24,7,6,23,25,4,24,7,5,26,24,7,5,26,5,7,12,28,18,13,19,12,18,2,3,29,3,19,2,28,2.0
22,31,7,23,8,0,23,0,31,0,23,8,7,22,26,4,23,8,5,27,23,8,4,26,5,8,12,31,18,13,19,12,18,0,0,31,0,19,0,31,2.0
31,31,0,31,0,0,31,0,31,0,31,0,15,14,30,0,15,16,1,31,15,16,0,30,1,16,14,31,14,16,16,15,15,0,0,31,0,16,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,29,1,31,0,2,30,0,31,1,29,0,31,0,30,21,31,8,22,9,22,9,0,0,31,0,9,0,31,2.0
29,31,1,30,2,0,30,0,31,0,29,1,14,15,31,0,16,15,0,31,16,15,0,31,0,15,18,31,10,20,12,19,11,0,0,31,0,12,0,31,1.0
31,31,0,31,0,0,31,0,31,0,31,0,26,4,30,0,5,27,1,31,4,26,0,30,1,27,21,31,8,22,9,22,9,0,0,31,0,9,0,31,2.0
31,31,0,31,0,0,31,0,31,0,31,0,21,7,30,0,9,23,1,31,8,22,0,30,1,23,16,31,11,18,13,18,13,0,0,31,0,13,0,31,2.0
23,31,6,24,7,0,24,0,31,0,24,7,6,23,25,4,24,7,5,26,24,7,5,26,5,7,9,25,21,10,22,9,21,5,6,26,6,22,5,25,1.0
31,31,0,31,0,0,31,0,31,0,31,0,28,1,30,0,2,29,1,31,2,29,0,30,1,29,23,31,5,25,7,24,6,0,0,31,0,7,0,31,2.0
23,31,6,24,7,0,24,0,31,0,24,7,5,24,26,4,25,6,5,27,25,6,4,26,5,6,9,27,21,10,22,9,21,2,3,28,3,22,3,28,1.0
29,31,1,30,2,0,30,0,31,0,29,1,26,4,31,0,5,27,0,31,4,26,0,31,0,27,20,31,7,22,9,22,9,0,0,31,0,9,0,31,2.0
29,31,1,30,2,0,30,0,31,0,29,1,26,4,31,0,5,27,0,31,4,26,0,31,0,27,21,31,8,22,9,22,9,0,0,31,0,9,0,31,2.0
31,31,0,31,0,0,31,0,31,0,31,0,26,4,30,0,5,27,1,31,4,26,0,30,1,27,21,31,8,22,9,22,9,0,0,31,0,9,0,31,2.0
28,31,2,29,3,0,29,0,31,0,28,2,18,11,31,0,12,19,0,31,12,19,0,31,0,19,19,31,9,21,11,20,10,0,0,31,0,11,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,21,7,31,0,9,23,0,31,8,22,0,31,0,23,13,27,16,14,16,14,17,2,2,28,3,17,3,28,1.0
31,31,0,31,0,0,31,0,31,0,31,0,26,4,30,0,5,27,1,31,4,26,0,30,1,27,21,31,8,22,9,22,9,0,0,31,0,9,0,31,2.0
29,31,1,30,2,0,30,0,31,0,29,1,16,13,31,0,14,17,0,31,14,17,0,31,0,17,11,31,17,13,19,12,18,0,0,31,0,19,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,29,1,31,0,2,30,0,31,1,29,0,31,0,30,24,31,5,25,6,25,6,0,0,31,0,6,0,31,2.0
29,31,1,30,2,0,30,0,31,0,29,1,25,3,31,0,5,27,0,31,4,26,0,31,0,27,20,31,7,22,9,22,9,0,0,31,0,9,0,31,2.0
29,31,1,30,2,0,30,0,31,0,29,1,13,16,31,0,17,14,0,31,17,14,0,31,0,14,11,31,17,13,19,12,18,0,0,31,0,19,0,31,1.0
31,31,0,31,0,0,31,0,31,0,31,0,6,23,30,0,24,7,1,31,24,7,0,30,1,7,4,31,24,6,26,5,25,0,0,31,0,26,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,21,7,31,0,9,23,0,31,8,22,0,31,0,23,17,27,10,19,11,19,12,2,2,28,3,12,3,28,1.0
29,31,1,30,2,0,30,0,31,0,29,1,17,11,31,0,13,19,0,31,12,18,0,31,0,19,10,27,19,11,19,11,20,2,2,28,3,20,3,28,1.0
29,31,1,30,2,0,30,0,31,0,29,1,17,12,31,0,13,18,0,31,13,18,0,31,0,18,11,31,17,13,19,12,18,0,0,31,0,19,0,31,1.0
29,31,1,30,2,0,30,0,31,0,29,1,16,13,31,0,14,17,0,31,14,17,0,31,0,17,15,31,13,17,15,16,14,0,0,31,0,15,0,31,1.0
26,31,3,27,4,0,27,0,31,0,27,4,14,15,30,0,16,15,1,31,16,15,0,30,1,15,19,31,9,21,11,20,10,0,0,31,0,11,0,31,2.0
31,31,0,31,0,0,31,0,31,0,31,0,27,3,30,0,4,28,1,31,3,27,0,30,1,28,20,31,9,21,10,21,10,0,0,31,0,10,0,31,2.0
