@relation 'Sax dominant'

@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atLeee numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMeca numeric
@attribute o1atLeca numeric
@attribute o1atMace numeric
@attribute o1atLace numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMcac numeric
@attribute o1atLcac numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMadc numeric
@attribute o1atLadc numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMaee numeric
@attribute o1atLaee numeric
@attribute o1atMced numeric
@attribute o1atLced numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMdce numeric
@attribute o1atLdce numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMade numeric
@attribute o1atLade numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMeeb numeric
@attribute o1atLeeb numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMeba numeric
@attribute o1atLeba numeric
@attribute o1atMecb numeric
@attribute o1atLecb numeric
@attribute o1atMecc numeric
@attribute o1atLecc numeric
@attribute o1atMebe numeric
@attribute o1atLebe numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMcbd numeric
@attribute o1atLcbd numeric
@attribute o1atMedb numeric
@attribute o1atLedb numeric
@attribute o1atMdbd numeric
@attribute o1atLdbd numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMebc numeric
@attribute o1atLebc numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMdec numeric
@attribute o1atLdec numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMece numeric
@attribute o1atLece numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMdbe numeric
@attribute o1atLdbe numeric
@attribute o1atMdbc numeric
@attribute o1atLdbc numeric
@attribute o1atMebb numeric
@attribute o1atLebb numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMabe numeric
@attribute o1atLabe numeric
@attribute o1atMaae numeric
@attribute o1atLaae numeric
@attribute o1atMcdb numeric
@attribute o1atLcdb numeric
@attribute o1atMebd numeric
@attribute o1atLebd numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMdac numeric
@attribute o1atLdac numeric
@attribute o1atMeda numeric
@attribute o1atLeda numeric
@attribute o1atMbed numeric
@attribute o1atLbed numeric
@attribute o1atMcbe numeric
@attribute o1atLcbe numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMbee numeric
@attribute o1atLbee numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMaed numeric
@attribute o1atLaed numeric
@attribute o1atMecd numeric
@attribute o1atLecd numeric
@attribute o1atMdaa numeric
@attribute o1atLdaa numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMdab numeric
@attribute o1atLdab numeric
@attribute o1atMdad numeric
@attribute o1atLdad numeric
@attribute o1atMbae numeric
@attribute o1atLbae numeric
@attribute destClass {-1,1}

@data
17,30,16,74,14,16,75,27,35,22,64,23,63,48,55,56,29,28,59,26,60,21,72,15,76,15,77,80,8,2,79,7,75,27,85,4,84,4,57,7,51,35,21,64,28,35,78,8,58,4,58,4,17,9,17,10,17,36,56,29,17,58,51,34,28,9,14,77,55,29,16,65,27,58,17,35,58,8,18,4,56,8,16,64,57,8,28,34,16,36,18,9,51,34,85,3,16,73,52,9,28,4,16,65,17,9,27,9,52,8,28,3,28,29,27,35,28,8,28,29,29,8,23,9,23,35,28,8,17,61,56,9,17,64,17,36,15,65,17,35,58,3,27,30,28,8,28,34,23,9,23,35,16,10,15,10,26,35,28,7,14,66,17,34,17,8,28,8,27,9,16,66,29,4,16,60,17,8,57,7,15,36,15,66,16,35,17,29,17,9,1.0
18,23,16,74,16,17,75,19,27,18,72,18,73,58,72,62,22,19,73,18,72,17,73,16,75,17,76,77,10,9,77,12,75,19,80,10,80,10,65,13,60,27,17,73,19,27,76,11,66,10,66,11,18,14,18,14,18,28,64,21,18,72,61,27,19,13,16,76,65,23,17,73,19,72,18,28,64,11,19,11,63,12,18,72,65,11,19,27,18,28,18,12,59,27,80,9,17,73,61,13,19,11,18,75,17,14,19,14,61,14,19,10,19,22,19,27,19,13,19,21,19,11,18,13,18,27,19,14,18,74,65,12,17,73,17,28,17,74,18,28,66,10,19,23,19,11,19,27,18,14,18,27,18,14,17,14,18,27,19,13,16,75,18,27,18,13,19,12,19,13,17,74,20,10,17,73,18,13,64,13,17,28,17,75,18,27,18,21,17,13,-1.0
19,40,19,73,17,19,74,25,42,24,66,25,66,42,62,46,39,25,64,24,64,24,72,18,74,18,75,87,3,2,86,3,84,36,89,3,88,2,49,3,44,41,24,66,26,43,85,3,50,3,50,2,19,4,19,6,19,44,47,36,19,63,45,40,27,5,17,75,48,38,19,66,25,63,19,42,49,3,20,3,47,4,19,66,49,3,25,41,19,44,20,4,42,41,89,2,19,72,46,4,27,3,19,67,19,5,25,4,46,3,27,2,26,39,25,41,26,4,26,36,28,3,25,5,25,44,27,4,19,65,48,3,19,66,19,44,18,66,19,42,50,2,26,40,26,3,26,41,25,5,25,43,19,6,18,6,24,43,27,3,17,67,19,41,19,4,26,4,25,4,19,67,28,3,19,64,19,4,48,3,18,44,18,67,19,44,19,36,19,5,1.0
18,41,17,75,15,17,76,25,48,24,68,24,67,34,64,44,40,25,65,25,66,23,74,16,76,16,77,89,3,2,88,3,87,35,90,3,89,3,45,3,37,47,23,67,25,47,87,4,45,3,45,3,17,4,17,4,17,48,44,39,17,65,37,47,25,4,15,77,44,40,17,68,25,65,17,48,45,4,18,3,44,4,17,68,45,3,25,47,17,49,18,4,36,47,90,2,17,74,37,4,26,3,17,68,17,4,25,4,37,3,26,2,26,40,25,48,26,4,25,40,26,4,24,5,24,49,25,3,17,66,44,4,17,67,17,49,16,68,17,48,45,2,25,41,26,4,25,48,24,4,24,48,17,5,16,5,25,48,25,3,15,68,17,48,17,4,26,4,25,5,17,68,26,3,17,66,18,4,44,3,16,49,16,68,17,49,17,40,17,5,1.0
16,46,16,76,14,16,77,24,48,23,69,23,69,40,67,43,45,24,68,23,68,22,75,15,77,15,78,85,4,3,85,5,83,42,87,4,87,5,45,7,42,48,22,69,24,48,83,6,46,4,45,5,16,7,16,7,16,49,45,43,16,67,42,47,24,6,14,78,43,45,16,69,24,67,16,49,45,6,17,5,43,6,16,69,45,4,24,48,16,49,16,7,40,48,87,3,16,75,42,6,24,5,16,70,16,7,24,7,42,7,24,3,24,45,24,48,24,7,24,43,24,6,23,6,23,48,24,7,16,69,43,6,16,69,16,48,15,69,16,48,45,3,24,45,24,4,24,47,23,7,23,48,16,7,15,7,23,48,24,5,14,70,16,47,16,7,24,6,24,6,16,70,25,4,16,68,16,7,45,5,15,48,15,70,16,48,16,43,16,6,1.0
18,35,17,73,11,17,74,41,39,39,52,39,52,45,49,55,35,41,50,40,50,37,71,14,76,14,77,81,11,5,80,9,78,29,84,7,83,7,53,10,49,40,38,52,42,40,79,10,55,7,53,7,17,10,18,11,18,41,54,31,17,49,48,38,42,11,12,77,52,34,17,52,41,49,17,40,55,11,18,7,55,10,17,52,54,11,41,40,17,41,18,11,45,40,84,6,17,71,49,11,41,7,17,53,17,10,41,10,48,10,41,6,42,35,41,40,41,10,41,31,42,11,39,11,39,39,41,10,17,51,52,10,17,52,17,39,14,52,17,39,54,6,41,34,41,11,41,38,39,10,39,40,17,11,14,11,40,40,41,9,12,53,17,38,17,10,42,10,41,11,17,53,42,7,17,50,18,10,54,9,14,39,14,53,17,39,17,31,17,11,-1.0
19,47,18,73,15,17,74,26,55,23,67,23,66,29,63,39,46,26,64,25,64,20,72,16,75,16,76,87,4,0,86,4,83,42,90,1,89,1,39,4,31,54,22,67,26,54,85,4,39,1,39,1,18,4,18,5,18,55,38,48,18,63,31,54,26,5,16,76,39,47,18,67,26,63,18,55,39,4,19,1,39,4,18,67,39,5,26,54,18,55,19,4,32,54,90,0,18,73,31,5,26,1,18,68,18,4,26,4,31,4,26,0,27,46,26,54,26,4,26,48,27,4,23,5,23,55,26,4,18,65,39,4,18,66,18,55,16,67,18,55,39,0,26,47,26,5,26,54,23,4,23,54,18,5,16,5,25,54,26,4,16,68,18,54,18,4,27,4,26,5,17,68,27,1,18,64,19,4,38,4,16,55,16,68,18,55,18,48,18,5,1.0
22,38,21,69,19,20,70,24,41,23,66,23,65,41,64,49,38,24,65,23,65,22,67,20,71,20,72,84,6,4,83,6,81,33,86,5,85,5,49,7,45,42,22,66,25,42,81,6,52,6,50,6,22,8,23,9,22,44,49,34,22,65,44,40,26,8,19,72,48,37,21,67,25,64,21,43,51,8,23,6,49,7,21,67,50,6,24,43,21,44,23,8,42,43,86,4,21,68,46,8,25,6,21,68,21,8,25,7,45,7,25,4,25,38,25,42,25,7,25,34,26,8,23,8,23,41,25,7,21,67,48,7,21,66,21,42,20,68,21,42,51,4,24,37,25,6,25,40,23,7,23,42,21,9,20,9,23,43,25,6,19,69,22,40,22,7,25,7,25,8,20,68,26,6,21,66,22,7,50,6,20,42,20,69,21,41,22,34,21,8,1.0
23,35,20,68,18,21,69,25,40,24,64,25,64,42,62,50,35,26,63,24,64,23,66,19,71,19,72,77,10,5,76,10,73,32,82,7,81,6,51,10,46,40,23,65,28,40,76,11,53,7,52,6,22,11,23,13,23,42,51,34,22,62,45,38,28,13,19,72,50,34,21,66,26,62,21,40,53,12,23,7,50,11,21,64,52,10,26,40,21,42,23,12,45,40,82,7,21,68,47,13,27,7,21,66,22,12,26,11,46,10,27,7,28,35,26,40,26,11,26,34,28,12,25,13,24,40,27,10,21,65,50,11,22,65,21,41,19,66,21,40,53,7,25,35,26,10,26,38,25,11,25,40,21,13,19,13,24,41,27,10,19,67,22,38,22,11,28,11,26,13,21,67,28,7,21,64,23,11,52,10,19,41,19,67,21,40,22,34,22,13,1.0
19,37,19,73,17,19,74,33,40,30,59,30,59,45,52,51,36,31,55,33,55,27,72,18,74,18,75,84,6,2,83,6,81,34,87,4,86,4,53,6,48,37,28,59,33,40,82,7,53,4,53,4,19,7,19,8,19,41,52,34,19,53,49,39,34,7,17,75,52,36,19,59,33,53,19,40,53,6,20,4,51,7,19,59,53,6,31,39,19,41,20,7,46,39,87,3,19,72,49,6,34,4,19,60,19,7,33,7,49,6,34,3,33,36,33,37,34,7,34,34,35,6,30,7,30,41,34,6,19,56,52,7,19,59,19,41,18,59,19,40,53,3,33,37,34,6,34,40,30,7,30,40,19,8,18,8,33,40,34,6,17,60,19,40,19,7,33,7,33,6,19,60,35,4,19,55,19,7,52,6,18,41,18,60,19,41,19,34,19,7,1.0
18,37,18,74,16,18,75,27,41,24,66,24,66,45,60,51,36,26,63,26,63,23,73,17,75,17,76,85,5,3,85,6,83,34,87,4,87,5,53,7,48,39,23,66,27,40,83,6,53,4,53,5,18,7,18,7,18,41,52,34,18,62,49,40,27,6,16,76,52,37,18,66,27,62,18,41,52,5,19,5,51,6,18,66,53,5,26,40,18,41,18,6,46,40,87,3,18,73,49,6,27,5,18,67,18,7,27,7,49,7,27,3,27,36,27,39,27,7,27,34,27,5,24,6,24,41,27,7,18,64,52,6,18,66,18,41,17,66,18,41,53,3,27,37,27,5,27,40,24,7,24,40,18,7,17,7,26,40,27,6,16,67,18,40,18,7,27,6,27,6,18,67,28,4,18,63,18,7,52,6,17,41,17,67,18,41,18,34,18,6,1.0
22,38,21,71,19,20,72,24,42,23,67,23,66,42,63,49,37,24,65,24,65,22,70,20,72,20,73,85,6,3,84,5,82,34,87,5,86,4,49,5,45,41,22,67,26,42,82,6,51,5,50,4,21,6,22,8,22,43,49,36,21,63,44,41,26,8,19,73,48,37,21,67,24,63,21,42,51,7,22,5,49,6,21,67,50,6,24,42,21,44,22,7,43,41,87,3,21,70,46,8,26,5,21,68,21,7,25,6,45,5,26,3,27,38,25,41,25,6,25,36,27,7,24,8,23,43,25,5,21,66,48,6,21,66,21,43,20,67,21,42,51,3,24,38,25,6,24,41,24,7,24,43,21,8,20,8,24,42,26,5,19,68,21,41,21,6,27,6,25,8,20,68,27,5,21,65,22,6,50,5,20,43,20,68,21,43,21,36,21,8,1.0
15,34,15,76,11,15,77,34,39,30,59,29,58,46,51,53,32,32,53,33,54,26,75,13,78,13,79,85,6,3,84,5,82,29,87,5,86,4,54,6,49,35,28,58,32,36,82,6,55,5,55,5,15,7,15,7,15,37,53,30,15,52,49,37,33,6,12,79,53,34,15,59,33,52,15,39,55,6,16,5,53,6,15,59,54,6,32,38,15,39,16,7,46,37,87,3,15,75,50,6,35,5,15,59,15,7,35,7,50,6,35,3,33,33,34,36,35,6,34,30,35,6,30,7,30,39,33,6,15,54,53,7,15,58,15,39,13,59,15,39,55,3,34,34,35,6,33,37,30,7,29,38,15,8,13,8,33,37,34,5,12,59,15,37,15,6,33,6,35,6,15,59,35,5,15,54,15,6,54,5,13,39,13,59,15,39,15,30,15,7,1.0
20,43,20,72,18,20,73,22,43,22,69,23,69,45,67,49,42,23,68,22,68,22,71,19,73,19,74,87,5,3,87,3,86,40,89,4,88,3,48,3,47,43,22,69,24,44,86,4,50,4,49,3,20,4,20,6,20,45,48,40,20,67,46,42,24,5,18,74,47,41,20,69,23,67,20,44,49,5,21,5,49,4,20,69,48,5,23,43,20,45,20,6,45,43,88,3,20,71,47,5,24,4,20,70,20,5,23,4,47,3,24,3,24,42,23,43,23,4,23,40,24,5,23,5,22,44,24,3,20,69,47,4,20,69,20,44,19,69,20,43,49,3,22,42,23,5,23,42,23,5,23,44,20,6,19,6,22,44,24,3,18,70,20,42,20,4,24,4,23,5,20,70,25,4,20,68,20,5,49,3,19,44,19,70,20,44,20,40,20,5,-1.0
19,37,19,71,17,19,72,27,42,26,63,25,63,41,59,48,36,27,61,27,61,23,69,18,73,18,74,80,8,4,79,6,75,31,84,6,83,4,49,8,44,41,23,63,27,41,77,8,51,6,51,6,20,10,20,10,19,42,48,33,20,59,43,41,28,9,17,74,47,37,19,64,28,59,19,43,51,9,21,6,48,8,20,64,49,8,27,42,19,43,21,10,41,42,84,4,19,70,45,9,29,6,19,65,19,10,29,9,45,8,29,4,27,36,28,41,29,8,28,33,29,9,26,9,26,42,28,8,19,62,47,10,19,63,19,43,18,65,19,43,51,4,27,37,29,8,28,41,26,9,25,41,20,11,18,11,27,42,28,6,17,65,20,41,20,8,27,8,29,9,19,64,29,6,19,62,19,8,50,6,18,43,18,65,20,42,20,33,19,9,1.0
17,39,17,75,15,17,76,28,42,25,65,25,65,46,59,50,38,28,62,27,62,24,74,16,76,16,77,84,6,4,84,7,82,36,86,5,86,6,52,8,48,41,24,65,28,41,82,7,52,5,52,6,17,8,17,8,17,42,51,36,17,61,49,41,28,7,15,77,51,39,17,65,28,61,17,42,51,6,18,6,50,7,17,65,52,6,28,41,17,42,17,7,46,41,86,4,17,74,49,7,28,6,17,66,17,8,28,8,49,8,28,4,28,38,28,41,28,8,28,36,28,6,25,7,25,42,28,8,17,63,51,7,17,65,17,42,16,65,17,42,52,4,28,39,28,6,28,41,25,8,25,41,17,8,16,8,27,41,28,7,15,66,17,41,17,8,28,7,28,7,17,66,29,5,17,62,17,8,51,7,16,42,16,66,17,42,17,36,17,7,1.0
22,42,22,70,20,22,71,34,44,32,59,32,59,46,55,48,41,34,57,34,57,31,69,21,71,21,72,74,16,14,74,16,72,40,76,15,76,16,50,18,47,43,31,59,34,43,72,17,50,15,50,16,22,18,22,18,22,44,49,40,22,56,48,44,34,17,20,72,48,42,22,59,34,56,22,44,49,16,23,16,48,17,22,59,50,16,34,43,22,44,22,17,46,43,76,14,22,69,48,17,34,16,22,60,22,18,34,18,48,18,34,14,34,41,34,43,34,18,34,40,34,16,32,17,32,44,34,18,22,58,48,17,22,59,22,44,21,59,22,44,50,14,34,42,34,16,34,44,32,18,32,43,22,18,21,18,34,43,34,16,20,60,22,44,22,18,34,17,34,17,22,60,35,15,22,57,22,18,49,16,21,44,21,60,22,44,22,40,22,17,1.0
20,40,20,72,18,19,73,25,43,23,67,23,66,42,62,49,39,24,64,24,64,22,71,19,73,19,74,84,7,4,83,6,81,35,86,6,85,5,49,7,46,41,23,67,26,43,81,7,51,6,50,6,20,8,20,9,20,44,49,35,20,64,45,41,26,8,18,74,48,39,20,67,26,64,20,44,51,8,21,6,49,7,20,67,49,7,24,43,20,44,21,9,42,43,86,4,20,71,46,8,26,6,20,68,20,8,26,8,46,7,26,4,26,39,26,41,26,7,26,35,27,8,23,8,23,43,26,7,20,65,48,8,20,66,20,43,19,67,20,43,50,4,25,39,26,7,26,41,23,8,23,43,20,9,19,9,24,43,26,6,18,68,20,41,20,7,26,7,26,8,19,68,27,6,20,64,20,7,50,6,19,43,19,68,20,43,20,35,20,8,1.0
18,45,18,74,16,18,75,30,50,29,63,29,63,38,61,43,44,30,62,30,62,28,73,17,75,17,76,82,9,6,81,9,79,41,84,8,83,8,44,10,39,49,28,63,30,49,79,10,44,8,44,8,18,10,18,11,18,50,43,45,18,61,39,50,30,10,16,76,43,45,18,63,30,61,18,50,44,9,19,8,43,10,18,63,44,10,30,49,18,50,19,10,39,49,84,6,18,73,39,10,30,8,18,64,18,10,30,10,39,10,30,6,30,44,30,49,30,10,30,45,31,9,29,10,29,50,30,10,18,63,43,10,18,63,18,50,17,63,18,50,44,6,30,45,30,10,30,50,29,10,29,49,18,11,17,11,30,49,30,9,16,64,18,50,18,10,30,10,30,10,18,64,31,8,18,62,18,10,43,9,17,50,17,64,18,50,18,45,18,10,1.0
21,43,21,69,17,20,69,35,45,33,58,32,57,45,55,48,42,33,56,34,57,31,66,19,72,18,72,79,13,9,78,11,76,41,81,11,80,11,49,13,46,43,31,58,33,43,76,13,49,11,49,11,22,13,21,13,20,44,48,41,21,55,47,44,34,13,17,72,47,43,22,59,34,55,20,45,49,13,22,11,48,13,21,58,49,13,33,44,20,44,22,13,45,44,81,9,21,67,47,13,35,11,20,58,22,13,35,13,47,13,35,9,34,42,34,43,35,13,34,41,35,13,33,13,33,45,34,13,20,57,47,13,21,57,22,45,19,59,22,45,49,9,35,43,35,13,34,44,33,13,32,43,21,13,19,14,34,44,34,11,17,59,21,44,22,13,34,13,35,13,20,59,35,11,22,57,21,13,48,11,19,45,18,59,21,45,21,41,22,13,1.0
23,44,21,68,20,22,69,25,47,24,64,24,65,36,63,45,43,26,64,25,64,23,66,21,70,21,71,83,7,2,82,5,78,40,87,3,86,2,44,6,40,48,23,65,26,48,81,6,46,3,45,3,23,7,23,8,23,49,44,41,23,64,39,47,26,7,20,71,43,43,22,66,26,63,23,49,46,7,24,3,45,6,22,65,44,7,26,48,22,49,24,8,38,48,87,2,22,67,40,7,26,3,22,67,22,7,26,6,40,6,26,2,26,43,26,48,26,6,26,41,27,7,24,7,24,47,26,6,23,66,43,7,22,66,22,48,21,67,22,48,45,2,25,43,26,7,26,47,24,6,24,48,22,8,21,8,25,48,26,5,20,68,23,47,23,6,26,6,26,7,22,67,27,3,22,65,23,6,45,5,21,48,21,68,22,47,23,41,22,7,1.0
22,46,21,71,19,21,72,33,46,32,60,32,60,45,58,48,45,33,59,33,59,31,70,20,72,20,73,86,8,5,85,6,84,44,87,6,86,6,47,7,46,46,31,60,33,46,84,7,48,6,47,6,21,7,21,8,21,47,47,44,21,58,46,46,33,8,19,73,46,45,21,60,33,58,21,47,48,8,22,6,48,7,21,60,47,8,33,46,21,47,22,8,45,46,87,5,21,70,46,8,33,6,21,61,21,7,33,7,46,7,33,5,34,45,33,46,33,7,33,44,34,8,32,8,32,46,33,7,21,60,46,7,21,60,21,46,20,60,21,46,47,5,33,45,33,8,33,46,32,7,32,46,21,8,20,8,33,46,33,6,19,61,21,46,21,7,34,7,33,8,21,61,34,6,21,59,22,7,47,6,20,46,20,61,21,46,21,44,21,8,-1.0
19,53,19,72,16,19,73,25,55,24,67,25,67,30,65,37,52,26,66,24,66,24,70,17,74,17,75,90,3,1,89,2,88,49,91,2,90,2,37,2,33,56,24,67,26,56,88,3,38,2,37,2,19,3,19,4,19,57,37,50,19,65,33,54,26,3,16,75,36,51,19,67,25,65,19,56,38,3,20,2,37,3,19,67,37,3,26,55,19,57,20,4,31,55,91,1,19,71,33,3,26,2,19,68,19,3,25,3,33,2,26,1,26,52,25,56,26,3,26,50,27,3,25,3,25,56,26,2,19,67,36,3,19,67,19,56,17,67,19,55,37,1,25,52,26,3,26,54,25,3,25,56,19,4,17,4,24,56,26,2,16,68,19,54,19,3,26,3,25,3,19,68,27,2,19,66,19,3,37,2,17,56,17,68,19,56,19,50,19,3,-1.0
21,38,20,72,18,20,73,29,41,25,64,25,63,44,56,49,37,27,59,28,60,23,71,19,73,19,74,79,9,3,78,9,75,34,83,6,82,6,51,10,46,39,23,63,28,40,75,9,52,7,52,7,20,11,20,11,20,41,49,34,20,57,47,40,29,11,18,74,50,37,20,64,28,57,20,41,51,10,21,7,49,10,20,64,51,9,27,40,20,42,21,10,44,40,83,4,20,71,48,11,30,7,20,64,20,11,29,11,48,11,30,4,29,37,28,39,30,10,29,34,30,10,26,12,26,42,29,11,20,60,50,10,20,63,20,42,19,64,20,41,52,4,30,38,30,9,29,40,26,11,25,41,20,12,19,12,28,41,29,9,18,64,20,40,20,10,29,10,29,11,20,64,30,7,20,60,21,10,50,9,19,42,19,64,20,42,20,34,20,12,1.0
16,27,16,76,14,16,77,22,30,21,71,21,71,58,69,62,26,21,70,21,70,20,75,15,77,15,78,84,6,4,84,7,83,24,86,5,86,6,64,8,60,28,20,71,22,29,83,7,64,5,64,6,16,8,16,8,16,30,63,24,16,69,61,29,22,7,14,78,63,27,16,71,22,69,16,30,63,6,17,6,62,7,16,71,64,6,21,29,16,30,16,7,58,29,86,5,16,75,61,7,22,6,16,72,16,8,22,8,61,8,22,5,22,26,22,28,22,8,22,24,22,6,21,7,21,30,22,8,16,71,63,7,16,71,16,30,15,71,16,30,64,5,22,27,22,6,22,29,21,8,21,29,16,8,15,8,21,29,22,7,14,72,16,29,16,8,22,7,22,7,16,72,23,5,16,70,16,8,63,7,15,30,15,72,16,30,16,24,16,7,-1.0
19,22,19,73,17,19,74,35,25,34,58,34,58,60,56,67,21,35,57,34,57,33,72,18,74,18,75,79,11,9,79,11,78,17,81,10,81,10,67,12,64,25,33,58,35,25,78,11,69,10,68,11,19,13,19,13,19,26,67,17,19,56,63,24,35,12,17,75,66,21,19,58,35,56,19,26,68,12,20,11,67,11,19,58,67,11,35,25,19,26,19,13,60,25,81,10,19,72,64,12,35,11,19,59,19,13,35,13,64,13,35,10,35,21,35,25,35,12,35,17,35,12,34,12,34,25,35,13,19,58,66,12,19,58,19,25,18,58,19,25,68,10,35,21,35,11,35,24,34,13,34,25,19,13,18,13,34,25,35,11,17,59,19,24,19,12,35,11,35,12,19,59,36,10,19,57,19,12,68,11,18,25,18,59,19,25,19,17,19,12,-1.0
16,36,16,76,14,15,77,26,40,24,67,24,66,47,63,51,35,26,65,25,65,23,75,15,77,15,78,85,3,3,85,6,83,32,87,3,87,5,54,7,49,39,23,67,26,39,83,5,54,4,54,5,16,7,16,7,16,40,52,33,16,64,50,39,26,6,14,78,53,36,16,67,26,64,16,40,52,4,17,5,51,6,16,67,54,4,26,39,16,40,16,5,47,39,87,3,16,75,50,6,26,5,16,68,16,7,26,7,50,7,26,3,26,35,26,39,26,7,26,33,26,4,24,6,24,40,26,7,16,66,53,5,16,66,16,40,15,67,16,40,54,3,26,36,26,4,26,39,24,7,24,39,16,7,15,7,25,39,26,6,14,68,16,39,16,7,26,6,26,6,15,68,27,4,16,65,16,7,52,6,15,40,15,68,16,40,16,33,16,6,1.0
18,32,17,74,16,18,75,20,37,19,70,20,71,39,67,53,32,20,69,19,69,19,73,17,75,17,76,87,4,2,86,3,84,26,89,2,88,2,52,3,45,38,19,71,21,39,85,3,55,3,53,2,18,4,19,6,18,40,52,27,18,68,45,36,22,5,16,76,52,30,17,71,20,68,18,38,54,5,19,3,53,4,18,70,53,4,21,38,18,41,19,5,42,37,89,2,18,73,46,5,22,3,18,72,18,5,20,4,45,3,22,2,22,32,20,39,21,4,21,28,23,5,20,5,20,38,21,4,18,70,52,3,18,71,18,39,17,71,18,37,54,2,21,31,21,4,21,37,20,5,20,40,18,6,17,6,20,39,22,4,16,72,18,37,18,4,22,4,20,5,18,72,23,3,17,69,18,4,53,3,17,39,17,72,18,38,18,28,18,5,-1.0
17,41,17,75,15,17,76,24,43,23,69,23,69,44,67,49,40,24,68,24,68,22,74,16,76,16,77,84,6,4,84,7,82,37,86,5,86,6,50,8,47,43,22,69,24,43,82,7,51,5,50,6,17,8,17,8,17,44,50,37,17,67,47,43,24,7,15,77,49,40,17,69,24,67,17,44,50,7,18,6,49,7,17,69,50,6,24,43,17,44,17,8,44,43,86,4,17,74,47,7,24,6,17,70,17,8,24,8,47,8,24,4,24,40,24,43,24,8,24,37,24,7,23,7,23,43,24,8,17,69,49,7,17,69,17,43,16,69,17,43,50,4,24,40,24,6,24,43,23,8,23,43,17,8,16,8,24,43,24,7,15,70,17,43,17,8,24,7,24,7,17,70,25,5,17,68,17,8,50,7,16,43,16,70,17,43,17,37,17,7,1.0
