@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMhj numeric
@attribute o1atLhj numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMaa numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atLkk numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMek numeric
@attribute o1atLek numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMbj numeric
@attribute o1atLbj numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute o1atMdk numeric
@attribute o1atLdk numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMbg numeric
@attribute o1atLbg numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMik numeric
@attribute o1atLik numeric
@attribute o1atMgj numeric
@attribute o1atLgj numeric
@attribute o1atMbf numeric
@attribute o1atLbf numeric
@attribute o1atMki numeric
@attribute o1atLki numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMgk numeric
@attribute o1atLgk numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMdh numeric
@attribute o1atLdh numeric
@attribute o1atMbi numeric
@attribute o1atLbi numeric
@attribute o1atMif numeric
@attribute o1atLif numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMfk numeric
@attribute o1atLfk numeric
@attribute o1atMjh numeric
@attribute o1atLjh numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMcg numeric
@attribute o1atLcg numeric
@attribute o1atMfj numeric
@attribute o1atLfj numeric
@attribute o1atMaf numeric
@attribute o1atLaf numeric
@attribute o1atMck numeric
@attribute o1atLck numeric
@attribute o1atMbh numeric
@attribute o1atLbh numeric
@attribute o1atMei numeric
@attribute o1atLei numeric
@attribute o1atMej numeric
@attribute o1atLej numeric
@attribute o1atMhe numeric
@attribute o1atLhe numeric
@attribute o1atMch numeric
@attribute o1atLch numeric
@attribute o1atMdi numeric
@attribute o1atLdi numeric
@attribute o1atMgd numeric
@attribute o1atLgd numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMjg numeric
@attribute o1atLjg numeric
@attribute o1atMdj numeric
@attribute o1atLdj numeric
@attribute o1atMfc numeric
@attribute o1atLfc numeric
@attribute o1atMhc numeric
@attribute o1atLhc numeric
@attribute o1atMie numeric
@attribute o1atLie numeric
@attribute o1atMbk numeric
@attribute o1atLbk numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMci numeric
@attribute o1atLci numeric
@attribute o1atMjf numeric
@attribute o1atLjf numeric
@attribute o1atMcj numeric
@attribute o1atLcj numeric
@attribute o1atMkh numeric
@attribute o1atLkh numeric
@attribute o1atMgb numeric
@attribute o1atLgb numeric
@attribute destClass {1,2}

@data
35,65,16,91,45,53,91,11,67,38,17,76,69,23,36,59,36,55,45,39,69,13,18,76,69,25,46,47,36,58,3,27,74,79,23,39,57,3,29,65,81,13,52,38,39,47,4,67,41,4,47,40,28,66,81,13,54,39,40,54,52,45,3,77,54,23,92,3,70,3,19,14,91,3,3,92,39,54,36,54,18,66,36,48,37,4,40,47,45,46,19,48,28,58,29,59,82,3,54,13,19,55,81,3,54,25,29,55,39,40,55,3,3,91,19,66,19,59,47,24,36,41,19,26,47,25,3,76,48,4,69,13,4,59,29,48,47,14,4,55,29,4,19,41,41,25,41,14,40,40,29,41,37,26,36,47,3,66,54,13,37,14,28,54,28,40,40,25,19,4,18,58,29,26,47,13,29,14,69,3,18,47,2.0
32,68,13,91,55,42,82,13,67,27,14,80,69,24,35,59,35,45,57,28,69,14,14,80,69,24,57,36,35,59,3,24,79,79,23,48,56,10,25,69,79,14,64,28,49,37,3,70,51,12,57,29,25,69,80,14,64,29,49,44,63,35,3,81,65,25,84,10,70,11,15,15,83,11,3,92,49,44,35,44,14,69,35,38,36,12,50,37,56,36,15,38,25,59,26,59,81,11,65,14,15,45,80,11,65,25,26,45,50,29,66,11,3,91,14,69,15,59,57,25,36,30,15,26,57,25,3,80,58,11,69,14,4,60,26,38,57,14,4,45,26,12,15,30,50,26,50,15,50,29,26,30,36,26,35,37,3,69,65,14,36,15,25,44,25,29,50,25,15,12,14,59,26,26,57,14,26,15,69,11,14,37,2.0
31,66,25,91,39,57,91,3,61,47,26,70,63,31,31,63,32,59,40,48,63,3,25,69,63,31,40,54,32,62,3,28,69,91,29,35,61,3,29,67,91,3,46,47,36,54,4,67,37,3,40,48,28,66,91,3,46,48,36,58,45,53,4,70,46,31,92,3,64,3,26,4,91,3,4,92,36,57,32,58,25,66,32,55,33,4,36,54,39,54,26,55,28,62,29,63,92,3,46,3,26,59,91,3,46,31,29,59,36,48,47,3,3,91,26,67,26,63,40,31,32,49,26,32,40,31,3,69,41,3,63,3,4,63,29,55,40,3,4,59,29,4,26,49,36,31,36,3,36,48,29,49,32,32,32,54,3,66,46,3,32,4,28,58,28,48,36,31,26,4,25,62,29,32,40,3,29,4,63,3,25,54,1.0
31,66,21,86,44,57,91,5,64,41,23,72,67,26,32,63,32,59,46,43,67,6,22,72,67,27,45,48,32,62,6,28,71,87,24,35,61,3,29,67,88,6,50,43,36,48,8,67,37,3,46,43,28,66,88,6,51,42,36,58,49,46,8,73,51,27,92,3,68,3,23,7,91,3,7,88,35,58,32,58,22,66,32,49,33,4,36,48,46,47,23,49,28,62,29,63,89,3,51,6,23,59,88,3,51,27,29,59,36,43,52,3,7,87,23,67,23,63,46,27,32,44,23,28,46,27,7,72,47,3,67,6,8,63,29,49,46,6,8,59,29,4,23,44,36,27,36,6,36,43,29,44,32,28,32,48,7,66,51,6,32,7,28,58,28,43,36,27,23,4,22,62,29,28,46,6,29,7,67,3,22,48,2.0
32,62,24,91,35,58,91,6,67,36,26,69,69,25,32,62,32,59,36,37,69,7,25,69,69,25,36,58,32,62,3,32,68,86,23,34,62,3,32,63,87,7,57,37,35,58,4,63,36,4,36,37,32,62,87,7,57,37,35,59,56,57,4,70,57,25,92,3,70,3,26,8,91,3,3,92,34,59,32,59,25,62,33,58,33,4,35,58,36,57,26,59,32,62,32,63,88,3,57,7,26,60,87,3,57,25,32,60,35,38,58,3,3,91,26,63,26,63,36,25,33,38,26,26,36,25,3,69,37,3,69,7,4,63,33,59,36,7,4,60,33,4,26,38,35,26,35,8,35,37,33,38,33,26,32,58,3,62,57,7,33,8,32,59,32,37,35,25,26,4,25,62,33,26,36,7,33,8,69,3,25,58,2.0
28,68,20,91,54,43,91,18,67,27,21,73,68,23,30,63,30,46,56,29,69,19,21,73,69,24,55,37,30,64,3,24,72,72,23,47,62,3,24,69,74,19,62,28,48,37,3,70,50,4,57,30,25,69,74,20,63,28,49,45,61,34,3,74,63,24,92,3,70,3,22,21,91,3,3,92,47,45,30,45,21,69,30,38,31,4,49,37,55,35,22,38,25,64,26,64,75,3,64,20,22,46,74,3,64,25,26,46,49,30,65,3,3,91,21,69,22,64,57,25,31,31,22,26,57,25,3,73,58,3,69,20,4,65,26,38,57,20,4,46,26,4,22,31,49,26,49,21,49,30,26,31,31,26,30,37,3,69,64,20,31,21,25,45,25,30,49,25,22,4,21,64,26,26,57,20,26,21,69,3,21,37,2.0
44,65,17,92,56,43,83,14,72,29,18,77,74,21,45,46,46,45,58,31,74,15,18,76,73,21,57,36,44,47,2,25,75,80,20,45,44,9,26,67,80,15,63,30,48,35,3,68,49,11,58,31,27,67,80,14,63,30,48,43,61,34,3,77,64,21,85,10,74,11,19,15,84,10,3,93,47,44,47,46,18,67,47,36,48,11,48,36,57,35,18,37,27,47,26,47,81,11,64,15,18,47,80,10,63,21,27,46,49,31,64,11,2,92,18,68,18,48,59,22,48,31,19,22,58,21,2,76,59,11,73,14,3,48,27,36,59,15,3,47,28,11,19,32,49,22,49,15,48,31,28,31,48,22,47,36,2,67,63,14,48,15,27,46,27,31,48,21,19,11,18,47,28,22,58,14,28,15,73,10,18,36,1.0
32,65,23,91,40,58,91,10,67,41,25,70,68,25,32,63,32,60,42,42,69,11,24,70,69,25,42,51,32,62,3,29,69,82,23,34,62,3,30,66,83,10,52,42,35,52,4,66,36,4,42,42,29,65,83,11,52,42,34,59,51,50,4,71,52,25,92,3,70,3,25,12,91,3,3,92,34,59,32,59,24,65,33,53,33,4,35,52,42,51,25,53,29,62,30,63,84,3,52,11,25,60,83,3,52,25,30,60,35,43,53,3,3,91,25,66,25,63,42,25,33,43,25,26,42,25,3,70,43,3,69,11,4,63,30,53,42,11,4,60,30,4,25,43,35,26,35,12,35,42,30,43,33,26,32,52,3,65,52,11,33,12,29,59,29,42,35,25,25,4,24,62,30,26,42,11,30,12,69,3,24,52,2.0
29,66,25,91,38,54,91,6,67,44,26,70,69,25,30,66,30,56,39,46,69,7,25,69,69,25,39,54,29,65,3,28,69,86,23,38,65,3,29,67,87,7,48,46,39,56,4,67,40,4,39,46,28,66,87,7,48,46,38,55,46,54,4,70,48,25,92,3,70,3,26,8,91,3,4,92,38,56,29,55,25,66,30,56,30,4,39,55,39,54,26,56,28,65,29,66,88,3,48,7,26,56,87,3,48,25,29,56,39,47,49,3,3,91,26,67,26,66,39,25,30,47,26,26,39,25,3,69,40,3,69,7,4,66,29,56,39,7,4,56,29,4,26,47,39,26,39,8,39,46,29,47,30,26,29,55,3,66,48,7,30,8,28,55,28,46,39,25,26,4,25,65,29,26,39,7,29,8,69,3,25,55,1.0
31,75,13,92,62,40,80,14,80,19,13,81,80,15,32,62,32,42,65,20,80,15,14,80,80,14,64,30,31,62,2,17,79,80,14,50,61,14,18,75,80,14,75,20,52,30,3,77,53,15,64,20,18,76,80,14,74,20,52,41,73,28,3,81,75,15,81,14,81,15,15,15,80,14,3,93,52,42,32,42,14,76,32,30,33,15,52,30,64,30,14,31,18,62,18,62,81,14,75,15,14,43,80,14,74,14,18,42,53,20,75,15,2,92,14,77,14,63,65,15,33,20,15,15,64,14,2,80,65,15,80,14,3,63,18,30,65,15,3,43,19,15,15,21,53,15,53,15,52,20,19,20,33,15,32,30,2,76,74,14,33,15,18,42,18,20,52,14,15,15,14,62,19,15,64,14,19,15,80,14,14,30,2.0
29,66,21,87,38,58,91,6,71,37,23,72,72,21,30,66,30,60,39,40,73,7,22,72,73,21,39,55,29,65,5,28,71,86,19,34,65,3,29,67,87,6,54,40,35,56,7,67,36,4,39,40,28,66,87,7,54,40,35,59,51,54,7,73,54,21,92,3,74,3,23,8,91,3,6,89,34,60,29,59,22,66,30,56,30,4,35,55,39,54,23,56,28,65,29,66,88,3,54,7,23,60,87,3,54,21,29,60,35,41,55,3,6,88,23,67,23,66,39,21,30,41,23,22,39,21,6,72,40,3,73,7,7,66,29,56,39,7,7,60,29,4,23,41,35,22,35,8,35,40,29,41,30,22,29,55,6,66,54,7,30,8,28,59,28,40,35,21,23,4,22,65,29,22,39,7,29,8,73,3,22,55,1.0
31,66,24,91,38,54,91,3,61,49,25,69,63,31,32,63,32,56,39,50,63,3,25,69,63,31,39,54,32,62,3,28,68,91,29,38,61,3,29,66,91,3,44,50,39,55,4,67,40,3,39,50,28,66,91,3,44,50,38,55,43,54,4,70,44,31,92,3,64,3,26,4,91,3,3,92,38,55,32,55,25,66,32,56,33,4,39,55,39,54,26,56,28,62,29,63,92,3,44,3,26,56,91,3,44,31,29,56,39,50,45,3,3,91,26,67,26,63,39,31,32,51,26,32,39,31,3,69,40,3,63,3,4,63,29,56,39,3,4,56,29,4,26,51,39,31,39,3,39,50,29,51,32,32,32,55,3,66,44,3,32,4,28,55,28,50,39,31,26,4,25,62,29,32,39,3,29,4,63,3,25,55,1.0
29,65,19,91,48,54,91,14,70,37,20,73,71,20,31,64,31,56,48,38,72,15,21,73,72,22,50,44,30,64,3,27,71,76,20,38,63,3,28,65,78,15,53,37,38,45,3,67,40,4,50,39,28,66,78,16,55,39,39,55,53,42,3,74,54,20,92,3,73,3,22,17,91,3,3,92,38,56,30,55,21,66,31,45,31,4,39,44,48,43,22,45,28,64,29,64,79,3,55,15,22,56,78,3,55,22,29,56,38,40,56,3,3,91,21,66,22,64,49,21,31,40,22,23,50,22,3,73,51,4,72,16,4,65,29,45,50,16,4,56,29,4,22,40,39,23,40,17,39,39,29,40,31,23,30,44,3,66,55,16,31,17,28,55,28,39,39,22,22,4,21,64,29,23,50,16,29,17,72,3,21,44,2.0
42,66,12,91,57,41,82,13,72,31,13,81,73,22,43,49,44,43,59,32,73,15,13,81,73,21,58,36,43,50,3,24,80,79,20,49,48,10,25,68,79,14,63,32,51,36,3,69,52,12,58,32,26,68,80,14,62,32,51,42,61,35,3,82,63,22,84,10,74,12,14,15,83,11,3,92,51,42,44,43,13,68,44,37,45,12,51,36,58,36,14,37,26,50,26,50,81,11,63,15,14,43,80,11,62,21,27,43,52,32,63,12,3,91,13,68,13,50,59,22,45,33,14,22,58,21,3,81,59,12,73,14,3,51,27,37,59,15,4,44,27,12,14,33,52,22,52,15,51,32,27,33,45,22,44,36,3,68,62,14,45,15,26,43,26,32,51,21,14,12,13,50,27,22,58,14,27,15,73,11,13,36,1.0
41,67,13,91,59,44,79,16,75,30,14,80,75,18,42,50,44,45,61,32,75,17,14,80,76,18,60,34,43,51,3,23,79,76,17,46,49,13,24,69,76,16,63,32,49,35,3,70,49,15,60,31,25,69,77,17,63,31,48,46,62,33,3,81,63,19,81,13,77,14,15,18,80,14,3,92,49,45,43,46,14,69,44,35,44,15,48,34,61,35,15,35,25,51,24,51,78,13,63,18,15,46,77,14,63,18,26,46,49,32,64,15,3,91,14,69,14,51,61,19,44,32,15,19,60,18,3,80,61,15,76,17,3,52,26,35,61,18,4,47,26,15,15,32,49,19,49,18,48,31,26,32,44,19,43,34,3,69,63,17,44,18,25,46,25,31,48,18,15,15,14,51,26,19,60,17,26,18,76,14,14,34,1.0
27,66,15,92,61,34,83,17,70,23,15,78,71,20,29,64,29,37,62,25,72,17,17,77,71,21,62,31,29,63,2,22,75,75,20,54,63,9,24,67,76,17,67,24,57,31,3,70,58,11,63,25,23,69,76,17,68,24,57,37,67,29,3,78,68,21,85,10,73,10,18,19,84,10,3,93,56,37,29,37,17,69,30,31,30,11,57,31,62,30,18,32,25,65,25,65,77,10,69,18,17,38,76,10,69,22,25,37,57,26,70,11,2,92,17,70,17,66,63,22,30,26,18,23,63,22,2,77,64,11,72,18,3,66,26,31,64,18,3,38,26,11,18,26,57,23,58,19,57,25,26,26,30,23,29,31,2,69,69,18,30,19,25,37,25,25,57,22,18,11,17,65,26,23,63,18,26,19,72,10,17,31,2.0
34,67,7,92,60,41,80,14,76,17,9,86,77,16,36,56,37,45,62,18,77,14,8,85,77,17,63,29,35,56,2,21,83,80,16,45,54,14,23,70,80,14,75,17,49,31,3,71,50,15,63,18,23,69,80,14,76,18,47,43,75,28,3,86,76,16,81,14,78,14,10,15,80,14,3,93,48,44,36,44,9,70,37,31,38,15,49,30,62,30,9,32,23,57,24,57,81,14,76,14,9,46,80,14,76,17,24,45,49,18,77,14,2,92,9,71,9,58,63,17,37,18,10,18,63,17,2,85,64,15,77,14,3,58,24,31,63,15,3,46,25,15,9,19,50,17,50,15,49,18,24,18,38,17,37,31,2,70,76,14,38,15,24,45,24,18,49,17,10,15,9,57,25,17,63,14,25,15,77,14,9,31,2.0
32,62,21,91,38,58,91,13,72,38,23,72,72,21,32,62,32,59,39,40,73,14,22,72,73,21,38,55,32,62,3,32,71,79,20,34,62,3,32,63,80,13,54,40,35,55,4,63,36,4,39,40,32,62,80,14,54,39,35,59,52,54,4,73,54,21,92,3,74,3,23,15,91,3,3,92,34,59,32,59,22,62,33,55,33,4,35,55,39,54,23,56,32,62,32,63,81,3,54,14,23,60,80,3,54,21,32,60,35,41,55,3,3,91,23,63,23,63,39,21,33,41,23,22,39,21,3,72,40,3,73,14,4,63,33,56,39,14,4,60,33,4,23,41,35,22,35,15,35,40,33,41,33,22,32,55,3,62,54,14,33,15,32,59,32,40,35,21,23,4,22,62,33,22,39,14,33,15,73,3,22,55,2.0
32,67,23,91,47,50,91,9,57,35,24,70,58,35,32,63,33,53,48,36,58,10,24,70,58,35,48,46,32,62,3,25,69,83,35,40,62,3,27,68,84,10,57,36,42,47,4,69,43,4,48,36,26,68,84,10,57,36,42,52,57,45,3,71,58,36,92,3,59,3,25,11,91,3,3,92,42,52,32,52,24,68,33,47,33,4,42,46,48,46,25,47,26,62,27,63,85,3,58,10,25,53,84,3,58,36,27,53,42,37,59,3,3,91,25,68,25,63,48,36,33,37,25,37,48,36,3,70,49,3,58,10,4,63,27,47,48,10,4,53,27,4,25,37,42,37,42,11,42,36,27,37,33,37,32,46,3,68,58,10,33,11,26,52,26,36,42,36,25,4,24,62,27,37,48,10,27,11,58,3,24,46,2.0
27,68,20,88,56,64,91,13,75,20,21,74,75,18,27,65,29,64,58,23,76,14,21,73,76,17,57,36,28,66,4,24,72,79,17,28,65,3,24,69,80,13,72,22,30,37,6,70,30,4,57,22,25,69,80,14,71,21,29,65,70,34,6,74,72,18,92,3,77,3,22,15,91,3,6,90,30,64,28,65,21,69,29,37,29,4,29,36,58,37,22,37,25,66,24,66,81,3,72,14,22,66,80,3,72,17,26,65,30,23,73,3,5,89,21,70,21,67,58,19,29,23,22,19,58,18,5,73,59,4,76,14,6,67,26,37,58,15,6,66,26,4,22,23,30,19,30,15,29,22,26,23,29,19,28,36,5,69,72,14,29,15,25,65,25,22,29,18,22,4,21,66,26,19,58,14,26,15,76,3,21,36,2.0
31,66,21,91,38,57,91,6,70,35,23,72,71,22,32,63,32,59,39,36,72,7,22,72,72,22,39,55,32,62,3,28,71,86,20,35,61,3,29,67,87,6,57,36,35,55,4,67,37,3,39,37,28,66,87,7,57,37,36,58,55,54,4,73,57,22,92,3,73,3,23,8,91,3,3,92,35,58,32,58,22,66,32,56,33,4,36,55,38,54,23,56,28,62,29,63,88,3,57,7,23,59,87,3,57,22,29,59,36,37,58,3,3,91,23,67,23,63,39,22,32,38,23,23,39,22,3,72,40,3,72,7,4,63,29,56,39,7,4,59,29,4,23,38,36,22,36,7,36,37,29,38,32,23,32,55,3,66,57,7,32,8,28,58,28,37,36,22,23,4,22,62,29,23,39,7,29,8,72,3,22,55,1.0
32,65,16,91,54,49,86,17,72,28,17,77,72,20,33,61,34,51,55,31,73,17,17,77,73,21,55,39,33,61,3,25,76,75,20,43,60,6,27,67,76,17,63,30,45,40,3,68,45,8,55,30,27,67,76,18,64,30,44,50,62,38,3,78,63,21,88,7,74,7,18,19,87,7,3,92,45,50,33,50,17,67,34,40,34,8,44,39,55,40,18,40,27,61,28,61,77,7,64,18,18,51,76,7,64,21,28,51,45,31,65,8,3,91,17,67,18,61,55,22,34,31,18,22,55,21,3,77,56,8,73,18,4,62,28,40,56,19,4,51,28,8,18,31,45,22,45,19,44,30,28,31,34,22,33,39,3,67,64,18,34,19,27,50,27,30,44,21,18,8,17,61,28,22,55,18,28,19,73,7,17,39,1.0
29,66,21,86,35,58,91,13,72,35,23,72,73,21,30,66,30,60,36,36,73,14,22,72,73,21,36,58,29,65,6,28,71,79,20,34,65,3,29,67,80,14,57,36,34,59,8,67,36,4,36,37,28,66,80,14,57,37,35,59,55,57,8,73,57,21,92,3,74,3,23,15,91,3,7,88,34,60,29,59,22,66,30,59,30,4,35,58,35,57,23,59,28,65,29,66,81,3,57,14,23,60,80,3,57,21,29,60,35,38,58,3,7,87,23,67,23,66,36,21,30,38,23,22,36,21,7,72,37,3,73,14,8,66,29,59,36,14,8,60,29,4,23,38,35,22,35,15,35,37,29,38,30,22,29,58,7,66,57,14,30,15,28,59,28,37,35,21,23,4,22,65,29,22,36,14,29,15,73,3,22,58,2.0
34,65,23,83,38,57,91,9,67,37,25,70,69,25,34,60,34,59,39,40,69,10,24,70,69,24,39,55,35,59,9,29,69,83,23,35,58,3,30,66,84,10,54,40,36,54,11,66,37,3,39,40,29,65,84,10,53,40,36,58,51,54,11,71,54,25,92,3,70,3,25,11,91,3,10,85,35,57,35,58,24,65,35,56,36,4,36,55,39,54,25,56,29,59,30,60,85,3,54,10,25,59,84,3,54,25,30,59,36,40,55,3,10,84,25,66,25,60,39,25,35,41,25,26,39,25,10,70,40,3,69,10,11,60,30,56,39,10,11,59,30,4,25,41,36,25,36,10,36,40,30,41,35,26,35,55,10,65,54,10,35,11,29,58,29,40,36,25,25,4,24,59,30,26,39,10,30,11,69,3,24,55,1.0
32,65,23,91,39,58,91,9,60,42,25,70,62,31,32,63,33,60,40,44,62,10,24,70,62,32,39,54,32,62,3,29,69,83,30,34,62,3,30,66,84,10,49,44,35,55,4,66,36,4,40,44,29,65,84,10,50,43,35,59,48,53,4,71,50,32,92,3,63,3,25,11,91,3,3,92,35,59,32,59,24,65,33,55,33,4,35,54,40,54,25,55,29,62,30,63,85,3,50,10,25,60,84,3,50,32,30,60,35,45,51,3,3,91,25,66,25,63,40,32,33,45,25,33,40,32,3,70,41,3,62,10,4,63,30,55,40,10,4,60,30,4,25,45,35,33,35,11,35,44,30,45,33,33,32,54,3,65,50,10,33,11,29,59,29,44,35,32,25,4,24,62,30,33,40,10,30,11,62,3,24,54,2.0
31,65,21,86,38,57,91,3,64,41,23,72,66,27,32,62,32,59,39,43,66,3,22,72,66,28,38,55,32,62,6,29,71,91,26,35,61,3,29,66,91,3,50,43,36,55,8,66,37,3,39,43,29,65,91,3,51,42,36,58,49,54,8,73,51,28,92,3,67,3,23,4,91,3,7,88,35,58,32,58,22,65,32,56,33,4,36,55,39,54,23,56,29,62,30,63,92,3,51,3,23,59,91,3,51,28,30,59,36,43,52,3,7,87,23,66,23,63,39,28,32,44,23,29,39,28,7,72,40,3,66,3,8,63,30,56,39,3,8,59,30,4,23,44,36,28,36,3,36,43,30,44,32,29,32,55,7,65,51,3,32,4,29,58,29,43,36,28,23,4,22,62,30,29,39,3,30,4,66,3,22,55,2.0
32,65,20,91,50,51,91,17,67,31,21,73,68,24,34,61,34,53,52,34,69,17,21,73,68,24,51,43,33,61,3,27,72,75,23,41,60,3,28,66,76,17,60,33,43,44,3,67,43,4,51,33,28,66,76,17,60,33,42,52,59,42,3,74,60,26,92,3,70,3,22,19,91,3,3,92,43,53,33,52,21,66,34,44,34,4,42,43,51,44,22,44,28,61,29,61,77,3,61,19,22,53,76,3,61,25,29,53,43,34,62,4,3,91,21,66,22,61,52,26,34,34,22,26,51,25,3,73,52,4,69,18,4,62,29,44,52,19,4,53,29,4,22,34,43,26,43,19,42,33,29,34,34,26,33,43,3,66,61,18,34,19,28,52,28,33,42,25,22,4,21,61,29,26,51,18,29,19,69,3,21,43,1.0
31,66,21,91,38,57,91,5,61,31,23,72,63,30,31,63,32,59,39,33,63,6,22,72,63,30,39,54,32,62,3,28,71,87,29,35,61,3,29,67,88,6,60,32,36,55,4,67,37,3,39,33,28,66,88,6,60,33,35,58,59,54,4,73,61,31,92,3,64,3,23,7,91,3,3,92,36,57,32,58,22,66,32,56,33,4,36,55,38,55,23,56,28,62,29,63,89,3,61,6,23,59,88,3,61,31,29,59,36,33,62,3,3,91,23,67,23,63,39,31,32,34,23,32,39,31,3,72,40,3,63,6,4,63,29,56,39,6,4,59,29,4,23,34,36,31,36,6,36,33,29,34,32,32,32,55,3,66,61,6,32,7,28,58,28,33,36,31,23,4,22,62,29,32,39,6,29,7,63,3,22,55,1.0
30,65,19,86,47,49,91,13,63,31,20,73,64,27,33,61,33,51,48,33,65,16,21,73,65,29,48,46,32,62,6,27,71,73,27,43,60,3,27,65,77,16,59,33,44,47,7,67,45,4,48,33,28,66,77,17,61,33,44,50,59,45,7,74,60,29,92,3,66,3,22,18,91,3,7,88,43,51,32,50,21,66,33,47,33,4,44,46,48,45,22,47,28,62,29,61,78,3,61,18,22,51,77,3,61,29,29,51,44,34,62,4,7,87,20,66,22,62,49,29,33,34,22,30,48,29,7,73,49,4,65,17,8,63,29,47,49,18,8,51,29,4,22,34,45,30,45,18,44,33,29,34,33,30,32,46,7,66,61,17,33,18,28,50,28,33,44,29,22,4,21,62,29,30,48,17,29,18,65,3,21,46,2.0
34,64,17,87,44,56,91,13,75,37,18,76,76,17,35,59,35,58,45,40,76,14,18,76,76,18,46,48,35,59,5,28,75,79,17,36,58,3,29,65,80,14,54,38,38,48,7,66,38,4,46,39,29,65,80,14,55,39,37,57,53,46,6,77,55,17,92,3,77,3,19,15,91,3,6,89,37,57,35,57,18,65,36,49,36,4,37,48,45,48,19,49,29,59,30,60,81,3,55,14,19,58,80,3,55,18,30,58,38,40,56,3,6,88,19,65,19,60,46,19,36,40,19,19,46,18,6,76,47,4,76,14,7,60,30,49,46,15,7,58,30,4,19,40,38,19,38,15,37,39,30,40,36,19,35,48,6,65,55,14,36,15,29,57,29,39,37,18,19,4,18,59,30,19,46,14,30,15,76,3,18,48,2.0
29,68,20,83,55,50,91,12,60,35,21,73,62,31,30,66,30,53,56,36,62,13,21,73,62,32,55,37,29,65,9,24,72,80,30,40,65,3,26,69,81,13,56,35,41,38,11,70,43,4,57,37,25,69,81,13,57,35,42,52,55,35,10,74,57,31,92,3,63,3,22,14,91,3,10,85,41,53,29,52,21,69,30,38,30,4,42,37,55,36,22,38,25,65,26,66,82,3,57,13,22,53,81,3,57,32,26,53,42,38,58,3,10,84,22,69,22,66,57,32,30,38,22,33,57,32,10,73,58,3,62,13,11,66,26,38,57,13,11,53,26,4,22,38,42,33,42,14,42,37,26,38,30,33,29,37,10,69,57,13,30,14,25,52,25,37,42,32,22,4,21,65,26,33,57,13,26,14,62,3,21,37,1.0
