@relation 'Sax dominant'

@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atLcc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o2atLcc numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMaa numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMac numeric
@attribute o2atLac numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atLcc numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMaa numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute o3atMca numeric
@attribute o3atLca numeric
@attribute destClass {1,2}

@data
14,30,0,14,0,30,15,15,1,31,16,16,15,15,17,13,14,18,15,15,13,17,16,16,14,16,20,15,9,21,10,21,10,14,15,16,15,16,15,10,15,10,2.0
21,19,11,9,11,19,21,9,12,20,22,10,18,11,25,5,6,26,12,19,5,25,12,19,6,19,25,12,5,26,6,25,5,17,18,13,18,13,18,6,18,5,2.0
21,16,14,9,14,16,21,9,15,17,22,10,18,11,27,3,4,28,12,19,3,27,12,19,4,19,23,12,7,24,8,23,7,17,18,13,18,13,18,8,18,7,1.0
19,17,13,11,13,17,19,11,14,18,20,12,18,11,27,3,4,28,12,19,3,27,12,19,4,19,24,11,6,25,7,24,6,18,19,12,19,12,19,7,19,6,2.0
14,21,8,13,9,22,16,15,9,22,16,15,5,24,15,14,15,16,25,6,15,16,25,6,15,6,14,22,12,17,15,16,14,7,8,23,8,23,8,15,8,14,2.0
15,31,0,10,0,31,18,13,0,31,18,13,11,19,16,13,14,17,19,11,14,17,20,12,14,12,24,13,5,25,6,25,6,16,17,14,17,14,17,6,17,6,1.0
16,26,4,12,4,26,17,13,5,27,18,14,7,18,22,8,9,23,21,10,8,22,21,10,9,10,20,18,8,22,10,21,9,11,12,19,12,19,12,10,12,9,2.0
17,23,5,10,6,24,19,12,7,25,19,12,12,18,15,15,16,16,18,12,15,15,19,13,16,13,23,18,6,24,7,24,7,9,11,20,11,20,11,7,11,7,1.0
13,24,5,15,6,25,14,16,6,25,15,17,7,22,12,18,18,12,23,8,19,13,23,8,18,8,16,24,12,18,14,17,13,4,6,26,5,25,6,14,5,13,1.0
22,14,16,8,16,14,22,8,17,15,23,9,15,14,24,5,6,25,15,16,6,25,15,16,6,16,22,26,6,24,8,23,7,4,5,27,4,26,5,8,4,7,2.0
19,17,13,11,13,17,19,11,14,18,20,12,17,12,26,4,5,27,13,18,4,26,13,18,5,18,24,11,6,25,7,24,6,18,19,12,19,12,19,7,19,6,2.0
15,23,5,12,6,24,17,14,7,25,17,14,10,20,14,16,17,15,20,10,16,14,21,11,17,11,23,18,6,24,7,24,7,9,11,20,11,20,11,7,11,7,1.0
11,25,5,16,5,25,13,18,6,26,13,18,5,21,23,7,8,24,23,7,7,23,24,8,8,8,17,16,12,18,13,18,13,13,14,17,14,17,14,13,14,13,1.0
21,18,12,9,12,18,21,9,13,19,22,10,17,12,24,6,7,25,13,18,6,24,13,18,7,18,25,11,5,26,6,25,5,18,19,12,19,12,19,6,19,5,2.0
20,18,11,9,12,19,21,10,12,19,21,10,10,18,19,10,11,20,20,12,11,20,19,11,11,11,18,13,10,20,11,19,11,16,16,14,17,14,17,12,17,11,2.0
14,25,3,13,4,26,16,15,5,27,16,15,10,20,13,17,18,14,20,10,17,13,21,11,18,11,22,26,5,24,7,24,7,3,4,27,4,27,4,7,4,7,2.0
21,22,7,9,8,23,22,10,8,23,21,9,1,29,8,20,21,9,30,2,22,10,29,1,21,1,12,29,14,15,17,14,16,1,2,30,1,29,2,17,1,16,1.0
12,28,2,15,2,28,14,17,3,29,14,17,15,14,20,10,11,21,15,16,10,20,15,16,11,16,17,16,13,18,14,17,13,13,14,17,14,17,14,14,14,13,1.0
22,22,4,7,7,25,23,8,6,24,23,8,4,25,11,19,19,11,26,5,20,12,26,5,19,5,10,29,19,11,20,11,20,1,2,30,1,29,2,20,1,20,1.0
17,30,0,10,0,30,19,12,1,31,19,12,14,16,19,11,12,20,16,14,11,19,17,15,12,15,26,12,3,27,4,27,4,17,18,13,18,13,18,4,18,4,1.0
15,22,8,15,8,22,15,15,9,23,16,16,13,15,21,9,10,22,16,14,9,21,17,15,10,15,22,14,7,23,8,23,8,15,16,15,16,15,16,8,16,8,1.0
20,16,14,10,14,16,20,10,15,17,21,11,18,11,28,2,3,29,12,19,2,28,12,19,3,19,23,12,7,24,8,23,7,17,18,13,18,13,18,8,18,7,1.0
15,24,4,12,5,25,17,14,6,26,17,14,10,20,13,17,18,14,20,10,17,13,21,11,18,11,22,20,7,23,8,23,8,7,9,22,9,22,9,8,9,8,1.0
17,26,4,10,4,26,19,12,5,27,19,12,13,17,17,13,14,18,17,13,13,17,18,14,14,14,23,15,6,24,7,24,7,14,15,16,15,16,15,7,15,7,2.0
19,22,6,8,7,23,21,10,8,24,21,10,12,18,16,14,15,17,18,12,14,16,19,13,15,13,21,16,8,22,9,22,9,13,14,17,14,17,14,9,14,9,1.0
19,17,13,11,13,17,19,11,14,18,20,12,17,12,26,4,5,27,13,18,4,26,13,18,5,18,25,11,5,26,6,25,5,18,19,12,19,12,19,6,19,5,2.0
15,23,7,12,7,23,17,14,8,24,17,14,12,18,17,11,13,19,18,12,12,18,19,13,13,13,24,14,5,25,6,25,6,15,16,15,16,15,16,6,16,6,1.0
26,13,16,2,17,14,28,4,17,14,27,3,15,15,20,10,10,20,16,16,11,21,15,15,10,15,17,27,11,19,13,18,12,3,4,28,3,27,4,13,3,12,2.0
15,29,1,12,1,29,17,14,2,30,17,14,9,21,13,17,18,14,21,9,17,13,22,10,18,10,22,16,7,23,8,23,8,13,14,17,14,17,14,8,14,8,2.0
16,30,0,11,0,30,18,13,1,31,18,13,7,23,11,19,20,12,23,7,19,11,24,8,20,8,21,18,8,22,9,22,9,11,12,19,12,19,12,9,12,9,2.0
19,27,2,8,3,28,21,10,3,28,21,10,5,25,11,18,19,12,25,5,19,12,26,6,19,6,19,21,10,20,11,20,11,8,9,22,9,22,9,11,9,11,2.0
12,29,1,13,1,29,15,16,2,30,15,16,9,21,13,17,18,14,21,9,17,13,22,10,18,10,23,15,6,24,7,24,7,14,15,16,15,16,15,7,15,7,1.0
20,16,14,10,14,16,20,10,15,17,21,11,17,12,24,6,7,25,13,18,6,24,13,18,7,18,24,13,6,25,7,24,6,16,17,14,17,14,17,7,17,6,2.0
19,25,3,11,4,26,19,11,5,27,20,12,16,14,19,11,12,20,14,16,11,19,15,17,12,17,23,14,6,24,7,24,7,15,16,15,16,15,16,7,16,7,2.0
16,28,1,14,2,29,16,14,2,29,17,15,13,17,17,13,14,18,17,13,13,17,18,14,14,14,21,15,8,22,9,22,9,14,15,16,15,16,15,9,15,9,1.0
14,26,2,13,3,27,16,15,4,28,16,15,4,24,16,14,15,17,25,5,14,16,26,6,15,6,17,20,12,18,13,18,13,9,10,21,10,21,10,13,10,13,1.0
16,21,8,14,9,22,17,15,9,22,16,14,0,31,4,23,25,6,31,0,25,6,31,0,25,0,13,31,15,15,17,14,16,0,0,31,0,31,0,17,0,16,1.0
11,26,3,18,4,27,12,19,4,27,12,19,5,25,10,18,20,12,25,5,19,11,26,6,20,6,20,15,9,21,10,21,10,14,15,16,15,16,15,10,15,10,1.0
13,28,2,15,2,28,14,16,3,29,15,17,11,17,20,10,11,21,18,12,10,20,19,13,11,13,19,16,8,21,10,21,10,13,14,17,14,17,14,10,14,10,2.0
18,28,2,9,2,28,20,11,3,29,20,11,10,20,14,16,17,15,20,10,16,14,21,11,17,11,21,17,8,22,9,22,9,12,13,18,13,18,13,9,13,9,1.0
20,19,10,9,11,20,21,10,11,20,21,10,10,19,17,12,13,18,20,11,13,18,20,11,13,11,17,19,12,18,13,18,13,10,11,20,11,20,11,13,11,13,2.0
15,27,3,12,3,27,17,14,4,28,17,14,10,20,13,17,18,14,20,10,17,13,21,11,18,11,22,18,7,23,8,23,8,11,12,19,12,19,12,8,12,8,2.0
16,25,3,11,5,27,18,13,4,26,18,13,5,25,14,15,16,15,25,5,16,15,26,6,16,6,17,17,13,17,13,18,14,12,13,18,13,18,13,13,13,14,1.0
15,27,3,12,3,27,17,14,4,28,17,14,10,18,16,14,15,17,19,11,14,16,20,12,15,12,21,16,8,22,9,22,9,13,14,17,14,17,14,9,14,9,2.0
17,27,3,10,3,27,19,12,4,28,19,12,11,19,15,15,16,16,19,11,15,15,20,12,16,12,22,16,7,23,8,23,8,13,14,17,14,17,14,8,14,8,2.0
13,27,2,14,3,28,15,16,3,28,15,16,12,18,15,15,16,16,18,12,15,15,19,13,16,13,20,16,9,21,10,21,10,13,14,17,14,17,14,10,14,10,2.0
19,17,13,11,13,17,19,11,14,18,20,12,17,12,26,4,5,27,13,18,4,26,13,18,5,18,24,11,6,25,7,24,6,18,19,12,19,12,19,7,19,6,2.0
18,21,8,12,9,22,19,13,9,22,18,12,1,29,9,20,21,10,30,2,21,10,29,1,21,1,16,31,12,18,14,17,13,0,0,31,0,31,0,14,0,13,1.0
21,14,16,8,16,14,22,9,17,15,22,9,17,12,27,3,3,27,13,18,4,28,13,18,3,18,26,16,4,27,5,26,4,14,15,17,14,16,15,5,14,4,1.0
18,27,3,9,3,27,20,11,4,28,20,11,11,19,16,14,15,17,19,11,14,16,20,12,15,12,23,14,6,24,7,24,7,15,16,15,16,15,16,7,16,7,1.0
15,31,0,10,0,31,18,13,0,31,18,13,11,19,16,14,15,17,19,11,14,16,20,12,15,12,25,14,4,26,5,26,5,15,16,15,16,15,16,5,16,5,2.0
15,29,1,12,1,29,17,14,2,30,17,14,10,20,14,16,17,15,20,10,16,14,21,11,17,11,22,16,7,23,8,23,8,13,14,17,14,17,14,8,14,8,2.0
21,20,10,9,10,20,21,9,11,21,22,10,18,11,25,5,6,26,12,19,5,25,12,19,6,19,25,12,5,26,6,25,5,17,18,13,18,13,18,6,18,5,2.0
15,24,4,12,5,25,17,14,6,26,17,14,9,21,13,17,18,14,21,9,17,13,22,10,18,10,23,21,6,24,7,24,7,6,8,23,8,23,8,7,8,7,1.0
19,24,4,11,5,25,19,11,6,26,20,12,15,15,20,10,11,21,15,15,10,20,16,16,11,16,23,14,7,24,8,23,7,15,16,15,16,15,16,8,16,7,2.0
14,22,8,13,8,22,16,15,9,23,16,15,5,24,16,12,14,18,25,6,13,17,25,6,14,6,16,22,12,18,14,17,13,7,8,23,8,23,8,14,8,13,2.0
20,14,16,9,16,14,21,10,17,15,21,10,15,14,23,6,7,24,15,16,7,24,15,16,7,16,23,26,5,25,7,24,6,4,5,27,4,26,5,7,4,6,2.0
12,24,6,16,6,24,13,17,7,25,14,18,4,25,9,21,21,9,26,5,22,10,26,5,21,5,14,25,14,16,16,15,15,4,5,26,5,26,5,16,5,15,2.0
19,21,8,11,9,22,20,12,9,22,19,11,2,28,7,23,23,7,29,3,24,8,28,2,23,2,15,31,13,17,15,16,14,0,0,31,0,31,0,15,0,14,1.0
16,24,4,11,5,25,18,13,6,26,18,13,9,21,13,17,18,14,21,9,17,13,22,10,18,10,22,21,7,23,8,23,8,6,8,23,8,23,8,8,8,8,1.0
14,24,4,13,5,25,16,15,6,26,16,15,9,21,13,17,18,14,21,9,17,13,22,10,18,10,23,20,6,24,7,24,7,7,9,22,9,22,9,7,9,7,1.0
21,20,8,9,10,22,22,10,9,21,21,9,1,29,10,19,20,11,30,2,20,11,29,1,20,1,15,31,13,17,15,16,14,0,0,31,0,31,0,15,0,14,1.0
15,26,4,12,4,26,17,14,5,27,17,14,9,21,14,16,17,15,21,9,16,14,22,10,17,10,22,16,7,23,8,23,8,13,14,17,14,17,14,8,14,8,2.0
15,27,2,13,3,28,16,14,3,28,17,15,6,23,16,14,15,17,24,7,14,16,24,7,15,7,17,19,12,18,13,18,13,10,11,20,11,20,11,13,11,13,1.0
17,19,9,13,10,20,17,13,11,21,18,14,10,18,25,5,6,26,19,11,5,25,20,12,6,12,20,15,9,21,10,21,10,14,15,16,15,16,15,10,15,10,1.0
18,23,5,12,6,24,18,12,7,25,19,13,17,12,22,8,9,23,13,18,8,22,13,18,9,18,22,12,8,23,9,22,8,17,18,13,18,13,18,9,18,8,2.0
15,28,2,12,2,28,17,14,3,29,17,14,10,20,14,16,17,15,20,10,16,14,21,11,17,11,22,16,7,23,8,23,8,13,14,17,14,17,14,8,14,8,2.0
15,31,0,15,0,31,15,15,0,31,16,16,13,17,17,12,13,18,17,13,13,18,18,14,13,14,21,14,8,22,9,22,9,15,16,15,16,15,16,9,16,9,1.0
21,19,11,9,11,19,21,9,12,20,22,10,17,12,25,5,6,26,13,18,5,25,13,18,6,18,25,12,5,26,6,25,5,17,18,13,18,13,18,6,18,5,2.0
14,26,3,14,4,27,15,15,4,27,16,16,12,18,15,14,15,16,18,12,15,16,19,13,15,13,20,16,9,21,10,21,10,13,14,17,14,17,14,10,14,10,2.0
12,30,0,13,1,31,15,16,0,30,15,16,3,27,7,20,22,9,27,3,22,9,28,4,22,4,18,16,12,18,12,19,13,13,14,17,14,17,14,12,14,13,1.0
21,19,9,9,10,20,21,9,11,21,22,10,18,12,23,7,8,24,12,18,7,23,13,19,8,19,25,14,5,26,6,25,5,15,16,15,16,15,16,6,16,5,2.0
13,30,0,14,1,31,15,16,0,30,15,16,0,31,3,27,27,3,31,0,28,4,31,0,27,0,13,28,15,15,17,14,16,2,3,29,2,28,3,17,2,16,2.0
21,22,8,7,9,23,23,9,8,22,22,8,5,25,9,21,21,9,26,6,22,10,25,5,21,5,12,26,17,13,18,13,18,3,4,27,4,27,4,18,4,18,2.0
13,30,0,14,1,31,15,16,0,30,15,16,2,28,8,21,22,9,28,2,22,9,29,3,22,3,16,20,14,16,14,17,15,9,10,21,10,21,10,14,10,15,1.0
21,14,16,9,16,14,21,9,17,15,22,10,16,13,25,4,5,26,14,17,5,26,14,17,5,17,26,25,4,27,5,26,4,5,6,26,5,25,6,5,5,4,1.0
17,27,3,10,3,27,19,12,4,28,19,12,12,18,17,13,14,18,18,12,13,17,19,13,14,13,26,13,3,27,4,27,4,16,17,14,17,14,17,4,17,4,2.0
21,20,9,8,10,21,22,9,10,21,22,9,10,19,19,10,11,20,20,11,11,20,20,11,11,11,20,17,9,21,10,21,10,12,13,18,13,18,13,10,13,10,1.0
16,28,0,12,2,30,18,14,1,29,17,13,0,31,8,21,22,9,31,0,22,9,31,0,22,0,13,24,16,14,17,14,17,5,6,25,6,25,6,17,6,17,1.0
14,30,0,14,1,31,16,16,0,30,15,15,0,30,9,20,21,10,30,0,21,10,31,1,21,1,14,21,16,14,16,15,17,8,9,22,9,22,9,16,9,17,1.0
14,28,1,13,2,29,16,15,2,29,16,15,13,17,16,14,15,17,17,13,14,16,18,14,15,14,20,15,9,21,10,21,10,14,15,16,15,16,15,10,15,10,2.0
20,19,10,9,11,20,21,10,11,20,21,10,11,18,19,10,11,20,19,12,11,20,19,12,11,12,20,18,9,21,10,21,10,11,12,19,12,19,12,10,12,10,2.0
20,20,9,9,10,21,21,10,10,21,21,10,7,22,18,11,12,19,23,8,12,19,23,8,12,8,19,18,10,20,11,20,11,11,12,19,12,19,12,11,12,11,1.0
21,15,15,9,15,15,21,9,16,16,22,10,17,12,23,7,8,24,13,18,7,23,13,18,8,18,24,14,6,25,7,24,6,15,16,15,16,15,16,7,16,6,2.0
16,20,8,14,9,21,16,14,10,22,17,15,9,20,21,9,10,22,21,10,9,21,21,10,10,10,20,16,8,22,10,21,9,13,14,17,14,17,14,10,14,9,1.0
16,25,5,11,5,25,18,13,6,26,18,13,7,21,14,16,17,15,22,8,16,14,23,9,17,9,18,17,11,19,12,19,12,12,13,18,13,18,13,12,13,12,2.0
17,26,4,10,4,26,19,12,5,27,19,12,7,23,12,18,19,13,23,7,18,12,24,8,19,8,20,17,9,21,10,21,10,12,13,18,13,18,13,10,13,10,1.0
15,25,3,12,4,26,17,14,5,27,17,14,10,20,13,17,18,14,20,10,17,13,21,11,18,11,22,19,7,23,8,23,8,8,10,21,10,21,10,8,10,8,1.0
15,20,10,14,10,20,16,15,11,21,16,15,13,17,18,10,12,20,17,13,11,19,18,14,12,14,25,14,4,26,5,26,5,15,16,15,16,15,16,5,16,5,2.0
20,19,9,10,11,21,21,11,10,20,20,10,5,25,10,19,20,11,26,6,20,11,25,5,20,5,13,31,13,16,16,15,15,0,0,31,0,31,0,16,0,15,2.0
21,14,16,9,16,14,21,9,17,15,22,10,14,16,18,12,13,19,16,14,12,18,17,15,13,15,18,24,11,19,12,19,12,5,6,25,6,25,6,12,6,12,2.0
22,16,13,8,14,17,22,8,14,17,23,9,8,22,18,11,12,19,22,8,12,19,23,9,12,9,18,19,11,19,12,19,12,10,11,20,11,20,11,12,11,12,1.0
15,25,4,12,5,26,17,14,5,26,17,14,9,21,13,17,18,14,21,9,17,13,22,10,18,10,22,23,7,23,8,23,8,6,7,24,7,24,7,8,7,8,1.0
20,15,15,10,15,15,20,10,16,16,21,11,18,11,27,3,4,28,12,19,3,27,12,19,4,19,25,21,5,26,6,25,5,9,10,22,9,21,10,6,9,5,2.0
10,24,5,19,6,25,11,20,6,25,11,20,6,24,12,16,18,14,24,6,17,13,25,7,18,7,20,15,9,21,10,21,10,14,15,16,15,16,15,10,15,10,1.0
16,27,2,12,3,28,17,13,3,28,18,14,13,17,16,14,15,17,17,13,14,16,18,14,15,14,21,15,8,22,9,22,9,14,15,16,15,16,15,9,15,9,2.0
14,28,2,13,2,28,16,15,3,29,16,15,10,20,13,17,18,14,20,10,17,13,21,11,18,11,22,16,7,23,8,23,8,13,14,17,14,17,14,8,14,8,2.0
19,26,2,11,3,27,19,11,4,28,20,12,16,14,19,11,12,20,14,16,11,19,15,17,12,17,22,13,8,23,9,22,8,16,17,14,17,14,17,9,17,8,2.0
12,27,2,15,3,28,14,17,3,28,14,17,12,18,15,14,15,16,18,12,15,16,19,13,15,13,20,15,9,21,10,21,10,14,15,16,15,16,15,10,15,10,2.0
11,26,4,18,4,26,12,19,5,27,12,19,4,26,11,17,19,13,26,4,18,12,27,5,19,5,19,16,10,20,11,20,11,13,14,17,14,17,14,11,14,11,1.0
20,20,10,10,10,20,20,10,11,21,21,11,18,11,25,5,6,26,12,19,5,25,12,19,6,19,25,13,5,26,6,25,5,16,17,14,17,14,17,6,17,5,1.0
16,24,6,11,6,24,18,13,7,25,18,13,11,19,15,15,16,16,19,11,15,15,20,12,16,12,20,17,9,21,10,21,10,12,13,18,13,18,13,10,13,10,2.0
11,24,6,17,6,24,12,18,7,25,13,19,4,24,14,14,16,16,25,5,15,15,26,6,16,6,18,17,11,19,12,19,12,12,13,18,13,18,13,12,13,12,1.0
16,24,4,11,5,25,18,13,6,26,18,13,9,21,13,17,18,14,21,9,17,13,22,10,18,10,21,20,8,22,9,22,9,7,9,22,9,22,9,9,9,9,1.0
18,20,10,12,10,20,18,12,11,21,19,13,17,12,24,6,7,25,13,18,6,24,13,18,7,18,23,13,7,24,8,23,7,16,17,14,17,14,17,8,17,7,2.0
13,28,2,14,2,28,15,16,3,29,15,16,11,19,15,15,16,16,19,11,15,15,20,12,16,12,25,14,4,26,5,26,5,15,16,15,16,15,16,5,16,5,2.0
23,19,11,7,11,19,23,7,12,20,24,8,17,12,26,4,5,27,13,18,4,26,13,18,5,18,23,12,7,24,8,23,7,17,18,13,18,13,18,8,18,7,1.0
16,21,8,12,9,22,18,14,9,22,17,13,2,28,11,19,19,11,29,3,20,12,28,2,19,2,14,30,14,16,16,15,15,0,1,31,0,30,1,16,0,15,1.0
10,26,3,19,4,27,11,20,4,27,11,20,8,22,13,17,18,14,22,8,17,13,23,9,18,9,23,13,7,23,7,24,8,16,17,14,17,14,17,7,17,8,1.0
10,26,3,19,4,27,11,20,4,27,11,20,8,22,13,17,18,14,22,8,17,13,23,9,18,9,23,13,7,23,7,24,8,16,17,14,17,14,17,7,17,8,1.0
24,19,11,5,11,19,25,6,12,20,25,6,18,11,25,5,6,26,12,19,5,25,12,19,6,19,23,12,7,24,8,23,7,17,18,13,18,13,18,8,18,7,2.0
17,25,5,10,5,25,19,12,6,26,19,12,14,16,18,12,13,19,16,14,12,18,17,15,13,15,24,14,5,25,6,25,6,15,16,15,16,15,16,6,16,6,1.0
21,21,7,9,9,23,22,10,8,22,21,9,4,26,8,21,22,9,27,5,22,9,26,4,22,4,15,31,13,17,15,16,14,0,0,31,0,31,0,15,0,14,1.0
14,30,0,13,0,30,16,15,1,31,16,15,11,19,16,14,15,17,19,11,14,16,20,12,15,12,25,13,4,26,5,26,5,16,17,14,17,14,17,5,17,5,1.0
19,16,14,11,14,16,19,11,15,17,20,12,18,11,28,2,3,29,12,19,2,28,12,19,3,19,23,12,7,24,8,23,7,18,19,13,18,12,19,8,18,7,2.0
19,27,2,8,3,28,21,10,3,28,21,10,7,23,12,17,18,13,23,7,18,13,24,8,18,8,19,20,10,20,11,20,11,9,10,21,10,21,10,11,10,11,2.0
15,29,0,12,1,30,17,14,1,30,17,14,3,27,6,24,25,7,27,3,24,6,28,4,25,4,14,20,15,15,16,15,16,9,10,21,10,21,10,16,10,16,1.0
15,28,2,12,2,28,17,14,3,29,17,14,15,14,20,10,11,21,15,16,10,20,15,16,11,16,23,13,7,24,8,23,7,16,17,14,17,14,17,8,17,7,2.0
17,21,7,13,8,22,17,13,9,23,18,14,17,12,21,9,10,22,13,18,9,21,13,18,10,18,23,13,7,24,8,23,7,16,17,14,17,14,17,8,17,7,2.0
19,30,0,9,1,31,21,11,0,30,20,10,4,26,7,22,23,8,27,5,23,8,26,4,23,4,12,31,14,15,17,14,16,0,0,31,0,31,0,17,0,16,2.0
10,26,3,19,4,27,11,20,4,27,11,20,5,25,9,19,21,11,25,5,20,10,26,6,21,6,19,15,10,20,11,20,11,14,15,16,15,16,15,11,15,11,1.0
16,25,3,14,4,26,16,14,5,27,17,15,17,13,21,9,10,22,13,17,9,21,14,18,10,18,24,13,6,25,7,24,6,16,17,14,17,14,17,7,17,6,2.0
22,16,13,8,14,17,22,8,14,17,23,9,18,11,25,5,5,25,12,19,6,26,12,19,5,19,26,16,4,27,5,26,4,14,15,17,14,16,15,5,14,4,1.0
14,26,2,14,3,27,15,15,4,28,16,16,8,21,16,14,15,17,22,9,14,16,22,9,15,9,17,19,12,18,13,18,13,10,11,20,11,20,11,13,11,13,1.0
17,31,0,10,0,31,19,12,0,31,19,12,11,19,16,13,14,17,19,11,14,17,20,12,14,12,25,13,4,26,5,26,5,16,17,14,17,14,17,5,17,5,1.0
13,28,2,15,2,28,14,16,3,29,15,17,15,15,19,11,12,20,15,15,11,19,16,16,12,16,21,16,8,22,9,22,9,13,14,17,14,17,14,9,14,9,2.0
21,25,3,9,4,26,21,9,5,27,22,10,16,14,20,10,11,21,14,16,10,20,15,17,11,17,20,15,9,21,10,21,10,14,15,16,15,16,15,10,15,10,2.0
15,27,3,10,3,27,18,13,4,28,18,13,9,21,13,17,18,14,21,9,17,13,22,10,18,10,22,17,7,23,8,23,8,12,13,18,13,18,13,8,13,8,2.0
14,31,0,13,0,31,16,15,0,31,16,15,12,18,17,13,14,18,18,12,13,17,19,13,14,13,25,13,4,26,5,26,5,16,17,14,17,14,17,5,17,5,1.0
17,31,0,10,0,31,19,12,0,31,19,12,7,23,11,19,20,12,23,7,19,11,24,8,20,8,21,17,8,22,9,22,9,12,13,18,13,18,13,9,13,9,2.0
23,21,9,7,9,21,23,7,10,22,24,8,18,11,23,7,8,24,12,19,7,23,12,19,8,19,24,14,6,25,7,24,6,15,16,15,16,15,16,7,16,6,2.0
15,22,8,15,8,22,15,15,9,23,16,16,18,12,21,9,10,22,12,18,9,21,13,19,10,19,23,12,6,24,7,24,7,17,18,13,18,13,18,7,18,7,1.0
21,19,11,9,11,19,21,9,12,20,22,10,17,12,25,5,6,26,13,18,5,25,13,18,6,18,24,12,6,25,7,24,6,17,18,13,18,13,18,7,18,6,1.0
12,22,8,15,8,22,14,17,9,23,14,17,11,19,16,12,14,18,19,11,13,17,20,12,14,12,23,15,6,24,7,24,7,14,15,16,15,16,15,7,15,7,2.0
20,22,7,10,8,23,21,11,8,23,20,10,2,28,11,18,19,12,29,3,19,12,28,2,19,2,12,31,14,15,17,14,16,0,0,31,0,31,0,17,0,16,2.0
18,22,7,12,8,23,19,13,8,23,18,12,2,28,7,22,23,8,29,3,23,8,28,2,23,2,17,31,11,19,13,18,12,0,0,31,0,31,0,13,0,12,1.0
18,26,4,9,4,26,20,11,5,27,20,11,12,18,16,14,15,17,18,12,14,16,19,13,15,13,23,15,6,24,7,24,7,14,15,16,15,16,15,7,15,7,2.0
14,27,1,13,2,28,16,15,3,29,16,15,9,21,12,18,19,13,21,9,18,12,22,10,19,10,25,20,4,26,5,26,5,7,9,22,9,22,9,5,9,5,2.0
20,14,16,9,16,14,21,10,17,15,21,10,17,12,26,3,4,27,13,18,4,27,13,18,4,18,27,16,3,28,4,27,3,12,14,18,13,17,14,4,13,3,1.0
17,25,5,10,5,25,19,12,6,26,19,12,15,15,20,10,11,21,15,15,10,20,16,16,11,16,27,12,2,28,3,28,3,17,18,13,18,13,18,3,18,3,2.0
15,29,1,10,1,29,18,13,2,30,18,13,9,21,13,17,18,14,21,9,17,13,22,10,18,10,22,16,7,23,8,23,8,13,14,17,14,17,14,8,14,8,2.0
19,17,13,11,13,17,19,11,14,18,20,12,17,12,26,4,5,27,13,18,4,26,13,18,5,18,25,12,5,26,6,25,5,17,18,13,18,13,18,6,18,5,2.0
13,28,1,15,2,29,14,16,2,29,15,17,13,17,16,14,15,17,17,13,14,16,18,14,15,14,19,16,10,20,11,20,11,13,14,17,14,17,14,11,14,11,2.0
19,21,8,11,9,22,20,12,9,22,19,11,3,27,9,21,21,9,28,4,22,10,27,3,21,3,16,31,12,18,14,17,13,0,0,31,0,31,0,14,0,13,1.0
11,28,1,18,2,29,12,19,2,29,12,19,7,21,14,16,17,15,22,8,16,14,23,9,17,9,22,13,8,22,8,23,9,16,17,14,17,14,17,8,17,9,2.0
21,26,2,7,4,28,23,9,3,27,22,8,5,25,9,21,21,9,26,6,22,10,25,5,21,5,13,31,15,15,17,14,16,0,0,31,0,31,0,17,0,16,2.0
22,17,13,8,13,17,22,8,14,18,23,9,18,11,27,3,4,28,12,19,3,27,12,19,4,19,23,12,7,24,8,23,7,17,18,13,18,13,18,8,18,7,1.0
19,25,5,10,5,25,20,11,6,26,20,11,17,12,21,9,10,22,13,18,9,21,13,18,10,18,16,17,14,17,15,16,14,12,13,18,13,18,13,15,13,14,1.0
10,25,5,19,5,25,11,20,6,26,11,20,3,27,12,16,18,14,27,3,17,13,28,4,18,4,19,16,10,20,11,20,11,13,14,17,14,17,14,11,14,11,1.0
18,20,9,12,10,21,19,13,10,21,18,12,1,29,9,20,21,10,30,2,21,10,29,1,21,1,16,31,12,18,14,17,13,0,0,31,0,31,0,14,0,13,1.0
18,24,5,10,6,25,20,12,6,25,19,11,2,27,12,17,18,13,28,3,18,13,28,3,18,3,17,21,12,18,13,18,13,8,9,22,9,22,9,13,9,13,2.0
18,23,3,12,5,25,18,12,6,26,19,13,16,14,19,11,12,20,14,16,11,19,15,17,12,17,22,13,7,23,8,23,8,16,17,14,17,14,17,8,17,8,2.0
