@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute destClass {-1.0,1.0}

@data
26,35,25,67,23,25,68,31,51,39,51,38,55,35,47,66,24,68,24,69,55,34,55,31,47,38,23,69,25,66,25,39,25,39,25,35,24,39,24,39,25,39,25,38,1.0
16,16,13,77,13,15,78,13,72,17,72,18,75,15,69,76,13,78,14,79,75,15,75,13,69,17,13,79,14,76,15,19,14,18,15,16,14,19,14,19,15,17,14,18,-1.0
31,26,30,62,28,30,63,21,58,30,58,30,63,25,55,61,29,63,29,64,64,25,63,23,56,30,28,64,30,61,30,31,30,30,30,25,29,30,29,31,30,30,30,30,-1.0
27,27,25,65,23,25,66,23,57,31,57,30,62,27,52,63,24,67,24,68,62,26,62,23,53,31,23,68,26,64,26,32,26,32,26,27,24,32,24,32,26,31,26,30,1.0
34,44,33,58,29,34,59,41,45,45,46,47,47,43,44,57,31,60,31,61,49,44,48,42,44,46,30,61,33,57,34,47,33,45,33,43,31,45,31,47,33,45,33,47,1.0
25,31,23,68,22,24,69,28,57,33,57,33,60,31,54,67,23,69,23,70,60,30,60,28,54,33,22,70,24,67,24,34,24,34,24,31,23,34,23,34,24,33,24,33,-1.0
25,31,24,68,22,24,69,27,55,35,55,34,59,31,51,67,23,69,23,70,59,30,59,27,51,34,22,70,24,67,24,35,24,35,24,31,23,35,23,35,24,35,24,34,1.0
27,26,25,64,21,27,65,22,59,28,60,31,63,25,55,62,23,67,23,68,64,26,64,22,55,29,22,68,25,63,27,31,25,29,26,26,23,30,23,31,26,29,25,31,1.0
26,20,23,66,21,25,67,16,59,25,60,27,66,19,55,64,22,68,23,69,67,20,67,19,58,26,21,69,24,64,26,28,24,26,25,20,23,27,23,28,25,25,24,27,1.0
25,20,23,66,20,24,67,16,61,25,62,26,67,20,56,64,21,69,21,70,68,20,68,17,58,26,21,70,24,66,25,27,24,26,24,20,21,26,21,27,24,25,24,26,1.0
31,34,30,62,28,30,63,29,50,39,50,38,55,34,47,61,29,63,29,64,55,33,55,31,47,38,28,64,30,61,30,39,30,39,30,34,29,39,29,39,30,39,30,38,1.0
23,25,22,70,20,22,71,20,57,31,57,30,63,25,53,69,21,71,21,72,63,24,63,22,54,30,20,72,22,69,22,31,22,31,22,25,21,31,21,31,22,31,22,30,1.0
25,26,23,68,22,24,69,23,62,28,62,28,65,26,60,67,23,69,23,70,65,25,65,24,60,28,22,70,24,67,24,29,24,29,24,26,23,29,23,29,24,28,24,28,1.0
25,19,24,68,22,24,69,13,61,26,61,25,68,19,55,67,23,69,23,70,68,18,68,14,56,25,22,70,24,67,24,26,24,26,24,19,23,26,23,26,24,26,24,25,1.0
16,15,14,77,13,15,78,12,73,17,73,17,76,15,71,76,14,78,14,79,76,14,76,13,71,17,13,79,15,76,15,18,15,18,15,15,14,18,14,18,15,17,15,17,-1.0
31,41,31,61,27,29,61,38,47,44,47,42,50,41,45,59,29,63,28,63,50,40,50,39,45,43,27,63,30,59,30,43,31,44,31,41,29,44,29,44,30,44,31,42,-1.0
30,28,29,63,27,29,64,24,58,31,58,31,62,27,54,62,28,64,28,65,63,27,62,24,55,31,27,65,29,62,29,32,29,31,29,27,28,31,28,32,29,31,29,31,-1.0
28,26,27,64,24,27,64,20,49,34,50,35,58,26,44,63,26,66,25,66,59,26,59,24,47,35,25,66,27,63,28,35,28,35,28,26,26,35,26,36,27,34,28,35,-1.0
25,23,24,68,22,24,69,19,63,27,63,26,67,23,60,67,23,69,23,70,67,22,67,20,60,26,22,70,24,67,24,27,24,27,24,23,23,27,23,27,24,27,24,26,-1.0
25,29,23,68,22,24,69,24,55,33,55,33,60,29,51,67,23,69,23,70,60,28,60,25,51,33,22,70,24,67,24,34,24,34,24,29,23,34,23,34,24,33,24,33,1.0
32,38,31,60,27,31,61,36,54,38,54,38,55,37,53,59,29,62,29,63,56,37,55,36,53,38,28,63,31,59,31,39,31,38,31,37,29,38,29,39,31,38,31,38,-1.0
32,36,30,62,30,32,63,34,53,38,54,39,55,36,51,62,30,62,31,64,56,36,56,34,51,38,30,63,31,62,32,39,30,38,30,36,30,38,31,39,31,38,31,39,-1.0
29,23,28,64,26,28,65,18,61,28,61,27,66,23,58,63,27,65,27,66,66,22,66,20,58,27,26,66,28,63,28,28,28,28,28,23,27,28,27,28,28,28,28,27,-1.0
17,12,15,76,14,16,77,8,72,16,72,16,77,12,68,75,15,77,15,78,77,11,77,9,69,16,14,78,16,75,16,17,16,17,16,12,15,17,15,17,16,16,16,16,-1.0
30,30,28,62,25,29,63,27,57,32,58,33,60,30,54,61,27,64,27,65,61,30,61,27,54,33,26,65,29,61,30,34,29,33,29,30,27,33,27,34,29,32,29,33,1.0
30,31,27,61,22,29,62,28,54,34,55,35,58,31,50,60,25,64,26,66,59,31,59,28,51,35,24,65,29,60,30,36,28,35,28,31,25,35,26,36,29,34,29,35,1.0
32,23,31,61,29,31,62,19,65,25,65,25,68,22,62,60,30,62,30,63,69,22,68,19,62,25,29,63,31,60,31,26,31,25,31,22,30,25,30,26,31,25,31,25,-1.0
35,40,34,58,32,34,59,38,52,40,52,40,53,39,51,57,33,59,33,60,54,39,53,38,51,40,32,60,34,57,34,41,34,40,34,39,33,40,33,41,34,40,34,40,-1.0
35,37,34,57,30,34,58,33,49,40,49,40,53,36,47,55,32,59,32,60,54,36,53,35,48,40,30,60,34,55,34,41,34,40,34,36,32,40,32,41,34,40,34,40,-1.0
29,29,27,62,23,28,63,26,56,32,57,33,60,29,52,61,25,65,25,66,61,29,61,26,53,33,25,66,28,62,29,34,28,33,28,29,25,33,25,34,28,32,28,33,1.0
26,31,24,66,22,25,67,24,42,39,43,41,52,30,38,64,23,68,23,69,54,31,53,30,42,41,22,69,25,65,26,42,25,40,25,30,23,40,23,42,25,39,25,41,1.0
35,23,34,56,30,33,56,19,59,27,59,27,65,22,55,53,32,59,31,59,65,22,65,21,57,27,30,59,33,54,34,28,34,28,35,23,32,29,32,29,34,28,34,27,1.0
26,26,24,66,22,25,67,22,60,29,60,29,64,26,57,64,23,68,23,69,64,25,64,23,57,29,22,69,25,65,25,30,25,30,25,26,23,30,23,30,25,29,25,29,1.0
23,20,22,70,20,22,71,16,62,26,62,25,68,20,58,69,21,71,21,72,68,19,68,18,60,25,20,72,22,69,22,26,22,26,22,20,21,26,21,26,22,26,22,25,1.0
25,25,23,67,21,24,68,19,57,29,57,30,63,24,53,65,22,69,22,70,63,24,63,21,53,29,21,70,23,66,24,31,23,30,24,25,22,31,22,31,24,30,23,30,1.0
25,27,23,68,22,24,69,23,59,30,59,30,63,27,56,67,23,69,23,70,63,26,63,24,56,30,22,70,24,67,24,31,24,31,24,27,23,31,23,31,24,30,24,30,1.0
24,19,23,69,21,23,70,17,69,22,69,21,72,19,66,68,22,70,22,71,72,18,72,17,67,21,21,71,23,68,23,22,23,22,23,19,22,22,22,22,23,22,23,21,1.0
29,39,26,63,24,28,64,36,50,38,51,41,52,37,48,61,25,65,26,66,54,39,53,36,48,40,24,66,27,61,29,42,27,39,28,38,26,40,26,42,28,38,27,41,1.0
26,13,24,67,23,25,68,11,73,16,73,16,77,13,70,66,24,68,24,69,77,12,77,12,72,16,23,69,25,66,25,17,25,17,25,13,24,17,24,17,25,16,25,16,-1.0
25,28,24,68,22,24,69,24,58,32,58,31,62,28,55,67,23,69,23,70,62,27,62,25,55,31,22,70,24,67,24,32,24,32,24,28,23,32,23,32,24,32,24,31,1.0
28,25,27,65,25,27,66,23,62,28,63,28,65,25,59,64,26,66,26,67,66,25,66,23,60,28,25,67,27,64,28,29,27,28,27,25,26,28,26,29,27,28,27,28,1.0
27,24,25,65,22,26,66,20,61,27,62,28,65,24,57,63,24,67,24,68,66,24,66,20,57,28,22,68,26,63,27,29,26,28,26,24,24,28,24,29,26,27,26,28,1.0
28,27,26,63,22,25,64,23,55,31,55,30,61,26,51,60,24,66,24,67,61,26,61,25,53,31,22,67,26,61,27,33,26,32,27,27,24,33,24,33,27,32,26,30,1.0
25,23,24,68,22,24,69,19,61,28,61,27,66,23,57,67,23,69,23,70,66,22,66,20,58,27,22,70,24,67,24,28,24,28,24,23,23,28,23,28,24,28,24,27,1.0
27,43,26,66,24,26,67,39,41,48,41,47,46,43,39,65,25,67,25,68,46,42,46,42,40,47,24,68,26,65,26,48,26,48,26,43,25,48,25,48,26,48,26,47,-1.0
25,22,24,68,22,25,69,18,57,28,58,30,64,21,51,67,23,69,23,70,66,22,65,19,55,29,22,70,24,67,25,30,24,28,24,21,23,28,23,30,24,28,24,30,1.0
25,24,23,67,21,25,68,21,63,26,64,28,66,24,60,65,22,69,22,70,67,24,67,21,60,27,21,70,24,66,25,28,24,27,24,24,22,27,22,28,24,26,24,28,1.0
32,21,31,61,29,31,62,16,63,26,63,25,68,21,60,60,30,62,30,63,68,20,68,18,60,25,29,63,31,60,31,26,31,26,31,21,30,26,30,26,31,26,31,25,-1.0
24,33,23,69,21,23,70,26,45,41,45,40,53,33,41,68,22,70,22,71,53,32,53,30,42,40,21,71,23,68,23,41,23,41,23,33,22,41,22,41,23,41,23,40,-1.0
28,26,27,65,25,27,66,23,60,30,60,29,64,26,57,64,26,66,26,67,64,25,64,24,58,29,25,67,27,64,27,30,27,30,27,26,26,30,26,30,27,30,27,29,-1.0
33,35,32,59,28,32,60,31,51,39,51,38,55,35,49,57,30,61,30,62,55,34,55,33,49,38,28,62,32,57,32,39,32,39,32,35,30,39,30,39,32,39,32,38,-1.0
26,39,25,67,23,25,68,35,47,42,47,42,51,38,44,66,24,68,24,69,52,38,51,36,45,42,23,69,25,66,25,43,25,42,25,38,24,42,24,43,25,42,25,42,1.0
27,33,25,65,23,25,66,29,50,37,51,37,55,33,46,63,24,67,24,68,56,33,56,30,47,38,23,68,26,64,27,39,26,38,26,33,24,38,24,39,26,37,26,37,1.0
22,22,21,71,19,21,72,16,60,28,60,27,66,22,56,70,20,72,20,73,66,21,66,18,56,27,19,73,21,70,21,28,21,28,21,22,20,28,20,28,21,28,21,27,1.0
16,13,13,77,13,15,78,9,73,15,73,16,77,12,70,76,13,78,14,79,77,12,77,10,70,15,13,79,14,76,15,17,14,16,15,13,14,17,14,17,15,15,14,16,-1.0
34,18,33,59,31,33,60,12,64,24,64,23,70,18,60,58,32,60,32,61,70,17,70,14,60,23,31,61,33,58,33,24,33,24,33,18,32,24,32,24,33,24,33,23,1.0
32,19,31,56,22,31,56,14,58,26,59,26,66,19,53,50,26,62,26,62,67,19,67,17,56,27,22,62,31,52,32,27,32,27,32,19,26,27,26,28,31,26,32,27,1.0
33,41,33,59,29,31,59,39,49,43,49,41,51,41,47,57,31,61,30,61,51,40,51,39,47,42,29,61,32,57,32,42,33,43,33,41,31,43,31,43,32,43,33,41,1.0
21,22,20,72,18,20,73,18,64,26,64,25,68,22,61,71,19,73,19,74,68,21,68,19,61,25,18,74,20,71,20,26,20,26,20,22,19,26,19,26,20,26,20,25,1.0
26,25,24,66,22,25,67,22,63,27,63,27,66,25,61,64,23,68,23,69,66,24,66,23,61,27,22,69,25,65,25,28,25,28,25,25,23,28,23,28,25,27,25,27,1.0
32,13,31,61,29,31,62,11,75,16,75,15,78,13,72,60,30,62,30,63,78,12,78,11,73,15,29,63,31,60,31,16,31,16,31,13,30,16,30,16,31,16,31,15,-1.0
25,27,23,68,22,24,69,24,61,29,61,29,64,27,58,67,23,69,23,70,64,26,64,24,58,29,22,70,24,67,24,30,24,30,24,27,23,30,23,30,24,29,24,29,-1.0
30,19,29,63,27,29,64,16,63,25,63,24,69,19,59,62,28,64,28,65,69,18,69,18,62,24,27,65,29,62,29,25,29,25,29,19,28,25,28,25,29,25,29,24,1.0
