@relation 'Sax dominant'

@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMaa numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMaf numeric
@attribute o1atLaf numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMgk numeric
@attribute o1atLgk numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atLkk numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMik numeric
@attribute o1atLik numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMfc numeric
@attribute o1atLfc numeric
@attribute o1atMfk numeric
@attribute o1atLfk numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMgd numeric
@attribute o1atLgd numeric
@attribute o1atMag numeric
@attribute o1atLag numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMaj numeric
@attribute o1atLaj numeric
@attribute o1atMjh numeric
@attribute o1atLjh numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute o1atMek numeric
@attribute o1atLek numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMgc numeric
@attribute o1atLgc numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMjg numeric
@attribute o1atLjg numeric
@attribute o1atMhe numeric
@attribute o1atLhe numeric
@attribute o1atMfb numeric
@attribute o1atLfb numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMck numeric
@attribute o1atLck numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute destClass {2.0,1.0}

@data
67,28,76,25,64,42,46,62,10,13,82,28,76,68,26,50,45,11,84,14,80,15,79,17,77,30,64,65,30,50,27,69,0,11,65,14,77,30,45,68,26,65,29,49,45,11,83,94,16,17,64,50,30,77,17,11,80,66,1,30,63,77,17,16,78,95,0,16,77,94,0,0,11,81,78,0,14,79,15,77,17,64,11,80,14,79,31,45,15,64,50,1,11,78,14,79,15,77,17,45,12,46,18,45,31,30,12,18,68,17,11,79,65,26,49,29,31,1,65,27,15,45,15,64,13,80,65,17,30,29,14,64,15,78,16,1,11,77,1.0
66,35,86,26,55,55,35,73,10,12,82,19,76,67,27,38,57,11,84,13,81,15,79,18,77,20,75,57,38,38,28,68,0,12,75,13,77,20,57,67,27,57,37,37,57,10,83,94,4,18,75,38,38,88,6,11,80,58,1,20,74,88,6,16,78,95,0,17,76,94,0,0,11,82,89,0,13,79,16,77,17,74,11,81,14,80,21,58,15,74,38,1,12,78,13,79,15,77,17,57,12,58,18,58,21,38,12,7,67,6,11,79,57,27,37,37,21,1,57,28,15,57,16,75,13,80,57,6,20,37,13,74,14,79,16,1,11,77,2.0
66,33,76,26,59,40,50,54,11,12,81,34,77,67,28,53,42,12,83,13,81,15,78,16,77,37,57,61,35,53,28,68,1,12,58,13,78,37,42,67,27,60,34,52,41,11,82,94,16,16,57,53,35,77,17,12,79,61,1,36,56,77,17,15,77,95,0,15,77,94,0,0,12,82,78,0,13,78,16,78,16,56,12,81,15,80,38,42,16,57,53,1,12,79,13,78,15,78,16,42,13,43,17,42,38,35,13,18,67,17,12,78,60,27,52,34,38,1,61,28,16,42,16,57,13,80,60,17,37,34,13,57,15,78,17,1,12,78,1.0
63,33,79,27,57,41,49,65,9,13,83,25,76,64,29,51,43,10,85,14,80,15,79,17,77,27,67,59,35,51,29,66,1,10,68,14,77,27,43,64,29,59,34,50,43,10,84,94,11,17,67,51,35,81,12,10,80,60,1,27,67,81,12,16,78,95,0,17,77,94,0,0,10,81,82,0,14,79,15,77,17,67,10,80,14,79,27,43,15,67,52,1,10,78,14,79,15,77,17,43,10,44,17,43,27,35,11,14,65,13,10,79,59,29,51,35,28,1,59,29,15,43,15,67,13,80,59,13,27,35,14,67,15,78,16,1,10,77,2.0
66,33,81,26,57,54,34,69,11,13,81,21,76,67,27,38,56,12,83,14,80,16,78,18,77,22,72,59,36,38,28,68,0,13,72,14,77,23,57,67,27,59,35,37,57,11,82,94,11,18,72,38,36,82,12,12,79,60,1,23,70,82,12,16,77,95,0,16,76,94,0,0,12,81,83,0,14,78,17,77,17,70,12,80,15,79,24,58,16,71,38,1,13,78,14,78,15,77,17,57,13,58,18,58,24,36,13,13,67,12,12,78,59,27,37,35,24,1,59,28,16,57,17,72,14,79,59,12,23,35,14,71,15,78,17,1,12,77,1.0
67,30,81,25,60,47,41,69,9,12,83,19,76,68,26,45,50,10,85,13,81,15,80,17,78,22,72,62,33,45,27,69,0,11,73,13,77,22,50,68,26,62,32,44,50,10,84,94,11,17,73,45,33,82,12,11,81,63,1,22,71,82,12,16,79,95,0,16,77,94,0,0,10,82,83,0,13,80,15,78,17,72,10,81,13,80,23,50,14,72,45,1,11,78,14,80,14,77,17,50,11,51,18,51,23,33,11,13,68,12,10,80,62,26,44,32,23,1,62,27,14,50,15,73,12,81,62,12,22,32,13,72,14,79,15,1,10,77,2.0
62,36,74,30,56,40,54,44,10,13,82,46,72,63,32,55,41,11,84,15,80,16,79,21,74,49,47,58,38,55,32,64,5,12,47,14,74,48,40,63,31,57,37,54,40,11,83,89,18,21,47,55,38,75,19,12,79,58,5,48,45,75,19,18,77,91,4,19,74,90,4,3,12,81,76,4,14,78,17,75,20,46,11,80,15,79,49,41,16,46,55,5,12,75,15,79,16,74,20,40,12,41,21,41,49,38,12,20,63,19,11,78,57,31,54,37,49,5,58,32,16,40,17,47,13,80,57,19,48,37,14,46,16,77,17,5,11,74,1.0
62,36,75,28,56,37,55,50,8,12,84,36,77,63,30,56,38,9,86,13,81,14,80,16,78,40,54,57,37,56,30,65,1,9,55,13,78,39,38,63,30,57,36,55,37,9,85,94,15,16,54,56,37,77,16,9,81,58,1,39,53,77,16,15,79,95,0,15,78,94,0,0,9,82,78,0,13,80,14,78,16,54,9,81,13,80,40,38,14,54,57,1,9,79,13,80,14,78,16,38,9,39,16,38,40,37,10,18,64,17,9,80,57,30,56,36,41,1,57,30,14,38,14,54,12,81,57,17,40,37,13,54,14,79,15,1,9,78,2.0
62,38,75,30,56,39,55,40,8,11,84,54,71,64,32,56,40,9,86,13,82,16,80,23,73,55,41,57,39,56,32,64,6,10,41,12,72,54,39,63,31,56,38,55,39,8,85,88,17,23,41,56,39,76,19,10,80,57,6,54,40,76,18,21,78,90,5,22,71,89,5,4,10,83,77,6,12,79,16,73,22,40,9,82,14,81,55,40,15,40,56,6,10,73,13,80,15,72,22,39,10,40,23,40,55,39,10,19,63,18,9,79,56,31,55,38,55,6,57,32,15,39,16,41,12,81,56,18,54,38,12,40,14,79,16,6,9,72,2.0
65,34,76,27,60,37,51,53,11,13,81,33,76,66,29,55,40,12,83,14,80,16,78,17,77,37,57,61,35,55,29,67,4,12,58,14,77,37,40,66,28,60,34,54,38,12,82,90,16,17,57,55,35,77,17,12,79,61,4,35,57,77,17,16,77,92,3,17,76,91,3,2,12,81,78,3,13,78,16,77,17,57,12,80,15,79,38,40,16,57,55,4,12,78,14,78,16,76,17,40,13,41,18,40,38,35,13,18,66,17,12,78,60,28,54,34,38,4,61,29,16,40,16,57,13,80,60,17,37,34,14,57,15,77,17,4,12,77,1.0
64,35,78,28,59,42,48,61,11,14,81,29,75,65,30,51,45,12,83,15,79,17,78,18,77,32,63,60,36,51,30,66,1,13,64,15,76,31,44,65,29,59,35,50,43,12,82,94,14,19,64,51,36,79,15,13,79,60,1,30,63,79,15,17,77,95,0,18,75,94,0,0,12,80,80,0,14,78,17,77,18,63,12,79,15,78,32,45,16,63,51,1,13,77,16,78,16,75,18,44,13,45,19,45,32,36,13,16,65,15,12,78,59,29,50,35,32,1,60,30,16,44,17,64,14,79,59,15,31,35,15,63,15,77,17,1,12,76,1.0
68,31,76,24,61,43,45,50,10,13,82,38,71,69,26,49,46,11,84,14,80,15,79,20,74,41,53,63,33,49,26,70,1,11,54,14,74,41,45,69,25,62,32,48,44,11,83,94,16,20,53,49,33,77,17,11,80,63,1,39,52,77,17,17,78,95,0,19,74,94,0,0,11,81,78,0,14,79,15,74,19,53,11,80,14,79,42,46,15,53,49,1,11,75,14,79,15,74,20,46,12,47,21,46,42,33,12,18,69,17,11,79,62,25,48,32,42,1,63,26,15,46,15,53,13,80,62,17,41,32,14,53,15,78,16,1,11,74,1.0
64,32,77,28,60,43,47,60,11,14,81,30,74,65,29,50,46,12,83,15,79,17,78,19,76,33,62,61,34,50,30,66,0,13,63,15,75,32,45,65,29,61,33,49,45,12,82,94,15,20,63,50,34,78,16,13,79,62,1,32,61,78,16,18,77,95,0,18,75,94,0,0,12,80,79,0,15,78,17,76,19,62,12,79,15,78,33,46,16,62,50,1,13,76,16,78,16,75,19,45,13,46,20,46,33,34,13,17,65,16,12,78,61,29,49,33,33,1,61,30,16,45,17,63,14,79,61,16,32,33,15,62,16,77,17,1,12,75,1.0
66,43,94,20,47,59,29,70,10,12,82,20,76,70,24,31,63,11,84,13,81,15,79,17,77,23,72,49,44,32,25,71,0,12,73,13,77,22,62,70,24,49,45,32,62,11,83,94,0,18,72,32,46,94,0,11,80,50,0,22,71,94,0,16,78,95,0,16,77,94,0,0,11,82,95,0,13,79,15,77,17,72,11,81,14,80,23,63,15,72,33,1,11,78,13,79,15,77,17,62,12,63,18,63,23,46,12,1,70,0,11,79,49,24,32,45,23,1,49,24,15,62,16,72,12,81,49,0,22,45,13,72,15,78,16,1,11,77,2.0
70,41,86,18,49,53,37,72,9,12,83,18,77,72,20,38,55,10,85,13,81,14,80,16,78,20,74,50,42,38,21,74,0,10,75,13,78,20,55,73,21,51,43,39,55,9,84,94,4,16,74,38,43,88,5,10,81,52,0,20,73,88,6,15,79,95,0,15,78,94,0,0,10,82,89,0,13,79,14,78,16,74,9,81,13,80,20,55,14,74,40,1,10,79,13,80,14,78,16,55,10,56,16,55,20,43,11,7,73,6,10,80,51,21,39,43,21,1,50,20,14,55,14,74,12,80,51,6,20,43,13,74,14,79,15,1,10,78,2.0
69,31,81,23,59,49,41,69,9,11,83,21,77,70,24,43,51,10,85,12,82,14,80,17,78,23,72,61,33,43,25,71,0,11,72,12,78,23,51,70,24,61,33,43,51,9,84,94,11,17,72,43,34,82,12,10,81,62,0,23,70,82,12,15,79,95,0,15,77,94,0,0,10,83,83,0,12,80,15,78,16,70,10,82,13,81,24,52,14,71,44,1,11,79,12,80,13,78,16,51,11,52,17,52,24,34,11,13,70,12,10,80,61,24,43,33,24,1,61,24,14,51,15,72,12,81,61,12,23,33,12,71,13,80,15,1,10,78,2.0
65,34,83,27,56,50,40,73,10,12,82,19,77,66,28,43,52,11,84,13,81,15,79,17,78,20,75,58,37,43,29,67,0,12,75,13,78,20,52,66,28,58,36,42,52,11,83,94,7,17,75,43,37,85,9,11,80,59,1,20,74,85,9,15,78,95,0,16,77,94,0,0,11,82,86,0,12,79,16,78,16,74,11,81,14,80,21,53,15,74,43,1,12,79,13,79,15,77,16,52,12,53,17,53,21,37,12,10,66,9,11,79,58,28,42,36,21,1,58,29,15,52,16,75,12,81,58,9,20,36,13,74,14,78,16,1,11,78,2.0
65,33,79,27,59,45,45,62,11,13,81,28,75,66,29,48,48,12,83,14,80,17,78,18,77,31,64,61,35,48,29,67,1,13,65,14,76,30,47,66,28,60,34,47,47,11,82,94,13,19,65,48,35,80,14,13,79,61,1,30,63,80,14,17,77,95,0,17,75,94,0,0,12,81,81,0,14,78,17,77,18,63,12,80,15,79,31,48,16,64,48,1,13,77,15,78,15,76,18,47,13,48,19,48,31,35,13,15,66,14,12,78,60,28,47,34,31,1,61,29,16,47,17,65,14,79,60,14,30,34,14,64,15,78,17,1,12,76,1.0
66,30,76,26,62,41,49,54,10,12,82,36,75,67,27,52,44,11,84,14,81,16,79,19,76,39,57,63,32,52,28,68,0,12,57,13,76,38,43,67,27,63,31,51,43,11,83,94,16,19,57,52,32,77,17,12,79,64,1,38,55,77,17,17,77,95,0,17,76,94,0,0,12,82,78,0,13,78,17,77,18,56,11,81,15,80,39,44,16,56,52,1,12,77,14,79,16,76,18,43,12,44,19,44,39,32,12,18,67,17,11,78,63,27,51,31,39,1,63,28,16,43,17,57,12,81,63,17,38,31,13,56,16,77,17,1,11,76,1.0
62,39,80,30,55,40,54,61,9,11,83,29,76,63,32,55,41,10,85,12,82,16,79,17,78,32,63,56,40,55,32,64,1,11,64,12,77,31,40,63,31,55,39,54,40,9,84,94,12,18,64,55,40,81,13,11,80,56,1,31,63,81,13,16,78,95,0,17,76,94,0,0,10,83,82,0,12,79,16,78,17,63,10,82,14,81,32,41,15,63,55,1,11,78,13,79,15,77,17,40,11,41,18,41,32,40,11,14,63,13,10,79,55,31,54,39,32,1,56,32,15,40,16,64,12,81,55,13,31,39,12,63,14,79,16,1,10,77,2.0
60,34,73,32,58,36,56,39,9,11,83,49,77,61,33,57,37,10,85,12,82,15,79,16,78,52,42,59,35,57,33,62,1,10,43,12,78,52,37,60,32,58,35,57,36,9,84,94,17,16,42,57,35,75,19,10,80,60,1,51,42,75,18,15,78,95,0,16,77,94,0,0,10,83,76,1,12,79,15,78,16,42,10,82,14,81,52,37,15,42,58,1,10,79,12,79,15,78,16,37,10,38,16,37,52,35,11,20,61,18,10,79,58,33,57,35,53,1,59,33,15,37,15,42,12,81,59,19,52,35,12,42,14,79,16,1,10,78,2.0
66,32,77,26,60,44,46,57,10,13,82,33,75,67,27,49,46,11,84,14,80,16,79,18,77,35,59,61,34,49,28,68,1,12,60,14,76,35,46,67,27,61,33,48,45,11,83,92,15,19,60,49,34,78,16,12,80,62,2,34,59,78,16,17,78,94,1,18,75,93,1,0,11,81,79,1,13,79,16,77,18,59,11,80,14,79,36,47,15,59,49,2,12,77,15,79,15,75,18,46,12,47,19,47,36,34,12,17,67,16,11,79,61,27,48,33,36,2,61,28,15,46,16,60,13,80,61,16,35,33,14,59,14,78,16,2,11,76,1.0
68,34,85,20,52,55,35,74,11,12,81,18,76,70,22,37,57,12,83,13,81,15,79,17,77,19,75,55,38,37,23,72,0,12,76,13,77,19,57,71,22,55,38,37,57,11,82,94,5,17,75,37,38,87,6,12,80,57,1,19,74,87,7,16,78,95,0,16,77,94,0,0,12,82,88,0,13,78,15,77,17,75,11,81,14,80,19,57,15,75,38,1,12,78,13,79,15,77,17,57,12,58,17,57,19,38,13,8,71,7,12,79,56,23,37,38,20,1,55,23,15,57,15,75,12,80,56,7,19,38,13,75,15,78,16,1,12,77,2.0
65,36,77,27,58,40,50,52,10,12,82,36,76,66,29,53,43,11,84,14,81,16,79,18,77,40,56,59,37,53,29,67,1,12,56,13,77,39,42,66,28,58,36,52,41,10,83,94,15,18,56,53,37,78,16,12,79,59,1,38,55,78,16,16,77,95,0,17,76,94,0,0,12,82,79,0,13,78,17,78,17,55,11,81,15,80,40,43,16,55,53,1,12,78,14,79,16,77,17,42,12,43,18,43,40,37,12,17,66,16,11,78,58,28,52,36,40,1,59,29,16,42,17,56,13,80,58,16,39,36,13,55,15,78,17,1,11,77,1.0
65,34,76,27,58,39,53,50,9,12,83,40,66,66,29,55,41,10,85,14,81,15,80,26,69,43,53,60,36,55,29,67,6,11,53,13,69,42,40,66,28,59,35,54,40,10,84,88,16,26,53,55,36,77,17,11,80,60,6,42,51,77,17,22,78,90,5,24,69,89,5,4,11,82,78,5,13,79,16,70,25,52,10,81,14,80,43,41,15,52,55,6,11,70,14,80,15,69,25,40,11,41,26,41,43,36,11,18,66,17,10,79,59,28,54,35,43,6,60,29,15,40,16,53,12,81,59,17,42,35,13,52,15,78,16,6,10,69,1.0
65,31,80,27,61,41,49,68,9,12,83,20,76,66,28,52,44,10,85,13,81,16,79,17,78,24,71,62,33,52,29,67,0,11,72,13,77,23,43,66,28,62,32,51,43,10,84,94,12,18,72,52,33,81,13,11,80,63,1,23,71,81,13,16,78,95,0,17,76,94,0,0,10,82,82,0,12,79,16,78,17,71,10,81,14,80,24,44,15,71,52,1,11,78,14,79,15,76,17,43,11,44,18,44,24,33,11,14,66,13,10,79,62,28,51,32,24,1,62,29,15,43,16,72,12,81,62,13,23,32,13,71,14,78,16,1,10,77,2.0
63,35,76,29,59,40,52,59,11,13,81,31,74,64,31,54,42,12,83,14,80,16,79,19,76,34,61,60,36,54,31,65,1,13,62,14,75,33,41,64,30,59,35,53,41,11,82,94,16,20,62,54,36,77,17,13,80,60,1,33,60,77,17,18,78,95,0,18,75,94,0,0,12,81,78,0,14,78,16,76,19,61,11,80,14,79,34,42,15,61,54,1,13,76,15,79,15,75,19,41,13,42,20,42,34,36,13,18,64,17,12,79,59,30,53,35,34,1,60,31,15,41,16,62,13,79,59,17,33,35,14,61,15,78,16,1,12,75,1.0
63,33,76,29,59,41,51,54,10,13,82,36,75,64,31,53,43,11,84,15,80,16,79,19,76,39,57,61,35,53,31,65,1,12,57,14,76,38,42,64,30,60,34,52,42,11,83,94,16,19,57,53,35,77,17,12,79,61,1,38,55,77,17,17,77,95,0,17,76,94,0,0,12,81,78,0,14,78,17,77,18,56,11,80,15,79,39,43,16,56,53,1,12,77,15,79,16,76,18,42,12,43,19,43,39,35,12,18,64,17,11,78,60,30,52,34,39,1,61,31,16,42,17,57,13,80,60,17,38,34,14,56,16,77,17,1,11,76,1.0
66,31,78,26,59,47,41,63,11,13,81,27,75,67,27,45,51,12,83,14,80,17,78,18,77,30,65,61,34,45,28,68,0,13,66,14,76,29,50,67,27,61,33,44,50,11,82,94,14,19,66,45,34,79,15,13,79,62,1,29,64,79,15,17,77,95,0,17,75,94,0,0,12,81,80,0,14,78,17,77,18,64,12,80,15,79,30,51,16,65,45,1,13,77,15,78,15,76,18,50,13,51,19,51,30,34,13,16,67,15,12,78,61,27,44,33,30,1,61,28,16,50,17,66,14,79,61,15,29,33,14,65,15,78,17,1,12,76,1.0
63,33,76,29,61,38,52,52,11,13,81,34,75,65,31,55,40,12,83,14,80,16,78,18,76,38,56,62,34,55,31,65,1,12,57,14,76,38,40,64,30,61,33,54,39,11,82,94,16,18,56,55,34,77,18,12,79,62,1,37,56,77,17,17,77,95,0,18,75,94,0,0,12,81,78,1,14,78,16,76,18,56,12,80,15,79,39,40,16,56,55,1,12,77,14,78,16,76,18,40,13,41,19,40,39,34,13,18,64,17,12,78,61,30,54,33,39,1,62,31,16,40,16,56,14,79,61,17,38,33,14,56,15,78,17,1,12,76,1.0
70,37,88,20,53,59,33,74,10,12,82,18,76,71,22,34,60,11,84,13,81,15,79,17,77,19,75,55,39,34,22,73,1,11,76,13,77,19,60,72,21,54,39,34,60,11,83,94,2,17,75,34,39,90,3,11,80,56,1,19,74,90,4,16,78,95,0,16,77,94,0,0,11,82,91,0,13,79,15,77,17,75,11,81,14,80,19,60,15,75,35,1,11,78,13,79,15,77,17,60,11,61,17,60,19,39,12,5,72,4,11,79,55,22,34,39,20,1,55,22,15,60,15,75,12,81,55,4,19,39,13,75,15,78,16,1,11,77,2.0
64,34,76,28,58,39,53,54,11,13,81,36,74,65,30,55,41,12,83,14,80,18,77,20,76,39,57,60,36,55,30,66,3,13,57,14,75,38,40,65,29,59,35,54,40,11,82,91,16,20,57,55,36,77,17,13,78,60,3,38,55,77,17,18,76,93,2,18,74,92,2,1,12,81,78,2,14,77,18,76,19,55,12,80,16,79,39,41,17,56,55,3,13,76,15,77,16,75,19,40,13,41,20,41,39,36,13,18,65,17,12,77,59,29,54,35,39,3,60,30,17,40,18,57,14,79,59,17,38,35,14,56,16,77,18,3,12,75,1.0
62,36,80,30,58,41,51,67,10,12,82,21,76,63,32,53,43,11,84,13,81,16,79,17,78,25,70,59,37,53,32,64,1,12,71,13,77,24,42,63,31,58,36,52,42,10,83,94,12,18,71,53,37,81,13,12,80,59,1,24,70,81,13,16,78,95,0,17,76,94,0,0,11,82,82,0,13,79,16,78,17,70,11,81,14,80,25,43,15,70,53,1,12,78,14,79,15,77,17,42,12,43,18,43,25,37,12,14,63,13,11,79,58,31,52,36,25,1,59,32,15,42,16,71,13,80,58,13,24,36,13,70,14,79,16,1,11,77,2.0
68,32,84,24,58,55,35,75,9,11,83,17,77,69,25,38,57,10,85,12,82,14,80,17,78,18,77,60,35,38,26,70,0,11,77,12,78,18,57,69,25,60,34,37,57,9,84,94,8,17,77,38,35,85,9,10,81,61,1,18,75,85,9,15,79,95,0,15,78,94,0,0,10,83,86,0,12,79,15,78,16,76,9,82,13,81,19,58,14,76,38,1,11,79,12,80,14,78,16,57,11,58,17,58,19,35,11,10,69,9,10,80,60,25,37,34,19,1,60,26,14,57,15,77,11,81,60,9,18,34,12,76,14,79,15,1,10,78,2.0
67,29,76,25,63,38,50,52,8,12,84,38,76,68,26,54,42,9,86,14,81,15,80,18,77,41,55,64,31,54,27,69,4,10,55,13,77,40,41,68,26,64,30,53,41,9,85,89,16,18,55,54,31,77,17,10,80,65,5,40,53,77,17,16,78,91,4,16,77,90,4,3,10,82,78,4,13,79,16,78,17,54,9,81,14,80,41,42,15,54,54,5,10,78,14,80,15,77,17,41,10,42,18,42,41,31,10,18,68,17,9,79,64,26,53,30,41,5,64,27,15,41,16,55,12,81,64,17,40,30,13,54,15,78,16,5,9,77,2.0
66,33,76,26,59,42,50,51,10,13,82,39,65,67,28,52,44,11,84,15,80,16,79,28,67,42,54,61,35,52,28,68,6,12,54,14,67,41,43,67,27,60,34,51,43,11,83,88,16,28,54,52,35,77,17,12,79,61,6,41,53,77,17,25,77,90,5,27,66,89,5,4,12,81,78,5,13,78,17,68,27,53,11,80,15,79,42,44,16,53,52,6,12,68,15,79,16,66,27,43,12,44,28,44,42,35,12,18,67,17,11,78,60,27,51,34,42,6,61,28,16,43,17,54,13,80,60,17,41,34,14,53,15,77,17,6,11,67,1.0
58,38,74,34,56,39,55,40,8,12,84,54,72,60,36,56,40,9,86,14,81,16,80,22,74,55,41,57,39,56,36,60,1,10,41,13,73,54,39,59,35,56,38,55,39,9,85,94,18,22,41,56,39,75,20,10,80,57,1,54,40,75,19,20,78,95,0,21,73,94,0,0,10,82,76,1,13,79,16,74,21,40,9,81,14,80,55,40,15,40,56,1,10,74,14,80,15,73,21,39,10,40,22,40,55,39,10,20,59,19,9,79,56,35,55,38,55,1,57,36,15,39,16,41,12,81,56,19,54,38,13,40,15,78,16,1,9,73,2.0
67,30,77,25,62,41,47,60,10,13,82,30,75,68,26,51,44,11,84,14,80,16,79,18,77,32,62,63,32,51,27,69,0,12,63,14,76,32,44,68,26,63,31,50,43,11,83,94,15,19,63,51,32,78,16,12,80,64,1,31,62,78,16,17,78,95,0,18,75,94,0,0,11,81,79,0,13,79,16,77,18,62,11,80,14,79,33,45,15,62,51,1,12,77,15,79,15,75,18,44,12,45,19,45,33,32,12,17,68,16,11,79,63,26,50,31,33,1,63,27,15,44,16,63,13,80,63,16,32,31,14,62,14,78,16,1,11,76,1.0
64,32,79,28,60,43,47,61,9,12,83,29,76,65,29,50,46,10,85,13,81,15,80,17,78,32,63,61,34,50,30,66,0,11,64,13,77,31,45,65,29,61,33,49,45,10,84,94,13,18,64,50,34,80,14,11,81,62,1,31,62,80,14,16,79,95,0,16,77,94,0,0,10,82,81,0,13,80,15,78,17,63,10,81,13,80,32,46,14,63,50,1,11,78,14,80,14,77,17,45,11,46,18,46,32,34,11,15,65,14,10,80,61,29,49,33,32,1,61,30,14,45,15,64,12,81,61,14,31,33,13,63,14,79,15,1,10,77,2.0
75,34,92,15,54,56,34,73,7,8,85,19,81,76,17,36,58,8,87,9,85,11,83,12,82,20,74,57,37,36,17,78,1,8,75,9,82,20,58,76,17,57,36,35,58,7,86,94,0,12,74,36,37,93,0,8,84,58,1,20,74,93,0,11,82,95,0,12,81,94,0,0,8,86,94,0,9,83,11,82,12,74,8,85,10,84,20,58,11,74,37,1,8,83,9,83,11,82,12,58,8,59,12,58,20,37,9,2,77,1,8,83,57,17,36,37,21,1,57,17,11,58,11,74,9,84,57,1,20,37,9,74,10,83,12,1,8,82,2.0
68,32,78,24,58,43,47,59,11,12,81,29,75,69,25,50,45,12,83,13,81,17,78,18,77,32,62,60,35,50,26,70,2,13,63,13,76,32,45,69,25,60,34,49,45,11,82,91,14,19,63,50,35,79,15,13,79,61,3,32,62,79,15,17,77,93,2,18,75,92,2,1,12,82,80,2,13,78,17,77,18,62,12,81,15,80,33,46,16,62,50,3,13,77,14,78,16,76,18,45,13,46,19,46,33,35,13,16,69,15,12,78,60,25,49,34,33,3,60,26,16,45,17,63,13,80,60,15,32,34,13,62,15,78,17,3,12,76,1.0
62,34,80,30,58,44,48,61,9,13,83,29,76,63,32,50,46,10,85,14,80,16,79,17,78,32,63,60,36,50,32,64,1,11,64,14,77,31,45,63,31,59,35,49,45,10,84,94,12,18,64,50,36,81,13,11,80,60,1,31,63,81,13,16,78,95,0,17,76,94,0,0,10,81,82,0,13,79,16,78,17,63,10,80,14,79,32,46,15,63,50,1,11,78,15,79,15,76,17,45,11,46,18,46,32,36,11,14,63,13,10,79,59,31,49,35,32,1,60,32,15,45,16,64,13,80,59,13,31,35,14,63,14,78,16,1,10,77,2.0
65,33,78,27,59,44,48,56,10,12,82,34,75,66,29,50,46,11,84,14,81,16,79,19,76,37,59,61,35,50,29,67,1,12,59,13,76,36,45,66,28,60,34,49,45,11,83,94,14,19,59,50,35,79,15,12,79,61,1,36,57,79,15,17,77,95,0,17,76,94,0,0,12,82,80,0,13,78,17,77,18,58,11,81,15,80,37,46,16,58,50,1,12,77,14,79,16,76,18,45,12,46,19,46,37,35,12,16,66,15,11,78,60,28,49,34,37,1,61,29,16,45,17,59,12,81,60,15,36,34,13,58,16,77,17,1,11,76,1.0
