@relation 'Sax dominant'

@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o2atMaa numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMac numeric
@attribute o2atLac numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atLcc numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMaa numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atLcc numeric
@attribute destClass {1,3,2}

@data
6,19,30,0,22,8,0,31,1,9,22,9,0,30,0,9,0,31,31,0,31,31,0,0,0,0,31,31,0,0,28,29,0,1,30,30,2,1,2,1,30,29,1,0,3
5,22,22,2,24,6,5,26,6,7,24,7,5,25,5,7,3,31,21,6,24,31,0,6,0,7,25,31,0,0,22,22,5,7,24,27,5,7,5,7,24,26,4,0,3
3,24,20,4,26,4,7,24,8,5,26,5,7,23,7,5,2,31,20,6,24,31,0,6,0,7,25,31,0,0,22,27,0,2,29,25,7,2,7,2,29,24,6,4,3
3,24,18,6,26,4,9,22,10,5,26,5,9,21,9,5,1,31,21,5,25,31,0,5,0,6,26,31,0,0,21,25,1,4,28,24,8,4,8,3,27,23,7,5,1
4,23,22,2,25,5,5,26,6,6,25,6,5,25,5,6,3,31,19,7,23,31,0,7,0,8,24,31,0,0,24,20,7,9,22,28,4,9,4,9,22,27,3,0,1
11,12,21,3,16,13,5,25,7,15,16,15,6,24,6,15,5,27,18,9,22,29,2,9,2,9,22,29,2,0,28,17,4,8,22,30,1,9,2,9,22,29,1,0,3
7,14,26,0,19,11,2,29,3,12,19,12,2,28,2,12,0,29,28,1,29,30,1,1,1,2,30,30,1,0,26,24,1,4,27,29,3,4,3,4,27,28,2,0,3
10,11,23,1,16,13,3,27,5,15,16,15,4,26,4,15,6,27,17,10,21,29,2,10,2,10,21,29,2,0,26,20,5,8,23,29,3,8,3,8,23,28,2,0,3
9,12,21,1,17,12,4,26,6,14,17,14,5,25,5,14,5,27,18,9,22,29,2,9,2,9,22,29,2,0,28,16,5,9,21,30,1,10,2,10,21,29,1,0,2
4,23,28,0,25,5,1,30,2,6,25,6,1,29,1,6,0,31,30,0,30,31,0,0,0,1,31,31,0,0,24,27,0,2,29,27,5,2,5,2,29,26,4,2,3
11,12,24,0,16,13,2,28,4,15,16,15,3,27,3,15,6,27,17,10,21,29,2,10,2,10,21,29,2,0,28,18,5,9,22,30,2,9,2,9,22,29,1,0,3
6,19,28,0,22,8,1,30,2,9,22,9,1,29,1,9,0,31,30,0,30,31,0,0,0,1,31,31,0,0,28,26,1,3,28,30,2,3,2,3,28,29,1,0,2
8,13,30,0,18,12,0,31,1,13,18,13,0,30,0,13,0,29,28,1,29,30,1,1,1,2,30,30,1,0,26,21,2,6,25,29,3,6,3,6,25,28,2,0,2
7,18,23,1,21,9,4,27,5,10,21,10,4,26,4,10,4,29,18,8,22,30,1,8,1,9,23,30,1,0,24,17,6,9,21,28,3,10,4,10,21,27,3,0,3
10,11,23,1,16,13,3,27,5,15,16,15,4,26,4,15,6,25,17,10,21,28,3,10,3,10,21,28,3,0,24,18,5,9,22,28,4,9,4,9,22,27,3,0,1
6,19,23,1,22,8,4,27,5,9,22,9,4,26,4,9,3,31,19,7,23,31,0,7,0,8,24,31,0,0,24,19,8,10,21,28,4,10,4,10,21,27,3,0,1
5,20,22,2,23,7,5,26,6,8,23,8,5,25,5,8,3,31,19,7,23,31,0,7,0,8,24,31,0,0,24,19,8,10,21,28,4,10,4,10,21,27,3,0,3
10,13,21,3,17,13,6,25,7,14,17,14,6,24,6,14,5,25,17,8,21,28,2,9,3,10,22,28,3,0,28,16,5,9,21,30,1,10,2,10,21,29,1,0,3
4,23,21,3,25,5,6,25,7,6,25,6,6,24,6,6,1,31,23,4,26,31,0,4,0,5,27,31,0,0,20,26,1,3,28,23,9,3,9,3,28,22,8,6,1
4,23,30,0,25,5,0,31,1,6,25,6,0,30,0,6,0,31,31,0,31,31,0,0,0,0,31,31,0,0,25,26,1,3,28,28,4,3,4,3,28,27,3,1,3
10,11,23,1,16,13,3,27,5,15,16,15,4,26,4,15,5,27,18,9,22,29,2,9,2,9,22,29,2,0,24,20,5,8,23,28,4,8,4,8,23,27,3,0,3
6,19,20,2,22,7,5,25,7,9,22,9,6,24,6,9,4,31,18,8,22,31,0,8,0,9,23,31,0,0,24,17,8,10,20,28,3,11,4,11,20,27,3,0,1
11,12,21,3,16,14,6,25,7,15,16,15,6,24,6,15,6,27,16,9,20,29,1,10,2,11,21,29,2,0,26,15,6,10,20,29,2,11,3,11,20,28,2,0,1
3,24,26,0,26,4,2,29,3,5,26,5,2,28,2,5,0,31,29,1,30,31,0,1,0,1,30,31,0,0,22,29,0,1,30,25,7,1,7,1,30,24,6,4,2
10,11,30,0,16,14,0,31,1,15,16,15,0,30,0,15,0,24,31,0,31,27,4,0,4,0,31,27,4,1,26,29,0,1,30,29,3,1,3,1,30,28,2,0,1
5,22,28,0,24,6,1,30,2,7,24,7,1,29,1,7,0,31,30,0,30,31,0,0,0,1,31,31,0,0,25,26,0,3,29,28,4,3,4,2,28,27,3,1,2
10,13,21,3,17,13,6,25,7,14,17,14,6,24,6,14,5,27,17,9,21,29,2,9,2,10,22,29,2,0,28,15,5,10,21,30,1,11,2,10,20,29,1,0,3
8,13,21,3,18,12,6,25,7,13,18,13,6,24,6,13,5,27,17,9,21,29,2,9,2,10,22,29,2,0,26,17,4,8,22,29,2,9,3,9,22,28,2,0,3
1,28,30,0,29,1,0,31,1,2,29,2,0,30,0,2,0,31,31,0,31,31,0,0,0,0,31,31,0,0,30,31,0,0,31,31,1,0,1,0,31,30,0,0,1
11,12,26,0,16,13,1,29,3,15,16,15,2,28,2,15,5,29,18,9,22,30,1,9,1,9,22,30,1,0,26,19,6,9,22,29,3,9,3,9,22,28,2,0,3
9,12,21,3,17,12,5,25,7,14,17,14,6,24,6,14,4,27,18,8,22,29,2,8,2,9,23,29,2,0,28,17,4,8,22,30,1,9,2,9,22,29,1,0,2
4,23,23,1,25,5,4,27,5,6,25,6,4,26,4,6,4,31,18,8,22,31,0,8,0,9,23,31,0,0,24,18,7,9,21,28,3,10,4,10,21,27,3,0,3
6,19,30,0,22,8,0,31,1,9,22,9,0,30,0,9,0,31,30,0,30,31,0,0,0,1,31,31,0,0,28,24,3,5,26,30,2,5,2,5,26,29,1,0,2
5,22,22,2,24,6,5,26,6,7,24,7,5,25,5,7,3,31,21,6,24,31,0,6,0,7,25,31,0,0,22,23,4,6,25,27,5,6,5,6,25,26,4,0,3
3,24,19,3,26,4,7,24,8,5,26,5,7,23,7,5,1,31,21,5,25,31,0,5,0,6,26,31,0,0,24,26,0,3,29,26,6,3,6,2,28,25,5,4,2
5,22,22,2,24,6,5,26,6,7,24,7,5,25,5,7,2,31,22,5,25,31,0,5,0,6,26,31,0,0,22,19,6,8,22,27,4,9,5,9,22,26,4,0,2
7,18,23,1,21,9,4,27,5,10,21,10,4,26,4,10,4,29,19,8,23,30,1,8,1,8,23,30,1,0,24,19,6,9,22,28,4,9,4,9,22,27,3,0,1
4,23,22,2,25,5,5,26,6,6,25,6,5,25,5,6,1,31,25,3,27,31,0,3,0,4,28,31,0,0,23,21,4,6,24,27,4,7,5,7,24,26,4,1,2
6,17,30,0,21,9,0,31,1,10,21,10,0,30,0,10,0,31,29,1,30,31,0,1,0,1,30,31,0,0,28,25,2,4,27,30,2,4,2,4,27,29,1,0,3
9,12,22,2,17,12,4,26,6,14,17,14,5,25,5,14,5,24,18,9,22,27,4,9,4,9,22,27,4,1,24,16,5,9,21,28,3,10,4,10,21,27,3,0,3
6,15,21,3,20,10,6,25,7,11,20,11,6,24,6,11,6,21,16,8,20,25,4,10,6,11,21,25,6,2,24,17,4,8,22,28,3,9,4,9,22,27,3,0,3
6,15,19,3,20,10,7,24,8,11,20,11,7,23,7,11,6,24,16,8,20,27,2,10,4,11,21,27,4,1,24,17,4,8,22,28,3,9,4,9,22,27,3,0,2
6,17,28,0,21,9,1,30,2,10,21,10,1,29,1,10,0,31,30,0,30,31,0,0,0,1,31,31,0,0,28,24,3,5,26,30,2,5,2,5,26,29,1,0,3
4,23,28,0,25,5,1,30,2,6,25,6,1,29,1,6,0,31,31,0,31,31,0,0,0,0,31,31,0,0,25,26,1,3,28,28,4,3,4,3,28,27,3,1,3
4,23,26,0,25,5,2,29,3,6,25,6,2,28,2,6,0,31,31,0,31,31,0,0,0,0,31,31,0,0,24,26,1,3,28,28,4,3,4,3,28,27,3,0,2
7,14,20,2,19,11,6,25,7,12,19,12,6,24,6,12,4,29,18,8,22,30,1,8,1,9,23,30,1,0,24,19,4,7,23,28,3,8,4,8,23,27,3,0,2
4,23,18,4,25,5,8,23,9,6,25,6,8,22,8,6,1,31,23,4,26,31,0,4,0,5,27,31,0,0,21,23,4,6,25,24,8,6,8,6,25,23,7,5,2
10,11,24,0,16,13,2,28,4,15,16,15,3,27,3,15,7,27,14,12,19,29,2,12,2,12,19,29,2,0,26,17,6,10,21,29,3,10,3,10,21,28,2,0,1
6,19,30,0,22,8,0,31,1,9,22,9,0,30,0,9,0,31,31,0,31,31,0,0,0,0,31,31,0,0,26,31,0,0,31,29,3,0,3,0,31,28,2,0,2
8,13,23,1,18,11,3,27,5,13,18,13,4,26,4,13,2,29,23,5,26,30,1,5,1,5,26,30,1,0,28,19,6,9,22,30,2,9,2,9,22,29,1,0,3
10,13,26,0,17,12,1,29,3,14,17,14,2,28,2,14,2,29,21,6,25,30,1,6,1,6,25,30,1,0,26,18,5,9,22,29,3,9,3,9,22,28,2,0,1
8,13,28,0,18,12,1,30,2,13,18,13,1,29,1,13,0,29,26,2,28,30,1,2,1,3,29,30,1,0,26,24,1,4,27,29,3,4,3,4,27,28,2,0,3
4,23,23,1,25,5,4,27,5,6,25,6,4,26,4,6,3,31,19,7,23,31,0,7,0,8,24,31,0,0,24,18,7,9,21,28,3,10,4,10,21,27,3,0,3
7,14,21,3,19,11,6,25,7,12,19,12,6,24,6,12,5,21,17,8,21,25,5,9,6,10,22,25,6,2,24,16,5,9,21,28,3,10,4,10,21,27,3,0,3
8,13,30,0,18,12,0,31,1,13,18,13,0,30,0,13,1,29,25,3,27,30,1,3,1,4,28,30,1,0,26,21,2,6,25,29,3,6,3,6,25,28,2,0,3
9,12,21,3,17,12,5,25,7,14,17,14,6,24,6,14,4,27,18,8,22,29,2,8,2,9,23,29,2,0,28,16,5,9,21,30,1,10,2,10,21,29,1,0,3
3,24,17,5,26,4,9,22,10,5,26,5,9,21,9,5,1,31,23,4,26,31,0,4,0,5,27,31,0,0,22,27,0,2,29,25,7,2,7,2,29,24,6,4,3
9,12,30,0,17,13,0,31,1,14,17,14,0,30,0,14,0,25,31,0,31,28,3,0,3,0,31,28,3,0,28,31,0,0,31,30,2,0,2,0,31,29,1,0,1
6,19,23,1,22,8,4,27,5,9,22,9,4,26,4,9,4,31,18,8,22,31,0,8,0,9,23,31,0,0,24,16,9,11,19,28,3,12,4,12,19,27,3,0,3
5,22,30,0,24,6,0,31,1,7,24,7,0,30,0,7,0,31,29,1,30,31,0,1,0,1,30,31,0,0,26,27,0,2,29,29,3,2,3,2,29,28,2,0,3
6,19,30,0,22,8,0,31,1,9,22,9,0,30,0,9,0,31,31,0,31,31,0,0,0,0,31,31,0,0,26,29,0,1,30,29,3,1,3,1,30,28,2,0,3
9,12,22,2,17,12,4,26,6,14,17,14,5,25,5,14,5,27,18,9,22,29,2,9,2,9,22,29,2,0,28,18,5,9,22,30,2,9,2,9,22,29,1,0,3
7,18,23,1,21,9,4,27,5,10,21,10,4,26,4,10,4,29,18,8,22,30,1,8,1,9,23,30,1,0,24,17,8,10,20,28,3,11,4,11,20,27,3,0,3
5,22,23,1,24,6,4,27,5,7,24,7,4,26,4,7,3,31,19,7,23,31,0,7,0,8,24,31,0,0,24,18,7,9,21,28,3,10,4,10,21,27,3,0,3
5,22,22,2,24,6,5,26,6,7,24,7,5,25,5,7,1,31,23,4,26,31,0,4,0,5,27,31,0,0,22,21,4,7,24,27,5,7,5,7,24,26,4,0,2
8,13,21,3,18,12,6,25,7,13,18,13,6,24,6,13,5,27,17,9,21,29,2,9,2,10,22,29,2,0,26,17,4,8,22,29,2,9,3,9,22,28,2,0,3
8,13,23,1,18,11,3,27,5,13,18,13,4,26,4,13,5,27,18,9,22,29,2,9,2,9,22,29,2,0,26,20,5,8,23,29,3,8,3,8,23,28,2,0,3
5,20,30,0,23,7,0,31,1,8,23,8,0,30,0,8,0,31,31,0,31,31,0,0,0,0,31,31,0,0,26,31,0,0,31,29,3,0,3,0,31,28,2,0,3
4,23,22,2,25,5,5,26,6,6,25,6,5,25,5,6,3,31,21,6,24,31,0,6,0,7,25,31,0,0,23,21,4,6,24,27,4,7,5,7,24,26,4,1,3
8,15,23,1,19,11,4,27,5,12,19,12,4,26,4,12,5,28,18,9,22,29,2,9,2,9,22,29,2,1,24,19,8,10,21,28,4,10,4,10,21,27,3,0,3
10,13,21,3,17,13,6,25,7,14,17,14,6,24,6,14,5,25,18,9,22,28,3,9,3,9,22,28,3,0,28,15,6,10,20,30,1,11,2,11,20,29,1,0,2
10,13,21,3,17,13,6,25,7,14,17,14,6,24,6,14,5,25,17,8,21,28,2,9,3,10,22,28,3,0,28,16,5,9,21,30,1,10,2,10,21,29,1,0,3
9,12,21,3,17,12,5,25,7,14,17,14,6,24,6,14,4,27,18,8,22,29,2,8,2,9,23,29,2,0,28,18,5,9,22,30,2,9,2,9,22,29,1,0,3
4,23,22,2,25,5,5,26,6,6,25,6,5,25,5,6,2,31,24,4,26,31,0,4,0,5,27,31,0,0,23,22,3,5,25,27,4,6,5,6,25,26,4,1,2
4,23,19,3,25,5,7,24,8,6,25,6,7,23,7,6,1,31,25,3,27,31,0,3,0,4,28,31,0,0,21,23,2,5,26,24,8,5,8,5,26,23,7,5,3
7,14,19,3,19,11,7,24,8,12,19,12,7,23,7,12,6,24,16,8,20,27,2,10,4,11,21,27,4,1,24,17,4,8,22,28,3,9,4,9,22,27,3,0,2
6,19,28,0,22,8,1,30,2,9,22,9,1,29,1,9,0,31,30,0,30,31,0,0,0,1,31,31,0,0,28,24,3,5,26,30,2,5,2,5,26,29,1,0,2
5,22,28,0,24,6,1,30,2,7,24,7,1,29,1,7,0,31,28,1,29,31,0,1,0,2,30,31,0,0,26,27,0,2,29,29,3,2,3,2,29,28,2,0,3
9,12,22,2,17,12,4,26,6,14,17,14,5,25,5,14,5,27,18,9,22,29,2,9,2,9,22,29,2,0,28,18,5,9,22,30,2,9,2,9,22,29,1,0,3
9,12,21,3,17,12,5,25,7,14,17,14,6,24,6,14,4,27,18,8,22,29,2,8,2,9,23,29,2,0,28,17,4,8,22,30,1,9,2,9,22,29,1,0,3
9,12,21,1,17,12,4,26,6,14,17,14,5,25,5,14,5,26,18,9,22,28,3,9,3,9,22,28,3,1,24,20,5,8,23,28,4,8,4,8,23,27,3,0,1
5,22,26,0,24,6,2,29,3,7,24,7,2,28,2,7,0,31,31,0,31,31,0,0,0,0,31,31,0,0,24,26,1,3,28,28,4,3,4,3,28,27,3,0,2
3,24,30,0,26,4,0,31,1,5,26,5,0,30,0,5,0,31,29,1,30,31,0,1,0,1,30,31,0,0,24,26,1,3,28,26,6,3,6,3,28,25,5,4,3
10,11,20,2,16,12,4,25,7,15,16,15,6,24,6,15,7,22,16,11,20,26,5,11,5,11,20,26,5,1,24,17,8,10,20,28,3,11,4,11,20,27,3,0,1
8,13,21,1,18,11,4,26,6,13,18,13,5,25,5,13,5,27,18,9,22,29,2,9,2,9,22,29,2,0,28,19,4,8,23,30,2,8,2,8,23,29,1,0,2
10,13,30,0,17,13,0,31,1,14,17,14,0,30,0,14,2,29,23,5,26,30,1,5,1,5,26,30,1,0,26,18,7,10,21,29,3,10,3,10,21,28,2,0,2
4,23,28,0,25,5,1,30,2,6,25,6,1,29,1,6,0,31,28,1,29,31,0,1,0,2,30,31,0,0,23,25,2,4,27,27,5,4,5,4,27,26,4,1,1
7,18,23,1,21,9,4,27,5,10,21,10,4,26,4,10,5,29,18,9,22,30,1,9,1,9,22,30,1,0,24,19,6,9,22,28,4,9,4,9,22,27,3,0,1
3,24,24,0,26,4,3,28,4,5,26,5,3,27,3,5,0,31,26,2,28,31,0,2,0,3,29,31,0,0,24,27,0,2,29,27,5,2,5,2,29,26,4,2,3
5,22,30,0,24,6,0,31,1,7,24,7,0,30,0,7,0,31,31,0,31,31,0,0,0,0,31,31,0,0,28,31,0,0,31,30,2,0,2,0,31,29,1,0,1
9,12,21,3,17,12,5,25,7,14,17,14,6,24,6,14,5,25,18,9,22,28,3,9,3,9,22,28,3,0,28,18,5,9,22,30,2,9,2,9,22,29,1,0,3
6,19,20,2,22,7,5,25,7,9,22,9,6,24,6,9,4,31,18,8,22,31,0,8,0,9,23,31,0,0,24,17,8,10,20,28,3,11,4,11,20,27,3,0,1
4,23,22,2,25,5,5,26,6,6,25,6,5,25,5,6,3,31,19,7,23,31,0,7,0,8,24,31,0,0,24,18,5,8,22,28,3,9,4,9,22,27,3,0,3
9,12,21,1,17,13,5,26,6,14,17,14,5,25,5,14,6,26,17,10,21,28,3,10,3,10,21,28,3,1,24,17,6,9,21,28,3,10,4,10,21,27,3,0,3
10,11,21,1,16,13,4,26,6,15,16,15,5,25,5,15,5,26,18,9,22,28,3,9,3,9,22,28,3,1,24,16,5,9,21,28,3,10,4,10,21,27,3,0,2
5,22,30,0,24,6,0,31,1,7,24,7,0,30,0,7,0,31,29,1,30,31,0,1,0,1,30,31,0,0,26,29,0,1,30,29,3,1,3,1,30,28,2,0,1
5,22,30,0,24,6,0,31,1,7,24,7,0,30,0,7,0,31,31,0,31,31,0,0,0,0,31,31,0,0,26,31,0,0,31,29,3,0,3,0,31,28,2,0,2
8,13,30,0,18,12,0,31,1,13,18,13,0,30,0,13,1,29,27,2,28,30,1,2,1,3,29,30,1,0,28,24,1,4,27,30,2,4,2,4,27,29,1,0,2
4,23,19,3,25,5,7,24,8,6,25,6,7,23,7,6,1,31,25,3,27,31,0,3,0,4,28,31,0,0,23,24,3,5,26,26,6,5,6,5,26,25,5,3,3
5,22,22,2,24,6,5,26,6,7,24,7,5,25,5,7,3,31,21,6,24,31,0,6,0,7,25,31,0,0,22,18,7,9,21,27,4,10,5,10,21,26,4,0,2
5,20,23,1,23,7,4,27,5,8,23,8,4,26,4,8,4,31,18,8,22,31,0,8,0,9,23,31,0,0,24,17,8,10,20,28,3,11,4,11,20,27,3,0,3
4,23,23,1,25,5,4,27,5,6,25,6,4,26,4,6,3,31,19,7,23,31,0,7,0,8,24,31,0,0,24,18,5,8,22,28,3,9,4,9,22,27,3,0,2
8,13,21,3,18,12,6,25,7,13,18,13,6,24,6,13,6,25,16,8,20,28,1,10,3,11,21,28,3,0,28,17,4,8,22,30,1,9,2,9,22,29,1,0,1
4,23,19,5,25,5,8,23,9,6,25,6,8,22,8,6,1,31,23,4,26,31,0,4,0,5,27,31,0,0,21,24,3,5,26,24,8,5,8,5,26,23,7,5,3
11,10,23,1,15,14,3,27,5,16,15,16,4,26,4,16,7,27,16,11,20,29,2,11,2,11,20,29,2,0,26,17,6,10,21,29,3,10,3,10,21,28,2,0,3
9,12,23,1,17,12,3,27,5,14,17,14,4,26,4,14,5,24,18,9,22,27,4,9,4,9,22,27,4,1,24,20,5,8,23,28,4,8,4,8,23,27,3,0,3
10,13,21,3,17,13,6,25,7,14,17,14,6,24,6,14,6,27,16,9,20,29,1,10,2,11,21,29,2,0,28,15,6,10,20,30,1,11,2,11,20,29,1,0,1
11,12,24,0,16,13,2,28,4,15,16,15,3,27,3,15,7,29,16,11,20,30,1,11,1,11,20,30,1,0,28,16,7,11,20,30,2,11,2,11,20,29,1,0,3
4,21,23,1,24,6,4,27,5,7,24,7,4,26,4,7,4,31,18,8,22,31,0,8,0,9,23,31,0,0,24,19,8,10,21,28,4,10,4,10,21,27,3,0,3
6,19,30,0,22,8,0,31,1,9,22,9,0,30,0,9,0,31,29,1,30,31,0,1,0,1,30,31,0,0,28,31,0,0,31,30,2,0,2,0,31,29,1,0,3
3,24,28,0,26,4,1,30,2,5,26,5,1,29,1,5,0,31,30,0,30,31,0,0,0,1,31,31,0,0,25,28,0,2,30,28,4,2,4,1,29,27,3,1,3
4,23,22,2,25,5,5,26,6,6,25,6,5,25,5,6,3,31,19,7,23,31,0,7,0,8,24,31,0,0,21,20,5,8,23,25,7,8,7,8,23,24,6,3,2
8,13,24,0,18,11,2,28,4,13,18,13,3,27,3,13,1,29,24,4,27,30,1,4,1,4,27,30,1,0,28,20,5,8,23,30,2,8,2,8,23,29,1,0,3
11,12,26,0,16,13,1,29,3,15,16,15,2,28,2,15,6,29,17,10,21,30,1,10,1,10,21,30,1,0,28,19,6,9,22,30,2,9,2,9,22,29,1,0,2
8,13,21,3,18,12,6,25,7,13,18,13,6,24,6,13,5,25,17,8,21,28,2,9,3,10,22,28,3,0,28,16,5,9,21,30,1,10,2,10,21,29,1,0,1
3,24,24,0,26,4,3,28,4,5,26,5,3,27,3,5,0,31,26,2,28,31,0,2,0,3,29,31,0,0,24,24,2,5,27,27,5,5,5,4,26,26,4,2,3
8,13,28,0,18,12,1,30,2,13,18,13,1,29,1,13,0,29,28,1,29,30,1,1,1,2,30,30,1,0,28,20,3,7,24,30,2,7,2,7,24,29,1,0,3
6,19,30,0,22,8,0,31,1,9,22,9,0,30,0,9,0,31,29,1,30,31,0,1,0,1,30,31,0,0,28,27,0,2,29,30,2,2,2,2,29,29,1,0,3
4,23,30,0,25,5,0,31,1,6,25,6,0,30,0,6,0,31,31,0,31,31,0,0,0,0,31,31,0,0,30,31,0,0,31,31,1,0,1,0,31,30,0,0,1
4,23,28,0,25,5,1,30,2,6,25,6,1,29,1,6,0,31,28,1,29,31,0,1,0,2,30,31,0,0,25,25,2,4,27,28,4,4,4,4,27,27,3,1,1
3,24,30,0,26,4,0,31,1,5,26,5,0,30,0,5,0,31,31,0,31,31,0,0,0,0,31,31,0,0,25,28,1,2,29,28,4,2,4,2,29,27,3,1,2
6,19,30,0,22,8,0,31,1,9,22,9,0,30,0,9,0,31,30,0,30,31,0,0,0,1,31,31,0,0,26,25,2,4,27,29,3,4,3,4,27,28,2,0,2
5,20,22,2,23,7,5,26,6,8,23,8,5,25,5,8,4,31,18,8,22,31,0,8,0,9,23,31,0,0,24,16,7,10,20,28,3,11,4,11,20,27,3,0,3
8,13,20,2,18,11,5,25,7,13,18,13,6,24,6,13,7,22,16,11,20,26,5,11,5,11,20,26,5,1,24,16,9,11,19,28,3,12,4,12,19,27,3,0,1
5,22,28,0,24,6,1,30,2,7,24,7,1,29,1,7,0,31,28,1,29,31,0,1,0,2,30,31,0,0,25,26,1,3,28,28,4,3,4,3,28,27,3,1,1
4,23,17,5,25,5,9,22,10,6,25,6,9,21,9,6,1,31,23,4,26,31,0,4,0,5,27,31,0,0,21,26,1,3,28,24,8,3,8,3,28,23,7,5,3
10,11,23,1,16,13,3,27,5,15,16,15,4,26,4,15,7,25,16,11,20,28,3,11,3,11,20,28,3,0,26,17,6,10,21,29,3,10,3,10,21,28,2,0,3
7,14,23,1,19,11,4,27,5,12,19,12,4,26,4,12,0,29,26,2,28,30,1,2,1,3,29,30,1,0,28,19,2,6,24,30,1,7,2,7,24,29,1,0,1
11,12,23,1,16,13,3,27,5,15,16,15,4,26,4,15,6,27,17,10,21,29,2,10,2,10,21,29,2,0,28,18,5,9,22,30,2,9,2,9,22,29,1,0,3
6,19,28,0,22,8,1,30,2,9,22,9,1,29,1,9,0,31,30,0,30,31,0,0,0,1,31,31,0,0,26,26,1,3,28,29,3,3,3,3,28,28,2,0,2
4,23,26,0,25,5,2,29,3,6,25,6,2,28,2,6,0,31,29,1,30,31,0,1,0,1,30,31,0,0,24,27,0,2,29,28,4,2,4,2,29,27,3,0,3
3,24,19,5,26,4,8,23,9,5,26,5,8,22,8,5,0,31,27,2,29,31,0,2,0,2,29,31,0,0,21,25,2,4,27,24,8,4,8,4,27,23,7,5,3
4,23,19,5,25,5,8,23,9,6,25,6,8,22,8,6,1,31,23,4,26,31,0,4,0,5,27,31,0,0,22,24,3,5,26,25,7,5,7,5,26,24,6,4,3
4,23,17,5,25,5,9,22,10,6,25,6,9,21,9,6,1,31,23,4,26,31,0,4,0,5,27,31,0,0,21,24,3,5,26,24,8,5,8,5,26,23,7,5,1
6,17,30,0,21,9,0,31,1,10,21,10,0,30,0,10,0,31,28,1,29,31,0,1,0,2,30,31,0,0,26,24,3,5,26,29,3,5,3,5,26,28,2,0,3
11,12,21,1,16,13,4,26,6,15,16,15,5,25,5,15,5,27,18,9,22,29,2,9,2,9,22,29,2,0,26,18,5,9,22,29,3,9,3,9,22,28,2,0,2
3,24,28,0,26,4,1,30,2,5,26,5,1,29,1,5,0,31,31,0,31,31,0,0,0,0,31,31,0,0,25,29,0,1,30,28,4,1,4,1,30,27,3,1,3
6,19,30,0,22,8,0,31,1,9,22,9,0,30,0,9,0,31,29,1,30,31,0,1,0,1,30,31,0,0,28,29,0,1,30,30,2,1,2,1,30,29,1,0,1
11,12,21,3,16,13,5,25,7,15,16,15,6,24,6,15,4,27,18,8,22,29,2,8,2,9,23,29,2,0,28,15,6,10,20,30,1,11,2,11,20,29,1,0,1
9,12,21,1,17,13,5,26,6,14,17,14,5,25,5,14,6,26,17,10,21,28,3,10,3,10,21,28,3,1,24,17,6,9,21,28,3,10,4,10,21,27,3,0,3
6,19,30,0,22,8,0,31,1,9,22,9,0,30,0,9,0,31,31,0,31,31,0,0,0,0,31,31,0,0,28,29,0,1,30,30,2,1,2,1,30,29,1,0,1
3,24,28,0,26,4,1,30,2,5,26,5,1,29,1,5,0,31,30,0,30,31,0,0,0,1,31,31,0,0,24,26,0,3,29,27,5,3,5,2,28,26,4,2,2
0,29,30,0,30,0,0,31,1,1,30,1,0,30,0,1,0,31,31,0,31,31,0,0,0,0,31,31,0,0,30,31,0,0,31,31,1,0,1,0,31,30,0,0,1
5,22,28,0,24,6,1,30,2,7,24,7,1,29,1,7,0,31,31,0,31,31,0,0,0,0,31,31,0,0,25,28,0,2,30,28,4,2,4,1,29,27,3,1,1
10,11,23,1,16,13,3,27,5,15,16,15,4,26,4,15,5,24,18,9,22,27,4,9,4,9,22,27,4,1,24,18,5,9,22,28,4,9,4,9,22,27,3,0,1
5,22,30,0,24,6,0,31,1,7,24,7,0,30,0,7,0,31,31,0,31,31,0,0,0,0,31,31,0,0,30,31,0,0,31,31,1,0,1,0,31,30,0,0,1
4,23,17,3,25,5,8,23,9,6,25,6,8,22,8,6,1,31,23,4,26,31,0,4,0,5,27,31,0,0,22,24,1,4,27,25,7,4,7,4,27,24,6,4,2
6,15,23,1,20,10,4,27,5,11,20,11,4,26,4,11,6,27,17,10,21,29,2,10,2,10,21,29,2,0,24,16,7,10,20,28,3,11,4,11,20,27,3,0,3
