@relation 'Sax dominant'

@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atLkk numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMgj numeric
@attribute o1atLgj numeric
@attribute o1atMaa numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute o1atMik numeric
@attribute o1atLik numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMei numeric
@attribute o1atLei numeric
@attribute o1atMhj numeric
@attribute o1atLhj numeric
@attribute o1atMdh numeric
@attribute o1atLdh numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMfj numeric
@attribute o1atLfj numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMcg numeric
@attribute o1atLcg numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute destClass {2,3,7,6,4,5,1}

@data
53,45,25,71,14,84,80,20,56,39,15,80,29,66,72,22,81,14,55,39,28,66,15,80,81,14,72,23,63,37,45,63,20,79,13,47,48,21,73,64,30,74,21,48,40,47,47,22,73,74,21,65,30,71,28,73,22,22,67,65,21,9,10,85,65,23,10,85,72,14,48,30,29,40,74,14,15,73,29,48,48,23,72,21,29,30,56,30,56,23,47,39,22,48,56,21,28,47,22,40,10,80,65,23,22,66,55,30,6
52,43,39,75,14,84,82,17,52,41,15,80,41,53,69,25,83,12,53,42,41,54,15,80,83,12,70,25,64,41,50,52,18,79,11,50,44,18,76,66,29,77,17,50,42,51,44,19,76,77,18,65,29,69,28,76,24,19,54,66,18,9,10,85,66,25,10,85,70,12,51,30,41,42,77,12,15,76,41,44,51,25,70,18,41,30,53,29,53,25,51,42,19,44,53,18,41,44,19,42,10,80,65,25,19,54,53,29,5
69,29,42,67,7,95,82,14,70,24,9,86,44,50,77,17,83,11,70,25,45,50,9,86,83,12,77,18,73,24,62,47,24,84,11,63,30,26,69,73,21,79,15,64,24,64,31,26,69,80,15,74,21,76,20,79,17,26,50,74,15,0,0,95,74,18,0,95,77,12,64,21,45,25,80,12,9,69,44,31,64,18,77,15,45,21,70,21,70,18,64,25,26,31,70,15,45,31,26,25,0,86,74,18,26,50,70,21,5
54,42,28,75,13,84,80,20,55,38,14,81,30,64,71,23,81,14,56,39,30,65,14,81,81,14,72,23,61,37,48,63,18,80,13,50,45,18,76,63,31,74,20,50,39,50,44,19,76,74,21,63,32,71,30,73,22,19,65,63,21,9,10,85,63,23,10,85,72,14,51,32,30,39,74,14,14,76,30,45,51,23,72,21,30,32,56,31,56,23,50,39,19,45,56,21,30,44,19,39,10,81,63,23,19,65,56,32,6
61,44,36,66,15,89,86,16,63,32,16,78,37,57,72,22,87,7,63,31,38,57,17,78,87,8,72,23,69,29,48,55,25,76,7,50,45,27,67,69,24,77,17,50,32,49,45,27,68,78,17,70,25,71,24,77,22,27,57,70,17,4,5,90,70,22,5,90,72,8,50,25,38,32,78,8,17,68,38,46,50,23,72,17,38,25,63,25,64,23,49,31,27,46,64,17,38,45,27,32,5,78,70,23,27,57,63,25,6
54,46,45,61,10,87,81,19,56,38,10,84,45,49,72,21,82,13,56,39,46,49,11,84,82,13,73,22,69,37,47,48,30,83,12,47,46,32,62,69,25,75,19,48,38,48,47,32,63,75,20,70,25,72,24,74,21,32,49,70,20,6,7,88,69,22,7,88,73,13,48,25,46,39,75,13,11,63,45,47,48,22,73,19,46,25,56,25,56,22,48,39,32,47,56,20,46,47,32,39,7,84,70,22,32,49,56,25,4
67,33,45,63,11,95,78,19,68,26,13,82,48,47,72,22,79,15,68,27,47,47,13,82,79,16,72,23,70,26,57,45,27,80,15,59,36,29,66,70,24,74,20,60,27,59,35,29,65,75,20,71,24,71,23,74,22,30,48,71,20,0,0,95,71,23,0,95,72,16,60,24,48,27,75,16,13,66,48,36,60,23,72,20,48,24,68,24,68,23,59,27,30,36,68,20,47,35,30,27,0,82,71,23,29,47,68,24,5
63,36,48,57,12,95,77,21,65,29,14,81,51,44,70,24,78,17,65,30,50,44,14,81,78,17,70,25,68,28,55,42,32,79,16,56,38,34,60,68,26,73,22,57,30,57,38,35,60,73,22,69,26,69,25,72,24,35,45,69,22,0,0,95,69,25,0,95,70,17,57,26,51,30,73,17,14,60,51,38,57,25,70,22,51,26,65,26,65,25,57,30,35,38,65,22,50,38,35,30,0,81,69,25,35,44,65,26,4
66,30,41,65,5,95,84,15,67,27,6,89,45,50,72,21,85,10,67,28,45,49,6,89,85,10,73,22,69,27,63,45,26,88,9,63,30,28,67,69,25,79,15,64,27,64,31,28,67,79,16,70,25,72,24,78,21,28,50,70,16,0,0,95,69,22,0,95,73,10,64,25,46,28,79,10,6,67,45,31,64,22,73,15,46,25,67,25,67,22,64,28,28,31,67,16,45,31,28,28,0,89,70,22,28,49,67,25,7
68,39,50,62,5,95,83,13,70,25,6,89,51,44,78,15,84,11,69,25,50,44,6,89,84,11,79,16,76,24,53,44,27,88,10,54,41,29,65,77,18,81,13,55,26,54,40,30,65,81,14,77,17,78,16,80,15,30,45,78,14,0,0,95,77,16,0,95,79,11,55,18,51,26,81,11,6,65,51,41,55,16,79,13,51,18,70,18,70,16,54,25,30,41,70,14,50,40,30,26,0,89,77,16,30,44,69,17,3
69,27,38,73,10,89,81,14,69,24,10,84,40,54,77,17,82,12,71,25,41,54,11,84,82,13,77,18,75,23,64,51,18,83,12,66,28,20,74,75,18,79,15,66,24,66,29,20,75,80,15,76,19,76,18,79,17,20,54,76,15,4,5,90,76,17,5,90,77,13,66,19,41,24,80,13,11,75,41,29,66,18,77,15,41,19,69,19,70,18,66,25,20,29,70,15,41,29,20,24,5,84,76,18,20,54,71,19,2
56,44,40,62,15,92,84,12,57,36,17,78,42,52,78,17,85,9,58,37,42,53,17,78,85,10,77,17,66,35,49,51,29,76,9,49,45,30,64,67,26,81,13,49,37,50,45,31,64,82,13,68,27,75,25,81,15,31,53,68,13,1,2,93,68,17,2,93,78,10,49,27,42,37,82,10,17,64,42,45,50,18,78,13,42,27,57,26,58,17,50,37,31,45,58,13,42,45,31,37,2,78,68,17,31,53,58,27,6
59,39,46,75,11,86,74,23,61,34,12,83,47,47,69,25,75,20,60,34,47,48,12,83,75,20,69,25,63,33,52,47,18,82,19,53,41,18,76,64,31,71,23,54,35,54,41,19,76,71,24,64,30,68,29,70,24,19,48,65,24,7,8,87,64,26,8,87,70,20,54,31,47,35,71,20,12,76,47,41,54,26,70,23,47,31,61,31,61,26,54,34,19,41,61,24,47,41,19,35,8,83,64,25,19,48,60,30,1
57,44,47,72,10,89,83,12,58,36,10,84,47,47,79,16,84,10,59,36,48,47,11,84,84,11,78,16,66,34,49,46,19,83,10,50,44,21,73,67,27,81,13,50,36,50,45,21,74,82,13,67,27,77,26,81,15,21,47,68,13,4,5,90,68,16,5,90,79,11,50,28,48,36,82,11,11,74,48,45,50,17,79,13,48,28,58,28,59,17,50,36,21,45,59,13,48,45,21,36,5,84,67,16,21,47,59,27,2
72,22,41,73,7,95,80,15,73,21,8,87,43,51,76,18,81,13,73,22,44,51,8,87,81,14,76,19,74,21,69,48,18,86,13,70,23,20,75,74,20,78,16,71,21,71,24,20,75,79,16,75,20,75,19,78,18,20,51,75,16,0,0,95,75,19,0,95,76,14,71,20,44,22,79,14,8,75,43,24,71,19,76,16,44,20,73,20,73,19,71,22,20,24,73,16,44,24,20,22,0,87,75,19,20,51,73,20,2
66,31,52,67,6,95,82,15,66,26,7,88,54,40,75,19,83,12,68,28,54,41,7,88,83,12,76,19,72,26,60,39,24,87,11,61,33,25,69,73,21,79,15,61,27,62,33,26,69,79,16,73,22,75,21,78,18,26,41,73,16,0,0,95,73,19,0,95,76,12,62,22,54,27,79,12,7,69,54,33,62,19,76,16,54,22,67,21,67,19,62,28,26,33,67,16,54,33,26,27,0,88,73,19,26,41,68,22,5
54,41,49,61,10,87,81,19,56,38,11,84,49,45,72,22,82,13,56,39,50,45,11,84,82,13,72,22,72,37,52,44,30,83,12,52,41,32,63,72,23,75,20,53,38,53,42,32,63,74,20,72,22,72,22,73,22,32,45,73,21,6,7,88,72,23,7,88,73,13,53,23,50,39,75,13,11,63,49,42,53,23,73,20,50,23,56,23,56,23,53,39,32,42,56,21,50,42,32,39,7,84,72,22,32,45,56,22,5
67,28,61,81,6,95,77,21,67,26,7,88,63,33,71,23,78,17,68,27,62,32,7,88,78,17,72,23,68,26,65,31,11,87,16,65,29,13,83,69,25,73,21,65,27,66,29,12,82,73,22,69,26,71,25,72,22,13,33,69,22,0,0,95,69,23,0,95,72,17,66,26,63,27,73,17,7,83,63,29,66,23,72,22,63,26,68,25,68,23,66,27,13,29,68,22,62,29,13,27,0,88,69,23,12,32,68,26,7
61,44,36,66,15,89,86,16,63,32,16,78,37,57,72,22,87,7,63,31,38,57,17,78,87,8,72,23,69,29,48,55,25,76,7,50,45,27,67,69,24,77,17,50,32,49,45,27,68,78,17,70,25,71,24,77,22,27,57,70,17,4,5,90,70,22,5,90,72,8,50,25,38,32,78,8,17,68,38,46,50,23,72,17,38,25,63,25,64,23,49,31,27,46,64,17,38,45,27,32,5,78,70,23,27,57,63,25,6
59,44,48,63,6,95,83,13,61,33,7,88,48,46,78,16,84,11,61,34,49,46,7,88,84,11,78,16,69,32,49,45,28,87,10,49,44,30,65,70,24,81,13,50,33,50,45,30,65,81,14,71,24,77,22,80,15,30,46,71,14,0,0,95,70,17,0,95,79,11,50,24,49,34,81,11,7,65,48,45,50,17,79,13,49,24,61,24,61,17,50,34,30,45,61,14,49,45,30,34,0,88,71,16,30,46,61,24,6
62,46,34,69,12,85,80,20,62,30,13,82,36,58,70,24,81,13,64,31,36,59,13,82,81,14,70,25,66,29,45,57,22,81,13,46,48,23,71,67,26,73,21,46,31,47,48,24,71,74,21,67,27,69,26,73,24,24,59,68,21,8,9,86,68,24,9,86,70,14,46,28,36,31,74,14,13,71,36,48,47,25,70,21,36,28,63,27,64,24,47,31,24,48,64,21,36,48,24,31,9,82,67,25,24,59,64,27,4
67,50,32,65,16,88,84,14,68,27,17,77,33,61,75,19,85,9,68,26,34,61,18,77,85,10,75,20,71,25,39,59,26,75,9,42,52,28,66,71,22,79,15,42,27,42,53,28,67,80,15,72,23,74,22,79,19,28,61,72,15,5,6,89,72,19,6,89,75,10,42,23,34,27,80,10,18,67,34,53,42,20,75,15,34,23,68,23,69,20,42,26,28,53,69,15,34,53,28,27,6,77,72,20,28,61,68,23,5
67,37,45,55,12,95,76,20,68,26,14,81,47,48,71,23,77,18,68,27,47,48,14,81,77,18,72,23,69,26,54,46,35,79,17,55,39,38,58,70,25,74,20,56,27,56,39,37,57,74,21,70,25,71,24,73,22,38,48,70,21,0,0,95,70,23,0,95,72,18,56,25,47,27,74,18,14,58,47,39,56,23,72,21,47,25,68,25,68,23,56,27,38,39,68,21,47,39,38,27,0,81,70,23,37,48,68,25,2
69,26,51,60,8,95,74,23,70,26,9,86,52,43,71,24,75,20,69,25,52,42,9,86,75,20,70,24,70,25,68,41,31,85,19,69,26,33,62,70,25,72,24,69,26,68,26,33,62,71,23,70,24,70,24,71,24,33,43,71,24,0,0,95,71,25,0,95,71,20,69,25,53,26,72,20,9,62,53,27,69,25,71,24,53,25,70,25,70,25,68,25,33,27,70,24,52,26,33,26,0,86,70,24,33,42,69,24,5
66,28,48,59,6,95,77,21,67,27,7,88,51,44,70,24,78,17,67,28,50,44,7,88,78,17,70,25,68,27,65,42,31,87,16,65,29,33,62,68,26,73,22,66,28,66,29,33,61,73,22,69,26,69,25,72,24,34,45,69,22,0,0,95,69,25,0,95,70,17,66,26,51,28,73,17,7,62,51,29,66,25,70,22,51,26,67,26,67,25,66,28,34,29,67,22,50,29,34,28,0,88,69,25,33,44,67,26,4
56,43,41,63,15,91,83,13,57,36,17,78,43,51,77,18,84,10,58,37,43,52,17,78,84,11,77,17,67,35,50,50,28,76,10,50,44,29,65,69,25,80,13,50,37,51,44,30,65,81,14,69,26,76,24,80,16,30,52,69,14,2,3,92,69,18,3,92,78,11,51,26,43,37,81,10,17,65,43,44,51,18,77,14,43,26,58,25,58,18,51,37,30,44,58,14,43,44,30,37,3,78,69,17,30,52,58,26,5
70,25,46,62,8,95,73,22,70,25,9,86,49,47,72,24,74,22,70,24,48,46,9,86,73,21,71,23,70,24,69,44,29,85,21,70,26,31,64,71,24,73,23,70,25,69,25,31,64,72,22,70,24,71,24,72,23,31,47,71,23,0,0,95,71,24,0,95,72,22,70,25,49,25,73,22,9,64,49,26,70,24,72,23,49,25,71,25,71,24,69,24,31,26,71,23,48,25,31,25,0,86,70,23,31,46,70,24,4
54,44,43,58,16,88,75,23,55,39,18,77,44,49,68,26,77,18,56,39,45,50,18,77,77,18,69,26,63,37,47,48,32,75,16,49,45,34,61,65,29,71,23,49,39,49,46,34,60,71,24,65,30,68,28,70,25,34,50,65,24,5,6,89,65,26,6,89,69,18,49,30,45,39,71,18,18,61,45,45,49,26,69,24,45,30,56,30,56,26,49,39,35,46,56,24,45,46,35,39,6,77,65,26,34,50,56,30,7
62,42,42,54,23,92,73,24,64,31,25,70,45,51,68,27,74,21,63,31,44,50,25,70,74,21,68,25,65,30,48,48,37,68,20,50,45,39,56,67,29,70,24,51,32,50,44,39,56,70,25,65,28,67,27,69,25,39,51,67,25,1,2,93,67,27,2,93,69,21,51,29,45,32,70,21,25,56,45,45,51,27,69,25,45,29,64,29,64,27,50,31,39,45,64,25,44,44,39,32,2,70,66,26,39,50,63,28,2
59,44,38,64,13,95,84,11,60,33,15,80,40,54,80,14,85,9,61,34,40,55,15,80,85,10,81,14,67,32,49,53,27,78,9,49,45,28,66,70,25,82,11,49,34,50,45,29,66,83,12,69,25,80,23,82,13,29,55,70,12,0,0,95,70,14,0,95,81,10,50,26,40,34,83,9,15,66,40,45,50,14,80,12,40,26,61,25,61,14,50,34,29,45,61,12,40,45,29,34,0,80,69,14,29,55,61,25,6
65,45,35,66,10,88,85,16,66,29,10,84,36,58,74,20,87,7,66,28,37,58,11,84,87,8,74,21,68,27,47,56,25,83,6,49,46,27,67,69,25,77,17,49,29,48,46,27,68,78,17,69,25,73,24,77,20,27,58,70,17,5,6,89,70,20,6,89,74,8,49,26,37,29,78,8,11,68,37,47,49,21,74,17,37,26,66,26,67,21,48,28,27,47,67,17,37,46,27,29,6,84,69,21,27,58,66,25,6
59,42,46,70,9,89,83,13,61,33,10,85,46,48,78,15,84,11,61,34,47,48,10,85,84,11,79,16,69,32,49,47,21,84,10,50,43,23,72,70,25,81,13,51,33,51,44,23,72,81,14,70,24,78,23,80,15,23,48,71,14,4,5,90,70,16,5,90,79,11,51,25,47,34,81,11,10,72,46,44,51,16,79,13,47,25,61,25,61,16,51,34,23,44,61,14,47,44,23,34,5,85,70,16,23,48,61,24,4
57,45,45,78,10,88,84,12,58,36,11,84,45,48,77,18,85,9,59,36,46,49,11,84,85,10,76,18,67,34,48,48,15,83,9,49,45,15,79,69,25,81,13,49,36,49,46,16,79,82,13,69,25,75,23,81,17,15,49,70,13,5,6,89,70,18,6,89,77,10,49,26,46,36,82,10,11,79,46,45,49,19,77,13,46,26,58,26,59,19,49,36,16,46,59,13,46,46,16,36,6,84,69,18,16,49,59,25,4
68,28,43,68,5,95,83,13,69,25,6,89,47,48,79,15,84,11,70,25,46,48,6,89,84,11,80,15,77,23,63,45,22,88,10,65,30,24,71,78,16,81,13,65,25,65,30,24,70,81,14,78,17,79,16,80,14,25,49,78,14,0,0,95,78,15,0,95,80,11,65,17,47,25,81,11,6,71,47,30,65,15,80,14,47,17,70,17,70,15,65,25,25,30,70,14,46,30,25,25,0,89,78,15,24,48,70,17,2
70,41,30,68,12,88,82,14,71,23,14,81,32,62,77,17,83,11,71,23,32,63,14,81,83,12,77,18,74,22,46,61,23,79,11,49,45,24,70,74,19,79,15,49,24,50,45,25,70,80,15,75,20,76,19,79,17,25,63,75,15,5,6,89,75,17,6,89,77,12,49,20,32,24,80,12,14,70,32,45,50,18,77,15,32,20,71,19,72,17,50,23,25,45,72,15,32,45,25,24,6,81,75,18,25,63,71,20,5
68,26,47,68,8,95,77,20,69,26,10,85,50,44,72,22,78,16,68,26,50,45,10,85,78,17,72,23,70,26,68,42,23,83,16,68,27,24,70,70,24,73,21,69,27,68,26,25,70,74,21,71,24,71,23,73,22,25,45,71,21,0,0,95,71,23,0,95,72,17,69,24,50,27,74,17,10,70,50,27,69,23,72,21,50,24,69,24,69,23,68,26,25,27,69,21,50,26,25,27,0,85,71,23,25,45,68,24,6
64,47,33,65,10,87,84,16,66,27,12,83,35,59,75,19,85,9,67,27,35,60,12,83,85,10,76,19,71,24,42,58,26,81,9,44,50,27,67,73,21,77,16,44,28,45,50,28,67,78,17,72,22,75,21,77,18,28,60,73,17,6,7,88,73,19,7,88,76,10,45,23,35,28,78,9,12,67,35,50,45,19,75,17,35,23,68,22,68,19,45,27,28,50,68,17,35,50,28,28,7,83,72,19,28,60,67,22,5
58,45,42,64,8,90,83,12,59,35,9,86,43,51,79,15,84,10,60,35,43,51,9,86,84,11,79,16,68,33,49,50,27,85,10,50,45,28,66,69,24,81,13,50,35,49,45,29,66,82,13,70,25,78,23,81,15,28,52,70,13,3,4,91,70,15,4,91,79,11,50,25,44,35,82,11,9,66,44,45,50,16,79,13,44,25,59,25,60,16,49,35,29,46,60,13,43,45,29,35,4,86,70,16,29,51,60,25,5
77,30,43,70,6,95,79,15,78,17,7,88,47,48,79,16,80,15,77,17,46,48,7,88,79,15,78,16,78,17,62,45,21,87,15,63,32,22,72,78,17,79,16,64,18,63,31,23,72,79,15,78,16,78,16,79,16,23,49,79,16,0,0,95,79,17,0,95,79,16,64,17,47,18,80,16,7,72,47,32,64,17,79,16,47,17,78,17,78,17,63,17,23,32,78,16,46,31,23,18,0,88,78,16,23,48,77,16,6
73,30,44,65,2,95,82,13,73,21,3,92,46,48,78,16,83,11,74,21,47,48,3,92,83,12,78,17,75,20,59,45,26,91,11,62,32,28,67,75,18,80,14,62,21,62,33,28,67,81,14,76,19,77,18,80,16,28,48,76,14,0,0,95,76,16,0,95,78,12,62,19,47,21,81,12,3,67,47,33,62,17,78,14,47,19,73,19,74,17,62,21,28,33,74,14,47,33,28,21,0,92,76,17,28,48,74,19,4
68,28,56,68,4,95,79,20,68,26,5,90,57,37,71,23,80,15,69,26,58,36,5,90,80,15,72,23,69,25,64,34,23,89,14,66,28,25,70,70,24,74,20,66,26,65,29,25,70,74,21,70,25,71,24,73,22,25,37,70,21,0,0,95,70,23,0,95,72,15,66,25,59,26,74,15,5,70,59,30,66,23,72,21,59,25,69,25,69,23,65,26,25,30,69,21,58,29,25,26,0,90,70,23,25,36,69,25,7
66,31,46,81,8,89,83,16,67,28,9,86,46,47,72,21,84,11,67,27,47,48,9,86,84,11,73,22,70,26,59,47,12,85,10,62,33,12,82,70,23,78,16,62,28,61,33,13,82,78,17,71,24,72,23,77,21,12,48,71,16,4,5,90,70,21,5,90,73,11,62,24,47,28,78,11,9,82,47,33,62,22,73,16,47,24,67,24,67,22,61,27,13,34,68,17,47,33,13,28,5,86,71,22,13,48,67,24,6
69,32,35,67,8,90,80,16,70,24,8,86,36,58,75,19,81,13,71,24,37,58,9,86,81,14,75,20,72,22,57,56,24,85,13,60,34,26,68,72,21,77,17,60,24,60,35,26,69,78,17,73,22,74,21,77,19,26,58,73,17,3,4,91,73,19,4,91,75,14,60,22,37,24,78,14,9,69,37,35,60,20,75,17,37,22,70,22,71,20,60,24,26,35,71,17,37,35,26,24,4,86,73,20,26,58,71,22,4
68,28,44,63,8,95,78,20,68,26,10,85,46,49,71,23,79,16,69,26,46,49,10,85,79,16,72,23,69,25,65,47,25,83,15,66,29,29,67,70,24,74,20,66,26,66,29,28,66,74,21,70,25,71,24,73,22,29,49,70,21,0,0,95,70,23,0,95,72,16,66,25,46,26,74,16,10,67,46,29,66,23,72,21,46,25,69,25,69,23,66,26,29,29,69,21,46,29,29,26,0,85,70,23,28,49,69,25,3
72,24,43,70,0,95,81,15,72,22,0,95,47,49,77,17,82,13,73,22,46,48,0,95,82,13,78,17,74,21,69,45,22,95,12,70,25,24,72,75,19,79,15,70,22,70,25,23,71,79,16,75,20,77,19,78,16,24,49,75,16,0,0,95,75,17,0,95,78,13,70,20,47,22,79,13,0,72,47,25,70,17,78,16,47,20,73,20,73,17,70,22,24,25,73,16,46,25,24,22,0,95,75,17,23,48,73,20,3
63,36,40,66,12,95,81,14,64,29,14,81,43,51,77,17,82,12,66,30,43,52,14,81,82,13,77,18,75,27,53,49,21,79,12,56,39,24,70,75,18,79,15,56,29,56,39,25,70,80,15,76,19,76,18,79,17,25,52,76,15,0,0,95,76,17,0,95,77,13,56,19,43,29,80,13,14,70,43,39,56,18,77,15,43,19,64,19,65,18,56,30,25,39,65,15,43,39,25,29,0,81,76,18,25,52,66,19,2
50,44,49,63,11,86,82,16,50,44,12,83,50,45,71,23,83,12,50,44,49,45,12,83,83,12,72,23,62,44,50,45,28,82,11,50,45,29,65,65,29,78,16,50,45,50,44,30,65,78,17,65,30,71,27,77,22,30,46,65,17,7,8,87,65,23,8,87,72,12,51,30,50,45,78,12,12,65,50,45,51,23,72,17,50,30,51,29,51,23,50,44,30,45,51,17,49,44,30,45,8,83,65,23,30,45,50,30,5
54,42,34,65,17,88,83,15,55,38,19,76,36,58,76,18,84,11,56,39,36,59,19,76,84,11,77,18,59,37,49,57,26,74,10,50,44,27,67,61,33,79,15,50,39,51,44,28,67,79,16,61,34,76,32,78,17,28,59,61,16,5,6,89,61,18,6,89,77,11,51,34,36,39,79,11,19,67,36,44,51,18,77,16,36,34,56,33,56,18,51,39,28,44,56,16,36,44,28,39,6,76,61,18,28,59,56,34,1
46,54,31,66,12,84,86,19,48,45,13,82,33,61,65,30,87,8,49,46,32,62,13,82,87,8,65,29,60,43,37,60,25,81,7,38,56,26,68,62,33,75,19,38,46,39,55,27,68,75,20,61,33,64,32,74,28,27,62,62,20,9,10,85,62,30,10,85,66,8,39,34,33,46,75,8,13,68,33,56,39,30,66,20,33,34,49,33,49,30,39,46,27,56,49,20,33,56,27,46,10,82,61,29,27,62,49,33,3
54,50,34,65,18,87,75,21,56,38,19,76,35,59,71,23,76,19,57,38,36,59,19,76,76,19,72,23,61,35,41,57,26,75,18,43,51,28,67,63,31,73,21,43,38,43,52,28,67,73,22,63,32,71,30,72,22,28,59,63,22,6,7,88,63,23,7,88,72,19,43,32,36,38,73,19,19,67,36,52,43,23,72,22,36,32,57,32,57,23,43,38,28,52,57,22,36,52,28,38,7,76,63,23,28,59,57,32,4
51,50,33,68,14,83,89,22,52,41,15,79,35,59,63,31,90,5,53,41,35,60,15,80,90,5,64,31,56,40,41,58,23,79,4,42,52,24,70,58,36,72,22,42,42,42,52,25,70,72,23,58,37,62,35,71,29,25,60,58,23,10,10,84,58,31,11,84,64,5,43,37,35,42,72,5,15,70,35,52,43,31,64,23,35,37,53,36,53,31,43,42,25,52,53,23,35,52,25,42,11,80,58,31,25,60,53,37,7
68,30,41,75,7,89,81,16,69,25,8,87,43,51,74,20,82,12,69,25,43,52,8,87,82,13,75,20,71,24,61,50,16,86,12,62,32,17,77,72,22,77,16,62,26,63,32,18,77,78,17,72,23,74,22,77,19,18,52,72,17,4,5,90,72,20,5,90,75,13,63,23,43,26,78,12,8,77,43,32,63,20,74,17,43,23,70,22,70,20,63,25,18,32,70,17,43,32,18,26,5,87,72,20,18,52,69,23,6
49,45,35,63,16,85,83,19,49,44,18,77,37,57,65,30,84,11,50,45,37,58,18,77,84,11,65,29,53,44,48,56,28,75,10,48,46,29,65,56,39,75,20,48,45,49,46,30,65,74,20,55,39,63,37,73,27,30,58,56,21,8,9,86,56,30,9,86,66,11,49,40,37,45,75,11,18,65,37,46,49,30,66,21,37,40,50,39,50,30,49,45,30,46,50,21,37,46,30,45,9,77,55,29,30,58,50,39,2
57,48,43,69,8,89,85,9,59,34,9,86,44,50,81,13,86,8,60,35,44,51,9,86,86,9,81,14,68,32,45,50,22,85,8,45,49,23,71,69,24,84,10,45,35,46,49,24,71,85,10,70,25,80,23,84,13,24,51,70,10,4,5,90,70,13,5,90,81,9,45,25,44,35,85,9,9,71,44,49,46,14,81,10,44,25,59,24,60,13,46,35,24,49,60,10,44,49,24,35,5,86,70,14,24,51,60,25,5
68,44,32,71,10,86,82,15,69,26,11,84,33,60,76,18,83,11,69,25,34,61,11,84,83,12,76,19,72,24,45,59,20,83,11,48,46,21,73,72,21,78,16,48,26,48,47,22,73,79,16,73,22,75,21,78,18,21,61,73,16,7,8,87,73,18,8,87,76,12,48,22,34,26,79,12,11,73,34,46,48,19,76,16,34,22,69,22,70,19,48,25,22,47,70,16,34,47,22,26,8,84,73,19,22,61,69,22,5
59,43,49,62,6,95,83,12,60,34,7,88,49,45,79,16,84,10,61,34,50,45,7,88,84,11,78,16,70,32,50,44,29,87,10,51,43,31,64,71,23,81,13,51,34,51,44,31,64,82,13,71,23,77,22,81,15,31,45,72,13,0,0,95,72,16,0,95,79,11,51,24,50,34,82,11,7,64,50,44,51,17,79,13,50,24,60,24,61,17,51,34,31,44,61,13,50,44,31,34,0,88,71,16,31,45,61,23,5
70,25,39,76,6,93,83,14,71,23,7,88,42,53,76,17,84,11,71,24,42,52,7,88,84,11,77,18,73,23,68,49,15,87,10,68,25,17,78,73,21,80,14,69,23,69,26,17,78,80,15,74,21,76,20,79,17,17,53,74,15,0,1,94,73,18,1,94,77,11,69,21,43,24,80,11,7,78,42,26,69,18,77,14,43,21,71,21,71,18,69,24,17,26,71,15,42,26,17,24,1,88,74,18,17,52,71,21,7
