@relation 'Sax dominant'

@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute destClass {1,2}

@data
32,60,31,59,26,63,29,22,62,28,59,56,28,62,28,63,66,25,65,25,31,57,66,22,26,63,59,28,32,29,28,29,31,28,32,25,31,25,28,28,31,28,1
32,60,32,60,28,56,35,28,56,34,53,58,30,62,30,62,60,32,59,31,32,58,59,28,28,62,53,35,32,35,30,35,32,34,32,32,32,31,30,34,32,34,1
30,63,29,62,25,62,31,26,61,30,59,60,27,64,27,65,64,28,63,28,29,60,64,26,25,65,59,30,30,31,27,31,29,30,30,28,29,28,27,30,29,30,1
35,56,35,56,29,58,33,27,58,33,55,53,32,59,32,59,61,30,61,30,35,53,61,27,29,59,55,33,35,33,32,33,35,33,35,30,35,30,32,33,35,33,2
32,59,32,59,27,51,40,34,51,40,48,56,29,62,29,62,54,37,54,37,32,57,54,34,27,62,48,40,32,40,29,40,32,40,32,37,32,37,29,40,32,40,2
35,56,35,56,29,53,38,31,53,37,50,53,32,59,32,59,57,35,56,34,35,53,56,31,29,59,50,38,35,38,32,38,35,37,35,35,35,34,32,37,35,37,2
35,56,35,56,29,53,38,31,53,37,50,53,32,59,32,59,57,35,56,34,35,53,56,31,29,59,50,38,35,38,32,38,35,37,35,35,35,34,32,37,35,37,2
35,57,35,57,31,59,33,29,59,33,57,55,33,59,33,59,61,31,61,31,35,55,61,29,31,59,57,33,35,33,33,33,35,33,35,31,35,31,33,33,35,33,1
36,55,36,55,30,58,33,26,58,32,55,52,33,58,33,58,62,30,61,29,36,52,61,26,30,58,55,33,36,33,33,33,36,32,36,30,36,29,33,32,36,32,1
31,61,31,61,27,58,33,26,58,32,55,59,29,63,29,63,62,30,61,29,31,59,61,26,27,63,55,33,31,33,29,33,31,32,31,30,31,29,29,32,31,32,2
34,57,34,57,28,55,37,33,55,37,53,54,31,60,31,60,57,35,57,35,34,54,57,33,28,60,53,37,34,37,31,37,34,37,34,35,34,35,31,37,34,37,2
35,56,35,56,29,59,32,26,59,32,56,53,32,59,32,59,62,29,62,29,35,53,62,26,29,59,56,32,35,32,32,32,35,32,35,29,35,29,32,32,35,32,1
31,61,31,61,27,52,39,33,52,39,49,59,29,63,29,63,55,36,55,36,31,59,55,33,27,63,49,39,31,39,29,39,31,39,31,36,31,36,29,39,31,39,2
36,56,36,56,32,55,37,33,55,37,53,54,34,58,34,58,57,35,57,35,36,54,57,33,32,58,53,37,36,37,34,37,36,37,36,35,36,35,34,37,36,37,2
31,59,31,59,23,59,32,25,59,31,56,55,27,63,27,63,63,29,62,28,31,55,62,25,23,63,56,32,31,32,27,32,31,31,31,29,31,28,27,31,31,31,1
31,61,31,61,27,59,32,25,59,31,56,59,29,63,29,63,63,29,62,28,31,59,62,25,27,63,56,32,31,32,29,32,31,31,31,29,31,28,29,31,31,31,1
32,61,31,60,27,56,35,29,56,35,53,58,29,62,29,63,59,32,59,32,31,58,59,29,27,63,53,35,32,35,29,35,31,35,32,32,31,32,29,35,31,35,1
28,64,28,64,24,63,29,24,63,28,61,62,26,66,26,66,66,27,65,26,28,62,65,24,24,66,61,29,28,29,26,29,28,28,28,27,28,26,26,28,28,28,1
33,57,33,57,25,60,31,24,60,30,57,53,29,61,29,61,64,28,63,27,33,53,63,24,25,61,57,31,33,31,29,31,33,30,33,28,33,27,29,30,33,30,2
31,60,31,60,25,55,35,27,55,35,51,57,28,63,28,63,59,31,59,31,31,57,59,27,25,63,51,35,31,35,28,35,31,35,31,31,31,31,28,35,31,35,2
26,66,26,66,22,62,29,23,62,29,59,64,24,68,24,68,65,26,65,26,26,64,65,23,22,68,59,29,26,29,24,29,26,29,26,26,26,26,24,29,26,29,1
30,62,30,62,26,58,32,24,58,31,54,60,28,64,28,64,63,28,62,27,30,60,62,24,26,64,55,32,30,32,28,32,30,31,30,28,30,27,28,31,30,31,1
34,57,34,57,28,53,38,32,53,38,50,54,31,60,31,60,56,35,56,35,34,54,56,32,28,60,50,38,34,38,31,38,34,38,34,35,34,35,31,38,34,38,2
26,66,26,66,22,56,34,26,56,34,52,64,24,68,24,68,60,30,60,30,26,64,60,26,22,68,52,34,26,34,24,34,26,34,26,30,26,30,24,34,26,34,2
35,56,35,56,29,59,32,26,59,32,56,53,32,59,32,59,62,29,62,29,35,53,62,26,29,59,56,32,35,32,32,32,35,32,35,29,35,29,32,32,35,32,2
36,56,36,56,32,59,32,25,59,31,56,54,34,58,34,58,63,29,62,28,36,54,62,25,32,58,56,32,36,32,34,32,36,31,36,29,36,28,34,31,36,31,1
30,62,30,62,26,61,31,25,60,30,57,60,28,64,28,64,64,27,63,27,30,60,64,25,26,64,58,30,30,31,28,31,30,30,30,27,30,27,28,30,30,30,2
34,56,34,56,26,59,32,25,59,31,56,52,30,60,30,60,63,29,62,28,34,52,62,25,26,60,56,32,34,32,30,32,34,31,34,29,34,28,30,31,34,31,1
31,59,31,59,23,60,31,25,60,31,57,55,27,63,27,63,63,28,63,28,31,55,63,25,23,63,57,31,31,31,27,31,31,31,31,28,31,28,27,31,31,31,2
29,62,29,62,23,61,28,19,61,28,56,59,26,65,26,65,66,23,66,23,29,59,66,19,23,65,57,28,29,28,26,28,29,28,29,23,29,23,26,28,29,28,1
33,59,32,59,28,57,34,28,57,34,54,57,30,61,31,62,60,31,60,31,33,57,60,28,28,61,54,34,33,34,31,34,32,34,33,31,32,31,30,34,33,34,2
28,63,28,63,22,57,32,22,57,32,52,60,25,66,25,66,62,27,62,27,28,60,62,22,22,66,52,32,28,32,25,32,28,32,28,27,28,27,25,32,28,32,1
36,56,36,56,32,53,38,31,53,37,50,54,34,58,34,58,57,35,56,34,36,54,56,31,32,58,50,38,36,38,34,38,36,37,36,35,36,34,34,37,36,37,2
33,58,33,58,27,57,34,28,57,34,54,55,30,61,30,61,60,31,60,31,33,55,60,28,27,61,54,34,33,34,30,34,33,34,33,31,33,31,30,34,33,34,1
34,58,34,58,30,59,32,25,59,31,56,56,32,60,32,60,63,29,62,28,34,56,62,25,30,60,56,32,34,32,32,32,34,31,34,29,34,28,32,31,34,31,2
36,56,36,56,32,61,31,26,61,30,59,54,34,58,34,58,64,29,63,28,36,54,63,26,32,58,59,31,36,31,34,31,36,30,36,29,36,28,34,30,36,30,1
41,48,42,49,37,59,31,27,59,32,56,46,40,52,39,51,61,29,62,30,42,46,62,27,37,51,56,32,42,31,40,32,43,33,42,29,43,30,40,33,42,32,2
34,58,33,58,29,58,33,27,58,33,55,56,31,60,32,61,61,30,61,30,34,56,61,27,29,60,55,33,34,33,32,33,33,33,34,30,33,30,31,33,34,33,2
32,60,32,60,28,59,31,24,59,31,56,58,30,62,30,62,63,27,63,27,32,58,63,25,28,62,57,31,32,31,30,31,32,31,32,27,32,27,30,31,32,31,2
37,54,37,54,31,52,39,32,52,38,49,51,34,57,34,57,56,36,55,35,37,51,55,32,31,57,49,39,37,39,34,39,37,38,37,36,37,35,34,38,37,38,2
34,57,34,57,28,56,34,26,56,34,52,54,31,60,31,60,60,30,60,30,34,54,60,26,28,60,52,34,34,34,31,34,34,34,34,30,34,30,31,34,34,34,2
33,57,33,57,25,61,30,23,61,29,58,53,29,61,29,61,65,27,64,26,33,53,64,23,25,61,58,30,33,30,29,30,33,29,33,27,33,26,29,29,33,29,1
36,56,36,56,32,61,29,22,61,29,57,54,34,58,34,58,65,25,65,25,36,54,65,22,32,58,58,29,36,29,34,29,36,29,36,25,36,25,34,29,36,29,2
36,56,36,56,32,59,31,23,59,31,55,54,34,58,34,58,63,27,63,27,36,54,63,23,32,58,55,31,36,31,34,31,36,31,36,27,36,27,34,31,36,31,1
36,57,34,56,30,56,35,29,56,35,53,54,32,58,33,60,59,32,59,32,35,54,59,29,30,59,53,35,36,35,33,35,34,35,36,32,34,32,32,35,35,35,2
37,55,37,55,33,56,36,32,56,36,54,53,35,57,35,57,58,34,58,34,37,53,58,32,33,57,54,36,37,36,35,36,37,36,37,34,37,34,35,36,37,36,2
33,57,33,57,25,51,40,33,51,39,48,53,29,61,29,61,55,37,54,36,33,53,54,33,25,61,48,40,33,40,29,40,33,39,33,37,33,36,29,39,33,39,2
31,60,31,60,25,54,36,28,54,36,50,57,28,63,28,63,58,32,58,32,31,57,58,28,25,63,50,36,31,36,28,36,31,36,31,32,31,32,28,36,31,36,2
31,61,31,61,27,60,31,25,60,31,57,59,29,63,29,63,63,28,63,28,31,59,63,25,27,63,57,31,31,31,29,31,31,31,31,28,31,28,29,31,31,31,2
35,57,35,57,31,60,31,24,60,30,57,55,33,59,33,59,64,28,63,27,35,55,63,24,31,59,57,31,35,31,33,31,35,30,35,28,35,27,33,30,35,30,1
36,56,36,56,32,58,34,30,58,34,56,54,34,58,34,58,60,32,60,32,36,54,60,30,32,58,56,34,36,34,34,34,36,34,36,32,36,32,34,34,36,34,2
30,61,30,61,24,58,33,26,58,32,55,58,27,64,27,64,62,30,61,29,30,58,61,26,24,64,55,33,30,33,27,33,30,32,30,30,30,29,27,32,30,32,1
35,56,35,56,29,55,37,33,55,37,53,53,32,59,32,59,57,35,57,35,35,53,57,33,29,59,53,37,35,37,32,37,35,37,35,35,35,35,32,37,35,37,2
35,57,35,57,31,58,34,30,58,34,56,55,33,59,33,59,60,32,60,32,35,55,60,30,31,59,56,34,35,34,33,34,35,34,35,32,35,32,33,34,35,34,2
37,55,37,55,33,58,34,30,58,34,56,53,35,57,35,57,60,32,60,32,37,53,60,30,33,57,56,34,37,34,35,34,37,34,37,32,37,32,35,34,37,34,1
34,56,34,56,26,58,33,26,58,32,55,52,30,60,30,60,62,30,61,29,34,52,61,26,26,60,55,33,34,33,30,33,34,32,34,30,34,29,30,32,34,32,1
40,53,39,52,35,55,37,33,55,37,53,50,37,54,37,55,57,35,57,35,39,50,57,33,35,55,53,37,40,37,37,37,39,37,40,35,39,35,37,37,39,37,1
30,61,30,61,24,59,32,25,59,31,56,58,27,64,27,64,63,29,62,28,30,58,62,25,24,64,56,32,30,32,27,32,30,31,30,29,30,28,27,31,30,31,2
35,56,35,56,29,58,33,27,58,33,55,53,32,59,32,59,61,30,61,30,35,53,61,27,29,59,55,33,35,33,32,33,35,33,35,30,35,30,32,33,35,33,2
32,60,32,60,28,62,31,26,61,30,59,58,30,62,30,62,64,28,63,28,32,58,64,26,28,62,59,30,32,31,30,31,32,30,32,28,32,28,30,30,32,30,1
38,54,38,54,34,56,36,32,56,36,54,52,36,56,36,56,58,34,58,34,38,52,58,32,34,56,54,36,38,36,36,36,38,36,38,34,38,34,36,36,38,36,2
36,56,36,56,32,56,35,29,56,35,53,54,34,58,34,58,59,32,59,32,36,54,59,29,32,58,53,35,36,35,34,35,36,35,36,32,36,32,34,35,36,35,1
38,54,38,54,34,57,35,31,57,35,55,52,36,56,36,56,59,33,59,33,38,52,59,31,34,56,55,35,38,35,36,35,38,35,38,33,38,33,36,35,38,35,1
39,53,39,53,35,59,33,29,59,33,57,51,37,55,37,55,61,31,61,31,39,51,61,29,35,55,57,33,39,33,37,33,39,33,39,31,39,31,37,33,39,33,1
29,64,28,63,24,59,32,26,59,32,56,61,26,65,26,66,62,29,62,29,28,61,62,26,24,66,56,32,29,32,26,32,28,32,29,29,28,29,26,32,28,32,2
34,57,34,57,28,53,38,31,53,37,50,54,31,60,31,60,57,35,56,34,34,54,56,31,28,60,50,38,34,38,31,38,34,37,34,35,34,34,31,37,34,37,2
35,56,35,56,29,61,30,24,61,30,58,53,32,59,32,59,64,27,64,27,35,53,64,24,29,59,58,30,35,30,32,30,35,30,35,27,35,27,32,30,35,30,1
27,65,27,65,23,54,36,27,54,35,50,63,25,67,25,67,59,32,58,31,27,63,58,27,23,67,50,36,27,36,25,36,27,35,27,32,27,31,25,35,27,35,1
32,60,32,60,28,63,29,23,62,28,59,58,30,62,30,62,66,25,65,25,32,58,66,23,28,62,60,28,32,29,30,29,32,28,32,25,32,25,30,28,32,28,1
37,55,37,55,33,56,36,32,56,36,54,53,35,57,35,57,58,34,58,34,37,53,58,32,33,57,54,36,37,36,35,36,37,36,37,34,37,34,35,36,37,36,2
36,56,36,56,32,58,34,30,58,34,56,54,34,58,34,58,60,32,60,32,36,54,60,30,32,58,56,34,36,34,34,34,36,34,36,32,36,32,34,34,36,34,1
39,52,39,52,33,58,32,24,58,31,55,50,36,55,36,55,63,28,62,27,39,50,62,25,34,55,56,32,39,32,36,32,39,31,39,28,39,27,36,31,39,31,2
36,56,36,56,32,61,31,27,61,31,59,54,34,58,34,58,63,29,63,29,36,54,63,27,32,58,59,31,36,31,34,31,36,31,36,29,36,29,34,31,36,31,1
34,58,34,58,30,58,33,27,58,33,55,56,32,60,32,60,61,30,61,30,34,56,61,27,30,60,55,33,34,33,32,33,34,33,34,30,34,30,32,33,34,33,2
36,55,36,55,30,55,37,33,55,37,53,52,33,58,33,58,57,35,57,35,36,52,57,33,30,58,53,37,36,37,33,37,36,37,36,35,36,35,33,37,36,37,2
30,61,30,61,25,51,40,34,51,40,48,58,27,64,27,64,54,37,54,37,30,59,54,34,25,64,48,40,30,40,27,40,30,40,30,37,30,37,27,40,30,40,1
35,57,35,57,31,53,39,35,53,39,51,55,33,59,33,59,55,37,55,37,35,55,55,35,31,59,51,39,35,39,33,39,35,39,35,37,35,37,33,39,35,39,2
36,56,36,56,32,56,36,32,56,36,54,54,34,58,34,58,58,34,58,34,36,54,58,32,32,58,54,36,36,36,34,36,36,36,36,34,36,34,34,36,36,36,2
32,58,32,58,24,59,32,25,59,31,56,54,28,62,28,62,63,29,62,28,32,54,62,25,24,62,56,32,32,32,28,32,32,31,32,29,32,28,28,31,32,31,2
37,55,37,55,33,58,34,30,58,34,56,53,35,57,35,57,60,32,60,32,37,53,60,30,33,57,56,34,37,34,35,34,37,34,37,32,37,32,35,34,37,34,1
35,57,35,57,31,58,34,30,58,34,56,55,33,59,33,59,60,32,60,32,35,55,60,30,31,59,56,34,35,34,33,34,35,34,35,32,35,32,33,34,35,34,2
36,56,36,56,32,59,32,25,59,31,56,54,34,58,34,58,63,29,62,28,36,54,62,25,32,58,56,32,36,32,34,32,36,31,36,29,36,28,34,31,36,31,1
31,62,30,61,26,61,32,27,60,31,58,59,28,63,28,64,63,29,62,29,30,59,63,27,26,64,58,31,31,32,28,32,30,31,31,29,30,29,28,31,30,31,1
34,58,34,58,30,59,32,25,59,31,56,56,32,60,32,60,63,29,62,28,34,56,62,25,30,60,56,32,34,32,32,32,34,31,34,29,34,28,32,31,34,31,1
35,57,35,57,31,59,31,24,59,31,56,55,33,59,33,59,63,27,63,27,35,55,63,25,31,59,57,31,35,31,33,31,35,31,35,27,35,27,33,31,35,31,1
32,58,32,58,25,51,39,31,51,39,47,55,28,62,28,62,55,35,55,35,32,56,55,31,26,62,47,39,32,39,28,39,32,39,32,35,32,35,28,39,32,39,1
34,57,34,57,28,53,37,29,53,37,49,54,31,60,31,60,57,33,57,33,34,54,57,29,28,60,49,37,34,37,31,37,34,37,34,33,34,33,31,37,34,37,2
32,59,32,59,27,55,37,33,55,37,53,56,29,62,29,62,57,35,57,35,32,57,57,33,27,62,53,37,32,37,29,37,32,37,32,35,32,35,29,37,32,37,2
32,59,32,59,26,51,40,33,51,39,48,56,29,62,29,62,55,37,54,36,32,56,54,33,26,62,48,40,32,40,29,40,32,39,32,37,32,36,29,39,32,39,2
28,64,28,64,24,57,33,22,56,32,52,62,26,66,26,66,62,27,61,27,28,62,62,23,24,66,52,32,28,33,26,33,28,32,28,27,28,27,26,32,28,32,2
36,54,36,54,28,59,32,25,59,31,56,50,32,58,32,58,63,29,62,28,36,50,62,25,28,58,56,32,36,32,32,32,36,31,36,29,36,28,32,31,36,31,1
36,56,36,56,32,56,36,32,56,36,54,54,34,58,34,58,58,34,58,34,36,54,58,32,32,58,54,36,36,36,34,36,36,36,36,34,36,34,34,36,36,36,2
36,54,36,54,28,59,32,25,59,31,56,50,32,58,32,58,63,29,62,28,36,50,62,25,28,58,56,32,36,32,32,32,36,31,36,29,36,28,32,31,36,31,1
33,59,33,59,29,57,33,26,57,33,54,57,31,61,31,61,61,29,61,29,33,57,61,27,29,61,55,33,33,33,31,33,33,33,33,29,33,29,31,33,33,33,2
34,57,34,57,28,53,39,35,53,39,51,54,31,60,31,60,55,37,55,37,34,54,55,35,28,60,51,39,34,39,31,39,34,39,34,37,34,37,31,39,34,39,2
36,56,36,56,32,59,33,29,59,33,57,54,34,58,34,58,61,31,61,31,36,54,61,29,32,58,57,33,36,33,34,33,36,33,36,31,36,31,34,33,36,33,1
36,55,36,55,30,51,41,36,51,40,49,52,33,58,33,58,54,39,53,38,36,52,53,36,30,58,49,41,36,41,33,41,36,40,36,39,36,38,33,40,36,40,2
37,55,37,55,33,60,32,28,60,32,58,53,35,57,35,57,62,30,62,30,37,53,62,28,33,57,58,32,37,32,35,32,37,32,37,30,37,30,35,32,37,32,1
32,60,31,60,27,57,34,28,57,34,54,58,29,62,30,63,60,31,60,31,32,58,60,28,27,62,54,34,32,34,30,34,31,34,32,31,31,31,29,34,32,34,1
34,57,34,57,28,59,32,26,59,32,56,54,31,60,31,60,62,29,62,29,34,54,62,26,28,60,56,32,34,32,31,32,34,32,34,29,34,29,31,32,34,32,1
29,63,29,63,25,63,30,25,62,29,60,61,27,65,27,65,65,27,64,27,29,61,65,25,25,65,60,29,29,30,27,30,29,29,29,27,29,27,27,29,29,29,2
33,58,33,58,27,51,40,33,51,39,48,55,30,61,30,61,55,37,54,36,33,55,54,33,27,61,48,40,33,40,30,40,33,39,33,37,33,36,30,39,33,39,2
36,56,36,56,32,58,33,26,58,32,55,54,34,58,34,58,62,30,61,29,36,54,61,26,32,58,55,33,36,33,34,33,36,32,36,30,36,29,34,32,36,32,2
31,61,31,61,27,63,30,24,62,28,60,59,29,63,29,63,66,27,64,26,31,59,65,24,27,63,60,29,31,30,29,30,31,28,31,27,31,26,29,28,31,28,1
32,59,32,59,26,53,37,29,53,37,49,56,29,62,29,62,57,33,57,33,32,56,57,29,26,62,49,37,32,37,29,37,32,37,32,33,32,33,29,37,32,37,1
33,58,33,58,27,56,33,24,56,33,52,55,30,61,30,61,61,28,61,28,33,55,61,25,27,61,53,33,33,33,30,33,33,33,33,28,33,28,30,33,33,33,2
30,61,30,61,24,54,36,28,54,36,50,58,27,64,27,64,58,32,58,32,30,58,58,28,24,64,50,36,30,36,27,36,30,36,30,32,30,32,27,36,30,36,1
33,58,33,58,27,51,40,33,51,39,48,55,30,61,30,61,55,37,54,36,33,55,54,33,27,61,48,40,33,40,30,40,33,39,33,37,33,36,30,39,33,39,2
33,59,33,59,29,57,34,27,57,33,54,57,31,61,31,61,61,31,60,30,33,57,60,27,29,61,54,34,33,34,31,34,33,33,33,31,33,30,31,33,33,33,2
33,58,33,58,27,55,37,33,55,37,53,55,30,61,30,61,57,35,57,35,33,55,57,33,27,61,53,37,33,37,30,37,33,37,33,35,33,35,30,37,33,37,2
31,60,31,60,25,54,36,28,54,36,50,57,28,63,28,63,58,32,58,32,31,57,58,28,25,63,50,36,31,36,28,36,31,36,31,32,31,32,28,36,31,36,2
36,56,36,56,32,60,32,27,60,31,58,54,34,58,34,58,63,30,62,29,36,54,62,27,32,58,58,32,36,32,34,32,36,31,36,30,36,29,34,31,36,31,2
30,62,30,62,26,52,39,33,52,39,49,60,28,64,28,64,55,36,55,36,30,60,55,33,26,64,49,39,30,39,28,39,30,39,30,36,30,36,28,39,30,39,2
29,64,28,63,24,60,30,23,60,30,57,61,26,65,26,66,64,26,64,26,28,61,64,24,24,66,58,30,29,30,26,30,28,30,29,26,28,26,26,30,28,30,2
35,57,35,57,31,59,33,29,59,33,57,55,33,59,33,59,61,31,61,31,35,55,61,29,31,59,57,33,35,33,33,33,35,33,35,31,35,31,33,33,35,33,1
33,58,33,58,27,56,34,26,56,34,52,55,30,61,30,61,60,30,60,30,33,55,60,26,27,61,52,34,33,34,30,34,33,34,33,30,33,30,30,34,33,34,2
35,56,35,56,29,56,34,26,56,34,52,53,32,59,32,59,60,30,60,30,35,53,60,26,29,59,52,34,35,34,32,34,35,34,35,30,35,30,32,34,35,34,2
37,55,37,55,33,58,34,30,58,34,56,53,35,57,35,57,60,32,60,32,37,53,60,30,33,57,56,34,37,34,35,34,37,34,37,32,37,32,35,34,37,34,1
34,57,34,57,28,60,31,24,60,30,57,54,31,60,31,60,64,28,63,27,34,54,63,24,28,60,57,31,34,31,31,31,34,30,34,28,34,27,31,30,34,30,2
30,62,30,62,26,64,29,24,63,28,61,60,28,64,28,64,66,26,65,26,30,60,66,24,26,64,61,28,30,29,28,29,30,28,30,26,30,26,28,28,30,28,1
31,60,31,60,25,56,35,28,56,34,53,57,28,63,28,63,60,32,59,31,31,57,59,28,25,63,53,35,31,35,28,35,31,34,31,32,31,31,28,34,31,34,1
37,55,37,55,33,55,35,28,55,35,52,53,35,57,35,57,59,31,59,31,37,53,59,29,33,57,53,35,37,35,35,35,37,35,37,31,37,31,35,35,37,35,2
34,58,34,58,30,59,32,25,59,31,56,56,32,60,32,60,63,29,62,28,34,56,62,25,30,60,56,32,34,32,32,32,34,31,34,29,34,28,32,31,34,31,2
33,59,33,59,29,59,32,25,59,31,56,57,31,61,31,61,63,29,62,28,33,57,62,25,29,61,56,32,33,32,31,32,33,31,33,29,33,28,31,31,33,31,1
30,62,30,62,26,62,31,26,61,30,59,60,28,64,28,64,64,28,63,28,30,60,64,26,26,64,59,30,30,31,28,31,30,30,30,28,30,28,28,30,30,30,2
34,57,34,57,28,53,39,35,53,39,51,54,31,60,31,60,55,37,55,37,34,54,55,35,28,60,51,39,34,39,31,39,34,39,34,37,34,37,31,39,34,39,2
34,58,34,58,30,61,30,24,61,30,58,56,32,60,32,60,64,27,64,27,34,56,64,24,30,60,58,30,34,30,32,30,34,30,34,27,34,27,32,30,34,30,2
35,57,35,57,31,57,33,26,57,33,54,55,33,59,33,59,61,29,61,29,35,55,61,27,31,59,55,33,35,33,33,33,35,33,35,29,35,29,33,33,35,33,2
34,56,34,56,26,58,33,26,58,32,55,52,30,60,30,60,62,30,61,29,34,52,61,26,26,60,55,33,34,33,30,33,34,32,34,30,34,29,30,32,34,32,1
33,59,33,59,29,58,33,27,58,33,55,57,31,61,31,61,61,30,61,30,33,57,61,27,29,61,55,33,33,33,31,33,33,33,33,30,33,30,31,33,33,33,2
36,55,36,55,30,61,30,24,61,30,58,52,33,58,33,58,64,27,64,27,36,52,64,24,30,58,58,30,36,30,33,30,36,30,36,27,36,27,33,30,36,30,1
36,56,36,56,32,58,34,30,58,34,56,54,34,58,34,58,60,32,60,32,36,54,60,30,32,58,56,34,36,34,34,34,36,34,36,32,36,32,34,34,36,34,2
34,58,34,58,30,58,32,25,58,32,54,56,32,60,32,60,62,28,62,28,34,56,62,25,30,60,55,32,34,32,32,32,34,32,34,28,34,28,32,32,34,32,2
36,56,36,56,32,57,35,31,57,35,55,54,34,58,34,58,59,33,59,33,36,54,59,31,32,58,55,35,36,35,34,35,36,35,36,33,36,33,34,35,36,35,2
33,59,33,59,29,57,34,27,57,33,54,57,31,61,31,61,61,31,60,30,33,57,60,27,29,61,54,34,33,34,31,34,33,33,33,31,33,30,31,33,33,33,1
32,58,32,58,24,59,32,25,59,31,56,54,28,62,28,62,63,29,62,28,32,54,62,25,24,62,56,32,32,32,28,32,32,31,32,29,32,28,28,31,32,31,1
31,59,31,59,23,59,32,26,59,32,56,55,27,63,27,63,62,29,62,29,31,55,62,26,23,63,56,32,31,32,27,32,31,32,31,29,31,29,27,32,31,32,2
32,59,32,59,26,59,31,23,59,31,55,56,29,62,29,62,63,27,63,27,32,56,63,23,26,62,55,31,32,31,29,31,32,31,32,27,32,27,29,31,32,31,2
33,58,33,58,27,54,35,25,54,35,49,55,30,61,30,61,59,30,59,30,33,55,59,25,27,61,49,35,33,35,30,35,33,35,33,30,33,30,30,35,33,35,2
37,54,37,54,31,57,35,31,57,35,55,51,34,57,34,57,59,33,59,33,37,51,59,31,31,57,55,35,37,35,34,35,37,35,37,33,37,33,34,35,37,35,2
30,63,29,62,25,58,33,24,57,32,53,60,27,64,27,65,62,28,61,28,29,60,62,24,25,65,53,32,30,33,27,33,29,32,30,28,29,28,27,32,29,32,1
32,61,31,60,27,60,31,25,60,31,57,58,29,62,29,63,63,28,63,28,31,58,63,25,27,63,57,31,32,31,29,31,31,31,32,28,31,28,29,31,31,31,1
24,70,23,69,21,63,30,25,62,29,60,68,22,70,22,71,65,27,64,27,23,68,65,25,21,71,60,29,24,30,22,30,23,29,24,27,23,27,22,29,23,29,1
34,57,34,57,28,53,39,35,53,39,51,54,31,60,31,60,55,37,55,37,34,54,55,35,28,60,51,39,34,39,31,39,34,39,34,37,34,37,31,39,34,39,1
35,56,35,56,29,58,33,27,58,33,55,53,32,59,32,59,61,30,61,30,35,53,61,27,29,59,55,33,35,33,32,33,35,33,35,30,35,30,32,33,35,33,2
36,55,36,55,30,57,34,28,57,34,54,52,33,58,33,58,60,31,60,31,36,52,60,28,30,58,54,34,36,34,33,34,36,34,36,31,36,31,33,34,36,34,2
32,58,32,58,24,58,33,26,58,32,55,54,28,62,28,62,62,30,61,29,32,54,61,26,24,62,55,33,32,33,28,33,32,32,32,30,32,29,28,32,32,32,1
34,58,34,58,30,60,31,25,60,31,57,56,32,60,32,60,63,28,63,28,34,56,63,25,30,60,57,31,34,31,32,31,34,31,34,28,34,28,32,31,34,31,2
36,54,36,54,28,58,33,26,58,32,55,50,32,58,32,58,62,30,61,29,36,50,61,26,28,58,55,33,36,33,32,33,36,32,36,30,36,29,32,32,36,32,1
36,55,36,55,30,57,34,28,57,34,54,52,33,58,33,58,60,31,60,31,36,52,60,28,30,58,54,34,36,34,33,34,36,34,36,31,36,31,33,34,36,34,2
30,62,30,62,26,51,39,31,51,39,47,60,28,64,28,64,55,35,55,35,30,60,55,31,26,64,47,39,30,39,28,39,30,39,30,35,30,35,28,39,30,39,2
33,56,35,56,29,53,35,29,53,37,50,53,32,59,31,59,57,32,57,33,34,53,57,30,29,59,50,36,34,36,32,37,35,37,35,33,35,33,32,37,34,37,1
38,54,38,54,34,57,35,31,57,35,55,52,36,56,36,56,59,33,59,33,38,52,59,31,34,56,55,35,38,35,36,35,38,35,38,33,38,33,36,35,38,35,2
32,60,32,60,28,57,34,28,57,34,54,58,30,62,30,62,60,31,60,31,32,58,60,28,28,62,54,34,32,34,30,34,32,34,32,31,32,31,30,34,32,34,2
35,56,35,56,29,59,32,26,59,32,56,53,32,59,32,59,62,29,62,29,35,53,62,26,29,59,56,32,35,32,32,32,35,32,35,29,35,29,32,32,35,32,2
