@relation 'Sax dominant'

@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atLkk numeric
@attribute o1atMaa numeric
@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMaf numeric
@attribute o1atLaf numeric
@attribute o1atMfk numeric
@attribute o1atLfk numeric
@attribute o1atMkb numeric
@attribute o1atLkb numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMek numeric
@attribute o1atLek numeric
@attribute o1atMia numeric
@attribute o1atLia numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMai numeric
@attribute o1atLai numeric
@attribute o1atMha numeric
@attribute o1atLha numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMjh numeric
@attribute o1atLjh numeric
@attribute o1atMag numeric
@attribute o1atLag numeric
@attribute o1atMfa numeric
@attribute o1atLfa numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMka numeric
@attribute o1atLka numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMgd numeric
@attribute o1atLgd numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMik numeric
@attribute o1atLik numeric
@attribute o1atMgk numeric
@attribute o1atLgk numeric
@attribute o1atMki numeric
@attribute o1atLki numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMhb numeric
@attribute o1atLhb numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute o1atMib numeric
@attribute o1atLib numeric
@attribute o1atMei numeric
@attribute o1atLei numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMfj numeric
@attribute o1atLfj numeric
@attribute o1atMjc numeric
@attribute o1atLjc numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMja numeric
@attribute o1atLja numeric
@attribute o1atMic numeric
@attribute o1atLic numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMah numeric
@attribute o1atLah numeric
@attribute o1atMke numeric
@attribute o1atLke numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute o1atMga numeric
@attribute o1atLga numeric
@attribute o1atMkc numeric
@attribute o1atLkc numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMkf numeric
@attribute o1atLkf numeric
@attribute o1atMif numeric
@attribute o1atLif numeric
@attribute o1atMhe numeric
@attribute o1atLhe numeric
@attribute o1atMjf numeric
@attribute o1atLjf numeric
@attribute o1atMhj numeric
@attribute o1atLhj numeric
@attribute o1atMgj numeric
@attribute o1atLgj numeric
@attribute o1atMjb numeric
@attribute o1atLjb numeric
@attribute o1atMdk numeric
@attribute o1atLdk numeric
@attribute o1atMhd numeric
@attribute o1atLhd numeric
@attribute o1atMjd numeric
@attribute o1atLjd numeric
@attribute o1atMid numeric
@attribute o1atLid numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMkh numeric
@attribute o1atLkh numeric
@attribute o1atMjg numeric
@attribute o1atLjg numeric
@attribute o1atMie numeric
@attribute o1atLie numeric
@attribute o1atMje numeric
@attribute o1atLje numeric
@attribute o1atMkd numeric
@attribute o1atLkd numeric
@attribute o1atMkg numeric
@attribute o1atLkg numeric
@attribute o1atMej numeric
@attribute o1atLej numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMhc numeric
@attribute o1atLhc numeric
@attribute o1atMgc numeric
@attribute o1atLgc numeric
@attribute o1atMck numeric
@attribute o1atLck numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMbf numeric
@attribute o1atLbf numeric
@attribute o1atMgb numeric
@attribute o1atLgb numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute destClass {1.0,2.0}

@data
59,77,81,25,11,89,0,2,83,9,86,7,92,4,64,29,13,80,2,92,82,11,84,8,87,5,3,90,4,81,65,1,3,1,63,29,13,79,2,91,88,5,84,8,82,10,94,0,14,12,15,2,2,9,82,8,93,1,64,11,4,10,2,11,13,29,4,89,3,89,14,31,3,91,85,5,4,31,2,80,3,90,3,1,3,89,5,80,86,0,3,29,2,90,64,9,89,0,84,1,88,1,3,92,5,80,2,10,63,10,2,8,14,10,4,90,64,6,4,5,2,91,3,6,3,8,82,9,4,12,14,1,2,90,2,30,4,1,3,91,64,1,63,8,13,10,64,5,84,5,82,6,3,5,5,2,3,10,4,5,3,8,3,90,3,90,85,1,83,5,13,8,14,5,4,1,83,1,14,7,3,89,3,10,3,29,5,2,3,79,4,80,2,29,5,31,2.0
44,52,74,46,36,85,0,3,86,12,88,6,92,4,45,48,39,55,3,91,78,15,87,7,89,5,4,87,4,56,47,2,4,1,44,46,37,54,3,90,89,4,86,7,78,14,94,1,40,16,40,2,4,7,78,7,93,1,47,16,5,8,4,16,37,47,7,86,6,86,39,48,4,90,87,5,4,49,3,55,4,89,4,1,5,88,7,55,88,1,6,47,3,89,47,8,90,1,79,2,89,1,4,91,5,55,4,15,46,14,4,7,40,8,5,87,47,6,5,5,3,90,4,5,5,7,78,8,5,17,39,1,3,87,3,48,5,1,4,88,46,1,46,7,39,15,46,5,87,5,78,6,4,5,8,2,7,15,7,5,7,7,4,89,4,89,87,1,78,5,39,7,39,5,7,1,78,1,40,6,4,88,5,15,4,47,6,2,6,54,4,55,3,47,7,48,2.0
61,77,81,23,7,88,3,2,85,9,88,7,89,4,65,27,11,82,2,92,83,10,86,8,89,5,4,89,3,83,67,4,4,4,65,27,11,81,3,91,88,5,86,7,82,10,91,4,12,12,13,5,3,8,83,8,90,3,66,11,4,9,3,11,11,27,5,88,4,88,12,28,3,90,86,5,4,29,3,82,4,89,3,4,4,88,5,82,87,4,4,27,3,89,66,8,90,4,84,4,89,4,3,91,5,82,4,11,66,10,4,8,12,9,5,89,66,5,5,5,3,90,3,5,5,8,83,8,4,12,12,4,3,89,3,28,5,4,3,90,66,4,66,8,12,10,66,5,86,5,83,5,4,5,6,5,5,10,5,5,5,8,4,89,4,89,86,4,83,5,12,8,12,5,5,4,83,4,12,6,4,88,5,10,4,27,6,5,4,81,4,82,3,28,6,28,1.0
74,58,79,16,30,88,5,2,82,11,84,8,87,6,75,17,32,61,3,92,81,12,83,10,86,7,4,89,4,62,77,6,4,6,75,17,32,60,2,91,85,7,83,8,79,12,89,6,33,14,34,7,2,10,80,9,88,5,76,12,4,11,2,13,32,17,5,89,4,88,32,19,3,91,84,7,4,19,2,61,4,90,3,6,4,89,6,61,85,6,4,17,2,90,76,10,87,6,82,6,86,6,3,91,5,61,3,12,75,12,3,9,33,11,4,89,76,8,4,7,2,90,3,8,3,9,81,10,4,14,33,6,2,89,2,18,4,6,3,90,76,6,75,9,32,12,76,7,84,8,81,8,4,7,6,7,4,12,5,7,4,9,3,89,4,89,84,6,81,7,32,9,33,7,5,6,81,6,33,9,3,89,3,12,3,17,5,7,4,60,5,61,3,17,6,19,1.0
73,53,80,15,31,89,5,2,82,10,85,8,87,7,76,17,35,58,3,92,81,12,84,9,86,8,4,90,4,59,77,6,4,6,75,17,35,57,2,91,86,7,83,8,80,11,89,6,36,13,37,7,3,10,81,9,88,6,76,12,4,11,2,12,35,17,4,89,3,89,36,19,3,91,84,7,4,19,2,58,3,90,3,6,3,89,5,58,85,6,3,17,2,90,76,10,87,6,83,6,86,6,3,91,5,58,3,11,75,11,4,9,36,11,4,89,76,8,4,8,2,90,3,8,4,9,82,10,4,13,36,6,2,90,2,18,4,6,3,91,76,6,76,9,35,11,76,8,84,8,82,8,4,8,5,7,3,11,4,8,4,9,3,89,3,89,84,6,82,8,36,9,36,8,4,6,82,6,36,9,3,89,3,11,3,17,5,7,3,57,5,58,3,17,5,19,1.0
43,58,79,45,26,88,2,2,86,9,88,6,90,4,44,47,30,63,2,92,82,10,87,7,89,5,3,89,3,64,47,3,3,3,44,47,30,62,2,91,88,5,87,7,82,10,92,3,31,12,32,4,3,7,82,7,91,2,46,11,4,8,3,12,30,47,5,88,4,88,30,48,3,90,87,5,3,49,3,63,3,89,3,3,4,88,5,63,88,3,4,47,3,89,46,7,90,3,83,3,89,3,3,92,5,63,3,12,46,11,3,7,31,8,5,89,46,5,5,5,3,91,3,5,5,7,82,7,4,13,31,3,3,89,3,48,5,3,3,90,46,3,46,7,31,11,46,5,87,5,82,5,3,5,6,4,5,11,5,5,5,7,4,90,4,89,87,3,82,5,31,7,31,5,5,3,82,3,31,6,4,89,5,12,4,48,6,4,4,62,3,63,3,48,5,48,1.0
45,52,81,45,38,85,3,2,82,9,85,8,87,5,48,47,40,55,2,92,82,12,83,9,86,6,4,87,4,55,48,6,3,5,46,46,39,53,2,91,86,6,83,8,81,10,90,4,41,12,41,6,3,10,82,9,89,4,48,12,4,11,3,11,39,46,8,87,6,87,41,48,3,92,83,6,4,48,3,54,3,90,3,5,5,90,8,55,85,4,6,47,3,91,48,11,88,4,84,6,87,4,2,92,4,55,3,11,46,10,3,10,41,11,4,87,48,8,3,7,2,91,3,7,3,10,82,11,4,12,40,4,3,87,3,47,3,5,4,88,47,4,46,9,39,10,46,6,83,6,82,8,3,7,8,6,6,11,6,7,6,10,2,90,3,90,84,4,82,6,39,9,39,6,7,5,83,4,41,8,3,90,3,11,3,47,4,6,6,54,4,55,3,47,8,48,1.0
71,77,81,15,13,88,3,2,84,9,86,6,89,4,75,19,15,79,2,92,82,11,85,7,88,5,3,89,4,80,76,5,3,4,74,18,14,78,2,91,87,5,85,7,82,10,91,4,16,12,16,5,3,8,82,7,90,3,75,12,4,9,3,11,14,18,5,88,4,89,16,20,3,91,86,5,4,20,3,79,3,90,3,4,4,89,6,79,87,4,4,19,3,90,75,9,89,4,84,4,88,4,3,92,5,79,3,11,74,10,3,8,16,9,4,89,75,7,4,6,2,91,3,6,4,8,82,8,4,12,15,4,3,89,3,19,4,4,3,90,75,4,74,7,14,10,75,5,86,5,83,6,3,6,6,5,4,11,5,6,4,8,3,90,3,90,86,4,83,5,14,7,15,5,5,4,83,4,16,7,4,89,4,11,4,19,5,5,4,79,4,79,3,19,6,20,2.0
37,78,82,45,12,88,0,3,87,8,90,5,94,2,44,51,14,80,3,91,84,11,88,6,91,3,4,89,4,81,44,1,4,0,43,50,13,79,3,90,91,3,88,6,84,10,95,0,15,11,15,1,4,6,84,6,94,0,44,11,5,7,4,10,14,50,5,88,4,88,15,51,4,90,88,3,5,52,3,80,4,89,4,0,4,88,5,80,89,0,5,50,3,89,44,7,92,0,85,1,91,0,4,91,5,80,4,10,43,10,4,6,15,7,5,89,44,4,5,3,3,90,4,3,5,6,84,7,5,11,14,0,3,89,4,51,5,0,4,90,43,0,43,6,14,10,43,3,88,3,84,4,4,3,6,1,5,10,5,3,5,6,4,89,4,89,88,0,84,3,14,6,14,3,5,0,84,0,15,4,4,88,5,10,5,50,6,1,4,79,4,80,4,50,6,51,2.0
67,70,81,17,16,88,0,2,84,9,86,6,92,4,71,23,21,74,2,92,82,10,85,7,88,5,4,89,4,75,73,2,4,1,71,21,19,73,3,91,87,5,85,7,82,10,94,1,21,12,21,2,3,8,82,7,93,0,71,12,4,9,3,11,19,21,5,89,4,88,21,23,3,91,85,5,4,23,3,74,4,89,3,1,4,89,6,74,87,1,4,21,3,90,71,9,89,1,84,1,88,0,2,91,5,74,3,11,71,10,3,8,21,9,4,89,72,7,3,5,3,90,3,6,3,7,82,7,4,12,20,0,3,89,3,22,4,0,3,90,72,0,71,7,19,10,71,5,86,5,83,5,3,6,6,2,4,10,4,5,4,7,3,89,4,89,86,0,82,5,19,7,19,5,5,0,83,0,21,7,3,89,3,10,3,21,5,2,4,73,5,74,3,22,6,23,2.0
41,59,74,49,31,85,0,3,86,12,88,6,92,4,43,52,34,61,3,91,78,16,87,7,89,5,5,87,5,62,44,2,4,1,42,50,32,60,3,90,89,4,86,7,78,15,94,1,34,17,34,2,4,7,78,7,93,1,44,17,5,8,4,16,32,50,7,87,6,86,34,52,4,91,87,5,5,52,3,61,4,89,4,1,5,89,8,62,88,1,6,50,3,90,44,8,90,1,79,2,89,1,3,91,5,62,4,15,43,15,4,7,34,8,5,87,44,6,4,5,3,90,4,5,4,7,78,8,5,17,33,1,3,87,3,51,4,1,5,88,43,1,43,7,33,15,43,5,87,5,78,6,4,5,8,2,7,15,7,5,7,7,3,89,4,89,87,1,78,5,33,7,33,5,7,1,78,1,34,6,3,89,4,15,3,50,5,2,6,60,5,62,3,50,8,52,2.0
72,60,79,16,28,89,3,2,81,11,84,9,87,6,74,19,31,63,2,92,80,12,82,10,85,7,3,90,4,64,76,5,3,5,74,18,30,62,2,91,86,7,82,10,80,12,90,4,31,14,32,6,2,11,80,10,89,5,74,13,4,12,2,13,30,18,4,89,3,89,31,20,3,91,83,7,4,20,2,63,3,90,3,5,3,89,5,63,84,4,3,18,2,90,74,11,87,4,82,4,86,5,3,92,5,63,2,12,74,12,2,10,31,12,4,90,74,8,4,7,2,91,3,8,3,10,80,10,4,14,31,5,2,90,2,19,4,5,3,91,75,5,74,10,30,12,75,7,82,7,80,7,3,7,5,6,3,12,4,7,3,10,3,90,3,90,83,5,81,7,30,10,31,7,4,5,81,5,31,9,3,89,3,12,3,18,5,6,3,62,4,63,2,18,5,20,1.0
40,72,80,46,12,88,0,2,86,8,89,6,94,3,43,51,18,78,3,92,83,10,87,7,90,4,5,89,4,78,45,1,4,0,43,49,16,76,2,91,90,4,87,7,83,10,95,0,18,12,18,1,3,7,83,7,94,0,44,12,4,8,3,11,16,49,6,88,4,88,18,51,3,90,87,4,4,51,3,77,3,89,3,0,4,88,6,78,88,0,4,49,3,89,44,8,91,0,84,0,90,0,3,91,6,78,4,11,44,10,4,7,18,8,6,88,44,5,5,4,3,90,3,4,5,7,83,7,4,12,17,0,3,89,3,50,5,0,4,90,44,0,44,7,17,10,44,4,87,4,83,4,4,4,6,1,5,10,5,4,5,7,4,89,4,88,87,0,83,4,17,7,17,4,5,0,83,0,18,5,4,89,5,11,4,50,6,1,4,76,5,78,4,50,6,51,2.0
45,57,78,37,27,88,3,2,85,10,87,7,89,5,49,42,31,62,2,92,81,11,86,8,88,6,3,89,3,63,52,4,3,4,49,42,31,61,2,91,88,5,85,8,81,11,91,4,32,13,33,5,3,8,81,8,90,4,51,12,4,9,3,13,31,42,5,88,4,88,31,43,3,90,86,6,3,44,3,62,3,89,3,4,4,88,5,62,87,4,4,42,3,89,51,8,89,4,82,4,88,4,3,92,5,62,3,13,51,12,3,8,32,9,5,89,51,6,5,6,3,91,3,6,5,8,81,8,4,14,32,4,3,89,3,43,5,4,3,90,51,4,51,8,32,12,51,6,86,6,81,6,3,6,6,5,5,12,5,6,5,8,4,90,4,89,86,4,81,6,32,8,32,6,5,4,81,4,32,7,4,89,5,13,4,43,6,5,4,61,3,62,3,43,5,43,1.0
70,60,79,18,28,88,3,1,82,11,84,8,87,6,72,21,31,63,2,93,80,12,84,9,85,8,3,89,3,64,74,5,3,5,72,20,30,62,1,92,85,6,82,9,80,12,90,4,31,14,32,6,2,10,80,9,89,4,72,13,3,11,2,13,30,20,5,89,4,89,31,22,2,92,83,7,3,22,2,63,3,91,2,5,4,90,6,63,85,5,4,21,2,91,73,10,87,5,82,5,86,4,2,92,4,63,3,13,72,12,3,10,31,11,3,89,73,8,3,8,1,91,2,8,3,10,81,9,3,14,31,4,2,89,2,21,3,5,2,90,73,4,72,9,30,12,72,7,84,8,81,8,3,8,6,6,4,13,4,8,4,10,2,90,3,90,84,4,80,7,30,9,30,7,5,5,81,4,31,9,3,90,3,13,3,21,4,6,4,63,4,63,3,21,6,22,1.0
60,54,80,26,36,88,4,3,83,10,84,7,88,6,64,30,38,57,3,91,81,12,84,8,86,7,5,89,5,57,65,6,4,5,63,29,37,55,3,90,86,6,83,8,81,11,90,5,39,13,39,6,3,9,81,8,89,5,64,13,5,10,3,12,37,29,6,89,4,88,39,31,4,91,85,7,5,31,3,56,4,89,4,5,4,89,6,57,86,5,4,29,3,90,64,10,87,5,83,5,86,5,3,91,5,57,3,11,63,11,3,8,39,10,5,89,64,9,4,7,3,90,4,8,3,8,81,9,5,13,38,5,3,89,3,30,4,5,5,90,64,5,63,8,37,11,64,7,85,7,82,8,4,7,6,6,4,11,5,7,4,8,3,89,4,89,85,5,82,7,37,8,38,7,5,5,82,5,39,9,3,89,3,11,3,29,5,6,4,55,5,57,3,29,6,31,2.0
44,67,75,38,17,82,0,3,87,11,88,5,92,4,50,44,22,70,3,91,79,15,87,6,89,4,4,84,5,73,51,1,4,1,49,43,21,71,3,90,89,5,88,6,79,14,94,1,22,15,23,1,4,6,79,6,93,1,50,15,5,7,4,15,21,43,8,84,9,83,22,44,4,91,88,5,5,45,3,72,4,89,4,1,8,89,10,72,89,1,9,43,3,90,50,6,90,1,80,1,89,1,3,91,5,72,4,14,50,14,4,6,22,6,4,84,50,5,4,5,3,90,4,5,4,6,79,6,5,16,22,1,3,84,3,44,4,1,4,85,50,1,50,6,22,14,50,5,88,5,79,5,4,5,11,2,10,14,10,5,10,6,3,89,4,89,88,1,79,5,22,6,22,5,10,1,79,1,22,5,3,89,4,14,3,43,5,2,9,71,5,72,3,43,10,45,2.0
74,59,79,16,29,89,3,2,81,11,84,9,87,6,76,17,31,62,2,92,80,13,82,10,85,7,3,90,4,63,77,5,3,5,75,17,31,61,2,91,85,8,83,9,79,12,90,4,32,14,33,6,3,11,81,10,89,4,76,13,4,12,2,13,31,17,4,90,3,89,32,19,3,92,83,8,4,19,2,62,3,90,3,5,3,90,5,62,84,4,3,17,2,91,76,11,87,4,82,5,86,5,2,92,4,62,2,12,75,12,3,10,32,12,3,90,76,8,3,8,2,91,3,8,3,10,80,11,4,14,32,5,2,90,2,18,3,5,3,91,76,5,76,10,31,12,76,8,82,7,80,8,3,8,5,6,3,12,4,8,4,10,2,90,3,90,83,5,81,8,32,10,32,8,4,5,81,5,32,9,2,90,2,12,2,17,4,6,3,61,4,62,2,17,5,19,1.0
73,48,78,17,38,89,4,2,82,12,85,8,88,7,74,18,41,53,2,92,79,13,84,9,86,8,4,90,4,53,76,5,3,5,74,18,41,51,2,91,86,7,83,10,80,13,90,5,41,15,43,6,3,10,80,10,89,5,74,13,4,11,3,14,41,18,5,89,3,89,41,20,3,91,84,8,4,20,2,52,3,90,3,5,3,89,5,53,85,5,3,18,2,90,75,9,87,5,81,5,86,5,3,92,5,53,3,13,75,13,3,10,42,11,5,90,75,8,4,8,2,91,3,8,4,10,80,9,4,15,42,5,2,90,2,19,4,5,4,91,75,5,75,10,42,13,75,8,84,8,80,8,3,8,5,6,4,13,4,8,4,10,3,90,3,90,84,5,80,8,42,10,42,8,4,5,80,5,42,9,3,89,4,13,3,18,5,6,3,51,4,53,2,18,5,20,1.0
72,72,81,16,14,89,3,2,83,9,84,7,89,6,75,19,18,76,2,92,82,11,84,8,86,7,3,90,4,77,76,4,3,4,74,19,18,75,2,91,86,6,83,8,82,10,91,4,18,12,19,5,3,9,82,8,90,4,75,11,4,10,3,11,18,19,4,89,3,89,18,20,3,91,85,7,4,20,3,76,3,90,3,4,3,89,5,76,86,4,4,19,2,90,75,9,87,4,84,4,86,4,3,92,5,76,3,11,74,11,3,9,18,10,4,90,75,8,4,8,2,91,3,8,4,9,82,9,4,12,18,4,2,90,3,19,4,4,3,91,75,4,74,9,18,11,75,8,85,7,83,8,3,8,5,5,4,11,4,8,4,9,3,90,3,90,85,4,83,7,18,9,18,8,4,4,83,4,18,9,3,89,4,11,4,19,5,5,4,75,4,76,3,19,5,20,2.0
75,63,79,15,23,89,4,2,82,11,85,8,88,7,76,17,27,67,2,92,80,12,84,9,86,8,3,90,4,68,78,6,3,5,76,16,26,66,2,91,86,7,83,10,81,12,90,5,27,14,28,6,3,10,81,10,89,5,76,13,4,11,3,13,26,16,4,89,3,89,27,18,3,91,84,8,4,18,2,67,3,90,3,5,3,89,5,67,85,5,3,16,2,90,77,10,87,5,82,5,86,5,3,92,5,67,3,12,77,12,3,10,28,11,4,90,77,9,4,8,2,91,3,8,4,10,81,9,4,14,27,5,2,90,2,17,4,5,3,91,77,5,77,10,27,12,77,8,84,8,81,8,3,8,5,6,4,12,4,8,4,10,3,90,3,90,84,5,81,8,27,10,27,8,4,5,81,5,28,9,3,89,4,12,3,16,5,6,3,66,4,67,2,16,5,18,1.0
74,55,80,16,31,81,5,2,82,10,84,8,87,6,76,17,34,58,2,92,81,12,83,9,86,7,3,83,4,60,77,6,3,6,75,17,34,58,2,91,85,7,83,8,80,11,89,6,35,12,36,6,3,10,81,9,88,5,76,12,4,11,3,12,34,17,10,83,10,82,35,18,3,91,84,7,4,19,3,59,3,89,3,6,9,89,11,59,85,6,10,17,3,90,76,10,87,6,83,6,86,6,2,92,5,59,3,12,75,11,3,10,35,10,4,83,76,8,4,8,3,91,3,8,3,10,81,10,4,13,35,6,3,83,3,18,4,6,3,84,76,6,75,9,34,11,76,7,84,7,82,8,3,8,12,7,10,11,11,7,10,9,3,90,4,89,84,6,82,7,34,9,35,7,11,6,82,6,35,8,3,90,3,12,3,18,5,7,10,58,4,59,3,18,11,19,1.0
48,56,77,40,34,85,2,2,84,11,85,6,90,5,50,42,35,57,3,92,79,13,85,7,87,6,4,88,3,59,52,3,4,3,50,42,35,57,2,91,87,5,84,8,80,13,92,3,36,14,37,3,3,8,80,8,91,3,50,14,4,9,3,14,35,42,5,87,5,87,36,42,3,91,86,7,4,44,2,58,3,90,3,3,3,89,5,58,87,3,5,42,2,90,50,8,88,3,81,3,87,3,3,91,4,58,4,13,51,13,4,8,36,8,4,87,51,7,4,7,2,90,3,7,4,8,79,7,4,15,36,3,2,88,2,43,4,3,3,89,51,3,51,8,36,13,51,7,86,6,80,6,4,7,7,4,6,13,6,7,6,8,3,89,3,89,86,3,80,7,36,8,36,7,6,3,80,3,36,7,3,89,4,13,3,42,5,4,5,57,4,58,3,42,6,43,2.0
71,63,81,17,25,88,4,3,83,9,86,7,88,6,74,20,28,66,3,91,82,11,85,8,87,7,4,89,5,67,75,6,4,5,73,19,27,65,3,90,87,6,84,8,82,10,90,5,29,12,29,6,4,9,83,8,89,5,74,12,5,10,3,11,27,19,5,88,4,88,29,21,4,90,85,7,5,21,3,66,4,89,4,5,4,88,6,66,86,5,4,19,3,89,74,10,88,5,84,5,87,5,4,91,6,66,3,10,73,10,4,8,29,10,5,89,74,8,5,7,3,90,4,7,5,8,83,9,5,12,28,5,3,89,3,20,5,5,4,90,74,5,74,8,27,10,74,7,85,7,83,7,4,7,6,6,4,10,5,7,5,8,4,89,4,89,85,5,83,7,28,8,28,7,5,5,83,5,29,8,4,88,4,10,4,19,6,6,4,65,5,66,3,19,6,21,2.0
39,59,78,49,29,81,1,3,85,10,88,7,91,4,42,53,33,62,3,91,81,13,86,8,89,5,5,84,5,63,43,3,4,2,41,51,31,61,3,90,89,5,86,8,81,12,93,2,33,14,33,3,4,8,81,8,92,2,42,14,5,9,4,13,31,51,11,84,10,82,33,53,5,91,86,5,5,53,3,62,5,89,4,2,9,89,12,63,87,2,10,51,3,90,42,9,90,2,82,2,89,2,3,91,5,63,4,12,42,12,4,8,33,9,5,84,42,6,4,5,3,90,4,5,4,8,81,8,5,14,32,2,3,83,3,52,4,2,5,84,42,2,42,8,32,12,42,5,86,5,81,5,4,5,12,3,11,12,11,5,11,8,3,89,5,89,86,2,81,5,32,8,32,5,11,2,81,2,33,6,3,89,4,12,3,51,5,3,10,61,5,63,3,51,12,53,2.0
65,75,81,21,11,89,1,2,83,9,86,7,91,4,69,24,14,79,3,92,82,11,84,8,87,5,4,90,3,80,70,2,4,1,68,24,14,78,2,91,87,5,84,8,82,10,93,1,15,12,16,3,2,9,82,8,92,1,69,11,4,10,2,11,14,24,4,89,3,89,15,25,3,91,84,5,4,26,2,79,3,90,3,2,3,89,4,79,86,1,3,24,2,90,69,9,89,1,84,2,88,1,3,91,4,79,3,10,68,10,3,8,15,10,4,89,69,6,3,5,2,90,2,6,3,8,82,9,4,12,15,1,2,90,2,25,4,1,3,91,69,1,68,8,14,10,68,5,84,5,82,6,3,5,5,3,3,10,3,5,3,8,3,89,3,89,85,1,82,5,14,8,14,5,4,1,83,1,15,7,3,89,3,10,3,24,5,3,3,78,4,79,3,24,5,25,2.0
74,56,78,16,32,89,4,2,81,12,85,9,88,7,75,17,34,59,2,92,79,13,83,10,86,8,3,90,4,60,77,5,3,5,75,17,34,58,2,91,86,7,82,10,79,13,90,5,34,15,36,6,3,11,80,10,89,5,75,13,4,12,2,14,34,17,4,89,3,89,34,19,3,91,83,8,4,19,2,59,3,90,3,5,3,89,5,59,84,5,3,17,2,90,76,10,87,5,81,5,86,5,3,92,5,59,2,13,75,13,3,10,35,12,4,90,76,8,4,8,2,91,3,8,4,10,80,10,4,15,35,5,2,90,2,18,4,5,3,91,76,5,76,10,34,13,76,8,83,8,80,8,3,8,5,6,3,13,4,8,4,10,3,90,3,90,83,5,80,8,35,10,35,8,4,5,80,5,35,9,3,89,3,13,3,17,5,6,3,58,4,59,2,17,5,19,1.0
41,78,79,45,10,85,0,3,87,9,89,5,94,3,45,48,12,79,3,91,82,12,88,6,90,4,4,87,4,82,46,0,4,0,44,48,12,80,3,90,90,4,88,6,82,11,95,0,13,12,14,0,4,6,82,6,94,0,45,12,5,7,4,12,12,48,5,87,6,86,13,48,4,91,88,4,5,50,3,81,4,89,4,0,5,89,6,81,89,0,6,48,3,90,45,6,91,0,83,0,90,0,3,91,4,81,4,11,45,11,4,6,13,6,4,87,45,4,4,4,3,90,4,4,4,6,82,6,5,13,13,0,3,87,3,49,4,0,4,88,45,0,45,6,13,11,45,4,88,4,82,4,4,4,8,1,7,11,7,4,7,6,3,89,4,89,88,0,82,4,13,6,13,4,7,0,82,0,13,4,3,89,4,11,3,48,5,1,6,80,4,81,3,48,7,49,2.0
