@relation 'Sax dominant'

@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atLcc numeric
@attribute o1atMaa numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute destClass {2,1}

@data
77,69,15,23,25,71,79,17,78,16,24,70,24,16,25,17,1
64,59,26,31,34,62,67,29,66,28,33,61,33,28,34,29,1
58,64,34,26,29,67,60,36,59,35,28,66,28,35,29,36,2
65,56,27,34,37,59,67,29,66,28,36,58,36,28,37,29,1
65,59,27,31,34,62,67,29,66,28,33,61,33,28,34,29,1
61,69,27,23,25,71,65,31,64,30,24,70,24,30,25,31,2
53,64,31,24,27,68,59,36,58,35,26,67,27,36,28,37,2
67,59,23,31,34,62,70,26,69,25,33,61,33,25,34,26,1
58,64,34,28,30,66,60,36,59,35,29,65,29,35,30,36,2
65,57,25,33,36,60,68,28,67,27,35,59,35,27,36,28,2
69,61,23,31,33,63,71,25,70,24,32,62,32,24,33,25,1
92,93,2,1,2,94,93,3,92,2,1,93,1,2,2,3,2
60,65,32,23,27,69,62,34,61,33,26,68,26,33,27,34,2
73,82,15,6,9,86,77,18,76,17,8,85,9,18,10,19,1
71,80,19,4,10,86,74,22,73,20,8,85,9,21,10,22,1
63,58,25,34,36,60,67,29,66,28,35,59,35,28,36,29,1
67,56,25,36,38,58,69,27,68,26,37,57,37,26,38,27,1
73,88,17,2,5,91,76,20,75,19,4,90,4,19,5,20,1
59,59,29,29,33,63,63,33,62,32,32,62,32,32,33,33,1
63,68,27,22,25,71,66,30,65,29,24,70,24,29,25,30,2
64,84,26,4,7,88,67,28,66,28,7,87,7,28,8,29,1
57,63,35,29,31,65,59,37,58,36,30,64,30,36,31,37,2
84,78,8,10,14,82,86,10,85,9,13,81,13,9,14,10,2
93,90,1,2,4,92,94,2,93,1,3,91,3,1,4,2,2
86,70,6,20,23,73,88,8,87,7,22,72,22,7,23,8,2
55,58,37,30,34,62,57,39,56,38,33,61,33,38,34,39,2
68,75,24,13,17,79,70,26,69,25,16,78,16,25,17,26,1
55,45,37,45,48,48,57,39,56,38,47,47,47,38,48,39,2
67,63,25,27,30,66,69,27,68,26,29,65,29,26,30,27,1
73,85,13,5,7,88,78,17,77,15,5,87,7,17,8,18,1
71,58,21,32,35,61,73,23,72,22,34,60,34,22,35,23,1
73,73,17,15,19,77,76,20,75,19,18,76,18,19,19,20,2
66,66,22,24,27,69,70,26,69,25,26,68,26,25,27,26,1
72,75,20,17,19,77,74,22,73,21,18,76,18,21,19,22,2
63,82,23,4,9,87,68,28,67,27,8,86,8,27,9,28,2
63,61,29,31,33,63,65,31,64,30,32,62,32,30,33,31,2
80,67,10,25,26,69,83,12,82,12,26,68,26,12,27,13,1
68,66,22,22,26,70,71,25,70,23,24,69,25,24,26,25,1
75,73,15,19,21,75,78,18,77,17,20,74,20,17,21,18,2
66,63,22,29,31,65,70,26,69,25,30,64,30,25,31,26,1
65,60,27,32,34,62,67,29,66,28,33,61,33,28,34,29,1
75,79,13,9,12,83,79,16,78,16,12,82,12,16,13,17,2
56,68,36,22,25,71,58,38,57,37,24,70,24,37,25,38,2
71,60,21,32,34,62,73,23,72,22,33,61,33,22,34,23,1
70,68,22,24,26,70,72,24,71,23,25,69,25,23,26,24,1
71,59,21,31,34,62,73,23,72,22,33,61,33,22,34,23,1
80,82,8,4,8,87,84,11,83,11,8,86,8,11,9,12,1
73,66,19,22,26,70,75,21,74,20,25,69,25,20,26,21,1
59,67,29,25,27,69,63,33,62,32,26,68,26,32,27,33,2
67,58,25,34,36,60,69,27,68,26,35,59,35,26,36,27,1
67,64,21,24,28,68,71,25,70,24,27,67,27,24,28,25,2
66,63,24,27,30,66,69,27,68,26,29,65,29,26,30,27,1
67,71,23,17,20,75,70,25,69,24,19,74,20,25,21,26,2
71,69,21,19,23,73,73,23,72,22,22,72,22,22,23,23,1
61,60,31,32,34,62,63,33,62,32,33,61,33,32,34,33,1
72,79,20,7,12,84,74,22,73,21,11,83,11,21,12,22,1
69,65,23,27,29,67,71,25,70,24,28,66,28,24,29,25,1
65,56,25,34,37,59,68,28,67,27,36,58,36,27,37,28,1
74,65,16,27,29,67,77,19,76,18,28,66,28,18,29,19,1
66,63,26,27,30,66,68,28,67,27,29,65,29,27,30,28,1
64,59,28,33,35,61,66,30,65,29,34,60,34,29,35,30,1
61,59,27,27,31,64,65,30,64,30,31,63,31,30,32,31,1
67,62,25,30,32,64,69,27,68,26,31,63,31,26,32,27,1
67,66,25,26,28,68,69,27,68,26,27,67,27,26,28,27,1
67,60,25,30,32,63,69,26,68,26,32,62,32,26,33,27,1
63,73,27,19,21,75,66,30,65,29,20,74,20,29,21,30,2
61,55,23,31,35,60,67,28,66,27,34,59,35,28,36,29,2
70,60,22,32,34,62,72,24,71,23,33,61,33,23,34,24,1
77,65,13,25,28,68,80,16,79,15,27,67,27,15,28,16,1
75,72,15,18,20,75,78,17,77,17,20,74,20,17,21,18,1
54,52,34,34,39,57,58,38,57,37,38,56,38,37,39,38,2
63,65,29,27,29,67,65,31,64,30,28,66,28,30,29,31,2
67,60,19,22,28,67,72,23,71,23,28,66,28,23,29,24,1
73,73,19,17,20,76,75,21,74,20,19,75,19,20,20,21,2
66,58,24,32,34,61,69,26,68,26,34,60,34,26,35,27,1
69,60,23,30,33,63,71,25,70,24,32,62,32,24,33,25,1
69,62,23,30,32,64,71,25,70,24,31,63,31,24,32,25,1
66,59,26,33,35,61,68,28,67,27,34,60,34,27,35,28,1
64,63,26,29,31,65,67,29,66,28,30,64,30,28,31,29,1
69,58,23,34,36,60,71,25,70,24,35,59,35,24,36,25,1
57,64,33,24,28,68,60,36,59,35,27,67,27,35,28,36,2
56,62,36,30,32,64,58,38,57,37,31,63,31,37,32,38,2
63,65,25,21,26,70,67,29,66,28,25,69,25,28,26,29,1
68,62,24,28,31,65,70,26,69,25,30,64,30,25,31,26,1
70,61,22,31,33,63,72,24,71,23,32,62,32,23,33,24,1
76,84,12,4,8,88,80,16,79,15,7,87,7,15,8,16,2
72,66,18,20,25,71,75,21,74,20,24,70,24,20,25,21,1
60,70,32,22,24,72,62,34,61,33,23,71,23,33,24,34,2
68,68,22,24,26,70,71,25,70,24,25,69,25,24,26,25,2
73,61,13,29,32,64,78,18,77,17,31,63,31,17,32,18,1
76,75,16,15,17,78,78,17,77,17,17,77,17,17,18,18,2
66,68,24,20,24,72,69,27,68,26,23,71,23,26,24,27,1
68,62,20,28,31,65,72,24,71,23,30,64,30,23,31,24,1
94,88,0,2,5,91,95,1,94,0,4,90,4,0,5,1,2
69,61,23,29,32,64,71,25,70,24,31,63,31,24,32,25,1
75,62,17,24,29,67,77,19,76,18,28,66,28,18,29,19,1
60,58,28,28,33,63,64,32,63,31,32,62,32,31,33,32,2
61,58,31,32,35,61,63,33,62,32,34,60,34,32,35,33,1
52,55,38,35,38,58,55,41,54,40,37,57,37,40,38,41,2
71,56,21,32,35,60,73,22,72,22,35,59,35,22,36,23,2
67,68,23,24,25,70,70,25,69,25,25,69,25,25,26,26,1
57,73,35,19,21,75,59,37,58,36,20,74,20,36,21,37,2
81,78,9,12,15,81,84,12,83,11,14,80,14,11,15,12,2
69,61,23,31,33,63,71,25,70,24,32,62,32,24,33,25,1
56,60,36,32,34,62,58,38,57,37,33,61,33,37,34,38,1
56,66,36,26,28,68,58,38,57,37,27,67,27,37,28,38,2
68,66,20,26,28,68,72,24,71,23,27,67,27,23,28,24,1
60,65,30,27,29,67,63,33,62,32,28,66,28,32,29,33,2
64,63,26,25,29,67,67,29,66,28,28,66,28,28,29,29,1
71,75,21,17,19,77,73,23,72,22,18,76,18,22,19,23,2
60,63,26,23,28,68,65,31,64,30,27,67,27,30,28,31,2
77,90,15,2,4,92,79,17,78,16,3,91,3,16,4,17,2
56,60,36,30,33,63,58,38,57,37,32,62,32,37,33,38,2
75,82,17,8,11,85,77,19,76,18,10,84,10,18,11,19,1
62,62,30,30,31,64,64,31,63,31,31,63,31,31,32,32,1
58,56,34,36,38,58,60,36,59,35,37,57,37,35,38,36,1
76,65,14,27,28,67,79,16,78,16,28,66,28,16,29,17,1
73,59,19,31,33,62,75,20,74,20,33,61,33,20,34,21,1
51,64,35,26,28,67,56,39,55,39,28,66,28,39,29,40,2
52,55,40,33,37,59,54,42,53,41,36,58,36,41,37,42,2
69,54,23,36,39,57,71,25,70,24,38,56,38,24,39,25,1
71,60,17,30,32,63,75,20,74,20,32,62,32,20,33,21,1
63,65,29,27,29,67,65,31,64,30,28,66,28,30,29,31,2
59,62,33,30,31,64,61,34,60,34,31,63,31,34,32,35,1
79,69,11,23,25,71,82,14,81,13,24,70,24,13,25,14,2
67,62,25,30,32,64,69,27,68,26,31,63,31,26,32,27,1
53,71,37,21,23,73,56,40,55,39,22,72,22,39,23,40,2
64,67,26,25,27,69,67,29,66,28,26,68,26,28,27,29,1
63,61,29,31,33,63,65,31,64,30,32,62,32,30,33,31,2
60,56,32,36,38,58,62,34,61,33,37,57,37,33,38,34,1
57,55,33,35,38,58,60,36,59,35,37,57,37,35,38,36,1
66,62,24,28,31,65,69,27,68,26,30,64,30,26,31,27,2
60,69,30,23,25,71,63,33,62,32,24,70,24,32,25,33,2
69,68,23,22,25,71,71,25,70,24,24,70,24,24,25,25,1
57,67,35,25,27,69,59,37,58,36,26,68,26,36,27,37,2
56,61,36,31,33,63,58,38,57,37,32,62,32,37,33,38,2
59,65,33,27,29,67,61,35,60,34,28,66,28,34,29,35,2
57,59,33,33,35,61,60,36,59,35,34,60,34,35,35,36,1
57,65,35,25,28,68,59,37,58,36,27,67,27,36,28,37,2
55,57,33,31,34,61,59,36,58,35,33,60,34,36,35,37,2
77,71,13,19,21,74,80,15,79,14,20,73,21,15,22,16,2
71,77,19,5,11,84,74,21,73,20,10,83,11,21,12,22,1
73,75,17,13,17,79,76,20,75,19,16,78,16,19,17,20,1
60,67,32,25,27,69,62,34,61,33,26,68,26,33,27,34,2
73,79,15,9,13,83,77,19,76,18,12,82,12,18,13,19,1
63,72,27,20,22,74,66,30,65,29,21,73,21,29,22,30,2
78,87,12,3,5,90,81,14,80,13,4,89,5,14,6,15,2
69,65,19,25,28,68,73,23,72,22,27,67,27,22,28,23,2
65,55,27,35,37,58,67,28,66,28,37,57,37,28,38,29,1
70,58,22,30,34,62,72,24,71,23,33,61,33,23,34,24,2
68,62,24,28,31,65,70,26,69,25,30,64,30,25,31,26,1
88,81,4,5,10,86,90,6,89,4,8,85,9,5,10,6,2
61,60,31,30,33,63,63,33,62,32,32,62,32,32,33,33,2
73,75,19,17,19,77,75,21,74,20,18,76,18,20,19,21,1
63,78,23,4,9,85,68,26,67,25,8,84,10,27,11,28,1
66,62,26,30,32,64,68,28,67,27,31,63,31,27,32,28,1
70,62,22,28,31,65,72,24,71,23,30,64,30,23,31,24,2
57,48,21,28,37,58,66,29,65,25,33,57,37,29,38,30,2
70,63,22,29,31,65,72,24,71,23,30,64,30,23,31,24,1
82,87,10,3,6,90,84,12,83,11,5,89,5,11,6,12,1
68,60,24,32,34,62,70,26,69,25,33,61,33,25,34,26,1
63,66,27,26,28,68,66,30,65,29,27,67,27,29,28,30,2
68,60,24,30,33,63,70,26,69,25,32,62,32,25,33,26,1
57,62,35,30,32,64,59,37,58,36,31,63,31,36,32,37,2
75,84,13,4,8,88,79,17,78,16,7,87,7,16,8,17,1
63,58,29,34,36,60,65,31,64,30,35,59,35,30,36,31,1
55,63,35,29,31,65,58,38,57,37,30,64,30,37,31,38,2
57,61,33,31,33,63,60,36,59,35,32,62,32,35,33,36,1
66,72,22,14,19,77,70,26,69,24,17,76,18,25,19,26,1
71,61,19,29,32,64,74,22,73,21,31,63,31,21,32,22,1
66,55,26,37,39,57,68,28,67,27,38,56,38,27,39,28,1
71,74,21,14,18,78,73,23,72,22,17,77,17,22,18,23,1
72,62,20,26,30,66,74,22,73,21,29,65,29,21,30,22,1
66,58,22,32,35,61,70,26,69,25,34,60,34,25,35,26,1
74,60,16,28,32,64,77,19,76,18,31,63,31,18,32,19,1
66,62,26,30,32,64,68,28,67,27,31,63,31,27,32,28,1
66,72,20,18,21,75,71,25,70,23,19,74,20,24,21,25,2
65,60,27,32,34,62,67,29,66,28,33,61,33,28,34,29,1
68,67,24,25,27,69,70,26,69,25,26,68,26,25,27,26,2
64,75,28,17,19,77,66,30,65,29,18,76,18,29,19,30,2
70,66,22,26,28,68,72,24,71,23,27,67,27,23,28,24,1
69,60,23,32,34,62,71,25,70,23,32,61,33,24,34,25,2
64,64,28,28,30,66,66,30,65,29,29,65,29,29,30,30,1
61,72,27,14,18,77,65,30,64,29,17,76,18,30,19,31,1
58,60,30,32,33,62,62,33,61,33,33,61,33,33,34,34,1
67,72,23,18,21,75,70,26,69,25,20,74,20,25,21,26,2
56,64,28,22,26,69,62,33,61,32,25,68,26,33,27,34,2
60,57,32,35,37,59,62,34,61,33,36,58,36,33,37,34,1
62,61,26,31,33,63,66,30,65,29,32,62,32,29,33,30,1
69,74,21,16,19,77,72,24,71,22,17,76,18,23,19,24,2
66,57,26,35,37,59,68,28,67,27,36,58,36,27,37,28,1
73,66,19,22,26,70,75,21,74,20,25,69,25,20,26,21,1
64,74,26,14,17,78,67,28,66,28,17,77,17,28,18,29,2
82,82,10,10,12,84,84,12,83,11,11,83,11,11,12,12,2
53,63,39,29,31,65,55,41,54,40,30,64,30,40,31,41,2
79,81,9,9,12,84,83,13,82,12,11,83,11,12,12,13,1
63,64,25,28,29,66,67,28,66,28,29,65,29,28,30,29,1
57,57,35,33,36,60,59,37,58,36,35,59,35,36,36,37,2
68,65,22,27,29,67,71,25,70,24,28,66,28,24,29,25,2
70,72,20,8,15,80,73,22,72,22,15,79,15,22,16,23,2
73,82,15,4,6,87,77,16,76,16,6,86,8,18,9,19,1
70,90,22,2,3,92,72,23,71,23,3,91,3,23,4,24,1
68,74,24,16,19,77,70,26,69,25,18,76,18,25,19,26,1
74,74,16,14,17,78,77,18,76,17,16,77,17,18,18,19,1
64,65,26,27,28,67,67,28,66,28,28,66,28,28,29,29,1
66,66,26,22,26,70,68,28,67,27,25,69,25,27,26,28,1
54,63,34,29,31,65,58,38,57,37,30,64,30,37,31,38,2
55,62,37,30,32,64,57,39,56,38,31,63,31,38,32,39,2
64,66,24,26,28,68,68,28,67,27,27,67,27,27,28,28,1
65,61,27,31,33,63,67,29,66,28,32,62,32,28,33,29,1
62,62,30,30,31,64,64,31,63,31,31,63,31,31,32,32,1
73,72,19,16,20,76,75,21,74,20,19,75,19,20,20,21,1
64,68,24,18,22,73,68,27,67,27,22,72,22,27,23,28,1
63,59,27,33,35,61,66,30,65,29,34,60,34,29,35,30,2
63,58,29,34,36,60,65,31,64,30,35,59,35,30,36,31,1
53,53,37,37,40,56,56,40,55,39,39,55,39,39,40,40,2
70,61,20,29,32,64,73,23,72,22,31,63,31,22,32,23,1
70,81,22,5,10,86,72,24,71,23,9,85,9,23,10,24,1
82,71,8,17,21,75,85,11,84,10,20,74,20,10,21,11,2
71,70,19,18,21,74,74,21,73,20,20,73,21,21,22,22,1
68,60,24,32,34,62,70,26,69,25,33,61,33,25,34,26,1
64,65,24,25,28,68,68,28,67,27,27,67,27,27,28,28,2
61,71,29,21,23,73,64,32,63,31,22,72,22,31,23,32,2
61,62,27,30,32,64,65,31,64,30,31,63,31,30,32,31,2
61,57,31,35,37,59,63,33,62,32,36,58,36,32,37,33,1
74,88,18,2,4,91,76,19,75,19,4,90,4,19,5,20,1
87,79,5,3,10,86,89,7,88,6,9,85,9,6,10,7,2
71,80,21,10,13,83,73,23,72,22,12,82,12,22,13,23,2
69,79,19,7,10,84,73,21,72,22,11,83,11,22,12,23,1
63,66,29,26,28,68,65,31,64,30,27,67,27,30,28,31,1
67,66,25,26,28,68,69,27,68,26,27,67,27,26,28,27,2
56,65,36,27,29,67,58,38,57,37,28,66,28,37,29,38,2
59,65,33,27,29,67,61,35,60,34,28,66,28,34,29,35,2
66,67,26,25,27,69,68,28,67,27,26,68,26,27,27,28,1
60,55,28,33,37,59,64,32,63,31,36,58,36,31,37,32,2
83,85,9,7,9,87,85,11,84,10,8,86,8,10,9,11,2
62,63,28,29,30,65,65,30,64,30,30,64,30,30,31,31,1
61,64,29,22,26,69,64,31,63,31,26,68,26,31,27,32,2
73,61,17,31,33,63,76,20,75,19,32,62,32,19,33,20,2
70,60,20,28,31,64,73,22,72,22,31,63,31,22,32,23,1
60,77,24,5,9,84,66,27,65,27,9,83,11,29,12,30,2
68,60,24,32,34,62,70,26,69,25,33,61,33,25,34,26,1
67,58,25,32,35,61,69,27,68,26,34,60,34,26,35,27,1
93,84,1,4,8,88,94,2,93,1,7,87,7,1,8,2,2
54,56,30,28,33,62,60,35,59,33,31,61,33,35,34,36,1
62,65,28,27,28,67,65,30,64,30,28,66,28,30,29,31,1
64,77,28,11,15,81,66,30,65,29,14,80,14,29,15,30,2
62,59,26,27,32,64,66,30,65,29,31,63,31,29,32,30,2
57,65,35,25,28,68,59,37,58,36,27,67,27,36,28,37,2
67,59,25,33,35,61,69,27,68,26,34,60,34,26,35,27,1
74,69,14,21,24,72,78,18,77,17,23,71,23,17,24,18,2
52,63,40,29,31,65,54,42,53,41,30,64,30,41,31,42,2
58,67,28,25,27,69,63,33,62,32,26,68,26,32,27,33,2
62,64,26,28,30,66,66,30,65,29,29,65,29,29,30,30,2
57,55,35,31,36,60,59,37,58,36,35,59,35,36,36,37,2
68,76,22,12,16,80,71,25,70,24,15,79,15,24,16,25,2
67,60,25,32,34,62,69,27,68,26,33,61,33,26,34,27,1
68,69,24,23,25,71,70,26,69,25,24,70,24,25,25,26,1
68,68,24,24,26,70,70,26,69,25,25,69,25,25,26,26,1
90,70,2,20,23,73,92,4,91,3,22,72,22,3,23,4,2
69,73,19,17,20,76,73,23,72,22,19,75,19,22,20,23,2
66,64,20,28,29,66,71,24,70,24,29,65,29,24,30,25,1
70,70,20,22,24,72,73,23,72,22,23,71,23,22,24,23,1
64,62,28,30,32,64,66,30,65,29,31,63,31,29,32,30,2
74,72,16,20,22,74,77,19,76,18,21,73,21,18,22,19,2
77,62,13,28,30,65,80,15,79,15,30,64,30,15,31,16,1
55,65,37,27,29,67,57,39,56,38,28,66,28,38,29,39,2
65,60,25,32,34,62,68,28,67,27,33,61,33,27,34,28,1
78,72,10,18,21,75,82,14,81,13,20,74,20,13,21,14,2
64,60,26,30,32,63,67,28,66,28,32,62,32,28,33,29,1
52,67,38,25,27,69,55,41,54,40,26,68,26,40,27,41,2
69,62,23,30,32,64,71,25,70,24,31,63,31,24,32,25,1
86,87,8,3,6,90,87,9,86,8,5,89,5,8,6,9,1
70,84,20,6,9,87,73,23,72,22,8,86,8,22,9,23,1
57,66,35,22,26,70,59,37,58,36,25,69,25,36,26,37,2
67,69,23,21,23,72,70,25,69,25,23,71,23,25,24,26,2
79,67,9,21,25,71,83,13,82,12,24,70,24,12,25,13,1
66,61,22,31,32,63,70,25,69,25,32,62,32,25,33,26,1
77,79,15,5,11,85,79,17,78,15,9,84,10,16,11,17,2
57,87,35,3,6,90,59,37,58,36,5,89,5,36,6,37,2
60,56,32,36,38,58,62,34,61,33,37,57,37,33,38,34,1
59,62,31,30,31,64,62,33,61,33,31,63,31,33,32,34,1
73,62,19,26,30,66,75,21,74,20,29,65,29,20,30,21,1
72,86,18,6,8,88,75,21,74,20,7,87,7,20,8,21,1
61,67,31,25,27,69,63,33,62,32,26,68,26,32,27,33,1
73,70,19,6,15,80,75,20,74,20,15,79,15,20,16,21,1
74,73,16,17,19,76,77,18,76,18,19,75,19,18,20,19,2
76,85,16,3,7,89,78,18,77,17,6,88,6,17,7,18,1
74,87,14,3,6,90,78,18,77,16,4,89,5,17,6,18,1
68,63,24,29,31,65,70,26,69,25,30,64,30,25,31,26,2
67,85,21,3,6,89,71,24,70,23,5,88,6,24,7,25,2
71,81,19,11,12,83,74,21,73,21,12,82,12,21,13,22,1
70,62,20,26,30,66,73,23,72,22,29,65,29,22,30,23,1
65,59,27,31,34,62,67,29,66,28,33,61,33,28,34,29,1
73,90,15,2,4,92,77,19,76,18,3,91,3,18,4,19,1
71,59,19,29,33,63,74,22,73,21,32,62,32,21,33,22,2
62,63,26,27,30,66,66,30,65,28,28,65,29,29,30,30,1
58,69,34,23,25,71,60,36,59,35,24,70,24,35,25,36,2
63,60,27,28,32,64,66,30,65,29,31,63,31,29,32,30,1
64,58,28,34,36,60,66,30,65,29,35,59,35,29,36,30,1
83,90,9,2,4,92,85,11,84,10,3,91,3,10,4,11,2
74,73,12,19,21,75,79,17,78,16,20,74,20,16,21,17,1
66,69,24,21,23,72,69,26,68,26,23,71,23,26,24,27,2
69,69,23,21,24,72,71,25,70,24,23,71,23,24,24,25,2
66,56,26,36,38,58,68,28,67,27,37,57,37,27,38,28,1
61,71,29,21,23,73,64,32,63,31,22,72,22,31,23,32,2
67,60,25,30,33,63,69,27,68,26,32,62,32,26,33,27,1
60,66,32,26,28,68,62,34,61,33,27,67,27,33,28,34,2
60,62,32,30,32,64,62,34,61,33,31,63,31,33,32,34,2
59,79,31,11,14,82,62,34,61,32,12,81,13,33,14,34,2
64,68,28,24,26,70,66,30,65,29,25,69,25,29,26,30,1
52,53,40,37,40,56,54,42,53,41,39,55,39,41,40,42,2
64,61,26,31,33,63,67,29,66,28,32,62,32,28,33,29,1
54,64,34,28,30,66,58,38,57,37,29,65,29,37,30,38,2
60,63,32,27,30,66,62,34,61,33,29,65,29,33,30,34,2
65,62,25,30,32,64,68,28,67,27,31,63,31,27,32,28,1
75,62,15,30,31,64,78,17,77,17,31,63,31,17,32,18,2
72,65,20,27,29,67,74,22,73,21,28,66,28,21,29,22,1
59,63,33,29,31,65,61,35,60,34,30,64,30,34,31,35,1
76,78,12,10,14,82,80,16,79,14,12,81,13,15,14,16,1
63,61,29,31,33,63,65,31,64,30,32,62,32,30,33,31,1
55,54,37,36,39,57,57,39,56,38,38,56,38,38,39,39,2
65,54,27,38,40,56,67,29,66,28,39,55,39,28,40,29,1
67,56,23,32,36,60,70,26,69,24,34,59,35,25,36,26,2
65,59,27,33,35,61,67,29,66,28,34,60,34,28,35,29,1
63,56,29,36,38,58,65,31,64,30,37,57,37,30,38,31,1
94,79,0,11,14,82,95,1,94,0,13,81,13,0,14,1,2
61,69,29,21,24,72,64,32,63,30,22,71,23,31,24,32,2
67,61,25,29,31,64,69,26,68,26,31,63,31,26,32,27,1
69,59,23,31,34,62,71,25,70,24,33,61,33,24,34,25,1
69,70,21,16,20,75,72,23,71,23,20,74,20,23,21,24,1
77,84,11,4,7,88,81,14,80,13,6,87,7,14,8,15,1
58,56,34,36,38,58,60,36,59,35,37,57,37,35,38,36,1
55,63,33,27,30,66,59,37,58,36,29,65,29,36,30,37,2
58,57,32,31,35,61,61,35,60,34,34,60,34,34,35,35,2
80,75,8,17,19,77,84,12,83,11,18,76,18,11,19,12,1
64,77,26,13,16,80,67,29,66,27,14,79,15,28,16,29,2
68,60,24,30,33,63,70,26,69,25,32,62,32,25,33,26,1
67,73,25,19,21,75,69,27,68,26,20,74,20,26,21,27,1
61,69,31,21,24,72,63,33,62,32,23,71,23,32,24,33,2
64,58,28,32,34,61,66,29,65,29,34,60,34,29,35,30,1
61,68,29,24,26,70,64,32,63,31,25,69,25,31,26,32,2
62,69,28,23,24,71,65,30,64,30,24,70,24,30,25,31,2
68,63,20,23,28,68,72,24,71,23,27,67,27,23,28,24,1
68,66,22,26,27,68,71,24,70,24,27,67,27,24,28,25,2
67,56,25,34,37,59,69,27,68,26,36,58,36,26,37,27,1
76,73,16,17,20,76,78,18,77,17,19,75,19,17,20,18,1
55,62,37,26,30,66,57,39,56,38,29,65,29,38,30,39,2
69,58,19,28,33,63,73,23,72,22,32,62,32,22,33,23,2
36,57,54,33,35,60,39,56,38,55,34,59,35,56,36,57,2
72,70,14,20,23,73,77,19,76,18,22,72,22,18,23,19,1
69,72,19,16,20,76,73,23,72,22,19,75,19,22,20,23,1
68,59,24,31,34,62,70,26,69,25,33,61,33,25,34,26,1
60,70,28,22,24,72,64,32,63,31,23,71,23,31,24,32,2
71,63,21,29,31,65,73,23,72,22,30,64,30,22,31,23,1
69,60,23,32,34,62,71,25,70,24,33,61,33,24,34,25,1
75,73,17,19,21,75,77,19,76,18,20,74,20,18,21,19,1
63,69,29,23,25,71,65,31,64,30,24,70,24,30,25,31,1
85,68,7,22,25,71,87,9,86,8,24,70,24,8,25,9,1
60,60,32,32,34,62,62,34,61,33,33,61,33,33,34,34,2
70,67,22,23,26,70,72,24,71,23,25,69,25,23,26,24,1
58,60,28,26,30,65,63,32,62,31,29,64,30,32,31,33,2
67,68,25,22,25,71,69,27,68,26,24,70,24,26,25,27,1
66,65,22,27,29,67,70,26,69,25,28,66,28,25,29,26,2
63,67,25,21,25,71,67,29,66,28,24,70,24,28,25,29,2
69,60,17,30,33,63,74,22,73,21,32,62,32,21,33,22,1
58,64,32,28,30,66,61,35,60,34,29,65,29,34,30,35,2
72,60,20,30,33,63,74,22,73,21,32,62,32,21,33,22,1
69,65,21,23,27,69,72,24,71,23,26,68,26,23,27,24,1
65,72,25,20,22,74,68,28,67,27,21,73,21,27,22,28,2
64,64,22,26,27,67,69,25,68,26,28,66,28,26,29,27,1
67,67,21,25,27,69,71,25,70,24,26,68,26,24,27,25,1
75,90,17,2,4,92,77,19,76,18,3,91,3,18,4,19,2
65,55,27,37,39,57,67,29,66,28,38,56,38,28,39,29,1
61,74,31,18,20,76,63,33,62,32,19,75,19,32,20,33,1
57,60,35,30,33,63,59,37,58,36,32,62,32,36,33,37,2
73,60,17,28,32,64,76,20,75,19,31,63,31,19,32,20,1
67,60,21,32,34,62,71,25,70,24,33,61,33,24,34,25,1
71,64,21,26,29,67,73,23,72,22,28,66,28,22,29,23,2
71,86,21,4,7,89,73,23,72,22,6,88,6,22,7,23,2
72,77,18,15,17,79,75,21,74,20,16,78,16,20,17,21,1
63,59,29,29,33,63,65,31,64,30,32,62,32,30,33,31,2
69,61,17,31,32,63,74,21,73,21,32,62,32,21,33,22,1
65,60,27,32,33,62,67,28,66,28,33,61,33,28,34,29,1
72,69,18,19,23,73,75,21,74,20,22,72,22,20,23,21,1
65,62,25,30,32,64,68,28,67,27,31,63,31,27,32,28,1
59,62,33,30,32,64,61,35,60,34,31,63,31,34,32,35,2
74,76,16,14,16,79,77,18,76,17,15,78,16,18,17,19,2
57,52,35,36,40,56,59,37,58,36,39,55,39,36,40,37,2
62,75,28,17,18,77,65,30,64,30,18,76,18,30,19,31,2
73,73,19,19,20,75,75,20,74,20,20,74,20,20,21,21,2
68,68,22,24,25,70,71,24,70,24,25,69,25,24,26,25,1
53,43,35,47,49,46,57,38,56,38,49,45,49,38,50,39,1
68,67,22,19,23,72,71,24,70,24,23,71,23,24,24,25,1
63,56,29,36,38,58,65,31,64,30,37,57,37,30,38,31,1
71,61,21,31,33,63,73,23,72,22,32,62,32,22,33,23,1
66,62,26,30,32,64,68,28,67,27,31,63,31,27,32,28,1
70,68,18,18,23,73,74,22,73,21,22,72,22,21,23,22,1
60,53,30,39,41,55,63,33,62,32,40,54,40,32,41,33,2
68,69,24,23,25,71,70,26,69,25,24,70,24,25,25,26,1
68,57,24,35,37,59,70,26,69,25,36,58,36,25,37,26,1
68,68,24,24,26,70,70,26,69,25,25,69,25,25,26,26,1
66,69,24,23,25,71,69,27,68,26,24,70,24,26,25,27,1
61,59,29,33,35,61,64,32,63,31,34,60,34,31,35,32,1
