@relation 'Sax dominant'

@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMaee numeric
@attribute o1atLaee numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMaae numeric
@attribute o1atLaae numeric
@attribute o1atLeee numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMaad numeric
@attribute o1atLaad numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o2atMcdd numeric
@attribute o2atLcdd numeric
@attribute o2atMddc numeric
@attribute o2atLddc numeric
@attribute o2atMccc numeric
@attribute o2atLccc numeric
@attribute o2atMcbb numeric
@attribute o2atLcbb numeric
@attribute o2atMbbc numeric
@attribute o2atLbbc numeric
@attribute o2atMccb numeric
@attribute o2atLccb numeric
@attribute o2atMbbb numeric
@attribute o2atLbbb numeric
@attribute o2atMbcc numeric
@attribute o2atLbcc numeric
@attribute o2atMdde numeric
@attribute o2atLdde numeric
@attribute o2atLeee numeric
@attribute o2atMedd numeric
@attribute o2atLedd numeric
@attribute o2atMddd numeric
@attribute o2atLddd numeric
@attribute o2atMdee numeric
@attribute o2atLdee numeric
@attribute o2atMeed numeric
@attribute o2atLeed numeric
@attribute o2atMdcc numeric
@attribute o2atLdcc numeric
@attribute o2atMbdd numeric
@attribute o2atLbdd numeric
@attribute o2atMaaa numeric
@attribute o2atMabb numeric
@attribute o2atLabb numeric
@attribute o2atMaab numeric
@attribute o2atLaab numeric
@attribute o2atMccd numeric
@attribute o2atLccd numeric
@attribute o2atMbba numeric
@attribute o2atLbba numeric
@attribute o2atMacc numeric
@attribute o2atLacc numeric
@attribute o2atMaac numeric
@attribute o2atLaac numeric
@attribute o2atMbaa numeric
@attribute o2atLbaa numeric
@attribute o2atMcde numeric
@attribute o2atLcde numeric
@attribute o2atMbcd numeric
@attribute o2atLbcd numeric
@attribute o2atMabc numeric
@attribute o2atLabc numeric
@attribute o2atMcee numeric
@attribute o2atLcee numeric
@attribute o2atMcce numeric
@attribute o2atLcce numeric
@attribute o2atMedc numeric
@attribute o2atLedc numeric
@attribute o2atMdcb numeric
@attribute o2atLdcb numeric
@attribute o2atMbbd numeric
@attribute o2atLbbd numeric
@attribute o2atMadd numeric
@attribute o2atLadd numeric
@attribute o2atMaad numeric
@attribute o2atLaad numeric
@attribute o2atMacd numeric
@attribute o2atLacd numeric
@attribute o2atMcba numeric
@attribute o2atLcba numeric
@attribute o2atMbce numeric
@attribute o2atLbce numeric
@attribute o2atMbee numeric
@attribute o2atLbee numeric
@attribute o2atMbbe numeric
@attribute o2atLbbe numeric
@attribute o2atMbde numeric
@attribute o2atLbde numeric
@attribute o2atMddb numeric
@attribute o2atLddb numeric
@attribute o2atMdbb numeric
@attribute o2atLdbb numeric
@attribute o2atMeec numeric
@attribute o2atLeec numeric
@attribute o2atMecc numeric
@attribute o2atLecc numeric
@attribute o3atMccc numeric
@attribute o3atLccc numeric
@attribute o3atMcdd numeric
@attribute o3atLcdd numeric
@attribute o3atMddc numeric
@attribute o3atLddc numeric
@attribute o3atMcee numeric
@attribute o3atLcee numeric
@attribute o3atMdde numeric
@attribute o3atLdde numeric
@attribute o3atLeee numeric
@attribute o3atMedd numeric
@attribute o3atLedd numeric
@attribute o3atMcce numeric
@attribute o3atLcce numeric
@attribute o3atMccd numeric
@attribute o3atLccd numeric
@attribute o3atMddd numeric
@attribute o3atLddd numeric
@attribute o3atMdee numeric
@attribute o3atLdee numeric
@attribute o3atMeed numeric
@attribute o3atLeed numeric
@attribute o3atMdcc numeric
@attribute o3atLdcc numeric
@attribute o3atMcbb numeric
@attribute o3atLcbb numeric
@attribute o3atMccb numeric
@attribute o3atLccb numeric
@attribute o3atMbbb numeric
@attribute o3atLbbb numeric
@attribute o3atMbee numeric
@attribute o3atLbee numeric
@attribute o3atMbbe numeric
@attribute o3atLbbe numeric
@attribute o3atMcde numeric
@attribute o3atLcde numeric
@attribute o3atMbba numeric
@attribute o3atLbba numeric
@attribute o3atMaaa numeric
@attribute o3atMabb numeric
@attribute o3atLabb numeric
@attribute o3atMbbc numeric
@attribute o3atLbbc numeric
@attribute o3atMbcd numeric
@attribute o3atLbcd numeric
@attribute o3atMbaa numeric
@attribute o3atLbaa numeric
@attribute o3atMaab numeric
@attribute o3atLaab numeric
@attribute o3atMbdd numeric
@attribute o3atLbdd numeric
@attribute o3atMbbd numeric
@attribute o3atLbbd numeric
@attribute o3atMbcc numeric
@attribute o3atLbcc numeric
@attribute o3atMedc numeric
@attribute o3atLedc numeric
@attribute o3atMbde numeric
@attribute o3atLbde numeric
@attribute o3atMdcb numeric
@attribute o3atLdcb numeric
@attribute o3atMbce numeric
@attribute o3atLbce numeric
@attribute o3atMcaa numeric
@attribute o3atLcaa numeric
@attribute o3atMdca numeric
@attribute o3atLdca numeric
@attribute o3atMabc numeric
@attribute o3atLabc numeric
@attribute destClass {1.0,2.0}

@data
19,23,7,21,6,21,9,28,5,20,7,23,2,30,1,23,0,30,0,30,0,28,0,21,0,21,0,0,30,0,30,0,30,0,30,0,29,2,23,0,28,0,21,0,23,1,21,2,28,0,30,0,21,0,28,0,30,0,29,0,30,0,20,0,21,0,30,0,21,0,23,0,28,0,4,26,3,25,1,30,0,30,0,30,0,30,0,30,0,30,22,7,5,22,7,21,24,23,6,23,6,2,26,0,26,0,0,30,0,30,2,27,0,30,0,30,0,30,0,30,4,7,0,27,0,30,4,6,2,7,3,7,0,26,0,27,0,26,0,27,0,27,0,30,0,7,0,6,0,7,0,7,0,25,0,26,3,6,2,7,5,24,5,21,7,22,7,7,20,8,6,19,8,6,8,5,21,18,21,22,7,20,7,6,23,3,26,4,25,2,30,4,8,3,10,6,8,0,30,0,0,30,2,26,2,22,0,30,0,30,2,22,2,23,2,25,7,8,3,9,4,23,3,9,0,26,0,23,0,26,1.0
22,26,4,24,3,24,6,30,2,23,4,26,0,30,0,26,0,30,0,30,0,30,0,24,0,24,0,0,30,0,30,0,30,0,30,0,30,0,26,0,30,0,24,0,26,0,24,0,30,0,30,0,24,0,30,0,30,0,30,0,30,0,23,0,24,0,30,0,24,0,26,0,30,0,2,29,0,28,0,29,0,29,0,30,0,29,0,30,0,30,21,8,6,21,8,20,28,22,7,22,7,0,28,1,29,0,0,30,0,30,1,29,0,30,0,30,0,30,0,30,2,8,1,30,0,30,2,7,1,8,0,8,0,28,0,30,0,29,0,30,0,30,0,29,1,8,1,7,0,8,1,8,0,28,0,28,0,7,0,8,14,30,16,10,18,10,18,3,27,2,2,26,2,16,4,15,12,26,8,28,2,26,2,16,12,0,30,0,30,0,30,0,3,0,4,17,3,0,30,0,0,30,0,30,0,12,0,30,0,30,0,10,0,12,0,30,18,2,0,3,0,12,0,4,0,30,0,12,0,30,2.0
18,22,8,20,7,20,10,28,6,19,8,22,2,30,1,22,0,30,0,30,0,28,0,20,0,20,0,0,30,0,30,0,30,0,30,0,29,2,22,0,28,0,20,0,22,1,20,2,28,0,30,0,20,0,28,0,30,0,29,0,30,0,19,0,20,0,30,0,20,0,22,0,28,0,12,17,12,17,10,29,0,30,0,29,1,30,0,30,0,29,22,7,5,22,7,21,16,23,6,23,6,11,18,0,17,0,0,30,0,30,11,18,0,30,0,29,0,29,0,30,12,7,0,18,0,29,12,6,11,7,12,7,1,18,0,18,0,17,0,18,0,18,0,30,0,7,0,6,0,7,0,7,1,17,0,18,12,6,11,7,12,23,13,13,14,13,16,8,19,8,7,18,9,14,9,13,14,17,12,21,8,19,8,13,14,2,25,3,24,1,30,5,9,3,11,15,9,0,30,0,0,30,2,27,3,15,0,30,0,30,3,14,2,16,3,25,14,9,4,10,3,14,4,10,0,25,0,14,0,27,1.0
22,25,4,24,3,24,6,28,2,23,4,26,2,30,1,26,0,30,0,30,0,28,0,24,0,24,0,0,30,0,30,0,30,0,30,0,29,1,26,0,28,0,24,0,26,1,24,2,28,0,30,0,24,0,28,0,30,0,29,0,30,0,23,0,24,0,30,0,24,0,26,0,28,0,1,30,0,29,0,30,0,30,0,30,0,30,0,30,0,30,26,3,1,26,3,25,29,27,2,27,2,0,29,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,1,3,0,30,0,30,1,2,0,3,0,3,0,29,0,30,0,30,0,30,0,30,0,30,0,3,0,2,0,3,0,3,0,29,0,29,0,2,0,3,8,24,8,18,10,19,10,7,20,8,6,19,8,9,8,8,18,18,18,22,7,20,7,9,20,3,26,4,25,2,30,4,8,3,10,9,8,0,30,0,0,30,2,26,2,19,0,30,0,30,2,19,2,20,2,25,10,8,3,9,4,20,3,9,0,26,0,20,0,26,1.0
24,26,5,24,4,25,6,28,4,24,4,26,2,30,1,26,0,30,0,30,0,28,0,24,0,25,0,0,30,0,30,0,30,0,30,0,29,2,26,0,28,0,25,0,26,1,25,2,28,0,30,0,24,0,28,0,30,0,29,0,30,0,24,0,24,0,30,0,24,0,26,0,28,0,1,30,0,29,0,30,0,30,0,30,0,30,0,30,0,30,21,8,6,21,8,20,29,22,7,22,7,0,29,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,1,8,0,30,0,30,1,7,0,8,0,8,0,29,0,30,0,30,0,30,0,30,0,30,0,8,0,7,0,8,0,8,0,29,0,29,0,7,0,8,9,25,10,14,13,15,13,4,23,4,3,22,5,11,5,10,15,21,13,25,4,23,4,11,17,2,27,3,26,1,30,3,5,2,7,12,5,0,30,0,0,30,1,27,1,16,0,30,0,30,1,15,1,17,1,26,13,5,2,6,3,17,2,6,0,27,0,17,0,27,1.0
22,26,4,24,3,24,6,30,2,23,4,26,0,30,0,26,0,30,0,30,0,30,0,24,0,24,0,0,30,0,30,0,30,0,30,0,30,0,26,0,30,0,24,0,26,0,24,0,30,0,30,0,24,0,30,0,30,0,30,0,30,0,23,0,24,0,30,0,24,0,26,0,30,0,5,26,3,25,3,29,0,29,0,30,0,29,0,30,1,30,21,8,6,21,8,20,25,22,7,22,7,3,25,1,26,0,0,30,0,30,4,27,0,30,0,30,0,30,0,30,5,8,1,27,0,30,5,7,4,8,3,8,0,25,0,27,0,26,0,27,0,27,0,29,1,8,1,7,0,8,1,8,0,25,0,25,3,7,3,8,10,30,12,14,14,14,14,3,27,2,2,26,2,12,4,11,16,26,12,28,2,26,2,12,16,0,30,0,30,0,30,0,3,0,4,13,3,0,30,0,0,30,0,30,0,16,0,30,0,30,0,14,0,16,0,30,14,2,0,3,0,16,0,4,0,30,0,16,0,30,2.0
24,26,5,24,4,25,6,28,4,24,4,26,2,30,1,26,0,30,0,30,0,28,0,24,0,25,0,0,30,0,30,0,30,0,30,0,29,2,26,0,28,0,25,0,26,1,25,2,28,0,30,0,24,0,28,0,30,0,29,0,30,0,24,0,24,0,30,0,24,0,26,0,28,0,8,22,7,21,5,30,0,30,0,30,0,30,0,30,0,30,22,7,5,22,7,21,20,23,6,23,6,6,22,0,22,0,0,30,0,30,6,23,0,30,0,30,0,30,0,30,8,7,0,23,0,30,8,6,6,7,7,7,0,22,0,23,0,22,0,23,0,23,0,30,0,7,0,6,0,7,0,7,0,21,0,22,7,6,6,7,8,25,8,18,10,19,10,8,19,9,7,18,9,9,9,8,18,17,18,21,8,19,8,9,20,2,27,3,26,1,30,3,9,2,11,9,9,0,30,0,0,30,1,27,1,19,0,30,0,30,1,19,1,20,1,26,10,9,2,10,3,20,2,10,0,27,0,20,0,27,1.0
22,25,4,24,3,24,6,28,2,23,4,26,2,30,1,26,0,30,0,30,0,28,0,24,0,24,0,0,30,0,30,0,30,0,30,0,29,1,26,0,28,0,24,0,26,1,24,2,28,0,30,0,24,0,28,0,30,0,29,0,30,0,23,0,24,0,30,0,24,0,26,0,28,0,1,30,0,29,0,30,0,30,0,30,0,30,0,30,0,30,21,8,6,21,8,20,29,22,7,22,7,0,29,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,1,8,0,30,0,30,1,7,0,8,0,8,0,29,0,30,0,30,0,30,0,30,0,30,0,8,0,7,0,8,0,8,0,29,0,29,0,7,0,8,14,25,16,9,18,10,18,2,27,2,2,26,2,16,2,15,10,26,8,28,2,26,2,16,12,2,27,3,26,1,30,3,3,2,4,17,2,0,30,0,0,30,1,27,1,11,0,30,0,30,1,10,1,12,1,26,18,2,2,3,3,12,2,3,0,27,0,12,0,27,2.0
19,23,7,21,6,21,9,30,5,20,7,23,0,30,0,23,0,30,0,30,0,30,0,21,0,21,0,0,30,0,30,0,30,0,30,0,30,0,23,0,30,0,21,0,23,0,21,0,30,0,30,0,21,0,30,0,30,0,30,0,30,0,20,0,21,0,30,0,21,0,23,0,30,0,1,29,0,29,0,29,0,29,0,30,0,29,0,30,0,30,18,11,9,18,11,17,29,19,10,19,10,0,29,1,30,0,0,30,0,30,0,29,0,30,0,30,0,30,0,30,1,11,0,30,0,30,1,10,0,11,0,11,0,29,0,30,0,30,0,30,0,30,0,29,0,11,1,10,0,11,1,11,0,29,0,29,0,10,0,11,14,30,16,10,18,10,18,3,27,2,2,26,2,16,4,15,12,26,8,28,2,26,2,16,12,0,30,0,30,0,30,0,3,0,4,17,3,0,30,0,0,30,0,30,0,12,0,30,0,30,0,10,0,12,0,30,18,2,0,3,0,12,0,4,0,30,0,12,0,30,2.0
22,26,4,24,3,24,6,30,2,23,4,26,0,30,0,26,0,30,0,30,0,30,0,24,0,24,0,0,30,0,30,0,30,0,30,0,30,0,26,0,30,0,24,0,26,0,24,0,30,0,30,0,24,0,30,0,30,0,30,0,30,0,23,0,24,0,30,0,24,0,26,0,30,0,1,29,0,29,0,29,0,29,0,30,0,29,0,30,0,30,18,11,9,18,11,17,29,19,10,19,10,0,29,1,30,0,0,30,0,30,0,29,0,30,0,30,0,30,0,30,1,11,0,30,0,30,1,10,0,11,0,11,0,29,0,30,0,30,0,30,0,30,0,29,0,11,1,10,0,11,1,11,0,29,0,29,0,10,0,11,14,30,16,10,18,10,18,3,27,2,2,26,2,16,4,15,12,26,8,28,2,26,2,16,12,0,30,0,30,0,30,0,3,0,4,17,3,0,30,0,0,30,0,30,0,12,0,30,0,30,0,10,0,12,0,30,18,2,0,3,0,12,0,4,0,30,0,12,0,30,2.0
6,6,21,8,21,6,22,21,20,7,22,6,6,21,5,8,0,26,3,24,5,23,6,8,7,7,0,0,30,0,30,0,30,2,25,4,21,5,8,3,22,7,7,4,6,6,6,7,23,4,26,0,8,4,23,3,23,2,22,2,26,2,7,7,8,4,25,2,8,6,7,3,22,4,19,10,19,10,17,21,6,22,7,23,7,22,6,26,7,22,30,0,0,30,0,30,9,30,0,30,0,18,11,8,10,2,4,27,3,28,18,10,2,26,4,22,3,23,2,26,19,0,8,11,4,23,19,0,18,0,19,0,7,11,7,11,4,10,3,11,4,11,2,22,8,0,8,0,7,0,8,0,7,10,6,11,19,0,18,0,12,20,14,17,12,16,14,10,20,11,9,19,9,13,11,13,18,19,16,21,10,19,9,12,16,8,20,8,20,8,30,10,10,9,11,14,11,0,30,0,0,30,9,22,10,18,0,30,0,30,10,17,9,18,10,21,12,9,10,11,8,16,10,11,0,20,0,16,0,22,2.0
23,27,3,25,2,25,5,30,1,24,3,27,0,30,0,27,0,30,0,30,0,30,0,25,0,25,0,0,30,0,30,0,30,0,30,0,30,0,27,0,30,0,25,0,27,0,25,0,30,0,30,0,25,0,30,0,30,0,30,0,30,0,24,0,25,0,30,0,25,0,27,0,30,0,4,27,2,26,2,29,0,29,0,30,0,29,0,30,1,30,17,12,10,17,12,16,26,18,11,18,11,2,26,1,27,0,0,30,0,30,3,28,0,30,0,30,0,30,0,30,4,12,1,28,0,30,4,11,3,12,2,12,0,26,0,28,0,27,0,28,0,28,0,29,1,12,1,11,0,12,1,12,0,26,0,26,2,11,2,12,16,30,16,11,18,11,18,3,27,2,2,26,2,17,4,16,12,26,10,28,2,26,2,17,12,0,30,0,30,0,30,0,3,0,4,17,3,0,30,0,0,30,0,30,0,12,0,30,0,30,0,11,0,12,0,30,18,2,0,3,0,12,0,4,0,30,0,12,0,30,2.0
22,25,4,24,3,24,6,28,2,23,4,26,2,30,1,26,0,30,0,30,0,28,0,24,0,24,0,0,30,0,30,0,30,0,30,0,29,1,26,0,28,0,24,0,26,1,24,2,28,0,30,0,24,0,28,0,30,0,29,0,30,0,23,0,24,0,30,0,24,0,26,0,28,0,1,30,0,29,0,30,0,30,0,30,0,30,0,30,0,30,20,8,4,20,8,18,29,22,6,22,6,0,29,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,1,8,0,30,0,30,1,6,0,8,0,8,0,29,0,30,0,30,0,30,0,30,0,30,0,8,0,6,0,8,0,8,0,29,0,29,0,6,0,8,9,24,11,14,13,15,13,2,27,2,2,26,2,11,2,10,15,26,13,28,2,26,2,11,17,3,26,4,25,2,30,4,3,3,4,12,2,0,30,0,0,30,2,26,2,16,0,30,0,30,2,15,2,17,2,25,13,2,3,3,4,17,3,3,0,26,0,17,0,26,1.0
27,29,2,27,1,28,3,30,1,27,1,29,0,30,0,29,0,30,0,30,0,30,0,27,0,28,0,0,30,0,30,0,30,0,30,0,30,0,29,0,30,0,28,0,29,0,28,0,30,0,30,0,27,0,30,0,30,0,30,0,30,0,27,0,27,0,30,0,27,0,29,0,30,0,2,29,0,28,0,29,0,29,0,30,0,29,0,30,0,30,22,7,5,22,7,21,28,23,6,23,6,0,28,1,29,0,0,30,0,30,1,29,0,30,0,30,0,30,0,30,2,7,1,30,0,30,2,6,1,7,0,7,0,28,0,30,0,29,0,30,0,30,0,29,1,7,1,6,0,7,1,7,0,28,0,28,0,6,0,7,9,24,9,17,11,18,11,7,20,8,6,19,8,10,8,9,17,18,17,22,7,20,7,10,19,3,26,4,25,2,30,4,8,3,10,10,8,0,30,0,0,30,2,26,2,18,0,30,0,30,2,18,2,19,2,25,11,8,3,9,4,19,3,9,0,26,0,19,0,26,1.0
18,20,8,20,7,19,10,25,6,19,8,21,2,27,1,22,0,30,0,30,1,27,2,20,3,20,0,0,30,0,30,0,30,0,30,0,26,1,22,0,26,3,20,0,22,2,20,3,27,0,30,0,20,0,27,0,27,0,26,0,30,0,19,3,20,0,30,0,20,2,21,0,26,0,19,10,19,10,17,17,10,19,10,19,11,18,9,30,11,18,30,0,0,30,0,30,9,30,0,30,0,18,11,11,10,0,0,30,0,30,18,11,0,30,0,18,0,19,0,30,19,0,11,11,0,19,19,0,18,0,19,0,11,11,10,11,0,10,0,11,0,11,0,19,11,0,11,0,10,0,11,0,11,10,10,11,19,0,18,0,8,23,8,21,8,20,10,17,11,17,15,10,17,9,19,8,22,9,20,13,16,11,16,8,20,5,23,5,23,5,30,7,17,6,19,9,18,0,30,0,0,30,6,25,7,22,0,30,0,30,7,21,6,22,7,24,8,17,7,18,5,20,7,19,0,23,0,20,0,25,1.0
27,28,2,27,1,28,3,28,1,27,1,29,2,30,1,29,0,30,0,30,0,28,0,27,0,28,0,0,30,0,30,0,30,0,30,0,29,1,29,0,28,0,28,0,29,1,28,2,28,0,30,0,27,0,28,0,30,0,29,0,30,0,27,0,27,0,30,0,27,0,29,0,28,0,1,30,0,29,0,30,0,30,0,30,0,30,0,30,0,30,22,7,5,22,7,21,29,23,6,23,6,0,29,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,1,7,0,30,0,30,1,6,0,7,0,7,0,29,0,30,0,30,0,30,0,30,0,30,0,7,0,6,0,7,0,7,0,29,0,29,0,6,0,7,6,25,8,17,10,18,10,4,23,5,3,22,5,8,5,7,18,21,16,25,4,23,4,8,20,2,27,3,26,1,30,3,5,2,7,9,5,0,30,0,0,30,1,27,1,19,0,30,0,30,1,18,1,20,1,26,10,5,2,6,3,20,2,6,0,27,0,20,0,27,1.0
15,19,11,17,10,17,13,28,9,16,11,19,2,30,1,19,0,30,0,30,0,28,0,17,0,17,0,0,30,0,30,0,30,0,30,0,29,2,19,0,28,0,17,0,19,1,17,2,28,0,30,0,17,0,28,0,30,0,29,0,30,0,16,0,17,0,30,0,17,0,19,0,28,0,10,18,12,18,10,25,4,27,3,25,5,26,3,30,3,25,15,13,12,15,14,14,17,16,13,16,13,11,19,3,18,0,0,30,0,30,10,18,0,30,0,25,0,25,0,30,11,14,3,18,0,25,11,13,10,14,12,14,5,19,3,18,0,18,0,18,0,18,0,27,3,14,3,13,3,14,3,14,5,18,4,19,12,13,11,14,13,24,13,13,15,12,17,6,22,4,4,21,6,15,8,13,15,20,11,24,4,22,5,14,13,4,24,4,24,4,30,6,6,5,8,15,6,0,30,0,0,30,5,26,6,15,0,30,0,30,6,13,5,15,6,25,15,6,6,6,4,13,6,8,0,24,0,13,0,26,1.0
22,26,4,24,3,24,6,30,2,23,4,26,0,30,0,26,0,30,0,30,0,30,0,24,0,24,0,0,30,0,30,0,30,0,30,0,30,0,26,0,30,0,24,0,26,0,24,0,30,0,30,0,24,0,30,0,30,0,30,0,30,0,23,0,24,0,30,0,24,0,26,0,30,0,4,27,2,26,2,29,0,29,0,30,0,29,0,30,1,30,22,7,5,22,7,21,26,23,6,23,6,2,26,1,27,0,0,30,0,30,3,28,0,30,0,30,0,30,0,30,4,7,1,28,0,30,4,6,3,7,2,7,0,26,0,28,0,27,0,28,0,28,0,29,1,7,1,6,0,7,1,7,0,26,0,26,2,6,2,7,11,30,13,13,15,13,15,3,27,2,2,26,2,13,4,12,15,26,11,28,2,26,2,13,15,0,30,0,30,0,30,0,3,0,4,14,3,0,30,0,0,30,0,30,0,15,0,30,0,30,0,13,0,15,0,30,15,2,0,3,0,15,0,4,0,30,0,15,0,30,2.0
21,24,5,23,4,23,7,28,3,22,5,25,2,30,1,25,0,30,0,30,0,28,0,23,0,23,0,0,30,0,30,0,30,0,30,0,29,1,25,0,28,0,23,0,25,1,23,2,28,0,30,0,23,0,28,0,30,0,29,0,30,0,22,0,23,0,30,0,23,0,25,0,28,0,11,18,12,18,10,22,6,24,6,23,7,23,5,30,6,22,22,7,5,22,7,21,17,23,6,23,6,11,19,6,18,0,0,30,0,30,10,18,0,30,0,22,0,23,0,30,11,7,6,18,0,23,11,6,10,7,12,7,7,19,6,18,0,18,0,18,0,18,0,24,6,7,6,6,6,7,6,7,7,18,6,19,12,6,11,7,9,25,9,16,11,16,13,12,15,11,11,14,13,11,13,9,17,13,15,17,11,15,12,10,17,2,27,3,26,1,30,3,13,2,15,11,12,0,30,0,0,30,1,27,1,18,0,30,0,30,1,17,1,19,1,26,11,13,2,13,3,17,2,14,0,27,0,17,0,27,1.0
27,28,2,27,1,28,3,28,1,27,1,29,2,30,1,29,0,30,0,30,0,28,0,27,0,28,0,0,30,0,30,0,30,0,30,0,29,1,29,0,28,0,28,0,29,1,28,2,28,0,30,0,27,0,28,0,30,0,29,0,30,0,27,0,27,0,30,0,27,0,29,0,28,0,1,30,0,29,0,30,0,30,0,30,0,30,0,30,0,30,22,7,5,22,7,21,29,23,6,23,6,0,29,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,30,1,7,0,30,0,30,1,6,0,7,0,7,0,29,0,30,0,30,0,30,0,30,0,30,0,7,0,6,0,7,0,7,0,29,0,29,0,6,0,7,5,25,5,21,7,22,7,4,23,5,3,22,5,6,5,5,21,21,21,25,4,23,4,6,23,2,27,3,26,1,30,3,5,2,7,6,5,0,30,0,0,30,1,27,1,22,0,30,0,30,1,22,1,23,1,26,7,5,2,6,3,23,2,6,0,27,0,23,0,27,1.0
23,27,3,25,2,25,5,30,1,24,3,27,0,30,0,27,0,30,0,30,0,30,0,25,0,25,0,0,30,0,30,0,30,0,30,0,30,0,27,0,30,0,25,0,27,0,25,0,30,0,30,0,25,0,30,0,30,0,30,0,30,0,24,0,25,0,30,0,25,0,27,0,30,0,2,29,0,28,0,29,0,29,0,30,0,29,0,30,0,30,22,7,5,22,7,21,28,23,6,23,6,0,28,1,29,0,0,30,0,30,1,29,0,30,0,30,0,30,0,30,2,7,1,30,0,30,2,6,1,7,0,7,0,28,0,30,0,29,0,30,0,30,0,29,1,7,1,6,0,7,1,7,0,28,0,28,0,6,0,7,13,30,13,14,15,14,15,3,27,2,2,26,2,14,4,13,15,26,13,28,2,26,2,14,15,0,30,0,30,0,30,0,3,0,4,14,3,0,30,0,0,30,0,30,0,15,0,30,0,30,0,14,0,15,0,30,15,2,0,3,0,15,0,4,0,30,0,15,0,30,2.0
4,6,20,8,20,5,22,21,18,6,22,6,6,21,5,8,0,27,2,25,5,23,6,8,7,6,0,0,30,0,30,0,30,1,26,3,21,5,8,2,22,7,6,3,6,6,5,7,23,3,27,0,8,3,23,2,23,1,22,1,27,1,6,7,8,3,26,1,8,6,7,2,22,3,15,13,14,14,13,16,11,18,10,18,12,17,10,29,10,17,23,6,4,23,5,22,13,24,5,24,5,14,15,12,14,0,1,30,0,30,14,13,0,29,1,17,0,18,0,29,15,6,11,14,1,18,15,5,14,6,15,6,12,15,11,15,1,14,0,15,1,14,0,18,11,6,12,5,11,6,12,6,12,14,11,15,15,5,14,6,12,20,14,17,12,16,14,10,18,12,8,17,10,13,12,13,18,16,16,20,10,18,9,12,16,8,20,8,20,8,30,10,10,9,12,14,12,0,30,0,0,30,9,22,10,18,0,30,0,30,10,17,9,18,10,21,12,10,10,12,8,16,10,12,0,20,0,16,0,22,2.0
