@relation 'Sax dominant'

@attribute o1atMaa numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute destClass {1.0,-1.0}

@data
45,39,51,47,46,49,54,41,47,42,53,41,46,48,46,41,1.0
39,36,54,51,41,54,57,38,42,39,56,37,40,53,41,38,1.0
36,45,45,54,38,57,48,47,39,48,47,46,37,56,38,47,1.0
46,31,59,40,50,45,62,33,51,34,61,33,50,44,50,33,1.0
36,45,45,54,38,57,48,47,39,48,47,46,37,56,38,47,1.0
35,44,46,55,37,58,49,46,38,47,48,46,37,57,37,46,1.0
49,32,58,43,50,45,61,34,51,35,60,34,50,44,50,34,1.0
36,51,39,54,37,57,42,52,39,54,41,53,38,56,38,53,1.0
36,45,45,54,38,57,48,47,39,48,47,46,37,56,38,47,1.0
51,37,53,39,53,42,56,39,54,40,55,37,51,41,53,39,1.0
33,55,35,57,35,60,38,57,36,58,37,55,33,59,35,57,1.0
40,42,48,50,42,53,51,44,43,45,50,43,41,52,42,44,1.0
20,13,79,70,22,73,81,14,23,15,80,14,22,72,22,14,1.0
37,27,63,53,39,56,66,29,40,30,65,28,38,55,39,29,1.0
37,50,40,53,39,56,43,52,40,53,42,51,38,55,39,52,1.0
34,53,37,56,36,59,40,55,37,56,39,54,35,58,36,55,1.0
37,52,38,53,37,56,41,52,40,55,40,53,38,55,39,54,1.0
44,37,53,48,45,50,56,39,46,40,55,39,45,49,45,39,1.0
0,0,90,94,1,95,93,3,1,3,92,2,0,94,0,2,1.0
23,14,78,67,25,70,80,15,26,16,79,14,24,69,25,15,1.0
34,26,64,56,35,59,67,27,37,29,66,28,36,58,36,28,1.0
39,45,45,53,39,55,48,46,41,48,47,47,40,54,40,47,-1.0
43,19,71,47,46,50,74,22,46,22,73,20,44,49,45,21,-1.0
35,52,38,55,36,58,41,53,38,55,40,54,37,57,37,54,1.0
44,45,45,46,45,49,48,46,47,48,47,45,44,48,46,47,-1.0
39,36,54,51,41,54,57,38,42,39,56,38,41,53,41,38,1.0
31,14,76,59,33,62,79,16,34,17,78,15,32,61,33,16,1.0
38,44,46,52,40,55,49,46,41,47,48,46,40,54,40,46,1.0
37,32,58,53,39,56,61,34,40,35,60,33,38,55,39,34,1.0
51,38,52,39,52,42,55,39,54,41,54,38,51,41,53,40,1.0
11,0,90,75,16,80,93,3,16,3,92,2,15,79,15,2,1.0
44,43,47,46,46,49,50,45,47,46,49,44,45,48,46,45,-1.0
43,38,52,49,44,51,55,40,45,41,54,39,43,50,44,40,1.0
29,57,33,61,31,64,36,59,32,60,35,58,30,63,31,59,1.0
28,6,86,62,29,65,88,6,31,8,87,7,30,64,30,7,1.0
51,29,61,41,52,43,64,31,53,32,63,31,52,42,52,31,1.0
47,40,50,43,48,46,53,41,50,43,52,42,49,45,49,42,1.0
31,7,85,59,32,62,87,7,34,9,86,7,32,61,33,8,1.0
34,47,43,56,35,59,46,48,37,50,45,49,36,58,36,49,1.0
44,44,46,46,45,49,49,45,47,47,48,45,45,48,46,46,-1.0
21,13,79,69,23,72,81,14,24,15,80,14,23,71,23,14,1.0
36,43,47,54,38,57,50,45,39,46,49,45,38,56,38,45,1.0
43,43,47,47,45,50,50,45,46,46,49,45,45,49,45,45,-1.0
45,39,51,47,46,49,54,41,47,42,53,40,45,48,46,41,1.0
0,1,89,94,1,95,92,4,1,4,91,3,0,94,0,3,1.0
37,45,45,53,38,56,48,46,40,48,47,46,38,55,39,47,1.0
51,35,55,39,53,42,58,37,54,38,57,37,53,41,53,37,1.0
31,50,42,59,33,62,44,51,34,52,43,51,33,61,33,51,1.0
36,45,45,54,38,57,48,47,39,48,47,47,38,56,38,47,1.0
37,32,58,53,39,56,61,34,40,35,60,33,38,55,39,34,1.0
36,52,38,54,37,57,41,53,39,55,40,53,37,56,38,54,1.0
31,10,80,59,33,62,83,12,34,13,82,11,32,61,33,12,1.0
38,33,57,52,39,55,60,34,41,36,59,35,40,54,40,35,1.0
36,31,59,54,38,57,62,33,39,34,61,32,37,56,38,33,1.0
25,12,80,65,27,68,82,13,28,14,81,12,26,67,27,13,1.0
21,14,78,69,23,72,80,15,24,16,79,14,22,71,23,15,1.0
51,38,52,39,52,42,55,39,54,41,54,38,51,41,53,40,1.0
36,31,59,54,37,57,62,32,39,34,61,33,38,56,38,33,1.0
39,43,47,51,40,54,50,44,42,46,49,45,41,53,41,45,1.0
35,54,36,55,36,58,39,55,38,57,38,54,35,57,37,56,1.0
50,36,54,42,51,44,57,38,52,39,56,38,51,43,51,38,1.0
40,7,85,50,42,53,87,8,43,9,86,7,41,52,42,8,-1.0
36,53,37,54,37,57,40,54,39,56,39,53,36,56,38,55,1.0
38,36,54,52,39,55,57,37,41,39,56,38,40,54,40,38,1.0
34,55,35,56,34,59,38,55,37,58,37,56,35,58,36,57,1.0
34,54,36,56,36,59,39,56,37,57,38,54,34,58,36,56,1.0
47,39,51,45,48,47,54,41,49,42,53,41,48,46,48,41,1.0
38,44,46,52,39,55,49,45,41,47,48,46,40,54,40,46,1.0
50,0,90,40,53,43,93,3,53,3,92,2,52,42,52,2,1.0
34,54,36,56,34,59,39,54,37,57,38,56,36,58,36,56,1.0
41,39,51,49,43,52,54,41,44,42,53,40,42,51,43,41,1.0
33,55,35,57,33,60,38,55,36,58,37,57,35,59,35,57,1.0
47,39,51,43,49,46,54,41,50,42,53,41,49,45,49,41,1.0
23,14,78,67,25,70,80,15,26,16,79,14,24,69,25,15,1.0
45,41,49,47,46,49,52,43,47,44,51,43,46,48,46,43,1.0
36,45,45,54,37,57,48,46,39,48,47,47,38,56,38,47,1.0
43,39,51,49,43,51,54,40,45,42,53,41,44,50,44,41,1.0
0,0,92,94,1,95,94,2,1,2,93,1,0,94,0,1,1.0
36,30,60,54,38,57,63,32,39,33,62,32,38,56,38,32,1.0
0,1,89,94,1,95,92,4,1,4,91,3,0,94,0,3,1.0
39,30,60,51,40,54,63,31,42,33,62,32,41,53,41,32,1.0
35,9,83,55,37,58,85,10,38,11,84,10,37,57,37,10,-1.0
38,29,59,54,39,56,63,32,40,33,62,32,39,55,39,32,-1.0
33,23,67,57,34,60,70,24,36,26,69,25,35,59,35,25,1.0
34,26,64,56,35,59,67,27,37,29,66,28,36,58,36,28,1.0
38,36,54,52,40,55,57,38,41,39,56,37,39,54,40,38,1.0
39,34,56,51,40,54,59,35,42,37,58,36,41,53,41,36,1.0
34,10,82,56,36,59,84,11,37,12,83,11,36,58,36,11,-1.0
44,45,45,46,44,49,48,45,47,48,47,46,45,48,46,47,-1.0
29,13,79,61,31,64,81,14,32,15,80,14,31,63,31,14,1.0
51,31,59,41,51,43,62,32,53,34,61,33,52,42,52,33,1.0
0,2,88,94,1,95,91,5,1,5,90,4,0,94,0,4,1.0
38,50,40,52,39,55,43,51,41,53,42,51,39,54,40,52,1.0
50,37,53,40,52,43,56,39,53,40,55,38,51,42,52,39,1.0
45,41,49,47,45,49,52,42,47,44,51,43,46,48,46,43,1.0
27,12,80,63,29,66,82,13,30,14,81,12,28,65,29,13,1.0
44,43,47,46,46,49,50,45,47,46,49,44,45,48,46,45,-1.0
23,10,82,67,25,70,84,11,26,12,83,11,25,69,25,11,1.0
43,45,45,47,44,50,48,46,46,48,47,46,44,49,45,47,-1.0
22,13,79,68,24,71,81,14,25,15,80,13,23,70,24,14,1.0
46,39,51,46,47,48,54,41,48,42,53,41,47,47,47,41,1.0
49,39,51,41,51,44,54,41,52,42,53,39,49,43,51,41,1.0
36,46,44,54,37,57,47,47,39,49,46,47,37,56,38,48,1.0
34,24,66,56,35,59,69,25,37,27,68,25,35,58,36,26,1.0
31,50,40,59,33,62,43,52,34,53,42,51,32,61,33,52,1.0
31,50,40,59,33,62,43,52,34,53,42,52,33,61,33,52,1.0
9,1,89,77,14,82,92,4,14,4,91,2,12,81,13,3,1.0
35,30,60,55,37,58,63,32,38,33,62,31,36,57,37,32,1.0
47,39,51,45,47,47,54,40,49,42,53,41,48,46,48,41,1.0
31,10,80,59,32,62,83,11,34,13,82,12,33,61,33,12,1.0
24,12,80,66,26,69,82,13,27,14,81,13,26,68,26,13,1.0
39,44,46,51,40,54,49,45,42,47,48,45,40,53,41,46,1.0
37,46,44,53,38,56,47,47,40,49,46,47,38,55,39,48,1.0
38,48,42,52,40,55,45,50,41,51,44,50,40,54,40,50,1.0
0,0,90,94,1,95,93,3,1,3,92,2,0,94,0,2,1.0
39,50,40,51,39,54,43,50,42,53,42,51,40,53,41,52,1.0
41,41,49,49,42,52,52,42,44,44,51,43,43,51,43,43,1.0
44,42,48,46,45,49,51,43,47,45,50,44,46,48,46,44,-1.0
30,11,81,60,32,63,83,12,33,13,82,11,31,62,32,12,1.0
43,44,46,47,45,50,49,46,46,47,48,45,44,49,45,46,-1.0
49,31,59,43,50,45,62,33,51,34,61,33,50,44,50,33,1.0
47,42,48,43,48,46,51,43,50,45,50,42,47,45,49,44,1.0
44,40,50,48,44,50,53,41,46,43,52,42,45,49,45,42,1.0
36,51,39,54,37,57,42,52,39,54,41,53,38,56,38,53,1.0
51,39,51,39,51,42,54,39,54,42,53,39,51,41,53,41,1.0
38,43,47,52,39,55,50,44,41,46,49,44,39,54,40,45,1.0
0,0,90,94,1,95,93,3,1,3,92,2,0,94,0,2,1.0
26,12,80,64,28,67,82,13,29,14,81,13,28,66,28,13,1.0
37,45,45,53,38,56,48,46,40,48,47,47,39,55,39,47,1.0
24,13,79,66,26,69,81,14,27,15,80,13,25,68,26,14,1.0
49,40,50,41,49,44,53,40,52,43,52,41,50,43,51,42,1.0
43,45,45,47,44,50,48,46,46,48,47,46,44,49,45,47,1.0
36,45,45,54,38,57,48,47,39,48,47,46,37,56,38,47,1.0
51,36,54,39,52,42,57,37,54,39,56,37,52,41,53,38,1.0
35,28,62,55,37,58,65,30,38,31,64,29,36,57,37,30,1.0
35,52,38,55,37,58,41,54,38,55,40,53,36,57,37,54,1.0
39,43,47,51,40,54,50,44,42,46,49,45,41,53,41,45,1.0
31,7,85,59,32,62,87,7,34,9,86,7,32,61,33,8,1.0
0,1,89,94,1,95,92,4,1,4,91,3,0,94,0,3,1.0
32,56,34,58,33,61,37,57,35,59,36,57,33,60,34,58,1.0
36,45,45,54,38,57,48,47,39,48,47,46,37,56,38,47,1.0
33,23,67,57,35,60,70,25,36,26,69,24,34,59,35,25,1.0
49,38,52,41,51,44,55,40,52,41,54,39,50,43,51,40,1.0
37,44,46,53,38,56,49,45,40,47,48,46,39,55,39,46,1.0
45,36,54,47,46,49,57,38,47,39,56,38,46,48,46,38,1.0
37,32,58,53,39,56,61,34,40,35,60,33,38,55,39,34,1.0
0,1,89,94,1,95,92,4,1,4,91,3,0,94,0,3,1.0
39,50,40,51,39,54,43,50,42,53,42,51,40,53,41,52,1.0
35,11,81,55,37,58,83,12,38,13,82,12,37,57,37,12,1.0
37,46,44,53,37,56,47,46,40,49,46,47,38,55,39,48,1.0
30,51,41,60,32,63,43,52,33,53,42,52,32,62,32,52,1.0
44,43,47,46,46,49,50,45,47,46,49,44,45,48,46,45,-1.0
22,13,79,68,24,71,81,14,25,15,80,13,23,70,24,14,1.0
49,2,84,41,52,44,89,7,52,7,88,4,49,43,51,6,1.0
30,7,85,60,31,63,87,7,33,9,86,8,32,62,32,8,1.0
43,37,51,49,43,51,55,39,45,41,54,40,44,50,44,40,1.0
46,40,50,46,46,48,53,41,48,43,52,41,46,47,47,42,1.0
39,44,46,51,41,54,49,46,42,47,48,45,40,53,41,46,-1.0
39,42,48,51,41,54,51,44,42,45,50,44,41,53,41,44,1.0
48,40,50,42,50,45,53,42,51,43,52,40,48,44,50,42,1.0
36,33,57,54,37,57,60,34,39,36,59,35,38,56,38,35,1.0
33,29,61,51,38,57,64,31,39,32,63,31,38,56,38,31,1.0
49,32,58,43,50,45,61,34,51,35,60,34,50,44,50,34,1.0
25,10,82,65,27,68,84,11,28,12,83,11,27,67,27,11,1.0
38,31,59,52,40,55,62,33,41,34,61,32,39,54,40,33,1.0
36,50,40,54,38,57,43,52,39,53,42,52,38,56,38,52,1.0
51,37,53,39,53,42,56,39,54,40,55,37,51,41,53,39,1.0
36,45,45,54,38,57,48,47,39,48,47,47,38,56,38,47,1.0
44,44,46,46,45,49,49,45,47,47,48,45,45,48,46,46,-1.0
31,15,75,59,33,62,78,17,34,18,77,16,32,61,33,17,1.0
45,39,51,47,46,49,54,41,47,42,53,41,46,48,46,41,1.0
20,13,79,70,22,73,81,14,23,15,80,14,22,72,22,14,1.0
52,34,56,36,55,40,59,36,56,37,58,34,53,39,55,36,1.0
24,12,80,66,26,69,82,13,27,14,81,13,26,68,26,13,1.0
29,58,32,61,31,64,35,60,32,61,34,59,30,63,31,60,1.0
37,10,82,53,39,56,84,11,40,12,83,11,39,55,39,11,-1.0
42,40,50,50,42,52,53,41,44,43,52,42,43,51,43,42,1.0
35,47,43,55,36,58,46,48,38,50,45,49,37,57,37,49,1.0
37,50,40,53,38,56,43,51,40,53,42,52,39,55,39,52,1.0
44,41,49,48,45,50,52,43,46,44,51,43,45,49,45,43,1.0
35,30,60,55,37,58,63,32,38,33,62,31,36,57,37,32,1.0
43,39,51,49,43,51,54,40,45,42,53,41,44,50,44,41,1.0
42,44,46,48,44,51,49,46,45,47,48,46,44,50,44,46,-1.0
38,43,47,52,40,55,50,45,41,46,49,45,40,54,40,45,1.0
42,44,46,48,44,51,49,46,45,47,48,46,44,50,44,46,-1.0
28,11,81,62,30,65,83,12,31,13,82,11,29,64,30,12,1.0
30,10,82,60,32,63,84,11,33,12,83,11,32,62,32,11,1.0
0,1,89,94,1,95,92,4,1,4,91,3,0,94,0,3,1.0
0,1,89,94,1,95,92,4,1,4,91,3,0,94,0,3,1.0
36,32,58,54,38,57,61,34,39,35,60,33,37,56,38,34,1.0
53,33,57,37,55,40,60,35,56,36,59,35,55,39,55,35,1.0
27,12,80,63,29,66,82,13,30,14,81,12,28,65,29,13,1.0
31,11,81,59,33,62,83,12,34,13,82,11,32,61,33,12,1.0
36,45,45,54,38,57,48,47,39,48,47,47,38,56,38,47,1.0
23,14,78,67,25,70,80,15,26,16,79,15,25,69,25,15,1.0
23,12,80,67,25,70,82,13,26,14,81,13,25,69,25,13,1.0
37,32,58,53,39,56,61,34,40,35,60,33,38,55,39,34,1.0
20,14,78,70,22,73,80,15,23,16,79,14,21,72,22,15,1.0
45,36,54,47,46,49,57,38,47,39,56,37,45,48,46,38,1.0
52,33,55,38,53,41,59,35,55,37,58,35,53,40,54,36,1.0
49,36,54,39,52,43,57,38,53,39,56,37,51,42,52,38,1.0
44,39,51,48,44,50,54,40,46,42,53,41,45,49,45,41,1.0
0,1,89,94,1,95,92,4,1,4,91,3,0,94,0,3,1.0
0,0,90,94,1,95,93,3,1,3,92,2,0,94,0,2,1.0
44,40,48,48,44,50,52,42,46,44,51,42,44,49,45,43,1.0
43,44,46,47,44,50,49,45,46,47,48,46,45,49,45,46,-1.0
0,1,89,94,1,95,92,4,1,4,91,3,0,94,0,3,1.0
28,11,81,62,30,65,83,12,31,13,82,11,29,64,30,12,1.0
48,40,50,44,48,46,53,41,50,43,52,41,48,45,49,42,1.0
38,35,55,52,40,55,58,37,41,38,57,36,39,54,40,37,1.0
51,30,60,41,51,43,63,31,53,33,62,32,52,42,52,32,1.0
39,23,71,53,41,55,72,24,41,24,71,23,40,54,40,23,-1.0
0,1,89,94,1,95,92,4,1,4,91,3,0,94,0,3,1.0
36,45,45,54,38,57,48,47,39,48,47,47,38,56,38,47,1.0
37,50,40,53,38,56,43,51,40,53,42,52,39,55,39,52,1.0
44,39,53,46,46,49,55,40,47,41,54,39,45,48,46,40,-1.0
27,10,82,63,29,66,84,11,30,12,83,11,29,65,29,11,1.0
0,1,89,94,1,95,92,4,1,4,91,3,0,94,0,3,1.0
36,52,38,54,38,57,41,54,39,55,40,52,36,56,38,54,1.0
43,39,51,47,45,50,54,41,46,42,53,41,45,49,45,41,-1.0
55,34,56,35,56,38,59,35,58,37,58,34,55,37,57,36,1.0
37,52,38,53,38,56,41,53,40,55,40,52,37,55,39,54,1.0
29,10,82,61,31,64,84,11,32,12,83,11,31,63,31,11,1.0
35,27,63,55,36,58,66,28,38,30,65,29,37,57,37,29,1.0
37,50,40,53,38,56,43,51,40,53,42,52,39,55,39,52,1.0
38,35,55,52,40,55,58,37,41,38,57,37,40,54,40,37,1.0
46,39,51,46,47,48,54,41,48,42,53,41,47,47,47,41,1.0
38,49,41,52,40,55,44,51,41,52,43,50,39,54,40,51,1.0
49,39,51,41,51,44,54,41,52,42,53,39,49,43,51,41,1.0
39,35,55,51,41,54,58,37,42,38,57,37,41,53,41,37,1.0
43,39,51,47,45,50,54,41,46,42,53,41,45,49,45,41,-1.0
45,39,51,47,45,49,54,40,47,42,53,41,46,48,46,41,1.0
0,1,89,94,1,95,92,4,1,4,91,3,0,94,0,3,1.0
43,38,52,49,44,51,55,40,45,41,54,40,44,50,44,40,1.0
51,37,53,39,52,42,56,38,54,40,55,38,52,41,53,39,1.0
38,50,40,52,38,55,43,50,41,53,42,52,40,54,40,52,1.0
42,37,51,50,43,52,55,40,44,41,54,40,43,51,43,40,1.0
36,52,38,54,37,57,41,53,39,55,40,53,37,56,38,54,1.0
33,19,71,57,35,60,74,21,36,22,73,21,35,59,35,21,1.0
28,11,81,62,30,65,83,12,31,13,82,11,29,64,30,12,1.0
37,33,57,53,39,56,60,35,40,36,59,34,38,55,39,35,1.0
37,51,39,53,38,56,42,52,40,54,41,52,38,55,39,53,1.0
36,52,38,54,37,57,41,53,39,55,40,53,37,56,38,54,1.0
46,41,49,46,46,48,52,42,48,44,51,42,46,47,47,43,1.0
47,39,51,45,48,47,54,41,49,42,53,41,48,46,48,41,1.0
36,28,62,54,37,57,65,29,39,31,64,29,37,56,38,30,1.0
36,52,38,54,37,57,41,53,39,55,40,53,37,56,38,54,1.0
48,32,58,44,49,46,61,34,50,35,60,34,49,45,49,34,1.0
45,36,54,45,47,48,57,38,48,39,56,37,46,47,47,38,1.0
48,33,57,44,49,46,60,35,50,36,59,35,49,45,49,35,1.0
29,11,81,61,30,64,83,11,32,13,82,11,30,63,31,12,1.0
35,30,60,55,37,58,63,32,38,33,62,31,36,57,37,32,1.0
50,2,86,40,53,43,90,6,53,6,89,4,51,42,52,5,1.0
25,13,79,65,27,68,81,14,28,15,80,13,26,67,27,14,1.0
2,0,90,88,5,91,93,3,5,3,92,2,4,90,4,2,1.0
44,39,51,48,45,50,54,41,46,42,53,40,44,49,45,41,1.0
50,37,53,40,52,43,56,39,53,40,55,38,51,42,52,39,1.0
25,13,79,65,27,68,81,14,28,15,80,13,26,67,27,14,1.0
34,27,63,56,36,59,66,29,37,30,65,28,35,58,36,29,1.0
45,41,49,47,46,49,52,43,47,44,51,43,46,48,46,43,1.0
30,11,81,60,32,63,83,12,33,13,82,11,31,62,32,12,1.0
38,42,48,52,39,55,51,43,41,45,50,44,40,54,40,44,1.0
43,45,45,47,44,50,48,46,46,48,47,46,44,49,45,47,-1.0
44,39,51,48,45,50,54,41,46,42,53,41,45,49,45,41,1.0
0,1,91,94,1,95,93,3,1,3,92,2,0,94,0,2,1.0
31,56,34,59,32,62,37,57,34,59,36,58,33,61,33,58,1.0
0,0,90,94,1,95,93,3,1,3,92,2,0,94,0,2,1.0
23,12,80,67,25,70,82,13,26,14,81,13,25,69,25,13,1.0
34,46,44,56,36,59,47,48,37,49,46,48,36,58,36,48,1.0
40,47,43,50,41,53,46,48,43,50,45,49,42,52,42,49,1.0
29,10,82,61,31,64,84,11,32,12,83,11,31,63,31,11,1.0
28,13,79,62,30,65,81,14,31,15,80,13,29,64,30,14,1.0
43,46,44,47,44,50,47,47,46,49,46,46,43,49,45,48,-1.0
50,38,52,40,51,43,55,39,53,41,54,39,51,42,52,40,1.0
35,54,36,55,36,58,39,55,38,57,38,54,35,57,37,56,1.0
45,43,47,45,46,48,50,44,48,46,49,44,46,47,47,45,1.0
37,50,40,53,39,56,43,52,40,53,42,51,38,55,39,52,1.0
34,53,37,56,35,59,40,54,37,56,39,55,36,58,36,55,1.0
35,26,64,55,37,58,67,28,38,29,66,27,36,57,37,28,1.0
38,48,42,52,40,55,45,50,41,51,44,50,40,54,40,50,1.0
44,39,51,48,45,50,54,41,46,42,53,41,45,49,45,41,1.0
43,39,51,49,43,51,54,40,45,42,53,40,43,50,44,41,1.0
38,43,47,52,40,55,50,45,41,46,49,44,39,54,40,45,1.0
38,44,46,52,40,55,49,46,41,47,48,45,39,54,40,46,1.0
32,18,72,58,34,61,75,20,35,21,74,20,34,60,34,20,1.0
37,49,41,53,39,56,44,51,40,52,43,51,39,55,39,51,1.0
36,29,61,54,37,57,64,30,39,32,63,31,38,56,38,31,1.0
52,36,54,38,53,41,57,37,55,39,56,37,53,40,54,38,1.0
37,45,45,53,38,56,48,46,40,48,47,46,38,55,39,47,1.0
36,29,61,54,37,57,64,30,39,32,63,31,38,56,38,31,1.0
48,2,88,42,51,45,91,5,51,5,90,3,49,44,50,4,1.0
36,28,62,54,38,57,65,30,39,31,64,30,38,56,38,30,1.0
32,48,42,58,34,61,45,50,35,51,44,50,34,60,34,50,1.0
33,20,70,57,35,60,73,22,36,23,72,21,34,59,35,22,1.0
47,39,51,45,47,47,54,40,49,42,53,41,48,46,48,41,1.0
36,21,69,54,37,57,72,22,39,24,71,23,38,56,38,23,1.0
35,31,59,55,36,58,62,32,38,34,61,33,37,57,37,33,1.0
34,11,81,56,36,59,83,12,37,13,82,11,35,58,36,12,-1.0
24,0,90,66,27,69,93,3,27,3,92,1,25,68,26,2,-1.0
34,18,72,56,35,59,75,19,37,21,74,20,36,58,36,20,1.0
35,45,45,55,37,58,48,47,38,48,47,46,36,57,37,47,1.0
28,11,81,62,30,65,83,12,31,13,82,11,29,64,30,12,1.0
35,29,61,55,36,58,64,30,38,32,63,30,36,57,37,31,1.0
29,11,81,61,31,64,83,12,32,13,82,11,30,63,31,12,1.0
39,47,43,51,41,54,46,49,42,50,45,49,41,53,41,49,1.0
36,28,62,54,37,57,65,29,39,31,64,29,37,56,38,30,1.0
47,39,51,45,48,47,54,41,49,42,53,40,47,46,48,41,1.0
41,36,54,49,42,52,57,37,44,39,56,37,42,51,43,38,1.0
61,26,64,29,63,32,67,28,64,29,66,27,62,31,63,28,-1.0
43,32,58,43,46,48,61,33,48,35,60,33,46,47,47,34,1.0
36,45,45,54,38,57,48,47,39,48,47,47,38,56,38,47,1.0
44,44,46,46,44,49,49,44,47,47,48,46,46,48,46,46,1.0
47,35,55,43,49,46,58,37,50,38,57,37,49,45,49,37,-1.0
50,37,53,40,51,43,56,38,53,40,55,39,52,42,52,39,1.0
30,11,81,60,32,63,83,12,33,13,82,11,31,62,32,12,1.0
31,10,82,59,33,62,84,11,34,12,83,11,33,61,33,11,1.0
19,13,79,71,21,74,81,14,22,15,80,14,21,73,21,14,1.0
26,13,79,64,28,67,81,14,29,15,80,13,27,66,28,14,1.0
36,45,45,54,37,57,48,46,39,48,47,47,38,56,38,47,1.0
38,35,53,54,39,56,57,38,40,39,56,38,39,55,39,38,-1.0
41,35,55,49,43,52,58,37,44,38,57,36,42,51,43,37,1.0
33,48,42,57,35,60,45,50,36,51,44,49,34,59,35,50,1.0
48,39,51,42,50,45,54,41,51,42,53,40,49,44,50,41,1.0
29,11,81,61,31,64,83,12,32,13,82,12,31,63,31,12,1.0
29,11,81,61,31,64,83,12,32,13,82,11,30,63,31,12,1.0
40,37,53,50,41,53,56,38,43,40,55,38,41,52,42,39,1.0
31,14,76,59,33,62,79,16,34,17,78,15,32,61,33,16,1.0
22,13,79,68,24,71,81,14,25,15,80,14,24,70,24,14,1.0
44,44,46,46,45,49,49,45,47,47,48,45,45,48,46,46,-1.0
31,18,72,59,32,62,75,19,34,21,74,19,32,61,33,20,1.0
50,39,51,40,51,43,54,40,53,42,53,39,50,42,52,41,1.0
39,44,46,53,40,55,49,46,41,47,48,46,40,54,40,46,-1.0
0,0,90,94,1,95,93,3,1,3,92,2,0,94,0,2,1.0
46,36,54,46,46,48,57,37,48,39,56,38,47,47,47,38,1.0
46,38,50,44,47,47,54,40,49,42,53,39,46,46,48,41,1.0
43,46,44,47,44,50,47,47,46,49,46,46,43,49,45,48,1.0
37,8,84,53,39,56,86,9,40,10,85,8,38,55,39,9,-1.0
27,11,81,63,29,66,83,12,30,13,82,11,28,65,29,12,1.0
29,10,82,61,31,64,84,11,32,12,83,11,31,63,31,11,1.0
36,52,38,54,36,57,41,52,39,55,40,54,38,56,38,54,1.0
44,37,53,48,45,50,56,39,46,40,55,39,45,49,45,39,1.0
34,47,43,56,36,59,46,49,37,50,45,48,35,58,36,49,1.0
44,41,49,48,45,50,52,43,46,44,51,43,45,49,45,43,1.0
37,9,83,53,39,56,85,10,40,11,84,9,38,55,39,10,-1.0
37,43,47,53,39,56,50,45,40,46,49,45,39,55,39,45,1.0
38,51,39,52,39,55,42,52,41,54,41,51,38,54,40,53,1.0
23,13,79,67,25,70,81,14,26,15,80,14,25,69,25,14,1.0
39,42,48,51,41,54,51,44,42,45,50,44,41,53,41,44,1.0
31,50,40,59,32,62,43,51,34,53,42,52,33,61,33,52,1.0
0,1,89,94,1,95,92,4,1,4,91,3,0,94,0,3,1.0
25,13,79,65,27,68,81,14,28,15,80,14,27,67,27,14,1.0
20,13,79,70,22,73,81,14,23,15,80,14,22,72,22,14,1.0
39,42,48,51,40,54,51,43,42,45,50,44,41,53,41,44,1.0
39,36,54,51,41,54,57,38,42,39,56,37,40,53,41,38,1.0
38,35,55,52,40,55,58,37,41,38,57,36,39,54,40,37,1.0
26,13,79,64,28,67,81,14,29,15,80,13,27,66,28,14,1.0
45,41,49,47,46,49,52,43,47,44,51,43,46,48,46,43,1.0
45,37,53,47,45,49,56,38,47,40,55,39,46,48,46,39,1.0
38,48,42,52,40,55,45,50,41,51,44,50,40,54,40,50,-1.0
8,2,88,74,15,81,91,5,15,5,90,4,14,80,14,4,1.0
23,12,80,67,25,70,82,13,26,14,81,13,25,69,25,13,1.0
36,45,45,54,38,57,48,47,39,48,47,47,38,56,38,47,1.0
31,11,81,59,33,62,83,12,34,13,82,12,33,61,33,12,1.0
39,43,47,53,39,55,50,44,41,46,49,45,40,54,40,45,-1.0
45,41,49,47,46,49,52,43,47,44,51,43,46,48,46,43,1.0
37,46,44,53,38,56,47,47,40,49,46,48,39,55,39,48,1.0
51,37,53,39,53,42,56,39,54,40,55,37,51,41,53,39,1.0
50,37,53,40,52,43,56,39,53,40,55,38,51,42,52,39,1.0
51,31,59,41,52,43,62,33,53,34,61,32,51,42,52,33,1.0
53,34,56,37,55,40,59,36,56,37,58,35,54,39,55,36,1.0
35,28,62,55,37,58,65,30,38,31,64,29,36,57,37,30,1.0
44,38,52,48,44,50,55,39,46,41,54,40,45,49,45,40,1.0
39,50,40,51,40,54,43,51,42,53,42,50,39,53,41,52,1.0
38,44,46,52,39,55,49,45,41,47,48,45,39,54,40,46,1.0
27,12,80,63,29,66,82,13,30,14,81,13,29,65,29,13,1.0
31,58,32,59,32,62,35,59,34,61,34,58,31,61,33,60,1.0
43,44,46,47,45,50,49,46,46,47,48,45,44,49,45,46,-1.0
35,29,61,55,36,58,64,30,38,32,63,31,37,57,37,31,1.0
34,54,36,56,34,59,39,54,37,57,38,56,36,58,36,56,1.0
48,40,50,42,50,45,53,42,51,43,52,40,48,44,50,42,1.0
