@relation 'Sax dominant'

@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atLee numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute destClass {2.0,3.0,7.0,6.0,4.0,5.0,1.0}

@data
59,53,38,70,21,72,32,21,23,72,40,55,61,34,73,22,40,55,23,72,73,22,61,34,61,22,40,34,23,55,4.0
55,54,37,79,14,70,36,23,15,80,39,56,57,38,71,24,39,56,15,80,71,24,57,38,57,24,39,38,15,56,7.0
70,38,53,84,9,77,23,16,10,85,54,40,71,23,78,17,55,40,10,85,78,17,71,24,71,17,55,24,10,40,6.0
49,51,40,72,19,72,43,20,21,74,42,53,51,45,74,22,42,53,21,74,73,21,50,44,51,22,42,45,21,53,2.0
64,50,43,80,11,83,26,10,13,82,44,51,66,28,84,11,44,51,13,82,84,11,67,29,66,11,44,28,13,51,5.0
71,53,36,83,10,78,21,15,11,84,39,56,73,23,79,16,39,56,11,84,79,16,72,22,73,16,39,23,11,56,5.0
66,44,49,85,8,79,26,14,9,86,50,45,67,28,80,14,50,45,9,86,80,15,67,27,68,15,50,28,9,45,5.0
72,36,55,86,7,78,21,15,8,87,57,38,72,22,79,15,57,38,8,87,79,16,73,22,73,16,57,22,8,38,7.0
69,37,54,83,10,77,23,16,11,84,56,39,71,25,78,17,56,39,11,84,78,17,70,24,71,17,56,25,11,39,4.0
64,46,47,84,9,80,28,13,10,85,48,47,66,30,81,14,48,47,10,85,81,14,65,29,66,14,48,30,10,47,2.0
72,35,55,82,9,78,21,15,11,84,57,38,73,21,79,16,57,37,11,84,79,16,73,22,73,16,58,22,11,38,5.0
67,30,63,86,6,72,26,21,8,88,64,31,68,27,73,22,64,31,7,87,73,22,68,27,68,22,64,27,8,31,2.0
67,47,43,81,12,71,26,22,13,82,46,50,68,27,72,23,45,49,13,82,72,23,68,27,68,23,46,27,13,50,7.0
57,47,46,80,13,71,33,22,14,81,46,48,60,35,72,23,47,48,14,81,72,23,59,35,60,23,47,36,14,48,4.0
68,47,43,75,18,71,25,22,19,76,46,50,69,26,72,23,45,49,19,76,72,23,69,26,69,23,46,26,19,50,6.0
70,33,58,85,8,76,23,17,9,86,59,35,71,23,77,18,60,35,9,86,77,18,71,24,71,18,60,24,9,35,6.0
56,58,33,66,27,69,34,24,28,67,35,60,59,37,70,25,35,60,28,67,70,25,58,36,59,25,35,37,28,60,5.0
67,53,39,71,20,75,25,18,22,73,41,55,69,27,76,19,40,54,22,73,76,19,68,26,69,19,41,27,22,55,6.0
72,45,45,88,5,78,21,15,6,89,48,48,73,22,79,16,47,47,6,89,79,16,73,22,73,16,48,22,6,48,4.0
60,50,39,70,21,71,31,22,23,72,42,53,62,33,72,23,42,53,23,72,72,23,62,33,62,23,42,33,23,53,3.0
63,45,48,80,13,76,30,17,14,81,48,46,64,30,77,18,49,46,14,81,77,18,64,31,64,18,49,31,14,46,5.0
68,42,51,84,9,79,23,14,10,85,52,43,69,25,80,14,52,43,10,85,80,15,70,25,70,15,52,25,10,43,5.0
73,42,46,81,10,77,20,16,12,83,50,46,73,21,78,16,49,45,12,83,78,17,74,21,74,17,50,21,12,46,4.0
55,55,36,76,17,71,36,22,18,77,38,57,57,38,72,23,38,57,18,77,72,23,57,38,57,23,38,38,18,57,4.0
72,28,64,86,7,74,22,20,8,87,66,30,73,23,75,21,65,29,8,87,74,20,72,22,73,21,66,23,8,30,3.0
57,55,36,76,15,72,33,21,17,78,38,57,60,36,73,22,38,57,17,78,73,22,59,35,60,22,38,36,17,57,2.0
70,45,46,78,13,74,23,19,15,80,48,47,71,24,75,20,48,47,15,80,75,20,71,24,71,20,48,24,15,47,3.0
70,28,64,82,11,72,24,22,12,83,66,30,71,25,73,23,65,29,12,83,72,22,70,24,71,23,66,25,12,30,3.0
71,36,54,81,10,76,22,17,12,83,57,39,72,23,77,18,56,38,12,83,77,18,72,23,72,18,57,23,12,39,3.0
65,57,33,76,17,69,28,24,18,77,36,60,66,29,70,25,35,59,18,77,70,25,66,29,66,25,36,29,18,60,3.0
59,47,46,72,19,79,31,14,21,74,47,48,61,34,80,14,47,48,21,74,80,15,61,33,62,15,47,34,21,48,4.0
77,48,43,83,10,84,16,10,11,84,45,50,78,17,85,11,45,50,11,84,84,10,78,17,78,11,45,17,11,50,3.0
67,34,56,83,10,72,26,21,11,84,58,37,68,26,73,22,58,36,11,84,73,22,68,27,68,22,59,27,11,37,7.0
53,51,40,71,20,83,38,10,22,73,41,53,55,39,84,11,42,53,22,73,84,11,55,40,55,11,42,40,22,53,1.0
70,35,56,83,8,77,23,16,10,85,58,37,71,24,78,17,58,37,10,85,78,17,71,24,71,17,58,24,10,37,4.0
54,54,37,76,15,72,36,21,17,78,39,56,57,39,73,22,39,56,17,78,73,22,56,38,57,22,39,39,17,56,4.0
69,30,62,86,7,76,24,17,8,87,63,32,70,24,77,18,63,31,8,87,77,18,70,25,70,18,64,25,8,32,6.0
67,49,42,76,15,75,25,18,17,78,44,51,69,27,76,19,44,51,17,78,76,19,68,26,69,19,44,27,17,51,6.0
69,52,39,84,9,77,23,16,10,85,40,54,71,24,78,17,41,54,10,85,78,17,70,24,71,17,41,25,10,54,5.0
67,46,44,77,16,71,26,22,17,78,47,49,68,27,72,23,46,48,17,78,72,23,68,27,68,23,47,27,17,49,4.0
65,42,51,81,12,72,27,21,13,82,51,43,67,28,73,22,52,43,13,82,73,22,66,28,67,22,52,29,13,43,4.0
58,52,39,67,24,69,33,24,26,69,41,54,60,35,70,25,41,54,26,69,70,25,60,35,60,25,41,35,26,54,2.0
70,53,38,75,16,76,23,17,18,77,40,55,71,24,77,18,40,55,18,77,77,18,71,24,71,18,40,24,18,55,5.0
61,42,51,81,12,81,31,12,13,82,52,43,63,33,82,13,52,43,13,82,82,13,62,32,63,13,52,33,13,43,2.0
71,50,40,73,18,75,22,18,20,75,42,53,72,22,76,19,42,52,20,75,76,19,72,23,72,19,43,23,20,53,2.0
71,44,49,84,9,75,21,18,10,85,50,45,72,23,76,18,50,45,10,85,76,19,72,22,73,19,50,23,10,45,4.0
63,46,47,82,11,81,29,12,12,83,48,47,65,31,82,13,48,47,12,83,82,13,64,30,65,13,48,31,12,47,2.0
71,51,40,82,11,79,21,14,12,83,42,53,73,23,80,15,42,53,12,83,80,15,72,22,73,15,42,23,12,53,5.0
72,35,56,91,2,79,21,14,3,92,58,37,73,22,80,15,58,37,3,92,80,15,73,22,73,15,58,22,3,37,3.0
62,42,49,82,11,72,30,21,12,83,51,44,64,32,73,22,51,44,12,83,73,22,63,31,64,22,51,32,12,44,2.0
59,54,36,71,22,71,32,22,23,72,39,57,61,34,72,23,38,56,23,72,72,23,61,34,61,23,39,34,23,57,4.0
74,36,54,87,6,80,19,13,7,88,57,39,75,20,81,14,56,38,7,88,81,14,75,20,75,14,57,20,7,39,2.0
61,49,45,83,10,82,30,11,11,84,46,50,63,32,83,12,45,49,11,84,83,12,63,32,63,12,46,32,11,50,3.0
63,58,35,79,14,70,27,23,15,80,36,59,66,30,71,24,36,59,15,80,71,24,65,29,66,24,36,30,15,59,1.0
49,58,33,72,19,73,42,20,21,74,35,60,51,44,74,21,35,60,21,74,74,21,51,44,51,21,35,44,21,60,3.0
58,51,40,70,21,71,34,22,23,72,42,53,60,36,72,23,42,53,23,72,72,23,59,35,60,23,42,36,23,53,2.0
67,43,47,78,15,71,26,22,16,79,50,46,68,27,72,23,49,45,16,79,72,23,68,27,68,23,50,27,16,46,7.0
66,42,48,73,18,72,27,21,20,75,50,45,67,27,73,22,50,44,20,75,73,22,67,28,67,22,51,28,20,45,7.0
47,55,36,69,24,76,44,14,25,70,38,57,49,46,79,17,38,57,25,70,78,16,49,46,49,17,38,46,25,57,1.0
73,39,48,80,11,77,20,16,13,82,52,43,74,21,78,17,52,43,13,82,78,17,74,21,74,17,52,21,13,43,3.0
62,53,33,72,19,72,29,21,21,74,38,58,64,31,73,22,37,57,21,74,73,22,64,31,64,22,38,31,21,58,4.0
66,46,47,83,10,79,25,14,11,84,48,47,67,27,80,14,48,47,11,84,80,15,68,27,68,15,48,27,11,47,4.0
68,40,50,78,13,76,25,17,15,80,52,43,69,25,77,18,52,42,15,80,77,18,69,26,69,18,53,26,15,43,7.0
69,54,37,77,16,71,24,22,17,78,39,56,69,25,72,22,39,56,17,78,72,23,70,25,70,23,39,25,17,56,6.0
57,56,35,71,19,79,34,14,22,74,36,58,59,35,80,15,37,58,21,73,80,15,59,36,59,15,37,36,22,58,1.0
54,55,35,80,13,72,37,21,14,81,37,58,56,38,73,22,37,57,14,81,73,22,56,39,56,22,38,39,14,58,7.0
67,57,34,78,15,72,26,20,16,79,35,59,68,26,74,22,36,59,16,79,73,21,68,27,68,22,36,27,16,59,3.0
73,48,42,73,18,78,20,15,20,75,45,51,73,21,79,15,44,50,20,75,79,16,74,21,74,16,45,21,20,51,2.0
69,55,38,75,16,78,23,15,18,77,39,56,71,25,79,16,39,56,18,77,79,16,70,24,71,16,39,25,18,56,6.0
71,44,45,76,15,78,21,15,17,78,48,47,73,23,79,16,48,47,17,78,79,16,72,22,73,16,48,23,17,47,3.0
74,45,49,88,5,79,19,14,6,89,50,46,75,20,80,15,49,45,6,89,80,15,75,20,75,15,50,20,6,46,5.0
69,49,40,83,10,77,23,16,11,84,42,52,71,24,78,17,43,52,11,84,78,17,70,24,71,17,43,25,11,52,5.0
69,51,40,73,18,75,24,18,20,75,42,53,70,25,76,19,42,53,20,75,76,19,70,25,70,19,42,25,20,53,6.0
70,47,42,74,17,75,22,18,19,76,44,50,72,23,76,19,45,50,19,76,76,19,71,23,72,19,45,24,19,50,4.0
75,45,46,81,12,84,18,10,13,82,48,47,76,19,85,11,48,47,13,82,84,10,76,19,76,11,48,19,13,47,1.0
61,46,47,73,18,81,30,12,20,75,48,47,63,32,82,13,48,47,20,75,82,13,63,32,63,13,48,32,20,47,5.0
66,45,48,84,9,81,26,12,10,85,49,46,68,28,82,13,49,46,10,85,82,13,67,27,68,13,49,28,10,46,3.0
67,52,39,78,13,73,25,20,15,80,41,54,69,27,74,21,41,54,15,80,74,21,68,26,69,21,41,27,15,54,6.0
66,48,43,69,21,71,27,22,24,72,45,50,67,28,72,23,45,50,23,71,72,23,67,28,67,23,45,28,24,50,1.0
62,58,33,72,19,72,29,21,21,74,35,60,64,31,73,22,35,60,21,74,73,22,64,31,64,22,35,31,21,60,2.0
69,43,48,82,9,77,24,16,11,84,50,45,70,25,78,17,50,45,11,84,78,17,70,25,70,17,50,25,11,45,5.0
69,53,38,71,20,76,23,17,22,73,40,55,71,25,77,18,40,55,22,73,77,18,70,24,71,18,40,25,22,55,6.0
73,36,56,89,4,79,20,14,5,90,57,38,74,20,80,15,57,37,5,90,80,15,74,21,74,15,58,21,5,38,4.0
72,43,47,80,11,77,20,16,13,82,50,46,74,22,78,17,49,45,13,82,78,17,73,21,74,17,50,22,13,46,3.0
72,28,65,87,6,78,21,15,7,88,66,29,73,22,79,16,66,29,7,88,79,16,73,22,73,16,66,22,7,29,5.0
66,45,46,66,26,69,27,24,28,68,48,47,67,28,70,25,48,47,27,67,70,25,67,28,67,25,48,28,28,47,2.0
75,57,34,80,13,85,18,9,14,81,36,59,76,19,86,10,36,59,14,81,85,9,76,19,76,10,36,19,14,59,1.0
65,34,56,76,15,70,27,23,17,78,59,37,67,29,71,24,58,36,17,78,71,24,66,28,67,24,59,29,17,37,2.0
69,30,62,86,7,73,24,20,8,87,64,32,70,25,74,21,63,31,8,87,74,21,70,25,70,21,64,25,8,32,7.0
68,33,58,88,5,76,25,17,6,89,60,35,68,26,77,17,60,35,6,89,77,18,69,26,69,18,60,26,6,35,6.0
63,40,51,77,14,70,28,23,16,79,53,42,65,30,71,24,53,42,16,79,71,24,65,30,65,24,53,30,16,42,2.0
67,51,40,76,15,77,25,16,17,78,42,53,69,27,78,17,42,53,17,78,78,17,68,26,69,17,42,27,17,53,6.0
74,39,50,89,2,78,19,15,4,91,53,42,75,20,79,16,53,42,4,91,79,16,75,20,75,16,53,20,4,42,2.0
70,40,49,78,13,75,22,18,15,80,52,43,72,24,76,19,52,43,15,80,76,19,71,23,72,19,52,24,15,43,4.0
71,50,39,77,14,77,21,16,16,79,42,53,72,23,78,16,42,53,16,79,78,17,72,22,73,17,42,23,16,53,5.0
66,47,47,83,10,81,25,12,11,84,48,48,68,27,82,13,47,47,11,84,82,13,68,27,68,13,48,27,11,48,3.0
57,55,36,80,13,74,34,19,14,81,38,57,59,36,75,20,38,57,14,81,75,20,59,36,59,20,38,36,14,57,2.0
69,51,40,83,10,75,24,18,11,84,42,53,70,25,76,19,42,53,11,84,76,19,70,25,70,19,42,25,11,53,5.0
49,49,43,71,21,72,43,20,23,73,45,51,51,45,74,22,44,50,22,72,73,21,50,44,51,22,45,45,23,51,1.0
63,53,38,80,13,70,28,20,14,81,39,55,65,29,73,23,40,55,14,81,72,22,65,30,65,23,40,30,14,55,3.0
66,47,46,77,14,76,24,17,16,79,47,48,69,27,77,18,47,48,16,79,77,18,68,26,69,18,47,27,16,48,6.0
72,46,44,73,18,76,21,17,20,75,47,49,73,22,77,18,46,48,20,75,77,18,73,22,73,18,47,22,20,49,2.0
72,42,46,75,16,77,20,16,18,77,50,46,74,22,78,17,49,45,18,77,78,17,73,21,74,17,50,22,18,46,2.0
75,46,43,86,7,80,18,13,8,87,45,49,76,18,81,14,46,49,8,87,81,14,76,19,76,14,46,19,8,49,5.0
66,54,37,66,27,70,27,23,28,67,39,56,67,28,71,24,39,56,28,67,71,24,67,28,67,24,39,28,28,56,5.0
62,50,43,84,9,82,29,11,10,85,44,51,63,31,83,11,44,51,10,85,83,12,64,31,64,12,44,31,10,51,1.0
53,51,40,80,13,71,39,22,14,81,42,53,55,41,72,23,42,53,14,81,72,23,54,40,55,23,42,41,14,53,2.0
59,52,38,75,18,72,32,21,19,76,41,55,61,34,73,22,40,54,19,76,73,22,61,34,61,22,41,34,19,55,5.0
59,55,36,79,14,70,32,23,15,80,38,57,61,34,71,24,38,57,15,80,71,24,61,34,61,24,38,34,15,57,2.0
71,48,43,77,14,75,21,18,16,79,45,50,72,23,76,18,45,50,16,79,76,19,72,22,73,19,45,23,16,50,4.0
68,32,61,85,8,82,25,12,9,86,62,33,69,26,83,13,62,33,9,86,82,12,69,26,69,13,62,26,9,33,4.0
59,50,41,80,13,71,32,22,14,81,43,52,61,34,72,23,43,52,14,81,72,23,61,34,61,23,43,34,14,52,7.0
73,38,50,90,3,78,20,15,4,91,54,42,74,21,79,16,53,41,4,91,79,16,74,21,74,16,54,21,4,42,3.0
64,44,46,73,19,73,27,20,21,75,49,47,66,29,74,21,48,46,20,74,74,21,66,29,66,21,49,29,21,47,4.0
55,62,31,78,15,71,36,22,16,79,31,63,57,37,72,23,32,63,16,79,72,23,57,38,57,23,32,38,16,63,2.0
63,46,47,72,19,79,29,14,21,74,47,47,65,30,80,15,48,47,21,74,80,15,64,30,65,15,48,31,21,47,4.0
69,35,57,86,7,73,24,20,8,87,58,36,70,25,74,21,59,37,8,87,74,21,70,25,70,21,58,25,8,36,7.0
70,46,43,78,13,76,22,17,15,80,46,49,71,24,77,17,46,49,15,80,77,18,71,23,72,18,46,24,15,49,5.0
68,51,39,75,16,77,24,16,18,77,42,54,70,26,78,17,41,53,18,77,78,17,69,25,70,17,42,26,18,54,5.0
68,32,58,79,12,73,25,20,14,81,61,35,69,26,74,21,60,34,14,81,74,21,69,26,69,21,61,26,14,35,7.0
66,55,36,73,20,72,27,21,21,74,38,57,67,28,73,22,38,57,21,74,73,22,67,28,67,22,38,28,21,57,4.0
66,49,40,70,21,71,27,22,23,72,43,52,67,28,72,23,43,52,23,72,72,23,67,28,67,23,43,28,23,52,7.0
43,57,37,65,29,71,49,19,29,65,37,57,44,50,73,21,38,58,30,66,74,22,45,51,44,21,37,50,29,57,1.0
68,29,63,84,9,72,25,21,10,85,65,31,69,26,73,22,64,30,10,85,73,22,69,26,69,22,65,26,10,31,7.0
56,49,44,79,14,71,34,22,15,80,44,50,59,36,72,23,45,50,15,80,72,23,58,36,59,23,45,37,15,50,3.0
69,48,43,84,9,77,23,16,10,85,45,50,71,25,78,17,45,50,10,85,78,17,70,24,71,17,45,25,10,50,6.0
59,57,33,80,13,73,33,20,14,81,35,60,61,34,74,21,35,59,14,81,74,21,60,34,61,21,36,35,14,60,3.0
80,20,72,87,6,82,14,12,7,88,74,22,81,15,83,13,73,21,7,88,82,12,80,14,81,13,74,15,7,22,1.0
73,40,52,86,7,74,21,20,8,87,54,42,74,22,75,21,53,41,8,87,74,20,73,21,74,21,54,22,8,42,3.0
67,43,50,85,8,80,25,12,9,86,51,44,69,27,82,14,51,44,9,86,81,13,68,26,69,14,51,27,9,44,6.0
62,48,45,80,13,80,30,13,14,81,45,49,64,31,81,14,46,49,14,81,81,14,63,31,64,14,46,32,14,49,3.0
45,57,34,78,16,77,46,16,16,78,36,59,47,48,78,17,36,59,17,79,78,17,47,48,47,17,36,48,16,59,1.0
54,46,47,78,15,74,36,19,16,79,48,47,57,39,75,20,48,47,16,79,75,20,56,38,57,20,48,39,16,47,2.0
63,48,43,82,11,73,29,20,12,83,45,50,65,31,74,21,45,50,12,83,74,21,64,30,65,21,45,31,12,50,4.0
62,47,47,85,8,82,29,11,9,86,48,48,64,31,83,12,47,47,9,86,83,12,64,31,64,12,48,31,9,48,5.0
55,46,47,79,14,76,38,17,15,80,48,47,55,39,77,17,48,47,15,80,77,18,56,39,56,18,48,39,15,47,5.0
72,37,55,75,16,76,21,17,18,77,57,39,73,22,77,18,56,38,18,77,77,18,73,22,73,18,57,22,18,39,2.0
69,44,47,85,8,74,24,19,9,86,49,46,70,25,75,20,49,46,9,86,75,20,70,25,70,20,49,25,9,46,6.0
69,49,42,79,12,77,24,16,14,81,44,51,70,25,78,17,44,51,14,81,78,17,70,25,70,17,44,25,14,51,5.0
63,44,49,79,12,80,29,13,14,81,49,45,65,30,81,14,50,45,14,81,81,14,64,30,65,14,50,31,14,45,4.0
70,41,50,84,9,82,23,12,10,85,52,43,71,24,83,13,52,43,10,85,82,12,71,24,71,13,52,24,10,43,5.0
68,47,43,75,18,71,25,22,19,76,46,50,69,26,72,23,45,49,19,76,72,23,69,26,69,23,46,26,19,50,6.0
65,49,40,79,14,70,27,23,15,80,43,52,67,29,71,24,43,52,15,80,71,24,66,28,67,24,43,29,15,52,4.0
65,47,44,76,15,70,27,23,17,78,46,49,67,29,71,24,46,49,17,78,71,24,66,28,67,24,46,29,17,49,2.0
67,42,49,77,14,70,26,23,16,79,51,44,68,27,71,24,51,44,16,79,71,24,68,27,68,24,51,27,16,44,7.0
71,48,42,78,13,79,21,14,15,80,45,51,72,23,80,14,44,50,15,80,80,15,72,22,73,15,45,23,15,51,5.0
73,23,71,85,8,74,21,20,9,86,72,24,74,22,75,21,71,23,9,86,74,20,73,21,74,21,72,22,9,24,1.0
68,29,63,79,12,73,25,20,14,81,65,31,69,26,74,21,64,30,14,81,74,21,69,26,69,21,65,26,14,31,5.0
68,28,65,78,13,72,25,21,15,80,66,29,69,26,73,22,66,29,15,80,73,22,69,26,69,22,66,26,15,29,3.0
67,49,41,78,15,71,26,22,16,79,43,52,68,26,72,23,43,51,16,79,72,23,68,27,68,23,44,27,16,52,7.0
62,46,47,81,12,73,28,20,13,82,48,47,65,31,74,21,48,47,13,82,74,21,64,30,65,21,48,31,13,47,3.0
54,54,37,70,23,71,36,22,24,71,39,56,57,39,72,23,39,56,24,71,72,23,56,38,57,23,39,39,24,56,4.0
69,40,50,73,16,72,24,21,19,76,53,43,70,25,73,22,52,42,19,76,73,22,70,25,70,22,53,25,19,43,3.0
55,56,35,73,20,71,35,22,21,74,36,58,58,37,72,23,37,58,21,74,72,23,57,37,58,23,37,38,21,58,5.0
61,44,49,80,13,72,33,21,14,81,50,45,62,34,73,22,50,45,14,81,73,22,61,33,62,22,50,34,14,45,5.0
74,31,58,88,5,79,19,14,6,89,61,34,75,20,80,15,61,34,6,89,80,15,75,20,75,15,61,20,6,34,2.0
70,40,51,84,9,80,22,13,10,85,52,42,72,23,81,14,53,42,10,85,81,14,71,23,72,14,53,24,10,42,5.0
68,53,38,76,15,76,25,17,17,78,40,55,69,26,77,18,40,55,17,78,77,18,69,26,69,18,40,26,17,55,6.0
58,56,34,75,16,73,33,20,18,77,37,59,60,35,74,21,36,58,18,77,74,21,60,35,60,21,37,35,18,59,3.0
63,47,46,83,10,74,30,19,11,84,47,48,64,31,75,20,47,48,11,84,75,20,64,31,64,20,47,31,11,48,5.0
68,63,28,79,14,73,25,20,15,80,29,65,69,25,74,21,30,65,15,80,74,21,69,26,69,21,30,26,15,65,6.0
73,42,46,81,10,77,20,16,12,83,50,46,73,21,78,16,49,45,12,83,78,17,74,21,74,17,50,21,12,46,4.0
65,40,48,81,11,83,26,10,13,83,52,44,67,28,84,11,51,43,12,82,84,11,67,28,67,11,52,28,13,44,1.0
69,31,61,86,7,72,24,21,8,87,63,33,69,25,73,21,62,32,8,87,73,22,70,25,70,22,63,25,8,33,7.0
55,48,42,72,21,68,35,23,22,73,45,51,58,38,70,25,44,50,22,73,70,25,57,37,58,25,45,38,22,51,1.0
72,42,51,80,11,77,21,16,13,82,52,43,73,22,78,17,52,43,13,82,78,17,73,22,73,17,52,22,13,43,4.0
68,51,39,75,16,77,24,16,18,77,42,54,70,26,78,17,41,53,18,77,78,17,69,25,70,17,42,26,18,54,5.0
67,32,59,85,8,75,26,18,9,86,60,34,68,26,76,19,61,34,9,86,76,19,68,27,68,19,61,27,9,34,6.0
67,44,49,84,9,81,24,12,10,85,49,45,69,25,82,13,50,45,10,85,82,13,69,26,69,13,50,26,10,45,4.0
55,47,46,81,12,75,36,18,13,82,47,48,57,38,76,19,47,48,13,82,76,19,57,38,57,19,47,38,13,48,5.0
63,40,50,83,10,72,29,21,11,84,53,43,65,31,73,22,52,42,11,84,73,22,64,30,65,22,53,31,11,43,4.0
74,42,47,86,7,77,19,16,8,87,50,45,74,20,78,16,50,45,8,87,78,17,75,20,75,17,50,20,8,45,3.0
66,32,60,87,6,71,27,22,7,88,62,34,67,28,72,23,61,33,7,88,72,23,67,28,67,23,62,28,7,34,1.0
71,38,51,85,8,77,21,16,9,86,54,41,73,23,78,17,54,41,9,86,78,17,72,22,73,17,54,23,9,41,2.0
72,42,47,75,16,76,20,17,18,77,50,45,74,22,77,18,50,45,18,77,77,18,73,21,74,18,50,22,18,45,2.0
66,53,36,76,17,73,26,20,18,77,39,56,68,28,74,21,39,56,18,77,74,21,67,27,68,21,39,28,18,56,6.0
68,34,57,82,11,72,25,21,12,83,59,36,69,26,73,22,59,36,12,83,73,22,69,26,69,22,59,26,12,36,4.0
69,47,42,80,13,73,24,20,14,81,45,50,70,25,74,21,45,50,14,81,74,21,70,25,70,21,45,25,14,50,6.0
70,39,52,86,7,73,23,20,8,87,54,41,71,24,74,21,54,41,8,87,74,21,71,24,71,21,54,24,8,41,6.0
73,39,51,80,14,79,20,14,15,81,54,42,74,21,80,15,53,41,14,80,80,15,74,21,74,15,54,21,15,42,2.0
64,44,49,80,11,81,28,12,13,82,50,45,66,30,82,13,50,45,13,82,82,13,65,29,66,13,50,30,13,45,2.0
70,39,52,86,7,73,23,20,8,87,54,41,71,24,74,21,54,41,8,87,74,21,71,24,71,21,54,24,8,41,6.0
60,56,35,84,9,74,31,15,10,85,37,58,61,33,77,17,37,58,10,85,77,18,62,33,62,18,37,33,10,58,1.0
71,45,46,82,9,78,20,15,11,84,48,47,72,22,79,15,48,47,11,84,79,16,73,22,73,16,48,22,11,47,3.0
65,45,49,78,13,75,25,18,15,80,50,46,68,28,76,19,49,45,15,80,76,19,67,27,68,19,50,28,15,46,4.0
72,47,47,73,19,78,21,15,21,75,48,48,73,22,79,16,47,47,20,74,79,16,73,22,73,16,48,22,21,48,4.0
72,46,44,76,15,76,21,17,17,78,47,49,72,22,77,17,46,48,17,78,77,18,73,22,73,18,47,22,17,49,3.0
69,42,51,85,8,76,23,17,9,86,52,43,71,25,77,18,52,43,9,86,77,18,70,24,71,18,52,25,9,43,4.0
72,37,54,83,8,77,21,16,10,85,56,39,73,22,78,17,56,39,10,85,78,17,73,22,73,17,56,22,10,39,4.0
62,47,46,84,9,81,29,12,10,85,47,48,64,31,82,13,47,48,10,85,82,13,64,31,64,13,47,31,10,48,1.0
58,54,36,78,15,71,33,22,16,79,39,57,60,35,72,23,38,56,16,79,72,23,60,35,60,23,39,35,16,57,7.0
70,47,42,74,17,75,22,18,19,76,44,50,72,23,76,19,45,50,19,76,76,19,71,23,72,19,45,24,19,50,4.0
66,56,34,75,16,71,27,22,18,77,37,59,67,28,72,23,36,58,18,77,72,23,67,28,67,23,37,28,18,59,3.0
70,41,51,76,15,75,22,18,17,78,53,43,72,24,76,19,52,42,17,78,76,19,71,23,72,19,53,24,17,43,4.0
69,41,47,77,14,73,24,20,16,79,51,45,70,25,74,21,50,44,16,79,74,21,70,25,70,21,51,25,16,45,5.0
64,43,50,86,7,79,28,14,8,87,50,44,66,29,80,15,51,44,8,87,80,15,65,29,66,15,51,30,8,44,6.0
68,27,67,78,13,69,26,25,15,80,68,28,69,27,70,26,67,27,15,80,69,25,68,26,69,26,68,27,15,28,6.0
67,46,45,78,15,73,25,20,16,79,47,48,69,27,74,21,47,48,16,79,74,21,68,26,69,21,47,27,16,48,3.0
74,37,55,87,6,77,19,16,7,88,57,39,74,20,78,16,56,38,7,88,78,17,75,20,75,17,57,20,7,39,2.0
63,47,46,81,12,75,28,18,13,82,47,48,65,30,76,19,47,48,13,82,76,19,65,30,65,19,47,30,13,48,4.0
60,57,34,73,20,71,31,22,21,74,36,59,62,33,72,23,36,59,21,74,72,23,62,33,62,23,36,33,21,59,4.0
68,37,54,79,12,78,23,15,14,81,56,39,69,25,79,15,56,39,14,81,79,16,70,25,70,16,56,25,14,39,3.0
71,30,63,92,1,77,22,16,2,93,64,31,72,23,78,17,64,31,2,93,78,17,72,23,72,17,64,23,2,31,3.0
71,41,49,77,14,77,22,16,16,79,52,44,72,23,78,17,51,43,16,79,78,17,72,23,72,17,52,23,16,44,4.0
60,49,41,73,18,71,31,22,20,75,44,52,62,33,72,23,43,51,20,75,72,23,62,33,62,23,44,33,20,52,3.0
57,51,40,78,15,73,34,20,16,79,42,53,59,36,74,21,42,53,16,79,74,21,59,36,59,21,42,36,16,53,6.0
68,32,59,84,9,72,25,21,10,85,61,34,69,26,73,22,61,34,10,85,73,22,69,26,69,22,61,26,10,34,6.0
68,29,63,82,11,73,25,20,12,83,65,31,69,26,74,21,64,30,12,83,74,21,69,26,69,21,65,26,12,31,7.0
55,45,48,72,17,75,36,19,20,75,48,46,57,37,76,20,49,46,20,75,75,19,57,38,57,20,49,38,20,46,5.0
71,36,55,84,9,76,21,17,10,85,57,38,72,23,77,17,57,38,10,85,77,18,72,22,73,18,57,23,10,38,4.0
61,42,51,81,12,74,30,19,13,82,52,43,62,32,75,19,52,43,13,82,75,20,63,32,63,20,52,32,13,43,4.0
