@relation 'Sax dominant'

@attribute o1atMaa numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atLcc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute destClass {1,2}

@data
29,60,65,30,30,66,63,33,62,32,29,65,30,33,1.0
29,48,65,42,30,66,51,45,50,44,29,65,30,45,2.0
25,68,67,24,27,69,70,26,69,25,26,68,27,26,2.0
34,60,56,30,37,59,63,33,62,32,36,58,37,33,1.0
27,70,65,20,29,67,73,23,72,22,28,66,29,23,2.0
25,57,67,35,27,69,59,37,58,36,26,68,27,37,2.0
29,56,65,32,30,66,60,36,59,35,29,65,30,36,1.0
31,64,61,28,32,63,66,29,65,29,32,62,33,30,2.0
29,62,65,26,30,66,66,30,65,29,29,65,30,30,1.0
29,54,65,34,30,66,58,38,57,37,29,65,30,38,2.0
31,56,61,34,32,63,59,36,58,36,32,62,33,37,1.0
29,54,65,38,30,66,56,40,55,39,29,65,30,40,2.0
25,60,67,30,27,69,63,33,62,32,26,68,27,33,1.0
31,63,59,27,34,62,66,30,65,29,33,61,34,30,1.0
31,59,61,31,32,63,62,33,61,33,32,62,33,34,1.0
31,55,61,35,32,63,58,37,57,37,32,62,33,38,1.0
34,54,58,36,35,60,57,38,56,38,35,59,36,39,2.0
27,75,63,17,29,66,77,18,76,18,29,65,30,19,2.0
29,55,65,33,30,66,59,37,58,36,29,65,30,37,1.0
29,60,65,30,30,66,63,33,62,32,29,65,30,33,1.0
29,53,65,37,30,66,56,40,55,39,29,65,30,40,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
32,48,62,42,33,63,51,45,50,44,32,62,33,45,2.0
32,60,62,30,33,63,63,33,62,32,32,62,33,33,1.0
34,53,58,39,35,60,55,40,54,40,35,59,36,41,2.0
31,47,61,43,32,63,50,45,49,45,32,62,33,46,1.0
29,58,65,34,30,66,60,36,59,35,29,65,30,36,2.0
32,56,62,34,33,63,59,37,58,36,32,62,33,37,2.0
29,54,65,36,30,66,57,39,56,38,29,65,30,39,2.0
30,72,58,18,33,62,75,20,74,20,33,61,34,21,2.0
25,64,67,26,27,69,67,29,66,28,26,68,27,29,2.0
29,54,65,36,30,66,57,39,56,38,29,65,30,39,2.0
27,71,65,19,29,67,74,22,73,21,28,66,29,22,2.0
32,55,62,35,33,63,58,38,57,37,32,62,33,38,2.0
25,60,67,30,27,69,63,33,62,32,26,68,27,33,1.0
29,59,65,29,30,66,63,33,62,32,29,65,30,33,2.0
29,53,65,39,30,66,55,41,54,40,29,65,30,41,2.0
34,56,58,36,35,60,58,37,57,37,35,59,36,38,2.0
29,57,65,35,30,66,59,37,58,36,29,65,30,37,2.0
31,56,61,32,32,63,60,35,59,35,32,62,33,36,1.0
34,67,56,23,36,59,70,25,69,25,36,58,37,26,2.0
30,62,62,28,31,64,65,30,64,30,31,63,32,31,1.0
32,56,62,36,33,63,58,38,57,37,32,62,33,38,2.0
25,60,67,30,27,69,63,33,62,32,26,68,27,33,1.0
29,55,65,33,30,66,59,37,58,36,29,65,30,37,2.0
29,61,65,29,30,66,64,32,63,31,29,65,30,32,1.0
32,71,60,21,34,62,73,23,72,22,33,61,34,23,1.0
29,53,65,35,30,66,57,39,56,38,29,65,30,39,2.0
32,56,62,36,33,63,58,38,57,37,32,62,33,38,2.0
31,52,61,38,32,63,55,40,54,40,32,62,33,41,1.0
32,51,62,39,33,63,54,42,53,41,32,62,33,42,2.0
29,56,65,32,30,66,60,36,59,35,29,65,30,36,2.0
31,60,61,30,32,63,63,32,62,32,32,62,33,33,1.0
29,54,65,38,30,66,56,40,55,39,29,65,30,40,2.0
31,59,61,31,32,63,62,33,61,33,32,62,33,34,1.0
30,73,62,19,31,64,75,20,74,20,31,63,32,21,2.0
29,55,65,35,30,66,58,38,57,37,29,65,30,38,1.0
29,59,65,31,30,66,62,34,61,33,29,65,30,34,1.0
31,54,61,34,32,63,58,37,57,37,32,62,33,38,1.0
28,58,66,30,29,67,62,34,61,33,28,66,29,34,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
41,65,49,27,44,52,67,29,66,28,43,51,44,29,1.0
35,72,55,20,37,58,74,21,73,21,37,57,38,22,2.0
32,62,60,28,34,62,65,31,64,30,33,61,34,31,1.0
23,67,67,23,25,70,70,25,69,25,25,69,26,26,2.0
29,56,65,32,30,66,60,36,59,35,29,65,30,36,1.0
31,52,61,38,32,63,55,40,54,40,32,62,33,41,1.0
29,55,65,33,30,66,59,37,58,36,29,65,30,37,1.0
29,58,65,30,30,66,62,34,61,33,29,65,30,34,1.0
29,56,65,32,30,66,60,36,59,35,29,65,30,36,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
29,55,65,35,30,66,58,38,57,37,29,65,30,38,1.0
31,62,61,28,32,63,65,30,64,30,32,62,33,31,1.0
31,52,61,38,32,63,55,40,54,40,32,62,33,41,1.0
31,49,61,43,32,63,51,44,50,44,32,62,33,45,1.0
32,55,62,35,33,63,58,38,57,37,32,62,33,38,2.0
29,64,65,26,30,66,67,29,66,28,29,65,30,29,1.0
31,59,61,31,32,63,62,33,61,33,32,62,33,34,1.0
32,56,62,32,33,63,60,36,59,35,32,62,33,36,2.0
32,62,62,28,33,63,65,31,64,30,32,62,33,31,2.0
34,65,56,27,37,59,67,29,66,28,36,58,37,29,2.0
32,61,62,29,33,63,64,32,63,31,32,62,33,32,1.0
31,60,61,30,32,63,63,32,62,32,32,62,33,33,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
25,63,67,27,27,69,66,30,65,29,26,68,27,30,1.0
31,54,61,34,32,63,58,37,57,37,32,62,33,38,1.0
29,57,65,31,30,66,61,35,60,34,29,65,30,35,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
31,56,61,34,32,63,59,36,58,36,32,62,33,37,1.0
29,58,65,30,30,66,62,34,61,33,29,65,30,34,2.0
32,54,62,34,33,63,58,38,57,37,32,62,33,38,2.0
29,55,65,33,30,66,59,37,58,36,29,65,30,37,2.0
30,65,60,25,32,63,68,27,67,27,32,62,33,28,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
31,60,61,30,32,63,63,32,62,32,32,62,33,33,1.0
31,59,61,31,32,63,62,33,61,33,32,62,33,34,1.0
30,64,58,28,34,62,66,30,65,29,33,61,34,30,1.0
29,62,65,28,30,66,65,31,64,30,29,65,30,31,1.0
28,59,66,31,29,67,62,34,61,33,28,66,29,34,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
29,60,65,30,30,66,63,33,62,32,29,65,30,33,1.0
31,61,61,29,32,63,64,31,63,31,32,62,33,32,1.0
32,54,62,38,33,63,56,40,55,39,32,62,33,40,2.0
35,60,55,30,37,58,63,32,62,32,37,57,38,33,2.0
32,63,60,27,34,62,66,30,65,29,33,61,34,30,1.0
31,59,61,31,32,63,62,33,61,33,32,62,33,34,1.0
29,55,65,33,30,66,59,37,58,36,29,65,30,37,1.0
26,63,64,27,29,67,66,30,65,29,28,66,29,30,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
31,56,61,34,32,63,59,36,58,36,32,62,33,37,1.0
30,60,60,30,33,63,63,33,62,32,32,62,33,33,2.0
31,57,61,31,32,63,61,34,60,34,32,62,33,35,1.0
28,64,64,26,30,66,67,29,66,28,29,65,30,29,2.0
25,66,67,24,27,69,69,27,68,26,26,68,27,27,2.0
31,60,61,30,32,63,63,32,62,32,32,62,33,33,1.0
31,56,61,34,32,63,59,36,58,36,32,62,33,37,1.0
30,57,62,33,31,64,60,35,59,35,31,63,32,36,1.0
32,56,62,36,33,63,58,38,57,37,32,62,33,38,2.0
31,55,61,35,32,63,58,37,57,37,32,62,33,38,1.0
28,53,66,37,29,67,56,40,55,39,28,66,29,40,1.0
37,73,51,19,41,55,75,21,74,20,40,54,41,21,1.0
29,60,65,28,30,66,64,32,63,31,29,65,30,32,2.0
29,60,65,30,30,66,63,33,62,32,29,65,30,33,1.0
29,59,65,31,30,66,62,34,61,33,29,65,30,34,1.0
29,55,65,35,30,66,58,38,57,37,29,65,30,38,1.0
32,56,60,34,34,62,59,37,58,36,33,61,34,37,1.0
31,55,61,33,32,63,59,36,58,36,32,62,33,37,2.0
31,59,61,31,32,63,62,33,61,33,32,62,33,34,1.0
31,64,61,28,33,63,66,30,65,29,32,62,33,30,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
29,56,65,34,30,66,59,37,58,36,29,65,30,37,1.0
30,62,62,28,31,64,65,30,64,30,31,63,32,31,1.0
32,60,62,32,33,63,62,34,61,33,32,62,33,34,2.0
35,66,55,26,38,58,68,28,67,27,37,57,38,28,2.0
28,65,64,27,30,66,67,29,66,28,29,65,30,29,2.0
31,55,61,35,32,63,58,37,57,37,32,62,33,38,1.0
32,58,62,32,33,63,61,35,60,34,32,62,33,35,2.0
29,54,65,34,30,66,58,38,57,37,29,65,30,38,1.0
31,52,61,38,32,63,55,40,54,40,32,62,33,41,1.0
29,49,65,41,30,66,52,44,51,43,29,65,30,44,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
29,59,65,31,30,66,62,34,61,33,29,65,30,34,1.0
32,56,62,36,33,63,58,38,57,37,32,62,33,38,2.0
29,60,65,30,30,66,63,33,62,32,29,65,30,33,1.0
29,63,65,27,30,66,66,30,65,29,29,65,30,30,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
27,68,65,22,29,67,71,25,70,24,28,66,29,25,1.0
28,62,64,28,30,66,65,31,64,30,29,65,30,31,1.0
32,72,56,20,35,60,74,21,73,21,35,59,36,22,2.0
29,56,65,34,30,66,59,37,58,36,29,65,30,37,1.0
29,56,65,32,30,66,60,36,59,35,29,65,30,36,2.0
31,57,61,33,32,63,60,35,59,35,32,62,33,36,1.0
32,63,60,27,34,62,66,30,65,29,33,61,34,30,1.0
29,48,65,42,30,66,51,45,50,44,29,65,30,45,1.0
28,63,64,27,30,66,66,30,65,29,29,65,30,30,1.0
29,59,65,31,30,66,62,34,61,33,29,65,30,34,1.0
29,62,63,28,31,65,65,31,64,30,30,64,31,31,1.0
29,55,65,35,30,66,58,38,57,37,29,65,30,38,2.0
31,57,61,33,32,63,60,35,59,35,32,62,33,36,1.0
28,63,64,27,30,66,66,30,65,29,29,65,30,30,1.0
32,56,62,36,33,63,58,38,57,37,32,62,33,38,2.0
28,59,64,29,30,66,63,33,62,32,29,65,30,33,2.0
32,54,62,36,33,63,57,39,56,38,32,62,33,39,2.0
31,59,61,31,32,63,62,33,61,33,32,62,33,34,1.0
29,51,65,39,30,66,54,42,53,41,29,65,30,42,1.0
40,68,50,22,42,53,71,24,70,24,42,52,43,25,2.0
29,62,65,28,30,66,65,31,64,30,29,65,30,31,1.0
25,59,67,31,27,69,62,34,61,33,26,68,27,34,1.0
29,55,65,35,30,66,58,38,57,37,29,65,30,38,1.0
28,64,64,26,30,66,67,29,66,28,29,65,30,29,2.0
31,53,61,35,32,63,57,38,56,38,32,62,33,39,1.0
28,62,64,28,30,66,65,31,64,30,29,65,30,31,1.0
32,62,60,28,34,62,65,31,64,30,33,61,34,31,1.0
30,63,62,27,31,64,66,29,65,29,31,63,32,30,1.0
24,63,68,27,26,70,66,30,65,29,25,69,26,30,2.0
27,76,65,16,28,67,78,17,77,17,28,66,29,18,2.0
31,55,61,33,32,63,59,36,58,36,32,62,33,37,1.0
31,62,61,28,32,63,65,30,64,30,32,62,33,31,1.0
38,60,50,30,41,54,63,32,62,32,41,53,42,33,2.0
29,46,65,42,30,66,50,46,49,45,29,65,30,46,2.0
32,59,62,29,33,63,63,33,62,32,32,62,33,33,2.0
29,52,65,38,30,66,55,41,54,40,29,65,30,41,1.0
35,64,57,26,37,59,67,29,66,28,36,58,37,29,2.0
35,60,53,30,38,57,63,32,62,32,38,56,39,33,2.0
24,61,66,31,27,69,63,33,62,32,26,68,27,33,2.0
29,57,65,31,30,66,61,35,60,34,29,65,30,35,1.0
26,76,62,16,29,66,78,17,77,17,29,65,30,18,2.0
29,55,65,33,30,66,59,37,58,36,29,65,30,37,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
28,63,64,27,30,66,66,30,65,29,29,65,30,30,2.0
29,59,65,29,30,66,63,33,62,32,29,65,30,33,2.0
38,61,52,29,40,55,64,31,63,31,40,54,41,32,2.0
29,52,65,38,30,66,55,41,54,40,29,65,30,41,1.0
29,57,65,33,30,66,60,36,59,35,29,65,30,36,1.0
29,60,65,30,30,66,63,33,62,32,29,65,30,33,2.0
27,72,63,22,30,66,73,23,72,22,29,65,30,23,1.0
32,69,62,21,33,63,72,24,71,23,32,62,33,24,2.0
29,56,65,34,30,66,59,37,58,36,29,65,30,37,1.0
24,64,68,26,26,70,67,29,66,28,25,69,26,29,2.0
32,62,60,28,34,62,65,31,64,30,33,61,34,31,1.0
31,58,61,32,32,63,61,34,60,34,32,62,33,35,1.0
29,56,65,34,30,66,59,37,58,36,29,65,30,37,1.0
29,58,65,30,30,66,62,34,61,33,29,65,30,34,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
27,68,63,22,30,66,71,25,70,24,29,65,30,25,2.0
29,49,65,41,30,66,52,44,51,43,29,65,30,44,2.0
24,66,68,22,25,70,70,25,69,25,25,69,26,26,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
31,52,61,38,32,63,55,40,54,40,32,62,33,41,1.0
34,59,58,29,35,60,63,32,62,32,35,59,36,33,1.0
32,54,62,38,33,63,56,40,55,39,32,62,33,40,2.0
29,56,65,32,30,66,60,36,59,35,29,65,30,36,2.0
31,49,61,41,32,63,52,43,51,43,32,62,33,44,1.0
35,56,55,32,37,58,60,35,59,35,37,57,38,36,2.0
32,55,62,35,33,63,58,38,57,37,32,62,33,38,2.0
29,60,65,30,30,66,63,33,62,32,29,65,30,33,1.0
24,70,68,20,26,70,73,23,72,22,25,69,26,23,2.0
31,56,61,34,32,63,59,36,58,36,32,62,33,37,1.0
29,65,65,23,30,66,69,27,68,26,29,65,30,27,1.0
31,53,61,37,32,63,56,39,55,39,32,62,33,40,1.0
29,60,65,30,30,66,63,33,62,32,29,65,30,33,1.0
28,59,66,31,29,67,62,34,61,33,28,66,29,34,1.0
31,56,61,34,32,63,59,36,58,36,32,62,33,37,1.0
29,51,65,39,30,66,54,42,53,41,29,65,30,42,1.0
25,61,67,29,27,69,64,32,63,31,26,68,27,32,1.0
29,56,65,32,30,66,60,36,59,35,29,65,30,36,1.0
32,56,62,32,33,63,60,36,59,35,32,62,33,36,2.0
32,45,62,45,33,63,48,48,47,47,32,62,33,48,2.0
29,53,65,37,30,66,56,40,55,39,29,65,30,40,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
31,56,61,34,32,63,59,36,58,36,32,62,33,37,1.0
38,72,52,20,41,55,74,22,73,21,40,54,41,22,2.0
24,71,68,19,26,70,74,22,73,21,25,69,26,22,2.0
29,55,65,33,30,66,59,37,58,36,29,65,30,37,1.0
31,55,61,35,32,63,58,37,57,37,32,62,33,38,1.0
31,56,61,34,32,63,59,36,58,36,32,62,33,37,1.0
28,59,66,31,29,67,62,34,61,33,28,66,29,34,1.0
28,69,64,21,30,66,72,24,71,23,29,65,30,24,2.0
27,71,63,19,29,66,74,21,73,21,29,65,30,22,2.0
32,59,62,31,33,63,62,34,61,33,32,62,33,34,1.0
32,57,62,31,33,63,61,35,60,34,32,62,33,35,1.0
31,51,61,39,32,63,54,41,53,41,32,62,33,42,1.0
31,67,61,25,33,63,69,27,68,26,32,62,33,27,2.0
29,56,65,34,30,66,59,37,58,36,29,65,30,37,1.0
32,56,62,36,33,63,58,38,57,37,32,62,33,38,2.0
28,64,64,26,30,66,67,29,66,28,29,65,30,29,1.0
28,67,64,23,30,66,70,26,69,25,29,65,30,26,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
37,62,53,30,40,56,64,32,63,31,39,55,40,32,1.0
29,57,65,35,30,66,59,37,58,36,29,65,30,37,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
34,53,58,37,35,60,56,39,55,39,35,59,36,40,2.0
32,52,62,38,33,63,55,41,54,40,32,62,33,41,2.0
31,59,61,31,32,63,62,33,61,33,32,62,33,34,1.0
29,61,65,27,30,66,65,31,64,30,29,65,30,31,1.0
31,62,61,28,33,63,65,31,64,30,32,62,33,31,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
31,59,61,31,32,63,62,33,61,33,32,62,33,34,1.0
31,52,61,38,32,63,55,40,54,40,32,62,33,41,1.0
30,59,62,31,31,64,62,33,61,33,31,63,32,34,1.0
31,55,61,35,32,63,58,37,57,37,32,62,33,38,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
31,49,61,41,32,63,52,43,51,43,32,62,33,44,1.0
31,57,61,31,32,63,61,34,60,34,32,62,33,35,2.0
29,62,65,28,30,66,65,31,64,30,29,65,30,31,2.0
31,53,61,37,32,63,56,39,55,39,32,62,33,40,1.0
29,52,65,38,30,66,55,41,54,40,29,65,30,41,1.0
32,54,62,38,33,63,56,40,55,39,32,62,33,40,2.0
32,62,60,28,34,62,65,31,64,30,33,61,34,31,1.0
29,58,65,32,30,66,61,35,60,34,29,65,30,35,1.0
29,66,61,26,32,64,68,28,67,27,31,63,32,28,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
24,67,68,23,25,70,70,25,69,25,25,69,26,26,2.0
29,54,65,34,30,66,58,38,57,37,29,65,30,38,1.0
31,58,61,34,33,63,60,36,59,35,32,62,33,36,1.0
24,66,68,22,25,70,70,25,69,25,25,69,26,26,2.0
31,58,61,32,32,63,61,34,60,34,32,62,33,35,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
32,54,62,36,33,63,57,39,56,38,32,62,33,39,2.0
32,52,62,38,33,63,55,41,54,40,32,62,33,41,2.0
31,56,61,34,32,63,59,36,58,36,32,62,33,37,1.0
34,59,58,29,36,60,63,33,62,32,35,59,36,33,2.0
33,64,55,28,37,59,66,30,65,29,36,58,37,30,1.0
31,56,61,34,32,63,59,36,58,36,32,62,33,37,1.0
31,75,59,17,33,62,77,18,76,18,33,61,34,19,2.0
29,58,65,30,30,66,62,34,61,33,29,65,30,34,1.0
32,56,62,34,33,63,59,37,58,36,32,62,33,37,2.0
29,55,65,33,30,66,59,37,58,36,29,65,30,37,2.0
29,60,65,30,30,66,63,33,62,32,29,65,30,33,1.0
31,55,61,35,32,63,58,37,57,37,32,62,33,38,1.0
25,61,67,29,27,69,64,32,63,31,26,68,27,32,2.0
31,60,61,30,32,63,63,32,62,32,32,62,33,33,1.0
29,56,65,34,30,66,59,37,58,36,29,65,30,37,1.0
29,61,65,29,30,66,64,32,63,31,29,65,30,32,1.0
29,54,65,34,30,66,58,38,57,37,29,65,30,38,1.0
29,57,65,33,30,66,60,36,59,35,29,65,30,36,1.0
39,68,51,24,42,54,70,26,69,25,41,53,42,26,2.0
23,67,65,23,26,69,70,25,69,25,26,68,27,26,2.0
28,67,64,25,30,66,69,27,68,26,29,65,30,27,2.0
27,64,65,26,28,67,67,28,66,28,28,66,29,29,2.0
29,51,65,39,30,66,54,42,53,41,29,65,30,42,1.0
31,56,61,34,32,63,59,36,58,36,32,62,33,37,1.0
32,69,60,25,34,62,70,26,69,25,33,61,34,26,1.0
29,56,65,32,30,66,60,36,59,35,29,65,30,36,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
24,62,68,28,26,70,65,31,64,30,25,69,26,31,1.0
30,57,60,33,33,63,60,36,59,35,32,62,33,36,2.0
32,55,62,33,33,63,59,37,58,36,32,62,33,37,2.0
32,59,62,29,33,63,63,33,62,32,32,62,33,33,2.0
28,57,66,33,29,67,60,36,59,35,28,66,29,36,1.0
32,54,62,38,33,63,56,40,55,39,32,62,33,40,2.0
36,60,54,30,39,57,63,33,62,32,38,56,39,33,1.0
24,60,68,30,26,70,63,33,62,32,25,69,26,33,1.0
29,63,65,27,30,66,66,30,65,29,29,65,30,30,1.0
29,62,65,28,30,66,65,31,64,30,29,65,30,31,1.0
29,59,65,29,30,66,63,33,62,32,29,65,30,33,1.0
32,55,62,35,33,63,58,38,57,37,32,62,33,38,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
29,58,65,30,30,66,62,34,61,33,29,65,30,34,1.0
32,54,62,38,33,63,56,40,55,39,32,62,33,40,2.0
32,54,62,38,33,63,56,40,55,39,32,62,33,40,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
30,72,58,20,33,62,74,21,73,21,33,61,34,22,2.0
34,62,58,28,35,60,65,30,64,30,35,59,36,31,1.0
30,71,58,21,34,62,73,23,72,22,33,61,34,23,1.0
29,54,65,36,30,66,57,39,56,38,29,65,30,39,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
29,58,65,30,30,66,62,34,61,33,29,65,30,34,2.0
31,55,61,35,32,63,58,37,57,37,32,62,33,38,1.0
29,48,65,42,30,66,51,45,50,44,29,65,30,45,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
27,60,63,30,29,66,63,32,62,32,29,65,30,33,1.0
31,53,61,37,32,63,56,39,55,39,32,62,33,40,1.0
29,61,65,27,30,66,65,31,64,30,29,65,30,31,1.0
24,72,68,20,25,70,74,21,73,21,25,69,26,22,2.0
32,51,62,39,33,63,54,42,53,41,32,62,33,42,2.0
34,61,58,27,35,60,65,30,64,30,35,59,36,31,1.0
31,59,61,31,32,63,62,33,61,33,32,62,33,34,1.0
28,62,64,30,30,66,64,32,63,31,29,65,30,32,2.0
29,58,65,30,30,66,62,34,61,33,29,65,30,34,1.0
34,54,58,38,35,60,56,39,55,39,35,59,36,40,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
29,59,65,29,30,66,63,33,62,32,29,65,30,33,1.0
28,53,64,37,30,66,56,40,55,39,29,65,30,40,2.0
31,72,61,20,33,63,74,22,73,21,32,62,33,22,2.0
31,59,61,31,32,63,62,33,61,33,32,62,33,34,1.0
31,52,61,38,32,63,55,40,54,40,32,62,33,41,1.0
29,61,65,29,30,66,64,32,63,31,29,65,30,32,1.0
25,67,67,23,27,69,70,26,69,25,26,68,27,26,2.0
24,75,68,17,26,70,77,19,76,18,25,69,26,19,2.0
31,63,61,27,32,63,66,29,65,29,32,62,33,30,1.0
31,63,61,27,32,63,66,29,65,29,32,62,33,30,1.0
29,54,65,36,30,66,57,39,56,38,29,65,30,39,2.0
24,72,68,18,25,70,75,20,74,20,25,69,26,21,2.0
29,56,65,34,30,66,59,37,58,36,29,65,30,37,1.0
32,52,62,38,33,63,55,41,54,40,32,62,33,41,2.0
31,56,61,34,32,63,59,36,58,36,32,62,33,37,1.0
29,59,65,31,30,66,62,34,61,33,29,65,30,34,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
32,58,60,32,34,62,61,35,60,34,33,61,34,35,1.0
32,53,62,39,33,63,55,41,54,40,32,62,33,41,2.0
30,72,58,20,34,62,74,22,73,21,33,61,34,22,2.0
29,52,65,38,30,66,55,41,54,40,29,65,30,41,2.0
29,52,65,36,30,66,56,40,55,39,29,65,30,40,2.0
30,61,60,29,33,63,64,32,63,31,32,62,33,32,2.0
29,52,65,36,30,66,56,40,55,39,29,65,30,40,2.0
27,70,65,20,29,67,73,23,72,22,28,66,29,23,2.0
31,51,61,37,32,63,55,40,54,40,32,62,33,41,1.0
32,53,62,39,33,63,55,41,54,40,32,62,33,41,2.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
29,59,65,31,30,66,62,34,61,33,29,65,30,34,1.0
38,61,50,31,42,54,63,33,62,32,41,53,42,33,1.0
32,52,62,36,33,63,56,40,55,39,32,62,33,40,2.0
32,53,62,39,33,63,55,41,54,40,32,62,33,41,2.0
29,51,65,39,30,66,54,42,53,41,29,65,30,42,1.0
29,69,65,21,30,66,72,24,71,23,29,65,30,24,2.0
31,60,61,30,32,63,63,32,62,32,32,62,33,33,1.0
27,64,63,26,30,66,67,29,66,28,29,65,30,29,2.0
31,56,61,34,32,63,59,36,58,36,32,62,33,37,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
28,64,64,26,30,66,67,29,66,28,29,65,30,29,2.0
29,51,65,37,30,66,55,41,54,40,29,65,30,41,1.0
34,57,56,33,36,59,60,35,59,35,36,58,37,36,2.0
25,63,67,27,27,69,66,30,65,29,26,68,27,30,1.0
32,57,62,35,33,63,59,37,58,36,32,62,33,37,2.0
32,56,62,34,33,63,59,37,58,36,32,62,33,37,1.0
29,51,65,39,30,66,54,42,53,41,29,65,30,42,1.0
32,59,62,33,33,63,61,35,60,34,32,62,33,35,2.0
33,59,61,29,34,62,63,33,62,32,33,61,34,33,2.0
31,46,61,44,32,63,49,46,48,46,32,62,33,47,1.0
29,60,65,30,30,66,63,33,62,32,29,65,30,33,1.0
29,60,65,28,30,66,64,32,63,31,29,65,30,32,1.0
32,55,62,35,33,63,58,38,57,37,32,62,33,38,2.0
29,61,65,27,30,66,65,31,64,30,29,65,30,31,1.0
29,54,65,34,30,66,58,38,57,37,29,65,30,38,1.0
32,52,62,38,33,63,55,41,54,40,32,62,33,41,2.0
32,64,60,26,34,62,67,29,66,28,33,61,34,29,1.0
28,58,66,30,29,67,62,34,61,33,28,66,29,34,1.0
31,59,61,31,32,63,62,33,61,33,32,62,33,34,1.0
29,58,65,32,30,66,61,35,60,34,29,65,30,35,1.0
34,57,58,35,35,60,59,36,58,36,35,59,36,37,2.0
38,68,52,24,41,55,70,26,69,25,40,54,41,26,2.0
33,69,57,25,36,60,70,26,69,25,35,59,36,26,1.0
34,61,56,31,36,59,63,32,62,32,36,58,37,33,2.0
29,55,65,33,30,66,59,37,58,36,29,65,30,37,1.0
29,54,65,34,30,66,58,38,57,37,29,65,30,38,1.0
32,56,62,34,33,63,59,37,58,36,32,62,33,37,2.0
29,56,65,34,30,66,59,37,58,36,29,65,30,37,1.0
29,57,65,31,30,66,61,35,60,34,29,65,30,35,1.0
29,60,65,30,30,66,63,33,62,32,29,65,30,33,1.0
32,48,62,40,33,63,52,44,51,43,32,62,33,44,2.0
29,59,65,29,30,66,63,33,62,32,29,65,30,33,2.0
28,57,64,35,30,66,59,37,58,36,29,65,30,37,2.0
25,63,67,27,27,69,66,30,65,29,26,68,27,30,1.0
34,48,58,40,35,60,52,43,51,43,35,59,36,44,1.0
29,58,65,30,30,66,62,34,61,33,29,65,30,34,1.0
32,56,62,34,33,63,59,37,58,36,32,62,33,37,2.0
29,63,65,27,30,66,66,30,65,29,29,65,30,30,1.0
35,67,55,25,38,58,69,27,68,26,37,57,38,27,1.0
32,53,62,37,33,63,56,40,55,39,32,62,33,40,2.0
32,58,62,34,33,63,60,36,59,35,32,62,33,36,2.0
32,60,62,28,33,63,64,32,63,31,32,62,33,32,2.0
29,50,65,38,30,66,54,42,53,41,29,65,30,42,2.0
29,55,65,35,30,66,58,38,57,37,29,65,30,38,1.0
29,46,65,46,30,66,48,48,47,47,29,65,30,48,1.0
29,60,65,30,30,66,63,33,62,32,29,65,30,33,1.0
32,60,60,32,34,62,62,34,61,33,33,61,34,34,1.0
29,62,65,28,30,66,65,31,64,30,29,65,30,31,1.0
