@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMaa numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atLee numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute destClass {2,1}

@data
73,33,57,78,12,14,80,59,35,13,82,15,79,76,19,13,80,13,79,59,35,75,19,17,15,78,12,81,60,19,13,36,14,20,15,35,15,35,59,19,16,19,2.0
78,40,52,74,14,18,78,54,42,16,80,20,76,80,16,16,76,15,75,53,41,79,15,14,19,74,14,79,54,16,16,42,16,16,19,41,20,42,53,15,20,16,1.0
76,36,56,75,12,17,80,58,38,14,82,19,77,78,18,14,77,13,76,57,37,77,17,16,18,76,13,81,58,18,14,38,14,18,18,37,19,38,57,17,19,18,2.0
76,36,58,76,11,16,81,59,37,13,83,18,78,78,18,13,78,12,77,58,36,77,17,16,17,77,12,82,59,18,13,37,13,18,17,36,18,37,58,17,18,18,2.0
72,38,56,60,13,30,79,57,39,15,81,33,63,74,22,15,63,14,62,56,38,73,21,20,32,62,14,80,57,22,15,39,15,22,32,38,33,39,56,21,33,22,1.0
73,35,57,67,13,21,79,59,36,14,81,24,70,75,21,14,71,14,70,58,36,74,20,19,24,70,14,80,59,21,15,37,15,21,24,36,25,36,58,20,25,21,1.0
75,39,55,75,12,17,80,56,40,14,82,19,77,77,19,14,77,13,76,55,39,76,18,17,18,76,13,81,56,19,14,40,14,19,18,39,19,40,55,18,19,19,2.0
77,37,53,74,13,18,79,56,40,15,81,20,76,79,17,15,76,14,75,55,39,78,16,15,19,75,14,80,56,17,15,40,15,17,19,39,20,40,55,16,20,17,1.0
74,32,58,65,13,25,79,61,35,15,81,28,68,76,20,15,68,14,67,60,34,75,19,18,27,66,13,80,61,20,15,35,15,20,27,34,28,35,60,19,28,20,1.0
75,33,57,71,14,19,78,59,36,16,80,22,74,77,18,16,74,15,73,59,35,76,18,17,21,73,15,79,60,19,16,36,16,19,21,35,22,36,59,18,22,19,1.0
73,38,54,68,12,20,80,56,40,14,82,24,72,75,21,14,72,13,71,55,39,74,20,19,23,71,13,81,56,21,14,40,14,21,23,39,24,40,55,20,24,21,1.0
79,39,51,75,13,17,79,53,41,14,81,18,76,82,13,14,77,14,76,53,41,81,13,11,18,76,14,80,54,13,14,42,15,14,18,41,18,41,53,13,19,13,2.0
80,39,51,74,13,18,79,53,42,15,81,20,76,82,13,15,76,14,75,53,41,81,13,12,19,75,14,80,54,14,15,42,15,14,19,41,20,42,53,13,20,14,2.0
90,44,44,75,12,17,80,47,48,13,82,19,76,93,2,14,77,13,76,47,47,92,2,0,18,76,13,81,48,3,14,48,14,3,18,47,19,48,47,2,19,3,2.0
75,34,56,67,13,21,79,59,37,15,81,25,71,77,19,15,71,14,70,58,36,76,18,17,24,69,13,80,59,19,15,37,15,19,24,36,25,37,58,18,25,19,1.0
75,34,58,74,13,18,79,60,36,15,81,20,76,77,19,15,76,14,75,59,35,76,18,17,19,75,14,80,60,19,15,36,15,19,19,35,20,36,59,18,20,19,1.0
73,40,54,75,12,17,80,55,41,14,82,19,77,75,21,14,77,13,76,54,40,74,20,19,18,76,13,81,55,21,14,41,14,21,18,40,19,41,54,20,19,21,2.0
76,37,53,74,14,18,78,55,40,16,80,20,76,78,17,16,76,15,75,55,39,77,17,16,19,74,14,79,56,18,16,40,16,18,19,39,20,40,55,17,20,18,1.0
80,36,52,76,12,16,80,54,39,13,82,17,77,83,11,13,78,13,77,55,39,82,12,10,17,77,13,81,56,12,13,40,14,13,17,39,17,39,55,12,18,12,2.0
72,38,56,64,11,20,81,57,39,13,83,26,70,74,22,13,70,12,69,56,38,73,21,20,25,69,12,82,57,22,13,39,13,22,25,38,26,39,56,21,26,22,2.0
71,35,57,75,13,17,79,58,36,14,81,18,76,74,21,14,77,14,76,58,36,73,21,19,18,76,14,80,59,21,14,37,15,22,18,36,18,36,58,21,19,21,2.0
74,35,55,70,13,16,79,58,37,14,81,20,74,76,20,14,75,14,74,57,37,75,19,18,20,73,13,80,58,20,15,38,15,20,20,37,21,37,57,19,21,20,1.0
78,36,54,75,12,17,80,56,39,14,82,19,77,80,15,14,77,13,76,56,38,79,15,14,18,76,13,81,57,16,14,39,14,16,18,38,19,39,56,15,19,16,2.0
79,41,49,76,12,16,80,51,44,13,82,18,77,81,14,14,78,13,77,51,43,80,14,13,17,77,13,81,52,15,14,44,14,15,17,43,18,44,51,14,18,15,2.0
77,38,52,75,13,17,79,55,41,15,81,19,77,79,17,15,77,14,76,54,40,78,16,15,18,76,14,80,55,17,15,41,15,17,18,40,19,41,54,16,19,17,1.0
80,36,52,77,12,15,80,55,39,13,82,16,78,83,12,13,79,13,78,55,39,82,12,10,16,78,13,81,56,12,13,40,14,13,16,39,16,39,55,12,17,12,2.0
84,45,45,69,12,21,80,47,48,13,82,24,71,86,9,14,72,13,71,47,47,85,9,8,23,71,13,81,48,10,14,48,14,10,23,47,24,48,47,9,24,10,2.0
78,36,50,75,13,17,79,55,40,14,81,18,76,80,16,14,77,14,76,54,39,79,15,14,17,76,14,80,55,16,15,41,15,16,18,40,19,40,54,15,19,16,1.0
76,35,53,75,13,17,79,57,38,14,81,18,76,78,18,14,77,14,76,56,38,77,17,16,18,76,14,80,57,18,15,39,15,18,18,38,19,38,56,17,19,18,1.0
76,34,56,69,14,19,78,59,37,16,80,23,73,78,18,16,73,15,72,58,36,77,17,16,22,71,14,79,59,18,16,37,16,18,22,36,23,37,58,17,23,18,1.0
74,35,57,62,14,28,78,59,37,16,80,31,65,76,20,16,65,15,64,58,36,75,19,18,30,63,14,79,59,20,16,37,16,20,30,36,31,37,58,19,31,20,1.0
78,39,53,74,13,18,79,55,41,15,81,20,76,81,15,15,76,14,75,54,40,80,14,12,19,75,14,80,55,15,15,41,15,15,19,40,20,41,54,14,20,15,2.0
74,34,58,70,14,20,78,60,36,16,80,23,73,76,20,16,73,15,72,59,35,75,19,18,22,72,15,79,60,20,16,36,16,20,22,35,23,36,59,19,23,20,1.0
72,36,58,60,13,30,79,59,37,15,81,33,63,74,22,15,63,14,62,58,36,73,21,20,32,61,13,80,59,22,15,37,15,22,32,36,33,37,58,21,33,22,1.0
77,32,58,76,11,16,81,60,35,13,83,18,78,79,16,13,78,12,77,60,34,78,16,15,17,77,12,82,61,17,13,35,13,17,17,34,18,35,60,16,18,17,2.0
76,32,60,76,12,16,80,62,34,14,82,18,78,78,18,14,78,13,77,61,33,77,17,16,17,77,13,81,62,18,14,34,14,18,17,33,18,34,61,17,18,18,2.0
75,35,55,72,13,18,79,58,38,15,81,21,75,77,19,15,75,14,74,57,37,76,18,17,20,74,14,80,58,19,15,38,15,19,20,37,21,38,57,18,21,19,1.0
74,41,53,53,12,35,80,54,42,14,82,39,57,76,20,14,57,13,56,53,41,75,19,18,38,56,13,81,54,20,14,42,14,20,38,41,39,42,53,19,39,20,2.0
79,39,51,76,11,16,81,53,42,13,83,18,78,81,14,13,78,12,77,53,41,80,14,13,17,77,12,82,54,15,13,42,13,15,17,41,18,42,53,14,18,15,2.0
84,43,45,76,12,16,80,48,46,13,82,17,77,87,8,13,78,13,77,48,46,86,8,6,17,77,13,81,49,8,13,47,14,9,17,46,17,46,48,8,18,8,2.0
73,33,59,63,12,27,80,61,35,14,82,30,66,75,21,14,66,13,65,60,34,74,20,19,29,65,13,81,61,21,14,35,14,21,29,34,30,35,60,20,30,21,1.0
75,34,56,69,13,19,79,59,37,15,81,23,73,77,19,15,73,14,72,58,36,76,18,17,22,72,14,80,59,19,15,37,15,19,22,36,23,37,58,18,23,19,1.0
76,37,55,78,10,14,82,56,38,11,84,15,79,79,16,11,80,11,79,56,38,78,16,14,15,79,11,83,57,16,11,39,12,17,15,38,15,38,56,16,16,16,2.0
81,37,53,75,12,17,80,56,40,14,82,19,77,83,13,14,77,13,76,55,39,82,12,11,18,76,13,81,56,13,14,40,14,13,18,39,19,40,55,12,19,13,2.0
78,33,59,76,11,16,81,61,35,13,83,18,78,80,16,13,78,12,77,60,34,79,15,14,17,77,12,82,61,16,13,35,13,16,17,34,18,35,60,15,18,16,2.0
74,31,59,66,13,22,79,61,34,15,81,26,70,76,19,15,70,14,69,61,33,75,19,18,25,69,14,80,62,20,15,34,15,20,25,33,26,34,61,19,26,20,1.0
74,34,58,67,12,21,80,60,36,14,82,25,71,76,20,14,71,13,70,59,35,75,19,18,24,70,13,81,60,20,14,36,14,20,24,35,25,36,59,19,25,20,2.0
74,35,57,63,13,27,79,59,37,15,81,30,66,76,20,15,66,14,65,58,36,75,19,18,29,65,14,80,59,20,15,37,15,20,29,36,30,37,58,19,30,20,1.0
73,38,56,58,13,32,79,57,39,15,81,35,61,75,21,15,61,14,60,56,38,74,20,19,34,60,14,80,57,21,15,39,15,21,34,38,35,39,56,20,35,21,1.0
79,35,55,75,12,17,80,58,38,14,82,19,77,81,15,14,77,13,76,57,37,80,14,13,18,76,13,81,58,15,14,38,14,15,18,37,19,38,57,14,19,15,2.0
75,38,56,74,13,18,79,57,39,15,81,20,76,77,19,15,76,14,75,56,38,76,18,17,19,75,14,80,57,19,15,39,15,19,19,38,20,39,56,18,20,19,2.0
75,36,56,74,14,18,78,58,38,16,80,20,76,77,19,16,76,15,75,57,37,76,18,17,19,74,14,79,58,19,16,38,16,19,19,37,20,38,57,18,20,19,1.0
75,36,56,64,12,26,80,58,38,14,82,29,67,77,19,14,67,13,66,57,37,76,18,17,28,66,13,81,58,19,14,38,14,19,28,37,29,38,57,18,29,19,1.0
73,36,58,63,13,27,79,59,37,15,81,30,66,75,21,15,66,14,65,58,36,74,20,19,29,65,14,80,59,21,15,37,15,21,29,36,30,37,58,20,30,21,1.0
80,34,56,76,11,16,81,58,37,13,83,18,78,82,13,13,78,12,77,58,36,81,13,12,17,77,12,82,59,14,13,37,13,14,17,36,18,37,58,13,18,14,2.0
74,38,56,75,12,17,80,57,39,14,82,19,77,76,20,14,77,13,76,56,38,75,19,18,18,76,13,81,57,20,14,39,14,20,18,38,19,39,56,19,19,20,2.0
77,39,51,74,14,18,78,53,42,16,80,20,76,79,16,16,76,15,75,53,41,78,16,15,19,74,14,79,54,17,16,42,16,17,19,41,20,42,53,16,20,17,1.0
73,33,59,64,13,24,79,61,35,15,81,28,68,75,21,15,68,14,67,60,34,74,20,19,27,66,13,80,61,21,15,35,15,21,27,34,28,35,60,20,28,21,1.0
90,48,42,70,13,20,79,44,51,14,81,23,72,92,3,15,73,14,72,44,50,91,3,2,22,72,14,80,45,4,15,51,15,4,22,50,23,51,44,3,23,4,2.0
77,37,53,74,14,18,78,56,40,16,80,20,76,79,17,16,76,15,75,55,39,78,16,15,19,74,14,79,56,17,16,40,16,17,19,39,20,40,55,16,20,17,1.0
74,34,56,69,13,19,79,58,37,15,81,23,73,76,19,15,73,14,72,58,36,75,19,18,22,72,14,80,59,20,15,37,15,20,22,36,23,37,58,19,23,20,1.0
79,38,54,75,12,17,80,56,40,14,82,19,77,81,15,14,77,13,76,55,39,80,14,13,18,76,13,81,56,15,14,40,14,15,18,39,19,40,55,14,19,15,2.0
77,39,51,74,14,18,78,54,42,16,80,20,76,79,17,16,76,15,75,53,41,78,16,15,19,74,14,79,54,17,16,42,16,17,19,41,20,42,53,16,20,17,1.0
77,38,52,72,13,18,79,54,41,15,81,21,75,79,16,15,75,14,74,54,40,78,16,15,20,74,14,80,55,17,15,41,15,17,20,40,21,41,54,16,21,17,1.0
76,33,59,76,12,16,80,61,35,14,82,18,78,78,18,14,78,13,77,60,34,77,17,16,17,77,13,81,61,18,14,35,14,18,17,34,18,35,60,17,18,18,2.0
79,39,51,74,13,18,79,53,42,15,81,20,76,81,14,15,76,14,75,53,41,80,14,13,19,75,14,80,54,15,15,42,15,15,19,41,20,42,53,14,20,15,1.0
76,34,58,76,12,16,80,60,36,14,82,18,78,78,18,14,78,13,77,59,35,77,17,16,17,77,13,81,60,18,14,36,14,18,17,35,18,36,59,17,18,18,2.0
77,37,53,74,13,18,79,56,40,15,81,20,76,79,17,15,76,14,75,55,39,78,16,15,19,75,14,80,56,17,15,40,15,17,19,39,20,40,55,16,20,17,1.0
74,36,56,76,11,16,81,58,38,13,83,18,78,76,20,13,78,12,77,57,37,75,19,18,17,77,12,82,58,20,13,38,13,20,17,37,18,38,57,19,18,20,2.0
78,37,57,76,12,16,80,58,38,14,82,18,78,80,16,14,78,13,77,57,37,79,15,14,17,77,13,81,58,16,14,38,14,16,17,37,18,38,57,15,18,16,2.0
73,39,55,69,11,21,81,56,40,13,83,24,72,75,21,13,72,12,71,55,39,74,20,19,23,71,12,82,56,21,13,40,13,21,23,39,24,40,55,20,24,21,2.0
75,35,53,65,12,23,80,57,39,14,82,27,69,77,19,14,69,13,68,56,38,76,18,17,26,68,13,81,57,19,14,39,14,19,26,38,27,39,56,18,27,19,1.0
82,41,49,77,11,15,81,51,44,12,83,17,78,84,11,13,79,12,78,51,43,83,11,10,16,78,12,82,52,12,13,44,13,12,16,43,17,44,51,11,17,12,2.0
75,36,54,72,13,18,79,56,39,15,81,21,75,77,18,15,75,14,74,56,38,76,18,17,20,74,14,80,57,19,15,39,15,19,20,38,21,39,56,18,21,19,1.0
78,39,51,74,14,18,78,53,42,16,80,20,76,80,15,16,76,15,75,53,41,79,15,14,19,74,14,79,54,16,16,42,16,16,19,41,20,42,53,15,20,16,1.0
75,35,55,69,13,19,79,58,38,15,81,23,73,77,19,15,73,14,72,57,37,76,18,17,22,72,14,80,58,19,15,38,15,19,22,37,23,38,57,18,23,19,1.0
78,38,52,75,13,17,79,54,41,15,81,19,77,80,15,15,77,14,76,54,40,79,15,14,18,76,14,80,55,16,15,41,15,16,18,40,19,41,54,15,19,16,1.0
75,36,56,72,13,18,79,58,38,15,81,21,75,77,19,15,75,14,74,57,37,76,18,17,20,74,14,80,58,19,15,38,15,19,20,37,21,38,57,18,21,19,1.0
79,35,55,75,12,17,80,58,38,14,82,19,77,81,15,14,77,13,76,57,37,80,14,13,18,76,13,81,58,15,14,38,14,15,18,37,19,38,57,14,19,15,2.0
76,37,53,74,14,18,78,55,40,16,80,20,76,78,17,16,76,15,75,55,39,77,17,16,19,75,15,79,56,18,16,40,16,18,19,39,20,40,55,17,20,18,1.0
74,34,58,75,13,17,79,60,35,14,81,18,76,76,20,14,77,14,76,59,35,75,19,18,18,76,14,80,60,20,15,36,15,20,18,35,19,35,59,19,19,20,1.0
78,37,57,75,12,17,80,58,38,14,82,19,77,80,16,14,77,13,76,57,37,79,15,14,18,76,13,81,58,16,14,38,14,16,18,37,19,38,57,15,19,16,2.0
88,47,43,73,13,17,79,45,50,14,81,20,75,90,5,15,76,14,75,45,49,89,5,4,19,74,13,80,46,6,15,50,15,6,19,49,20,50,45,5,20,6,2.0
75,34,58,75,11,17,81,60,36,13,83,19,77,77,19,13,77,12,76,59,35,76,18,17,18,76,12,82,60,19,13,36,13,19,18,35,19,36,59,18,19,19,2.0
75,36,54,64,13,26,79,57,39,15,81,29,67,77,19,15,67,14,66,56,38,76,18,17,28,66,14,80,57,19,15,39,15,19,28,38,29,39,56,18,29,19,1.0
77,39,51,71,13,19,79,53,42,15,81,22,74,79,16,15,74,14,73,53,41,78,16,15,21,73,14,80,54,17,15,42,15,17,21,41,22,42,53,16,22,17,1.0
75,34,58,76,11,16,81,60,36,13,83,18,78,77,19,13,78,12,77,59,35,76,18,17,17,77,12,82,60,19,13,36,13,19,17,35,18,36,59,18,18,19,2.0
75,36,56,76,12,16,80,58,38,14,82,18,78,77,19,14,78,13,77,57,37,76,18,17,17,77,13,81,58,19,14,38,14,19,17,37,18,38,57,18,18,19,2.0
76,35,55,74,13,18,79,57,38,15,81,20,76,78,17,15,76,14,75,57,37,77,17,16,19,75,14,80,58,18,15,38,15,18,19,37,20,38,57,17,20,18,1.0
85,44,46,77,12,15,80,48,47,13,82,17,78,87,8,14,79,13,78,48,46,86,8,7,16,78,13,81,49,9,14,47,14,9,16,46,17,47,48,8,17,9,2.0
78,32,56,77,12,15,80,58,35,13,82,16,78,81,13,13,79,13,78,59,35,80,14,12,16,78,13,81,60,14,13,36,14,15,16,35,16,35,59,14,17,14,2.0
75,36,54,74,13,18,79,56,39,15,81,20,76,77,18,15,76,14,75,56,38,76,18,17,19,75,14,80,57,19,15,39,15,19,19,38,20,39,56,18,20,19,1.0
77,37,53,75,13,17,79,56,40,15,81,19,77,79,17,15,77,14,76,55,39,78,16,15,18,75,13,80,56,17,15,40,15,17,18,39,19,40,55,16,19,17,1.0
75,35,55,70,12,18,80,58,38,14,82,22,74,77,19,14,74,13,73,57,37,76,18,17,21,73,13,81,58,19,14,38,14,19,21,37,22,38,57,18,22,19,1.0
74,36,56,63,14,27,78,58,38,16,80,30,66,76,20,16,66,15,65,57,37,75,19,18,29,65,15,79,58,20,16,38,16,20,29,37,30,38,57,19,30,20,1.0
75,34,56,71,13,19,79,58,37,15,81,22,74,77,18,15,74,14,73,58,36,76,18,17,21,73,14,80,59,19,15,37,15,19,21,36,22,37,58,18,22,19,1.0
79,36,54,75,12,17,80,57,39,14,82,19,77,81,15,14,77,13,76,56,38,80,14,13,18,76,13,81,57,15,14,39,14,15,18,38,19,39,56,14,19,15,2.0
75,35,55,67,13,21,79,58,38,15,81,25,71,77,19,15,71,14,70,57,37,76,18,17,24,70,14,80,58,19,15,38,15,19,24,37,25,38,57,18,25,19,1.0
82,45,45,76,12,16,80,47,48,13,82,18,77,84,11,14,78,13,77,47,47,83,11,10,17,77,13,81,48,12,14,48,14,12,17,47,18,48,47,11,18,12,2.0
78,33,57,75,12,17,80,59,36,14,82,19,77,80,15,14,77,13,76,59,35,79,15,14,18,76,13,81,60,16,14,36,14,16,18,35,19,36,59,15,19,16,2.0
78,37,51,73,13,17,79,55,41,15,81,20,76,80,16,15,76,14,75,54,40,79,15,14,19,75,14,80,55,16,15,41,15,16,19,40,20,41,54,15,20,16,1.0
75,34,56,63,13,27,79,59,36,14,81,29,65,77,19,14,66,14,65,58,36,76,18,17,29,65,14,80,59,19,15,37,15,19,29,36,30,36,58,18,30,19,1.0
74,32,56,65,13,23,79,60,35,14,81,26,68,76,20,14,69,14,68,59,35,75,19,18,26,68,14,80,60,20,15,36,15,20,26,35,27,35,59,19,27,20,1.0
75,33,59,65,12,25,80,61,35,14,82,28,68,77,19,14,68,13,67,60,34,76,18,17,27,67,13,81,61,19,14,35,14,19,27,34,28,35,60,18,28,19,1.0
76,36,54,74,14,18,78,57,39,16,80,20,76,78,18,16,76,15,75,56,38,77,17,16,19,74,14,79,57,18,16,39,16,18,19,38,20,39,56,17,20,18,1.0
71,35,57,55,13,33,79,59,36,14,81,36,58,73,23,14,59,14,58,58,36,72,22,21,36,58,14,80,59,23,15,37,15,23,36,36,37,36,58,22,37,23,1.0
78,40,50,73,13,17,79,53,43,15,81,20,76,80,16,15,76,14,75,52,42,79,15,14,19,75,14,80,53,16,15,43,15,16,19,42,20,43,52,15,20,16,1.0
80,40,48,74,13,18,79,51,43,15,81,19,76,82,13,15,76,14,75,51,43,81,13,12,19,75,14,80,52,14,15,44,15,14,19,43,20,44,51,13,20,14,2.0
78,41,49,74,14,18,78,52,43,15,80,19,75,80,16,15,76,15,75,51,43,79,15,14,19,75,15,79,52,16,16,44,16,16,19,43,20,43,51,15,20,16,1.0
79,38,52,76,12,16,80,54,40,13,82,17,77,82,13,13,78,13,77,54,40,81,13,11,17,77,13,81,55,13,13,41,14,14,17,40,17,40,54,13,18,13,2.0
76,35,55,74,13,18,79,57,38,15,81,20,76,78,17,15,76,14,75,57,37,77,17,16,19,75,14,80,58,18,15,38,15,18,19,37,20,38,57,17,20,18,1.0
76,37,51,74,13,18,79,54,41,15,81,20,76,79,16,15,76,14,75,54,40,78,16,14,19,75,14,80,55,17,15,41,15,17,19,40,20,41,54,16,20,17,1.0
74,34,58,75,14,17,78,60,35,15,80,18,76,76,20,15,77,15,76,59,35,75,19,18,18,76,15,79,60,20,16,36,16,20,18,35,19,35,59,19,19,20,1.0
77,35,57,75,13,17,79,59,37,15,81,19,77,79,17,15,77,14,76,58,36,78,16,15,18,76,14,80,59,17,15,37,15,17,18,36,19,37,58,16,19,17,2.0
79,36,54,76,11,16,81,57,39,13,83,18,78,81,15,13,78,12,77,56,38,80,14,13,17,77,12,82,57,15,13,39,13,15,17,38,18,39,56,14,18,15,2.0
76,35,53,74,13,18,79,56,39,15,81,20,76,78,17,15,76,14,75,56,38,77,17,16,19,75,14,80,57,18,15,39,15,18,19,38,20,39,56,17,20,18,1.0
82,36,52,77,12,15,80,54,39,13,82,16,78,85,9,13,79,13,78,55,39,84,10,8,16,77,12,81,56,10,13,40,14,11,16,39,16,39,55,10,17,10,2.0
79,33,57,76,11,16,81,60,36,13,83,18,78,81,15,13,78,12,77,59,35,80,14,13,17,77,12,82,60,15,13,36,13,15,17,35,18,36,59,14,18,15,2.0
75,39,51,66,13,20,79,54,42,15,81,25,71,77,19,15,71,14,70,53,41,76,18,17,24,70,14,80,54,19,15,42,15,19,24,41,25,42,53,18,25,19,1.0
77,38,52,74,14,18,78,54,41,16,80,20,76,79,16,16,76,15,75,54,40,78,16,15,19,74,14,79,55,17,16,41,16,17,19,40,20,41,54,16,20,17,1.0
85,48,42,72,13,18,79,44,51,14,81,21,74,87,8,15,75,14,74,44,50,86,8,7,20,74,14,80,45,9,15,51,15,9,20,50,21,51,44,8,21,9,2.0
77,38,52,75,14,17,78,55,40,15,80,18,76,79,17,15,77,15,76,54,40,78,16,15,18,76,15,79,55,17,16,41,16,17,18,40,19,40,54,16,19,17,1.0
72,34,58,63,14,27,78,60,35,15,80,29,65,74,22,15,66,15,65,59,35,73,21,20,29,65,15,79,60,22,16,36,16,22,29,35,30,35,59,21,30,22,1.0
72,38,56,51,12,37,80,57,39,14,82,41,55,74,22,14,55,13,54,56,38,73,21,20,40,54,13,81,57,22,14,39,14,22,40,38,41,39,56,21,41,22,2.0
75,33,59,75,11,17,81,61,35,13,83,19,77,77,19,13,77,12,76,60,34,76,18,17,18,76,12,82,61,19,13,35,13,19,18,34,19,35,60,18,19,19,2.0
77,36,56,76,12,16,80,57,37,13,82,17,77,80,15,13,78,13,77,57,37,79,15,13,17,77,13,81,58,15,13,38,14,16,17,37,17,37,57,15,18,15,2.0
75,36,56,76,12,16,80,57,37,13,82,17,77,78,17,13,78,13,77,57,37,77,17,15,17,77,13,81,58,17,13,38,14,18,17,37,17,37,57,17,18,17,2.0
77,34,56,76,11,16,81,59,37,13,83,18,78,79,17,13,78,12,77,58,36,78,16,15,17,77,12,82,59,17,13,37,13,17,17,36,18,37,58,16,18,17,2.0
73,34,58,63,14,27,78,60,35,15,80,29,65,75,21,15,66,15,65,59,35,74,20,19,29,65,15,79,60,21,16,36,16,21,29,35,30,35,59,20,30,21,1.0
75,34,56,72,13,18,79,59,37,15,81,21,75,77,19,15,75,14,74,58,36,76,18,17,20,74,14,80,59,19,15,37,15,19,20,36,21,37,58,18,21,19,1.0
78,32,58,75,12,17,80,61,35,14,82,19,77,80,16,14,77,13,76,60,34,79,15,14,18,76,13,81,61,16,14,35,14,16,18,34,19,35,60,15,19,16,2.0
72,33,59,57,13,33,79,61,35,15,81,36,60,74,22,15,60,14,59,60,34,73,21,20,35,59,14,80,61,22,15,35,15,22,35,34,36,35,60,21,36,22,1.0
75,36,56,65,13,21,79,58,38,15,81,26,70,77,19,15,70,14,69,57,37,76,18,17,25,69,14,80,58,19,15,38,15,19,25,37,26,38,57,18,26,19,1.0
77,38,52,73,12,17,80,55,41,14,82,20,76,79,17,14,76,13,75,54,40,78,16,15,19,75,13,81,55,17,14,41,14,17,19,40,20,41,54,16,20,17,1.0
71,35,57,68,12,20,80,58,36,13,82,23,71,74,21,13,72,13,71,57,36,73,20,19,23,71,13,81,59,21,13,37,14,22,23,36,23,36,58,21,24,21,2.0
83,37,51,77,11,15,81,54,40,12,83,16,78,86,9,12,79,12,78,54,40,85,9,7,16,78,12,82,55,9,12,41,13,10,16,40,16,40,54,9,17,9,2.0
75,34,58,77,11,15,81,60,36,13,83,17,79,77,19,13,79,12,78,59,35,76,18,17,16,78,12,82,60,19,13,36,13,19,16,35,17,36,59,18,17,19,2.0
76,36,54,74,13,18,79,56,39,15,81,20,76,78,17,15,76,14,75,56,38,77,17,16,19,75,14,80,57,18,15,39,15,18,19,38,20,39,56,17,20,18,1.0
77,37,53,75,12,17,80,55,40,14,82,19,77,79,16,14,77,13,76,55,39,78,16,15,18,76,13,81,56,17,14,40,14,17,18,39,19,40,55,16,19,17,1.0
79,37,53,77,12,15,80,55,39,13,82,16,78,82,13,13,79,13,78,55,39,81,13,11,16,78,13,81,56,13,13,40,14,14,16,39,16,39,55,13,17,13,2.0
75,38,56,74,12,18,80,57,39,14,82,20,76,77,19,14,76,13,75,56,38,76,18,17,19,75,13,81,57,19,14,39,14,19,19,38,20,39,56,18,20,19,2.0
83,38,50,76,12,16,80,53,41,13,82,17,77,86,9,13,78,13,77,53,41,85,9,7,17,77,13,81,54,9,13,42,14,10,17,41,17,41,53,9,18,9,2.0
85,48,42,70,12,20,80,44,51,13,82,23,72,87,8,14,73,13,72,44,50,86,8,7,22,72,13,81,45,9,14,51,14,9,22,50,23,51,44,8,23,9,2.0
74,36,56,76,11,16,81,58,38,13,83,18,78,76,20,13,78,12,77,57,37,75,19,18,17,77,12,82,58,20,13,38,13,20,17,37,18,38,57,19,18,20,2.0
75,37,55,75,14,17,78,57,39,16,80,19,77,77,19,16,77,15,76,56,38,76,18,17,18,75,14,79,57,19,16,39,16,19,18,38,19,39,56,18,19,19,1.0
75,34,56,65,13,25,79,58,37,15,81,28,68,77,18,15,68,14,67,58,36,76,18,17,27,67,14,80,59,19,15,37,15,19,27,36,28,37,58,18,28,19,1.0
75,32,52,71,12,17,80,58,37,13,82,20,74,77,19,13,75,13,74,57,37,76,18,17,20,74,13,81,58,19,14,38,14,19,20,37,21,37,57,18,21,19,1.0
77,38,50,75,13,17,79,54,42,15,81,19,77,79,17,15,77,14,76,53,41,78,16,15,18,75,13,80,54,17,15,42,15,17,18,41,19,42,53,16,19,17,1.0
76,34,58,75,13,17,79,59,36,15,81,19,77,78,17,15,77,14,76,59,35,77,17,16,18,76,14,80,60,18,15,36,15,18,18,35,19,36,59,17,19,18,1.0
75,34,58,64,13,22,79,60,36,15,81,27,69,77,19,15,69,14,68,59,35,76,18,17,26,68,14,80,60,19,15,36,15,19,26,35,27,36,59,18,27,19,1.0
73,36,58,66,13,22,79,59,37,15,81,26,70,75,21,15,70,14,69,58,36,74,20,19,25,68,13,80,59,21,15,37,15,21,25,36,26,37,58,20,26,21,1.0
75,35,57,64,13,24,79,59,37,15,81,28,68,77,19,15,68,14,67,58,36,76,18,17,27,67,14,80,59,19,15,37,15,19,27,36,28,37,58,18,28,19,1.0
