@relation 'Sax dominant'

@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atLcc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute destClass {2.0,3.0,7.0,6.0,4.0,5.0,1.0}

@data
70,53,38,23,40,55,71,24,40,55,71,24,3.0
68,59,33,25,34,60,69,26,35,61,69,26,7.0
70,57,32,23,35,60,71,24,35,60,71,24,3.0
70,59,32,24,34,61,71,25,34,61,70,24,5.0
73,52,38,20,41,55,74,21,40,54,74,21,7.0
70,56,35,22,37,58,72,24,37,58,71,23,6.0
66,46,47,24,48,47,69,27,48,47,68,26,1.0
70,53,38,23,40,55,71,24,40,55,71,24,6.0
75,51,37,18,41,55,76,19,40,54,76,19,3.0
77,61,30,16,32,63,78,17,32,63,78,17,3.0
69,59,31,24,34,62,70,25,33,61,70,25,6.0
71,49,42,23,44,51,72,24,44,51,71,23,5.0
61,60,31,30,33,62,63,32,33,62,63,32,3.0
69,49,44,23,45,50,71,25,45,50,70,24,1.0
68,57,34,25,36,59,69,26,36,59,69,26,7.0
68,51,39,25,42,54,69,26,41,53,69,26,2.0
68,50,40,25,43,53,69,26,42,52,69,26,1.0
48,56,35,43,37,58,50,45,37,58,50,45,1.0
68,61,28,24,31,64,70,26,31,64,69,25,1.0
67,45,48,26,49,46,68,27,49,46,68,27,1.0
71,52,38,22,41,55,72,23,40,54,72,23,5.0
76,57,33,17,36,60,77,18,35,59,77,18,2.0
77,52,39,17,41,54,78,18,41,54,77,17,3.0
71,55,37,23,39,57,72,24,38,56,71,23,3.0
69,47,41,24,45,51,70,25,44,50,70,25,7.0
63,62,29,28,31,64,65,30,31,64,65,30,5.0
69,47,42,25,45,50,70,26,45,50,69,25,6.0
76,59,31,17,34,62,77,18,33,61,77,18,2.0
70,56,35,23,37,58,71,24,37,58,71,24,6.0
74,44,47,19,49,46,75,20,49,46,75,20,2.0
67,47,43,26,46,50,68,27,45,49,68,27,7.0
63,51,40,29,42,53,65,31,42,53,64,30,5.0
79,72,19,14,21,74,80,15,21,74,80,15,1.0
69,60,31,24,33,62,70,25,33,62,70,25,3.0
75,48,43,18,45,50,76,19,45,50,76,19,2.0
68,46,47,24,48,47,70,26,48,47,69,25,6.0
69,66,27,24,28,67,70,25,28,67,70,25,6.0
70,56,35,23,37,58,71,24,37,58,71,24,6.0
76,52,36,17,40,56,77,18,39,55,77,18,5.0
68,56,34,24,37,59,70,26,36,58,69,25,5.0
75,61,30,18,32,63,76,19,32,63,76,19,3.0
64,56,35,26,37,58,67,29,37,58,66,28,1.0
67,58,35,24,36,59,69,26,36,59,69,26,2.0
67,53,37,26,40,56,68,27,39,55,68,27,7.0
65,58,33,27,35,60,67,29,35,60,66,28,2.0
67,52,39,26,41,54,68,27,41,54,68,27,1.0
70,47,42,23,45,50,71,24,45,50,71,24,5.0
69,47,46,22,47,48,71,24,47,48,71,24,5.0
72,56,33,21,36,59,73,22,36,59,73,22,7.0
72,49,41,22,44,52,73,23,43,51,72,22,5.0
76,70,23,17,24,71,77,18,24,71,77,18,1.0
71,48,45,21,46,49,73,23,46,49,72,22,5.0
70,47,41,23,45,51,71,24,44,50,71,24,5.0
69,61,30,24,32,63,70,25,32,63,70,25,5.0
72,53,38,22,40,55,73,23,40,55,72,22,3.0
69,40,50,24,53,43,70,25,52,42,70,25,7.0
71,58,33,22,35,60,72,23,35,60,72,23,6.0
75,59,32,18,34,61,76,19,34,61,76,19,2.0
74,67,24,18,26,69,76,20,26,69,75,19,3.0
68,55,36,24,38,57,70,26,38,57,69,25,5.0
75,64,28,18,30,66,76,19,29,65,76,19,3.0
59,61,30,32,32,63,61,34,32,63,61,34,4.0
69,48,45,23,46,49,71,25,46,49,70,24,3.0
69,52,39,22,41,54,71,24,41,54,71,24,5.0
75,57,32,18,35,60,76,19,35,60,76,19,3.0
75,47,44,18,46,49,76,19,46,49,76,19,3.0
69,62,28,24,31,65,70,25,30,64,70,25,6.0
68,60,31,25,33,62,69,26,33,62,69,26,3.0
69,46,47,22,48,47,71,24,48,47,71,24,3.0
72,47,45,22,47,49,73,23,46,48,72,22,2.0
57,58,33,33,35,60,60,36,35,60,59,35,2.0
82,61,29,12,32,64,83,13,31,63,82,12,2.0
71,57,34,22,36,59,72,23,36,59,72,23,6.0
70,57,34,23,36,59,71,24,36,59,71,24,4.0
72,44,49,20,50,45,74,22,50,45,73,21,4.0
67,59,32,26,34,61,68,27,34,61,68,27,2.0
69,64,26,24,29,67,70,25,28,66,70,25,7.0
74,47,46,18,47,48,76,20,47,48,75,19,4.0
67,65,26,26,28,67,68,27,28,67,68,27,2.0
65,53,38,28,40,55,66,29,40,55,66,29,5.0
74,60,29,19,32,63,75,20,32,63,75,20,5.0
67,66,25,25,27,68,69,27,27,68,68,26,5.0
70,47,43,23,46,50,71,24,45,49,71,24,3.0
68,59,32,25,34,61,69,26,34,61,69,26,4.0
73,55,36,20,38,57,74,21,38,57,74,21,6.0
72,60,31,21,33,62,73,22,33,62,73,22,3.0
69,62,29,24,31,64,70,25,31,64,70,25,3.0
72,49,39,21,43,53,73,22,42,52,73,22,7.0
71,50,39,22,42,53,72,23,42,53,72,23,7.0
70,75,18,23,19,76,71,24,19,76,71,24,6.0
77,56,31,16,35,60,78,17,35,60,78,17,2.0
70,55,36,20,38,57,73,23,38,57,72,22,6.0
74,47,43,20,46,50,75,21,45,49,74,20,6.0
71,53,38,20,40,55,73,22,40,55,73,22,6.0
62,63,28,29,30,65,64,31,30,65,64,31,1.0
70,50,40,23,43,53,71,24,42,52,71,24,4.0
67,55,36,25,38,57,69,27,38,57,68,26,5.0
70,55,37,23,39,57,71,24,38,56,71,24,7.0
65,57,34,27,36,59,67,29,36,59,66,28,2.0
65,46,48,25,49,47,68,28,48,46,67,27,1.0
72,56,35,20,37,58,74,22,37,58,73,21,5.0
80,71,22,12,23,72,82,14,23,72,81,13,2.0
69,59,32,22,34,61,71,24,34,61,71,24,6.0
69,51,39,24,42,54,70,25,41,53,70,25,2.0
68,67,24,26,26,69,69,27,26,69,68,26,3.0
69,64,26,24,29,67,70,25,28,66,70,25,7.0
62,53,38,28,40,55,65,31,40,55,64,30,4.0
69,59,32,24,34,61,70,25,34,61,70,25,2.0
70,57,34,23,36,59,71,24,36,59,71,24,6.0
62,56,35,29,37,58,64,31,37,58,64,31,3.0
66,51,40,24,42,53,69,27,42,53,68,26,1.0
71,47,46,22,47,48,72,23,47,48,72,23,6.0
74,61,31,19,33,63,75,20,32,62,75,20,2.0
65,61,30,26,32,63,67,28,32,63,67,28,2.0
68,62,31,25,32,63,69,26,32,63,69,26,6.0
65,47,46,27,47,48,67,29,47,48,66,28,2.0
65,45,48,25,49,46,68,28,49,46,67,27,1.0
63,60,31,28,33,62,65,30,33,62,65,30,3.0
74,72,21,19,22,73,75,20,22,73,75,20,1.0
76,55,34,18,37,58,77,19,37,58,76,18,6.0
67,61,28,25,31,64,69,27,31,64,68,26,4.0
72,56,35,19,37,58,74,21,37,58,74,21,3.0
68,53,38,25,40,55,69,26,40,55,69,26,2.0
68,54,37,25,39,56,69,26,39,56,69,26,1.0
69,42,48,24,51,45,70,25,50,44,70,25,4.0
74,46,47,19,48,47,75,20,48,47,75,20,3.0
63,75,18,28,19,76,65,30,19,76,65,30,3.0
70,57,34,23,36,59,71,24,36,59,71,24,7.0
67,49,42,25,44,51,69,27,44,51,68,26,2.0
67,51,40,26,42,53,68,27,42,53,68,27,2.0
73,62,29,20,31,64,74,21,31,64,74,21,5.0
69,64,27,23,29,66,71,25,29,66,70,24,3.0
68,57,34,25,36,59,69,26,36,59,69,26,6.0
70,50,39,23,42,53,71,24,42,53,71,24,7.0
69,44,46,24,49,47,70,25,48,46,70,25,4.0
68,50,40,25,43,53,69,26,42,52,69,26,1.0
65,49,44,26,45,50,67,28,45,50,67,28,1.0
73,60,31,20,33,62,74,21,33,62,74,21,4.0
75,59,30,18,33,62,76,19,33,62,76,19,3.0
75,57,32,18,35,60,76,19,35,60,76,19,3.0
70,49,42,20,44,51,73,23,44,51,72,22,6.0
66,71,20,26,22,73,68,28,22,73,67,27,2.0
70,47,41,23,45,51,71,24,44,50,71,24,4.0
73,58,34,20,36,60,74,21,35,59,74,21,3.0
68,58,33,25,35,60,69,26,35,60,69,26,7.0
68,65,28,25,29,66,69,26,29,66,69,26,5.0
70,68,23,23,25,70,71,24,25,70,71,24,6.0
70,48,43,23,45,50,71,24,45,50,71,24,7.0
68,47,41,25,45,51,69,26,44,50,69,26,2.0
61,59,32,30,34,61,63,32,34,61,63,32,3.0
75,56,34,18,37,59,76,19,36,58,76,19,2.0
66,45,46,27,48,47,67,28,48,47,67,28,1.0
69,60,31,24,33,62,70,25,33,62,70,25,4.0
70,55,36,21,38,57,72,23,38,57,72,23,6.0
63,59,32,29,34,61,65,31,34,61,64,30,5.0
69,58,33,24,35,60,70,25,35,60,70,25,5.0
67,58,33,26,35,60,68,27,35,60,68,27,2.0
69,53,37,24,40,56,70,25,39,55,70,25,5.0
70,57,34,23,36,59,71,24,36,59,71,24,6.0
70,45,44,23,47,48,71,24,47,48,71,24,7.0
73,40,48,19,52,44,75,21,51,43,74,20,1.0
77,53,37,16,40,56,78,17,39,55,78,17,2.0
60,64,27,31,29,66,62,33,29,66,62,33,2.0
71,53,37,22,40,56,72,23,39,55,72,23,6.0
69,68,25,24,26,69,70,25,26,69,70,25,5.0
70,46,42,23,46,50,71,24,45,49,71,24,4.0
