@relation 'Sax dominant'

@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atLccc numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMcac numeric
@attribute o1atLcac numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMbca numeric
@attribute o1atLbca numeric
@attribute destClass {2.0,1.0}

@data
27,67,25,66,23,70,24,69,22,20,68,65,72,22,70,21,24,67,25,69,23,68,26,65,27,24,68,23,25,21,26,22,27,22,25,24,71,20,24,22,23,23,25,22,26,20,26,24,27,23,25,23,1.0
37,54,37,53,34,52,39,51,40,36,49,52,54,38,53,38,35,55,36,57,35,56,38,53,39,41,49,40,37,38,38,40,39,38,36,41,54,36,35,40,35,40,37,40,38,36,38,39,37,40,37,40,2.0
39,55,37,54,35,62,32,61,30,28,60,53,64,30,62,29,36,55,37,57,35,56,38,53,39,32,60,31,37,29,38,30,39,30,37,32,63,28,36,30,35,31,37,30,38,28,38,32,39,31,37,31,1.0
15,77,13,76,7,78,16,77,14,12,76,73,80,14,78,13,10,79,11,81,7,80,14,73,15,16,76,15,13,13,14,14,15,14,11,16,79,12,10,14,7,15,13,14,14,12,14,16,15,15,13,15,2.0
35,57,34,56,30,56,36,55,35,31,53,54,59,34,57,33,32,58,33,60,30,59,35,54,36,37,53,36,34,33,35,35,36,34,33,37,58,31,32,35,30,36,34,35,35,31,35,36,35,36,34,36,1.0
37,57,35,56,33,60,34,59,32,30,58,55,62,32,60,31,34,57,35,59,33,58,36,55,37,34,58,33,35,31,36,32,37,32,35,34,61,30,34,32,33,33,35,32,36,30,36,34,37,33,35,33,1.0
33,61,31,60,29,71,23,70,21,19,69,59,73,21,71,20,30,61,31,63,29,62,32,59,33,23,69,22,31,20,32,21,33,21,31,23,72,19,30,21,29,22,31,21,32,19,32,23,33,22,31,22,1.0
35,59,33,58,31,65,29,64,27,25,63,57,67,27,65,26,32,59,33,61,31,60,34,57,35,29,63,28,33,26,34,27,35,27,33,29,66,25,32,27,31,28,33,27,34,25,34,29,35,28,33,28,1.0
34,59,33,58,31,62,31,61,30,28,60,57,64,30,62,29,32,59,33,61,31,60,34,57,35,32,60,31,33,29,34,30,35,30,33,32,63,28,32,30,31,31,33,30,34,28,34,31,34,31,33,31,1.0
20,71,19,70,14,76,17,75,17,15,74,67,77,16,76,16,16,73,17,75,14,74,20,68,21,18,74,17,19,16,20,17,21,16,17,18,77,15,16,17,14,17,19,17,20,15,20,17,20,17,19,17,1.0
33,60,31,59,27,69,25,68,23,21,67,57,71,23,69,22,29,61,30,63,27,62,32,57,33,25,67,24,31,22,32,23,33,23,30,25,70,21,29,23,27,24,31,23,32,21,32,25,33,24,31,24,1.0
33,61,31,60,29,57,37,56,35,33,55,59,59,35,57,34,30,61,31,63,29,62,32,59,33,37,55,36,31,34,32,35,33,35,31,37,58,33,30,35,29,36,31,35,32,33,32,37,33,36,31,36,2.0
28,63,25,62,25,63,26,62,24,19,59,60,67,23,66,22,25,64,27,66,25,65,28,61,30,28,59,26,28,23,29,24,30,23,27,28,67,20,26,27,25,27,27,26,29,20,28,26,28,26,25,27,2.0
32,59,32,58,28,66,26,65,26,24,64,56,68,25,66,25,30,60,30,62,28,61,32,56,33,27,64,26,32,25,32,26,34,26,31,28,67,24,30,26,28,27,32,26,33,24,33,26,32,27,32,26,1.0
27,59,28,58,20,61,28,60,28,24,57,53,64,27,63,26,23,64,23,65,21,65,28,56,30,31,57,29,29,27,29,29,30,27,23,31,64,24,23,30,21,30,28,29,29,24,28,28,27,29,28,30,2.0
31,60,29,59,27,67,24,66,22,20,64,57,70,22,68,21,28,61,29,63,27,62,30,57,32,25,64,23,31,22,31,22,33,23,30,26,69,20,29,24,27,25,30,23,32,20,31,24,31,24,29,24,1.0
28,63,28,62,24,77,14,76,14,10,74,60,80,12,78,12,26,64,26,66,24,65,28,60,29,15,74,14,28,12,28,14,30,13,27,16,79,10,26,14,24,15,28,14,29,10,29,14,28,15,28,14,1.0
27,66,25,65,21,62,32,61,30,28,60,63,64,30,62,29,23,67,24,69,21,68,26,63,27,32,60,31,25,29,26,30,27,30,24,32,63,28,23,30,21,31,25,30,26,28,26,32,27,31,25,31,2.0
34,60,32,59,30,61,33,60,31,29,59,58,63,31,61,30,31,60,32,62,30,61,33,58,34,33,59,32,32,30,33,31,34,31,32,33,62,29,31,31,30,32,32,31,33,29,33,33,34,32,32,32,1.0
21,73,19,72,17,59,35,58,33,31,57,71,61,33,59,32,18,73,19,75,17,74,20,71,21,35,57,34,19,32,20,33,21,33,19,35,60,31,18,33,17,34,19,33,20,31,20,35,21,34,19,34,2.0
27,67,25,66,23,56,38,55,37,35,54,65,57,36,56,36,24,67,25,69,23,68,26,65,27,38,54,37,25,36,26,37,27,36,25,38,57,35,24,37,23,37,25,37,26,35,26,38,27,37,25,37,2.0
22,71,21,70,19,75,18,74,18,16,73,69,76,17,75,17,20,71,21,73,19,72,22,69,23,19,73,18,21,17,22,18,23,17,21,19,76,16,20,18,19,18,21,18,22,16,22,18,22,18,21,18,1.0
21,71,21,71,19,64,28,63,28,24,61,70,66,26,65,26,20,72,20,73,19,72,21,70,22,28,61,28,21,26,21,28,22,26,21,29,66,24,20,28,19,28,21,28,22,24,22,28,21,28,21,28,2.0
33,58,31,57,24,72,21,71,18,15,69,53,75,18,73,17,28,61,28,62,24,62,32,53,33,21,69,20,32,17,32,18,33,18,28,21,74,15,28,19,24,20,32,19,32,15,32,21,33,20,31,20,2.0
24,65,25,64,20,80,10,79,11,7,77,61,83,9,81,9,22,67,22,69,20,68,25,62,26,12,77,11,25,9,25,11,27,10,23,13,82,7,22,11,20,12,25,11,26,7,26,10,24,12,25,11,1.0
27,67,25,66,23,68,26,67,24,22,66,65,70,24,68,23,24,67,25,69,23,68,26,65,27,26,66,25,25,23,26,24,27,24,25,26,69,22,24,24,23,25,25,24,26,22,26,26,27,25,25,25,1.0
35,59,33,58,31,65,29,64,27,25,63,57,67,27,65,26,32,59,33,61,31,60,34,57,35,29,63,28,33,26,34,27,35,27,33,29,66,25,32,27,31,28,33,27,34,25,34,29,35,28,33,28,1.0
32,60,32,59,29,66,26,65,26,22,63,57,68,24,67,24,30,61,30,62,29,62,32,58,33,27,63,26,32,24,32,26,33,24,30,27,68,22,30,26,29,26,32,26,32,22,32,26,32,26,32,26,2.0
35,59,33,58,31,67,27,66,25,23,65,57,69,25,67,24,32,59,33,61,31,60,34,57,35,27,65,26,33,24,34,25,35,25,33,27,68,23,32,25,31,26,33,25,34,23,34,27,35,26,33,26,1.0
34,60,32,59,30,70,24,69,22,20,68,58,72,22,70,21,31,60,32,62,30,61,33,58,34,24,68,23,32,21,33,22,34,22,32,24,71,20,31,22,30,23,32,22,33,20,33,24,34,23,32,23,1.0
22,71,22,70,20,63,28,62,27,22,60,69,67,25,65,24,21,71,21,72,20,72,22,69,23,29,61,28,22,24,22,27,23,25,21,29,66,23,21,27,20,28,22,27,22,23,22,28,22,28,22,28,2.0
18,75,16,74,13,68,26,67,24,22,66,72,70,24,68,23,14,76,15,78,13,77,17,73,18,26,66,25,16,23,17,24,18,24,15,26,69,22,14,24,13,25,16,24,17,22,17,26,18,25,16,25,1.0
18,73,18,73,14,75,18,74,18,16,73,72,76,17,75,17,16,75,16,76,15,75,18,72,19,18,73,18,18,17,18,18,19,17,17,19,76,16,16,18,15,18,18,18,19,16,19,18,18,18,18,18,2.0
6,87,4,86,0,93,2,92,0,0,92,84,94,1,92,0,2,88,3,90,0,89,5,84,6,2,92,1,4,0,5,0,6,1,3,2,93,0,2,0,0,1,4,0,5,0,5,2,6,1,4,1,2.0
36,58,34,57,32,66,28,65,26,24,64,56,68,26,66,25,33,58,34,60,32,59,35,56,36,28,64,27,34,25,35,26,36,26,34,28,67,24,33,26,32,27,34,26,35,24,35,28,36,27,34,27,1.0
28,64,28,63,26,66,24,65,24,18,62,62,70,22,68,21,27,64,28,66,26,65,29,62,30,26,62,25,28,21,29,24,30,22,28,26,69,18,27,24,26,25,28,24,29,18,29,24,28,25,28,25,1.0
36,58,34,57,32,57,37,56,35,33,55,56,59,35,57,34,33,58,34,60,32,59,35,56,36,37,55,36,34,34,35,35,36,35,34,37,58,33,33,35,32,36,34,35,35,33,35,37,36,36,34,36,2.0
29,63,29,62,27,59,31,58,31,25,55,61,63,28,61,28,28,63,28,65,27,64,29,61,30,32,55,31,29,28,29,31,31,29,29,33,62,25,28,31,27,32,29,31,30,25,30,31,29,32,29,31,1.0
27,66,25,65,21,68,26,67,24,22,66,63,70,24,68,23,23,67,24,69,21,68,26,63,27,26,66,25,25,23,26,24,27,24,24,26,69,22,23,24,21,25,25,24,26,22,26,26,27,25,25,25,1.0
32,60,32,59,30,64,25,63,25,17,59,58,69,22,67,21,31,60,32,62,30,61,33,58,34,27,59,26,32,21,33,25,34,22,32,27,68,17,31,25,30,26,32,25,33,17,33,25,32,26,32,26,1.0
24,68,22,67,18,57,37,56,35,33,55,65,59,35,57,34,19,70,20,72,19,71,23,67,24,37,55,36,22,34,23,35,24,35,20,37,58,33,19,35,19,36,22,35,23,33,23,37,24,36,22,36,2.0
32,58,33,57,29,63,28,62,29,27,61,56,65,28,63,28,31,59,31,61,30,60,33,56,34,30,61,29,33,28,33,29,35,29,32,31,64,27,31,29,30,30,33,29,34,27,34,28,32,30,33,29,1.0
19,71,18,70,16,80,10,79,10,8,77,68,82,9,81,9,17,72,18,74,16,73,19,68,21,12,77,10,20,10,20,10,22,10,19,13,82,8,18,12,16,12,19,11,21,8,20,10,19,11,18,11,2.0
33,61,31,60,29,61,33,60,31,29,59,59,63,31,61,30,30,61,31,63,29,62,32,59,33,33,59,32,31,30,32,31,33,31,31,33,62,29,30,31,29,32,31,31,32,29,32,33,33,32,31,32,2.0
28,66,26,65,24,56,38,55,37,35,54,64,57,36,56,36,25,66,26,68,24,67,27,64,28,38,54,37,26,36,27,37,28,36,26,38,57,35,25,37,24,37,26,37,27,35,27,38,28,37,26,37,2.0
27,63,27,63,21,62,28,61,28,20,57,60,66,24,65,24,24,66,24,67,21,66,27,60,28,28,57,28,27,24,27,28,28,24,25,29,66,20,24,28,21,28,27,28,28,20,28,28,27,28,27,28,2.0
33,61,31,60,29,69,25,68,23,21,67,59,71,23,69,22,30,61,31,63,29,62,32,59,33,25,67,24,31,22,32,23,33,23,31,25,70,21,30,23,29,24,31,23,32,21,32,25,33,24,31,24,1.0
37,56,35,55,31,67,27,66,25,23,65,53,69,25,67,24,33,57,34,59,31,58,36,53,37,27,65,26,35,24,36,25,37,25,34,27,68,23,33,25,31,26,35,25,36,23,36,27,37,26,35,26,1.0
7,85,5,84,0,90,4,89,2,0,88,81,92,2,90,1,2,87,3,89,0,88,6,82,7,4,88,3,5,1,6,2,7,2,3,4,91,0,2,2,0,3,5,2,6,0,6,4,7,3,5,3,2.0
33,59,32,58,28,55,37,54,37,34,53,56,57,35,56,35,30,60,31,62,28,61,33,56,34,38,54,37,32,35,33,37,34,35,31,38,57,35,30,37,28,37,32,37,33,35,33,37,33,37,32,37,2.0
34,59,33,58,31,63,30,62,30,28,61,57,64,29,63,29,32,59,33,61,31,60,34,57,35,31,61,30,33,29,34,30,35,29,33,31,64,28,32,30,31,30,33,30,34,28,34,30,34,30,33,30,2.0
28,65,26,64,22,54,40,53,38,36,52,63,56,38,54,37,24,66,25,68,23,67,27,63,28,40,52,39,26,37,27,38,28,38,25,40,55,36,24,38,23,39,26,38,27,36,27,40,28,39,26,39,2.0
24,70,22,69,20,52,41,51,39,35,49,68,55,38,53,37,21,70,22,72,20,71,23,68,24,41,49,40,22,37,23,39,24,38,22,41,54,35,21,39,20,40,22,39,23,35,23,41,24,40,22,40,2.0
13,79,11,78,5,68,26,67,24,22,66,75,70,24,68,23,8,81,9,83,5,82,12,75,13,26,66,25,11,23,12,24,13,24,9,26,69,22,8,24,5,25,11,24,12,22,12,26,13,25,11,25,1.0
37,57,35,56,33,60,34,59,32,30,58,55,62,32,60,31,34,57,35,59,33,58,36,55,37,34,58,33,35,31,36,32,37,32,35,34,61,30,34,32,33,33,35,32,36,30,36,34,37,33,35,33,1.0
28,65,27,64,25,64,29,63,29,27,62,63,65,28,64,28,26,65,27,67,25,66,28,63,29,30,62,29,27,28,28,29,29,28,27,30,65,27,26,29,25,29,27,29,28,27,28,29,28,29,27,29,2.0
27,64,28,63,26,75,15,74,16,12,73,62,78,14,76,14,27,64,27,66,26,65,28,62,29,17,73,16,28,14,28,16,30,15,28,18,77,13,27,16,26,17,28,16,29,13,29,15,27,17,28,16,1.0
17,75,15,74,13,73,19,72,16,14,70,72,76,17,74,15,14,76,15,78,13,77,16,73,18,20,70,18,16,16,17,17,18,17,15,20,75,14,14,18,13,19,15,17,17,14,16,19,17,18,15,19,1.0
4,88,3,87,0,76,17,75,16,14,74,86,78,16,76,15,1,89,2,91,1,90,4,87,5,18,74,17,3,15,4,16,5,16,2,18,77,14,1,16,1,17,3,16,4,14,4,17,4,17,3,17,1.0
26,68,24,67,22,69,25,68,23,21,67,66,71,23,69,22,23,68,24,70,22,69,25,66,26,25,67,24,24,22,25,23,26,23,24,25,70,21,23,23,22,24,24,23,25,21,25,25,26,24,24,24,1.0
36,56,35,55,31,56,37,55,37,35,54,53,57,36,56,36,33,57,34,59,31,58,36,53,37,38,54,37,35,36,36,37,37,36,34,38,57,35,33,37,31,37,35,37,36,35,36,37,36,37,35,37,2.0
27,65,26,64,23,57,36,56,36,34,55,62,58,35,57,35,24,66,25,68,23,67,27,63,28,37,55,36,26,35,27,36,28,35,25,37,58,34,24,36,23,36,26,36,27,34,27,36,27,36,26,36,2.0
32,60,32,59,30,62,30,61,30,28,60,58,64,30,62,29,31,60,32,62,30,61,33,58,34,32,60,31,32,29,33,30,34,30,32,32,63,28,31,30,30,31,32,30,33,28,33,30,32,31,32,31,1.0
39,55,37,54,35,61,32,60,30,26,59,53,64,29,62,28,36,55,37,57,35,56,38,53,39,32,59,31,37,28,38,30,39,29,37,32,63,27,36,30,35,31,37,30,38,27,38,32,39,31,37,31,2.0
33,59,30,58,28,58,31,57,29,22,53,56,63,26,62,26,30,60,31,62,28,61,33,56,34,32,54,31,32,26,33,29,34,26,31,32,63,23,30,31,28,31,32,31,33,23,33,31,33,31,30,31,2.0
30,63,28,62,24,56,38,55,37,35,54,60,57,36,56,36,26,64,27,66,24,65,29,60,30,38,54,37,28,36,29,37,30,36,27,38,57,35,26,37,24,37,28,37,29,35,29,38,30,37,28,37,2.0
35,56,35,55,31,70,21,69,21,18,67,53,73,20,71,19,33,57,34,59,31,58,36,53,37,23,68,22,35,19,36,21,37,20,34,23,72,18,33,21,31,22,35,21,36,18,36,21,35,22,35,22,1.0
24,66,21,65,15,66,26,65,24,22,63,62,69,24,67,23,18,69,20,71,16,70,23,62,25,27,64,25,23,23,24,24,25,24,20,27,68,22,19,25,16,26,22,24,24,22,23,26,24,25,22,26,1.0
40,54,38,53,36,63,31,62,29,27,61,52,65,29,63,28,37,54,38,56,36,55,39,52,40,31,61,30,38,28,39,29,40,29,38,31,64,27,37,29,36,30,38,29,39,27,39,31,40,30,38,30,1.0
5,86,5,85,1,79,13,78,13,11,77,83,81,12,79,12,3,87,3,89,1,88,5,83,6,14,77,13,5,12,5,13,7,13,4,15,80,11,3,13,1,14,5,13,6,11,6,13,5,14,5,13,1.0
25,69,23,68,21,72,22,71,20,18,70,67,74,20,72,19,22,69,23,71,21,70,24,67,25,22,70,21,23,19,24,20,25,20,23,22,73,18,22,20,21,21,23,20,24,18,24,22,25,21,23,21,1.0
9,82,8,81,2,89,3,88,3,0,86,78,91,1,90,1,5,84,6,86,2,85,9,78,10,4,87,3,8,1,9,3,10,1,6,4,91,0,5,3,2,3,8,3,9,0,9,3,9,3,8,3,2.0
22,71,22,70,20,62,30,61,29,25,59,69,65,28,63,27,21,71,21,72,20,72,22,69,23,31,59,30,22,27,22,29,23,28,21,31,64,25,21,29,20,30,22,29,22,25,22,30,22,30,22,30,2.0
32,61,31,60,29,59,33,58,32,28,56,59,62,31,60,30,30,61,31,63,29,62,32,59,33,34,56,33,31,30,32,32,33,31,31,34,61,28,30,32,29,33,31,32,32,28,32,33,32,33,31,33,1.0
16,77,14,76,10,85,8,84,6,2,82,74,88,5,86,4,12,78,13,80,10,79,15,74,16,8,82,7,14,4,15,6,16,5,13,8,87,2,12,6,10,7,14,6,15,2,15,8,16,7,14,7,2.0
39,55,37,54,35,65,29,64,27,25,63,53,67,27,65,26,36,55,37,57,35,56,38,53,39,29,63,28,37,26,38,27,39,27,37,29,66,25,36,27,35,28,37,27,38,25,38,29,39,28,37,28,1.0
33,47,33,46,29,46,34,45,36,32,39,40,52,34,51,35,31,53,32,55,29,54,35,44,38,40,41,38,39,36,37,37,41,36,33,43,52,32,32,42,30,42,37,40,40,32,38,36,34,40,34,39,1.0
13,78,12,77,7,94,0,93,0,0,93,74,94,0,93,0,9,80,10,82,7,81,13,75,14,1,93,0,12,0,13,0,14,0,10,1,94,0,9,0,7,0,12,0,13,0,13,0,13,0,12,0,2.0
4,90,2,89,0,80,13,79,11,7,77,88,83,10,81,9,1,90,2,92,0,91,3,88,4,13,77,12,2,9,3,11,4,10,2,13,82,7,1,11,0,12,2,11,3,7,3,13,4,12,2,12,1.0
26,68,24,67,22,66,28,65,26,24,64,66,68,26,66,25,23,68,24,70,22,69,25,66,26,28,64,27,24,25,25,26,26,26,24,28,67,24,23,26,22,27,24,26,25,24,25,28,26,27,24,27,1.0
22,69,21,69,18,71,21,70,20,18,68,67,73,19,72,19,20,71,20,72,18,71,22,67,23,21,69,21,22,19,22,20,23,19,21,22,73,18,20,21,18,21,22,21,23,18,23,21,22,21,21,21,2.0
13,78,12,77,4,93,2,92,0,0,92,74,94,1,92,0,8,81,8,82,5,82,12,74,13,2,92,1,12,0,12,0,13,1,8,2,93,0,8,0,5,1,12,0,12,0,12,2,13,1,12,1,2.0
23,70,21,69,18,58,36,57,34,32,56,67,60,34,58,33,19,71,20,73,18,72,22,68,23,36,56,35,21,33,22,34,23,34,20,36,59,32,19,34,18,35,21,34,22,32,22,36,23,35,21,35,2.0
23,70,22,69,20,68,25,67,24,22,66,68,70,24,68,23,21,70,22,72,20,71,23,68,24,26,66,25,22,23,23,24,24,24,22,26,69,22,21,24,20,25,22,24,23,22,23,25,23,25,22,25,1.0
24,68,21,67,17,55,39,54,36,35,53,65,57,37,55,36,19,70,20,72,18,71,23,66,24,39,53,38,22,36,23,36,24,37,20,39,56,35,19,37,18,38,22,37,23,35,23,39,24,38,21,38,2.0
28,66,26,65,24,59,35,58,33,31,57,64,61,33,59,32,25,66,26,68,24,67,27,64,28,35,57,34,26,32,27,33,28,33,26,35,60,31,25,33,24,34,26,33,27,31,27,35,28,34,26,34,2.0
28,63,28,62,24,67,24,66,23,18,63,60,71,21,69,20,26,64,26,66,24,65,28,60,29,24,64,23,28,20,28,23,30,21,27,25,70,18,26,23,24,24,28,23,29,18,29,24,29,24,28,23,1.0
36,57,34,56,30,69,25,68,23,21,67,54,71,23,69,22,32,58,33,60,30,59,35,54,36,25,67,24,34,22,35,23,36,23,33,25,70,21,32,23,30,24,34,23,35,21,35,25,36,24,34,24,2.0
33,59,30,58,28,62,30,61,27,25,59,56,65,28,63,26,29,60,31,62,28,61,32,56,34,31,59,29,32,27,33,27,34,28,31,31,64,25,30,29,28,30,31,28,33,25,32,30,33,29,30,30,1.0
10,81,8,80,1,83,10,82,8,4,80,77,86,7,84,6,4,84,5,86,2,85,9,78,10,10,80,9,8,6,9,8,10,7,5,10,85,4,4,8,2,9,8,8,9,4,9,10,10,9,8,9,2.0
8,83,6,82,0,89,5,88,3,1,87,79,91,3,89,2,2,86,3,88,1,87,7,81,8,5,87,4,6,2,7,3,8,3,3,5,90,1,2,3,1,4,6,3,7,1,7,5,8,4,6,4,2.0
35,58,34,57,32,61,32,60,31,29,59,56,63,31,61,30,33,58,34,60,32,59,35,56,36,33,59,32,34,30,35,31,36,31,34,33,62,29,33,31,32,32,34,31,35,29,35,32,35,32,34,32,1.0
28,66,26,65,24,72,22,71,20,18,70,64,74,20,72,19,25,66,26,68,24,67,27,64,28,22,70,21,26,19,27,20,28,20,26,22,73,18,25,20,24,21,26,20,27,18,27,22,28,21,26,21,1.0
34,57,34,56,30,65,27,64,27,25,63,54,67,26,65,26,32,58,32,60,30,59,34,54,35,28,63,27,34,26,34,27,36,27,33,29,66,25,32,27,30,28,34,27,35,25,35,27,34,28,34,27,1.0
26,50,25,49,16,50,29,49,27,22,42,39,58,27,57,25,19,61,20,62,18,62,28,47,31,35,44,31,32,28,30,29,33,28,20,37,58,22,20,36,18,36,29,33,32,23,29,31,27,33,25,34,2.0
24,65,26,65,20,62,29,61,30,26,59,62,64,28,63,28,23,68,22,68,20,68,25,62,26,30,59,30,26,28,25,30,26,28,23,31,64,26,23,30,20,30,26,30,26,26,26,29,24,30,26,30,2.0
12,77,11,77,2,76,16,75,16,12,73,74,78,14,77,14,6,82,7,83,4,82,11,75,12,16,73,16,11,14,11,16,12,14,7,17,78,12,6,16,4,16,11,16,12,12,12,17,12,16,11,16,2.0
28,64,28,63,26,75,14,74,14,7,70,62,80,11,78,10,27,64,28,66,26,65,29,62,30,16,71,15,28,10,29,14,30,11,28,16,79,7,27,14,26,15,28,14,29,7,29,14,28,15,28,15,1.0
4,90,2,89,0,93,2,92,0,0,92,88,94,1,92,0,1,90,2,92,0,91,3,88,4,2,92,1,2,0,3,0,4,1,2,2,93,0,1,0,0,1,2,0,3,0,3,2,4,1,2,1,2.0
25,67,23,66,17,66,28,65,26,24,64,64,68,26,66,25,20,69,21,71,18,70,24,64,25,28,64,27,23,25,24,26,25,26,21,28,67,24,20,26,18,27,23,26,24,24,24,28,25,27,23,27,1.0
24,66,24,66,19,72,20,71,20,16,69,64,74,18,73,18,21,69,21,70,20,69,24,65,25,20,69,20,24,18,24,20,25,18,22,21,74,16,21,20,20,20,24,20,25,16,25,20,24,20,24,20,2.0
24,69,23,68,21,77,16,76,16,14,75,67,78,15,77,15,22,69,23,71,21,70,24,67,25,17,75,16,23,15,24,16,25,15,23,17,78,14,22,16,21,16,23,16,24,14,24,16,24,16,23,16,1.0
33,59,32,58,28,64,28,63,27,24,62,56,67,26,65,25,30,60,31,62,28,61,33,56,34,29,63,28,32,25,33,27,34,26,31,29,66,25,30,27,28,28,32,27,33,25,33,28,33,28,32,28,1.0
29,64,27,63,24,58,36,57,34,32,56,61,60,34,58,33,25,65,26,67,24,66,28,62,29,36,56,35,27,33,28,34,29,34,26,36,59,32,25,34,24,35,27,34,28,32,28,36,29,35,27,35,2.0
37,56,35,55,31,65,29,64,27,25,63,54,67,27,65,26,33,57,34,59,32,58,36,54,37,29,63,28,35,26,36,27,37,27,34,29,66,25,33,27,32,28,35,27,36,25,36,29,37,28,35,28,1.0
33,59,32,58,28,65,28,64,27,25,63,56,67,27,65,26,30,60,31,62,28,61,33,56,34,29,63,28,32,26,33,27,34,27,31,29,66,25,30,27,28,28,32,27,33,25,33,28,33,28,32,28,1.0
24,69,23,68,21,61,30,60,30,24,57,67,64,27,63,27,22,69,23,71,21,70,24,67,25,31,57,30,23,27,24,30,25,27,23,31,64,24,22,30,21,30,23,30,24,24,24,30,24,30,23,30,2.0
26,64,24,64,21,53,36,52,34,27,48,61,58,31,57,30,22,67,23,68,21,67,25,62,27,36,49,35,26,31,26,34,27,31,24,37,58,28,23,36,21,36,25,35,27,28,26,36,26,35,24,36,2.0
33,59,32,58,28,67,25,66,24,20,64,56,70,23,68,22,30,60,31,62,28,61,33,56,34,26,64,25,32,22,33,24,34,23,31,26,69,20,30,24,28,25,32,24,33,20,33,25,33,25,32,25,1.0
30,64,28,63,26,58,36,57,34,32,56,62,60,34,58,33,27,64,28,66,26,65,29,62,30,36,56,35,28,33,29,34,30,34,28,36,59,32,27,34,26,35,28,34,29,32,29,36,30,35,28,35,2.0
36,57,35,56,31,65,28,64,26,22,62,54,68,25,66,24,33,58,33,59,31,59,35,54,36,28,62,27,35,24,35,26,36,25,33,28,67,22,33,26,31,27,35,26,35,22,35,28,36,27,35,27,2.0
33,61,31,60,29,69,25,68,23,21,67,59,71,23,69,22,30,61,31,63,29,62,32,59,33,25,67,24,31,22,32,23,33,23,31,25,70,21,30,23,29,24,31,23,32,21,32,25,33,24,31,24,1.0
2,93,0,92,0,92,3,91,1,1,91,92,93,2,91,1,0,92,1,94,0,93,1,92,2,3,91,2,0,1,1,1,2,2,1,3,92,1,0,1,0,2,0,1,1,1,1,3,2,2,0,2,2.0
27,65,25,64,20,60,34,59,32,30,58,61,62,32,60,31,22,67,23,69,20,68,26,62,27,34,58,33,25,31,26,32,27,32,23,34,61,30,22,32,20,33,25,32,26,30,26,34,27,33,25,33,2.0
8,82,6,81,2,73,17,72,16,12,69,78,77,14,75,14,4,84,5,86,2,85,7,78,9,18,70,16,8,14,8,16,10,15,6,19,76,12,5,17,2,18,7,16,9,12,8,17,8,17,7,17,1.0
8,80,7,79,0,71,20,70,18,16,68,75,74,19,72,17,3,84,4,86,1,85,8,77,10,22,68,20,8,18,9,19,10,19,4,22,73,16,3,20,1,21,7,19,9,16,8,20,8,20,7,21,1.0
35,58,34,57,32,63,28,62,27,21,59,56,67,25,65,24,33,58,34,60,32,59,35,56,36,29,59,28,34,24,35,27,36,25,34,29,66,21,33,27,32,28,34,27,35,21,35,28,35,28,34,28,1.0
38,56,36,55,34,67,27,66,25,23,65,54,69,25,67,24,35,56,36,58,34,57,37,54,38,27,65,26,36,24,37,25,38,25,36,27,68,23,35,25,34,26,36,25,37,23,37,27,38,26,36,26,1.0
4,88,3,87,0,73,19,72,18,14,70,85,76,17,74,16,1,89,2,91,0,90,4,86,5,20,70,19,3,16,4,18,5,17,2,20,75,14,1,18,0,19,3,18,4,14,4,19,4,19,3,19,1.0
33,59,31,58,25,59,33,58,31,25,55,55,63,29,61,28,28,61,29,63,25,62,32,55,33,33,55,32,31,28,32,31,33,29,29,33,62,25,28,31,25,32,31,31,32,25,32,33,33,32,31,32,1.0
25,68,23,67,20,63,30,62,28,24,60,65,66,27,64,26,21,69,22,71,20,70,24,66,25,30,60,29,23,26,24,28,25,27,22,30,65,24,21,28,20,29,23,28,24,24,24,30,25,29,23,29,2.0
6,84,6,83,0,64,27,63,27,23,61,80,67,25,65,25,3,86,3,88,0,87,6,80,7,28,61,27,6,25,6,27,8,26,4,29,66,23,3,27,0,28,6,27,7,23,7,27,6,28,6,27,1.0
