@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMaa numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atLee numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute destClass {2,1}

@data
78,23,54,93,67,38,1,2,94,56,40,70,26,80,16,56,26,69,25,55,39,1,93,2,40,1,39,14,79,15,70,16,1,25,2,26,55,25,56,16,1,15,69,15,55,15,2,16,1
91,32,29,92,58,59,0,1,94,32,62,61,34,93,3,33,35,60,34,32,61,0,93,2,63,1,62,1,92,2,61,3,1,34,2,35,32,34,33,3,1,2,60,2,32,2,2,3,1
77,30,41,93,62,51,1,2,94,43,53,64,32,79,17,43,32,63,31,42,52,1,93,2,53,1,52,15,78,16,64,17,1,31,2,32,42,31,43,17,1,16,63,16,42,16,2,17,1
91,37,44,93,55,48,1,2,94,46,50,57,39,93,3,46,39,56,38,45,49,1,93,2,50,1,49,1,92,2,57,3,1,38,2,39,45,38,46,3,1,2,56,2,45,2,2,3,1
94,30,14,88,60,76,2,3,91,16,77,63,32,95,1,17,32,62,31,15,77,3,90,4,79,3,78,0,94,0,63,1,4,32,5,33,16,31,17,1,4,0,62,0,16,0,5,1,1
94,34,48,94,52,38,0,0,95,51,42,56,37,95,0,53,39,56,35,49,42,0,94,1,43,0,42,0,94,0,57,1,0,38,1,39,52,38,53,1,0,0,56,0,52,0,1,1,1
89,19,18,91,73,68,1,2,93,23,72,75,21,91,5,23,21,73,20,22,71,1,92,3,73,2,72,3,90,3,75,5,2,20,3,21,22,20,23,5,2,4,74,4,22,4,3,5,2
94,28,19,91,62,71,1,2,93,21,73,65,30,95,1,22,31,64,30,21,73,2,92,3,74,2,73,0,94,0,65,1,2,30,3,31,21,30,22,1,2,0,64,0,21,0,3,1,2
94,53,36,91,39,56,1,3,93,37,58,40,54,95,0,38,55,40,54,37,57,2,92,3,58,2,57,0,94,0,41,1,2,54,3,55,37,54,38,1,2,0,40,0,37,0,3,1,2
89,21,10,91,69,78,1,3,93,14,82,72,24,91,5,14,24,71,23,13,81,2,92,3,82,2,81,3,90,4,72,5,2,23,3,24,13,23,14,5,2,4,71,4,13,4,3,5,1
80,32,39,93,54,53,1,2,94,40,55,58,36,84,11,40,37,58,36,40,54,1,93,2,55,1,54,8,83,11,59,11,1,36,2,37,40,36,41,12,1,11,58,11,40,11,2,12,1
94,37,26,80,53,66,12,14,82,28,68,55,40,95,0,28,40,55,39,27,67,13,81,14,68,13,67,0,94,0,56,1,13,39,14,40,27,39,28,1,13,0,55,0,27,0,14,1,2
93,9,7,90,81,83,2,3,92,10,85,84,12,94,2,10,12,83,11,9,84,2,91,4,86,3,85,1,93,1,84,2,3,11,4,12,9,11,10,2,3,1,83,1,9,1,4,2,2
79,29,38,94,61,52,0,1,95,41,55,64,32,81,15,41,32,63,31,40,54,0,94,1,55,0,54,13,80,14,64,15,0,31,1,32,40,31,41,15,0,14,63,14,40,14,1,15,2
94,38,46,88,54,44,2,5,91,48,47,56,39,95,1,49,40,55,39,48,45,3,90,5,47,4,46,0,94,0,56,1,4,39,5,40,48,39,49,1,4,0,55,0,48,0,5,1,2
84,37,44,93,47,44,1,2,94,46,48,52,41,88,7,48,43,52,39,44,47,1,93,2,48,1,47,4,87,7,53,8,1,42,2,43,47,42,48,8,1,7,52,7,47,7,2,8,1
79,31,45,93,61,47,1,2,94,47,49,63,33,81,15,47,33,62,32,46,48,1,93,2,49,1,48,13,80,14,63,15,1,32,2,33,46,32,47,15,1,14,62,14,46,14,2,15,1
83,32,42,93,60,50,1,2,94,43,52,62,33,86,10,44,34,61,33,43,51,1,93,2,52,1,51,7,85,9,62,10,1,33,2,34,43,33,44,10,1,9,61,9,43,9,2,10,1
79,36,43,93,56,49,1,2,94,45,51,58,38,81,15,45,38,57,37,44,50,1,93,2,51,1,50,13,80,14,58,15,1,37,2,38,44,37,45,15,1,14,57,14,44,14,2,15,1
77,30,36,84,62,56,8,10,86,38,58,64,32,79,17,38,32,63,31,37,57,9,85,10,58,9,57,15,78,16,64,17,9,31,10,32,37,31,38,17,9,16,63,16,37,16,10,17,1
79,26,35,92,64,51,0,2,94,40,56,66,29,81,14,40,29,66,28,39,55,1,93,2,56,1,55,13,80,14,67,15,1,28,2,29,39,28,40,15,1,14,66,14,39,14,2,15,1
78,32,45,93,60,47,1,2,94,47,49,62,34,80,16,47,34,61,33,46,48,1,93,2,49,1,48,14,79,15,62,16,1,33,2,34,46,33,47,16,1,15,61,15,46,15,2,16,1
93,36,35,90,56,53,2,3,92,38,56,58,37,94,2,39,37,57,37,38,55,2,91,3,57,3,56,1,93,1,58,2,3,37,4,38,38,37,39,2,3,1,57,1,38,1,4,2,1
88,37,31,91,51,61,3,4,92,32,63,55,40,91,5,33,41,54,40,32,62,3,91,4,63,3,62,2,90,4,55,5,3,40,4,41,32,40,33,5,3,4,54,4,32,4,4,5,1
94,40,35,83,52,57,9,11,85,37,59,54,42,95,1,37,42,53,41,36,58,10,84,11,59,10,58,0,94,0,54,1,10,41,11,42,36,41,37,1,10,0,53,0,36,0,11,1,2
78,27,42,93,65,50,1,2,94,44,52,67,29,80,16,44,29,66,28,43,51,1,93,2,52,1,51,14,79,15,67,16,1,28,2,29,43,28,44,16,1,15,66,15,43,15,2,16,1
94,35,23,83,55,69,7,9,86,24,70,58,37,95,1,25,38,57,37,24,70,9,85,10,71,9,70,0,94,0,58,1,9,37,10,38,24,37,25,1,9,0,57,0,24,0,10,1,2
81,21,36,91,71,50,1,3,93,41,55,73,23,83,13,41,23,72,22,40,54,2,92,3,55,2,54,11,82,12,73,13,2,22,3,23,40,22,41,13,2,12,72,12,40,12,3,13,1
79,31,36,93,61,56,1,2,94,38,58,63,33,81,15,38,33,62,32,37,57,1,93,2,58,1,57,13,80,14,63,15,1,32,2,33,37,32,38,15,1,14,62,14,37,14,2,15,1
68,20,48,93,54,30,1,2,94,52,39,61,26,75,17,56,31,60,24,50,38,1,93,2,39,1,38,14,74,16,65,20,1,30,2,31,54,30,57,21,1,20,64,18,56,20,2,21,2
77,34,49,93,58,43,1,2,94,51,45,60,36,79,17,51,36,59,35,50,44,1,93,2,45,1,44,15,78,16,60,17,1,35,2,36,50,35,51,17,1,16,59,16,50,16,2,17,1
94,46,26,78,46,66,14,16,80,28,68,48,48,95,1,28,48,47,47,27,67,15,79,16,68,15,67,0,94,0,48,1,15,47,16,48,27,47,28,1,15,0,47,0,27,0,16,1,2
91,43,42,83,49,50,9,11,85,44,52,51,45,92,4,44,45,50,44,43,51,10,84,11,52,10,51,3,91,3,51,4,10,44,11,45,43,44,44,4,10,3,50,3,43,3,11,4,2
88,35,44,93,57,48,1,2,94,46,50,59,37,90,6,46,37,58,36,45,49,1,93,2,50,1,49,4,89,5,59,6,1,36,2,37,45,36,46,6,1,5,58,5,45,5,2,6,1
80,29,40,93,63,52,1,2,94,42,54,65,31,82,14,42,31,64,30,41,53,1,93,2,54,1,53,12,81,13,65,14,1,30,2,31,41,30,42,14,1,13,64,13,41,13,2,14,1
87,38,43,86,54,47,6,8,88,45,50,56,39,89,7,46,40,55,39,45,49,7,87,8,50,7,49,5,88,6,56,7,7,39,8,40,45,39,46,7,7,6,55,6,45,6,8,7,2
93,17,11,87,69,77,3,4,90,14,79,73,21,94,1,15,21,73,20,13,78,3,89,5,81,4,80,1,93,1,74,2,5,21,6,22,14,20,15,2,5,1,73,1,14,1,6,2,1
78,30,42,93,62,50,1,2,94,44,52,64,32,80,16,44,32,63,31,43,51,1,93,2,52,1,51,14,79,15,64,16,1,31,2,32,43,31,44,16,1,15,63,15,43,15,2,16,1
94,34,24,81,56,68,11,13,83,26,70,59,37,95,1,26,37,58,36,25,69,12,82,13,70,12,69,0,94,0,59,1,12,36,13,37,25,36,26,1,12,0,58,0,25,0,13,1,2
79,29,44,93,63,48,1,2,94,46,50,65,31,81,15,46,31,64,30,45,49,1,93,2,50,1,49,13,80,14,65,15,1,30,2,31,45,30,46,15,1,14,64,14,45,14,2,15,1
78,35,41,90,57,51,2,4,92,42,53,59,36,82,14,43,37,58,36,42,52,3,91,4,53,3,52,10,81,13,59,14,3,36,4,37,42,36,43,14,3,13,58,13,42,13,4,14,1
78,27,40,93,65,50,1,2,94,43,53,67,29,80,16,43,29,66,28,42,52,1,93,2,53,1,52,14,79,15,67,16,1,28,2,29,42,28,43,16,1,15,66,15,42,15,2,16,1
82,30,44,93,62,48,1,2,94,45,50,64,31,84,12,46,32,63,31,45,49,1,93,2,50,1,49,10,83,11,64,12,1,31,2,32,45,31,46,12,1,11,63,11,45,11,2,12,1
94,25,17,92,63,73,0,1,94,20,75,66,29,95,0,20,29,66,28,19,75,1,93,2,76,1,75,0,94,0,67,1,1,28,2,29,19,28,20,1,1,0,66,0,19,0,2,1,2
93,44,28,82,48,60,8,10,85,32,63,50,46,94,2,32,46,49,45,31,62,9,84,11,64,10,63,1,93,1,50,2,10,45,11,46,31,45,32,2,10,1,49,1,31,1,11,2,2
80,27,37,93,65,55,1,2,94,39,57,67,29,82,14,39,29,66,28,38,56,1,93,2,57,1,56,12,81,13,67,14,1,28,2,29,38,28,39,14,1,13,66,13,38,13,2,14,1
87,33,35,91,57,55,1,1,93,38,56,60,36,90,6,38,36,59,35,37,57,2,92,3,58,2,57,3,89,5,60,6,2,35,3,36,37,35,38,6,2,5,59,5,37,5,3,6,2
91,14,18,91,76,72,1,2,93,21,74,79,17,93,3,21,17,78,16,20,74,2,92,3,75,2,74,1,92,2,79,3,2,16,3,17,20,16,21,3,2,2,78,2,20,2,3,3,1
93,27,20,89,63,68,1,3,92,23,71,66,29,94,2,24,30,65,28,22,69,1,91,4,72,2,71,1,93,1,66,2,3,29,4,30,23,28,24,2,3,1,65,1,23,1,4,2,1
93,20,14,90,68,76,2,3,92,16,78,72,23,94,2,17,23,71,22,15,78,3,91,3,79,3,78,1,93,1,72,2,3,23,4,24,16,23,17,2,3,1,71,1,16,1,4,2,1
86,36,37,86,54,53,6,8,88,40,56,57,39,88,8,40,39,56,38,39,55,7,87,8,56,7,55,6,87,7,57,8,7,38,8,39,39,38,40,8,7,7,56,7,39,7,8,8,2
94,34,29,88,54,59,2,3,91,31,61,58,36,95,1,33,36,57,35,30,61,3,90,3,63,3,62,0,94,0,58,1,4,37,5,38,32,36,33,1,4,0,57,0,32,0,5,1,2
94,23,19,91,67,71,1,2,93,22,73,70,26,95,1,22,26,69,25,21,72,1,92,3,74,2,73,0,94,0,70,1,2,25,3,26,21,25,22,1,2,0,69,0,21,0,3,1,1
94,37,15,84,49,73,4,8,88,19,77,53,42,95,0,19,42,53,41,18,74,5,87,8,77,7,76,0,94,0,54,1,7,41,8,42,18,41,19,1,7,0,53,0,18,0,8,1,2
77,27,37,88,63,53,4,6,90,39,56,66,29,79,17,40,30,65,29,39,55,5,89,6,56,5,55,15,78,16,66,17,5,29,6,30,39,29,40,17,5,16,65,16,39,16,6,17,1
93,46,27,78,44,63,14,15,80,30,65,47,49,94,2,30,49,46,48,29,65,15,79,16,66,15,65,1,93,1,47,2,15,48,16,49,29,48,30,2,15,1,46,1,29,1,16,2,2
85,33,34,91,57,56,1,3,93,37,59,59,36,88,7,37,36,59,35,36,58,2,92,3,59,2,58,5,87,7,60,8,2,35,3,36,36,35,37,8,2,7,59,7,36,7,3,8,2
81,17,38,91,75,50,1,3,93,42,54,76,19,83,12,42,19,76,18,41,53,2,92,3,54,2,53,11,82,12,77,13,2,18,3,19,41,18,42,13,2,12,76,12,41,12,3,13,1
74,20,69,93,70,23,1,2,94,70,25,72,22,78,17,71,23,72,21,69,24,1,93,2,25,1,24,14,77,17,73,18,1,22,2,23,70,22,71,18,1,17,72,17,70,17,2,18,2
82,32,38,90,60,52,2,4,92,41,55,62,34,84,12,41,34,61,33,40,54,3,91,4,55,3,54,10,83,11,62,12,3,33,4,34,40,33,41,12,3,11,61,11,40,11,4,12,1
92,21,17,91,71,75,1,2,93,19,76,73,23,94,2,19,23,72,22,18,76,2,92,3,77,2,76,0,93,1,73,2,2,22,3,23,18,22,19,2,2,1,72,1,18,1,3,2,2
91,22,28,91,70,58,1,2,93,32,62,72,23,92,4,33,23,71,23,32,61,1,92,2,63,2,62,3,91,3,72,4,2,23,3,24,32,23,33,4,2,3,71,3,32,3,3,4,1
91,45,30,84,45,62,8,10,86,32,64,47,48,93,2,32,48,47,47,31,63,9,85,10,64,9,63,1,92,2,48,3,9,47,10,48,31,47,32,3,9,2,47,2,31,2,10,3,2
90,38,39,88,52,53,4,6,90,41,55,55,41,91,5,41,41,54,40,40,54,5,89,6,55,5,54,4,90,4,55,5,5,40,6,41,40,40,41,5,5,4,54,4,40,4,6,5,1
85,34,41,93,58,51,1,2,94,42,53,60,35,87,9,43,36,59,35,42,52,1,93,2,53,1,52,7,86,8,60,9,1,35,2,36,42,35,43,9,1,8,59,8,42,8,2,9,1
93,39,37,85,51,53,5,7,88,39,55,53,41,94,1,39,41,53,40,38,55,7,87,7,56,7,55,1,93,1,54,1,7,41,7,42,39,41,40,1,7,1,53,1,39,1,8,2,2
94,47,29,81,45,63,9,12,84,31,65,46,49,95,0,31,49,46,48,30,64,11,83,12,65,11,64,0,94,0,47,1,11,48,12,49,30,48,31,1,11,0,46,0,30,0,12,1,2
90,39,27,84,53,63,6,9,87,30,66,55,41,92,4,30,41,54,40,29,65,8,86,9,66,8,65,2,91,3,55,4,8,40,9,41,29,40,30,4,8,3,54,3,29,3,9,4,2
88,27,28,87,63,62,3,6,90,31,65,66,30,90,6,31,30,65,28,29,63,4,89,6,65,5,64,4,89,5,66,6,5,29,6,30,30,29,31,6,5,5,65,5,30,5,6,6,2
94,36,35,82,56,57,10,12,84,37,59,58,38,95,1,37,38,57,37,36,58,11,83,12,59,11,58,0,94,0,58,1,11,37,12,38,36,37,37,1,11,0,57,0,36,0,12,1,2
80,33,36,93,59,56,1,2,94,37,58,60,34,82,13,38,35,60,34,37,57,1,93,2,58,1,57,12,81,13,61,14,1,34,2,35,37,34,38,14,1,13,60,13,37,13,2,14,1
83,30,37,94,60,53,0,1,95,40,56,63,33,85,11,40,33,62,32,39,55,0,94,1,56,0,55,9,84,10,63,11,0,32,1,33,39,32,40,11,0,10,62,10,39,10,1,11,1
84,31,33,89,57,55,3,5,91,36,59,61,34,87,9,37,35,60,33,35,58,4,90,5,59,4,58,6,86,8,61,9,4,34,5,35,36,34,37,9,4,8,60,8,36,8,5,9,1
79,32,41,90,60,45,2,4,92,46,50,62,34,81,15,46,34,61,33,45,48,2,91,4,50,3,49,13,80,14,62,15,3,33,4,34,45,33,46,15,3,14,61,14,45,14,4,15,1
79,31,46,93,61,46,1,2,94,48,48,63,33,81,15,48,33,62,32,47,47,1,93,2,48,1,47,13,80,14,63,15,1,32,2,33,47,32,48,15,1,14,62,14,47,14,2,15,1
91,24,15,86,62,69,0,3,91,19,73,66,27,93,2,20,28,66,25,17,72,2,90,4,75,2,74,1,92,2,67,2,4,28,5,29,20,26,21,3,4,2,66,2,20,2,5,3,1
81,27,40,90,59,46,2,4,92,43,51,62,30,85,9,44,32,63,30,43,49,2,91,4,51,3,50,7,84,10,64,10,3,31,4,32,44,31,45,11,3,10,63,10,44,10,4,11,1
82,33,39,93,59,53,1,2,94,41,55,61,35,84,12,41,35,60,34,40,54,1,93,2,55,1,54,10,83,11,61,12,1,34,2,35,40,34,41,12,1,11,60,11,40,11,2,12,1
79,34,40,93,58,52,1,2,94,41,54,60,35,81,15,42,36,59,35,41,53,1,93,2,54,1,53,13,80,14,60,15,1,35,2,36,41,35,42,15,1,14,59,14,41,14,2,15,1
80,28,43,93,64,49,1,2,94,45,51,66,30,82,14,45,30,65,29,44,50,1,93,2,51,1,50,12,81,13,66,14,1,29,2,30,44,29,45,14,1,13,65,13,44,13,2,14,1
82,29,34,87,61,56,3,4,90,36,57,64,31,84,12,37,31,63,30,35,57,4,89,5,59,4,58,10,83,11,64,12,5,31,6,32,36,30,37,12,5,11,63,11,36,11,6,12,1
94,33,25,91,57,65,1,3,93,27,68,60,35,95,1,28,36,59,34,26,66,1,92,3,68,1,67,0,94,0,60,1,2,35,3,36,27,34,28,1,2,0,59,0,27,0,3,1,2
84,35,37,89,57,55,3,5,91,39,57,59,37,86,10,39,37,58,36,38,56,4,90,5,57,4,56,8,85,9,59,10,4,36,5,37,38,36,39,10,4,9,58,9,38,9,5,10,1
86,32,41,93,60,51,1,2,94,43,53,62,34,88,8,43,34,61,33,42,52,1,93,2,53,1,52,6,87,7,62,8,1,33,2,34,42,33,43,8,1,7,61,7,42,7,2,8,1
80,30,41,93,62,51,1,2,94,43,53,64,32,82,14,43,32,63,31,42,52,1,93,2,53,1,52,12,81,13,64,14,1,31,2,32,42,31,43,14,1,13,63,13,42,13,2,14,1
81,27,41,93,65,51,1,2,94,43,53,67,29,83,13,43,29,66,28,42,52,1,93,2,53,1,52,11,82,12,67,13,1,28,2,29,42,28,43,13,1,12,66,12,42,12,2,13,1
87,37,37,91,55,55,1,3,93,38,57,57,38,90,6,39,39,56,38,38,56,2,92,3,57,2,56,3,89,5,57,6,2,38,3,39,38,38,39,6,2,5,56,5,38,5,3,6,1
94,36,24,88,56,68,2,4,91,26,69,58,38,95,1,26,38,57,37,25,69,4,90,5,70,4,69,0,94,0,58,1,4,37,5,38,25,37,26,1,4,0,57,0,25,0,5,1,2
94,28,5,86,62,83,2,4,90,8,85,65,30,95,1,9,30,64,30,8,84,3,89,5,87,5,86,0,94,0,65,1,5,30,6,31,8,30,9,1,5,0,64,0,8,0,6,1,2
78,29,46,93,63,46,1,2,94,48,48,65,31,80,16,48,31,64,30,47,47,1,93,2,48,1,47,14,79,15,65,16,1,30,2,31,47,30,48,16,1,15,64,15,47,15,2,16,1
79,25,38,94,51,42,0,0,95,44,49,57,33,87,5,45,35,59,33,44,49,0,94,1,50,0,49,1,86,7,61,8,0,34,1,35,45,34,46,9,0,8,60,8,45,8,1,9,1
81,21,22,83,67,64,7,9,86,26,68,70,24,83,12,26,25,70,24,26,68,9,85,10,69,9,68,11,82,12,71,12,9,24,10,25,26,24,27,13,9,12,70,12,26,12,10,13,2
93,41,35,86,49,55,2,6,90,37,58,52,43,94,2,38,44,51,42,36,56,4,89,6,58,4,57,1,93,1,52,2,5,43,6,44,37,42,38,2,5,1,51,1,37,1,6,2,2
88,30,31,88,56,57,4,6,90,35,61,59,35,90,4,35,35,60,33,33,60,5,89,6,61,5,60,4,89,5,61,6,5,34,6,35,34,34,35,6,5,5,60,5,34,5,6,6,2
84,32,38,90,60,54,2,4,92,40,56,62,34,86,10,40,34,61,33,39,55,3,91,4,56,3,55,8,85,9,62,10,3,33,4,34,39,33,40,10,3,9,61,9,39,9,4,10,1
79,30,39,91,60,49,1,3,93,42,53,63,32,81,15,43,33,62,31,41,51,1,92,3,53,1,52,13,80,14,63,15,2,32,3,33,42,31,43,15,2,14,62,14,42,14,3,15,1
79,31,38,91,61,54,1,3,93,40,56,63,33,81,15,40,33,62,32,39,55,2,92,3,56,2,55,13,80,14,63,15,2,32,3,33,39,32,40,15,2,14,62,14,39,14,3,15,1
94,39,23,85,53,65,3,5,89,27,67,55,41,95,1,27,41,54,40,26,66,4,88,7,69,6,68,0,94,0,55,1,6,40,7,41,26,40,27,1,6,0,54,0,26,0,7,1,2
89,26,15,85,62,67,1,3,90,21,71,66,29,91,5,22,29,65,28,20,69,1,89,5,74,4,73,3,90,4,66,5,5,29,6,30,21,28,22,5,5,4,65,4,21,4,6,5,1
94,21,11,88,71,79,2,4,91,14,81,73,23,95,1,14,23,72,22,13,81,4,90,5,82,4,81,0,94,0,73,1,4,22,5,23,13,22,14,1,4,0,72,0,13,0,5,1,2
94,33,26,86,59,62,2,4,90,29,64,61,34,95,1,30,34,60,34,29,63,3,89,5,66,5,65,0,94,0,61,1,5,34,6,35,29,34,30,1,5,0,60,0,29,0,6,1,2
94,48,21,78,42,67,14,16,80,24,71,44,50,95,0,24,51,44,50,24,70,15,79,16,71,15,70,0,94,0,45,0,15,50,16,51,24,50,25,1,15,0,44,0,24,0,16,1,2
91,38,36,90,54,52,2,4,92,39,56,56,39,93,3,40,40,55,39,39,54,2,91,4,56,3,55,1,92,2,56,3,3,39,4,40,39,39,40,3,3,2,55,2,39,2,4,3,2
80,26,41,93,66,51,1,2,94,43,53,68,28,82,14,43,28,67,27,42,52,1,93,2,53,1,52,12,81,13,68,14,1,27,2,28,42,27,43,14,1,13,67,13,42,13,2,14,1
84,34,30,84,58,62,8,10,86,32,64,60,36,86,10,32,36,59,35,31,63,9,85,10,64,9,63,8,85,9,60,10,9,35,10,36,31,35,32,10,9,9,59,9,31,9,10,10,2
78,32,45,93,60,47,1,2,94,46,49,62,33,81,15,47,34,61,33,46,48,1,93,2,49,1,48,12,80,14,62,15,1,33,2,34,46,33,47,15,1,14,61,14,46,14,2,15,1
80,31,45,93,61,47,1,2,94,47,49,63,33,82,14,47,33,62,32,46,48,1,93,2,49,1,48,12,81,13,63,14,1,32,2,33,46,32,47,14,1,13,62,13,46,13,2,14,1
88,41,35,86,51,53,6,8,88,39,57,52,43,90,5,39,43,52,42,38,56,7,87,8,57,7,56,4,89,5,53,6,7,42,8,43,38,42,39,6,7,5,52,5,38,5,8,6,2
93,34,32,91,56,58,1,3,93,34,61,59,36,94,2,35,37,58,36,34,59,1,92,3,61,2,60,1,93,1,59,2,2,36,3,37,34,36,35,2,2,1,58,1,34,1,3,2,1
94,44,35,78,48,55,12,14,81,38,57,49,46,95,0,38,46,49,45,37,57,14,80,15,58,14,57,0,94,0,50,1,14,45,15,46,37,45,38,1,14,0,49,0,37,0,15,1,2
90,36,33,84,56,59,8,10,86,34,61,58,37,92,4,35,38,57,37,34,60,9,85,10,61,9,60,2,91,3,58,4,9,37,10,38,34,37,35,4,9,3,57,3,34,3,10,4,1
77,13,69,94,73,17,0,1,95,72,22,74,16,82,10,73,18,76,14,70,21,0,94,1,22,0,21,9,81,12,78,13,0,17,1,18,73,17,74,14,0,13,77,13,73,13,1,14,2
90,36,25,77,56,67,15,16,79,27,68,58,38,92,4,27,38,57,37,26,68,16,78,17,69,16,68,2,91,3,58,4,16,37,17,38,26,37,27,4,16,3,57,3,26,3,17,4,2
94,21,12,89,71,76,1,2,92,15,78,73,22,95,1,16,23,72,22,15,78,2,91,4,80,3,79,0,94,0,73,1,3,22,4,23,15,22,16,1,3,0,72,0,15,0,4,1,2
88,34,34,85,58,58,7,9,87,36,60,60,36,91,5,36,36,59,35,35,59,8,86,9,60,8,59,2,90,4,60,5,8,35,9,36,35,35,36,5,8,4,59,4,35,4,9,5,1
88,21,13,86,69,73,2,4,90,17,76,72,23,90,6,18,23,71,22,16,75,3,89,5,78,4,77,4,89,5,72,6,5,23,6,24,17,22,18,6,5,5,71,5,17,5,6,6,1
83,36,39,89,56,53,3,5,91,41,55,58,38,85,11,41,38,57,37,40,54,4,90,5,55,4,54,9,84,10,58,11,4,37,5,38,40,37,41,11,4,10,57,10,40,10,5,11,2
94,15,6,90,75,84,2,3,92,8,86,77,17,95,0,8,17,77,16,7,85,2,91,3,87,2,86,0,94,0,78,0,3,17,3,18,8,16,9,0,3,0,77,0,8,0,4,1,2
81,32,43,93,60,49,1,2,94,44,51,62,33,84,12,45,34,61,33,44,50,1,93,2,51,1,50,9,83,11,62,12,1,33,2,34,44,33,45,12,1,11,61,11,44,11,2,12,1
94,42,37,81,50,55,9,12,84,39,57,52,44,95,1,39,44,51,43,38,56,11,83,12,57,11,56,0,94,0,52,1,11,43,12,44,38,43,39,1,11,0,51,0,38,0,12,1,2
88,36,38,93,56,54,1,2,94,40,56,57,38,90,5,40,38,57,37,39,55,1,93,2,56,1,55,4,89,5,58,6,1,37,2,38,39,37,40,6,1,5,57,5,39,5,2,6,1
83,41,36,83,49,54,9,11,85,39,57,51,44,85,10,39,44,51,43,38,56,10,84,11,57,10,56,9,84,10,52,11,10,43,11,44,38,43,39,11,10,10,51,10,38,10,11,11,2
81,32,42,93,60,50,1,2,94,44,52,62,34,84,12,44,34,61,33,43,51,1,93,2,52,1,51,9,83,11,62,12,1,33,2,34,43,33,44,12,1,11,61,11,43,11,2,12,1
79,30,40,93,62,52,1,2,94,42,54,64,32,81,15,42,32,63,31,41,53,1,93,2,54,1,53,13,80,14,64,15,1,31,2,32,41,31,42,15,1,14,63,14,41,14,2,15,1
82,34,42,93,56,50,1,2,94,44,52,59,37,84,12,44,37,58,36,43,51,1,93,2,52,1,51,10,83,11,59,12,1,36,2,37,43,36,44,12,1,11,58,11,43,11,2,12,1
93,33,32,86,57,56,2,5,90,35,59,60,35,94,2,36,36,59,34,34,57,3,89,6,60,4,59,1,93,1,60,2,5,35,6,36,35,34,36,2,5,1,59,1,35,1,6,2,1
92,32,26,91,58,64,1,2,93,29,66,61,35,94,2,29,35,60,34,28,66,2,92,3,67,2,66,0,93,1,61,2,2,34,3,35,28,34,29,2,2,1,60,1,28,1,3,2,2
87,33,35,91,57,57,3,4,92,36,59,60,35,90,6,37,36,59,35,36,58,3,91,4,59,3,58,3,89,5,60,6,3,35,4,36,36,35,37,6,3,5,59,5,36,5,4,6,1
89,37,31,77,53,59,15,17,79,34,62,56,40,91,5,34,40,55,39,33,61,16,78,17,62,16,61,3,90,4,56,5,16,39,17,40,33,39,34,5,16,4,55,4,33,4,17,5,2
88,39,36,85,53,56,7,9,87,38,58,55,41,90,6,38,41,54,40,37,57,8,86,9,58,8,57,4,89,5,55,6,8,40,9,41,37,40,38,6,8,5,54,5,37,5,9,6,2
85,14,6,88,76,82,2,3,91,9,84,79,16,88,8,10,17,77,15,8,83,2,90,5,86,3,85,5,87,6,79,8,4,16,5,17,9,15,10,8,4,7,78,7,9,7,5,8,1
82,25,33,93,59,53,1,2,94,36,58,65,29,85,11,38,31,64,30,37,57,1,93,2,58,1,57,8,84,10,65,11,1,30,2,31,37,30,38,11,1,10,64,10,37,10,2,11,1
79,26,36,91,62,54,1,3,93,38,57,66,29,81,15,39,30,65,29,38,56,2,92,3,57,2,56,13,80,14,66,15,2,29,3,30,38,29,39,15,2,14,65,14,38,14,3,15,1
94,27,6,87,63,80,1,2,91,9,82,65,28,95,0,10,29,65,28,9,83,3,90,4,85,4,84,0,94,0,66,0,4,29,4,30,10,29,11,0,4,0,65,0,10,0,5,1,1
76,26,40,93,66,52,1,2,94,42,54,68,28,78,18,42,28,67,27,41,53,1,93,2,54,1,53,16,77,17,68,18,1,27,2,28,41,27,42,18,1,17,67,17,41,17,2,18,1
