@relation 'Sax dominant'

@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atLee numeric
@attribute o1atMaa numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute destClass {1,2}

@data
68,81,5,3,87,16,73,22,5,91,12,84,89,6,5,84,74,7,4,6,73,21,88,6,9,89,12,7,11,82,5,22,4,21,4,83,3,90,11,21,73,6,11,6,12,22,2.0
57,78,4,3,88,33,60,35,4,91,12,82,90,6,4,83,60,6,4,5,59,35,89,5,8,89,13,6,12,81,5,36,4,35,4,82,3,90,12,35,59,5,12,5,13,35,2.0
79,88,6,3,86,11,81,14,4,91,6,89,88,7,5,90,82,8,4,7,81,12,87,7,4,89,6,8,4,88,5,14,4,13,3,89,3,90,5,12,81,7,5,7,6,14,2.0
77,89,7,2,83,13,78,16,3,92,5,90,86,8,4,91,80,10,3,9,79,14,85,9,3,90,5,10,3,89,4,16,3,15,2,90,2,91,4,14,79,9,4,9,5,16,1.0
76,79,7,2,85,14,78,17,3,92,13,82,87,8,4,83,79,9,3,8,78,15,86,8,9,90,13,9,11,81,4,17,3,16,2,82,2,91,12,15,78,8,12,8,13,17,1.0
68,82,4,3,86,18,72,23,4,91,11,84,89,6,5,85,73,7,4,6,71,21,88,5,8,89,11,7,9,83,5,23,3,22,3,84,3,90,9,21,72,5,10,5,11,23,2.0
77,88,4,2,86,11,80,14,3,92,5,89,89,6,3,90,81,7,3,6,80,13,88,6,4,90,6,7,4,88,4,15,3,14,2,89,2,91,5,13,80,6,5,6,6,14,2.0
78,88,6,3,84,12,79,15,4,91,6,89,87,7,5,90,81,9,4,8,80,13,86,8,4,89,6,9,4,88,5,15,4,14,3,89,3,90,5,13,80,8,5,8,6,15,2.0
78,82,5,3,85,10,80,13,4,91,10,84,88,6,4,85,82,8,4,7,81,12,87,7,8,89,11,8,9,83,5,14,4,13,3,84,3,90,10,12,81,7,10,7,11,13,2.0
77,78,8,3,84,13,79,15,4,91,14,80,86,9,5,81,80,9,4,9,79,14,85,9,12,89,15,10,13,79,5,16,4,15,3,80,3,90,14,14,79,9,14,9,14,16,1.0
79,88,6,3,84,11,80,14,3,91,6,88,87,7,5,90,82,9,4,8,80,12,86,7,4,89,6,9,4,89,5,14,4,13,4,89,4,90,4,13,81,7,5,8,6,14,2.0
81,88,6,3,84,9,82,12,4,91,6,89,87,7,5,90,84,9,4,8,82,11,86,7,4,89,6,9,5,88,5,12,4,11,4,89,3,90,5,11,83,8,5,8,6,12,2.0
78,83,6,2,84,12,80,14,3,92,8,86,87,8,4,87,81,8,3,8,79,13,86,7,5,90,9,9,7,86,4,15,3,14,3,86,3,91,7,14,80,7,8,8,8,15,1.0
72,85,4,3,88,14,76,19,4,91,8,87,90,5,5,88,77,6,4,5,76,17,89,5,5,89,8,6,6,87,5,19,4,18,4,87,4,90,7,18,76,5,7,5,8,19,2.0
75,74,5,3,85,13,78,16,4,91,17,77,88,7,5,78,79,7,4,7,77,15,87,6,14,89,18,8,16,76,5,17,3,16,3,77,3,90,16,15,78,6,17,6,17,17,2.0
77,89,6,2,84,13,78,16,3,92,5,90,87,7,4,91,80,9,3,8,79,14,86,8,3,90,5,9,3,89,4,16,3,15,2,90,2,91,4,14,79,8,4,8,5,16,1.0
73,85,5,3,87,15,76,19,4,91,8,87,89,6,5,88,77,7,4,6,76,17,88,6,5,89,8,7,6,86,5,19,4,18,3,87,3,90,7,17,76,6,7,6,8,19,1.0
70,84,5,3,87,16,74,20,4,91,8,86,89,6,5,87,75,6,4,6,74,19,88,6,6,89,9,7,7,85,5,21,4,20,3,86,3,90,8,19,74,6,8,6,8,21,2.0
78,89,7,2,83,12,79,15,3,92,5,90,86,8,4,91,81,10,3,9,79,14,85,8,3,90,5,10,4,89,4,15,3,14,3,90,2,91,4,14,80,9,4,9,5,15,1.0
78,88,5,3,85,10,80,13,4,91,5,89,88,6,4,90,82,8,4,7,81,12,87,7,4,89,6,8,4,88,5,14,4,13,3,89,3,90,5,12,81,7,5,7,6,13,2.0
72,82,5,3,85,14,76,18,4,91,9,85,88,7,4,86,77,8,4,7,75,17,87,6,6,89,10,8,8,84,5,19,3,18,3,85,3,90,8,17,76,6,9,6,10,18,2.0
78,87,7,3,83,12,79,15,5,91,7,89,86,8,5,89,81,10,4,9,79,13,85,8,5,89,7,10,5,87,5,15,3,14,3,88,3,90,5,13,80,8,6,8,7,15,2.0
78,88,6,3,84,12,79,15,4,91,6,89,87,7,5,90,81,9,4,8,79,13,86,7,4,89,6,9,4,88,5,15,3,14,3,89,3,90,4,13,80,7,5,7,6,15,2.0
66,76,5,3,87,18,71,22,4,91,14,79,89,6,4,80,72,6,4,6,71,22,88,6,12,89,16,7,14,78,5,24,4,23,3,79,3,90,15,22,71,6,15,6,15,23,1.0
81,88,4,3,86,9,82,12,4,91,6,89,89,5,5,90,84,7,4,6,82,10,88,5,4,89,6,7,4,88,5,12,3,11,3,89,3,90,4,10,83,5,5,5,6,12,2.0
78,77,7,3,85,12,80,14,4,91,15,79,87,8,5,80,81,8,4,8,80,13,86,8,13,89,16,9,14,78,5,15,4,14,3,79,3,90,15,13,80,8,15,8,15,15,1.0
79,88,6,3,86,11,81,14,4,91,6,89,88,7,5,90,82,8,4,7,81,13,87,7,4,89,6,8,5,88,5,14,4,13,4,89,3,90,5,13,81,7,5,7,6,14,2.0
76,84,7,3,85,14,78,17,4,91,8,87,87,8,5,88,79,9,4,8,78,15,86,8,4,89,8,9,6,86,5,17,4,16,3,87,3,90,7,15,78,8,7,8,8,17,1.0
76,81,6,2,84,14,78,17,3,92,11,84,87,8,4,85,79,9,3,8,78,15,86,8,7,90,11,9,9,83,4,17,3,16,2,84,2,91,10,15,78,8,10,8,11,17,1.0
74,78,6,3,86,14,78,17,4,91,14,80,88,8,4,81,78,8,4,7,77,16,87,7,12,89,15,8,13,80,5,18,4,17,4,80,4,90,14,17,77,7,14,7,15,17,2.0
77,86,4,2,86,11,81,14,3,92,6,88,89,7,3,89,81,7,3,6,79,14,88,5,4,90,7,7,6,87,4,15,3,14,3,88,2,91,6,14,80,6,6,6,7,14,2.0
78,82,7,2,85,12,80,15,3,92,10,85,87,8,4,86,81,9,3,8,80,13,86,8,6,90,10,9,8,84,4,15,3,14,2,85,2,91,9,13,80,8,9,8,10,15,1.0
71,74,6,3,86,17,74,20,4,91,17,77,88,7,5,78,75,7,4,7,74,19,87,7,14,89,18,8,16,76,5,21,4,20,3,77,3,90,17,19,74,7,17,7,17,21,1.0
78,88,4,2,86,10,81,13,3,92,5,89,89,6,3,90,82,7,3,6,80,13,88,5,4,90,6,7,5,88,4,14,3,13,3,89,2,91,5,13,81,6,5,6,6,13,2.0
48,75,4,3,88,38,52,41,4,91,15,78,90,5,4,79,53,5,4,5,52,42,89,5,13,89,17,6,16,77,5,43,4,42,4,78,3,90,16,42,52,5,16,5,16,42,2.0
78,88,8,3,84,12,80,15,4,91,6,89,86,9,5,90,81,10,4,9,80,13,85,9,4,89,6,10,4,88,5,15,4,14,3,89,3,90,5,13,80,9,5,9,6,15,1.0
76,76,6,3,84,12,79,14,4,91,15,78,87,8,4,79,80,8,4,8,78,14,86,7,14,89,17,9,15,77,5,16,3,15,3,78,3,90,15,14,79,7,16,7,16,15,1.0
77,88,6,3,86,11,80,14,4,91,5,89,88,7,4,90,81,8,4,7,80,13,87,7,4,89,6,8,4,88,5,15,4,14,3,89,3,90,5,13,80,7,5,7,6,14,2.0
77,80,6,2,84,13,79,15,3,92,12,82,87,8,4,83,80,8,3,8,78,15,86,7,10,90,13,9,12,81,4,16,3,15,3,82,2,91,12,15,79,8,12,8,12,16,1.0
78,79,6,3,84,12,80,14,4,91,13,81,87,8,5,82,81,8,4,8,79,13,86,7,11,89,14,9,12,80,5,15,3,14,3,81,3,90,12,13,80,7,13,7,13,15,1.0
77,89,4,2,86,11,80,15,3,92,5,90,89,6,4,91,81,7,3,6,80,13,88,6,3,90,5,7,3,89,4,15,3,14,2,90,2,91,4,13,80,6,4,6,5,15,2.0
78,82,7,3,85,12,80,15,4,91,10,85,87,8,5,86,81,9,4,8,80,13,86,8,6,89,10,9,8,84,5,15,4,14,3,85,3,90,9,13,80,8,9,8,10,15,1.0
76,77,3,2,87,12,79,15,3,92,14,80,90,5,4,81,80,5,3,5,78,14,89,4,11,90,15,6,13,79,4,16,2,15,2,80,2,91,13,14,79,4,14,4,14,16,1.0
77,88,7,2,85,13,79,16,3,92,6,89,87,8,4,90,80,9,3,8,79,14,86,8,4,90,6,9,4,88,4,16,3,15,2,89,2,91,5,14,79,8,5,8,6,16,1.0
74,88,5,3,87,14,77,18,4,91,6,89,89,6,5,90,78,7,4,6,77,16,88,6,4,89,6,7,4,88,5,18,4,17,3,89,3,90,5,16,77,6,5,6,6,18,1.0
79,87,6,2,84,11,80,13,3,92,5,89,87,7,4,90,82,8,3,8,80,13,86,7,3,90,6,9,5,88,4,14,3,13,3,89,2,91,5,13,81,8,5,8,5,14,2.0
68,81,5,3,87,16,73,21,4,91,9,85,89,6,4,86,74,7,4,6,73,21,88,6,5,89,10,7,9,84,5,22,4,21,4,85,3,90,9,21,73,6,9,6,10,21,1.0
75,88,6,2,84,13,77,16,3,92,5,89,87,7,3,90,79,9,3,8,77,15,86,7,4,90,6,9,4,88,4,17,2,16,2,89,2,91,4,15,78,7,5,7,6,16,1.0
77,88,5,3,87,11,80,15,4,91,6,89,89,6,5,90,81,7,4,6,80,13,88,6,4,89,6,7,4,88,5,15,4,14,3,89,3,90,5,13,80,6,5,6,6,15,1.0
79,83,5,3,85,11,81,13,4,91,9,85,88,7,5,86,82,7,4,7,80,12,87,6,7,89,10,8,8,84,5,14,3,13,3,85,3,90,8,12,81,6,9,6,9,14,2.0
77,88,4,3,86,11,79,15,4,91,6,89,89,5,5,90,81,7,4,6,79,13,88,5,4,89,6,7,4,88,5,15,3,14,3,89,3,90,4,13,80,5,5,5,6,15,2.0
78,83,5,3,87,10,81,13,4,91,9,85,89,6,4,86,82,7,4,6,81,12,88,6,7,89,10,7,8,85,5,14,4,13,4,85,4,90,9,13,81,6,9,6,10,13,1.0
78,86,2,2,88,10,81,13,3,92,6,88,91,4,4,89,82,4,3,4,80,12,90,3,4,90,7,5,5,87,4,14,2,13,2,88,2,91,5,12,81,3,6,3,6,14,1.0
78,75,7,2,85,12,80,14,3,92,17,77,87,8,4,78,81,8,3,8,80,14,86,8,15,90,18,9,17,76,4,15,3,14,3,77,2,91,17,14,80,8,17,8,17,15,1.0
62,71,4,2,88,24,66,27,3,92,19,74,90,5,3,75,67,5,3,5,66,27,89,5,17,90,21,6,19,74,4,29,3,28,3,74,3,91,20,28,66,5,20,5,20,28,1.0
78,86,6,2,84,12,79,15,3,92,7,88,87,7,4,89,81,9,3,8,80,13,86,8,4,90,7,9,5,87,4,15,3,14,2,88,2,91,6,13,80,8,6,8,7,15,1.0
78,88,5,3,87,10,81,14,4,91,6,89,89,6,5,90,82,7,4,6,81,13,88,6,4,89,6,7,5,88,5,14,4,13,4,89,3,90,5,13,81,6,5,6,6,14,1.0
78,88,6,3,86,12,80,15,4,91,6,89,88,7,5,90,81,8,4,7,80,13,87,7,4,89,6,8,4,88,5,15,4,14,3,89,3,90,5,13,80,7,5,7,6,15,2.0
76,87,4,2,86,10,80,13,3,92,4,89,89,6,3,90,81,6,3,6,79,14,88,5,3,90,6,7,5,88,4,15,3,14,3,89,2,91,5,14,80,6,5,6,5,14,2.0
59,71,5,3,87,21,66,27,4,91,19,74,89,6,4,75,67,6,4,6,66,27,88,6,17,89,21,7,19,73,5,29,4,28,3,74,3,90,20,27,66,6,20,6,20,28,1.0
77,88,6,3,86,13,79,16,4,91,6,89,88,7,5,90,80,8,4,7,79,14,87,7,4,89,6,8,4,88,5,16,4,15,3,89,3,90,5,14,79,7,5,7,6,16,2.0
79,86,6,3,84,11,81,13,4,91,6,88,87,8,5,89,82,8,4,8,80,12,86,7,4,89,7,9,5,87,5,14,3,13,3,88,3,90,5,12,81,7,6,7,6,14,2.0
79,88,6,3,84,11,80,14,4,91,6,89,87,7,5,90,82,9,4,8,81,12,86,8,4,89,6,9,4,88,5,14,4,13,3,89,3,90,5,12,81,8,5,8,6,14,2.0
77,87,7,2,85,13,79,16,3,92,6,89,87,8,4,90,80,9,3,8,79,14,86,8,3,90,6,9,4,88,4,16,3,15,2,89,2,91,5,14,79,8,5,8,6,16,1.0
78,86,6,3,84,12,80,14,4,91,6,88,87,8,5,89,81,8,4,8,79,13,86,7,4,89,7,9,5,87,5,15,3,14,3,88,3,90,5,13,80,7,6,7,6,15,1.0
78,85,7,3,85,12,80,14,4,91,7,87,87,8,5,88,81,8,4,8,80,13,86,8,5,89,8,9,6,86,5,15,4,14,3,87,3,90,7,13,80,8,7,8,7,15,2.0
80,88,6,2,84,10,81,13,3,92,6,89,87,7,4,90,83,9,3,8,81,11,86,7,4,90,6,9,4,89,4,13,3,12,3,89,3,91,4,12,82,7,5,8,6,13,2.0
76,82,7,2,83,12,78,14,3,92,8,85,86,8,3,86,80,9,3,9,78,15,85,8,6,90,10,10,9,84,4,16,3,15,3,85,2,91,9,15,79,9,9,9,9,15,1.0
78,74,7,2,85,12,80,14,3,92,18,76,87,8,4,77,81,8,3,8,80,13,86,8,16,90,19,9,17,76,4,15,3,14,3,76,3,91,18,14,80,8,18,8,18,15,1.0
77,88,5,3,85,11,80,14,4,91,5,89,88,7,4,90,81,8,4,7,79,13,87,6,4,89,6,8,4,88,5,15,3,14,3,89,3,90,4,13,80,6,5,6,6,14,2.0
80,76,7,3,85,12,81,14,4,91,16,79,87,8,5,80,82,9,4,8,81,13,86,8,12,89,16,9,15,78,5,14,4,13,4,79,3,90,15,13,81,8,15,8,16,14,1.0
78,74,6,3,84,12,80,14,4,91,17,77,87,8,5,78,81,8,4,8,79,13,86,7,14,89,18,9,16,76,5,15,3,14,3,77,3,90,16,13,80,7,17,7,17,15,2.0
76,77,7,2,83,12,78,14,3,92,14,79,86,8,3,80,80,9,3,9,78,14,85,8,13,90,16,10,14,79,4,16,3,15,3,79,3,91,14,15,79,8,15,9,15,15,1.0
77,89,6,2,84,13,78,16,3,92,5,90,87,7,4,91,80,9,3,8,79,14,86,8,3,90,5,9,3,89,4,16,3,15,2,90,2,91,4,14,79,8,4,8,5,16,1.0
71,62,5,3,85,19,74,21,5,91,29,66,88,8,5,66,74,8,4,7,72,20,87,6,26,89,30,8,28,64,5,22,3,21,3,65,3,90,28,20,73,6,29,6,30,22,2.0
78,87,3,2,87,10,81,14,3,92,7,88,90,5,4,89,82,6,3,5,80,12,89,4,5,90,7,6,5,88,4,14,3,13,3,88,3,91,5,13,81,4,6,5,7,14,2.0
75,86,6,3,86,15,77,18,3,91,7,87,88,7,5,89,78,8,4,7,77,17,87,7,4,89,7,8,6,87,5,18,4,17,4,88,3,90,6,17,77,7,6,7,7,18,1.0
78,88,6,2,84,12,80,15,3,92,6,89,87,8,4,90,81,9,3,8,79,13,86,7,4,90,6,9,4,89,4,15,3,14,3,89,3,91,4,14,80,7,5,8,6,15,1.0
77,88,7,3,83,13,79,16,4,91,6,89,86,9,5,90,80,10,4,9,78,14,85,8,4,89,6,10,4,88,5,16,3,15,3,89,3,90,4,14,79,8,5,8,6,16,1.0
63,72,5,3,87,17,70,23,4,91,18,75,89,6,4,76,71,6,4,6,70,23,88,6,16,89,20,7,18,74,5,25,4,24,3,75,3,90,19,23,70,6,19,6,19,24,1.0
79,88,5,3,85,11,81,14,4,91,6,89,88,7,5,90,82,8,4,7,80,12,87,6,4,89,6,8,4,88,5,14,3,13,3,89,3,90,4,12,81,6,5,6,6,14,2.0
60,84,2,3,90,28,64,31,4,91,8,86,92,4,4,87,64,4,4,3,63,30,91,3,6,89,9,4,7,86,5,32,4,31,4,86,4,90,8,31,63,3,8,3,9,31,2.0
67,84,3,3,89,21,70,25,4,91,9,86,91,4,5,87,71,5,4,4,70,23,90,4,6,89,9,5,7,85,5,25,4,24,3,86,3,90,8,23,70,4,8,4,9,25,2.0
78,83,6,3,84,10,80,13,4,91,8,86,87,7,4,87,82,9,4,8,80,12,86,7,5,89,9,9,7,85,5,14,3,13,3,86,3,90,7,12,81,7,8,7,9,13,2.0
58,84,4,3,88,30,62,34,4,91,9,86,90,6,5,87,62,6,4,5,61,33,89,5,6,89,9,6,8,85,5,34,4,33,4,86,3,90,8,33,61,5,8,5,9,34,2.0
65,80,5,3,87,19,70,23,4,91,9,84,89,6,4,85,71,6,4,6,70,23,88,6,6,89,11,7,9,83,5,25,4,24,3,84,3,90,10,23,70,6,10,6,10,24,1.0
65,77,5,3,87,21,69,24,4,91,13,80,89,6,4,81,70,6,4,6,69,25,88,6,11,89,15,7,14,79,5,26,4,25,4,80,3,90,14,25,69,6,14,6,14,25,1.0
79,88,5,2,85,11,80,14,3,92,6,89,88,6,4,90,82,8,3,7,80,12,87,6,4,90,6,8,4,89,4,14,3,13,3,89,3,91,4,13,81,6,5,7,6,14,2.0
78,88,4,3,86,10,80,13,4,91,5,89,89,5,4,90,82,7,4,6,80,12,88,5,4,89,6,7,4,88,5,14,3,13,3,89,3,90,4,12,81,5,5,5,6,13,1.0
66,74,5,3,87,14,73,20,4,91,17,76,89,6,4,77,74,6,4,6,73,21,88,6,16,89,19,7,18,75,5,22,4,21,4,76,3,90,18,21,73,6,18,6,18,21,1.0
78,86,6,3,84,12,80,14,4,91,6,88,87,8,5,89,81,8,4,8,79,13,86,7,4,89,7,9,5,87,5,15,3,14,3,88,3,90,5,13,80,7,6,7,6,15,2.0
77,87,3,3,89,9,82,13,4,91,6,88,91,5,4,89,82,5,4,4,81,12,90,4,5,89,7,5,5,88,5,14,4,13,4,88,4,90,6,13,81,4,6,4,7,13,2.0
79,84,6,3,84,11,80,13,3,91,8,85,87,7,5,87,82,8,4,8,80,12,86,7,6,89,9,9,7,86,5,14,4,13,4,86,4,90,7,13,81,7,8,8,8,14,2.0
77,73,7,3,85,13,79,15,3,91,19,74,87,8,5,76,80,8,4,8,79,14,86,8,17,89,20,9,18,74,5,16,4,15,3,75,3,90,19,14,79,8,19,8,19,16,1.0
77,88,5,3,85,11,79,14,4,91,5,89,88,6,4,90,81,8,4,7,80,13,87,7,4,89,6,8,4,88,5,15,4,14,3,89,3,90,5,13,80,7,5,7,6,14,2.0
76,79,6,3,84,12,78,14,4,91,12,81,87,7,4,82,80,8,4,8,78,14,86,7,11,89,14,9,12,80,5,16,3,15,3,81,3,90,12,14,79,7,13,7,13,15,1.0
79,86,5,3,85,11,81,13,4,91,6,88,88,7,5,89,82,7,4,7,80,12,87,6,4,89,7,8,5,87,5,14,3,13,3,88,3,90,5,12,81,6,6,6,6,14,2.0
79,87,6,3,84,11,80,14,4,91,7,88,87,7,5,89,82,9,4,8,80,12,86,7,5,89,7,9,5,88,5,14,4,13,4,88,4,90,5,13,81,7,6,8,7,14,2.0
78,77,7,2,83,12,79,14,3,92,13,81,86,8,4,82,81,9,3,9,79,13,85,8,9,90,14,10,12,81,4,15,3,14,3,81,3,91,12,14,80,8,13,9,13,15,1.0
76,79,7,2,85,14,78,16,3,92,12,82,87,8,4,83,79,8,3,8,78,15,86,8,9,90,13,9,11,81,4,17,3,16,2,82,2,91,12,15,78,8,12,8,12,17,1.0
77,88,6,2,84,13,79,16,3,92,6,89,87,8,4,90,80,9,3,8,78,14,86,7,4,90,6,9,4,89,4,16,3,15,3,89,3,91,4,15,79,7,5,8,6,16,1.0
77,88,8,3,84,13,79,16,4,91,6,89,86,9,5,90,80,10,4,9,79,14,85,9,4,89,6,10,4,88,5,16,4,15,3,89,3,90,5,14,79,9,5,9,6,16,1.0
78,82,7,2,85,12,80,15,3,92,11,84,87,8,4,85,81,9,3,8,80,13,86,8,8,90,11,9,9,84,4,15,3,14,3,84,3,91,10,14,80,8,10,8,11,15,1.0
78,63,7,2,85,12,80,15,3,92,29,66,87,8,4,67,81,9,3,8,80,13,86,8,25,90,29,9,27,66,4,15,3,14,3,66,3,91,28,14,80,8,28,8,29,15,1.0
77,82,7,2,85,13,79,15,3,92,9,85,87,8,4,86,80,8,3,8,79,15,86,8,6,90,10,9,9,84,4,16,3,15,3,85,2,91,9,15,79,8,9,8,9,16,1.0
78,85,7,3,83,12,79,14,4,91,7,87,86,8,5,88,81,9,4,9,79,13,85,8,5,89,8,10,6,86,5,15,3,14,3,87,3,90,6,13,80,8,7,8,7,15,1.0
78,84,5,3,87,14,79,16,4,91,9,86,89,6,5,87,80,7,4,6,79,15,88,6,6,89,9,7,8,85,5,16,4,15,4,86,3,90,8,15,79,6,8,6,9,16,1.0
77,88,4,3,86,11,79,15,4,91,6,89,89,5,5,90,81,7,4,6,79,13,88,5,4,89,6,7,4,88,5,15,3,14,3,89,3,90,4,13,80,5,5,5,6,15,2.0
78,89,4,2,86,12,80,15,3,92,5,90,89,6,4,91,81,7,3,6,80,13,88,6,3,90,5,7,3,89,4,15,3,14,2,90,2,91,4,13,80,6,4,6,5,15,2.0
78,89,6,2,84,10,80,13,3,92,4,90,87,7,3,91,82,9,3,8,80,13,86,7,3,90,5,9,4,89,4,14,3,13,3,90,2,91,4,13,81,8,4,8,5,13,2.0
49,57,6,2,86,45,50,46,4,92,36,60,88,8,4,60,50,8,3,7,49,45,87,7,33,90,36,8,35,59,4,46,3,45,3,59,3,91,35,45,49,7,35,7,36,46,1.0
77,86,6,2,84,13,79,15,3,92,6,88,87,8,4,89,80,8,3,8,78,14,86,7,4,90,7,9,5,88,4,16,3,15,3,88,3,91,5,15,79,7,6,8,6,16,1.0
79,86,6,3,84,11,80,13,3,91,6,87,87,7,5,89,82,8,4,8,80,12,86,7,4,89,7,9,5,88,5,14,4,13,4,88,4,90,5,13,81,7,6,8,6,14,2.0
43,67,3,3,89,45,46,47,4,91,24,69,91,4,4,70,47,4,4,4,46,47,90,4,23,89,26,5,24,68,5,49,4,48,3,69,3,90,25,47,46,4,25,4,25,48,2.0
80,82,4,3,86,10,81,13,4,91,11,84,89,5,5,85,83,7,4,6,81,11,88,5,8,89,11,7,9,83,5,13,3,12,3,84,3,90,9,11,82,5,10,5,11,13,1.0
78,89,4,2,86,10,81,14,3,92,5,90,89,6,4,91,82,7,3,6,80,13,88,5,3,90,5,7,4,89,4,14,3,13,3,90,2,91,4,13,81,6,4,6,5,14,2.0
75,84,6,3,84,13,77,17,4,91,9,86,87,7,5,87,79,9,4,8,77,16,86,7,6,89,9,9,8,85,5,17,4,16,4,86,3,90,8,16,78,8,8,8,9,17,2.0
76,81,6,3,86,12,79,15,4,91,10,84,88,7,5,85,80,7,4,7,79,14,87,7,7,89,11,8,9,83,5,16,4,15,3,84,3,90,10,14,79,7,10,7,10,16,1.0
76,88,4,2,86,10,80,14,3,92,5,89,89,6,3,90,81,7,3,6,79,14,88,5,4,90,6,7,5,88,4,15,3,14,3,89,2,91,5,14,80,6,5,6,6,14,2.0
66,85,2,3,90,20,70,25,4,91,8,87,92,3,5,88,71,4,4,3,70,23,91,3,5,89,8,4,6,86,5,25,4,24,3,87,3,90,7,23,70,3,7,3,8,25,2.0
78,79,7,2,83,12,79,14,3,92,13,81,86,8,4,82,81,9,3,9,79,13,85,8,11,90,14,10,12,81,4,15,3,14,3,81,3,91,12,14,80,8,13,9,13,15,1.0
77,71,7,2,85,13,79,16,4,92,21,75,87,8,4,75,80,9,3,8,79,15,86,8,17,90,21,9,20,73,4,16,3,15,3,74,2,91,20,15,79,8,20,8,21,16,1.0
79,88,6,3,84,11,80,14,3,91,6,88,87,7,5,90,82,9,4,8,80,12,86,7,4,89,6,9,4,89,5,14,4,13,4,89,4,90,4,13,81,7,5,8,6,14,2.0
79,88,6,3,84,11,81,14,4,91,6,89,87,8,5,90,82,9,4,8,80,12,86,7,4,89,6,9,4,88,5,14,3,13,3,89,3,90,4,12,81,7,5,7,6,14,2.0
79,88,5,3,85,11,81,14,4,91,6,89,88,7,5,90,82,8,4,7,80,12,87,6,4,89,6,8,4,88,5,14,3,13,3,89,3,90,4,12,81,6,5,6,6,14,2.0
80,88,5,3,85,10,81,13,4,91,6,89,88,6,5,90,83,8,4,7,81,11,87,6,4,89,6,8,4,88,5,13,3,12,3,89,3,90,4,11,82,6,5,6,6,13,2.0
57,83,5,3,87,27,62,32,4,91,9,85,89,6,4,86,63,7,4,6,62,31,88,6,7,89,10,7,8,84,5,33,4,32,3,85,3,90,9,31,62,6,9,6,10,32,2.0
78,88,6,3,86,12,80,15,4,91,6,89,88,7,5,90,81,8,4,7,80,13,87,7,4,89,6,8,4,88,5,15,4,14,3,89,3,90,5,13,80,7,5,7,6,15,1.0
77,75,6,3,84,13,79,15,4,91,17,77,87,8,5,78,80,8,4,8,78,14,86,7,15,89,18,9,16,76,5,16,3,15,3,77,3,90,16,14,79,7,17,7,17,16,1.0
76,76,8,3,84,12,79,15,4,91,16,78,86,9,5,79,80,9,4,9,79,14,85,9,14,89,17,10,15,77,5,16,4,15,3,78,3,90,16,14,79,9,16,9,16,16,1.0
65,78,4,3,88,17,71,22,3,91,13,79,90,5,4,81,72,5,4,5,71,22,89,5,12,89,15,6,13,80,5,24,4,23,4,80,4,90,14,23,71,5,14,5,14,23,1.0
77,58,6,2,84,11,79,15,3,92,34,61,87,7,4,62,81,9,3,8,79,13,86,7,30,90,34,9,32,61,4,15,3,14,3,61,3,91,32,14,80,7,33,8,34,15,1.0
81,87,6,2,84,9,82,12,3,92,7,88,87,7,4,89,84,9,3,8,82,10,86,7,5,90,7,9,5,88,4,12,3,11,3,88,3,91,5,11,83,7,6,8,7,12,2.0
80,85,3,3,89,10,82,13,4,91,8,87,91,4,5,88,83,5,4,4,82,12,90,4,5,89,8,5,7,86,5,13,4,12,4,87,3,90,7,12,82,4,7,4,8,13,2.0
79,88,4,3,86,11,80,14,4,91,6,89,89,5,5,90,82,7,4,6,80,12,88,5,4,89,6,7,4,88,5,14,3,13,3,89,3,90,4,12,81,5,5,5,6,14,2.0
58,74,4,3,88,30,61,34,5,91,18,78,90,5,5,78,62,6,4,5,61,32,89,5,14,89,18,6,16,76,5,34,4,33,3,77,3,90,17,32,61,5,17,5,18,34,2.0
77,88,7,2,83,13,78,16,3,92,6,89,86,8,4,90,80,10,3,9,78,14,85,8,4,90,6,10,4,88,4,16,2,15,2,89,2,91,4,14,79,8,5,8,6,16,1.0
75,87,4,4,88,11,79,16,5,90,7,88,90,5,6,89,80,6,5,5,79,14,89,5,5,88,7,6,5,87,6,16,5,15,4,88,4,89,6,14,79,5,6,5,7,16,2.0
70,86,5,3,87,14,75,19,4,91,6,88,89,6,4,89,76,7,4,6,75,18,88,6,4,89,7,7,5,87,5,20,4,19,3,88,3,90,6,18,75,6,6,6,7,19,1.0
