@relation 'Sax dominant'

@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atLeee numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o2atMaaa numeric
@attribute o2atMabb numeric
@attribute o2atLabb numeric
@attribute o2atMbbc numeric
@attribute o2atLbbc numeric
@attribute o2atMcdd numeric
@attribute o2atLcdd numeric
@attribute o2atMaab numeric
@attribute o2atLaab numeric
@attribute o2atMbcc numeric
@attribute o2atLbcc numeric
@attribute o2atMdde numeric
@attribute o2atLdde numeric
@attribute o2atLeee numeric
@attribute o2atMccd numeric
@attribute o2atLccd numeric
@attribute o2atMdee numeric
@attribute o2atLdee numeric
@attribute o2atMbba numeric
@attribute o2atLbba numeric
@attribute o2atMcee numeric
@attribute o2atLcee numeric
@attribute o2atMbbb numeric
@attribute o2atLbbb numeric
@attribute o2atMbaa numeric
@attribute o2atLbaa numeric
@attribute o2atMbce numeric
@attribute o2atLbce numeric
@attribute o2atMeed numeric
@attribute o2atLeed numeric
@attribute o2atMbcd numeric
@attribute o2atLbcd numeric
@attribute o2atMccc numeric
@attribute o2atLccc numeric
@attribute o2atMcbb numeric
@attribute o2atLcbb numeric
@attribute o2atMbde numeric
@attribute o2atLbde numeric
@attribute o2atMccb numeric
@attribute o2atLccb numeric
@attribute o2atMbbd numeric
@attribute o2atLbbd numeric
@attribute o2atMabc numeric
@attribute o2atLabc numeric
@attribute o2atMcde numeric
@attribute o2atLcde numeric
@attribute o2atMaac numeric
@attribute o2atLaac numeric
@attribute o2atMacd numeric
@attribute o2atLacd numeric
@attribute o2atMabd numeric
@attribute o2atLabd numeric
@attribute o2atMedd numeric
@attribute o2atLedd numeric
@attribute o2atMddd numeric
@attribute o2atLddd numeric
@attribute o2atMbdd numeric
@attribute o2atLbdd numeric
@attribute o2atMddc numeric
@attribute o2atLddc numeric
@attribute o2atMdcc numeric
@attribute o2atLdcc numeric
@attribute o2atMbcb numeric
@attribute o2atLbcb numeric
@attribute o2atMbab numeric
@attribute o2atLbab numeric
@attribute o2atMaba numeric
@attribute o2atLaba numeric
@attribute o2atMdcb numeric
@attribute o2atLdcb numeric
@attribute o2atMcce numeric
@attribute o2atLcce numeric
@attribute o3atMbba numeric
@attribute o3atLbba numeric
@attribute o3atMaaa numeric
@attribute o3atMabb numeric
@attribute o3atLabb numeric
@attribute o3atMddc numeric
@attribute o3atLddc numeric
@attribute o3atMcbb numeric
@attribute o3atLcbb numeric
@attribute o3atMbbc numeric
@attribute o3atLbbc numeric
@attribute o3atMccc numeric
@attribute o3atLccc numeric
@attribute o3atMccb numeric
@attribute o3atLccb numeric
@attribute o3atMbbb numeric
@attribute o3atLbbb numeric
@attribute o3atMbaa numeric
@attribute o3atLbaa numeric
@attribute o3atMaab numeric
@attribute o3atLaab numeric
@attribute o3atMbcc numeric
@attribute o3atLbcc numeric
@attribute o3atLeee numeric
@attribute o3atMedd numeric
@attribute o3atLedd numeric
@attribute o3atMeed numeric
@attribute o3atLeed numeric
@attribute o3atMdcc numeric
@attribute o3atLdcc numeric
@attribute o3atMcdd numeric
@attribute o3atLcdd numeric
@attribute o3atMddd numeric
@attribute o3atLddd numeric
@attribute o3atMccd numeric
@attribute o3atLccd numeric
@attribute o3atMcbc numeric
@attribute o3atLcbc numeric
@attribute o3atMcee numeric
@attribute o3atLcee numeric
@attribute o3atMabc numeric
@attribute o3atLabc numeric
@attribute o3atMbce numeric
@attribute o3atLbce numeric
@attribute o3atMbcd numeric
@attribute o3atLbcd numeric
@attribute o3atMdde numeric
@attribute o3atLdde numeric
@attribute o3atMdee numeric
@attribute o3atLdee numeric
@attribute o3atMdcd numeric
@attribute o3atLdcd numeric
@attribute o3atMcde numeric
@attribute o3atLcde numeric
@attribute o3atMabd numeric
@attribute o3atLabd numeric
@attribute o3atMbde numeric
@attribute o3atLbde numeric
@attribute o3atMbcb numeric
@attribute o3atLbcb numeric
@attribute o3atMbab numeric
@attribute o3atLbab numeric
@attribute o3atMbbd numeric
@attribute o3atLbbd numeric
@attribute o3atMede numeric
@attribute o3atLede numeric
@attribute o3atMdcb numeric
@attribute o3atLdcb numeric
@attribute o3atMedc numeric
@attribute o3atLedc numeric
@attribute o3atMcdc numeric
@attribute o3atLcdc numeric
@attribute o3atMaba numeric
@attribute o3atLaba numeric
@attribute o3atMded numeric
@attribute o3atLded numeric
@attribute destClass {2,3,7,6,4,5,1}

@data
0,30,0,19,25,3,27,4,26,2,30,0,30,0,30,0,30,21,8,21,8,20,9,30,7,20,9,2,26,3,26,19,9,0,30,2,27,30,0,0,30,0,30,0,30,0,21,7,3,25,30,0,14,15,13,18,11,19,10,15,14,18,11,20,10,9,19,10,21,10,16,13,20,10,18,12,15,14,19,11,19,9,19,11,18,10,18,10,20,11,18,10,19,11,15,12,20,10,15,12,16,11,16,12,19,9,19,10,19,11,18,10,18,10,18,11,16,12,14,14,18,10,19,10,0,30,0,0,30,19,12,9,20,9,20,17,18,10,19,8,30,0,30,0,30,10,19,8,21,10,22,9,18,13,17,11,20,11,17,11,10,18,17,8,0,20,10,8,10,11,20,8,20,8,18,11,17,8,0,11,10,8,8,20,0,30,9,11,21,8,10,13,19,10,17,12,0,30,20,9,6
11,19,9,27,11,18,13,19,12,17,18,10,20,10,18,10,19,29,0,29,0,28,1,30,0,28,1,17,11,17,11,28,1,11,18,17,12,30,0,0,30,0,30,0,30,0,29,0,18,11,30,0,8,9,19,21,8,29,1,9,20,22,7,30,0,0,29,1,30,0,10,19,30,0,19,18,9,20,23,1,29,0,23,2,28,5,20,7,23,1,21,6,21,2,10,9,30,1,9,9,10,2,10,2,29,0,29,0,23,1,28,0,28,0,19,8,10,18,8,20,21,0,29,1,0,30,0,0,30,7,23,0,30,0,30,5,30,0,30,0,30,0,30,0,30,0,30,14,15,16,16,15,6,24,6,22,14,22,6,23,0,30,6,14,0,30,0,14,0,23,14,14,14,14,7,22,6,14,0,23,0,14,0,30,0,30,0,23,15,14,0,24,7,16,5,23,0,30,14,15,6
0,30,0,28,5,24,7,25,6,23,30,0,30,0,30,0,30,29,0,30,0,28,0,30,0,29,1,23,5,23,5,29,1,0,30,23,6,30,0,0,30,0,30,0,30,0,29,0,24,5,30,0,10,11,17,21,9,21,8,11,18,21,9,22,7,7,21,8,23,7,12,17,23,8,20,16,11,18,22,9,21,7,21,9,21,8,20,8,22,8,20,8,21,9,12,10,22,8,11,10,12,9,12,9,21,7,21,7,21,8,21,7,21,7,20,9,12,16,10,18,20,7,22,8,0,30,0,0,30,9,20,0,30,0,30,7,30,0,30,0,30,0,30,0,30,0,30,9,20,11,21,10,8,21,9,20,19,19,8,21,0,30,9,9,0,30,0,9,0,21,19,9,19,9,9,19,9,9,0,21,0,9,0,30,0,30,0,21,20,9,0,21,9,11,7,21,0,30,19,10,4
11,18,9,30,0,29,0,29,0,29,17,10,19,11,18,10,19,30,0,30,0,30,0,30,0,30,0,30,1,30,0,30,0,11,17,29,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,5,6,22,12,16,24,6,6,23,12,16,25,5,4,24,6,26,5,7,22,25,5,11,21,6,23,13,6,24,4,13,7,23,15,12,17,13,6,13,16,12,7,7,17,25,6,6,17,7,7,7,7,24,4,24,5,13,6,23,5,23,5,11,17,7,21,5,23,13,5,24,6,0,30,0,0,30,13,18,8,22,8,21,11,20,9,21,7,30,0,30,0,30,8,20,14,15,16,16,15,12,19,11,17,14,17,11,17,9,20,11,14,0,21,8,14,8,17,14,14,14,14,12,17,11,14,0,17,8,14,7,21,0,30,8,17,15,14,9,19,13,16,11,18,0,30,14,15,5
14,15,12,30,2,26,2,26,2,26,14,13,16,14,15,13,16,30,0,30,0,30,0,30,0,30,0,27,4,28,3,30,0,14,14,26,3,30,0,0,30,0,30,0,30,0,30,0,27,2,30,0,2,4,25,9,20,18,12,3,26,9,19,19,11,10,18,12,20,11,4,25,19,11,8,24,3,26,10,12,18,10,10,13,17,18,9,20,10,12,10,19,9,13,4,20,19,12,3,20,4,13,4,13,18,10,18,11,10,12,17,11,17,11,8,20,4,24,2,26,10,11,18,12,0,30,0,0,30,19,12,15,15,15,14,17,13,16,14,14,30,0,30,0,30,15,13,8,21,10,22,9,18,13,17,11,20,11,17,11,16,13,17,8,0,14,15,8,15,11,20,8,20,8,18,11,17,8,0,11,15,8,14,14,0,30,15,11,21,8,16,13,19,10,17,12,0,30,20,9,4
2,27,0,30,0,27,2,28,1,26,26,1,28,2,27,1,28,30,0,30,0,30,0,30,0,30,0,27,2,28,1,30,0,2,26,26,2,30,0,0,30,0,30,0,30,0,30,0,28,0,30,0,4,6,23,21,10,21,8,5,24,21,9,22,7,7,21,8,23,7,6,23,23,8,20,22,5,24,22,9,21,7,21,9,21,8,20,8,22,8,20,8,21,9,6,10,22,8,5,10,6,9,6,9,21,7,21,7,21,8,21,7,21,7,20,9,6,22,4,24,20,7,22,8,0,30,0,0,30,15,16,5,25,5,24,13,23,6,24,4,30,0,30,0,30,5,23,6,23,8,24,7,14,17,13,15,22,15,13,15,6,23,13,6,0,24,5,6,5,15,22,6,22,6,14,15,13,6,0,15,5,6,4,24,0,30,5,15,23,6,6,17,15,8,13,16,0,30,22,7,7
0,30,0,30,0,30,0,30,0,30,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,0,30,30,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,5,7,22,18,12,19,10,6,23,18,11,20,10,9,19,10,21,10,7,22,20,10,18,21,6,23,19,11,19,9,19,11,18,10,18,10,20,11,18,10,19,12,7,12,20,10,6,12,7,11,7,12,19,9,19,10,19,11,18,10,18,10,18,11,7,21,5,23,18,10,19,10,0,30,0,0,30,21,8,0,30,0,30,19,30,0,30,0,30,0,30,0,30,0,30,2,27,4,28,3,20,9,21,8,26,7,20,9,0,30,21,2,0,30,0,2,0,9,26,2,26,2,21,7,21,2,0,9,0,2,0,30,0,30,0,9,27,2,0,9,21,4,19,9,0,30,26,3,3
0,30,0,28,8,19,10,20,9,18,30,0,30,0,30,0,30,29,0,30,0,28,0,30,0,29,1,19,10,20,9,29,1,0,30,18,10,30,0,0,30,0,30,0,30,0,29,0,20,8,30,0,9,10,18,16,12,21,9,10,19,16,12,22,8,7,21,9,23,8,11,18,22,8,15,17,10,19,17,9,21,7,17,10,20,11,16,13,17,9,17,12,16,10,11,13,22,9,10,13,11,10,11,10,21,7,21,8,17,9,20,8,20,8,15,13,11,17,9,19,17,8,21,9,0,30,0,0,30,22,9,8,21,8,21,20,19,9,20,7,30,0,30,0,30,9,20,5,24,7,25,6,21,10,20,8,23,8,20,8,9,19,20,5,0,21,9,5,9,8,23,5,23,5,21,8,20,5,0,8,9,5,7,21,0,30,8,8,24,5,9,10,22,7,20,9,0,30,23,6,2
11,18,9,25,6,23,8,24,7,22,17,10,19,11,18,10,19,25,3,27,4,25,3,30,3,26,5,22,6,22,6,25,4,11,17,22,7,30,0,0,30,0,30,0,30,0,26,3,23,6,30,0,6,7,21,23,7,24,6,7,22,23,7,25,5,4,24,6,26,5,8,21,25,5,22,20,7,22,24,6,24,4,24,7,23,6,22,6,24,6,22,6,23,7,8,8,25,6,7,8,8,7,8,7,24,4,24,5,24,6,23,5,23,5,22,7,8,20,6,22,22,5,24,6,0,30,0,0,30,12,17,0,30,0,30,10,30,0,30,0,30,0,30,0,30,0,30,5,24,7,25,6,11,18,12,17,23,16,11,18,0,30,12,5,0,30,0,5,0,18,23,5,23,5,12,16,12,5,0,18,0,5,0,30,0,30,0,18,24,5,0,18,12,7,10,18,0,30,23,6,6
0,30,0,30,2,27,4,28,3,26,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,26,2,26,2,30,0,0,30,26,3,30,0,0,30,0,30,0,30,0,30,0,27,2,30,0,10,12,17,19,11,20,9,11,18,19,10,21,9,8,20,9,22,9,12,17,21,9,19,16,11,18,20,10,20,8,20,10,19,9,19,9,21,10,19,9,20,11,12,11,21,9,11,11,12,10,12,11,20,8,20,9,20,10,19,9,19,9,19,10,12,16,10,18,19,9,20,9,0,30,0,0,30,10,19,0,30,0,30,8,30,0,30,0,30,0,30,0,30,0,30,12,17,14,18,13,9,20,10,19,16,18,9,20,0,30,10,12,0,30,0,12,0,20,16,12,16,12,10,18,10,12,0,20,0,12,0,30,0,30,0,20,17,12,0,20,10,14,8,20,0,30,16,13,1
0,30,0,30,2,27,4,28,3,26,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,26,2,26,2,30,0,0,30,26,3,30,0,0,30,0,30,0,30,0,30,0,27,2,30,0,10,11,17,20,10,21,9,11,18,20,10,22,8,7,21,9,23,8,12,17,22,8,19,16,11,18,21,9,21,7,21,10,20,9,19,9,21,9,19,9,20,10,12,11,22,9,11,11,12,10,12,10,21,7,21,8,21,9,20,8,20,8,19,10,12,16,10,18,19,8,21,9,0,30,0,0,30,12,17,0,30,0,30,10,30,0,30,0,30,0,30,0,30,0,30,2,27,4,28,3,11,18,12,17,26,16,11,18,0,30,12,2,0,30,0,2,0,18,26,2,26,2,12,16,12,2,0,18,0,2,0,30,0,30,0,18,27,2,0,18,12,4,10,18,0,30,26,3,2
0,30,0,30,5,22,7,23,6,21,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,22,7,23,6,30,0,0,30,21,7,30,0,0,30,0,30,0,30,0,30,0,23,5,30,0,6,8,21,17,12,21,9,7,22,17,11,22,8,7,21,9,23,8,8,21,22,8,16,20,7,22,18,9,21,7,18,10,20,10,17,12,18,9,18,11,17,10,8,12,22,9,7,12,8,10,8,10,21,7,21,8,18,9,20,8,20,8,16,12,8,20,6,22,18,8,21,9,0,30,0,0,30,22,9,17,13,17,12,20,11,18,12,16,30,0,30,0,30,17,11,6,23,8,24,7,21,10,20,8,22,8,20,8,18,11,20,6,0,12,17,6,17,8,22,6,22,6,21,8,20,6,0,8,17,6,16,12,0,30,17,8,23,6,18,10,22,8,20,9,0,30,22,7,2
0,30,0,27,8,21,10,22,9,20,30,0,30,0,30,0,30,28,1,29,1,27,1,30,0,28,2,20,8,20,8,27,2,0,30,20,9,30,0,0,30,0,30,0,30,0,28,0,21,8,30,0,5,7,22,20,10,21,8,6,23,20,9,22,8,7,21,8,23,8,7,22,22,8,20,21,6,23,21,9,21,7,21,9,20,8,20,8,22,9,20,8,21,10,7,10,22,8,6,10,7,9,7,10,21,7,21,8,21,9,20,8,20,8,20,9,7,21,5,23,20,8,21,8,0,30,0,0,30,20,11,14,16,14,15,18,14,15,15,13,30,0,30,0,30,14,14,6,23,8,24,7,19,12,18,10,22,10,18,10,15,14,18,6,0,15,14,6,14,10,22,6,22,6,19,10,18,6,0,10,14,6,13,15,0,30,14,10,23,6,15,12,20,8,18,11,0,30,22,7,5
0,30,0,25,19,10,21,11,20,9,30,0,30,0,30,0,30,26,3,27,3,25,3,30,2,26,4,9,19,9,19,25,4,0,30,9,20,30,0,0,30,0,30,0,30,0,26,2,10,19,30,0,4,4,24,30,0,30,0,4,24,30,0,30,0,0,30,0,30,0,6,25,30,0,30,24,5,26,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,4,0,30,0,4,0,4,0,4,0,30,0,30,0,30,0,30,0,30,0,30,0,5,24,4,25,30,0,30,0,5,23,5,6,24,7,21,6,22,7,23,7,22,6,22,6,23,5,23,6,25,7,23,19,7,21,8,20,7,21,7,22,7,21,7,22,7,22,9,20,7,24,8,22,7,23,8,20,9,19,7,21,8,21,7,23,8,21,6,23,6,23,7,23,9,20,6,21,7,21,7,22,5,24,7,20,5
0,30,0,30,0,30,0,30,0,30,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,0,30,30,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,7,8,20,25,5,26,4,8,21,25,5,27,3,2,26,4,28,3,9,20,27,3,24,19,8,21,26,4,26,2,26,5,25,4,24,4,26,4,24,4,25,5,9,6,27,4,8,6,9,5,9,5,26,2,26,3,26,4,25,3,25,3,24,5,9,19,7,21,24,3,26,4,0,30,0,0,30,11,20,6,25,5,23,9,23,7,24,5,30,0,30,0,30,5,23,16,13,18,14,17,10,21,9,19,12,19,9,19,6,23,9,16,0,23,5,16,5,19,12,16,12,16,10,19,9,16,0,19,5,16,5,24,0,30,5,19,13,16,7,21,11,18,9,20,0,30,12,17,7
11,19,9,27,11,18,13,19,12,17,18,10,20,10,18,10,19,29,0,29,0,28,1,30,0,28,1,17,11,17,11,28,1,11,18,17,12,30,0,0,30,0,30,0,30,0,29,0,18,11,30,0,8,9,19,21,8,29,1,9,20,22,7,30,0,0,29,1,30,0,10,19,30,0,19,18,9,20,23,1,29,0,23,2,28,5,20,7,23,1,21,6,21,2,10,9,30,1,9,9,10,2,10,2,29,0,29,0,23,1,28,0,28,0,19,8,10,18,8,20,21,0,29,1,0,30,0,0,30,7,23,0,30,0,30,5,30,0,30,0,30,0,30,0,30,0,30,14,15,16,16,15,6,24,6,22,14,22,6,23,0,30,6,14,0,30,0,14,0,23,14,14,14,14,7,22,6,14,0,23,0,14,0,30,0,30,0,23,15,14,0,24,7,16,5,23,0,30,14,15,6
6,23,4,27,4,25,6,26,5,24,22,5,24,6,23,5,24,27,1,29,2,27,1,30,1,28,3,24,4,24,4,27,2,6,22,24,5,30,0,0,30,0,30,0,30,0,28,1,25,4,30,0,6,8,21,22,9,22,7,7,22,22,8,23,6,6,22,7,24,6,8,21,24,7,21,20,7,22,23,8,22,6,22,8,22,7,21,7,23,7,21,7,22,8,8,9,23,7,7,9,8,8,8,8,22,6,22,6,22,7,22,6,22,6,21,8,8,20,6,22,21,6,23,7,0,30,0,0,30,15,14,0,30,0,30,13,30,0,30,0,30,0,30,0,30,0,30,4,25,6,26,5,14,15,15,14,24,13,14,15,0,30,15,4,0,30,0,4,0,15,24,4,24,4,15,13,15,4,0,15,0,4,0,30,0,30,0,15,25,4,0,15,15,6,13,15,0,30,24,5,6
0,30,0,30,10,16,14,18,12,14,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,15,12,16,11,30,0,0,30,14,13,30,0,0,30,0,30,0,30,0,30,0,17,10,30,0,12,13,15,22,8,23,7,13,16,22,8,24,6,5,23,7,25,6,14,15,24,6,21,14,13,16,23,7,23,5,23,8,22,7,21,7,23,7,21,7,22,8,14,9,24,7,13,9,14,8,14,8,23,5,23,6,23,7,22,6,22,6,21,8,14,14,12,16,21,6,23,7,0,30,0,0,30,11,19,0,30,0,30,9,30,0,30,0,30,0,30,0,30,0,30,13,16,15,17,14,10,20,10,18,15,18,10,19,0,30,10,13,0,30,0,13,0,19,15,13,15,13,11,18,10,13,0,19,0,13,0,30,0,30,0,19,16,13,0,20,11,15,9,19,0,30,15,14,4
9,20,7,30,6,21,8,22,7,20,19,8,21,9,20,8,21,30,0,30,0,30,0,30,0,30,0,21,8,22,7,30,0,9,19,20,8,30,0,0,30,0,30,0,30,0,30,0,22,6,30,0,8,9,19,14,14,21,9,9,20,14,14,22,8,7,21,9,23,8,10,19,22,8,13,18,9,20,15,9,21,7,15,10,20,13,14,15,15,9,15,14,14,10,10,15,22,9,9,15,10,10,10,10,21,7,21,8,15,9,20,8,20,8,13,15,10,18,8,20,15,8,21,9,0,30,0,0,30,17,13,0,30,0,30,15,30,0,30,0,30,0,30,0,30,0,30,5,24,7,25,6,16,14,16,12,23,12,16,13,0,30,16,5,0,30,0,5,0,13,23,5,23,5,17,12,16,5,0,13,0,5,0,30,0,30,0,13,24,5,0,14,17,7,15,13,0,30,23,6,5
12,17,10,30,5,23,5,23,5,23,16,11,18,12,17,11,18,30,0,30,0,30,0,30,0,30,0,24,7,25,6,30,0,12,16,23,6,30,0,0,30,0,30,0,30,0,30,0,24,5,30,0,3,5,24,10,19,21,9,4,25,11,18,22,8,7,21,10,23,8,5,24,22,8,9,23,4,25,11,9,21,7,11,10,20,17,10,19,11,9,11,18,10,10,5,19,22,9,4,19,5,10,5,10,21,7,21,8,11,9,20,8,20,8,9,19,5,23,3,25,11,8,21,9,0,30,0,0,30,16,15,13,18,12,16,14,16,14,17,12,30,0,30,0,30,12,16,11,18,13,19,12,15,16,14,14,17,14,14,14,13,16,14,11,0,16,12,11,12,14,17,11,17,11,15,14,14,11,0,14,12,11,12,17,0,30,12,14,18,11,14,16,16,13,14,15,0,30,17,12,2
0,30,0,30,0,30,0,30,0,30,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,0,30,30,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,6,6,22,30,0,30,0,6,22,30,0,30,0,0,30,0,30,0,8,23,30,0,30,22,7,24,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,6,0,30,0,6,0,6,0,6,0,30,0,30,0,30,0,30,0,30,0,30,0,7,22,6,23,30,0,30,0,0,28,0,2,29,4,24,3,25,4,27,4,25,3,25,3,28,0,28,1,30,4,26,22,6,22,6,22,4,24,6,25,6,24,5,25,4,25,6,23,2,27,5,24,5,26,7,24,8,23,5,24,6,24,2,26,5,24,3,26,1,28,4,26,7,22,3,24,4,22,4,25,0,29,6,23,5
0,30,0,30,4,24,4,24,4,24,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,25,6,26,5,30,0,0,30,24,5,30,0,0,30,0,30,0,30,0,30,0,25,4,30,0,6,8,21,18,12,20,10,7,22,18,11,21,9,8,20,10,22,9,8,21,21,9,17,20,7,22,19,10,20,8,19,11,19,10,18,11,19,10,18,10,18,11,8,12,21,10,7,12,8,11,8,11,20,8,20,9,19,10,19,9,19,9,17,11,8,20,6,22,18,9,20,10,0,30,0,0,30,16,15,13,18,12,16,14,16,14,17,12,30,0,30,0,30,12,16,11,18,13,19,12,15,16,14,14,17,14,14,14,13,16,14,11,0,16,12,11,12,14,17,11,17,11,15,14,14,11,0,14,12,11,12,17,0,30,12,14,18,11,14,16,16,13,14,15,0,30,17,12,4
10,19,8,27,4,25,6,26,5,24,18,9,20,10,19,9,20,27,1,29,2,27,1,30,1,28,3,24,4,24,4,27,2,10,18,24,5,30,0,0,30,0,30,0,30,0,28,1,25,4,30,0,7,8,20,23,7,24,6,8,21,23,7,25,5,4,24,6,26,5,9,20,25,5,22,19,8,21,24,6,24,4,24,7,23,6,22,6,24,6,22,6,23,7,9,8,25,6,8,8,9,7,9,7,24,4,24,5,24,6,23,5,23,5,22,7,9,19,7,21,22,5,24,6,0,30,0,0,30,10,19,0,30,0,30,8,30,0,30,0,30,0,30,0,30,0,30,6,23,8,24,7,9,20,10,19,22,18,9,20,0,30,10,6,0,30,0,6,0,20,22,6,22,6,10,18,10,6,0,20,0,6,0,30,0,30,0,20,23,6,0,20,10,8,8,20,0,30,22,7,5
0,30,0,30,0,30,0,30,0,30,30,0,30,0,30,0,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,0,30,30,0,30,0,0,30,0,30,0,30,0,30,0,30,0,30,0,5,5,23,18,10,30,0,5,23,18,10,30,0,0,30,0,30,0,7,24,30,0,18,23,6,25,18,0,30,0,18,0,30,10,19,12,18,0,20,11,18,0,5,10,30,0,5,10,5,0,5,0,30,0,30,0,18,0,30,0,30,0,18,11,6,23,5,24,20,0,30,0,1,27,1,3,28,5,23,4,24,5,26,5,24,4,24,4,27,1,27,2,29,5,25,21,7,21,7,21,5,23,7,24,7,23,6,24,5,24,7,22,3,26,6,23,6,25,8,23,9,22,6,23,7,23,3,25,6,23,4,25,2,27,5,25,8,21,4,23,5,21,5,24,1,28,7,22,4
0,30,0,22,15,12,17,13,16,11,30,0,30,0,30,0,30,24,5,24,5,23,6,30,4,23,6,12,17,13,16,22,6,0,30,11,17,30,0,0,30,0,30,0,30,0,24,4,13,15,30,0,15,16,13,18,12,19,11,16,14,18,12,20,10,9,19,11,21,10,16,12,20,10,17,12,16,13,19,11,19,9,19,12,18,11,17,11,19,11,17,11,18,12,17,13,20,11,16,13,17,12,17,12,19,9,19,10,19,11,18,10,18,10,17,12,17,12,15,13,17,10,19,11,5,24,3,5,24,16,15,13,18,12,16,14,16,14,17,12,23,4,25,4,25,12,16,11,18,13,19,12,15,16,14,14,17,14,14,14,13,16,14,11,5,16,12,11,12,14,17,11,17,11,15,14,14,11,5,14,12,11,12,17,5,23,12,14,18,11,14,16,16,13,14,15,3,25,17,12,7
9,22,7,30,11,17,13,18,12,16,21,8,23,7,21,7,21,30,0,30,0,30,0,30,0,30,0,16,12,17,12,30,0,8,21,16,13,30,0,0,30,0,30,0,30,0,30,0,17,11,30,0,10,12,19,14,17,16,14,11,20,15,16,17,13,12,16,15,18,13,10,18,17,13,13,18,10,18,15,14,16,12,15,15,15,15,13,15,15,14,13,15,14,15,12,17,17,14,11,17,12,15,12,15,16,12,16,13,15,14,15,13,15,13,13,16,11,18,10,19,13,13,16,14,7,22,5,7,22,16,13,12,17,12,17,14,15,12,16,11,21,6,23,6,23,13,16,9,20,11,21,10,15,13,16,13,19,12,15,14,13,15,16,9,7,17,13,9,13,14,19,9,19,9,16,12,16,9,7,14,13,9,11,17,7,21,12,14,20,9,13,14,16,11,14,14,5,23,19,10,2
12,17,10,30,2,27,4,28,3,26,16,11,18,12,17,11,18,30,0,30,0,30,0,30,0,30,0,26,2,26,2,30,0,12,16,26,3,30,0,0,30,0,30,0,30,0,30,0,27,2,30,0,5,7,22,19,11,20,9,6,23,19,10,21,9,8,20,9,22,9,7,22,21,9,19,21,6,23,20,10,20,8,20,10,19,9,19,9,21,10,19,9,20,11,7,11,21,9,6,11,7,10,7,11,20,8,20,9,20,10,19,9,19,9,19,10,7,21,5,23,19,9,20,9,0,30,0,0,30,14,15,0,30,0,30,12,30,0,30,0,30,0,30,0,30,0,30,1,28,3,29,2,13,16,14,15,27,14,13,16,0,30,14,1,0,30,0,1,0,16,27,1,27,1,14,14,14,1,0,16,0,1,0,30,0,30,0,16,28,1,0,16,14,3,12,16,0,30,27,2,6
