@relation 'Sax dominant'

@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atLee numeric
@attribute o1atMaa numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute destClass {1,2}

@data
36,77,52,52,74,36,17,16,40,56,56,40,76,19,17,78,39,55,55,39,76,19,17,78,56,19,40,40,17,56,40,19,55,19,17,55,17,19,17,40,17,39,39,19,39,39,1.0
36,71,49,53,63,39,23,20,39,56,52,43,68,27,22,73,39,56,52,42,67,27,22,73,53,28,39,43,22,56,39,28,52,27,22,56,22,28,22,43,22,42,39,27,39,42,2.0
35,71,50,55,70,38,19,20,38,58,54,42,73,22,22,73,37,57,53,41,73,22,22,73,54,22,38,42,22,58,38,22,53,22,22,57,22,22,22,42,22,41,37,22,37,41,1.0
37,71,53,54,70,35,20,20,39,56,56,39,73,22,22,73,39,56,56,38,72,22,22,73,57,23,39,39,22,56,39,23,56,22,22,56,22,23,22,39,22,38,39,22,39,38,2.0
41,73,53,50,68,38,22,18,43,52,55,40,71,25,20,75,43,52,55,40,70,24,20,75,55,25,43,40,20,52,43,25,55,24,20,52,20,25,20,40,20,40,43,24,43,40,2.0
38,66,54,53,73,34,17,19,40,55,57,38,76,19,24,71,40,55,57,37,75,19,24,71,58,20,40,38,24,55,40,20,57,19,24,55,24,20,24,38,24,37,40,19,40,37,2.0
31,69,43,58,77,46,11,22,34,61,46,49,81,15,24,71,34,61,46,49,80,14,24,71,46,15,34,49,24,61,34,15,46,14,24,61,24,15,24,49,24,49,34,14,34,49,2.0
37,73,51,52,73,36,16,18,40,55,55,40,76,19,20,75,40,55,55,40,76,19,20,75,55,19,40,40,20,55,40,19,55,19,20,55,20,19,20,40,20,40,40,19,40,40,2.0
35,73,54,53,71,35,20,17,39,57,57,38,73,22,20,76,38,56,57,38,73,22,19,75,57,22,39,38,20,57,39,22,57,22,19,56,20,22,20,38,19,38,38,22,38,38,1.0
32,73,52,57,74,36,16,18,35,60,55,40,77,18,20,75,35,60,55,39,76,18,20,75,56,19,35,40,20,60,35,19,55,18,20,60,20,19,20,40,20,39,35,18,35,39,1.0
38,66,50,53,72,39,16,25,40,55,53,42,76,20,27,68,40,55,53,42,75,19,27,68,53,20,40,42,27,55,40,20,53,19,27,55,27,20,27,42,27,42,40,19,40,42,1.0
40,65,53,51,68,38,22,26,42,53,55,40,71,25,28,67,42,53,55,40,70,24,28,67,55,25,42,40,28,53,42,25,55,24,28,53,28,25,28,40,28,40,42,24,42,40,1.0
38,68,51,50,69,37,22,21,41,54,55,40,71,24,24,71,41,53,54,40,71,24,24,71,55,24,42,41,24,54,42,24,54,24,24,53,24,24,24,41,24,40,41,24,41,40,1.0
40,66,53,51,69,38,21,25,42,53,55,40,72,24,27,68,42,53,55,40,71,23,27,68,55,24,42,40,27,53,42,24,55,23,27,53,27,24,27,40,27,40,42,23,42,40,1.0
35,73,53,55,72,36,19,17,38,58,56,39,74,21,20,76,37,57,56,39,74,21,19,75,56,21,38,39,20,58,38,21,56,21,19,57,20,21,20,39,19,39,37,21,37,39,1.0
37,69,52,52,71,36,19,22,40,55,55,40,74,21,24,71,40,55,55,39,73,21,24,71,56,22,40,40,24,55,40,22,55,21,24,55,24,22,24,40,24,39,40,21,40,39,2.0
36,76,55,52,70,33,21,17,40,56,59,37,72,23,18,77,39,55,58,36,72,23,18,77,59,23,40,37,18,56,40,23,58,23,18,55,18,23,18,37,18,36,39,23,39,36,2.0
42,69,58,47,72,31,18,20,45,50,61,34,75,21,23,72,45,50,61,34,74,20,23,72,61,21,45,34,23,50,45,21,61,20,23,50,23,21,23,34,23,34,45,20,45,34,1.0
33,73,51,56,70,40,18,18,36,59,53,42,74,22,20,75,36,59,53,42,73,21,20,75,53,22,36,42,20,59,36,22,53,21,20,59,20,22,20,42,20,42,36,21,36,42,1.0
40,70,53,51,68,38,22,21,42,53,55,40,71,25,23,72,42,53,55,40,70,24,23,72,55,25,42,40,23,53,42,25,55,24,23,53,23,25,23,40,23,40,42,24,42,40,2.0
39,66,51,52,67,40,23,25,41,54,53,42,70,26,27,68,41,54,53,42,69,25,27,68,53,26,41,42,27,54,41,26,53,25,27,54,27,26,27,42,27,42,41,25,41,42,2.0
38,67,49,52,70,39,21,22,40,55,53,42,72,23,25,70,40,54,52,42,72,23,25,70,53,23,41,43,25,55,41,23,52,23,25,54,25,23,25,43,25,42,40,23,40,42,1.0
39,78,54,48,69,34,19,15,43,52,57,38,73,22,16,79,43,52,57,37,72,22,16,79,58,23,43,38,16,52,43,23,57,22,16,52,16,23,16,38,16,37,43,22,43,37,1.0
40,65,53,51,67,38,23,26,42,53,55,40,70,26,28,67,42,53,55,40,69,25,28,67,55,26,42,40,28,53,42,26,55,25,28,53,28,26,28,40,28,40,42,25,42,40,2.0
38,70,55,51,71,34,18,19,41,54,58,37,74,21,22,73,41,54,58,37,74,21,22,73,58,21,41,37,22,54,41,21,58,21,22,54,22,21,22,37,22,37,41,21,41,37,1.0
37,70,55,52,69,34,20,19,40,55,58,37,72,23,22,73,40,55,58,37,72,23,22,73,58,23,40,37,22,55,40,23,58,23,22,55,22,23,22,37,22,37,40,23,40,37,1.0
40,65,52,51,69,39,21,26,42,53,54,41,72,24,28,67,42,53,54,41,71,23,28,67,54,24,42,41,28,53,42,24,54,23,28,53,28,24,28,41,28,41,42,23,42,41,1.0
36,75,56,53,71,32,17,16,39,56,59,36,75,20,18,77,39,56,59,35,74,20,18,77,60,21,39,36,18,56,39,21,59,20,18,56,18,21,18,36,18,35,39,20,39,35,1.0
37,79,55,50,69,33,19,14,41,54,58,37,73,22,15,80,41,54,58,36,72,22,15,80,59,23,41,37,15,54,41,23,58,22,15,54,15,23,15,37,15,36,41,22,41,36,1.0
35,67,51,54,71,37,19,24,38,57,54,41,74,21,26,69,38,57,54,40,73,21,26,69,55,22,38,41,26,57,38,22,54,21,26,57,26,22,26,41,26,40,38,21,38,40,2.0
31,70,43,60,76,45,16,21,33,62,47,49,78,18,23,72,33,62,46,48,77,17,23,72,47,18,33,49,23,62,33,18,46,17,23,62,23,18,23,49,23,48,33,17,33,48,1.0
39,68,51,52,68,38,22,23,41,54,54,41,71,25,25,70,41,54,54,41,70,24,25,70,54,25,41,41,25,54,41,25,54,24,25,54,25,25,25,41,25,41,41,24,41,41,1.0
33,77,55,54,72,33,18,16,37,58,59,37,75,21,17,78,37,58,58,36,74,20,17,78,59,21,37,37,17,58,37,21,58,20,17,58,17,21,17,37,17,36,37,20,37,36,2.0
35,77,54,53,75,34,16,16,39,57,58,38,77,18,17,78,38,56,57,37,77,18,17,78,58,18,39,38,17,57,39,18,57,18,17,56,17,18,17,38,17,37,38,18,38,37,2.0
38,66,50,53,68,39,22,25,40,55,53,42,71,25,27,68,40,55,53,42,70,24,27,68,53,25,40,42,27,55,40,25,53,24,27,55,27,25,27,42,27,42,40,24,40,42,1.0
38,72,56,51,73,33,17,17,41,54,59,36,76,20,20,75,41,54,59,36,75,19,20,75,59,20,41,36,20,54,41,20,59,19,20,54,20,20,20,36,20,36,41,19,41,36,2.0
40,66,52,51,68,39,22,25,42,53,54,41,71,25,27,68,42,53,54,41,70,24,27,68,54,25,42,41,27,53,42,25,54,24,27,53,27,25,27,41,27,41,42,24,42,41,2.0
40,70,51,51,68,40,20,21,42,53,53,42,72,24,23,72,42,53,53,42,71,23,23,72,53,24,42,42,23,53,42,24,53,23,23,53,23,24,23,42,23,42,42,23,42,42,1.0
33,70,50,56,70,41,18,21,36,59,52,43,74,22,23,72,36,59,52,43,73,21,23,72,52,22,36,43,23,59,36,22,52,21,23,59,23,22,23,43,23,43,36,21,36,43,2.0
39,66,54,52,73,35,17,23,41,54,57,38,76,20,26,69,41,54,57,38,75,19,26,69,57,20,41,38,26,54,41,20,57,19,26,54,26,20,26,38,26,38,41,19,41,38,1.0
41,66,54,50,68,37,22,23,43,52,56,39,71,25,26,69,43,52,56,39,70,24,26,69,56,25,43,39,26,52,43,25,56,24,26,52,26,25,26,39,26,39,43,24,43,39,1.0
35,71,51,54,75,40,15,18,38,57,53,42,78,18,21,74,38,57,53,42,77,17,21,74,53,18,38,42,21,57,38,18,53,17,21,57,21,18,21,42,21,42,38,17,38,42,1.0
38,72,53,53,70,36,20,17,40,55,56,39,73,23,20,75,40,55,56,39,72,22,20,75,56,23,40,39,20,55,40,23,56,22,20,55,20,23,20,39,20,39,40,22,40,39,1.0
38,67,51,53,68,38,22,24,40,55,54,41,71,25,26,69,40,55,54,41,70,24,26,69,54,25,40,41,26,55,40,25,54,24,26,55,26,25,26,41,26,41,40,24,40,41,1.0
40,70,51,51,65,40,25,21,42,53,53,42,68,28,23,72,42,53,53,42,67,27,23,72,53,28,42,42,23,53,42,28,53,27,23,53,23,28,23,42,23,42,42,27,42,42,2.0
35,69,50,56,73,38,17,22,37,58,53,42,76,19,24,71,37,58,53,41,75,19,24,71,54,20,37,42,24,58,37,20,53,19,24,58,24,20,24,42,24,41,37,19,37,41,1.0
41,69,52,50,69,36,21,22,43,52,55,40,72,23,24,71,43,52,55,39,71,23,24,71,56,24,43,40,24,52,43,24,55,23,24,52,24,24,24,40,24,39,43,23,43,39,1.0
37,66,57,52,69,33,21,25,40,55,59,36,72,23,27,68,40,55,59,35,71,23,27,68,60,24,40,36,27,55,40,24,59,23,27,55,27,24,27,36,27,35,40,23,40,35,1.0
36,68,51,55,74,38,16,23,38,57,54,41,77,19,25,70,38,57,54,41,76,18,25,70,54,19,38,41,25,57,38,19,54,18,25,57,25,19,25,41,25,41,38,18,38,41,1.0
38,67,51,53,67,38,23,24,40,55,54,41,70,26,26,69,40,55,54,41,69,25,26,69,54,26,40,41,26,55,40,26,54,25,26,55,26,26,26,41,26,41,40,25,40,41,2.0
34,68,54,55,74,35,16,21,37,58,57,38,77,19,24,71,37,58,57,38,76,18,24,71,57,19,37,38,24,58,37,19,57,18,24,58,24,19,24,38,24,38,37,18,37,38,1.0
36,79,54,51,70,34,18,14,40,55,57,38,74,21,15,80,40,55,57,37,73,21,15,80,58,22,40,38,15,55,40,22,57,21,15,55,15,22,15,38,15,37,40,21,40,37,1.0
36,76,55,54,72,33,19,17,39,57,59,37,74,21,18,77,38,56,58,36,74,21,18,77,59,21,39,37,18,57,39,21,58,21,18,56,18,21,18,37,18,36,38,21,38,36,1.0
41,75,54,50,68,37,22,16,43,52,56,39,71,25,18,77,43,52,56,39,70,24,18,77,56,25,43,39,18,52,43,25,56,24,18,52,18,25,18,39,18,39,43,24,43,39,1.0
35,68,54,56,72,35,18,21,37,58,57,38,75,21,24,71,37,58,57,38,74,20,24,71,57,21,37,38,24,58,37,21,57,20,24,58,24,21,24,38,24,38,37,20,37,38,1.0
35,70,55,54,73,34,18,19,38,57,58,37,75,20,22,73,38,57,58,37,75,20,22,73,58,20,38,37,22,57,38,20,58,20,22,57,22,20,22,37,22,37,38,20,38,37,1.0
41,75,54,48,69,34,19,16,44,51,57,38,73,22,18,77,44,51,57,37,72,22,18,77,58,23,44,38,18,51,44,23,57,22,18,51,18,23,18,38,18,37,44,22,44,37,1.0
39,73,50,52,69,39,21,16,41,54,53,42,72,24,19,76,41,54,53,42,71,23,19,76,53,24,41,42,19,54,41,24,53,23,19,54,19,24,19,42,19,42,41,23,41,42,2.0
38,68,53,50,70,36,21,23,42,54,56,39,72,23,25,70,41,53,56,39,72,23,25,70,56,23,42,39,25,54,42,23,56,23,25,53,25,23,25,39,25,39,41,23,41,39,1.0
30,75,55,60,74,33,15,18,33,63,59,37,77,18,19,76,32,62,58,36,77,18,19,76,59,18,33,37,19,63,33,18,58,18,19,62,19,18,19,37,19,36,32,18,32,36,2.0
41,70,57,46,70,34,20,19,45,50,59,36,73,23,22,73,45,50,59,36,72,22,22,73,59,23,45,36,22,50,45,23,59,22,22,50,22,23,22,36,22,36,45,22,45,36,1.0
35,73,54,53,72,35,19,18,39,57,57,38,74,21,20,75,38,56,57,38,74,21,20,75,57,21,39,38,20,57,39,21,57,21,20,56,20,21,20,38,20,38,38,21,38,38,1.0
34,70,54,57,71,35,19,21,36,59,57,38,74,22,23,72,36,59,57,38,73,21,23,72,57,22,36,38,23,59,36,22,57,21,23,59,23,22,23,38,23,38,36,21,36,38,1.0
36,70,53,55,71,35,19,21,38,57,56,39,74,21,23,72,38,57,56,38,73,21,23,72,57,22,38,39,23,57,38,22,56,21,23,57,23,22,23,39,23,38,38,21,38,38,2.0
38,67,51,53,69,38,21,24,40,55,54,41,72,24,26,69,40,55,54,41,71,23,26,69,54,24,40,41,26,55,40,24,54,23,26,55,26,24,26,41,26,41,40,23,40,41,1.0
35,75,50,54,73,37,15,18,38,57,54,41,77,19,19,76,38,57,54,41,76,18,19,76,54,19,38,41,19,57,38,19,54,18,19,57,19,19,19,41,19,41,38,18,38,41,2.0
40,71,56,49,70,33,21,18,43,52,59,36,72,23,21,74,43,52,59,36,72,23,21,74,59,23,43,36,21,52,43,23,59,23,21,52,21,23,21,36,21,36,43,23,43,36,1.0
34,75,52,55,70,35,16,18,37,58,56,39,75,21,19,76,37,58,56,39,74,20,19,76,56,21,37,39,19,58,37,21,56,20,19,58,19,21,19,39,19,39,37,20,37,39,2.0
42,77,54,47,68,34,20,14,45,50,57,38,72,23,16,79,45,50,57,37,71,23,16,79,58,24,45,38,16,50,45,24,57,23,16,50,16,24,16,38,16,37,45,23,45,37,1.0
38,67,51,51,65,40,23,22,41,54,53,42,69,27,25,70,41,54,53,42,68,26,25,70,53,27,41,42,25,54,41,27,53,26,25,54,25,27,25,42,25,42,41,26,41,42,2.0
41,66,52,47,70,38,21,23,43,51,55,39,72,23,26,69,44,50,54,40,72,23,26,69,55,23,45,41,26,51,45,23,54,23,26,50,26,23,26,41,26,40,44,23,44,40,1.0
40,68,51,51,69,39,21,23,42,53,53,42,72,23,25,70,42,53,53,41,71,23,25,70,54,24,42,42,25,53,42,24,53,23,25,53,25,24,25,42,25,41,42,23,42,41,2.0
34,76,50,53,71,36,17,17,38,57,54,41,75,20,18,77,38,57,54,40,74,20,18,77,55,21,38,41,18,57,38,21,54,20,18,57,18,21,18,41,18,40,38,20,38,40,2.0
36,69,48,53,69,43,19,22,39,56,50,45,73,23,24,71,39,56,50,45,72,22,24,71,50,23,39,45,24,56,39,23,50,22,24,56,24,23,24,45,24,45,39,22,39,45,2.0
36,70,49,52,69,40,20,21,40,56,52,43,72,23,23,72,39,55,52,43,72,23,23,72,52,23,40,43,23,56,40,23,52,23,23,55,23,23,23,43,23,43,39,23,39,43,1.0
34,74,54,56,70,35,19,16,37,59,57,38,73,22,19,77,36,58,57,38,73,22,18,76,57,22,37,38,19,59,37,22,57,22,18,58,19,22,19,38,18,38,36,22,36,38,2.0
38,67,51,53,68,38,22,24,40,55,54,41,71,25,26,69,40,55,54,41,70,24,26,69,54,25,40,41,26,55,40,25,54,24,26,55,26,25,26,41,26,41,40,24,40,41,2.0
39,78,54,50,70,35,18,15,42,53,57,38,74,22,16,79,42,53,57,38,73,21,16,79,57,22,42,38,16,53,42,22,57,21,16,53,16,22,16,38,16,38,42,21,42,38,2.0
38,66,54,53,68,37,22,25,40,55,56,39,71,25,27,68,40,55,56,39,70,24,27,68,56,25,40,39,27,55,40,25,56,24,27,55,27,25,27,39,27,39,40,24,40,39,2.0
30,76,55,61,72,34,18,17,32,63,58,37,75,21,18,77,32,63,58,37,74,20,18,77,58,21,32,37,18,63,32,21,58,20,18,63,18,21,18,37,18,37,32,20,32,37,1.0
33,72,41,58,71,47,15,19,35,60,45,51,76,20,21,74,35,60,44,50,75,19,21,74,45,20,35,51,21,60,35,20,44,19,21,60,21,20,21,51,21,50,35,19,35,50,1.0
32,70,47,57,78,42,12,21,35,60,50,45,81,15,23,72,35,60,50,45,80,14,23,72,50,15,35,45,23,60,35,15,50,14,23,60,23,15,23,45,23,45,35,14,35,45,2.0
41,66,53,50,68,38,22,25,43,52,55,40,71,25,27,68,43,52,55,40,70,24,27,68,55,25,43,40,27,52,43,25,55,24,27,52,27,25,27,40,27,40,43,24,43,40,1.0
40,65,51,51,67,40,23,26,42,53,53,42,70,26,28,67,42,53,53,42,69,25,28,67,53,26,42,42,28,53,42,26,53,25,28,53,28,26,28,42,28,42,42,25,42,42,2.0
37,71,53,54,72,36,18,18,39,56,56,39,75,21,21,74,39,56,56,39,74,20,21,74,56,21,39,39,21,56,39,21,56,20,21,56,21,21,21,39,21,39,39,20,39,39,1.0
36,74,51,53,74,37,16,15,39,56,55,41,77,19,18,77,39,56,54,40,76,18,18,77,55,19,39,41,18,56,39,19,54,18,18,56,18,19,18,41,18,40,39,18,39,40,1.0
31,70,44,60,67,44,21,21,33,62,48,48,71,25,23,72,33,62,47,47,70,24,23,72,48,25,33,48,23,62,33,25,47,24,23,62,23,25,23,48,23,47,33,24,33,47,2.0
30,75,54,61,71,34,19,18,32,63,58,38,74,22,19,76,32,63,57,37,73,21,19,76,58,22,32,38,19,63,32,22,57,21,19,63,19,22,19,38,19,37,32,21,32,37,1.0
34,70,52,57,74,36,16,21,36,59,55,40,77,18,23,72,36,59,55,39,76,18,23,72,56,19,36,40,23,59,36,19,55,18,23,59,23,19,23,40,23,39,36,18,36,39,1.0
38,77,55,52,69,34,20,15,41,55,58,37,72,23,17,79,40,54,58,37,72,23,16,78,58,23,41,37,17,55,41,23,58,23,16,54,17,23,17,37,16,37,40,23,40,37,2.0
37,70,52,54,70,36,18,21,39,56,55,40,74,21,23,72,39,56,55,39,73,21,23,72,56,22,39,40,23,56,39,22,55,21,23,56,23,22,23,40,23,39,39,21,39,39,2.0
38,66,50,53,69,41,21,25,40,55,52,43,72,24,27,68,40,55,52,43,71,23,27,68,52,24,40,43,27,55,40,24,52,23,27,55,27,24,27,43,27,43,40,23,40,43,2.0
41,64,50,49,71,40,20,27,42,52,53,41,73,22,29,66,43,51,52,42,73,22,29,66,53,22,44,43,29,52,44,22,52,22,29,51,29,22,29,43,29,42,43,22,43,42,1.0
38,67,53,53,68,36,22,24,40,55,56,39,71,25,26,69,40,55,56,39,70,24,26,69,56,25,40,39,26,55,40,25,56,24,26,55,26,25,26,39,26,39,40,24,40,39,2.0
29,75,49,62,73,37,18,18,31,64,54,42,75,20,19,76,31,64,53,41,75,20,19,76,54,20,31,42,19,64,31,20,53,20,19,64,19,20,19,42,19,41,31,20,31,41,1.0
36,71,48,53,63,41,25,20,39,56,51,44,67,29,22,73,39,56,51,44,66,28,22,73,51,29,39,44,22,56,39,29,51,28,22,56,22,29,22,44,22,44,39,28,39,44,2.0
40,67,52,51,67,39,23,24,42,53,54,41,70,26,26,69,42,53,54,41,69,25,26,69,54,26,42,41,26,53,42,26,54,25,26,53,26,26,26,41,26,41,42,25,42,41,2.0
37,69,50,52,69,39,20,20,40,55,53,42,72,23,23,72,40,55,53,42,72,23,23,72,53,23,40,42,23,55,40,23,53,23,23,55,23,23,23,42,23,42,40,23,40,42,2.0
38,78,55,49,68,33,20,15,42,53,58,37,72,23,16,79,42,53,58,36,71,23,16,79,59,24,42,37,16,53,42,24,58,23,16,53,16,24,16,37,16,36,42,23,42,36,1.0
36,77,47,53,69,42,17,14,39,56,50,45,74,22,16,79,39,56,50,45,73,21,16,79,50,22,39,45,16,56,39,22,50,21,16,56,16,22,16,45,16,45,39,21,39,45,1.0
41,68,53,50,69,38,21,23,43,52,55,40,72,24,25,70,43,52,55,40,71,23,25,70,55,24,43,40,25,52,43,24,55,23,25,52,25,24,25,40,25,40,43,23,43,40,2.0
32,76,55,55,73,33,17,15,36,59,59,37,76,20,17,78,36,59,58,36,75,19,17,78,59,20,36,37,17,59,36,20,58,19,17,59,17,20,17,37,17,36,36,19,36,36,1.0
37,66,49,54,69,42,21,25,39,56,51,44,72,24,27,68,39,56,51,44,71,23,27,68,51,24,39,44,27,56,39,24,51,23,27,56,27,24,27,44,27,44,39,23,39,44,2.0
35,78,55,52,71,33,19,15,39,56,59,37,74,22,16,79,39,56,58,36,73,21,16,79,59,22,39,37,16,56,39,22,58,21,16,56,16,22,16,37,16,36,39,21,39,36,2.0
38,79,55,49,69,33,19,14,42,53,58,37,73,22,15,80,42,53,58,36,72,22,15,80,59,23,42,37,15,53,42,23,58,22,15,53,15,23,15,37,15,36,42,22,42,36,1.0
33,76,54,57,71,34,18,17,36,60,58,38,74,21,18,77,35,59,57,37,74,21,18,77,58,21,36,38,18,60,36,21,57,21,18,59,18,21,18,38,18,37,35,21,35,37,2.0
37,70,47,52,67,42,21,21,40,55,50,45,71,25,23,72,40,55,50,45,70,24,23,72,50,25,40,45,23,55,40,25,50,24,23,55,23,25,23,45,23,45,40,24,40,45,2.0
32,70,44,57,69,43,19,19,35,60,48,47,73,23,22,73,35,60,48,47,72,22,22,73,48,23,35,47,22,60,35,23,48,22,22,60,22,23,22,47,22,47,35,22,35,47,2.0
32,74,45,57,74,41,16,17,35,60,50,46,77,19,19,76,35,60,49,45,76,18,19,76,50,19,35,46,19,60,35,19,49,18,19,60,19,19,19,46,19,45,35,18,35,45,2.0
37,67,50,52,68,39,20,22,40,55,53,42,72,24,25,70,40,55,53,42,71,23,25,70,53,24,40,42,25,55,40,24,53,23,25,55,25,24,25,42,25,42,40,23,40,42,2.0
36,72,55,53,71,34,18,17,39,56,58,37,74,21,20,75,39,56,58,37,74,21,20,75,58,21,39,37,20,56,39,21,58,21,20,56,20,21,20,37,20,37,39,21,39,37,1.0
39,66,52,52,68,39,22,25,41,54,54,41,71,25,27,68,41,54,54,41,70,24,27,68,54,25,41,41,27,54,41,25,54,24,27,54,27,25,27,41,27,41,41,24,41,41,1.0
39,64,52,52,68,39,22,27,41,54,54,41,71,25,29,66,41,54,54,41,70,24,29,66,54,25,41,41,29,54,41,25,54,24,29,54,29,25,29,41,29,41,41,24,41,41,1.0
28,71,41,63,73,47,15,20,30,65,45,51,77,19,22,73,30,65,44,50,76,18,22,73,45,19,30,51,22,65,30,19,44,18,22,65,22,19,22,51,22,50,30,18,30,50,1.0
38,66,51,53,73,38,17,21,40,55,54,41,76,20,25,70,40,55,54,41,75,19,25,70,54,20,40,41,25,55,40,20,54,19,25,55,25,20,25,41,25,41,40,19,40,41,1.0
42,77,54,47,69,34,19,14,45,50,57,38,73,22,16,79,45,50,57,37,72,22,16,79,58,23,45,38,16,50,45,23,57,22,16,50,16,23,16,38,16,37,45,22,45,37,1.0
36,74,54,54,72,35,19,16,39,57,57,38,74,21,19,77,38,56,57,38,74,21,18,76,57,21,39,38,19,57,39,21,57,21,18,56,19,21,19,38,18,38,38,21,38,38,2.0
36,76,55,53,69,34,19,17,39,56,58,37,73,23,18,77,39,56,58,37,72,22,18,77,58,23,39,37,18,56,39,23,58,22,18,56,18,23,18,37,18,37,39,22,39,37,2.0
30,71,54,60,73,34,18,20,32,63,58,37,75,20,22,73,32,62,57,37,75,20,22,73,58,20,33,38,22,63,33,20,57,20,22,62,22,20,22,38,22,37,32,20,32,37,2.0
37,70,48,52,73,43,17,21,40,55,50,45,76,20,23,72,40,55,50,45,75,19,23,72,50,20,40,45,23,55,40,20,50,19,23,55,23,20,23,45,23,45,40,19,40,45,1.0
34,74,47,55,70,42,16,17,37,58,50,45,75,21,19,76,37,58,50,45,74,20,19,76,50,21,37,45,19,58,37,21,50,20,19,58,19,21,19,45,19,45,37,20,37,45,1.0
36,68,52,55,73,36,17,21,38,57,55,40,76,19,24,71,38,57,55,39,75,19,24,71,56,20,38,40,24,57,38,20,55,19,24,57,24,20,24,40,24,39,38,19,38,39,2.0
40,69,52,51,71,39,19,22,42,53,54,41,74,22,24,71,42,53,54,41,73,21,24,71,54,22,42,41,24,53,42,22,54,21,24,53,24,22,24,41,24,41,42,21,42,41,2.0
33,70,52,56,72,36,18,21,36,59,55,40,75,20,23,72,36,59,55,39,74,20,23,72,56,21,36,40,23,59,36,21,55,20,23,59,23,21,23,40,23,39,36,20,36,39,2.0
38,67,53,53,69,37,21,24,40,55,55,40,72,23,26,69,40,55,55,39,71,23,26,69,56,24,40,40,26,55,40,24,55,23,26,55,26,24,26,40,26,39,40,23,40,39,2.0
38,67,54,53,68,37,22,24,40,55,56,39,71,25,26,69,40,55,56,39,70,24,26,69,56,25,40,39,26,55,40,25,56,24,26,55,26,25,26,39,26,39,40,24,40,39,2.0
31,71,48,60,73,39,15,18,33,62,52,43,77,19,21,74,33,62,52,43,76,18,21,74,52,19,33,43,21,62,33,19,52,18,21,62,21,19,21,43,21,43,33,18,33,43,1.0
38,79,55,49,69,33,19,14,42,53,58,37,73,22,15,80,42,53,58,36,72,22,15,80,59,23,42,37,15,53,42,23,58,22,15,53,15,23,15,37,15,36,42,22,42,36,2.0
32,77,55,58,72,34,17,15,35,61,58,37,75,20,17,79,34,60,58,37,75,20,16,78,58,20,35,37,17,61,35,20,58,20,16,60,17,20,17,37,16,37,34,20,34,37,2.0
28,71,42,63,75,46,15,20,30,65,46,50,78,18,22,73,30,65,45,49,77,17,22,73,46,18,30,50,22,65,30,18,45,17,22,65,22,18,22,50,22,49,30,17,30,49,1.0
35,74,50,54,74,36,16,15,38,57,55,41,77,19,18,77,38,57,54,40,76,18,18,77,55,19,38,41,18,57,38,19,54,18,18,57,18,19,18,41,18,40,38,18,38,40,1.0
32,74,53,54,73,35,18,19,37,59,57,39,75,20,20,75,36,58,56,38,75,20,20,75,57,20,37,39,20,59,37,20,56,20,20,58,20,20,20,39,20,38,36,20,36,38,1.0
36,70,50,53,64,39,26,21,39,56,53,42,67,29,23,72,39,56,53,42,66,28,23,72,53,29,39,42,23,56,39,29,53,28,23,56,23,29,23,42,23,42,39,28,39,42,2.0
32,75,56,58,72,32,19,18,35,61,60,36,74,21,19,76,34,60,59,35,74,21,19,76,60,21,35,36,19,61,35,21,59,21,19,60,19,21,19,36,19,35,34,21,34,35,2.0
35,69,49,54,67,39,21,22,38,57,53,43,71,25,24,71,38,57,52,42,70,24,24,71,53,25,38,43,24,57,38,25,52,24,24,57,24,25,24,43,24,42,38,24,38,42,2.0
41,64,52,50,67,39,23,25,43,52,54,41,70,26,28,67,43,52,54,41,69,25,28,67,54,26,43,41,28,52,43,26,54,25,28,52,28,26,28,41,28,41,43,25,43,41,2.0
39,66,53,52,67,38,23,25,41,54,55,40,70,26,27,68,41,54,55,40,69,25,27,68,55,26,41,40,27,54,41,26,55,25,27,54,27,26,27,40,27,40,41,25,41,40,2.0
33,71,52,56,73,36,17,20,36,59,55,40,76,19,22,73,36,59,55,39,75,19,22,73,56,20,36,40,22,59,36,20,55,19,22,59,22,20,22,40,22,39,36,19,36,39,1.0
29,76,53,61,71,35,19,17,31,64,57,38,74,22,18,77,31,63,56,38,73,21,18,77,57,22,32,39,18,64,32,22,56,21,18,63,18,22,18,39,18,38,31,21,31,38,1.0
