@relation 'Sax dominant'

@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atLccc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMbca numeric
@attribute o1atLbca numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute destClass {1,-1}

@data
50,50,41,51,40,27,51,32,50,42,51,31,63,28,62,29,52,31,51,41,58,39,53,30,60,30,60,29,50,32,58,30,52,29,51,31,51,39,50,42,51,30,62,27,51,30,52,29,1
38,41,53,40,52,22,39,24,39,54,41,24,72,23,70,22,40,22,39,53,70,51,41,23,70,22,71,24,41,23,70,23,40,22,39,22,40,51,38,54,40,22,71,22,40,23,40,24,-1
0,1,94,0,93,0,0,4,0,94,1,4,91,1,90,1,0,3,0,93,86,93,1,1,88,3,89,4,1,3,87,3,0,1,0,3,0,93,0,94,0,3,91,0,0,3,0,4,1
33,35,54,36,54,43,36,48,35,57,38,47,47,45,46,45,37,47,35,56,42,52,38,45,44,46,45,45,35,47,42,47,37,45,35,47,37,52,33,56,37,46,47,43,36,47,38,45,1
34,35,53,36,53,48,37,53,35,56,38,51,42,49,41,50,38,52,36,55,37,51,39,50,39,50,40,49,35,52,37,51,38,50,36,52,37,51,34,55,37,50,42,48,36,51,39,49,1
41,44,46,43,46,38,44,41,43,49,46,40,54,39,53,38,44,39,42,48,51,44,46,39,52,38,53,39,44,39,51,39,45,39,43,40,44,44,41,48,45,38,54,38,43,40,45,39,-1
24,27,63,27,63,9,27,12,26,66,29,11,83,10,82,10,28,11,26,65,80,61,29,10,81,10,82,10,27,11,80,11,28,10,26,11,28,61,24,65,28,10,83,9,27,11,29,10,1
0,1,94,0,93,0,0,4,0,94,1,4,91,1,90,1,0,3,0,93,86,93,1,1,88,3,89,4,1,3,87,3,0,1,0,3,0,93,0,94,0,3,91,0,0,3,0,4,1
33,35,54,33,54,50,36,55,35,57,38,54,40,52,39,50,35,52,33,56,35,52,38,52,37,50,38,52,35,52,35,52,37,52,35,54,35,52,33,56,37,50,40,50,33,54,36,52,1
40,42,47,43,47,38,43,42,42,50,45,41,53,39,52,39,44,41,42,49,48,45,45,39,50,40,51,39,42,41,49,41,44,39,42,41,44,45,40,49,44,40,53,38,43,41,45,39,-1
53,54,35,53,34,31,55,36,54,37,56,35,59,32,58,31,55,33,53,36,54,32,58,34,56,31,56,32,54,34,54,32,57,33,55,35,54,32,53,37,56,31,58,31,53,34,55,32,1
34,35,53,34,53,50,37,55,35,56,38,53,40,51,39,50,36,52,34,55,35,51,39,52,37,50,38,51,35,52,35,51,38,52,36,54,35,51,34,55,37,50,40,50,34,53,37,51,1
26,29,61,29,61,9,29,12,28,64,31,11,83,10,82,10,30,11,28,63,80,59,31,10,81,10,82,10,29,11,80,11,30,10,28,11,30,59,26,63,30,10,83,9,29,11,31,10,1
32,34,55,35,55,25,35,30,33,58,36,28,65,26,64,27,36,29,34,57,60,53,37,27,62,28,63,27,34,29,60,28,36,27,34,29,35,53,32,57,35,28,65,25,35,28,37,27,1
34,35,53,36,53,48,37,53,35,56,38,51,42,49,41,50,38,52,36,55,37,51,39,50,39,50,40,49,35,52,37,51,38,50,36,52,37,51,34,55,37,50,42,48,36,51,39,49,1
35,38,52,38,52,33,38,38,37,55,40,37,57,35,56,35,39,37,37,54,52,50,40,35,54,36,55,36,38,37,52,37,39,35,37,37,39,50,35,54,39,36,57,33,38,37,40,36,1
45,46,46,46,45,36,46,41,46,47,47,41,54,38,53,38,47,40,46,46,49,44,48,39,51,39,51,39,46,41,49,40,47,38,46,40,47,44,45,47,47,39,53,36,46,40,47,39,1
35,37,52,36,52,47,38,52,37,55,40,51,43,49,42,48,38,50,36,54,38,50,40,49,40,48,41,49,37,50,38,50,39,49,37,51,38,50,35,54,39,48,43,47,36,51,39,49,1
47,49,41,47,40,36,49,41,49,43,51,41,54,38,53,36,49,38,47,42,49,38,52,39,51,36,51,38,49,39,49,38,51,38,49,40,49,38,47,43,51,36,53,36,47,40,49,38,1
36,39,51,39,51,33,39,38,38,54,41,37,57,35,56,35,40,37,38,53,52,49,41,35,54,36,55,36,39,37,52,37,40,35,38,37,40,49,36,53,40,36,57,33,39,37,41,36,1
40,42,47,43,47,38,43,42,42,50,45,41,53,39,52,39,44,41,42,49,48,45,45,39,50,40,51,39,42,41,49,41,44,39,42,41,44,45,40,49,44,40,53,38,43,41,45,39,-1
44,44,47,45,46,36,45,41,44,48,45,40,54,37,53,38,46,40,45,47,49,45,47,39,51,39,51,38,44,41,49,39,46,38,45,40,45,45,44,48,45,39,53,36,45,39,46,38,1
0,1,94,0,93,0,0,4,0,94,1,4,91,1,90,1,0,3,0,93,86,93,1,1,88,3,89,4,1,3,87,3,0,1,0,3,0,93,0,94,0,3,91,0,0,3,0,4,1
42,43,49,43,48,35,43,40,43,50,44,40,55,37,54,37,44,39,43,49,50,47,45,38,52,38,52,38,43,40,50,39,44,37,43,39,44,47,42,50,44,38,54,35,43,39,44,38,1
49,50,39,50,38,34,51,39,50,41,52,38,56,35,55,35,52,37,50,40,51,36,54,37,53,35,53,35,50,38,51,36,53,36,51,38,51,36,49,41,52,35,55,34,50,37,52,35,1
35,35,52,37,52,48,38,53,35,55,38,50,42,48,41,50,39,52,37,54,37,50,40,50,39,50,40,48,35,52,37,50,39,50,37,52,37,50,35,54,37,50,42,48,37,50,40,48,1
41,42,50,42,49,34,42,40,42,51,43,40,54,36,54,37,43,40,42,50,49,48,44,37,51,39,51,38,42,40,49,39,43,37,42,40,43,48,41,51,43,39,54,35,42,39,43,38,1
33,34,54,34,54,50,36,55,34,57,37,53,40,51,39,51,36,53,34,56,35,52,38,52,37,51,38,51,34,53,35,52,37,52,35,54,35,52,33,56,36,51,40,50,34,53,37,51,1
30,33,57,33,57,17,33,22,32,60,35,21,73,19,72,19,34,21,32,59,68,55,35,19,70,20,71,20,33,21,68,21,34,19,32,21,34,55,30,59,34,20,73,17,33,21,35,20,1
25,28,62,27,62,10,28,13,27,65,30,12,82,11,81,10,28,11,26,64,79,60,30,11,80,10,81,11,28,11,79,11,29,11,27,12,28,60,25,64,29,10,82,10,27,12,29,11,1
34,37,53,36,53,31,37,36,36,56,39,35,59,33,58,32,37,34,35,55,54,51,39,33,56,33,57,34,37,34,54,34,38,33,36,35,37,51,34,55,38,33,59,31,36,35,38,34,1
34,35,53,35,53,49,37,54,35,56,38,52,41,50,40,50,37,52,35,55,36,51,39,51,38,50,39,50,35,52,36,51,38,51,36,53,36,51,34,55,37,50,41,49,35,52,38,50,1
33,34,54,34,54,50,36,55,34,57,37,53,40,51,39,51,36,53,34,56,35,52,38,52,37,51,38,51,34,53,35,52,37,52,35,54,35,52,33,56,36,51,40,50,34,53,37,51,1
45,45,46,45,45,38,46,43,45,47,46,42,52,39,51,39,46,41,45,46,47,44,48,41,49,40,49,40,45,42,47,40,47,40,46,42,45,44,45,47,46,40,51,38,45,41,46,40,1
46,47,45,47,44,36,47,41,47,46,48,41,54,38,53,38,48,40,47,45,49,43,49,39,51,39,51,39,47,41,49,40,48,38,47,40,48,43,46,46,48,39,53,36,47,40,48,39,1
33,35,54,35,54,26,36,31,34,57,37,29,64,27,63,27,36,29,34,56,59,52,38,28,61,28,62,28,35,29,59,28,37,28,35,30,35,52,33,56,36,28,64,26,35,29,37,28,1
33,34,54,34,54,50,36,55,34,57,37,53,40,51,39,51,36,53,34,56,35,52,38,52,37,51,38,51,34,53,35,52,37,52,35,54,35,52,33,56,36,51,40,50,34,53,37,51,1
47,48,44,49,43,29,48,34,48,45,49,34,61,31,60,31,49,33,48,44,56,42,50,32,58,33,58,32,48,34,56,33,49,31,48,33,49,42,47,45,49,33,60,29,49,33,49,32,1
44,46,45,45,44,33,45,38,45,47,47,38,57,35,56,34,46,36,45,46,52,42,48,36,54,34,54,36,46,37,52,36,47,35,45,37,46,43,44,47,47,35,56,33,45,37,46,36,1
47,48,44,48,43,30,48,35,48,45,49,35,60,32,59,32,49,34,48,44,55,42,50,33,57,33,57,33,48,35,55,34,49,32,48,34,49,42,47,45,49,33,59,30,48,34,49,33,1
26,28,61,28,61,10,29,13,27,64,30,11,82,10,81,10,29,11,27,63,79,59,31,11,80,10,81,10,28,11,79,10,30,11,28,12,28,59,26,63,29,10,82,10,28,11,30,10,1
32,35,55,34,55,28,35,33,34,58,37,32,62,30,61,29,35,31,33,57,57,53,37,30,59,30,60,31,35,31,57,31,36,30,34,32,35,53,32,57,36,30,62,28,34,32,36,31,1
48,53,40,49,39,0,50,6,50,42,53,6,89,2,88,2,51,4,49,41,82,37,53,2,85,3,86,6,53,4,83,4,52,2,50,5,51,37,48,42,52,3,89,0,50,5,51,6,1
22,25,65,24,65,12,25,15,24,68,27,14,80,13,79,12,25,13,23,67,77,63,27,13,78,12,79,13,25,13,77,13,26,13,24,14,25,63,22,67,26,12,80,12,24,14,26,13,1
0,5,88,3,87,0,2,3,2,90,5,3,92,0,91,0,4,2,2,89,87,86,5,0,89,1,90,3,5,2,89,2,4,0,2,2,4,86,1,90,4,1,92,0,3,2,4,3,1
43,44,48,43,47,36,44,41,44,49,45,41,54,38,53,37,44,39,43,48,49,46,46,39,51,38,51,39,44,40,49,39,45,38,44,40,44,46,43,49,45,38,53,36,43,40,44,39,1
48,50,40,49,39,34,50,39,50,42,52,39,56,36,55,35,51,37,49,41,51,37,53,37,53,35,53,36,50,38,51,37,52,36,50,38,51,37,48,42,52,35,55,34,49,38,51,36,1
22,25,65,24,65,12,25,15,24,68,27,14,80,13,79,12,25,13,23,67,77,63,27,13,78,12,79,13,25,13,77,13,26,13,24,14,25,63,22,67,26,12,80,12,24,14,26,13,1
31,34,56,33,56,25,34,30,33,59,36,29,65,27,64,26,34,28,32,58,60,54,36,27,62,27,63,28,34,28,60,28,35,27,33,29,34,54,31,58,35,27,65,25,33,29,35,28,1
44,45,47,45,46,38,45,43,45,48,46,43,52,40,51,40,46,42,45,47,47,45,47,41,49,41,49,41,45,43,47,42,46,40,45,42,46,45,44,48,46,41,51,38,45,42,46,41,1
27,30,60,29,60,10,30,13,29,63,32,12,82,11,81,10,30,11,28,62,79,58,32,11,80,10,81,11,30,11,79,11,31,11,29,12,30,58,27,62,31,10,82,10,29,12,31,11,1
35,37,52,38,52,40,38,45,36,55,39,43,50,41,49,42,39,44,37,54,45,50,40,42,47,43,48,42,37,44,45,43,39,42,37,44,38,50,35,54,38,43,50,40,38,43,40,42,1
40,41,47,41,47,43,43,48,41,50,44,46,47,44,46,44,43,46,41,49,42,45,45,45,44,44,45,44,41,46,42,45,44,45,42,47,42,45,40,49,43,44,47,43,41,46,44,44,-1
43,44,48,44,47,36,44,41,44,49,45,41,54,38,53,38,45,40,44,48,49,46,46,39,51,39,51,39,44,41,49,40,45,38,44,40,45,46,43,49,45,39,53,36,44,40,45,39,1
0,1,94,0,93,0,0,3,0,94,1,3,92,1,91,1,0,2,0,93,89,93,1,1,90,2,91,3,1,2,89,2,0,1,0,2,0,93,0,94,0,2,92,0,0,2,0,3,1
28,29,59,30,59,54,31,59,29,62,32,57,36,55,35,56,32,58,30,61,31,57,33,56,33,56,34,55,29,58,31,57,32,56,30,58,31,57,28,61,31,56,36,54,30,57,33,55,1
0,1,94,0,93,0,0,3,0,94,1,3,92,0,91,0,0,2,0,93,87,93,1,0,89,2,90,3,1,2,89,2,0,0,0,2,0,93,0,94,0,2,92,0,0,2,0,3,1
20,23,67,23,67,11,23,14,22,70,25,13,81,12,80,12,24,13,22,69,78,65,25,12,79,12,80,12,23,13,78,13,24,12,22,13,24,65,20,69,24,12,81,11,23,13,25,12,1
31,33,56,34,56,45,34,49,33,59,36,48,46,46,45,46,35,48,33,58,41,54,36,46,43,47,44,46,33,48,42,48,35,46,33,48,35,54,31,58,35,47,46,45,34,48,36,46,1
37,38,50,39,50,45,40,50,38,53,41,48,45,46,44,47,41,49,39,52,40,48,42,47,42,47,43,46,38,49,40,48,41,47,39,49,40,48,37,52,40,47,45,45,39,48,42,46,1
26,29,61,29,61,9,29,12,28,64,31,11,83,10,82,10,30,11,28,63,80,59,31,10,81,10,82,10,29,11,80,11,30,10,28,11,30,59,26,63,30,10,83,9,29,11,31,10,1
25,28,62,27,62,12,28,15,27,65,30,14,80,13,79,12,28,13,26,64,77,60,30,13,78,12,79,13,28,13,77,13,29,13,27,14,28,60,25,64,29,12,80,12,27,14,29,13,1
41,42,47,41,46,43,43,48,42,49,44,47,47,44,46,43,43,45,41,48,42,44,46,46,44,43,44,44,42,46,42,44,45,45,43,47,42,44,41,49,44,43,46,43,41,46,43,44,-1
48,49,40,49,39,35,50,40,49,42,51,39,55,36,54,36,51,38,49,41,50,37,53,38,52,36,52,36,49,39,50,37,52,37,50,39,50,37,48,42,51,36,54,35,49,38,51,36,1
32,33,55,32,55,52,35,57,33,58,36,55,38,53,37,52,34,54,32,57,33,53,37,54,35,52,36,53,33,54,33,53,36,54,34,56,33,53,32,57,35,52,38,52,32,55,35,53,1
42,43,45,43,45,41,45,46,43,48,46,44,49,42,48,42,45,44,43,47,44,43,47,43,46,42,47,42,43,44,44,43,46,43,44,45,44,43,42,47,45,42,49,41,43,44,46,42,1
34,36,53,35,53,48,37,53,36,56,39,52,42,50,41,49,37,51,35,55,37,51,39,50,39,49,40,50,36,51,37,51,38,50,36,52,37,51,34,55,38,49,42,48,35,52,38,50,1
31,32,56,33,56,51,34,56,32,59,35,54,39,52,38,53,35,55,33,58,34,54,36,53,36,53,37,52,32,55,34,54,35,53,33,55,34,54,31,58,34,53,39,51,33,54,36,52,1
32,35,55,34,55,24,35,29,34,58,37,28,66,26,65,25,35,27,33,57,61,53,37,26,63,26,64,27,35,27,61,27,36,26,34,28,35,53,32,57,36,26,66,24,34,28,36,27,1
35,37,52,37,52,46,38,51,37,55,40,50,44,48,43,48,39,50,37,54,39,50,40,48,41,48,42,48,37,50,39,50,39,48,37,50,39,50,35,54,39,48,44,46,37,50,40,48,1
43,44,48,44,47,36,44,41,44,49,45,41,54,38,53,38,45,40,44,48,49,46,46,39,51,39,51,39,44,41,49,40,45,38,44,40,45,46,43,49,45,39,53,36,44,40,45,39,1
42,42,49,42,48,36,43,41,42,50,43,40,54,37,53,37,43,39,42,49,49,47,45,39,51,38,51,38,42,40,49,38,44,38,43,40,42,47,42,50,43,38,53,36,42,39,43,38,1
35,38,52,37,52,42,38,46,37,55,40,45,49,43,48,42,38,44,36,54,44,50,40,43,46,43,47,44,38,44,45,44,39,43,37,45,38,50,35,54,39,43,49,42,37,45,39,44,1
35,37,52,37,52,43,38,47,37,55,40,46,48,44,47,43,38,45,36,54,43,50,40,44,45,44,46,44,37,45,44,45,39,44,37,46,38,50,35,54,39,44,48,43,37,46,39,44,1
29,32,58,32,58,16,32,21,31,61,34,20,74,18,73,18,33,20,31,60,69,56,34,18,71,19,72,19,32,20,69,20,33,18,31,20,33,56,29,60,33,19,74,16,32,20,34,19,1
34,36,53,36,53,47,37,52,36,56,39,51,43,49,42,49,38,51,36,55,38,51,39,49,40,49,41,49,36,51,38,51,38,49,36,51,38,51,34,55,38,49,43,47,36,51,39,49,1
33,35,54,36,54,27,36,32,34,57,37,30,63,28,62,29,37,31,35,56,58,52,38,29,60,30,61,29,35,31,58,30,37,29,35,31,36,52,33,56,36,30,63,27,36,30,38,29,1
50,51,38,51,37,33,52,38,51,40,53,37,57,34,56,34,53,36,51,39,52,35,55,36,54,34,54,34,51,37,52,35,54,35,52,37,52,35,50,40,53,34,56,33,51,36,53,34,1
34,35,53,36,53,44,37,48,35,56,38,46,47,45,46,44,37,46,35,55,42,51,39,45,44,45,45,45,36,46,43,45,38,45,36,47,36,51,34,55,37,45,47,44,36,46,38,45,1
33,35,54,36,54,27,36,32,34,57,37,30,63,28,62,29,37,31,35,56,58,52,38,29,60,30,61,29,35,31,58,30,37,29,35,31,36,52,33,56,36,30,63,27,36,30,38,29,1
46,51,42,47,41,1,48,5,48,44,51,5,90,2,89,2,49,3,47,43,85,39,51,2,87,2,88,5,51,3,86,3,50,2,48,4,49,39,46,44,50,2,90,1,48,4,49,5,1
33,36,54,36,54,26,36,31,35,57,38,30,64,28,63,28,37,30,35,56,59,52,38,28,61,29,62,29,36,30,59,30,37,28,35,30,37,52,33,56,37,29,64,26,36,30,38,29,1
29,32,58,32,58,47,32,51,31,61,34,50,44,48,43,48,33,50,31,60,39,56,34,48,41,49,42,49,32,50,40,50,33,48,31,50,33,56,29,60,33,49,44,47,32,50,34,49,1
30,33,57,32,57,18,33,23,32,60,35,22,72,20,71,19,33,21,31,59,67,55,35,20,69,20,70,21,33,21,67,21,34,20,32,22,33,55,30,59,34,20,72,18,32,22,34,21,1
46,46,45,47,44,36,47,41,46,46,47,40,54,37,53,38,48,40,47,45,49,43,49,39,51,39,51,38,46,41,49,39,48,38,47,40,47,43,46,46,47,39,53,36,47,39,48,38,1
33,35,54,36,54,19,36,24,34,57,37,22,71,20,70,21,37,23,35,56,66,52,38,21,68,22,69,21,35,23,66,22,37,21,35,23,36,52,33,56,36,22,71,19,36,22,38,21,1
32,34,55,35,55,29,35,34,33,58,36,32,61,30,60,31,36,33,34,57,56,53,37,31,58,32,59,31,34,33,56,32,36,31,34,33,35,53,32,57,35,32,61,29,35,32,37,31,1
31,34,56,33,56,10,34,13,33,59,36,12,82,11,81,10,34,11,32,58,79,54,36,11,80,10,81,11,34,11,79,11,35,11,33,12,34,54,31,58,35,10,82,10,33,12,35,11,-1
22,27,66,23,65,0,24,3,24,68,27,3,92,0,91,0,25,1,23,67,87,63,27,0,89,0,90,3,27,1,89,1,26,0,24,2,25,63,22,68,26,0,92,0,24,2,25,3,-1
31,33,56,34,56,16,34,21,32,59,35,19,74,17,73,18,35,20,33,58,69,54,36,18,71,19,72,18,33,20,69,19,35,18,33,20,34,54,31,58,34,19,74,16,34,19,36,18,1
32,35,55,34,55,44,35,48,34,58,37,47,47,45,46,44,35,46,33,57,42,53,37,45,44,45,45,46,35,46,43,46,36,45,34,47,35,53,32,57,36,45,47,44,34,47,36,46,1
25,28,62,27,62,10,28,13,27,65,30,12,82,11,81,10,28,11,26,64,79,60,30,11,80,10,81,11,28,11,79,11,29,11,27,12,28,60,25,64,29,10,82,10,27,12,29,11,1
32,34,55,34,55,27,35,32,33,58,36,30,63,28,62,28,35,30,33,57,58,53,37,29,60,29,61,29,34,30,58,29,36,29,34,31,34,53,32,57,35,29,63,27,34,30,36,29,1
26,29,61,28,61,10,29,13,28,64,31,12,82,11,81,10,29,11,27,63,79,59,31,11,80,10,81,11,29,11,79,11,30,11,28,12,29,59,26,63,30,10,82,10,28,12,30,11,1
36,38,51,38,51,45,39,50,38,54,41,49,45,47,44,47,40,49,38,53,40,49,41,47,42,47,43,47,38,49,40,49,40,47,38,49,40,49,36,53,40,47,45,45,38,49,41,47,1
33,35,54,35,54,26,36,31,34,57,37,29,64,27,63,27,36,29,34,56,59,52,38,28,61,28,62,28,35,29,59,28,37,28,35,30,35,52,33,56,36,28,64,26,35,29,37,28,1
46,47,45,46,44,36,47,41,47,46,48,41,54,38,53,37,47,39,46,45,49,43,49,39,51,38,51,39,47,40,49,39,48,38,47,40,47,43,46,46,48,38,53,36,46,40,47,39,1
38,40,49,40,49,34,41,39,39,52,42,37,56,35,55,35,41,37,39,51,51,47,43,36,53,36,54,36,40,37,51,36,42,36,40,38,40,47,38,51,41,36,56,34,40,37,42,36,1
58,60,29,59,29,24,61,29,60,32,63,28,66,26,65,25,61,27,59,31,61,27,63,26,63,25,64,26,60,27,61,27,62,26,60,28,61,27,58,31,62,25,66,24,59,28,62,26,-1
39,44,43,44,42,29,43,34,42,47,46,33,61,30,60,30,46,32,42,46,56,38,48,32,58,30,58,30,44,33,56,31,47,31,43,33,45,38,39,47,46,30,60,29,44,32,46,30,1
33,35,54,36,54,44,36,48,35,57,38,47,47,45,46,45,37,47,35,56,42,52,38,45,44,46,45,45,35,47,43,47,37,45,35,47,37,52,33,56,37,46,47,44,36,47,38,45,1
42,42,46,44,45,41,44,46,42,48,44,44,49,41,48,43,46,45,44,47,44,43,47,44,46,43,46,41,42,46,44,43,46,43,44,45,44,43,42,48,44,43,48,41,44,43,46,41,1
44,46,43,47,43,34,47,38,46,46,49,37,57,35,56,35,48,37,46,45,52,41,49,35,54,36,55,35,46,37,53,37,48,35,46,37,48,41,44,45,48,36,57,34,47,37,49,35,-1
48,49,40,50,39,34,50,39,49,42,51,38,56,35,55,36,52,38,50,41,51,37,53,37,53,36,53,35,49,39,51,37,52,36,50,38,51,37,48,42,51,36,55,34,50,37,52,35,1
27,30,60,29,60,10,30,13,29,63,32,12,82,11,81,10,30,11,28,62,79,58,32,11,80,10,81,11,30,11,79,11,31,11,29,12,30,58,27,62,31,10,82,10,29,12,31,11,1
28,31,59,31,59,9,31,12,30,62,33,11,83,10,82,10,32,11,30,61,80,57,33,10,81,10,82,10,31,11,80,11,32,10,30,11,32,57,28,61,32,10,83,9,31,11,33,10,1
16,19,71,19,71,12,19,15,18,74,21,14,80,13,79,13,20,14,18,73,77,69,21,13,78,13,79,13,19,14,77,14,20,13,18,14,20,69,16,73,20,13,80,12,19,14,21,13,1
23,26,64,25,64,12,26,15,25,67,28,14,80,13,79,12,26,13,24,66,77,62,28,13,78,12,79,13,26,13,77,13,27,13,25,14,26,62,23,66,27,12,80,12,25,14,27,13,1
33,34,54,36,54,44,36,48,34,57,37,46,47,45,46,45,37,47,35,56,42,52,38,45,44,46,45,45,35,47,43,46,37,45,35,47,36,52,33,56,36,46,47,44,36,46,38,45,1
37,38,54,38,53,32,38,38,38,55,39,38,56,34,56,35,39,38,38,54,50,52,40,35,53,37,53,36,38,38,50,37,39,35,38,38,39,52,37,55,39,37,56,32,38,37,39,36,-1
38,41,49,40,49,33,41,38,40,52,43,37,57,35,56,34,41,36,39,51,52,47,43,35,54,35,55,36,41,36,52,36,42,35,40,37,41,47,38,51,42,35,57,33,40,37,42,36,1
30,32,57,32,57,47,33,51,32,60,35,50,44,48,43,47,33,49,31,59,39,55,35,48,41,48,42,48,32,49,40,49,34,48,32,50,33,55,30,59,34,48,44,47,32,50,34,48,1
46,48,42,47,41,36,48,41,48,44,50,41,54,38,53,37,49,39,47,43,49,39,51,39,51,37,51,38,48,40,49,39,50,38,48,40,49,39,46,44,50,37,53,36,47,40,49,38,1
26,29,61,29,61,10,29,13,28,64,31,12,82,11,81,11,30,12,28,63,79,59,31,11,80,11,81,11,29,12,79,12,30,11,28,12,30,59,26,63,30,11,82,10,29,12,31,11,1
26,29,61,28,61,10,29,13,28,64,31,12,82,11,81,10,29,11,27,63,79,59,31,11,80,10,81,11,29,11,79,11,30,11,28,12,29,59,26,63,30,10,82,10,28,12,30,11,1
37,38,50,39,50,35,40,40,38,53,41,38,55,36,54,36,40,38,38,52,50,48,42,37,52,37,53,36,38,38,50,37,41,37,39,39,39,48,37,52,40,37,55,35,39,38,41,36,1
28,31,59,30,59,12,31,17,30,62,33,16,78,14,77,13,31,15,29,61,73,57,33,14,75,14,76,15,31,15,73,15,32,14,30,16,31,57,28,61,32,14,78,12,30,16,32,15,1
19,22,68,22,68,12,22,15,21,71,24,14,80,13,79,13,23,14,21,70,77,66,24,13,78,13,79,13,22,14,77,14,23,13,21,14,23,66,19,70,23,13,80,12,22,14,24,13,1
41,42,46,42,46,42,44,47,42,49,45,45,48,43,47,43,44,45,42,48,43,44,46,44,45,43,46,43,42,45,43,44,45,44,43,46,43,44,41,48,44,43,48,42,42,45,45,43,-1
28,30,59,30,59,16,31,21,29,62,32,19,74,17,73,17,31,19,29,61,69,57,33,18,71,18,72,18,30,19,69,18,32,18,30,20,30,57,28,61,31,18,74,16,30,19,32,18,1
48,49,40,48,39,36,50,41,49,42,51,40,54,37,53,36,50,38,48,41,49,37,53,39,51,36,51,37,49,39,49,37,52,38,50,40,49,37,48,42,51,36,53,36,48,39,50,37,1
38,39,53,39,52,41,39,46,39,54,40,46,49,43,48,43,40,45,39,53,44,51,41,44,46,44,46,44,39,46,44,45,40,43,39,45,40,51,38,54,40,44,48,41,39,45,40,44,-1
0,1,94,0,93,0,0,3,0,94,1,3,92,0,91,0,0,2,0,93,87,93,1,0,89,2,90,3,1,2,89,2,0,0,0,2,0,93,0,94,0,2,92,0,0,2,0,3,1
45,45,46,46,45,33,46,38,45,47,46,37,57,34,56,35,47,37,46,46,52,44,48,36,54,36,54,35,45,38,52,36,47,35,46,37,46,44,45,47,46,36,56,33,46,36,47,35,1
44,45,44,44,43,35,46,41,45,46,47,40,53,36,53,36,46,39,44,45,47,41,49,38,50,37,50,37,45,39,47,37,48,38,46,41,45,41,44,46,47,37,53,35,44,39,46,37,1
41,42,47,41,46,43,43,48,42,49,44,47,47,44,46,43,43,45,41,48,42,44,46,46,44,43,44,44,42,46,42,44,45,45,43,47,42,44,41,49,44,43,46,43,41,46,43,44,1
34,37,53,36,53,7,37,10,36,56,39,9,85,8,84,7,37,8,35,55,82,51,39,8,83,7,84,8,37,8,82,8,38,8,36,9,37,51,34,55,38,7,85,7,36,9,38,8,-1
24,27,63,26,63,10,27,13,26,66,29,12,82,11,81,10,27,11,25,65,79,61,29,11,80,10,81,11,27,11,79,11,28,11,26,12,27,61,24,65,28,10,82,10,26,12,28,11,1
26,29,61,29,61,9,29,12,28,64,31,11,83,10,82,10,30,11,28,63,80,59,31,10,81,10,82,10,29,11,80,11,30,10,28,11,30,59,26,63,30,10,83,9,29,11,31,10,1
33,33,54,35,54,50,36,55,33,57,36,52,40,50,39,52,37,54,35,56,35,52,38,52,37,52,38,50,33,54,35,52,37,52,35,54,35,52,33,56,35,52,40,50,35,52,38,50,1
43,44,48,44,47,34,44,39,44,49,45,39,56,36,55,36,45,38,44,48,51,46,46,37,53,37,53,37,44,39,51,38,45,36,44,38,45,46,43,49,45,37,55,34,44,38,45,37,1
31,33,56,33,56,46,34,50,33,59,36,49,45,47,44,46,34,48,32,58,40,54,36,47,42,47,43,47,33,48,41,48,35,47,33,49,34,54,31,58,35,47,45,46,33,49,35,47,1
43,44,48,44,47,38,44,43,44,49,45,43,52,40,51,40,45,42,44,48,47,46,46,41,49,41,49,41,44,43,47,42,45,40,44,42,45,46,43,49,45,41,51,38,44,42,45,41,1
34,37,53,36,53,8,37,11,36,56,39,10,84,9,83,8,37,9,35,55,81,51,39,9,82,8,83,9,37,9,81,9,38,9,36,10,37,51,34,55,38,8,84,8,36,10,38,9,-1
34,36,53,37,53,42,37,46,36,56,39,45,49,43,48,43,38,45,36,55,44,51,39,43,46,44,47,43,36,45,45,45,38,43,36,45,38,51,34,55,38,44,49,42,37,45,39,43,1
