@relation 'Sax dominant'

@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMaaa numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atLeee numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMdda numeric
@attribute o1atLdda numeric
@attribute o1atMdab numeric
@attribute o1atLdab numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMdaa numeric
@attribute o1atLdaa numeric
@attribute o1atMaad numeric
@attribute o1atLaad numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbad numeric
@attribute o1atLbad numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMced numeric
@attribute o1atLced numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMbdb numeric
@attribute o1atLbdb numeric
@attribute o1atMedb numeric
@attribute o1atLedb numeric
@attribute o1atMcbd numeric
@attribute o1atLcbd numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMdbd numeric
@attribute o1atLdbd numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMcac numeric
@attribute o1atLcac numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMabe numeric
@attribute o1atLabe numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMeea numeric
@attribute o1atLeea numeric
@attribute o1atMcad numeric
@attribute o1atLcad numeric
@attribute o1atMead numeric
@attribute o1atLead numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMdac numeric
@attribute o1atLdac numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMecb numeric
@attribute o1atLecb numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbed numeric
@attribute o1atLbed numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMecc numeric
@attribute o1atLecc numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMadc numeric
@attribute o1atLadc numeric
@attribute o1atMeeb numeric
@attribute o1atLeeb numeric
@attribute o1atMebb numeric
@attribute o1atLebb numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMaae numeric
@attribute o1atLaae numeric
@attribute o1atMbee numeric
@attribute o1atLbee numeric
@attribute o1atMdbc numeric
@attribute o1atLdbc numeric
@attribute o1atMaee numeric
@attribute o1atLaee numeric
@attribute o1atMcae numeric
@attribute o1atLcae numeric
@attribute o1atMbca numeric
@attribute o1atLbca numeric
@attribute o1atMcdb numeric
@attribute o1atLcdb numeric
@attribute o1atMceb numeric
@attribute o1atLceb numeric
@attribute o1atMdce numeric
@attribute o1atLdce numeric
@attribute o1atMdbe numeric
@attribute o1atLdbe numeric
@attribute o1atMbae numeric
@attribute o1atLbae numeric
@attribute o1atMcda numeric
@attribute o1atLcda numeric
@attribute o1atMcec numeric
@attribute o1atLcec numeric
@attribute o1atMecd numeric
@attribute o1atLecd numeric
@attribute o1atMcbe numeric
@attribute o1atLcbe numeric
@attribute o1atMdec numeric
@attribute o1atLdec numeric
@attribute o1atMadb numeric
@attribute o1atLadb numeric
@attribute o1atMade numeric
@attribute o1atLade numeric
@attribute o1atMeab numeric
@attribute o1atLeab numeric
@attribute o1atMace numeric
@attribute o1atLace numeric
@attribute o1atMdea numeric
@attribute o1atLdea numeric
@attribute o1atMeac numeric
@attribute o1atLeac numeric
@attribute o1atMdad numeric
@attribute o1atLdad numeric
@attribute o1atMada numeric
@attribute o1atLada numeric
@attribute o1atMdeb numeric
@attribute o1atLdeb numeric
@attribute o1atMeda numeric
@attribute o1atLeda numeric
@attribute o1atMebd numeric
@attribute o1atLebd numeric
@attribute o1atMeaa numeric
@attribute o1atLeaa numeric
@attribute o1atMbda numeric
@attribute o1atLbda numeric
@attribute o1atMbec numeric
@attribute o1atLbec numeric
@attribute o1atMeba numeric
@attribute o1atLeba numeric
@attribute o1atMebc numeric
@attribute o1atLebc numeric
@attribute o1atMbeb numeric
@attribute o1atLbeb numeric
@attribute o1atMebe numeric
@attribute o1atLebe numeric
@attribute o1atMdae numeric
@attribute o1atLdae numeric
@attribute o1atMeca numeric
@attribute o1atLeca numeric
@attribute destClass {2.0,1.0}

@data
7,84,7,85,8,39,55,37,42,38,40,50,41,51,53,46,55,37,43,37,38,83,42,49,42,48,5,86,5,87,90,36,54,37,43,46,56,1,3,54,38,7,48,8,49,5,50,5,52,8,52,43,39,53,38,92,1,0,91,1,93,0,92,0,55,1,44,2,42,38,7,37,7,38,8,37,5,38,5,39,91,1,93,0,56,0,7,50,7,39,8,39,55,1,55,1,38,38,42,1,43,37,41,39,40,38,43,36,7,38,55,36,7,46,7,50,38,51,8,2,7,83,42,37,7,0,7,37,7,1,7,51,7,38,4,51,55,0,42,1,44,1,4,87,43,1,41,2,54,1,7,51,8,38,42,0,40,1,7,38,5,2,44,0,43,38,8,0,7,1,7,51,42,38,42,1,56,1,43,1,7,2,7,38,53,1,55,1,43,1,55,1,7,38,8,1,7,1,8,2,7,1,7,1,7,36,4,38,42,1,7,1,43,1,5,1,7,38,42,1,7,1,43,1,38,1,43,0,7,1,7,1,2.0
0,93,0,94,1,25,69,20,38,23,35,54,36,55,63,49,70,21,40,21,32,93,39,52,38,51,0,93,0,94,80,17,67,24,39,49,71,12,0,66,23,0,51,1,52,0,54,0,56,1,56,40,25,63,24,82,11,9,81,11,83,10,82,10,69,11,40,12,39,24,0,20,0,23,1,21,0,23,0,25,80,11,83,9,71,10,0,54,0,25,1,25,70,11,67,12,33,24,38,11,39,24,36,25,35,23,39,17,0,23,70,17,0,49,0,54,33,55,1,12,0,93,38,20,0,10,0,24,0,11,0,55,0,23,0,55,69,10,38,11,40,12,0,94,40,11,36,12,66,11,0,55,1,24,38,10,35,11,0,23,0,12,40,10,39,23,1,10,0,12,0,55,38,24,38,11,70,11,39,11,0,12,0,24,63,11,70,11,39,12,69,11,0,24,1,12,0,11,1,12,0,11,0,11,0,17,0,24,38,11,0,11,39,11,0,11,0,24,39,11,0,11,39,11,33,11,39,9,0,11,0,11,1.0
0,92,2,93,2,34,60,31,37,32,36,55,37,57,58,53,62,32,39,32,35,92,38,55,37,54,0,92,1,94,79,30,60,33,38,53,62,11,0,59,32,0,54,2,55,0,55,1,57,2,57,39,34,58,33,82,11,6,81,9,85,8,83,7,60,9,39,11,38,33,0,31,1,32,2,32,0,32,1,34,80,10,84,6,62,8,0,55,1,34,2,34,62,10,60,11,35,33,37,9,38,33,37,34,36,32,38,30,0,32,61,30,1,53,1,55,35,56,2,11,1,92,37,31,0,7,1,33,1,9,1,57,1,32,0,56,60,7,37,9,39,11,0,93,39,10,37,11,59,9,2,56,2,33,37,7,36,9,0,32,1,11,39,8,38,32,2,8,1,11,0,56,37,33,37,10,61,11,38,11,1,11,0,33,58,10,61,9,38,11,60,10,2,33,2,11,1,9,2,11,0,10,1,9,1,30,0,33,37,10,0,9,38,9,0,9,0,33,38,10,0,9,38,9,35,10,38,6,1,11,0,9,1.0
6,84,7,85,8,33,60,30,34,31,33,58,34,59,59,56,62,31,36,31,32,83,36,58,33,57,4,86,5,88,81,29,61,33,35,56,63,11,3,60,30,6,57,8,58,4,58,5,60,8,60,36,33,59,32,83,10,8,82,9,84,9,83,9,61,10,36,11,36,32,6,30,7,31,8,31,4,31,5,33,81,10,84,8,63,9,6,58,7,33,8,33,62,10,61,11,32,32,34,10,35,33,34,33,33,31,35,29,6,31,62,29,7,56,7,58,32,59,8,11,7,84,34,30,6,9,7,33,7,9,7,59,7,30,4,59,61,9,34,10,36,11,4,87,36,10,34,11,60,10,7,59,8,32,34,9,33,10,6,31,5,11,36,9,35,30,8,9,7,11,6,59,33,32,33,10,62,10,35,10,7,11,6,32,59,10,62,9,35,11,60,10,7,32,8,11,7,10,8,11,6,10,7,10,7,29,4,32,34,10,6,10,35,9,4,10,6,32,36,10,6,10,35,10,32,10,35,8,7,10,6,10,2.0
0,91,0,92,2,25,69,22,29,23,25,62,26,63,67,56,69,23,31,23,22,90,31,60,29,59,0,92,0,93,92,21,68,25,30,57,70,1,0,68,23,1,59,2,60,0,63,0,65,2,65,31,25,67,24,93,0,0,92,0,94,0,92,0,69,0,31,2,31,24,1,22,1,23,2,23,0,23,0,25,92,0,93,0,71,1,1,63,1,25,2,25,69,1,69,2,23,24,29,0,30,25,26,25,25,23,30,21,1,23,69,21,1,57,1,62,23,64,2,2,1,91,29,22,1,0,1,25,1,0,1,63,1,23,0,64,69,0,29,0,31,1,0,93,31,1,26,2,68,0,0,64,2,24,29,0,25,0,1,23,0,2,31,1,30,23,2,1,1,2,0,64,29,24,29,1,70,0,30,0,1,2,1,24,67,1,69,0,30,2,69,0,0,24,2,1,1,0,2,2,1,0,1,0,1,21,0,24,29,0,1,0,30,0,0,0,0,24,31,1,1,0,30,0,23,1,30,0,1,0,1,0,2.0
0,90,2,91,2,26,68,22,29,24,27,61,27,63,64,59,69,22,31,23,26,89,28,61,29,60,0,91,1,93,81,20,67,23,29,59,70,9,0,66,24,1,61,2,62,0,63,1,65,2,64,30,24,64,24,84,8,4,83,8,86,6,85,6,68,8,30,9,28,25,1,22,1,24,3,23,0,24,1,26,81,8,86,4,70,6,0,62,1,25,3,25,69,8,67,9,26,25,29,8,30,23,28,25,27,24,30,20,1,24,69,20,2,60,1,62,26,62,2,9,1,90,29,22,1,6,2,23,2,8,1,64,2,24,0,64,68,6,29,8,31,9,0,92,31,8,28,9,66,8,2,63,2,25,29,6,27,8,0,24,1,9,31,6,29,24,3,6,2,9,0,63,29,24,29,8,69,8,30,8,1,9,1,24,64,8,69,8,30,9,68,8,2,25,3,9,1,8,3,9,1,8,2,8,2,20,0,25,29,8,1,8,30,8,0,8,0,25,28,8,0,8,29,8,26,8,30,4,2,8,1,8,1.0
7,81,9,82,9,39,55,35,37,37,36,55,37,57,51,53,56,36,39,36,35,78,39,55,37,54,3,85,4,87,89,34,54,39,38,53,57,3,2,53,37,7,54,9,55,3,55,4,57,9,57,39,39,52,38,91,2,0,90,2,92,1,91,1,55,2,39,3,39,38,7,35,8,37,9,36,3,37,4,39,89,2,92,0,57,1,7,55,8,39,9,39,56,2,54,3,35,38,37,2,38,39,37,39,36,37,38,34,7,37,56,34,8,53,8,55,35,56,9,3,8,81,37,35,7,1,8,39,8,2,8,57,8,37,3,56,55,1,37,2,39,3,3,86,39,2,37,3,53,2,9,56,9,38,37,1,36,2,7,37,4,3,39,1,38,37,9,1,8,3,7,56,37,38,37,2,56,2,38,2,8,3,7,38,52,2,56,2,38,3,55,2,9,38,9,3,8,2,9,3,7,2,8,2,8,34,3,38,37,2,7,2,38,2,3,2,7,38,39,2,7,2,38,2,35,2,38,0,8,2,7,2,2.0
10,80,10,81,12,44,50,39,33,42,32,59,32,59,45,57,50,39,34,40,31,78,32,59,33,58,8,82,9,84,80,36,48,41,33,57,52,7,6,47,42,10,58,11,59,8,59,9,61,11,61,34,43,45,42,84,6,1,83,6,88,4,86,3,50,6,34,8,32,43,10,39,11,42,12,40,8,42,9,44,81,7,87,1,52,4,10,59,11,43,12,43,50,7,48,7,31,43,33,6,34,41,33,43,32,42,34,37,10,42,51,37,11,57,11,59,31,60,12,8,11,78,33,39,10,3,11,41,11,6,11,59,11,42,6,60,50,3,33,6,35,8,6,83,34,7,33,8,47,6,10,60,11,43,33,3,32,6,10,42,9,8,35,4,33,42,12,4,11,7,10,60,33,42,33,7,51,6,34,6,11,8,10,42,45,7,51,6,34,7,50,7,10,43,12,8,11,6,12,8,10,7,11,6,11,37,6,43,33,7,10,6,34,6,8,6,10,43,32,7,10,6,33,6,31,7,34,1,11,6,10,6,1.0
0,92,2,93,2,29,64,26,46,27,45,46,45,48,63,44,67,26,48,27,44,92,45,46,46,45,0,92,1,94,72,25,65,26,46,44,67,20,0,64,27,0,45,2,46,0,46,1,48,2,48,47,28,63,27,74,20,16,73,17,76,18,74,17,65,18,47,20,45,28,0,26,1,27,2,27,0,27,1,29,72,19,75,16,67,18,0,46,1,29,2,28,67,19,65,20,44,28,46,18,47,26,46,29,45,27,47,25,0,27,66,25,1,44,1,46,44,47,2,20,1,92,46,26,0,17,1,26,1,17,1,48,1,27,0,47,65,17,46,18,48,20,0,93,48,19,46,20,64,18,2,47,2,28,46,17,45,18,0,27,1,20,48,18,46,27,2,18,1,20,0,47,46,27,46,19,66,20,47,20,1,20,0,27,63,19,66,17,47,20,64,19,2,28,2,20,1,18,2,20,0,19,1,18,1,25,0,28,46,19,0,18,47,17,0,18,0,28,45,19,0,18,46,18,44,19,47,16,1,20,0,18,1.0
1,91,0,92,1,29,65,24,36,27,32,56,33,55,59,49,65,25,38,25,29,90,37,52,36,52,0,92,0,93,76,21,63,28,37,50,67,14,0,62,27,1,52,1,53,0,56,0,58,1,57,38,28,59,28,79,12,10,78,13,81,11,80,11,65,13,38,14,37,28,1,24,0,27,2,25,0,27,0,29,77,13,81,10,67,11,1,56,1,28,2,29,65,13,63,14,30,28,36,13,37,28,33,28,32,27,37,21,1,27,66,21,1,50,0,56,30,56,1,14,0,91,36,24,1,11,1,28,1,13,1,56,1,27,0,57,65,11,36,13,38,14,0,93,38,13,33,14,62,13,0,57,1,28,36,11,32,13,1,27,0,14,38,11,37,27,2,11,1,14,1,56,36,28,36,13,66,12,37,12,1,14,1,28,59,13,66,13,37,14,65,13,0,28,2,14,0,13,2,14,1,13,1,13,1,21,0,28,36,13,1,13,37,13,0,13,1,28,37,13,1,13,37,13,30,13,37,10,1,12,1,13,1.0
2,89,3,90,4,35,59,32,38,33,37,54,38,55,57,52,61,33,40,33,36,88,38,54,38,53,1,90,2,92,80,31,59,33,39,52,61,12,0,58,33,2,53,4,54,1,54,2,56,4,56,40,35,57,34,82,12,8,81,10,84,10,82,9,59,10,40,12,38,34,2,32,3,33,4,33,1,33,2,35,80,11,83,8,61,10,2,54,3,35,4,35,61,11,59,12,36,34,38,10,39,33,38,35,37,33,39,31,2,33,60,31,3,52,3,54,36,55,4,12,3,88,38,32,2,9,3,33,3,10,3,55,3,33,0,55,59,9,38,10,40,12,0,91,40,11,38,12,58,10,3,55,4,34,38,9,37,10,2,33,2,12,40,10,39,33,4,10,3,12,2,55,38,34,38,11,60,12,39,12,3,12,2,34,57,11,60,10,39,12,59,11,3,34,4,12,3,10,4,12,2,11,3,10,3,31,0,34,38,11,2,10,39,10,1,10,2,34,38,11,2,10,39,10,36,11,39,8,3,12,2,10,1.0
9,82,11,83,11,42,52,39,34,40,33,58,34,60,50,56,53,40,36,40,32,81,36,58,34,57,8,83,9,85,93,38,52,42,35,56,54,1,7,51,40,9,57,11,58,8,58,9,60,11,60,36,42,50,41,94,0,0,93,0,94,0,93,0,52,0,36,1,36,41,9,39,10,40,11,40,8,40,9,42,93,0,94,0,54,0,9,58,10,42,11,42,53,0,52,1,32,41,34,0,35,42,34,42,33,40,35,38,9,40,53,38,10,56,10,58,32,59,11,1,10,81,34,39,9,0,10,42,10,0,10,60,10,40,7,59,52,0,34,0,36,1,7,84,36,0,34,1,51,0,11,59,11,41,34,0,33,0,9,40,9,1,36,0,35,40,11,0,10,1,9,59,34,41,34,0,53,0,35,0,10,1,9,41,50,0,53,0,35,1,52,0,11,41,11,1,10,0,11,1,9,0,10,0,10,38,7,41,34,0,9,0,35,0,8,0,9,41,36,0,9,0,35,0,32,0,35,0,10,0,9,0,2.0
0,90,0,91,2,36,57,32,24,33,21,65,22,66,53,62,58,33,27,33,19,89,25,64,23,63,0,91,0,92,93,31,56,35,24,62,59,1,0,55,33,0,64,1,65,0,67,0,69,1,68,26,35,53,34,94,0,0,93,0,94,0,93,0,57,0,26,1,25,34,2,33,1,33,3,34,1,35,1,37,93,0,94,0,59,0,0,66,1,35,2,36,58,0,56,1,20,34,25,0,25,35,23,35,22,33,26,31,1,34,58,31,0,62,0,65,20,66,2,1,0,89,25,32,2,0,1,35,2,0,0,66,1,33,0,68,57,0,24,0,27,1,0,92,27,0,23,1,55,0,0,67,1,35,25,0,22,0,1,34,1,1,27,0,25,33,3,0,1,1,0,67,23,34,23,0,58,0,26,0,1,1,0,35,53,0,58,0,25,1,57,0,0,35,3,1,1,0,2,1,2,0,1,0,2,31,0,36,25,0,2,0,26,0,1,0,0,35,25,0,1,0,25,0,20,0,26,0,2,0,1,0,2.0
3,88,5,89,5,39,55,37,47,38,45,45,46,47,53,42,55,37,48,37,43,87,47,44,47,43,2,89,3,91,90,36,54,37,48,42,56,1,1,54,38,3,43,5,44,2,45,3,47,5,47,48,39,53,38,92,1,0,91,1,93,0,92,0,55,1,49,2,47,38,3,37,4,38,5,37,2,38,3,39,91,1,93,0,56,0,3,45,4,39,5,39,55,1,55,1,44,38,47,1,48,37,46,39,45,38,48,36,3,38,55,36,4,42,4,45,44,46,5,2,4,87,47,37,3,0,4,37,4,1,4,47,4,38,1,46,55,0,47,1,49,1,1,90,48,1,46,2,54,1,5,46,5,38,47,0,45,1,3,38,3,2,49,0,48,38,5,0,4,1,3,46,47,38,47,1,56,1,48,1,4,2,3,38,53,1,55,1,48,1,55,1,5,38,5,1,4,1,5,2,3,1,4,1,4,36,1,38,47,1,3,1,48,1,2,1,3,38,47,1,3,1,48,1,44,1,48,0,4,1,3,1,2.0
6,86,5,87,5,37,57,33,41,36,38,53,37,51,51,47,55,33,39,33,35,85,39,49,39,50,5,87,5,88,88,31,53,35,40,47,57,2,4,54,34,6,50,5,50,5,53,5,53,5,53,39,35,52,36,90,1,1,89,3,91,1,90,2,57,3,41,2,39,36,6,33,6,36,5,33,5,36,5,37,88,2,91,1,58,2,6,53,6,35,5,36,55,3,55,2,35,36,41,3,40,35,37,35,38,36,40,31,6,36,56,31,6,47,6,53,35,52,6,4,6,85,41,33,6,2,6,35,6,3,6,51,6,34,4,53,57,2,41,3,41,2,4,88,39,3,38,2,54,3,5,53,5,36,41,2,38,3,6,36,5,4,41,2,40,34,7,2,6,2,6,52,39,36,39,3,58,1,41,1,6,2,6,36,52,3,56,3,41,2,57,2,5,36,7,2,6,3,7,3,6,2,6,3,6,31,4,36,41,2,6,3,40,3,5,3,6,36,39,3,6,3,40,3,35,3,41,1,6,1,6,3,2.0
15,76,14,77,15,40,54,37,22,39,21,71,21,70,50,69,54,37,22,37,20,74,22,70,22,70,13,78,13,79,93,35,52,39,22,69,55,0,11,52,39,15,70,15,70,13,71,13,72,15,72,22,39,50,39,94,0,0,93,0,94,0,93,0,54,0,23,0,22,39,15,37,15,39,15,37,13,39,13,40,93,0,94,0,55,0,15,71,15,39,15,39,54,0,53,0,20,39,22,0,22,39,21,39,21,39,22,35,15,39,54,35,15,69,15,71,20,71,16,1,15,74,22,37,15,0,15,39,15,0,15,70,15,39,11,71,54,0,22,0,23,0,11,79,22,0,22,0,52,0,14,71,15,39,22,0,21,0,15,39,13,1,23,0,22,39,16,0,15,0,15,71,22,39,22,0,55,0,23,0,15,0,15,39,50,0,54,0,23,0,54,0,14,39,16,0,15,0,16,0,15,0,15,0,15,35,11,39,22,0,15,0,22,0,13,0,15,39,22,0,15,0,22,0,20,0,23,0,15,0,15,0,2.0
7,84,9,85,9,30,64,26,38,28,36,54,36,56,60,50,65,27,40,27,34,84,38,53,37,52,6,85,7,87,77,25,63,29,38,50,66,15,5,62,27,7,52,9,53,6,54,7,56,9,56,39,29,61,28,79,14,12,78,14,80,13,79,13,64,14,39,15,39,29,7,26,8,28,9,27,6,28,7,30,77,14,80,12,66,13,7,54,8,30,9,29,65,14,63,15,34,29,38,14,39,29,37,30,36,28,39,25,7,28,65,25,8,50,8,54,34,55,9,15,8,84,38,26,7,13,8,29,8,14,8,56,8,27,6,55,64,13,38,14,40,15,6,86,40,14,37,15,62,14,9,55,9,29,38,13,36,14,7,28,7,15,40,13,38,27,9,13,8,15,7,55,37,28,37,14,65,14,39,14,8,15,7,28,61,14,65,14,39,15,64,14,9,29,9,15,8,14,9,15,7,14,8,14,8,25,6,29,38,14,7,14,39,14,6,14,7,29,39,14,7,14,38,14,34,14,39,12,8,14,7,14,1.0
0,93,0,94,0,42,52,36,47,39,46,44,47,44,47,40,52,37,49,38,46,93,47,42,46,42,0,93,0,94,90,35,49,38,47,41,53,1,0,49,37,0,42,0,43,0,44,0,45,0,45,48,40,47,38,92,1,0,91,1,93,0,92,0,52,1,49,2,47,39,0,38,0,41,1,38,0,41,0,42,91,1,93,0,53,0,0,44,0,41,1,41,52,1,50,1,46,41,49,1,47,39,47,41,47,41,49,36,0,39,52,35,0,41,0,44,46,44,0,2,0,93,49,38,0,0,0,39,0,1,0,44,0,38,0,45,52,0,47,1,50,1,0,94,49,1,47,2,49,1,0,45,0,39,49,0,47,1,0,41,0,2,50,0,48,38,1,0,0,1,0,44,46,40,46,1,53,1,49,1,0,2,0,40,47,1,52,1,47,1,52,1,0,41,1,1,0,1,1,2,0,1,0,1,0,36,0,41,49,1,0,1,49,1,0,1,0,41,47,1,0,1,48,1,46,1,49,0,0,1,0,1,1.0
1,87,5,88,5,28,64,24,36,25,30,53,31,56,62,42,64,24,37,25,26,85,36,48,36,47,0,89,2,91,75,23,63,24,36,44,66,12,0,63,25,3,47,5,48,1,54,2,56,5,56,37,26,62,25,78,12,10,77,12,81,11,79,11,65,12,38,13,36,26,3,24,4,26,5,25,1,26,2,28,76,12,80,10,68,11,2,53,3,28,5,26,65,12,65,12,27,27,37,12,36,25,31,28,30,26,36,23,3,25,64,23,4,44,4,53,27,54,5,15,3,86,36,24,3,11,4,25,4,12,3,56,4,25,0,55,66,11,37,12,38,13,0,90,38,13,32,15,64,12,5,54,5,26,38,11,31,13,2,26,2,15,40,12,36,25,5,12,4,13,2,55,36,25,37,12,66,12,38,12,3,15,3,25,63,12,65,12,38,13,65,12,5,27,5,13,4,13,5,13,3,12,4,12,4,23,0,27,37,12,3,12,37,12,1,13,2,27,37,13,2,13,37,12,28,14,39,10,4,12,3,12,1.0
0,92,2,93,2,35,59,32,46,33,45,46,46,48,57,44,61,33,48,33,44,92,48,46,46,45,0,92,1,94,76,31,59,35,47,44,61,16,0,58,33,0,45,2,46,0,46,1,48,2,48,48,35,57,34,78,16,12,77,14,80,14,78,13,59,14,48,16,48,34,0,32,1,33,2,33,0,33,1,35,76,15,79,12,61,14,0,46,1,35,2,35,61,15,59,16,44,34,46,14,47,35,46,35,45,33,47,31,0,33,60,31,1,44,1,46,44,47,2,16,1,92,46,32,0,13,1,35,1,14,1,48,1,33,0,47,59,13,46,14,48,16,0,93,48,15,46,16,58,14,2,47,2,34,46,13,45,14,0,33,1,16,48,14,47,33,2,14,1,16,0,47,46,34,46,15,60,16,47,16,1,16,0,34,57,15,60,14,47,16,59,15,2,34,2,16,1,14,2,16,0,15,1,14,1,31,0,34,46,15,0,14,47,14,0,14,0,34,48,15,0,14,47,14,44,15,47,12,1,16,0,14,1.0
0,92,2,93,2,28,66,25,37,26,36,55,37,57,64,53,67,26,39,26,35,92,39,55,37,54,0,92,1,94,77,24,66,28,38,53,68,15,0,65,26,0,54,2,55,0,55,1,57,2,57,39,28,64,27,79,14,12,78,14,80,13,79,13,66,14,39,15,39,27,0,25,1,26,2,26,0,26,1,28,77,14,80,12,68,13,0,55,1,28,2,28,67,14,66,15,35,27,37,14,38,28,37,28,36,26,38,24,0,26,67,24,1,53,1,55,35,56,2,15,1,92,37,25,0,13,1,28,1,14,1,57,1,26,0,56,66,13,37,14,39,15,0,93,39,14,37,15,65,14,2,56,2,27,37,13,36,14,0,26,1,15,39,13,38,26,2,13,1,15,0,56,37,27,37,14,67,14,38,14,1,15,0,27,64,14,67,14,38,15,66,14,2,27,2,15,1,14,2,15,0,14,1,14,1,24,0,27,37,14,0,14,38,14,0,14,0,27,39,14,0,14,38,14,35,14,38,12,1,14,0,14,1.0
2,89,4,90,4,33,61,30,43,31,42,49,43,51,59,47,63,31,45,31,41,88,45,49,43,48,1,90,2,92,78,29,61,33,44,47,63,14,0,60,31,2,48,4,49,1,49,2,51,4,51,45,33,59,32,80,14,10,79,12,82,12,80,11,61,12,45,14,45,32,2,30,3,31,4,31,1,31,2,33,78,13,81,10,63,12,2,49,3,33,4,33,63,13,61,14,41,32,43,12,44,33,43,33,42,31,44,29,2,31,62,29,3,47,3,49,41,50,4,14,3,88,43,30,2,11,3,33,3,12,3,51,3,31,0,50,61,11,43,12,45,14,0,91,45,13,43,14,60,12,4,50,4,32,43,11,42,12,2,31,2,14,45,12,44,31,4,12,3,14,2,50,43,32,43,13,62,14,44,14,3,14,2,32,59,13,62,12,44,14,61,13,4,32,4,14,3,12,4,14,2,13,3,12,3,29,0,32,43,13,2,12,44,12,1,12,2,32,45,13,2,12,44,12,41,13,44,10,3,14,2,12,1.0
