@relation 'Sax dominant'

@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute destClass {2,3,7,6,4,5,1}

@data
49,44,47,48,44,72,21,18,71,20,70,43,48,45,48,45,74,20,72,19,49,22,47,45,70,21,49,43,73,18,5
34,57,28,33,57,73,19,18,73,20,72,54,31,60,31,60,74,19,74,19,34,20,28,60,72,20,34,54,74,18,7
34,58,30,33,58,73,20,18,72,20,71,56,32,60,32,60,74,19,73,19,34,21,30,60,71,20,34,56,74,18,4
46,47,44,45,47,67,25,21,66,25,65,46,45,48,45,48,69,23,68,23,46,26,44,48,65,25,46,46,69,22,2
32,60,26,31,59,74,19,17,74,19,73,57,29,63,29,62,75,18,75,18,31,19,26,62,73,19,32,57,75,17,5
43,47,38,44,47,67,26,24,67,26,66,44,40,50,41,51,68,25,68,25,44,26,38,50,66,26,44,45,68,24,2
37,53,33,38,54,67,25,24,67,26,66,51,35,55,36,57,68,25,68,25,39,26,33,56,66,26,38,51,68,24,7
45,48,43,44,48,66,27,25,65,27,64,47,44,49,44,49,67,26,66,26,45,28,43,49,64,27,45,47,67,25,4
33,57,29,35,58,69,24,22,69,24,68,55,31,59,32,61,70,23,70,23,35,24,29,60,68,24,34,55,70,22,6
24,69,20,23,68,71,22,20,71,22,70,67,22,71,22,70,72,21,72,21,23,22,20,70,70,22,24,67,72,20,6
31,62,29,31,62,61,32,27,60,31,58,61,30,63,30,63,63,29,62,29,31,32,29,63,58,31,31,61,63,27,5
35,57,31,34,57,69,23,22,69,24,68,55,33,59,33,59,70,23,70,23,35,24,31,59,68,24,35,55,70,22,6
38,54,34,37,54,72,20,19,72,21,71,52,36,56,36,56,73,20,73,20,38,21,34,56,71,21,38,52,73,19,4
30,63,26,29,63,67,26,24,67,26,66,61,28,65,27,64,68,25,68,25,29,26,26,65,66,26,29,61,68,24,3
29,63,25,28,63,68,24,23,68,25,67,61,27,65,27,65,69,24,69,24,29,25,25,65,67,25,29,61,69,23,5
50,43,48,49,43,75,18,16,74,18,73,42,49,44,49,44,76,17,75,17,50,19,48,44,73,18,50,42,76,16,5
38,54,34,37,54,73,19,18,73,20,72,52,36,56,36,56,74,19,74,19,38,20,34,56,72,20,38,52,74,18,4
33,59,29,32,59,62,29,26,62,30,60,57,31,61,31,61,64,28,64,28,33,30,29,61,60,30,33,57,64,26,4
42,49,40,44,50,72,23,21,71,21,71,48,41,50,42,52,73,22,71,21,44,23,40,51,71,22,43,48,72,21,3
33,59,29,33,59,63,29,25,63,29,61,57,31,61,31,61,65,27,65,27,33,29,29,61,61,29,33,57,65,25,2
38,53,34,39,53,69,24,22,69,24,68,51,36,55,37,56,70,23,70,23,39,24,34,55,68,24,39,51,70,22,3
41,50,39,43,51,71,24,22,70,22,70,49,40,51,41,53,72,23,70,22,43,24,39,52,70,23,42,49,71,22,3
40,50,36,42,51,72,21,19,72,21,71,48,38,52,39,54,73,20,73,20,42,21,36,53,71,21,41,48,73,19,3
30,62,26,30,62,65,28,26,65,28,64,60,28,64,28,64,66,27,66,27,30,28,26,64,64,28,30,60,66,26,3
45,48,43,45,48,67,25,21,67,25,65,47,44,49,44,49,69,23,69,23,45,25,43,49,65,25,45,47,69,21,4
33,59,29,32,59,79,13,11,79,13,78,57,31,61,31,61,81,13,80,12,33,14,29,61,78,14,33,57,80,11,3
50,43,47,49,42,68,25,23,68,25,67,41,48,45,48,44,69,24,69,24,49,25,47,44,67,25,50,42,69,23,7
36,56,32,36,56,57,35,31,57,35,55,54,34,58,34,58,59,33,59,33,36,35,32,58,55,35,36,54,59,31,1
42,50,36,41,49,72,21,19,72,21,71,47,39,53,39,52,73,20,73,20,41,21,36,52,71,21,42,47,73,19,4
36,56,32,36,56,60,32,28,60,32,58,54,34,58,34,58,62,30,62,30,36,32,32,58,58,32,36,54,62,28,4
38,52,32,38,53,71,21,20,71,22,70,49,35,55,35,56,72,21,72,21,39,22,32,56,70,22,38,49,72,20,6
37,55,33,36,55,68,24,23,68,25,67,53,35,57,35,57,69,24,69,24,37,25,33,57,67,25,37,53,69,23,6
35,57,31,35,57,74,20,17,73,19,72,55,33,59,33,59,75,18,74,18,35,20,31,59,72,19,35,55,75,17,5
35,55,29,36,56,67,26,24,67,26,66,52,32,58,32,59,68,25,68,25,36,26,29,59,66,26,35,52,68,24,4
30,62,26,29,62,67,25,24,67,26,66,60,28,64,28,64,68,25,68,25,30,26,26,64,66,26,30,60,68,24,4
38,55,34,37,54,65,28,26,65,28,64,53,36,57,36,56,66,27,66,27,37,28,34,56,64,28,38,53,66,26,2
35,57,31,34,57,71,21,20,71,22,70,55,33,59,33,59,72,21,72,21,35,22,31,59,70,22,35,55,72,20,5
44,48,40,43,48,67,26,23,66,25,65,46,42,50,42,50,69,25,67,24,44,27,40,50,65,26,44,46,68,23,2
32,59,30,34,60,72,21,19,72,21,71,58,31,60,32,62,73,20,73,20,34,21,30,61,71,21,33,58,73,19,2
37,55,33,36,55,72,20,19,72,21,71,53,35,57,35,57,73,20,73,20,37,21,33,57,71,21,37,53,73,19,4
47,46,45,46,46,66,27,24,65,26,64,45,46,47,46,47,68,26,66,25,47,28,45,47,64,27,47,45,67,24,2
27,65,23,26,65,74,19,17,73,19,72,63,25,67,25,67,75,18,74,18,27,20,23,67,72,19,27,63,75,17,5
44,49,42,44,49,73,20,18,73,20,72,48,43,50,43,50,74,19,74,19,44,20,42,50,72,20,44,48,74,18,3
45,47,41,45,47,67,27,24,66,26,65,45,43,49,43,49,68,25,67,25,45,27,41,49,65,26,45,45,68,24,2
34,58,30,34,58,66,27,25,66,27,65,56,32,60,32,60,67,26,67,26,34,27,30,60,65,27,34,56,67,25,4
43,49,39,43,49,76,17,15,76,17,75,47,41,51,41,51,77,16,77,16,43,17,39,51,75,17,43,47,77,15,2
44,49,42,43,49,67,24,21,67,25,65,48,43,50,43,50,69,23,69,23,44,25,42,50,65,25,44,48,69,21,3
33,60,31,33,60,66,28,25,65,27,64,59,32,61,32,61,67,26,66,26,33,28,31,61,64,27,33,59,67,25,1
32,60,28,32,60,67,26,24,67,26,66,58,30,62,30,62,68,25,68,25,32,26,28,62,66,26,32,58,68,24,3
36,56,32,36,56,65,29,26,64,28,64,54,34,58,34,58,66,27,65,27,36,29,32,58,64,28,36,54,66,27,2
33,59,29,33,59,68,25,23,68,25,67,57,31,61,31,61,69,24,69,24,33,25,29,61,67,25,33,57,69,23,7
43,50,41,43,50,67,26,24,67,26,66,49,42,51,42,51,68,25,68,25,43,26,41,51,66,26,43,49,68,24,7
32,61,30,32,61,52,40,35,52,39,50,60,31,62,31,62,55,38,54,37,32,40,30,62,50,40,32,60,54,35,1
35,56,29,34,56,73,19,18,73,20,72,53,32,59,32,59,74,19,74,19,35,20,29,59,72,20,35,53,74,18,3
30,62,26,30,62,68,25,23,68,25,67,60,28,64,28,64,69,24,69,24,30,25,26,64,67,25,30,60,69,23,4
46,47,44,45,47,76,17,15,75,17,74,46,45,48,45,48,77,16,76,16,46,18,44,48,74,17,46,46,77,15,4
36,53,29,36,54,69,23,22,69,24,68,50,32,57,32,58,70,23,70,23,37,24,30,58,68,24,36,51,70,22,7
34,58,30,34,58,69,24,22,69,24,68,56,32,60,32,60,70,23,70,23,34,24,30,60,68,24,34,56,70,22,6
31,61,27,30,61,60,31,28,60,32,58,59,29,63,29,63,62,30,62,30,31,32,27,63,58,32,31,59,62,28,1
24,67,20,25,68,69,24,22,69,24,68,65,22,69,22,70,70,23,70,23,25,24,20,70,68,24,24,65,70,22,7
30,62,26,30,62,71,24,22,70,22,70,60,28,64,28,64,72,23,70,22,30,24,26,64,70,23,30,60,71,22,3
33,57,29,35,58,74,19,17,74,19,73,55,31,59,32,61,75,18,75,18,35,19,29,60,73,19,34,55,75,17,2
36,57,34,35,57,71,21,20,71,22,70,56,35,58,35,58,72,21,72,21,36,22,34,58,70,22,36,56,72,20,6
36,56,32,36,56,73,20,18,73,20,72,54,34,58,34,58,74,19,74,19,36,20,32,58,72,20,36,54,74,18,3
43,48,41,44,49,74,18,17,74,19,73,47,42,49,43,51,75,18,75,18,45,19,41,50,73,19,44,47,75,17,5
31,61,27,31,61,72,21,19,72,21,71,59,29,63,29,63,73,20,73,20,31,21,27,63,71,21,31,59,73,19,5
34,58,30,33,58,69,23,22,69,24,68,56,32,60,32,60,70,23,70,23,34,24,30,60,68,24,34,56,70,22,6
34,58,30,34,58,72,21,19,72,21,71,56,32,60,32,60,73,20,73,20,34,21,30,60,71,21,34,56,73,19,4
34,58,30,34,58,76,17,15,76,17,75,56,32,60,32,60,77,16,77,16,34,17,30,60,75,17,34,56,77,15,1
41,51,37,40,51,68,23,20,68,24,66,49,39,53,39,53,70,22,70,22,41,24,37,53,66,24,41,49,70,20,5
32,60,28,31,60,73,18,15,73,19,71,58,30,62,30,62,75,17,75,17,32,19,28,62,71,19,32,58,75,15,3
35,57,31,34,57,68,24,23,68,25,67,55,33,59,33,59,69,24,69,24,35,25,31,59,67,25,35,55,69,23,6
36,56,32,36,56,67,26,24,67,26,66,54,34,58,34,58,68,25,68,25,36,26,32,58,66,26,36,54,68,24,1
33,59,29,33,59,68,25,23,68,25,67,57,31,61,31,61,69,24,69,24,33,25,29,61,67,25,33,57,69,23,2
44,48,40,43,48,70,22,21,70,23,69,46,42,50,42,50,71,22,71,22,44,23,40,50,69,23,44,46,71,21,5
35,57,31,34,57,70,22,21,70,23,69,55,33,59,33,59,71,22,71,22,35,23,31,59,69,23,35,55,71,21,6
42,48,38,44,49,75,18,16,75,18,74,46,40,50,41,52,76,17,76,17,44,18,38,51,74,18,43,46,76,16,4
37,54,31,36,54,73,19,18,73,20,72,51,34,57,34,57,74,19,74,19,37,20,31,57,72,20,37,51,74,18,3
27,65,22,25,64,73,19,18,73,20,72,62,24,68,24,67,74,19,74,19,26,20,22,67,72,20,27,63,74,18,5
40,52,36,40,52,65,28,26,65,28,64,50,38,54,38,54,66,27,66,27,40,28,36,54,64,28,40,50,66,26,2
20,73,18,20,73,78,15,13,78,15,77,72,19,74,19,74,79,14,79,14,20,15,18,74,77,15,20,72,79,13,1
46,45,40,46,45,67,27,24,66,26,65,42,43,48,43,48,68,25,67,25,46,27,40,48,65,26,46,42,68,24,2
45,45,41,46,46,68,24,23,68,25,67,43,43,47,44,49,69,24,69,24,47,25,41,48,67,25,46,43,69,23,7
46,45,40,45,45,68,24,23,68,25,67,42,43,48,43,48,69,24,69,24,46,25,40,48,67,25,46,42,69,23,6
41,51,37,41,51,66,27,25,66,27,65,49,39,53,39,53,67,26,67,26,41,27,37,53,65,27,41,49,67,25,2
35,57,31,34,57,70,23,21,69,23,68,55,33,59,33,59,71,22,70,22,35,24,31,59,68,23,35,55,71,21,6
37,53,31,38,53,74,19,17,74,19,73,50,34,56,35,57,75,18,75,18,38,19,31,56,73,19,38,50,75,17,2
35,57,31,35,57,72,21,19,72,21,71,55,33,59,33,59,73,20,73,20,35,21,31,59,71,21,35,55,73,19,4
31,61,27,31,61,72,21,19,72,21,71,59,29,63,29,63,73,20,73,20,31,21,27,63,71,21,31,59,73,19,5
36,55,34,37,56,72,19,16,72,20,70,54,35,56,36,58,74,18,74,18,38,20,34,57,70,20,37,54,74,16,3
24,68,20,23,68,63,28,25,63,29,61,66,22,70,22,70,65,27,65,27,24,29,20,70,61,29,24,66,65,25,2
36,56,32,35,56,70,22,21,70,23,69,54,34,58,34,58,71,22,71,22,36,23,32,58,69,23,36,54,71,21,5
41,50,39,42,51,54,38,33,53,37,51,49,40,51,41,53,57,36,55,35,43,39,39,52,51,38,42,49,56,33,1
25,67,21,25,67,67,26,24,67,26,66,65,23,69,23,69,68,25,68,25,25,26,21,69,66,26,25,65,68,24,3
37,55,33,36,55,69,23,22,69,24,68,53,35,57,35,57,70,23,70,23,37,24,33,57,68,24,37,53,70,22,6
33,59,29,33,59,72,21,19,72,21,71,57,31,61,31,61,73,20,73,20,33,21,29,61,71,21,33,57,73,19,2
34,58,30,34,58,73,20,18,73,20,72,56,32,60,32,60,74,19,74,19,34,20,30,60,72,20,34,56,74,18,2
33,59,27,31,58,76,16,15,76,17,75,56,30,62,30,61,77,16,77,16,32,17,27,61,75,17,33,56,77,15,5
34,59,32,34,59,67,26,24,67,26,66,58,33,60,33,60,68,25,68,25,34,26,32,60,66,26,34,58,68,24,5
43,50,41,42,50,68,23,20,68,24,66,49,42,51,42,51,70,22,70,22,43,24,41,51,66,24,43,49,70,20,1
33,59,29,32,59,61,31,27,60,31,58,57,31,61,31,61,63,29,62,29,33,32,29,61,58,31,33,57,63,27,2
31,61,27,31,61,62,30,26,62,30,60,59,29,63,29,63,64,28,64,28,31,30,27,63,60,30,31,59,64,26,5
34,58,30,33,58,66,26,25,66,27,65,56,32,60,32,60,67,26,67,26,34,27,30,60,65,27,34,56,67,25,2
34,58,30,34,58,72,21,19,72,21,71,56,32,60,32,60,73,20,73,20,34,21,30,60,71,21,34,56,73,19,4
52,40,48,52,40,72,21,19,72,21,71,38,50,42,50,42,73,20,73,20,52,21,48,42,71,21,52,38,73,19,4
40,52,36,39,52,67,25,24,67,26,66,50,38,54,38,54,68,25,68,25,40,26,36,54,66,26,40,50,68,24,7
38,53,36,40,54,75,18,16,75,18,74,52,37,54,38,56,76,17,76,17,40,18,36,55,74,18,39,52,76,16,3
38,52,34,40,53,70,23,21,70,23,69,50,36,54,37,56,71,22,71,22,40,23,34,55,69,23,39,50,71,21,4
22,71,20,22,71,60,32,28,60,32,58,70,21,72,21,72,62,30,62,30,22,32,20,72,58,32,22,70,62,28,2
46,47,44,45,47,67,26,23,66,25,65,46,45,48,45,48,69,25,67,24,46,27,44,48,65,26,46,46,68,23,4
46,46,40,44,45,69,23,22,69,24,68,43,43,49,43,48,70,23,70,23,45,24,40,48,68,24,46,43,70,22,7
33,59,29,33,59,71,22,20,71,22,70,57,31,61,31,61,72,21,72,21,33,22,29,61,70,22,33,57,72,20,5
33,59,29,32,59,72,21,19,71,21,70,57,31,61,31,61,73,20,72,20,33,22,29,61,70,21,33,57,73,19,5
44,47,38,44,47,68,25,23,68,25,67,44,41,50,41,50,69,24,69,24,44,25,38,50,67,25,44,44,69,23,7
33,59,29,32,59,66,26,25,66,27,65,57,31,61,31,61,67,26,67,26,33,27,29,61,65,27,33,57,67,25,4
35,59,31,33,58,67,26,24,67,26,66,57,33,61,32,59,68,25,68,25,33,26,31,60,66,26,34,57,68,24,7
37,58,35,35,57,51,39,35,52,41,49,57,36,59,35,57,53,37,55,38,35,39,35,58,49,40,36,57,54,35,1
42,48,38,44,49,69,24,22,69,24,68,46,40,50,41,52,70,23,70,23,44,24,38,51,68,24,43,46,70,22,7
21,72,19,20,72,61,31,27,60,31,58,71,20,73,20,73,63,29,62,29,21,32,19,73,58,31,21,71,63,27,3
34,58,30,33,58,71,21,20,71,22,70,56,32,60,32,60,72,21,72,21,34,22,30,60,70,22,34,56,72,20,6
28,64,24,28,64,67,26,24,67,26,66,62,26,66,26,66,68,25,68,25,28,26,24,66,66,26,28,62,68,24,3
13,79,11,14,80,81,14,12,80,12,80,78,12,80,12,81,82,13,80,12,14,14,11,81,80,13,13,78,81,12,1
39,52,37,41,53,73,22,20,72,20,72,51,38,53,39,55,74,21,72,20,41,22,37,54,72,21,40,51,73,20,3
40,52,36,39,52,72,21,18,71,20,70,50,38,54,38,54,74,20,72,19,40,22,36,54,70,21,40,50,73,18,6
34,59,32,34,59,68,25,20,67,24,66,58,33,60,33,60,70,22,69,22,34,25,32,60,66,24,34,58,70,21,3
32,60,28,32,60,63,29,25,63,29,61,58,30,62,30,62,65,27,65,27,32,29,28,62,61,29,32,58,65,25,1
38,54,34,37,54,63,28,25,63,29,61,52,36,56,36,56,65,27,65,27,38,29,34,56,61,29,38,52,65,25,2
39,53,35,38,53,66,27,25,65,27,64,51,37,55,37,55,67,26,66,26,39,28,35,55,64,27,39,51,67,25,4
46,46,44,46,47,66,25,22,66,26,64,46,45,47,45,48,68,24,68,24,47,26,45,48,64,26,46,46,68,22,5
35,56,30,34,56,72,22,21,71,21,71,54,32,59,32,59,73,22,71,21,35,23,31,59,71,22,35,55,72,21,5
35,57,31,34,57,72,20,19,72,21,71,55,33,59,33,59,73,20,73,20,35,21,31,59,71,21,35,55,73,19,2
34,57,30,35,57,70,23,21,70,23,69,55,32,59,33,60,71,22,71,22,35,23,30,59,69,23,35,55,71,21,6
37,55,33,36,55,70,22,21,70,23,69,53,35,57,35,57,71,22,71,22,37,23,33,57,69,23,37,53,71,21,5
47,46,45,47,46,70,23,18,69,22,68,45,46,47,46,47,72,20,71,20,47,23,45,47,68,22,47,45,72,19,4
38,54,34,38,54,73,20,18,73,20,72,52,36,56,36,56,74,19,74,19,38,20,34,56,72,20,38,52,74,18,5
33,57,29,35,58,69,24,22,69,24,68,55,31,59,32,61,70,23,70,23,35,24,29,60,68,24,34,55,70,22,6
31,60,25,31,60,67,27,24,66,26,65,57,28,63,28,63,68,25,67,25,31,27,25,63,65,26,31,57,68,24,4
43,49,39,43,49,66,27,25,66,27,65,47,41,51,41,51,67,26,67,26,43,27,39,51,65,27,43,47,67,25,2
33,58,29,33,58,66,26,25,66,27,65,56,31,60,32,61,67,26,67,26,34,27,29,60,65,27,34,56,67,25,7
38,54,34,38,54,75,19,16,74,18,73,52,36,56,36,56,76,17,75,17,38,19,34,56,73,18,38,52,76,16,5
35,56,31,36,57,73,22,20,72,20,72,54,33,58,33,59,74,21,72,20,36,22,31,59,72,21,35,54,73,20,1
44,47,38,44,47,69,24,22,69,24,68,44,41,50,41,50,70,23,70,23,44,24,38,50,68,24,44,44,70,22,5
42,50,38,42,50,68,25,23,68,25,67,48,40,52,40,52,69,24,69,24,42,25,38,52,67,25,42,48,69,23,3
26,66,22,26,66,68,25,23,68,25,67,64,24,68,24,68,69,24,69,24,26,25,22,68,67,25,26,64,69,23,7
32,59,27,31,59,66,26,25,66,27,65,56,29,62,29,62,67,26,67,26,32,27,27,62,65,27,32,57,67,25,3
37,55,33,36,55,58,33,30,58,34,56,53,35,57,35,57,60,32,60,32,37,34,33,57,56,34,37,53,60,30,4
43,48,39,44,48,69,24,22,69,24,68,46,41,50,42,51,70,23,70,23,44,24,39,50,68,24,44,46,70,22,3
29,64,27,29,64,66,28,25,65,27,64,63,28,65,28,65,67,26,66,26,29,28,27,65,64,27,29,63,67,25,5
42,50,38,41,50,62,31,29,61,31,60,48,40,52,40,52,63,30,62,30,42,32,38,52,60,31,42,48,63,29,5
39,51,31,38,51,74,18,17,74,19,73,48,35,55,35,55,75,18,75,18,39,19,32,55,73,19,39,48,75,17,2
34,58,30,34,58,73,21,17,72,19,71,56,32,60,32,60,75,19,73,18,34,21,30,60,71,20,34,56,74,17,5
33,59,29,32,59,68,24,23,68,25,67,57,31,61,31,61,69,24,69,24,33,25,29,61,67,25,33,57,69,23,6
32,60,28,32,60,69,24,22,69,24,68,58,30,62,30,62,70,23,70,23,32,24,28,62,68,24,32,58,70,22,3
39,53,35,38,53,67,25,24,67,26,66,51,37,55,37,55,68,25,68,25,39,26,35,55,66,26,39,51,68,24,5
25,68,23,25,68,69,24,22,69,24,68,67,24,69,24,69,70,23,70,23,25,24,23,69,68,24,25,67,70,22,6
38,54,34,37,54,73,19,18,73,20,72,52,36,56,36,56,74,19,74,19,38,20,34,56,72,20,38,52,74,18,4
35,54,29,36,55,69,22,19,69,23,67,51,32,57,33,59,71,21,71,21,37,23,29,58,67,23,36,51,71,19,1
41,50,37,42,51,69,24,22,69,24,68,48,39,52,39,53,70,23,70,23,42,24,37,53,68,24,41,48,70,22,7
39,53,35,39,53,58,34,30,58,34,56,51,37,55,37,55,60,32,60,32,39,34,35,55,56,34,39,51,60,30,1
45,47,41,44,47,72,20,19,72,21,71,45,43,49,43,49,73,20,73,20,45,21,41,49,71,21,45,45,73,19,4
33,59,29,32,59,72,21,19,71,21,70,57,31,61,31,61,73,20,72,20,33,22,29,61,70,21,33,57,73,19,5
41,51,35,40,50,69,24,22,69,24,68,48,38,54,38,53,70,23,70,23,40,24,35,53,68,24,41,48,70,22,6
47,46,45,47,46,73,19,16,73,20,71,45,46,47,46,47,74,17,75,18,47,19,45,47,71,19,47,45,75,16,4
45,48,43,44,48,63,29,28,63,30,62,47,44,49,44,49,64,29,64,29,45,30,43,49,62,30,45,47,64,28,5
42,47,36,44,48,67,26,24,67,26,66,44,39,50,40,52,68,25,68,25,44,26,36,51,66,26,43,44,68,24,4
33,58,27,33,58,74,19,17,74,19,73,55,30,61,30,61,75,18,75,18,33,19,27,61,73,19,33,55,75,17,3
54,37,52,56,38,66,27,25,66,27,65,36,53,38,54,40,67,26,67,26,56,27,52,39,65,27,55,36,67,25,1
35,56,29,34,56,73,20,18,72,20,71,53,32,59,32,59,74,19,73,19,35,21,29,59,71,20,35,53,74,18,2
33,59,29,33,59,74,19,17,74,19,73,57,31,61,31,61,75,18,75,18,33,19,29,61,73,19,33,57,75,17,2
29,63,25,28,63,68,24,23,68,25,67,61,27,65,27,65,69,24,69,24,29,25,25,65,67,25,29,61,69,23,6
47,44,43,48,44,68,25,23,68,25,67,42,45,46,46,47,69,24,69,24,48,25,43,46,67,25,48,42,69,23,4
30,62,26,30,62,69,24,22,69,24,68,60,28,64,28,64,70,23,70,23,30,24,26,64,68,24,30,60,70,22,6
39,52,33,39,52,70,23,21,70,23,69,49,36,55,36,55,71,22,71,22,39,23,33,55,69,23,39,49,71,21,6
39,51,35,41,52,74,19,17,74,19,73,49,37,53,38,55,75,18,75,18,41,19,35,54,73,19,40,49,75,17,2
39,53,35,38,53,68,25,22,67,24,66,51,37,55,37,55,70,24,68,23,39,26,35,55,66,25,39,51,69,22,2
39,52,33,39,52,70,23,21,70,23,69,49,36,55,36,55,71,22,71,22,39,23,33,55,69,23,39,49,71,21,6
30,62,26,29,62,63,28,25,63,29,61,60,28,64,28,64,65,27,65,27,30,29,26,64,61,29,30,60,65,25,1
39,52,37,41,53,74,19,17,74,19,73,51,38,53,39,55,75,18,75,18,41,19,37,54,73,19,40,51,75,17,3
47,45,43,46,45,71,21,20,71,22,70,44,45,47,45,47,72,21,72,21,47,22,44,47,70,22,47,44,72,20,4
38,53,36,40,54,72,21,19,72,21,71,52,37,54,38,56,73,20,73,20,40,21,36,55,71,21,39,52,73,19,4
33,58,31,35,59,72,21,19,72,21,71,57,32,59,33,61,73,20,73,20,35,21,31,60,71,21,34,57,73,19,3
42,50,38,42,50,72,22,19,71,21,70,48,40,52,40,52,73,20,72,20,42,22,38,52,70,21,42,48,73,19,4
46,46,42,46,46,72,21,19,72,21,71,44,44,48,44,48,73,20,73,20,46,21,42,48,71,21,46,44,73,19,4
45,48,43,44,48,67,24,21,67,25,65,47,44,49,44,49,69,23,69,23,45,25,43,49,65,25,45,47,69,21,1
35,58,31,34,57,62,30,26,62,30,60,56,33,60,33,59,64,28,64,28,34,30,31,59,60,30,35,56,64,26,7
34,58,30,34,58,72,21,19,72,21,71,56,32,60,32,60,73,20,73,20,34,21,30,60,71,21,34,56,73,19,4
30,61,26,31,62,67,26,24,67,26,66,59,28,63,28,64,68,25,68,25,31,26,26,64,66,26,30,59,68,24,3
39,53,35,39,53,71,22,20,71,22,70,51,37,55,37,55,72,21,72,21,39,22,35,55,70,22,39,51,72,20,4
41,51,35,40,50,69,24,22,69,24,68,48,38,54,38,53,70,23,70,23,40,24,35,53,68,24,41,48,70,22,5
48,45,46,48,45,68,26,22,67,24,66,44,47,46,47,46,70,24,68,23,48,26,46,46,66,25,48,44,69,22,6
46,45,42,47,46,68,27,25,67,25,67,43,44,47,44,48,69,26,67,25,47,27,42,48,67,26,46,43,68,25,6
35,56,29,35,56,69,24,22,69,24,68,53,32,59,32,59,70,23,70,23,35,24,29,59,68,24,35,53,70,22,3
35,56,33,37,57,74,19,17,74,19,73,55,34,57,35,59,75,18,75,18,37,19,33,58,73,19,36,55,75,17,2
39,54,37,38,54,69,23,22,69,24,68,53,38,55,38,55,70,23,70,23,39,24,37,55,68,24,39,53,70,22,4
31,61,27,31,61,67,26,24,67,26,66,59,29,63,29,63,68,25,68,25,31,26,27,63,66,26,31,59,68,24,4
42,49,36,42,49,72,20,16,72,20,70,46,39,52,39,52,74,18,74,18,42,20,36,52,70,20,42,46,74,16,3
42,49,38,43,49,73,20,18,73,20,72,47,40,51,41,52,74,19,74,19,43,20,38,51,72,20,43,47,74,18,3
39,53,35,38,53,71,21,20,71,22,70,51,37,55,37,55,72,21,72,21,39,22,35,55,70,22,39,51,72,20,4
32,60,28,32,60,64,28,24,64,28,62,58,30,62,30,62,66,26,66,26,32,28,28,62,62,28,32,58,66,24,3
31,62,27,29,61,62,29,26,62,30,60,60,29,64,29,63,64,28,64,28,30,30,27,63,60,30,31,60,64,26,6
35,55,30,35,55,68,24,23,68,25,67,52,32,58,33,59,69,24,69,24,36,25,30,58,67,25,36,53,69,23,6
42,49,36,41,49,69,23,22,69,24,68,46,39,52,39,52,70,23,70,23,42,24,36,52,68,24,42,46,70,22,7
39,53,35,39,53,63,28,24,63,28,61,51,37,55,37,55,66,25,66,25,39,28,35,55,63,28,39,51,66,25,5
35,57,31,35,57,73,21,18,72,20,71,55,33,59,33,59,74,19,73,19,35,21,31,59,71,20,35,55,74,18,4
31,60,25,30,60,68,24,23,68,25,67,57,28,63,28,63,69,24,69,24,31,25,25,63,67,25,31,57,69,23,4
39,53,35,38,53,55,36,33,55,37,53,51,37,55,37,55,57,35,57,35,39,37,35,55,53,37,39,51,57,33,1
38,54,34,38,54,71,22,20,71,22,70,52,36,56,36,56,72,21,72,21,38,22,34,56,70,22,38,52,72,20,6
52,41,50,51,41,73,19,18,73,20,72,40,51,42,51,42,74,19,74,19,52,20,50,42,72,20,52,40,74,18,3
46,47,44,46,47,71,23,19,70,21,69,46,45,48,45,48,73,21,71,20,46,23,44,48,69,22,46,46,72,19,5
29,62,26,29,62,74,18,17,74,19,73,60,27,64,28,65,75,18,75,18,30,19,26,64,73,19,30,61,75,17,7
39,53,35,39,53,66,27,25,66,27,65,51,37,55,37,55,67,26,67,26,39,27,35,55,65,27,39,51,67,25,2
38,54,34,38,54,64,29,24,63,28,61,52,36,56,36,56,66,26,65,26,38,29,34,56,61,28,38,52,66,24,1
34,58,30,33,58,67,25,24,67,26,66,56,32,60,32,60,68,25,68,25,34,26,30,60,66,26,34,56,68,24,4
36,56,32,36,56,68,25,23,68,25,67,54,34,58,34,58,69,24,69,24,36,25,32,58,67,25,36,54,69,23,4
31,61,27,30,61,56,35,32,56,36,54,59,29,63,29,63,58,34,58,34,31,36,27,63,54,36,31,59,58,32,2
35,57,31,34,57,65,28,26,64,28,63,55,33,59,33,59,66,27,65,27,35,29,31,59,63,28,35,55,66,26,5
43,47,39,45,48,69,24,22,69,24,68,45,41,49,42,51,70,23,70,23,45,24,39,50,68,24,44,45,70,22,6
37,54,31,36,54,69,23,22,69,24,68,51,34,57,34,57,70,23,70,23,37,24,31,57,68,24,37,51,70,22,5
