@relation 'Sax dominant'

@attribute o1atMaa numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMaa numeric
@attribute o2atLcc numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMca numeric
@attribute o2atLca numeric
@attribute o2atMac numeric
@attribute o2atLac numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMaa numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atLcc numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMca numeric
@attribute o3atLca numeric
@attribute destClass {1,-1}

@data
9,9,20,19,11,21,21,10,21,9,9,20,11,10,10,10,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,3,26,27,1,27,4,0,31,0,30,0,26,4,27,0,-1.0
0,1,28,30,1,31,29,2,29,2,0,30,1,2,0,2,28,31,0,1,29,2,29,2,0,31,0,31,0,2,0,2,30,31,0,0,1,0,31,0,31,1,30,0,0,31,0,0,1.0
22,6,23,7,22,8,24,6,24,7,23,8,23,7,23,7,1,30,0,29,2,30,1,29,1,31,0,30,0,29,1,30,12,17,12,13,18,12,18,17,13,17,13,17,12,18,13,18,1.0
21,7,22,8,22,9,23,8,23,7,21,9,22,8,22,8,5,29,1,25,6,26,5,25,2,30,1,29,1,25,2,26,27,14,15,16,3,16,15,2,28,2,28,3,15,15,16,3,1.0
0,25,3,30,0,31,5,26,4,26,0,30,1,27,0,26,29,2,28,1,29,1,30,2,28,2,29,3,29,2,28,1,18,13,17,18,13,17,13,12,19,13,18,12,18,14,17,12,1.0
13,13,15,15,15,17,17,15,16,13,13,16,15,15,14,14,2,29,1,28,2,28,3,29,1,29,2,30,2,29,1,28,30,0,30,31,1,30,0,0,31,0,30,0,30,1,30,0,-1.0
12,11,18,16,14,18,19,12,19,11,12,17,14,12,13,12,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,13,16,17,1,17,14,0,31,0,30,0,16,14,17,0,1.0
21,1,28,7,22,9,29,1,29,2,22,8,23,2,22,2,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,17,13,16,17,13,17,14,12,18,12,18,13,16,14,17,13,1.0
21,0,29,8,22,9,30,1,30,1,22,9,22,1,22,1,2,29,1,28,3,29,2,28,2,30,1,29,1,28,2,29,11,19,10,11,19,11,20,18,12,18,12,19,10,20,11,19,1.0
20,1,28,8,21,10,29,1,29,2,21,9,22,2,21,2,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,17,13,16,17,13,17,14,12,18,12,18,13,16,14,17,13,1.0
16,10,18,12,18,14,20,12,19,10,16,13,18,12,17,11,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,28,2,27,28,2,28,3,1,29,1,29,2,27,3,28,2,-1.0
12,11,18,16,14,18,19,12,19,11,12,17,14,12,13,12,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,14,15,16,1,16,15,0,31,0,30,0,15,15,16,0,1.0
22,7,22,7,22,8,23,7,23,7,22,8,23,8,23,8,0,30,0,30,1,30,0,30,0,31,0,30,0,30,1,31,15,15,14,15,15,15,16,14,16,14,16,15,14,16,15,15,1.0
0,25,3,30,0,31,5,26,4,26,0,30,1,27,0,26,29,1,29,1,29,1,30,1,29,1,29,2,30,2,29,1,16,14,16,17,15,16,14,14,17,14,16,14,16,15,16,14,1.0
22,7,22,7,22,8,23,7,23,7,22,8,23,8,23,8,16,27,3,14,17,15,16,14,4,28,3,27,3,14,4,15,23,20,9,10,7,10,21,6,24,6,24,7,9,21,10,7,1.0
21,7,22,8,22,9,23,8,23,7,21,9,22,8,22,8,7,31,0,23,8,24,7,23,0,31,0,31,0,23,0,24,29,13,16,17,1,17,14,0,30,0,30,1,16,14,17,1,1.0
21,7,22,8,22,9,23,8,23,7,21,9,22,8,22,8,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,16,14,15,16,14,16,15,13,17,13,17,14,15,15,16,14,1.0
13,11,18,15,15,17,19,12,19,11,13,16,15,12,14,12,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,14,15,16,1,16,15,0,31,0,30,0,15,15,16,0,1.0
20,2,26,8,21,10,28,3,27,3,21,9,22,4,21,3,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,20,10,19,20,10,20,11,9,21,9,21,10,19,11,20,10,1.0
11,14,15,17,13,19,16,15,16,14,11,18,13,15,12,15,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,14,15,16,1,16,15,0,31,0,30,0,15,15,16,0,1.0
6,20,8,22,7,24,10,21,9,21,7,23,8,22,7,21,30,1,29,0,30,0,31,1,29,1,30,2,30,1,29,0,13,18,12,13,18,12,18,17,14,18,13,17,13,19,12,17,1.0
0,0,29,30,1,31,30,1,30,1,0,30,1,1,0,1,29,31,0,0,30,1,30,1,0,31,0,31,0,1,0,1,30,31,0,0,1,0,31,0,31,1,30,0,0,31,0,0,1.0
21,7,22,7,22,9,23,7,23,7,21,8,23,8,22,8,9,31,0,21,10,22,9,21,0,31,0,31,0,21,0,22,29,14,15,16,1,16,15,0,30,0,30,1,15,15,16,1,1.0
13,11,18,15,15,17,19,12,19,11,13,16,15,12,14,12,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,13,16,17,1,17,14,0,31,0,30,0,16,14,17,0,1.0
0,25,3,30,0,31,5,26,4,26,0,30,1,27,0,26,29,1,29,1,29,1,30,1,29,1,29,2,30,2,29,1,17,14,16,17,14,16,14,13,18,14,17,13,17,15,16,13,1.0
21,7,22,8,22,9,23,8,23,7,21,9,22,8,22,8,1,30,0,29,2,30,1,29,1,31,0,30,0,29,1,30,10,19,10,11,20,10,20,19,11,19,11,19,10,20,11,20,1.0
6,14,13,23,6,24,15,15,15,16,7,24,7,16,7,16,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,1,30,0,1,30,0,30,29,2,30,1,29,1,31,0,29,-1.0
19,7,21,9,20,11,23,8,22,8,20,10,21,9,20,8,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,22,8,21,22,8,22,9,7,23,7,23,8,21,9,22,8,1.0
0,26,2,30,0,31,4,27,3,27,0,30,1,28,0,27,29,2,28,1,29,1,30,2,28,2,29,3,29,2,28,1,18,12,18,19,13,18,12,12,19,12,18,12,18,13,18,12,1.0
22,0,29,7,23,8,30,1,30,1,23,8,23,1,23,1,3,28,2,27,4,28,3,27,3,29,2,28,2,27,3,28,8,22,7,8,22,8,23,21,9,21,9,22,7,23,8,22,1.0
5,21,7,23,6,25,9,22,8,22,6,24,7,23,6,22,31,0,30,0,31,0,31,0,30,0,31,1,31,0,30,0,11,20,10,11,20,10,20,19,12,20,11,19,11,21,10,19,1.0
22,0,29,7,22,8,30,0,30,1,23,8,23,1,23,1,3,29,1,27,4,28,3,27,2,30,1,29,1,27,2,28,11,19,10,11,19,11,20,18,12,18,12,19,10,20,11,19,1.0
0,25,3,30,0,31,5,26,4,26,0,30,1,27,0,26,30,1,29,0,30,0,31,1,29,1,30,2,30,1,29,0,18,12,18,19,13,18,12,12,19,12,18,12,18,13,18,12,1.0
0,0,29,30,1,31,30,1,30,1,0,30,1,1,0,1,29,31,0,0,30,1,30,1,0,31,0,31,0,1,0,1,30,31,0,0,1,0,31,0,31,1,30,0,0,31,0,0,1.0
11,13,16,17,12,19,17,13,17,14,12,18,13,14,12,14,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,10,19,20,1,20,11,0,31,0,30,0,19,11,20,0,1.0
0,20,7,30,0,31,9,21,9,22,0,30,1,22,0,22,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,12,19,11,12,19,11,19,18,13,19,12,18,12,20,11,18,1.0
21,7,22,8,22,9,23,8,23,7,21,9,22,8,22,8,6,31,0,24,7,25,6,24,0,31,0,31,0,24,0,25,29,14,15,16,1,16,15,0,30,0,30,1,15,15,16,1,1.0
7,0,31,22,8,23,31,0,31,0,8,23,8,0,8,0,31,0,30,0,31,0,31,0,31,1,30,0,30,0,31,0,4,31,0,0,27,0,31,26,5,27,4,26,0,31,0,26,-1.0
12,14,15,16,14,18,16,15,16,14,12,17,14,15,13,15,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,20,9,10,1,10,21,0,31,0,30,0,9,21,10,0,1.0
19,7,22,9,21,11,23,8,23,8,20,10,21,8,20,8,6,31,0,23,7,24,7,24,0,31,0,31,0,24,0,24,30,11,18,19,1,19,12,0,31,0,30,0,18,12,19,0,1.0
17,9,19,11,19,13,21,11,20,9,17,12,19,11,18,10,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,27,3,26,27,3,27,4,2,28,2,28,3,26,4,27,3,-1.0
20,6,23,8,22,10,24,7,24,7,21,9,22,7,21,7,15,31,0,15,16,16,15,15,0,31,0,31,0,15,0,16,28,13,16,17,2,17,14,1,29,1,29,2,16,14,17,2,1.0
21,7,22,8,22,9,23,8,23,7,21,9,22,8,22,8,5,31,0,25,6,26,5,25,0,31,0,31,0,25,0,26,30,12,17,18,1,18,13,0,31,0,30,0,17,13,18,0,1.0
8,10,19,20,10,22,20,11,20,11,9,21,10,11,9,11,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,3,26,27,1,27,4,0,31,0,30,0,26,4,27,0,-1.0
0,0,29,30,1,31,30,1,30,1,0,30,1,1,0,1,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,31,0,0,1,0,31,0,31,1,30,0,0,31,0,0,1.0
6,21,7,22,7,24,9,22,8,21,6,23,8,23,7,22,30,1,29,0,30,0,31,1,29,1,30,2,30,1,29,0,16,15,15,16,15,15,15,14,17,15,16,14,16,16,15,14,1.0
21,7,22,8,22,9,23,8,23,7,21,9,22,8,22,8,26,29,1,4,27,5,26,4,2,30,1,29,1,4,2,5,24,20,9,10,6,10,21,5,25,5,25,6,9,21,10,6,1.0
20,7,22,8,21,10,23,7,23,8,21,9,22,8,21,8,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,16,14,15,16,14,16,15,13,17,13,17,14,15,15,16,14,1.0
6,21,7,22,7,24,9,22,8,21,6,23,8,23,7,22,31,0,30,0,31,0,31,0,30,0,31,1,31,0,30,0,19,17,13,14,11,13,17,9,21,10,20,10,13,18,13,10,1.0
12,11,18,16,14,18,19,12,19,12,13,17,14,12,13,12,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,11,18,19,1,19,12,0,31,0,30,0,18,12,19,0,1.0
21,0,29,7,23,9,30,1,30,1,22,8,23,1,22,1,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,16,14,15,16,14,16,15,13,17,13,17,14,15,15,16,14,1.0
4,21,6,23,5,25,8,22,8,22,5,25,6,23,6,23,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,10,20,10,11,21,10,20,20,11,20,10,20,10,21,10,20,1.0
22,0,29,7,22,8,30,0,30,1,23,8,23,1,23,1,1,30,0,29,2,30,1,29,1,31,0,30,0,29,1,30,14,16,13,14,16,14,17,15,15,15,15,16,13,17,14,16,1.0
0,25,3,30,0,31,5,26,4,26,0,30,1,27,0,26,28,2,28,2,28,2,29,2,28,2,28,3,29,3,28,2,18,12,18,19,13,18,12,12,19,12,18,12,18,13,18,12,1.0
0,25,3,30,0,31,5,26,4,26,0,30,1,27,0,26,30,1,29,0,30,0,31,1,29,1,30,2,30,1,29,0,16,15,15,16,15,15,15,14,17,15,16,14,16,16,15,14,1.0
6,21,7,22,7,24,9,22,8,21,6,23,8,23,7,22,28,2,28,2,28,2,29,2,28,2,28,3,29,3,28,2,14,17,13,14,17,13,17,16,15,17,14,16,14,18,13,16,1.0
0,21,7,30,0,31,9,22,8,22,0,30,1,23,0,22,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,13,17,13,14,18,13,17,17,14,17,13,17,13,18,13,17,1.0
0,24,4,30,0,31,6,25,5,25,0,30,1,26,0,25,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,12,19,11,12,19,11,19,18,13,19,12,18,12,20,11,18,1.0
0,22,6,30,0,31,8,23,7,23,0,30,1,24,0,23,29,2,28,1,29,1,30,2,28,2,29,3,29,2,28,1,14,16,14,15,17,14,16,16,15,16,14,16,14,17,14,16,1.0
21,0,29,8,22,9,30,1,30,1,22,9,22,1,22,1,0,31,0,30,1,31,0,30,0,31,0,31,0,30,0,31,16,14,15,16,14,16,15,13,17,13,17,14,15,15,16,14,1.0
20,0,29,8,22,10,30,1,30,1,21,9,22,1,21,1,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,16,13,16,17,14,16,14,13,17,13,17,13,16,14,17,14,1.0
21,6,23,8,22,9,24,7,24,7,22,9,22,7,22,7,3,28,2,27,4,28,3,27,3,29,2,28,2,27,3,28,10,19,10,11,20,10,20,19,11,19,11,19,10,20,11,20,1.0
0,22,6,30,0,31,8,23,7,23,0,30,1,24,0,23,29,1,29,1,29,1,30,1,29,1,29,2,30,2,29,1,16,15,15,16,15,15,15,14,17,15,16,14,16,16,15,14,1.0
22,0,31,7,23,8,31,0,31,0,23,8,23,0,23,0,2,29,1,28,3,29,2,28,2,30,1,29,1,28,2,29,8,21,8,9,22,8,22,21,9,21,9,21,8,22,9,22,1.0
20,7,21,8,21,10,23,8,22,7,20,9,22,9,21,8,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,18,12,17,18,12,18,13,11,19,11,19,12,17,13,18,12,1.0
12,11,18,16,13,18,19,11,19,12,13,17,14,12,13,12,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,10,19,20,1,20,11,0,31,0,30,0,19,11,20,0,1.0
0,20,8,30,0,31,10,21,9,21,0,30,1,22,0,21,31,0,30,0,31,0,31,0,30,0,31,1,31,0,30,0,13,18,12,13,18,12,18,17,14,18,13,17,13,19,12,17,1.0
6,21,7,22,7,24,9,22,8,21,6,23,8,23,7,22,30,0,30,0,30,0,31,0,30,0,30,1,31,1,30,0,14,17,13,14,17,13,17,16,15,17,14,16,14,18,13,16,1.0
21,7,22,8,21,9,23,7,23,8,22,9,22,8,22,8,6,29,1,24,7,25,6,24,2,30,1,29,1,24,2,25,29,13,16,17,1,17,14,0,30,0,30,1,16,14,17,1,1.0
0,21,7,30,0,31,9,22,8,22,0,30,1,23,0,22,30,0,30,0,30,0,31,0,30,0,30,1,31,1,30,0,18,12,18,19,13,18,12,12,19,12,18,12,18,13,18,12,1.0
13,11,18,15,15,17,19,12,19,11,13,16,15,12,14,12,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,14,15,16,1,16,15,0,31,0,30,0,15,15,16,0,1.0
21,7,22,8,22,9,23,8,23,7,21,9,22,8,22,8,13,28,2,17,14,18,13,17,3,29,2,28,2,17,3,18,25,18,11,12,5,12,19,4,26,4,26,5,11,19,12,5,1.0
0,19,8,29,0,30,10,20,10,21,1,30,1,21,1,21,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,11,19,11,12,20,11,19,19,12,19,11,19,11,20,11,19,1.0
0,21,7,30,0,31,9,22,8,22,0,30,1,23,0,22,31,0,30,0,31,0,31,0,30,0,31,1,31,0,30,0,12,19,11,12,19,11,19,18,13,19,12,18,12,20,11,18,1.0
21,6,23,8,22,9,24,7,24,7,22,9,22,7,22,7,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,15,15,14,15,15,15,16,14,16,14,16,15,14,16,15,15,1.0
6,19,8,21,6,23,10,19,10,21,8,23,8,21,8,21,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,8,23,7,8,23,7,23,22,9,23,8,22,8,24,7,22,1.0
22,7,22,7,22,8,23,7,23,7,22,8,23,8,23,8,20,28,2,10,21,11,20,10,3,29,2,28,2,10,3,11,24,20,9,10,6,10,21,5,25,5,25,6,9,21,10,6,1.0
13,11,18,15,15,17,19,12,19,11,13,16,15,12,14,12,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,12,17,18,1,18,13,0,31,0,30,0,17,13,18,0,1.0
21,7,22,8,21,9,23,7,23,8,22,9,22,8,22,8,10,31,0,20,11,21,10,20,0,31,0,31,0,20,0,21,29,14,15,16,1,16,15,0,30,0,30,1,15,15,16,1,1.0
13,14,15,15,15,17,16,15,16,14,13,16,15,15,14,15,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,20,9,10,1,10,21,0,31,0,30,0,9,21,10,0,1.0
0,0,29,30,1,31,30,1,30,1,0,30,1,1,0,1,28,31,0,1,29,2,29,2,0,31,0,31,0,2,0,2,30,31,0,0,1,0,31,0,31,1,30,0,0,31,0,0,1.0
20,0,29,8,22,10,30,1,30,1,21,9,22,1,21,1,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,17,13,16,17,13,17,14,12,18,12,18,13,16,14,17,13,1.0
0,21,7,30,0,31,9,22,8,22,0,30,1,23,0,22,30,1,29,0,30,0,31,1,29,1,30,2,30,1,29,0,19,11,19,20,12,19,11,11,20,11,19,11,19,12,19,11,1.0
12,11,18,16,14,18,19,12,19,11,12,17,14,12,13,12,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,6,23,24,1,24,7,0,31,0,30,0,23,7,24,0,1.0
17,9,19,11,18,13,21,10,20,10,18,12,19,11,18,10,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,27,3,26,27,3,27,4,2,28,2,28,3,26,4,27,3,-1.0
21,7,22,8,21,9,23,7,23,8,22,9,22,8,22,8,11,31,0,19,12,20,11,19,0,31,0,31,0,19,0,20,29,14,15,16,1,16,15,0,30,0,30,1,15,15,16,1,1.0
18,2,26,10,20,12,28,4,27,3,19,11,20,4,19,3,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,21,8,21,22,9,21,9,8,22,8,22,8,21,9,22,9,1.0
19,7,22,9,20,11,23,7,23,8,20,10,21,8,20,8,19,31,0,11,20,12,19,11,0,31,0,31,0,11,0,12,29,12,17,18,1,18,13,0,30,0,30,1,17,13,18,1,1.0
21,7,22,8,22,9,23,8,23,7,21,9,22,8,22,8,22,30,0,8,23,9,22,8,1,31,0,30,0,8,1,9,26,19,10,11,4,11,20,3,27,3,27,4,10,20,11,4,1.0
6,20,8,22,7,24,10,21,9,21,7,23,8,22,7,21,30,0,30,0,30,0,31,0,30,0,30,1,31,1,30,0,15,17,13,14,15,13,17,13,17,14,16,14,13,18,13,14,1.0
0,21,7,30,0,31,9,22,8,22,0,30,1,23,0,22,29,1,29,1,29,1,30,1,29,1,29,2,30,2,29,1,13,17,13,14,18,13,17,17,14,17,13,17,13,18,13,17,1.0
12,11,18,16,14,18,19,12,19,11,12,17,14,12,13,12,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,13,16,17,1,17,14,0,31,0,30,0,16,14,17,0,1.0
12,11,18,16,14,18,19,12,19,11,12,17,14,12,13,12,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,13,16,17,1,17,14,0,31,0,30,0,16,14,17,0,1.0
22,0,29,7,23,8,30,1,30,1,23,8,23,1,23,1,0,31,0,30,1,31,0,30,0,31,0,31,0,30,0,31,15,15,14,15,15,15,16,14,16,14,16,15,14,16,15,15,1.0
22,0,29,7,22,8,30,0,30,1,23,8,23,1,23,1,2,29,1,28,3,29,2,28,2,30,1,29,1,28,2,29,11,19,10,11,19,11,20,18,12,18,12,19,10,20,11,19,1.0
22,7,22,7,22,8,23,7,23,7,22,8,23,8,23,8,17,31,0,13,18,14,17,13,0,31,0,31,0,13,0,14,27,17,12,13,3,13,18,2,28,2,28,3,12,18,13,3,1.0
22,1,28,7,22,8,29,1,29,2,23,8,23,2,23,2,2,29,1,28,3,29,2,28,2,30,1,29,1,28,2,29,14,16,13,14,16,14,17,15,15,15,15,16,13,17,14,16,1.0
0,1,28,30,1,31,29,2,29,2,0,30,1,2,0,2,28,31,0,1,29,2,29,2,0,31,0,31,0,2,0,2,30,31,0,0,1,0,31,0,31,1,30,0,0,31,0,0,1.0
5,21,7,23,6,25,9,22,8,22,6,24,7,23,6,22,27,3,27,3,27,3,28,3,27,3,27,4,28,4,27,3,18,13,17,18,13,17,13,12,19,13,18,12,18,14,17,12,1.0
0,1,26,30,1,31,28,3,28,3,0,30,1,3,0,3,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,31,0,0,1,0,31,0,31,1,30,0,0,31,0,0,-1.0
22,0,29,7,23,8,30,1,30,1,23,8,23,1,23,1,1,30,0,29,2,30,1,29,1,31,0,30,0,29,1,30,15,15,14,15,15,15,16,14,16,14,16,15,14,16,15,15,1.0
18,5,23,10,19,12,25,6,24,6,19,11,20,7,19,6,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,27,3,26,27,3,27,4,2,28,2,28,3,26,4,27,3,-1.0
21,7,22,8,21,9,23,7,23,8,22,9,22,8,22,8,2,29,1,28,3,29,2,28,2,30,1,29,1,28,2,29,8,21,8,9,22,8,22,21,9,21,9,21,8,22,9,22,1.0
22,0,31,7,23,8,31,0,31,0,23,8,23,0,23,0,1,31,0,29,2,30,1,29,0,31,0,31,0,29,0,30,9,21,8,9,21,9,22,20,10,20,10,21,8,22,9,21,1.0
7,1,26,20,9,22,28,3,28,2,8,22,9,3,9,3,31,5,12,0,31,0,31,0,19,12,19,12,19,0,19,0,30,26,4,5,1,4,26,0,31,1,30,0,5,27,4,0,1.0
22,7,22,7,22,8,23,7,23,7,22,8,23,8,23,8,31,27,3,0,31,0,31,0,4,28,3,27,3,0,4,0,30,24,5,6,1,6,25,0,31,0,30,0,5,25,6,0,1.0
21,1,28,7,22,9,29,1,29,2,22,8,23,2,22,2,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,19,10,19,20,11,19,11,10,20,10,20,10,19,11,20,11,1.0
13,13,16,15,15,17,17,14,17,13,13,16,15,14,14,14,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,21,8,9,1,9,22,0,31,0,30,0,8,22,9,0,1.0
5,22,6,23,6,25,8,23,7,22,5,24,7,24,6,23,29,1,29,1,29,1,30,1,29,1,29,2,30,2,29,1,16,15,15,16,15,15,15,14,17,15,16,14,16,16,15,14,1.0
20,6,23,8,22,10,24,7,24,7,21,9,22,7,21,7,8,31,0,22,9,23,8,22,0,31,0,31,0,22,0,23,29,13,16,17,1,17,14,0,30,0,30,1,16,14,17,1,1.0
8,10,19,20,10,22,20,11,20,11,9,21,10,11,9,11,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,3,26,27,1,27,4,0,31,0,30,0,26,4,27,0,-1.0
14,13,15,14,15,16,17,14,16,13,14,15,16,15,15,14,0,30,0,30,0,30,1,30,0,30,0,31,1,31,0,30,30,0,30,31,1,30,0,0,31,0,30,0,30,1,30,0,-1.0
0,21,7,30,0,31,9,22,8,22,0,30,1,23,0,22,28,3,27,2,28,2,29,3,27,3,28,4,28,3,27,2,22,9,21,22,9,21,9,8,23,9,22,8,22,10,21,8,1.0
21,7,22,8,22,9,23,8,23,7,21,9,22,8,22,8,1,29,1,29,2,29,1,29,1,30,1,29,1,29,2,30,13,17,12,13,17,13,18,16,14,16,14,17,12,18,13,17,1.0
12,12,17,16,14,18,18,13,18,13,13,17,14,13,13,13,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,16,13,14,1,14,17,0,31,0,30,0,13,17,14,0,1.0
17,8,20,11,19,13,22,10,21,8,17,12,19,10,18,9,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,27,3,26,27,3,27,4,2,28,2,28,3,26,4,27,3,-1.0
17,9,19,11,18,13,21,10,20,10,18,12,19,11,18,10,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,26,3,26,27,4,26,4,3,27,3,27,3,26,4,27,4,-1.0
21,7,22,8,21,9,23,7,23,8,22,9,22,8,22,8,9,31,0,21,10,22,9,21,0,31,0,31,0,21,0,22,29,14,15,16,1,16,15,0,30,0,30,1,15,15,16,1,1.0
19,7,21,9,20,11,23,8,22,8,20,10,21,9,20,8,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,18,11,18,19,12,18,12,11,19,11,19,11,18,12,19,12,1.0
12,11,18,16,14,18,19,12,19,12,13,17,14,12,13,12,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,11,18,19,1,19,12,0,31,0,30,0,18,12,19,0,1.0
21,7,22,8,22,9,23,8,23,7,21,9,22,8,22,8,15,28,2,15,16,16,15,15,3,29,2,28,2,15,3,16,25,19,10,11,5,11,20,4,26,4,26,5,10,20,11,5,1.0
12,12,17,16,14,18,18,13,18,12,12,17,14,13,13,13,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,10,19,20,1,20,11,0,31,0,30,0,19,11,20,0,1.0
22,0,29,7,22,8,30,0,30,1,23,8,23,1,23,1,1,30,0,29,2,30,1,29,1,31,0,30,0,29,1,30,13,17,12,13,17,13,18,16,14,16,14,17,12,18,13,17,1.0
0,26,2,30,0,31,4,27,3,27,0,30,1,28,0,27,29,2,28,1,29,1,30,2,28,2,29,3,29,2,28,1,18,12,18,19,13,18,12,12,19,12,18,12,18,13,18,12,1.0
12,11,18,16,14,18,19,12,19,12,13,17,14,12,13,12,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,12,17,18,1,18,13,0,31,0,30,0,17,13,18,0,1.0
19,7,22,9,21,11,23,8,23,8,20,10,21,8,20,8,5,31,0,24,6,25,6,25,0,31,0,31,0,25,0,25,30,11,18,19,1,19,12,0,31,0,30,0,18,12,19,0,1.0
20,7,22,8,21,10,23,7,23,8,21,9,22,8,21,8,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,12,17,12,13,18,12,18,17,13,17,13,17,12,18,13,18,1.0
20,7,22,8,21,10,23,7,23,8,21,9,22,8,21,8,10,31,0,20,11,21,10,20,0,31,0,31,0,20,0,21,30,14,15,16,1,16,15,0,31,0,30,0,15,15,16,0,1.0
12,12,17,16,14,18,18,13,18,12,12,17,14,13,13,13,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,22,7,8,1,8,23,0,31,0,30,0,7,23,8,0,1.0
20,1,27,8,21,10,29,2,28,2,21,9,22,3,21,2,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,18,11,18,19,12,18,12,11,19,11,19,11,18,12,19,12,1.0
13,11,18,15,15,17,19,12,19,11,13,16,15,12,14,12,31,31,0,0,31,0,31,0,0,31,0,31,0,0,0,0,30,14,15,16,1,16,15,0,31,0,30,0,15,15,16,0,1.0
21,7,22,8,21,9,23,7,23,8,22,9,22,8,22,8,0,30,0,30,1,30,0,30,0,31,0,30,0,30,1,31,12,17,12,13,18,12,18,17,13,17,13,17,12,18,13,18,1.0
11,11,17,17,12,19,19,12,18,12,12,18,13,13,12,12,2,29,1,28,2,28,3,29,1,29,2,30,2,29,1,28,30,0,30,31,1,30,0,0,31,0,30,0,30,1,30,0,-1.0
