@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute destClass {1,3,2}

@data
2,5,0,91,80,8,0,1,92,1,9,0,93,3,81,8,1,91,81,8,0,9,85,5,85,4,78,90,1,9,0,92,0,93,1,9,85,4,1,8,0,9,0,9,1.0
25,9,23,56,65,16,6,19,56,19,18,7,69,6,67,16,23,51,67,10,12,18,76,9,76,7,59,44,23,16,12,69,12,69,25,18,76,7,25,12,12,18,7,18,2.0
13,8,11,73,76,11,1,11,74,11,12,3,82,6,78,11,12,72,78,10,4,12,82,8,82,7,74,67,12,12,4,81,4,82,12,12,82,6,12,10,4,12,3,12,2.0
17,5,16,68,77,9,4,15,68,15,10,4,77,2,79,9,16,64,79,7,8,10,84,5,84,4,75,59,16,9,8,77,8,77,17,10,84,3,17,8,8,10,4,10,2.0
7,6,6,83,76,10,1,6,84,6,11,1,88,4,78,11,6,82,78,10,2,11,83,6,83,5,73,79,6,11,2,87,2,88,6,11,83,4,6,10,2,11,1,11,1.0
20,7,18,64,76,10,5,18,65,18,11,5,75,4,79,10,19,60,79,9,9,11,83,7,83,6,75,54,19,11,9,74,9,75,19,11,83,4,19,9,9,11,5,11,3.0
27,9,26,54,62,17,5,20,54,21,19,6,67,5,65,18,25,46,65,13,14,19,75,9,75,8,56,42,25,17,14,67,12,67,27,19,75,6,27,13,14,19,6,19,3.0
25,11,23,57,68,16,6,21,58,21,18,7,70,9,69,17,23,52,69,13,12,18,76,11,76,9,63,46,23,17,12,69,12,70,24,18,76,10,24,14,12,18,7,18,1.0
25,10,24,56,58,18,4,16,56,17,21,5,69,5,62,20,22,49,62,13,12,21,73,10,73,8,52,44,22,18,12,69,9,69,25,21,73,6,25,13,12,21,5,21,3.0
6,6,5,85,74,11,0,4,86,4,12,0,89,4,76,12,5,83,76,10,2,12,82,6,82,5,70,82,5,12,2,88,2,89,5,12,82,4,5,10,2,12,0,12,1.0
3,6,2,89,78,9,0,2,90,2,10,0,92,4,80,10,2,89,80,9,0,10,84,6,84,5,76,87,2,10,0,91,0,92,2,10,84,4,2,9,0,10,0,10,3.0
19,9,17,67,74,12,6,17,68,17,13,6,76,6,77,12,18,63,77,11,10,13,81,9,81,8,73,59,18,13,10,75,10,76,18,13,81,6,18,11,10,13,6,13,3.0
12,9,10,75,74,12,3,10,76,10,13,4,83,6,77,12,11,75,77,11,4,13,81,9,81,8,73,69,11,13,4,82,4,83,11,13,81,6,11,11,4,13,4,13,2.0
9,4,8,80,81,7,1,8,81,8,8,1,86,2,82,8,8,78,82,7,3,8,86,4,86,3,79,75,8,8,3,85,3,86,8,8,86,3,8,7,3,8,1,8,2.0
26,10,25,56,66,16,6,18,56,19,18,6,68,8,68,17,24,48,68,11,14,18,76,10,76,9,60,44,24,16,14,68,12,68,26,18,76,8,26,11,14,18,6,18,3.0
26,10,25,55,66,17,4,19,55,19,18,5,68,8,68,17,25,47,68,11,13,18,76,10,76,9,60,43,25,17,13,68,12,68,26,18,76,8,26,11,13,18,5,18,2.0
28,9,26,53,64,16,6,20,53,21,18,7,66,5,67,16,26,45,67,11,15,18,76,9,76,8,59,41,26,16,15,66,13,66,28,18,76,6,28,11,15,18,7,18,2.0
3,5,2,89,78,9,0,2,90,2,10,0,92,3,79,10,2,89,79,9,0,10,84,5,84,4,75,87,2,10,0,91,0,92,2,10,84,4,2,9,0,10,0,10,3.0
26,9,25,55,57,19,4,17,55,17,21,5,68,4,61,20,24,47,61,12,13,21,73,9,73,7,50,43,24,19,13,68,11,68,26,21,73,5,26,12,13,21,5,21,3.0
22,4,22,60,76,10,3,18,60,18,11,4,72,2,76,11,21,54,76,7,10,11,83,4,83,3,71,49,21,10,10,72,9,72,22,11,83,4,22,7,10,11,4,11,2.0
18,5,17,66,77,9,4,16,66,16,10,4,76,2,79,9,17,62,79,7,8,10,84,5,84,4,75,56,17,9,8,76,8,76,18,10,84,3,18,8,8,10,4,10,3.0
18,9,16,68,74,12,5,16,69,16,13,5,77,6,77,12,17,64,77,11,9,13,81,9,81,8,73,60,17,13,9,76,9,77,17,13,81,6,17,11,9,13,5,13,1.0
6,7,5,84,74,11,0,5,85,5,12,0,89,4,77,12,5,83,77,11,1,12,82,7,82,6,72,80,5,12,1,88,1,89,5,12,82,4,5,11,1,12,0,12,2.0
24,4,23,59,79,8,7,21,59,21,9,7,70,2,80,8,23,53,80,6,13,9,85,4,85,3,76,48,23,8,13,70,12,70,24,9,85,3,24,6,13,9,7,9,3.0
19,5,18,65,78,9,4,16,65,16,10,4,75,3,79,9,18,60,79,7,9,10,84,5,84,4,75,55,18,9,9,75,8,75,19,10,84,4,19,7,9,10,4,10,3.0
6,5,5,84,78,9,0,5,85,5,10,0,89,3,79,10,5,83,79,9,1,10,84,5,84,4,75,80,5,10,1,88,1,89,5,10,84,4,5,9,1,10,0,10,3.0
22,4,21,61,79,8,5,19,61,19,9,5,72,2,80,8,21,55,80,6,11,9,85,4,85,3,76,50,21,8,11,72,10,72,22,9,85,3,22,6,11,9,5,9,3.0
24,9,22,57,59,19,5,18,57,18,20,6,70,4,63,18,23,52,63,13,11,20,74,9,74,8,53,45,23,19,11,70,11,70,24,20,74,5,24,14,11,20,6,20,3.0
25,9,24,56,57,19,3,16,56,16,21,4,69,4,61,20,23,48,61,12,12,21,73,9,73,7,50,44,23,19,12,69,10,69,25,21,73,5,25,12,12,21,4,21,3.0
16,9,14,68,74,12,3,15,69,15,13,4,79,6,77,12,15,67,77,12,5,13,81,9,81,8,73,59,15,13,5,78,5,79,15,13,81,6,15,12,5,13,4,13,3.0
25,13,23,57,66,17,5,21,58,21,19,6,70,10,69,18,23,51,69,14,12,19,75,13,75,11,63,46,23,18,12,69,12,70,24,19,75,10,24,15,12,19,6,19,3.0
3,4,2,89,81,7,0,2,90,2,8,0,92,2,82,8,2,89,82,7,0,8,86,4,86,3,79,87,2,8,0,91,0,92,2,8,86,3,2,7,0,8,0,8,3.0
17,8,15,68,76,11,3,15,69,15,12,4,78,6,78,11,16,65,78,10,7,12,82,8,82,7,74,60,16,12,7,77,7,78,16,12,82,6,16,10,7,12,4,12,2.0
25,9,23,57,67,15,5,20,58,20,17,6,70,6,69,16,23,51,69,11,12,17,77,9,77,7,62,46,23,16,12,69,12,70,24,17,77,7,24,12,12,17,6,17,3.0
17,8,15,66,76,11,3,15,67,15,12,6,78,6,78,11,16,67,78,10,5,12,82,8,82,7,74,58,16,12,5,77,5,78,16,12,82,6,16,10,5,12,6,12,3.0
24,11,21,59,57,20,6,17,60,17,22,7,71,6,61,20,22,54,61,14,12,22,72,11,72,9,51,49,22,21,12,70,12,71,23,22,72,7,23,15,12,22,7,22,3.0
9,7,8,78,68,14,0,5,79,5,15,1,86,4,71,15,8,78,71,11,1,15,79,7,79,6,63,72,8,15,1,85,1,86,8,15,79,4,8,11,1,15,1,15,3.0
6,7,5,84,68,14,0,4,85,4,15,0,89,4,71,15,5,83,71,13,1,15,79,7,79,6,63,80,5,15,1,88,1,89,5,15,79,4,5,13,1,15,0,15,3.0
5,6,4,86,76,10,0,4,87,4,11,0,90,4,78,11,4,85,78,10,1,11,83,6,83,5,73,83,4,11,1,89,1,90,4,11,83,4,4,10,1,11,0,11,3.0
19,9,17,65,74,12,4,17,66,17,13,5,76,6,77,12,18,62,77,11,8,13,81,9,81,8,73,56,18,13,8,75,8,76,18,13,81,6,18,11,8,13,5,13,3.0
9,6,8,80,76,10,2,8,81,8,11,2,86,4,78,11,8,79,78,10,3,11,83,6,83,5,73,75,8,11,3,85,3,86,8,11,83,4,8,10,3,11,2,11,2.0
16,8,14,68,69,14,3,12,69,12,15,4,79,5,72,14,15,67,72,11,5,15,79,8,79,7,65,59,15,15,5,78,5,79,15,15,79,5,15,11,5,15,4,15,3.0
25,10,23,56,60,19,4,19,56,19,20,6,69,5,64,18,24,50,64,14,12,20,74,10,74,9,55,45,24,19,12,69,11,69,25,20,74,6,25,14,12,20,6,20,3.0
25,10,24,56,68,16,4,19,56,19,17,5,69,8,70,16,24,49,70,11,12,17,77,10,77,9,63,44,24,16,12,69,11,69,25,17,77,8,25,11,12,17,5,17,3.0
7,6,6,83,76,10,1,6,84,6,11,1,88,4,78,11,6,82,78,10,2,11,83,6,83,5,73,79,6,11,2,87,2,88,6,11,83,4,6,10,2,11,1,11,1.0
3,6,2,89,78,9,0,2,90,2,10,0,92,3,80,10,2,89,80,9,0,10,84,6,84,5,77,87,2,10,0,91,0,92,2,10,84,4,2,9,0,10,0,10,2.0
7,7,6,81,68,14,0,5,82,5,15,1,88,4,71,15,6,82,71,13,0,15,79,7,79,6,63,76,6,15,0,87,0,88,6,15,79,4,6,13,0,15,1,15,3.0
24,11,21,58,57,20,5,18,59,18,22,6,71,6,61,20,22,53,61,15,11,22,72,11,72,9,51,47,22,21,11,70,11,71,23,22,72,7,23,16,11,22,6,22,3.0
6,6,5,85,76,10,1,5,86,5,11,1,89,4,78,11,5,84,78,10,2,11,83,6,83,5,73,82,5,11,2,88,2,89,5,11,83,4,5,10,2,11,1,11,1.0
14,7,13,71,70,13,2,10,72,10,14,2,81,4,73,14,13,69,73,10,4,14,80,7,80,6,66,62,13,14,4,80,4,81,13,14,80,4,13,10,4,14,2,14,2.0
26,8,25,55,65,16,4,18,55,19,18,5,68,5,66,17,24,47,66,11,13,18,76,8,76,7,58,43,24,16,13,68,11,68,26,18,76,7,26,11,13,18,5,18,3.0
6,8,4,84,74,12,0,5,85,5,13,1,89,5,76,12,5,84,76,12,1,13,81,8,81,7,72,81,5,13,1,88,1,89,5,13,81,6,5,12,1,13,1,13,1.0
1,5,0,93,76,10,0,0,94,0,11,0,94,3,77,11,0,93,77,10,0,11,83,5,83,4,72,93,0,11,0,93,0,94,0,11,83,4,0,10,0,11,0,11,1.0
24,10,21,58,58,19,5,18,59,18,21,6,71,5,62,19,22,53,62,14,11,21,73,10,73,8,52,47,22,20,11,70,11,71,23,21,73,6,23,15,11,21,6,21,3.0
29,10,28,52,68,15,6,22,52,23,17,8,65,8,70,16,27,44,70,11,16,17,77,10,77,9,63,41,27,15,16,65,14,65,29,17,77,8,29,11,16,17,8,17,1.0
18,10,16,68,73,13,5,16,69,16,14,5,77,7,76,13,17,64,76,12,9,14,80,10,80,9,72,60,17,14,9,76,9,77,17,14,80,7,17,12,9,14,5,14,2.0
17,9,15,68,74,12,4,15,69,15,13,5,78,6,77,12,16,66,77,11,7,13,81,9,81,8,73,60,16,13,7,77,7,78,16,13,81,6,16,11,7,13,5,13,3.0
5,6,4,86,78,9,0,4,87,4,10,0,90,3,80,10,4,85,80,9,1,10,84,6,84,5,77,83,4,10,1,89,1,90,4,10,84,4,4,9,1,10,0,10,3.0
27,10,26,54,68,16,4,21,54,21,17,5,67,8,70,16,26,45,70,11,14,17,77,10,77,9,63,42,26,16,14,67,13,67,27,17,77,8,27,11,14,17,5,17,3.0
9,4,8,80,81,7,1,8,81,8,8,1,86,2,82,8,8,78,82,7,3,8,86,4,86,3,79,75,8,8,3,85,3,86,8,8,86,3,8,7,3,8,1,8,2.0
12,8,11,76,68,15,0,10,77,10,16,1,83,5,70,16,11,72,70,14,5,16,78,8,78,7,63,71,11,16,5,82,5,83,11,16,78,6,11,14,5,16,1,16,2.0
16,9,14,68,74,12,2,15,69,15,13,3,79,6,77,12,15,66,77,12,5,13,81,9,81,8,73,59,15,13,5,78,5,79,15,13,81,6,15,12,5,13,3,13,1.0
25,10,21,57,59,19,6,19,58,19,21,7,70,6,62,18,23,52,62,14,12,21,73,10,73,8,52,46,23,20,12,69,12,70,24,21,73,7,24,15,12,21,7,21,2.0
12,7,11,74,72,12,2,10,75,10,13,2,83,4,75,13,11,73,75,11,3,13,81,7,81,6,69,66,11,13,3,82,3,83,11,13,81,4,11,11,3,13,2,13,2.0
6,6,5,84,77,10,0,5,85,5,11,0,89,4,78,11,5,83,78,10,1,11,83,6,83,5,74,80,5,11,1,88,1,89,5,11,83,5,5,10,1,11,0,11,1.0
7,6,6,82,76,10,0,6,83,6,11,1,88,4,78,11,6,82,78,10,1,11,83,6,83,5,73,78,6,11,1,87,1,88,6,11,83,4,6,10,1,11,1,11,3.0
26,10,25,55,61,17,4,17,55,18,20,5,68,5,64,19,23,47,64,12,13,20,74,10,74,8,56,43,23,17,13,68,10,68,26,20,74,7,26,12,13,20,5,20,1.0
16,8,14,70,68,15,2,14,71,14,16,5,79,5,70,15,15,68,70,14,7,16,78,8,78,7,63,65,15,16,7,78,7,79,15,16,78,6,15,14,7,16,5,16,3.0
26,13,23,56,63,19,6,21,57,21,21,7,69,10,65,19,24,50,65,15,13,21,73,13,73,11,58,45,24,20,13,68,13,69,25,21,73,11,25,16,13,21,7,21,3.0
24,12,21,58,64,18,5,19,59,19,20,6,71,9,66,18,22,53,66,14,11,20,74,12,74,10,59,47,22,19,11,70,11,71,23,20,74,10,23,15,11,20,6,20,2.0
12,5,10,75,77,9,1,11,76,11,10,1,83,2,79,9,11,72,79,9,4,10,84,5,84,4,75,68,11,10,4,82,4,83,11,10,84,3,11,9,4,10,1,10,3.0
5,6,4,85,76,10,0,4,86,4,11,0,90,4,78,11,4,85,78,10,0,11,83,6,83,5,73,81,4,11,0,89,0,90,4,11,83,4,4,10,0,11,0,11,3.0
23,5,22,57,67,13,2,15,57,16,15,3,71,2,69,14,21,51,69,8,9,15,79,5,79,4,60,44,21,13,9,71,7,71,23,15,79,3,23,8,9,15,3,15,2.0
7,3,6,82,81,7,0,6,83,6,8,0,88,2,81,8,6,81,81,7,1,8,86,3,86,2,77,77,6,8,1,87,1,88,6,8,86,3,6,7,1,8,0,8,3.0
25,9,24,56,67,15,5,20,56,20,17,6,69,6,69,16,23,50,69,10,12,17,77,9,77,7,62,44,23,15,12,69,12,69,25,17,77,7,25,12,12,17,6,17,2.0
12,5,11,74,77,9,1,11,75,11,10,2,83,2,79,10,11,73,79,9,3,10,84,5,84,4,75,67,11,10,3,82,3,83,11,10,84,3,11,9,3,10,2,10,3.0
17,8,15,67,68,15,3,13,68,13,16,4,78,5,70,15,16,65,70,12,6,16,78,8,78,7,63,58,16,16,6,77,6,78,16,16,78,6,16,12,6,16,4,16,3.0
25,9,22,59,61,18,9,19,60,19,19,9,70,4,65,17,24,54,65,13,14,19,75,9,75,8,56,49,24,19,14,69,14,70,24,19,75,5,24,13,14,19,9,19,3.0
23,7,23,59,68,14,5,19,59,19,15,6,71,3,71,15,22,54,71,10,11,15,79,7,79,6,64,48,22,14,11,71,11,71,23,15,79,4,23,11,11,15,6,15,2.0
27,11,25,54,67,16,6,22,54,22,18,8,67,9,69,16,25,48,69,11,14,18,76,11,76,9,62,43,25,16,14,67,14,67,27,18,76,9,27,13,14,18,8,18,3.0
17,6,15,68,76,10,3,15,69,15,11,4,78,3,78,10,16,65,78,9,7,11,83,6,83,5,74,60,16,11,7,77,7,78,16,11,83,4,16,9,7,11,4,11,2.0
21,9,19,62,67,15,4,16,63,16,17,5,74,6,69,16,19,58,69,11,9,17,77,9,77,7,62,52,19,16,9,73,9,74,20,17,77,7,20,12,9,17,5,17,3.0
25,8,24,56,61,16,4,16,56,18,19,5,69,4,64,18,22,49,64,12,12,19,75,8,75,7,54,44,22,16,12,69,9,69,25,19,75,5,25,12,12,19,5,19,3.0
26,10,25,55,68,16,4,20,55,20,17,5,68,8,70,16,25,47,70,11,13,17,77,10,77,9,63,43,25,16,13,68,12,68,26,17,77,8,26,11,13,17,5,17,3.0
23,11,21,59,69,15,5,19,60,19,17,6,72,9,71,16,21,55,71,12,10,17,77,11,77,9,65,48,21,16,10,71,10,72,22,17,77,9,22,13,10,17,6,17,3.0
18,8,16,67,76,11,4,16,68,16,12,4,77,6,78,11,17,63,78,10,8,12,82,8,82,7,74,58,17,12,8,76,8,77,17,12,82,6,17,10,8,12,4,12,3.0
26,8,23,57,67,14,9,21,58,21,16,9,69,5,70,14,24,52,70,10,14,16,78,8,78,6,62,46,24,15,14,68,14,69,25,16,78,5,25,11,14,16,9,16,3.0
23,11,20,60,57,20,5,17,61,17,22,6,72,6,61,20,21,55,61,15,11,22,72,11,72,9,51,50,21,21,11,71,11,72,22,22,72,7,22,16,11,22,6,22,1.0
24,4,23,60,79,8,8,22,61,22,9,8,71,2,80,9,23,55,80,7,13,9,85,4,85,3,76,50,23,9,13,70,13,71,23,9,85,3,23,7,13,9,8,9,1.0
17,7,15,67,79,9,2,16,68,16,10,3,78,5,81,9,16,64,81,9,6,10,84,7,84,6,78,58,16,10,6,77,6,78,16,10,84,5,16,9,6,10,3,10,1.0
23,11,21,60,67,16,5,18,61,18,18,6,72,9,69,17,21,55,69,12,11,18,76,11,76,9,62,50,21,17,11,71,11,72,22,18,76,9,22,13,11,18,6,18,3.0
15,7,13,70,76,10,2,14,71,14,11,3,80,4,79,10,14,68,79,10,5,11,83,7,83,6,75,62,14,11,5,79,5,80,14,11,83,4,14,10,5,11,3,11,3.0
26,9,23,56,61,18,6,19,56,19,19,7,68,4,65,16,25,49,65,12,14,19,75,9,75,8,56,45,25,18,14,68,13,68,26,19,75,5,26,12,14,19,7,19,3.0
26,10,25,55,68,16,4,20,55,20,17,5,68,8,70,16,25,47,70,11,13,17,77,10,77,9,63,43,25,16,13,68,12,68,26,17,77,8,26,11,13,17,5,17,2.0
12,5,11,74,77,9,1,10,75,10,10,1,83,2,79,10,11,72,79,8,3,10,84,5,84,4,75,66,11,10,3,82,3,83,11,10,84,3,11,8,3,10,1,10,3.0
20,4,19,63,79,8,3,17,63,17,9,3,74,2,80,8,19,57,80,6,9,9,85,4,85,3,76,52,19,8,9,74,8,74,20,9,85,3,20,6,9,9,3,9,2.0
12,8,11,74,76,11,1,10,75,10,12,2,83,6,78,12,11,73,78,10,3,12,82,8,82,7,74,67,11,12,3,82,3,83,11,12,82,6,11,10,3,12,2,12,3.0
7,7,6,81,77,10,0,5,82,5,11,0,88,5,79,11,6,81,79,9,0,11,83,7,83,6,75,75,6,11,0,87,0,88,6,11,83,5,6,9,0,11,0,11,3.0
25,4,23,59,79,8,8,23,60,23,9,8,70,2,80,8,24,53,80,7,14,9,85,4,85,3,76,49,24,9,14,69,14,70,24,9,85,3,24,7,14,9,8,9,1.0
10,7,9,76,68,14,0,6,77,6,15,1,85,4,71,15,9,76,71,11,1,15,79,7,79,6,63,69,9,15,1,84,1,85,9,15,79,4,9,11,1,15,1,15,1.0
18,8,16,68,76,11,5,16,69,16,12,5,77,6,78,11,17,64,78,10,9,12,82,8,82,7,74,60,17,12,9,76,9,77,17,12,82,6,17,10,9,12,5,12,3.0
20,7,18,65,75,11,6,18,66,18,12,6,75,4,77,11,19,61,77,10,10,12,82,7,82,6,73,56,19,12,10,74,10,75,19,12,82,5,19,10,10,12,6,12,3.0
21,4,19,62,79,8,5,19,63,19,9,6,74,2,80,8,20,59,80,7,9,9,85,4,85,3,76,52,20,9,9,73,9,74,20,9,85,3,20,7,9,9,6,9,3.0
28,10,25,53,63,17,6,23,54,23,19,7,67,6,66,17,26,46,66,13,14,19,75,10,75,8,58,41,26,18,14,66,14,67,27,19,75,7,27,14,14,19,7,19,2.0
5,6,4,86,76,10,0,4,87,4,11,0,90,4,78,11,4,85,78,10,1,11,83,6,83,5,73,83,4,11,1,89,1,90,4,11,83,4,4,10,1,11,0,11,3.0
5,12,4,86,71,15,0,4,87,4,16,0,90,9,74,16,4,85,74,15,1,16,78,12,78,11,70,83,4,16,1,89,1,90,4,16,78,9,4,15,1,16,0,16,1.0
21,5,20,63,78,9,5,18,63,18,10,5,73,3,79,9,20,57,79,7,11,10,84,5,84,4,75,53,20,9,11,73,10,73,21,10,84,4,21,7,11,10,5,10,1.0
6,6,5,84,78,9,0,5,85,5,10,0,89,4,80,10,5,83,80,9,1,10,84,6,84,5,76,80,5,10,1,88,1,89,5,10,84,4,5,9,1,10,0,10,3.0
9,8,8,79,76,11,0,7,80,7,12,0,86,6,78,12,8,77,78,10,2,12,82,8,82,7,74,73,8,12,2,85,2,86,8,12,82,6,8,10,2,12,0,12,2.0
6,5,5,85,78,9,1,5,86,5,10,1,89,3,79,10,5,84,79,9,2,10,84,5,84,4,75,82,5,10,2,88,2,89,5,10,84,4,5,9,2,10,1,10,2.0
24,4,22,60,79,8,8,22,61,22,9,8,71,2,80,8,23,55,80,7,13,9,85,4,85,3,76,50,23,9,13,70,13,71,23,9,85,3,23,7,13,9,8,9,3.0
6,0,4,87,93,0,3,6,88,6,0,3,89,0,93,0,5,87,94,1,4,1,93,0,94,0,93,86,6,1,3,88,4,90,4,0,94,0,5,1,3,0,3,0,1.0
25,7,23,56,63,16,5,15,56,16,18,6,69,4,65,16,23,50,65,9,12,18,76,7,76,6,55,44,23,16,12,69,10,69,25,18,76,5,25,9,12,18,6,18,3.0
6,6,5,84,77,10,0,5,85,5,11,0,89,4,78,11,5,83,78,10,1,11,83,6,83,5,74,80,5,11,1,88,1,89,5,11,83,5,5,10,1,11,0,11,3.0
16,7,15,69,76,10,3,14,70,14,11,3,79,4,79,11,15,66,79,9,6,11,83,7,83,6,75,60,15,11,6,78,6,79,15,11,83,4,15,9,6,11,3,11,2.0
12,7,11,75,70,13,2,9,76,9,14,2,83,4,73,14,11,73,73,11,4,14,80,7,80,6,66,68,11,14,4,82,4,83,11,14,80,4,11,11,4,14,2,14,2.0
17,5,15,68,77,9,3,15,69,15,10,4,78,2,79,9,16,65,79,8,7,10,84,5,84,4,75,60,16,10,7,77,7,78,16,10,84,3,16,8,7,10,4,10,3.0
25,9,21,59,62,18,9,20,60,20,19,9,70,5,65,16,24,54,65,14,14,19,75,9,75,8,56,49,24,19,14,69,14,70,24,19,75,6,24,14,14,19,9,19,2.0
8,5,7,81,77,9,1,7,82,7,10,1,87,2,79,10,7,80,79,9,2,10,84,5,84,4,75,76,7,10,2,86,2,87,7,10,84,3,7,9,2,10,1,10,2.0
23,8,22,60,70,14,6,20,61,20,15,7,72,5,72,15,22,56,72,12,11,15,79,8,79,7,66,50,22,15,11,71,11,72,22,15,79,6,22,12,11,15,7,15,2.0
9,8,8,78,70,14,0,8,79,8,15,3,86,5,72,15,8,80,72,14,1,15,79,8,79,7,66,74,8,15,1,85,1,86,8,15,79,6,8,14,1,15,3,15,3.0
22,5,21,62,78,9,6,19,62,19,10,6,72,3,79,9,21,56,79,7,12,10,84,5,84,4,75,52,21,9,12,72,11,72,22,10,84,4,22,7,12,10,6,10,3.0
2,5,1,91,79,8,0,1,92,1,9,0,93,2,81,9,1,91,81,8,0,9,85,5,85,4,78,90,1,9,0,92,0,93,1,9,85,3,1,8,0,9,0,9,1.0
24,8,21,57,67,14,4,19,58,19,16,6,71,5,70,14,22,53,70,10,10,16,78,8,78,6,62,46,22,15,10,70,10,71,23,16,78,5,23,11,10,16,6,16,2.0
4,6,3,88,74,11,0,2,89,2,12,0,91,4,76,12,3,87,76,10,1,12,82,6,82,5,70,86,3,12,1,90,1,91,3,12,82,4,3,10,1,12,0,12,1.0
10,8,9,80,68,15,2,8,81,8,16,2,85,5,70,16,9,77,70,14,5,16,78,8,78,7,63,76,9,16,5,84,5,85,9,16,78,6,9,14,5,16,2,16,1.0
15,8,13,70,68,14,0,12,71,12,16,1,80,5,70,15,13,66,70,12,5,16,78,8,78,6,63,62,13,15,5,79,5,80,14,16,78,6,14,13,5,16,1,16,3.0
5,6,4,86,78,9,0,4,87,4,10,0,90,3,80,10,4,85,80,9,1,10,84,6,84,5,77,83,4,10,1,89,1,90,4,10,84,4,4,9,1,10,0,10,3.0
26,11,24,56,67,16,7,21,57,21,18,9,69,9,69,17,24,52,69,12,13,18,76,11,76,9,62,46,24,17,13,68,13,69,25,18,76,9,25,13,13,18,9,18,1.0
23,7,22,58,67,15,3,17,58,17,16,4,71,4,69,15,22,52,69,10,10,16,78,7,78,6,61,46,22,15,10,71,9,71,23,16,78,5,23,10,10,16,4,16,3.0
25,6,23,55,66,14,4,17,55,18,16,5,69,3,68,14,23,49,68,9,11,16,78,6,78,5,59,42,23,14,11,69,9,69,25,16,78,4,25,9,11,16,5,16,3.0
28,5,26,54,68,13,8,21,54,21,15,8,66,3,69,13,26,46,69,7,16,15,79,5,79,3,60,42,26,13,16,66,15,66,28,15,79,4,28,8,16,15,8,15,1.0
17,5,16,68,77,9,4,15,68,15,10,4,77,2,79,9,16,64,79,7,8,10,84,5,84,4,75,59,16,9,8,77,8,77,17,10,84,3,17,8,8,10,4,10,1.0
19,5,18,65,77,9,4,17,65,17,10,4,75,2,79,9,18,60,79,7,9,10,84,5,84,4,75,55,18,9,9,75,9,75,19,10,84,3,19,8,9,10,4,10,3.0
28,12,25,53,64,18,7,23,54,23,20,9,67,9,66,18,26,48,66,14,14,20,74,12,74,10,59,42,26,19,14,66,14,67,27,20,74,10,27,15,14,20,9,20,1.0
10,3,9,77,81,7,0,9,78,9,8,0,85,2,81,8,9,75,81,7,2,8,86,3,86,2,77,70,9,8,2,84,2,85,9,8,86,3,9,7,2,8,0,8,3.0
21,4,19,63,79,8,6,19,64,19,9,6,74,2,80,8,20,59,80,7,10,9,85,4,85,3,76,53,20,9,10,73,10,74,20,9,85,3,20,7,10,9,6,9,3.0
3,6,2,89,78,9,0,2,90,2,10,0,92,3,80,10,2,89,80,9,0,10,84,6,84,5,77,87,2,10,0,91,0,92,2,10,84,4,2,9,0,10,0,10,3.0
24,9,22,60,61,18,9,19,60,19,19,9,70,4,65,17,23,55,65,13,14,19,75,9,75,8,56,50,23,18,14,70,14,70,24,19,75,5,24,14,14,19,9,19,3.0
5,5,4,85,78,9,0,4,86,4,10,0,90,3,79,10,4,85,79,9,0,10,84,5,84,4,75,81,4,10,0,89,0,90,4,10,84,4,4,9,0,10,0,10,3.0
20,4,20,62,77,9,1,17,62,17,10,2,74,2,78,10,19,56,78,7,8,10,84,4,84,3,73,51,19,9,8,74,7,74,20,10,84,3,20,7,8,10,2,10,1.0
25,13,22,57,63,19,6,20,58,20,21,7,70,10,65,19,23,52,65,15,12,21,73,13,73,11,58,46,23,20,12,69,12,70,24,21,73,11,24,16,12,21,7,21,1.0
5,5,3,85,78,9,0,4,86,4,10,0,90,3,79,9,4,85,79,9,0,10,84,5,84,4,75,81,4,10,0,89,0,90,4,10,84,4,4,9,0,10,0,10,3.0
26,10,25,55,68,16,4,20,55,20,17,5,68,8,70,16,25,47,70,11,13,17,77,10,77,9,63,43,25,16,13,68,12,68,26,17,77,8,26,11,13,17,5,17,2.0
