@relation 'Sax dominant'

@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o2atMaa numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atLcc numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o3atLcc numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMaa numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute o3atMca numeric
@attribute o3atLca numeric
@attribute destClass {-1.0,1.0}

@data
12,16,14,14,16,14,17,12,14,15,15,16,18,13,15,13,0,30,31,0,0,31,30,0,31,1,0,31,3,27,5,26,4,25,31,0,0,31,0,31,0,5,0,4,-1.0
7,22,17,12,13,8,23,8,13,18,12,18,23,7,13,8,16,28,14,1,17,15,29,2,29,2,16,14,18,10,22,9,21,6,31,0,0,31,0,31,0,22,0,21,-1.0
5,22,10,17,19,7,24,7,19,12,18,12,24,6,19,7,6,10,24,19,7,25,11,20,11,20,6,24,3,26,5,26,5,24,31,0,0,31,0,31,0,5,0,5,1.0
0,31,1,26,28,0,31,0,28,3,28,3,31,0,28,0,4,14,26,13,5,27,16,15,16,15,4,26,31,0,31,0,31,0,31,0,0,31,0,31,0,31,0,31,1.0
5,24,6,23,24,6,25,6,24,7,23,7,25,5,24,6,0,8,31,21,0,31,9,22,9,22,0,31,5,25,7,24,6,23,31,0,0,31,0,31,0,7,0,6,-1.0
6,21,11,18,19,8,23,8,19,12,18,12,23,7,19,8,4,8,26,21,5,27,9,22,9,22,4,26,4,26,6,25,5,24,31,0,0,31,0,31,0,6,0,5,1.0
4,25,7,18,21,5,26,4,20,10,21,10,26,5,21,5,4,10,26,18,5,27,12,20,11,19,4,26,4,26,6,25,5,24,31,0,0,31,0,31,0,6,0,5,1.0
4,25,9,18,20,5,26,4,19,11,20,11,26,5,20,5,4,9,26,12,5,27,14,17,14,17,4,26,4,26,6,25,5,24,31,0,0,31,0,31,0,6,0,5,1.0
3,26,10,17,19,4,27,4,19,12,19,12,27,4,19,4,3,9,25,14,5,27,13,18,13,18,4,26,3,27,5,26,4,25,31,0,0,31,0,31,0,5,0,4,1.0
4,25,14,15,16,5,26,5,16,15,15,15,26,4,16,5,13,21,17,7,14,18,23,9,22,8,13,17,23,6,26,5,25,3,31,0,0,31,0,31,0,26,0,25,1.0
4,23,13,16,17,6,25,6,17,14,16,14,25,5,17,6,4,8,26,18,5,27,11,21,10,20,4,26,2,27,4,27,4,25,31,0,0,31,0,31,0,4,0,4,1.0
4,25,5,23,25,5,26,5,24,6,24,7,26,4,24,5,0,11,31,18,0,31,12,19,12,19,0,31,4,26,6,25,5,24,31,0,0,31,0,31,0,6,0,5,1.0
8,19,13,16,17,10,21,10,17,14,16,14,21,9,17,10,6,14,24,9,7,25,18,13,18,13,6,24,2,28,4,27,3,26,31,0,0,31,0,31,0,4,0,3,1.0
11,17,14,14,16,13,18,12,15,15,15,16,19,12,15,12,0,29,31,1,0,31,29,1,30,2,0,31,2,28,4,27,3,26,31,0,0,31,0,31,0,4,0,3,-1.0
9,20,19,10,11,10,21,10,11,20,10,20,21,9,11,10,16,22,14,8,17,15,23,9,22,8,16,14,23,6,24,6,25,4,27,2,2,28,3,28,3,25,3,25,-1.0
9,20,19,10,11,10,21,10,11,20,10,20,21,9,11,10,17,28,13,2,18,14,29,3,28,2,17,13,16,12,19,12,19,9,31,0,0,31,0,31,0,19,0,19,-1.0
0,30,3,25,27,1,30,0,26,4,27,5,31,1,26,0,0,7,31,15,0,31,11,19,12,20,0,31,10,17,13,17,14,13,28,1,1,29,2,29,2,14,2,14,-1.0
6,23,12,17,18,7,24,7,18,13,17,13,24,6,18,7,5,13,25,14,6,26,15,16,15,16,5,25,3,27,5,26,4,25,31,0,0,31,0,31,0,5,0,4,-1.0
8,19,12,17,18,10,21,10,18,13,17,13,21,9,18,10,5,9,25,18,6,26,11,20,11,20,5,25,3,27,5,26,4,25,31,0,0,31,0,31,0,5,0,4,1.0
8,21,19,8,10,9,22,9,10,21,9,21,22,8,10,9,20,31,10,0,21,11,31,0,31,0,20,10,30,1,31,0,30,0,31,0,0,31,0,31,0,31,0,30,-1.0
0,31,0,31,31,0,31,0,31,0,31,0,31,0,31,0,0,7,31,23,0,31,8,24,7,23,0,31,12,17,14,17,14,15,31,0,0,31,0,31,0,14,0,14,-1.0
10,19,21,8,9,11,20,11,9,22,8,22,20,10,9,11,18,31,12,0,19,13,31,0,31,0,18,12,13,14,18,13,17,9,31,0,0,31,0,31,0,18,0,17,-1.0
6,21,13,15,17,8,23,8,16,14,16,15,23,7,16,8,0,31,31,0,0,31,31,0,31,0,0,31,6,22,10,21,9,18,31,0,0,31,0,31,0,10,0,9,-1.0
3,26,5,22,24,4,27,4,24,7,24,7,27,4,24,4,4,7,26,23,5,27,8,24,7,23,4,26,3,26,5,26,5,24,31,0,0,31,0,31,0,5,0,5,1.0
2,27,4,21,24,3,28,3,24,7,24,7,28,3,24,3,4,7,26,23,5,27,8,24,7,23,4,26,5,23,8,23,8,20,31,0,0,31,0,31,0,8,0,8,1.0
9,18,14,15,16,11,20,11,16,15,15,15,20,10,16,11,14,23,16,6,15,17,24,7,24,7,14,16,8,23,9,22,8,22,31,0,0,31,0,31,0,9,0,8,-1.0
11,18,22,7,8,12,19,12,8,23,7,23,19,11,8,12,25,31,5,0,26,6,31,0,31,0,25,5,29,2,30,1,29,1,31,0,0,31,0,31,0,30,0,29,-1.0
9,20,17,10,12,10,21,10,12,19,11,19,21,9,12,10,21,26,9,2,22,10,28,4,27,3,21,9,25,4,27,4,27,2,31,0,0,31,0,31,0,27,0,27,-1.0
3,26,5,20,23,4,27,4,23,8,23,8,27,4,23,4,4,7,26,23,5,27,8,24,7,23,4,26,3,26,6,25,5,23,31,0,0,31,0,31,0,6,0,5,1.0
3,26,9,18,20,4,27,4,20,11,20,11,27,4,20,4,4,8,26,16,5,27,12,20,11,19,4,26,11,14,17,14,17,8,31,0,0,31,0,31,0,17,0,17,1.0
5,24,12,15,17,6,25,5,16,14,16,14,25,5,17,6,4,7,26,18,5,27,10,21,10,21,4,26,0,29,2,28,2,26,17,12,12,18,13,18,13,3,13,2,1.0
4,25,10,17,19,5,26,5,19,12,18,12,26,4,19,5,5,8,25,19,6,26,10,21,10,21,5,25,3,27,5,26,4,25,31,0,0,31,0,31,0,5,0,4,1.0
7,18,15,14,15,10,21,10,15,16,14,16,21,9,15,10,6,14,24,13,7,25,16,15,16,15,6,24,0,30,2,29,1,28,31,0,0,31,0,31,0,2,0,1,1.0
5,24,10,17,19,6,25,5,18,12,18,12,25,5,19,6,4,8,26,16,5,27,12,20,11,19,4,26,3,26,5,26,5,24,31,0,0,31,0,31,0,5,0,5,1.0
6,21,9,20,21,8,23,8,21,10,20,10,23,7,21,8,2,10,28,19,3,29,11,20,11,20,2,28,2,28,4,27,3,26,31,0,0,31,0,31,0,4,0,3,1.0
10,19,13,16,17,11,20,11,17,14,16,14,20,10,17,11,5,18,25,9,6,26,20,11,20,11,5,25,0,31,1,30,0,30,31,0,0,31,0,31,0,1,0,0,1.0
3,26,8,19,21,4,27,3,20,10,21,10,27,4,21,4,6,9,24,21,7,25,10,22,9,21,6,24,14,16,15,16,15,15,31,0,0,31,0,31,0,15,0,15,1.0
12,17,13,16,17,13,18,13,17,14,16,14,18,12,17,13,7,29,23,0,8,24,30,1,30,1,7,23,1,28,3,28,3,26,31,0,0,31,0,31,0,3,0,3,-1.0
9,20,11,18,19,10,21,10,19,12,18,12,21,9,19,10,4,10,26,17,5,27,12,19,12,19,4,26,2,28,4,27,3,26,31,0,0,31,0,31,0,4,0,3,1.0
5,24,14,15,16,6,25,6,16,15,16,15,25,6,16,6,10,29,20,0,11,21,30,1,30,1,10,20,20,10,21,10,21,9,31,0,0,31,0,31,0,21,0,21,1.0
3,26,9,18,20,4,27,4,20,11,20,11,27,4,20,4,5,11,25,16,6,26,13,18,13,18,5,25,5,25,7,24,6,23,31,0,0,31,0,31,0,7,0,6,1.0
5,22,11,16,18,7,24,6,17,13,17,13,24,6,18,7,5,9,25,19,6,26,11,21,10,20,5,25,3,26,6,25,5,23,27,2,3,28,3,28,3,6,3,5,1.0
8,19,13,16,17,10,21,10,17,14,16,14,21,9,17,10,6,13,24,14,7,25,15,16,15,16,6,24,1,29,3,28,2,27,31,0,0,31,0,31,0,3,0,2,1.0
6,23,15,14,15,7,24,7,15,16,14,16,24,6,15,7,10,14,20,14,11,21,16,16,15,15,10,20,22,6,25,6,25,3,31,0,0,31,0,31,0,25,0,25,-1.0
0,31,5,23,25,0,31,0,24,6,25,7,31,0,24,0,0,12,31,10,0,31,17,15,16,14,0,31,12,17,15,16,14,14,31,0,0,31,0,31,0,15,0,14,1.0
3,26,11,16,18,4,27,4,18,13,18,13,27,4,18,4,5,12,25,17,6,26,13,18,13,18,5,25,4,26,6,25,5,24,31,0,0,31,0,31,0,6,0,5,1.0
10,19,23,6,7,11,20,11,7,24,6,24,20,10,7,11,23,31,7,0,24,8,31,0,31,0,23,7,11,16,16,15,15,11,31,0,0,31,0,31,0,16,0,15,-1.0
6,23,15,14,15,7,24,7,15,16,14,16,24,6,15,7,7,13,23,9,8,24,18,14,17,13,7,23,17,11,20,11,20,8,31,0,0,31,0,31,0,20,0,20,-1.0
7,22,10,19,20,8,23,8,20,11,19,11,23,7,20,8,6,19,24,8,7,25,21,10,21,10,6,24,11,19,12,19,12,18,31,0,0,31,0,31,0,12,0,12,-1.0
9,20,15,12,14,10,21,10,14,17,13,17,21,9,14,10,17,29,13,1,18,14,30,2,29,1,17,13,25,4,28,3,27,1,31,0,0,31,0,31,0,28,0,27,-1.0
5,20,13,16,17,8,23,8,17,14,16,14,23,7,17,8,7,12,23,18,8,24,13,19,12,18,7,23,15,15,16,15,16,14,31,0,0,31,0,31,0,16,0,16,1.0
3,24,9,18,20,5,26,5,20,11,20,11,26,5,20,5,5,9,25,21,6,26,10,22,9,21,5,25,8,20,11,20,11,17,31,0,0,31,0,31,0,11,0,11,1.0
6,21,11,18,19,8,23,8,19,12,18,12,23,7,19,8,1,11,29,14,2,30,14,17,14,17,1,29,2,28,4,27,3,26,31,0,0,31,0,31,0,4,0,3,1.0
9,18,14,14,16,11,20,10,14,15,15,16,20,10,15,11,0,31,31,0,0,31,31,0,31,0,0,31,4,25,7,24,6,22,31,0,0,31,0,31,0,7,0,6,-1.0
9,20,18,11,12,10,21,10,12,19,11,19,21,9,12,10,20,31,10,0,21,11,31,0,31,0,20,10,9,17,15,16,14,11,31,0,0,31,0,31,0,15,0,14,1.0
3,26,10,17,19,4,27,4,19,12,19,12,27,4,19,4,5,9,25,15,6,26,13,19,12,18,5,25,1,27,4,26,4,23,20,3,6,24,7,24,7,5,7,4,1.0
7,22,16,13,14,8,23,8,14,17,13,17,23,7,14,8,16,23,14,7,17,15,24,8,23,7,16,14,26,4,26,4,27,3,28,1,1,29,2,29,2,27,2,27,1.0
7,20,15,14,15,9,22,9,15,16,14,16,22,8,15,9,4,15,26,14,5,27,16,15,16,15,4,26,1,29,3,28,2,27,31,0,0,31,0,31,0,3,0,2,1.0
8,19,11,18,19,10,21,10,19,12,18,12,21,9,19,10,4,12,26,17,5,27,13,18,13,18,4,26,0,31,1,30,0,30,29,0,1,30,1,30,1,1,1,0,1.0
11,18,22,7,8,12,19,12,8,23,7,23,19,11,8,12,22,31,8,0,23,9,31,0,31,0,22,8,2,27,5,26,4,24,31,0,0,31,0,31,0,5,0,4,-1.0
4,25,5,23,25,5,26,5,24,6,24,7,26,4,24,5,0,9,31,20,0,31,10,21,10,21,0,31,3,27,5,26,4,25,31,0,0,31,0,31,0,5,0,4,-1.0
5,24,13,16,17,6,25,6,17,14,16,14,25,5,17,6,11,22,19,1,12,20,26,5,26,5,11,19,13,17,15,16,14,15,31,0,0,31,0,31,0,15,0,14,1.0
