@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atLee numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMaa numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute destClass {-1,1}

@data
83,37,7,29,71,51,63,19,86,9,30,64,21,74,54,40,22,41,85,8,53,40,30,63,20,73,21,65,55,10,54,9,21,64,22,10,31,40,30,9,31,10,30,40,21,40,1.0
86,47,6,31,75,43,61,17,88,8,32,62,18,77,46,49,19,50,87,7,45,49,32,62,18,76,18,63,46,8,45,7,18,62,19,8,33,49,32,7,33,8,32,49,18,49,-1.0
87,28,3,19,77,54,67,15,90,6,22,71,16,79,61,33,17,35,89,4,59,32,21,71,16,78,16,72,61,6,60,4,16,71,17,6,24,34,23,5,24,6,22,34,16,34,-1.0
86,38,4,26,70,42,66,18,89,6,27,67,21,74,49,45,22,46,88,5,48,45,27,67,21,73,21,68,50,7,49,6,21,67,22,7,28,45,27,6,28,7,27,45,21,45,1.0
79,35,11,28,70,51,64,22,82,12,29,65,23,72,54,39,23,40,81,12,54,39,29,65,23,71,23,66,56,13,55,13,23,65,24,14,29,39,29,13,30,13,29,39,23,39,1.0
83,44,3,29,68,40,61,22,88,7,31,62,23,71,45,49,25,50,87,6,44,49,31,62,23,70,24,64,46,8,45,7,24,63,25,8,32,49,31,7,32,8,31,49,24,49,1.0
89,46,3,26,71,42,66,21,91,4,27,67,22,73,45,49,22,50,90,3,44,49,27,67,22,72,22,68,46,4,45,4,22,67,23,5,27,49,27,4,28,4,27,49,22,49,1.0
87,26,3,14,80,62,78,12,90,4,15,79,13,82,64,29,13,30,89,4,64,28,14,79,13,81,13,80,66,5,65,4,13,79,14,6,15,29,15,5,16,5,14,29,13,29,-1.0
86,45,6,31,75,47,61,17,88,7,32,62,18,77,48,46,18,47,87,7,48,46,32,62,18,76,18,63,49,7,48,7,18,62,19,8,32,46,32,7,33,7,32,46,18,46,-1.0
87,39,3,24,74,45,64,18,90,5,27,67,19,76,50,44,20,45,89,4,49,44,27,67,19,75,19,68,51,6,50,5,19,67,20,6,28,44,27,5,28,6,27,44,19,44,1.0
73,50,17,37,68,42,57,24,76,20,38,58,26,70,44,52,26,52,75,19,43,51,37,57,25,69,26,58,44,20,43,19,25,57,26,20,38,52,37,19,38,20,37,51,25,51,1.0
88,41,4,23,73,45,69,19,90,4,24,70,20,75,48,45,20,46,89,5,49,45,24,70,20,74,20,71,50,5,49,5,20,70,21,6,24,45,24,5,25,5,24,45,20,45,-1.0
85,33,5,24,73,49,66,19,88,5,26,68,20,75,53,39,20,40,87,6,54,39,26,68,20,74,20,69,56,7,55,7,20,68,21,8,26,39,26,7,27,7,26,39,20,39,1.0
80,41,6,28,72,47,58,16,85,10,33,62,19,76,50,45,20,45,84,10,50,43,31,61,18,75,20,63,51,11,50,10,18,62,20,11,33,45,32,10,33,11,32,43,19,44,1.0
83,42,3,24,73,40,66,19,88,7,25,68,20,75,46,47,21,49,87,7,46,47,25,68,20,74,20,69,47,8,46,7,20,68,21,8,27,48,26,7,27,8,26,48,20,48,1.0
82,33,4,25,74,51,57,14,87,7,31,63,17,78,55,38,18,39,86,8,56,37,30,62,16,77,18,64,57,8,56,8,16,63,18,9,31,39,31,8,32,9,31,37,17,38,1.0
73,44,15,31,69,44,59,21,77,17,33,61,23,72,46,47,23,48,76,18,47,47,33,61,23,71,23,62,48,18,47,18,23,61,24,19,33,47,33,18,34,18,33,47,23,47,1.0
87,39,3,24,76,47,68,16,90,5,25,69,17,78,51,43,18,44,89,4,50,43,25,69,17,77,17,70,52,6,51,5,17,69,18,6,26,43,25,5,26,6,25,43,17,43,1.0
74,32,14,31,74,54,53,18,78,15,36,58,19,76,56,36,19,37,77,16,57,35,35,58,19,75,19,59,59,17,58,17,19,58,20,18,36,36,36,17,37,17,36,36,19,36,1.0
85,39,5,27,75,45,57,17,88,6,31,62,18,77,49,43,18,45,87,6,49,43,31,62,18,76,18,63,51,7,50,6,18,62,19,8,32,44,32,7,33,7,31,44,18,44,1.0
83,19,5,16,81,67,70,11,87,6,20,74,12,83,69,23,12,24,86,6,69,23,20,74,12,82,12,75,72,8,71,8,12,74,13,9,20,23,20,8,21,8,20,23,12,23,-1.0
87,47,5,31,70,43,59,20,89,6,32,60,21,73,45,48,22,50,88,6,45,49,33,61,22,72,21,62,46,6,45,6,22,61,23,7,33,48,33,6,34,6,33,49,22,49,-1.0
85,45,7,31,74,45,59,18,87,9,33,61,19,76,48,47,20,48,86,8,47,47,33,61,19,75,19,62,48,9,47,8,19,61,20,9,34,47,33,8,34,9,33,47,19,47,-1.0
84,43,4,28,70,37,64,18,88,7,29,65,21,74,44,50,21,51,87,6,43,50,29,65,21,73,21,66,45,7,44,7,21,65,22,8,29,50,29,7,30,7,29,50,21,50,-1.0
87,36,5,24,75,48,68,17,89,6,25,69,18,77,53,41,19,42,88,5,52,41,25,69,18,76,18,70,54,7,53,6,18,69,19,7,26,41,25,6,26,7,25,41,18,41,-1.0
83,35,3,23,73,47,69,19,88,7,24,70,20,75,53,41,21,42,87,6,52,41,24,70,20,74,20,71,54,8,53,7,20,70,21,8,25,41,24,7,25,8,24,41,20,41,1.0
84,42,6,32,71,50,60,19,87,9,33,61,21,74,52,43,22,44,86,8,51,43,33,61,21,73,21,62,52,9,51,8,21,61,22,9,34,43,33,8,34,9,33,43,21,43,-1.0
82,56,8,32,66,36,60,24,85,10,33,62,27,69,37,57,27,58,84,10,37,57,33,61,26,68,27,62,38,10,37,10,26,61,27,11,33,58,33,10,34,11,33,57,26,57,-1.0
86,46,6,29,74,44,63,18,88,8,30,64,19,76,47,48,20,49,87,7,46,48,30,64,19,75,19,65,47,8,46,7,19,64,20,8,31,48,30,7,31,8,30,48,19,48,-1.0
85,28,3,15,80,54,77,12,89,5,16,78,13,82,59,34,13,35,88,6,60,34,16,78,13,81,13,79,61,6,60,6,13,78,14,7,16,34,16,6,17,6,16,34,13,34,-1.0
81,40,9,30,75,50,60,15,84,11,32,62,17,78,52,42,18,43,83,10,51,42,32,61,16,77,17,63,53,12,52,11,17,62,18,12,33,42,32,11,33,12,32,42,17,42,1.0
73,39,17,32,69,51,52,19,76,19,37,57,22,73,53,41,23,42,75,18,52,40,36,57,22,72,23,58,54,20,53,18,22,57,23,20,38,42,37,19,38,20,36,41,22,41,1.0
77,32,11,30,68,56,62,24,81,14,31,63,25,70,59,35,25,36,80,13,58,35,31,63,25,69,25,64,60,14,59,14,25,63,26,15,31,35,31,14,32,14,31,35,25,35,-1.0
85,44,7,34,70,48,58,20,87,9,35,59,22,73,50,45,23,46,86,8,49,45,35,59,22,72,22,60,50,9,49,8,22,59,23,9,36,45,35,8,36,9,35,45,22,45,-1.0
82,45,6,38,68,47,52,22,86,10,40,54,24,71,49,46,25,47,85,9,48,46,40,54,24,70,24,55,49,10,48,9,24,54,25,10,41,46,40,9,41,10,40,46,24,46,-1.0
79,37,9,28,70,49,62,18,83,12,30,64,21,74,53,41,22,42,82,11,52,41,30,63,20,73,21,65,54,13,53,12,21,64,22,13,31,41,30,12,31,13,30,41,21,41,1.0
85,59,5,26,69,33,62,21,88,7,30,64,22,72,34,61,24,61,87,6,33,59,28,65,23,71,24,66,35,8,34,6,23,65,24,8,30,61,29,7,30,8,28,60,23,60,1.0
82,33,4,33,77,47,51,13,87,7,37,56,15,80,53,39,15,41,86,8,54,38,36,56,15,79,15,57,55,7,54,8,15,56,16,9,37,40,38,8,39,8,38,40,15,40,1.0
83,35,3,24,75,49,62,17,88,7,27,66,18,77,54,39,19,41,87,6,53,40,28,66,18,76,18,67,55,8,54,7,18,66,19,8,29,40,28,7,29,8,28,40,18,40,1.0
85,34,5,30,77,50,56,15,88,6,33,60,16,79,54,38,16,40,87,6,54,39,34,60,16,78,16,61,56,6,55,7,16,60,17,8,33,39,34,7,35,7,34,39,16,39,1.0
82,39,4,23,74,45,63,16,87,8,27,67,18,77,50,44,19,45,86,8,50,43,26,67,18,76,18,68,51,9,50,8,18,67,19,9,28,44,27,8,28,9,27,44,18,44,1.0
87,35,3,24,74,51,68,18,90,4,25,69,19,76,54,39,19,40,89,4,54,39,25,69,19,75,19,70,56,5,55,5,19,69,20,6,25,39,25,5,26,5,25,39,19,39,1.0
83,32,7,35,76,56,55,16,86,8,37,57,17,78,58,35,17,36,85,9,59,35,37,57,17,77,17,58,60,9,59,9,17,57,18,10,37,35,37,9,38,9,37,35,17,35,1.0
87,40,3,26,70,48,64,22,90,5,29,66,23,72,51,44,24,44,89,4,50,42,27,66,23,71,24,67,52,6,51,4,23,66,24,6,29,44,28,5,29,6,27,43,23,43,1.0
84,35,6,25,72,51,67,20,87,8,26,68,21,74,55,39,22,40,86,8,55,39,26,68,21,73,21,69,56,9,55,8,21,68,22,9,27,39,26,8,27,9,26,39,21,39,-1.0
85,40,5,24,74,48,68,18,88,8,25,69,19,76,52,43,20,44,87,6,50,43,25,69,19,75,19,70,52,8,51,7,19,69,20,8,26,43,25,7,26,8,25,43,19,43,1.0
79,41,11,27,74,43,65,18,82,14,28,66,19,76,49,46,20,47,81,13,48,46,28,66,19,75,19,67,49,14,48,13,19,66,20,14,29,46,28,13,29,14,28,46,19,46,1.0
80,38,8,25,72,50,65,18,84,11,27,67,20,75,53,41,21,42,83,11,53,40,26,66,19,74,20,68,54,12,53,11,19,67,21,12,28,41,27,11,28,12,27,40,20,41,1.0
84,36,4,32,74,48,56,18,88,7,34,59,19,76,53,40,20,42,87,7,53,40,34,59,19,75,19,60,54,8,53,7,19,59,20,8,36,41,35,7,36,8,35,41,19,41,1.0
85,39,5,25,75,49,63,17,88,7,28,66,18,77,52,42,19,43,87,7,52,42,28,66,18,76,18,67,53,8,52,7,18,66,19,8,29,42,28,7,29,8,28,42,18,42,1.0
88,56,4,27,72,36,63,20,90,6,29,65,21,74,38,57,22,58,89,5,37,57,29,65,21,73,21,66,38,6,37,5,21,65,22,6,30,57,29,5,30,6,29,57,21,57,-1.0
88,54,4,24,72,32,68,18,90,6,26,69,20,75,37,59,21,59,89,5,36,58,25,69,20,74,21,70,37,6,36,5,20,69,21,6,26,59,25,5,26,6,25,58,20,58,1.0
83,35,7,23,74,47,67,16,86,8,26,68,17,77,52,42,19,42,85,8,52,41,25,68,17,76,19,70,54,10,53,9,18,69,19,10,26,42,25,9,26,10,25,41,18,41,1.0
84,38,8,33,74,52,57,18,86,10,35,59,19,76,55,40,20,41,85,9,54,40,35,59,19,75,19,60,55,10,54,9,19,59,20,10,36,40,35,9,36,10,35,40,19,40,-1.0
86,50,4,29,71,38,61,21,89,7,31,63,22,73,42,53,23,54,88,6,41,53,31,63,22,72,22,64,42,7,41,6,22,63,23,7,32,53,31,6,32,7,31,53,22,53,-1.0
86,41,6,28,72,49,64,20,88,6,29,65,21,74,50,43,21,44,87,7,51,43,29,65,21,73,21,66,52,7,51,7,21,65,22,8,29,43,29,7,30,7,29,43,21,43,-1.0
75,46,11,35,71,44,57,21,80,15,36,58,22,73,46,48,23,49,79,15,46,48,36,58,22,72,22,59,47,16,46,15,22,58,23,16,37,48,36,15,37,16,36,48,22,48,-1.0
89,49,3,25,72,33,67,18,91,5,26,68,20,75,40,55,21,56,90,4,39,55,26,68,20,74,20,69,40,5,39,4,20,68,21,5,27,55,26,4,27,5,26,55,20,55,1.0
84,41,4,24,69,47,66,21,88,6,27,67,22,72,49,45,24,45,87,6,49,44,26,67,22,71,24,69,51,8,50,7,23,68,24,8,27,45,26,7,27,8,26,44,23,44,1.0
85,47,3,22,77,41,70,15,89,5,23,71,16,79,43,50,16,51,88,6,44,50,23,71,16,78,16,72,45,6,44,6,16,71,17,7,23,50,23,6,24,6,23,50,16,50,1.0
84,23,4,15,80,61,77,12,88,6,15,78,13,82,65,27,13,29,87,6,65,27,15,78,13,81,13,79,67,7,66,7,13,78,14,8,16,28,16,7,17,7,16,28,13,28,-1.0
84,43,8,34,72,47,58,20,86,9,35,59,21,74,49,45,21,46,85,9,49,45,35,59,21,73,21,60,50,9,49,9,21,59,22,10,35,45,35,9,36,9,35,45,21,45,1.0
76,35,4,31,78,49,51,14,84,11,35,57,15,80,54,38,16,41,83,11,54,39,36,57,15,79,15,58,55,11,54,11,15,57,16,12,37,40,37,11,38,12,37,40,15,40,1.0
82,43,8,35,67,47,53,21,85,9,37,56,24,71,48,44,24,46,84,10,49,44,37,56,24,70,24,57,50,9,49,10,24,56,25,11,37,45,38,10,39,10,38,45,24,45,1.0
87,39,3,21,77,49,67,15,90,5,24,70,16,79,52,42,17,43,89,5,52,42,24,70,16,78,16,71,53,6,52,5,16,70,17,6,25,42,24,5,25,6,24,42,16,42,1.0
83,35,7,33,75,53,55,17,86,8,36,58,18,77,55,38,18,39,85,9,56,38,36,58,18,76,18,59,57,9,56,9,18,58,19,10,36,38,36,9,37,9,36,38,18,38,1.0
82,35,10,32,73,49,60,19,84,11,33,61,20,75,54,40,20,41,83,11,54,40,33,61,20,74,20,62,55,11,54,11,20,61,21,12,33,40,33,11,34,11,33,40,20,40,-1.0
81,37,9,24,73,49,68,19,84,11,25,69,20,75,53,41,20,42,83,11,53,40,24,69,20,74,20,70,54,11,53,11,20,69,21,12,25,41,25,11,26,11,25,41,20,41,-1.0
80,33,10,29,75,55,63,15,83,11,30,64,17,78,57,36,17,37,82,12,58,36,30,64,17,77,17,65,59,12,58,12,17,64,18,13,30,36,30,12,31,12,30,36,17,36,1.0
