@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMaa numeric
@attribute o1atLee numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMda numeric
@attribute o1atLda numeric
@attribute o1atMea numeric
@attribute o1atLea numeric
@attribute destClass {2,3,4,1}

@data
73,21,57,62,15,17,25,67,76,17,63,28,16,78,17,30,27,19,17,68,65,18,64,27,24,68,75,18,17,69,26,29,66,19,18,20,26,19,25,29,17,77,20,75,17,29,17,19,3
78,16,56,57,12,12,25,65,81,12,65,25,12,81,13,28,28,13,13,67,67,14,66,26,26,65,80,13,13,68,26,26,68,13,15,15,27,14,27,26,12,80,17,78,14,27,14,14,3
80,14,58,63,10,10,21,71,83,11,68,24,11,83,12,26,23,12,11,72,69,11,68,23,20,71,82,11,12,73,21,25,70,11,13,13,22,11,21,24,11,82,13,80,11,25,12,12,4
78,17,63,58,12,12,25,69,81,13,69,24,14,81,15,25,26,15,12,69,70,13,69,22,23,67,80,13,15,70,25,25,71,14,15,15,25,13,24,22,12,80,14,78,13,24,14,14,1
77,15,61,61,14,13,24,68,80,13,68,22,16,79,16,25,27,15,16,68,70,15,69,23,25,67,79,14,16,69,25,24,71,14,17,16,26,15,26,24,15,78,19,76,16,24,16,15,4
73,18,66,60,17,17,26,66,76,18,70,23,17,76,20,24,27,20,18,68,71,19,69,22,25,66,75,17,19,69,27,23,72,20,20,20,26,19,26,22,17,75,18,73,19,23,19,19,2
77,14,60,59,12,13,24,68,80,13,68,23,13,81,15,25,26,16,13,69,70,14,69,20,21,68,79,14,15,70,26,25,71,16,15,16,25,15,24,23,13,80,15,78,14,24,14,15,1
79,16,62,65,13,13,21,71,81,14,70,23,14,80,16,25,23,15,15,72,70,14,70,23,21,70,80,14,15,73,22,24,71,14,16,15,22,14,22,24,13,79,15,77,15,24,15,14,4
74,20,56,56,16,16,24,64,77,17,64,25,16,77,18,30,29,18,18,66,65,18,65,28,27,65,76,18,16,67,28,27,66,18,19,19,28,18,28,29,17,76,18,74,18,29,18,18,4
79,15,65,63,12,11,22,70,82,12,71,21,13,81,14,23,24,13,13,71,72,13,72,20,21,70,81,13,14,72,23,22,73,13,15,14,23,13,23,21,13,80,15,78,14,22,14,13,3
74,18,60,67,15,16,22,71,77,16,66,26,16,78,18,27,23,19,16,72,68,17,67,24,20,71,76,17,18,73,23,27,69,19,18,19,22,18,21,25,16,77,17,75,17,26,17,18,1
76,18,66,63,14,14,23,71,79,16,71,22,16,80,16,24,25,17,14,70,71,15,70,21,22,69,78,15,16,71,24,24,72,16,16,17,24,15,23,22,14,79,17,78,14,23,15,16,2
71,19,61,58,17,19,27,65,74,19,66,25,18,76,20,27,29,22,19,66,68,21,66,26,28,64,73,19,20,67,28,27,69,21,20,22,28,21,28,26,17,75,20,73,19,26,19,21,1
74,16,62,55,16,16,28,64,77,16,68,23,17,77,19,25,30,19,18,65,70,17,68,23,28,65,76,16,19,66,29,25,71,18,19,19,29,18,28,24,18,76,19,74,18,24,18,18,2
73,19,57,64,18,17,25,68,76,17,64,27,20,75,20,29,27,19,20,68,66,19,64,27,25,67,75,17,20,69,25,28,67,18,21,20,26,19,26,28,19,74,22,72,20,28,20,19,4
74,20,60,58,16,16,25,67,77,17,66,25,18,77,18,28,28,18,18,67,67,18,65,25,25,65,76,16,18,68,27,27,68,18,19,19,27,18,27,27,16,76,18,74,18,27,18,18,3
71,21,51,62,19,19,25,66,74,20,61,31,19,74,21,33,27,21,20,68,62,20,60,31,25,66,73,19,20,69,26,31,63,21,22,22,26,20,25,31,19,73,20,71,20,32,21,21,3
72,20,64,59,16,18,27,66,75,19,68,25,17,77,19,26,28,21,17,67,69,18,67,22,24,66,74,18,19,68,27,26,70,20,19,21,27,19,25,24,17,76,19,74,17,25,18,20,1
74,18,60,56,17,16,28,64,77,16,66,25,18,76,20,27,30,19,19,65,68,17,67,23,26,64,76,17,20,66,29,27,69,18,20,19,29,18,28,26,18,75,20,73,19,26,19,18,2
75,18,56,58,16,15,25,66,78,15,64,27,16,77,18,29,27,17,18,68,66,17,66,25,23,66,77,17,17,69,26,27,67,17,19,18,26,17,26,28,16,76,16,74,18,28,18,17,4
78,14,64,60,12,12,23,69,81,13,71,21,13,81,14,23,25,14,14,70,72,14,71,22,24,68,80,13,14,71,24,22,73,14,15,15,24,14,24,22,12,80,14,78,14,22,14,14,3
76,16,66,58,13,14,27,66,79,16,72,22,14,80,16,23,28,17,13,67,72,14,70,20,25,65,78,14,16,68,28,23,73,17,16,17,27,14,25,20,13,79,18,77,13,22,15,16,1
75,17,61,59,15,15,25,67,78,15,67,24,16,78,18,26,27,18,15,68,69,16,68,22,23,66,77,16,18,69,26,26,70,17,18,18,26,16,25,23,15,77,17,75,16,25,17,17,3
79,16,58,54,11,11,27,64,82,12,67,24,12,82,14,27,30,14,12,65,68,12,67,22,25,64,81,12,14,66,29,27,69,13,14,14,29,13,28,25,12,81,18,79,13,26,13,13,1
69,22,64,54,19,21,30,62,72,22,67,25,20,74,22,27,32,24,20,63,68,21,66,24,29,62,71,21,22,64,31,27,69,23,22,24,31,22,29,25,20,73,22,71,20,26,21,23,1
74,18,66,63,17,16,23,68,77,16,69,22,17,76,19,24,25,18,18,70,71,17,70,22,23,68,76,17,19,71,23,23,72,17,20,19,24,17,23,22,17,75,17,73,18,23,19,18,2
72,19,63,59,17,18,26,66,75,18,67,24,18,76,19,26,28,20,18,67,69,20,68,24,26,66,74,19,19,68,26,25,70,19,20,21,27,20,27,24,18,75,19,73,19,25,19,20,4
80,15,63,68,12,10,19,72,83,11,70,22,12,81,15,24,21,13,14,74,71,12,71,22,19,74,82,12,14,75,20,23,72,12,15,13,20,12,20,23,14,80,14,78,14,23,14,12,4
76,21,59,59,13,14,25,67,79,14,64,27,14,80,15,29,27,16,15,68,66,15,65,25,23,68,78,15,14,69,26,27,67,16,16,17,26,16,25,28,15,79,17,77,15,28,15,16,3
77,15,61,61,14,13,23,68,80,14,69,22,15,79,16,25,26,15,16,69,70,15,68,22,23,68,79,13,16,70,25,24,71,15,17,16,25,15,25,24,15,78,17,76,16,24,16,15,3
74,18,60,62,17,16,25,67,77,18,68,26,17,76,20,27,26,19,19,69,68,18,66,26,25,68,76,16,19,70,26,26,69,19,20,19,25,18,25,26,18,75,18,73,19,26,19,18,3
76,15,61,58,14,14,25,65,79,14,68,22,14,79,16,25,28,16,14,67,70,15,68,22,25,65,78,14,15,68,27,23,71,16,17,17,27,15,26,22,14,78,18,76,15,24,16,16,3
74,19,55,57,16,16,25,65,77,16,63,26,17,77,18,30,29,18,17,66,65,18,64,28,27,64,76,17,18,67,28,29,66,18,19,19,28,18,28,28,16,76,19,74,18,29,18,18,1
76,16,62,59,15,14,26,67,79,15,69,24,16,78,17,25,27,16,16,68,70,16,69,22,24,66,78,15,17,69,26,24,71,16,18,17,26,16,26,23,15,77,17,75,17,24,17,16,3
75,16,62,64,15,15,23,69,78,15,68,24,15,78,18,25,24,18,16,71,70,16,69,21,20,70,77,16,18,72,24,25,71,18,18,18,23,16,22,23,16,77,16,75,16,24,17,17,2
71,21,65,55,20,19,27,62,74,19,67,22,20,73,21,26,31,20,22,64,69,21,68,24,29,63,73,20,21,65,28,24,70,19,23,22,30,21,30,25,21,72,21,70,22,25,22,21,4
78,12,64,62,11,12,19,69,81,12,71,17,11,82,14,22,24,15,13,71,73,14,71,21,23,69,80,12,12,72,22,20,74,13,14,15,23,14,23,21,11,81,14,79,13,21,13,14,1
75,17,55,52,13,15,26,63,78,16,65,23,15,80,16,29,32,18,14,63,66,15,64,25,28,62,77,15,16,64,32,29,67,18,16,18,31,16,29,27,14,79,20,77,14,28,15,17,1
74,18,58,65,15,16,22,70,77,17,66,26,16,78,18,28,24,19,16,71,67,17,66,26,22,70,76,17,17,72,24,27,68,19,18,19,23,17,22,26,16,77,17,75,16,27,17,18,3
75,21,53,59,16,15,25,66,78,15,61,30,16,77,18,32,27,17,16,68,63,17,62,26,21,66,77,16,18,69,26,31,64,17,19,18,26,17,26,29,16,76,17,74,18,31,18,17,3
78,16,60,66,11,12,20,72,81,13,68,24,12,82,13,26,22,14,12,73,69,13,67,24,20,71,80,12,13,74,21,25,70,14,14,15,21,13,20,24,11,81,14,79,12,25,13,14,3
77,16,56,59,13,13,24,67,80,14,66,26,13,80,16,28,26,16,15,69,67,15,65,27,25,67,79,13,16,70,26,28,68,16,16,16,25,15,25,27,13,79,15,77,15,27,15,15,3
76,15,61,64,14,14,20,70,79,15,69,22,14,79,17,25,23,17,15,72,70,15,68,23,21,70,78,14,16,73,23,24,71,17,17,17,22,15,21,23,14,78,14,76,15,24,16,16,3
69,23,63,58,21,21,29,63,72,22,66,27,21,72,23,28,30,23,22,65,67,21,65,24,26,64,71,21,23,66,29,27,68,23,24,24,29,22,27,26,22,71,22,69,22,27,23,23,1
74,23,57,56,17,16,30,63,77,19,65,30,18,76,20,31,31,19,18,64,64,17,62,29,29,62,76,16,19,65,31,30,65,19,20,19,30,17,29,29,17,75,22,73,18,30,19,18,1
72,25,53,61,19,18,27,65,75,18,59,33,19,74,21,34,28,20,21,67,61,20,61,30,24,67,74,20,21,68,27,33,62,20,22,21,27,20,27,33,21,73,21,71,21,33,21,20,4
77,16,64,60,14,13,24,66,80,14,70,21,14,79,16,24,27,15,16,68,71,15,69,23,26,67,79,13,15,69,26,22,72,15,17,16,26,15,26,23,15,78,18,76,16,23,16,15,4
73,21,63,63,16,17,25,67,76,17,66,26,16,77,19,27,26,20,18,69,68,18,66,25,24,68,75,17,19,70,26,27,69,20,19,20,25,19,24,26,17,76,19,74,18,26,18,19,1
74,18,62,58,16,16,29,65,77,18,69,25,18,77,19,26,30,19,18,65,69,17,67,24,28,64,76,16,19,66,30,26,70,19,19,19,29,18,28,25,17,76,22,74,18,25,18,18,1
73,19,65,63,16,17,26,68,76,18,69,25,17,77,19,25,26,20,17,69,70,19,69,23,24,67,75,18,19,70,26,25,71,20,19,20,25,19,25,23,16,76,19,74,18,24,18,19,1
77,15,61,58,12,11,25,66,81,13,69,23,12,81,15,25,27,15,13,68,70,13,67,23,25,66,80,11,14,69,27,24,71,15,15,15,26,13,25,23,12,80,16,78,13,24,14,14,1
74,21,69,61,18,18,26,65,76,20,72,22,18,75,21,24,28,20,20,67,71,19,71,23,27,66,75,19,19,68,28,22,72,20,21,20,27,19,27,23,19,74,21,72,20,23,20,19,4
76,17,59,53,13,14,27,63,79,15,67,23,14,80,15,27,31,16,15,64,68,15,67,25,29,64,78,15,15,65,29,26,69,15,16,17,30,16,29,26,15,79,19,77,15,26,15,16,2
76,16,62,59,14,14,23,67,79,14,68,22,14,79,16,25,26,16,16,69,70,16,68,23,24,68,78,14,16,70,25,24,71,16,17,17,25,16,25,24,15,78,15,76,16,24,16,16,4
72,17,59,58,17,16,26,65,76,17,66,24,18,76,20,27,29,20,18,66,68,18,65,24,26,64,75,16,19,67,29,26,69,20,20,20,28,18,27,25,17,75,20,73,18,26,19,19,3
76,17,61,67,15,14,19,71,79,14,67,23,15,78,16,26,22,15,16,73,69,16,68,24,20,71,78,15,16,74,20,24,70,15,18,17,21,16,21,24,15,77,15,75,17,25,17,16,4
77,17,57,54,15,13,27,63,80,14,66,25,15,78,17,28,30,15,17,65,67,15,67,22,24,65,79,15,15,66,29,25,68,15,18,16,29,15,29,27,17,77,18,75,17,27,17,15,4
76,14,60,67,14,14,22,71,79,14,68,24,15,79,17,25,23,17,15,72,70,15,68,23,21,70,78,14,17,73,22,25,71,16,17,17,22,15,21,23,14,78,17,76,15,24,16,16,2
79,18,54,58,11,11,23,67,82,12,64,25,13,82,14,30,28,14,13,67,65,13,63,28,26,65,81,11,14,68,27,30,66,13,14,14,27,13,27,29,11,81,18,79,13,29,13,13,1
74,17,55,61,16,16,24,67,77,16,64,26,17,77,18,29,27,18,17,68,66,17,64,26,24,67,76,16,17,69,25,27,67,17,19,19,26,17,25,27,17,76,19,74,17,28,18,18,3
76,18,60,63,16,14,22,68,79,15,67,24,16,77,18,27,25,16,17,70,68,16,68,25,23,68,78,16,17,71,24,25,69,16,19,17,24,16,24,25,16,76,17,74,18,26,18,16,2
74,19,59,63,16,16,25,68,77,17,66,27,17,77,19,28,26,19,16,69,67,17,66,24,22,67,76,17,19,70,26,28,68,19,19,19,25,17,24,25,16,76,19,74,17,27,18,18,1
73,18,64,59,18,17,26,65,76,17,68,22,19,75,19,25,29,18,20,66,70,19,68,23,27,64,75,17,19,67,27,23,71,18,21,20,28,19,28,24,18,74,21,72,20,24,20,19,4
75,18,60,64,15,15,23,69,78,15,66,25,16,78,18,27,25,18,17,70,68,16,67,25,23,69,77,16,17,71,24,26,69,17,18,18,24,17,23,26,16,77,18,75,17,26,17,17,4
74,16,64,64,17,16,24,70,77,16,69,23,18,77,19,24,25,19,18,70,71,18,69,22,23,69,76,16,19,71,24,24,72,18,19,19,24,18,24,23,17,76,18,75,18,23,18,18,2
71,21,57,61,19,19,24,66,74,19,63,26,20,74,21,30,28,21,20,67,65,20,63,27,25,65,73,19,20,68,26,28,66,20,22,22,27,20,26,28,19,73,21,71,20,29,21,21,1
72,20,60,61,17,18,24,67,75,19,66,26,17,76,20,28,26,21,18,69,67,19,65,26,24,67,74,18,20,70,25,28,68,20,20,21,25,19,24,26,17,75,17,73,18,27,19,20,1
76,15,65,64,14,14,22,69,79,14,70,21,15,78,17,23,24,16,16,71,72,15,71,21,22,68,78,15,17,72,22,22,73,15,18,17,23,15,22,21,14,77,16,74,16,22,17,16,4
74,17,63,63,16,16,26,67,77,16,68,25,16,77,19,25,26,19,18,69,70,18,68,24,25,67,76,16,19,70,26,25,71,19,19,19,25,18,25,24,16,76,19,74,18,24,18,18,3
73,22,58,58,17,17,28,65,76,19,65,29,17,77,18,30,29,19,18,66,65,19,63,27,26,65,75,17,18,67,28,29,66,19,19,20,28,19,28,29,17,76,20,75,18,29,18,19,2
72,19,59,61,18,18,25,66,75,18,65,26,18,75,21,28,27,21,20,68,67,20,65,26,25,66,74,18,21,69,26,28,68,20,21,21,26,20,26,27,18,74,19,72,20,27,20,20,1
71,20,66,58,17,19,29,65,74,19,68,25,18,76,20,25,29,22,18,66,70,19,68,22,26,65,73,19,20,67,29,25,71,22,20,22,28,20,26,23,18,75,20,73,18,24,19,21,1
74,21,59,59,16,16,27,67,77,18,66,28,18,77,18,29,28,18,17,67,66,17,64,26,25,65,76,16,18,68,27,28,67,18,19,19,27,17,26,27,16,76,19,74,17,28,18,18,3
72,22,62,53,18,18,30,63,75,20,67,27,19,75,21,28,31,21,18,64,67,19,66,25,28,62,74,19,20,65,31,27,68,21,21,21,30,19,29,25,18,74,19,72,19,27,20,20,1
80,17,53,45,10,12,29,60,82,13,65,24,12,83,13,30,35,14,11,60,65,12,64,23,28,59,81,12,12,61,34,29,66,13,13,14,34,12,33,28,11,82,19,80,11,29,12,13,3
79,14,62,56,12,11,25,66,82,12,70,22,12,81,15,24,27,14,14,68,71,13,69,21,24,66,81,11,14,69,27,23,72,14,15,14,26,13,26,23,12,80,14,78,14,23,14,13,3
71,21,61,63,18,19,25,67,74,20,66,27,18,75,20,28,26,21,20,69,67,20,66,25,23,68,73,20,20,70,25,27,68,21,21,22,25,21,24,27,19,74,19,72,20,27,20,21,2
75,17,63,62,15,15,23,67,78,15,68,22,15,78,17,25,26,17,16,69,70,17,70,23,24,67,77,17,17,70,24,24,71,16,18,18,25,17,25,23,15,77,18,75,17,24,17,17,2
77,14,62,55,12,13,28,64,80,13,69,22,13,81,15,24,30,16,12,65,71,13,69,21,27,63,79,13,15,66,29,24,72,15,15,16,29,13,27,21,12,80,19,78,12,23,14,15,1
76,19,57,63,15,14,23,68,79,14,64,27,15,78,17,29,25,16,17,70,66,15,65,26,22,69,78,15,17,71,24,28,67,16,18,17,24,16,23,28,16,77,17,75,17,28,17,16,3
79,12,62,55,12,11,26,66,82,11,70,21,13,81,15,23,28,14,12,67,72,12,71,18,23,65,81,12,15,68,27,23,73,13,15,14,27,12,26,20,12,80,15,78,13,22,14,13,2
73,20,60,61,15,17,28,67,76,18,66,28,17,78,18,28,28,20,17,67,67,17,65,25,25,67,75,17,18,68,28,28,68,20,18,20,27,19,25,27,17,77,21,75,17,27,17,19,1
75,18,64,61,16,15,24,68,78,16,69,23,17,77,19,25,26,18,18,69,70,17,69,23,24,67,77,16,18,70,25,24,71,17,19,18,25,17,25,24,16,76,17,74,18,24,18,17,4
75,18,66,63,15,15,23,69,78,17,71,23,15,78,18,24,24,18,15,71,71,16,70,21,21,69,77,16,17,72,24,23,72,18,18,18,23,16,22,21,15,77,15,75,16,23,17,17,1
80,17,63,52,10,10,28,64,83,12,70,23,11,83,13,25,30,13,11,65,70,12,70,20,25,64,82,12,13,66,29,25,71,12,13,13,29,12,29,23,11,82,16,80,12,24,12,12,2
76,17,61,60,15,14,25,67,79,16,69,25,15,78,18,26,26,17,16,69,69,15,68,23,23,68,78,15,17,70,26,25,70,17,18,17,25,15,24,24,16,77,16,75,16,25,17,16,3
76,17,63,55,14,16,26,64,78,16,69,21,15,79,16,25,30,17,15,65,70,16,69,21,26,64,77,16,16,66,28,24,71,16,17,18,29,16,28,23,15,78,19,76,15,24,16,17,2
74,21,61,63,16,16,24,68,77,17,66,27,16,77,19,28,25,19,17,70,67,17,65,26,23,68,76,16,18,71,25,27,68,19,19,19,24,17,23,26,16,76,17,74,17,27,18,18,1
80,15,57,60,11,10,22,69,83,12,68,24,12,82,14,27,25,13,12,70,68,11,67,23,21,68,82,11,13,71,24,26,69,12,14,13,24,12,23,25,11,81,14,79,13,26,13,12,3
74,21,63,58,16,16,27,65,77,18,68,26,16,77,19,27,28,19,17,67,68,17,67,25,26,65,76,17,18,68,28,26,69,19,19,19,27,17,26,25,16,76,18,74,17,26,18,18,3
76,16,60,59,13,14,27,68,79,15,68,25,16,80,16,26,28,17,15,67,69,15,67,21,23,66,78,14,16,68,28,26,70,17,16,17,27,16,26,25,14,79,19,77,15,25,15,16,1
72,21,61,58,18,18,28,64,75,20,67,27,18,75,21,28,29,21,19,66,67,20,66,25,26,65,74,19,20,67,29,27,68,21,21,21,28,20,28,26,19,74,20,72,20,27,20,20,3
76,18,62,65,14,14,21,70,79,15,68,24,14,79,16,26,23,16,15,72,69,15,68,22,19,71,78,15,16,73,22,25,70,16,17,17,22,16,21,24,15,78,15,76,16,25,16,16,3
76,17,63,60,14,14,26,66,79,15,69,24,14,79,17,25,27,17,14,68,70,14,68,22,24,66,78,14,16,69,27,24,71,17,17,17,26,14,24,22,14,78,18,76,14,24,16,16,1
77,16,62,57,12,13,25,67,80,13,68,23,13,81,14,25,27,15,13,68,70,14,69,22,24,67,79,14,14,69,26,24,71,15,15,16,26,14,25,23,13,80,15,78,13,24,14,15,3
75,17,61,60,14,15,26,67,78,15,67,25,15,79,17,26,27,18,15,68,69,17,68,23,24,67,77,16,17,69,27,26,70,18,17,18,26,17,26,24,15,78,18,76,16,25,16,17,3
76,18,60,62,16,14,24,67,79,15,67,25,16,77,18,27,26,16,18,69,68,16,68,25,24,68,78,16,17,70,25,25,69,16,19,17,25,16,25,26,17,76,18,74,18,26,18,16,4
74,17,59,58,16,16,28,65,77,16,66,26,17,77,18,27,29,18,18,66,68,17,66,22,24,65,76,16,18,67,28,26,69,18,19,19,28,18,27,26,17,76,20,74,18,26,18,18,3
74,18,66,60,15,16,26,67,77,16,69,24,15,78,18,24,26,19,17,69,71,18,70,23,25,68,76,17,18,70,26,24,72,19,18,19,25,18,25,23,16,77,16,75,17,23,17,18,3
78,15,51,60,14,12,24,66,81,13,64,27,14,79,16,30,27,14,15,68,65,13,64,27,24,67,80,13,16,69,26,29,66,14,17,15,26,13,25,28,15,78,18,76,15,29,16,14,4
72,20,62,59,17,18,28,64,75,20,68,26,17,76,19,27,29,20,18,66,68,18,66,24,26,65,74,18,19,67,28,26,69,20,20,21,28,19,26,25,18,75,21,73,18,26,19,20,2
73,20,56,62,19,17,25,67,76,19,65,28,19,75,21,30,27,20,19,68,65,18,63,27,24,67,75,17,19,69,27,28,66,20,21,20,26,19,25,28,19,74,20,73,20,29,20,19,4
78,17,59,65,13,12,21,70,81,14,68,25,13,80,16,27,23,15,15,72,68,14,67,26,22,70,80,13,15,73,23,26,69,15,16,15,22,14,22,26,13,79,15,77,15,26,15,14,3
71,22,62,65,19,19,23,68,74,21,67,25,19,75,20,28,26,21,20,69,67,20,66,26,24,69,73,20,19,70,25,26,68,21,21,22,25,21,24,27,20,74,21,73,20,27,20,21,3
74,20,56,54,16,16,28,62,77,18,65,27,16,77,19,30,31,19,18,64,65,17,64,26,27,64,76,17,18,65,31,29,66,19,19,19,30,18,29,29,18,76,20,74,18,29,18,18,3
76,17,61,61,16,14,22,67,79,14,67,22,16,77,17,26,26,15,17,69,69,15,68,24,24,67,78,15,17,70,24,24,70,15,19,17,25,15,24,24,16,76,17,74,17,25,18,16,3
78,20,54,51,14,14,28,62,80,14,63,27,15,79,16,31,32,15,15,63,64,15,63,27,28,61,79,14,16,64,30,30,65,14,17,16,31,15,31,29,14,78,19,76,16,30,16,15,4
72,19,59,58,18,18,29,63,75,18,65,27,18,75,20,28,30,20,20,65,67,20,66,26,28,64,74,19,20,66,29,27,68,20,21,21,29,20,29,27,19,74,22,72,20,27,20,20,2
75,19,59,61,16,15,26,65,78,16,66,26,16,77,17,28,28,16,18,67,67,17,66,26,26,66,77,16,17,68,26,26,68,16,19,18,27,17,27,27,17,76,21,74,18,27,18,17,4
77,16,58,56,12,13,26,65,80,14,67,25,12,81,15,27,28,16,12,67,68,14,67,22,23,65,79,14,15,68,28,27,69,16,15,16,27,14,26,24,12,80,16,78,13,26,14,15,1
76,15,61,64,15,14,22,69,79,14,68,23,15,78,17,25,24,16,16,71,70,16,69,22,21,69,78,15,16,72,23,23,71,16,18,17,23,16,23,23,15,77,16,75,17,24,17,16,2
75,21,47,55,17,17,30,64,77,18,60,34,19,76,20,35,31,19,19,64,60,18,59,31,27,62,76,17,19,65,31,34,61,19,20,19,30,18,30,34,17,75,21,73,19,34,19,18,2
74,19,53,63,15,16,23,69,77,16,62,29,16,78,17,31,25,18,15,70,64,17,63,26,20,68,76,17,17,71,24,30,65,18,18,19,24,17,23,28,15,77,17,75,16,30,17,18,1
72,19,63,65,17,18,24,69,75,18,67,24,19,76,20,26,26,21,18,69,69,20,68,24,24,68,74,19,20,70,25,26,70,20,20,21,25,20,25,24,18,75,21,73,19,25,19,20,2
79,12,68,67,11,11,20,73,82,12,74,20,11,82,14,20,20,14,13,75,75,13,73,19,19,73,81,11,14,76,20,20,76,14,14,14,19,13,19,19,11,81,11,79,13,19,13,13,1
74,21,61,60,17,18,26,66,76,18,66,25,19,76,20,28,29,20,18,66,67,18,66,26,27,65,75,18,20,67,27,28,68,18,20,20,28,18,27,26,18,75,22,73,18,27,19,19,4
72,17,61,53,15,16,28,63,76,16,66,24,15,78,17,26,30,19,17,65,69,18,67,22,26,65,75,17,17,66,28,25,70,18,18,20,29,19,28,25,17,77,17,75,17,25,17,19,3
76,17,61,65,15,14,23,70,79,14,67,25,16,78,18,26,24,17,15,71,69,15,68,23,21,69,78,15,18,72,23,26,70,16,18,17,23,15,22,23,15,77,17,75,16,25,17,16,1
73,18,68,63,15,17,24,69,76,17,70,21,17,78,17,23,26,19,17,69,72,18,71,20,23,69,75,18,17,70,25,22,73,19,18,20,25,19,24,22,17,77,19,75,17,22,17,19,3
76,15,61,55,13,14,28,65,79,15,69,23,15,80,16,25,30,17,15,65,70,15,68,20,25,64,78,14,16,66,29,25,71,16,16,17,29,16,28,24,14,79,19,77,15,24,15,16,3
70,22,58,61,19,20,27,66,73,21,64,29,20,74,22,30,28,23,21,67,65,21,64,27,25,66,72,21,21,68,28,29,66,23,22,23,27,22,26,29,20,73,21,71,21,29,21,22,3
73,21,55,63,17,17,27,67,76,19,64,31,18,76,20,31,27,20,19,68,64,18,62,28,24,67,75,17,20,69,27,31,65,20,20,20,26,19,25,30,18,75,21,73,19,30,19,19,1
76,18,62,60,15,14,24,67,79,16,69,24,15,78,18,26,26,17,15,69,69,15,68,22,22,67,78,15,18,70,26,26,70,17,18,17,25,15,24,23,15,77,16,75,16,25,17,16,1
75,19,59,63,15,15,23,69,78,16,66,26,16,78,18,28,25,18,16,70,67,16,65,25,22,69,77,15,17,71,24,27,68,17,18,18,24,16,23,26,16,77,17,75,16,27,17,17,2
78,17,57,61,11,12,23,69,81,13,66,26,12,82,13,28,25,14,13,70,67,13,66,26,23,69,80,13,12,71,24,26,68,14,14,15,24,14,23,27,12,81,15,79,13,27,13,14,3
73,18,64,68,16,17,21,70,76,17,68,23,16,77,17,25,23,18,18,72,70,19,68,24,22,71,75,17,17,73,21,23,71,18,19,20,22,19,22,24,17,76,18,74,18,24,18,19,4
78,18,58,59,14,12,24,67,81,14,67,26,14,79,17,28,26,15,15,69,67,14,67,26,24,67,80,14,16,70,26,27,68,15,17,15,25,14,25,26,14,78,15,76,16,27,16,14,3
76,19,61,61,15,14,21,68,79,15,67,23,15,78,17,27,25,16,15,70,68,15,67,24,22,68,78,15,16,71,23,25,69,15,18,17,24,15,23,24,15,77,15,75,16,26,17,16,3
75,21,57,60,15,15,25,67,78,16,64,28,16,78,17,30,27,17,17,68,65,17,64,29,26,66,77,16,17,69,25,29,66,16,18,18,26,17,26,29,15,77,18,75,17,29,17,17,4
74,17,63,64,15,16,25,68,77,17,69,24,16,78,18,25,26,19,16,69,70,16,68,22,23,68,76,16,18,70,26,25,71,19,18,19,25,17,23,23,16,77,20,75,16,24,17,18,1
77,15,57,61,13,13,24,67,80,15,68,24,14,80,16,27,27,16,14,68,68,14,66,24,24,66,79,13,15,69,27,26,69,16,16,16,26,14,25,25,13,79,19,77,14,26,15,15,1
77,16,56,55,13,13,25,65,80,14,66,23,15,80,16,28,30,16,13,65,67,13,65,21,23,63,79,13,15,66,29,27,68,15,16,16,29,13,27,25,13,79,19,77,13,27,15,15,1
72,19,65,60,18,18,26,65,75,18,68,23,18,75,20,25,28,20,19,67,70,20,69,23,26,65,74,19,20,68,27,24,71,20,21,21,27,20,27,23,18,74,20,72,20,24,20,20,3
77,16,62,54,12,13,26,65,80,14,69,22,13,81,15,25,29,16,13,66,70,14,68,22,26,64,79,13,15,67,28,25,71,15,15,16,28,14,27,23,12,80,16,78,13,24,14,15,3
78,13,57,58,12,12,22,67,81,12,67,21,13,81,14,26,27,14,12,68,69,13,67,22,23,66,80,12,14,69,25,25,70,13,15,15,26,13,25,23,12,80,16,78,13,25,14,14,3
