@relation 'Sax dominant'

@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute destClass {1,2}

@data
26,30,64,28,63,63,30,24,62,28,28,66,60,62,66,27,64,26,27,64,30,27,28,30,30,30,28,28,1
27,33,60,31,59,68,26,22,67,24,30,63,66,57,70,24,68,23,29,61,33,24,30,26,33,26,31,24,2
35,41,52,39,51,68,26,22,67,24,38,55,66,49,70,24,68,23,37,53,41,24,38,26,41,26,39,24,2
25,29,65,27,64,66,27,21,65,25,27,67,63,63,69,24,67,23,26,65,29,24,27,27,29,27,27,25,2
30,34,60,32,59,63,30,24,62,28,32,62,60,58,66,27,64,26,31,60,34,27,32,30,34,30,32,28,1
31,32,62,31,61,55,36,29,54,35,32,63,51,61,59,33,57,32,31,61,33,33,32,37,33,37,31,35,2
26,31,61,30,60,69,24,21,68,23,29,64,67,58,71,23,69,22,28,62,32,23,29,25,32,25,30,23,2
28,30,65,28,64,60,33,27,59,31,29,66,57,64,63,30,61,29,28,64,30,30,29,33,30,33,28,31,1
28,30,65,28,64,59,33,25,58,31,29,66,55,64,63,29,61,28,28,64,30,29,29,33,30,33,28,31,1
28,30,65,28,64,59,33,25,58,31,29,66,55,64,63,29,61,28,28,64,30,29,29,33,30,33,28,31,2
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
22,24,68,24,67,62,28,22,61,28,23,70,58,66,66,25,64,25,23,68,26,26,24,30,25,29,24,28,2
29,31,61,31,60,56,35,31,55,35,30,63,53,59,59,33,57,33,30,61,33,34,31,37,32,36,31,35,1
29,31,61,31,60,61,30,26,60,30,30,63,58,59,64,28,62,28,30,61,33,29,31,32,32,31,31,30,1
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
31,33,62,31,61,56,38,34,55,36,32,63,54,61,58,36,56,35,31,61,33,36,32,38,33,38,31,36,2
28,30,65,28,64,64,29,23,63,27,29,66,61,64,67,26,65,25,28,64,30,26,29,29,30,29,28,27,1
31,32,62,31,61,43,50,47,42,49,32,63,41,61,45,49,43,48,31,61,33,49,32,51,33,51,31,49,1
28,30,65,28,64,53,40,34,52,38,29,66,50,64,56,37,54,36,28,64,30,37,29,40,30,40,28,38,1
28,30,65,28,64,56,37,31,55,35,29,66,53,64,59,34,57,33,28,64,30,34,29,37,30,37,28,35,1
29,31,61,31,60,59,32,28,58,32,30,63,56,59,62,30,60,30,30,61,33,31,31,34,32,33,31,32,1
28,30,65,28,64,60,33,27,59,31,29,66,57,64,63,30,61,29,28,64,30,30,29,33,30,33,28,31,1
29,31,61,31,60,51,40,36,50,40,30,63,48,59,54,38,52,38,30,61,33,39,31,42,32,41,31,40,1
28,30,65,28,64,64,29,23,63,27,29,66,61,64,67,26,65,25,28,64,30,26,29,29,30,29,28,27,1
30,34,60,32,59,59,34,28,58,32,32,62,56,58,62,31,60,30,31,60,34,31,32,34,34,34,32,32,1
28,30,65,28,64,51,41,33,50,39,29,66,47,64,55,37,53,36,28,64,30,37,29,41,30,41,28,39,1
23,27,67,25,66,56,37,31,55,35,25,69,53,65,59,34,57,33,24,67,27,34,25,37,27,37,25,35,2
29,31,61,31,60,56,35,31,55,35,30,63,53,59,59,33,57,33,30,61,33,34,31,37,32,36,31,35,1
31,32,62,31,61,54,37,30,53,36,32,63,50,61,58,34,56,33,31,61,33,34,32,38,33,38,31,36,2
31,33,62,31,61,60,34,30,59,32,32,63,58,61,62,32,60,31,31,61,33,32,32,34,33,34,31,32,2
32,35,58,34,57,55,36,29,54,35,34,60,51,56,59,33,57,32,33,58,36,33,34,37,36,37,34,35,2
32,40,52,38,51,71,23,19,70,21,36,56,69,48,73,21,71,20,35,54,40,21,36,23,40,23,38,21,1
31,37,56,35,55,60,33,27,59,31,34,59,57,53,63,30,61,29,33,57,37,30,34,33,37,33,35,31,1
29,31,61,31,60,55,36,32,54,36,30,63,52,59,58,34,56,34,30,61,33,35,31,38,32,37,31,36,1
31,33,62,31,61,55,37,29,54,35,32,63,51,61,59,33,57,32,31,61,33,33,32,37,33,37,31,35,2
31,32,62,31,61,57,36,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
33,39,54,37,53,72,22,18,71,20,36,57,70,51,74,20,72,19,35,55,39,20,36,22,39,22,37,20,2
24,28,63,28,62,72,20,18,71,20,26,66,70,60,74,19,72,19,26,64,30,20,27,22,29,21,28,20,2
31,33,62,31,61,60,34,30,59,32,32,63,58,61,62,32,60,31,31,61,33,32,32,34,33,34,31,32,2
28,30,65,28,64,59,34,28,58,32,29,66,56,64,62,31,60,30,28,64,30,31,29,34,30,34,28,32,1
29,33,61,31,60,59,34,28,58,32,31,63,56,59,62,31,60,30,30,61,33,31,31,34,33,34,31,32,1
28,30,65,28,64,59,33,25,58,31,29,66,55,64,63,29,61,28,28,64,30,29,29,33,30,33,28,31,2
28,30,65,28,64,59,34,28,58,32,29,66,56,64,62,31,60,30,28,64,30,31,29,34,30,34,28,32,1
22,25,68,24,67,72,21,18,71,20,24,70,70,66,74,20,72,19,23,68,26,20,24,22,26,22,24,20,2
31,32,62,31,61,64,28,23,63,27,32,63,61,61,67,26,65,25,31,61,33,26,32,29,33,29,31,27,2
28,30,65,28,64,59,34,28,58,32,29,66,56,64,62,31,60,30,28,64,30,31,29,34,30,34,28,32,1
28,30,65,28,64,59,34,28,58,32,29,66,56,64,62,31,60,30,28,64,30,31,29,34,30,34,28,32,1
26,30,64,28,63,61,32,26,60,30,28,66,58,62,64,29,62,28,27,64,30,29,28,32,30,32,28,30,1
29,31,61,31,60,59,32,28,58,32,30,63,56,59,62,30,60,30,30,61,33,31,31,34,32,33,31,32,1
28,30,65,28,64,64,29,23,63,27,29,66,61,64,67,26,65,25,28,64,30,26,29,29,30,29,28,27,1
28,30,65,28,64,52,41,35,51,39,29,66,49,64,55,38,53,37,28,64,30,38,29,41,30,41,28,39,2
29,35,58,33,57,77,18,16,76,16,32,61,76,55,78,17,76,16,31,59,35,17,32,18,35,18,33,16,2
28,30,65,28,64,59,33,25,58,31,29,66,55,64,63,29,61,28,28,64,30,29,29,33,30,33,28,31,2
31,33,62,31,61,56,38,34,55,36,32,63,54,61,58,36,56,35,31,61,33,36,32,38,33,38,31,36,2
28,30,65,28,64,56,37,31,55,35,29,66,53,64,59,34,57,33,28,64,30,34,29,37,30,37,28,35,1
26,30,64,28,63,61,32,26,60,30,28,66,58,62,64,29,62,28,27,64,30,29,28,32,30,32,28,30,1
31,33,62,31,61,54,40,36,53,38,32,63,52,61,56,38,54,37,31,61,33,38,32,40,33,40,31,38,2
28,30,65,28,64,60,34,30,59,32,29,66,58,64,62,32,60,31,28,64,30,32,29,34,30,34,28,32,2
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
28,34,59,32,58,68,26,22,67,24,31,62,66,56,70,24,68,23,30,60,34,24,31,26,34,26,32,24,2
25,29,65,27,64,67,27,23,66,25,27,67,65,63,69,25,67,24,26,65,29,25,27,27,29,27,27,25,2
31,33,62,31,61,61,32,26,60,30,32,63,58,61,64,29,62,28,31,61,33,29,32,32,33,32,31,30,1
28,30,65,28,64,54,40,36,53,38,29,66,52,64,56,38,54,37,28,64,30,38,29,40,30,40,28,38,2
28,30,65,28,64,66,27,21,65,25,29,66,63,64,69,24,67,23,28,64,30,24,29,27,30,27,28,25,1
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
31,33,62,31,61,55,37,29,54,35,32,63,51,61,59,33,57,32,31,61,33,33,32,37,33,37,31,35,2
31,37,56,35,55,65,29,25,64,27,34,59,63,53,67,27,65,26,33,57,37,27,34,29,37,29,35,27,1
31,32,62,31,61,57,35,30,56,34,32,63,54,61,60,33,58,32,31,61,33,33,32,36,33,36,31,34,2
27,33,60,31,59,66,28,24,65,26,30,63,64,57,68,26,66,25,29,61,33,26,30,28,33,28,31,26,1
28,30,65,28,64,56,37,31,55,35,29,66,53,64,59,34,57,33,28,64,30,34,29,37,30,37,28,35,2
28,30,65,28,64,57,37,33,56,35,29,66,55,64,59,35,57,34,28,64,30,35,29,37,30,37,28,35,2
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
27,29,66,27,65,63,30,24,62,28,28,67,60,65,66,27,64,26,27,65,29,27,28,30,29,30,27,28,1
29,31,61,31,60,52,39,35,51,39,30,63,49,59,55,37,53,37,30,61,33,38,31,41,32,40,31,39,1
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
28,30,65,28,64,57,36,30,56,34,29,66,54,64,60,33,58,32,28,64,30,33,29,36,30,36,28,34,1
28,30,65,28,64,57,37,33,56,35,29,66,55,64,59,35,57,34,28,64,30,35,29,37,30,37,28,35,2
28,30,65,28,64,55,37,29,54,35,29,66,51,64,59,33,57,32,28,64,30,33,29,37,30,37,28,35,2
28,30,65,28,64,60,33,27,59,31,29,66,57,64,63,30,61,29,28,64,30,30,29,33,30,33,28,31,1
31,33,62,31,61,60,33,27,59,31,32,63,57,61,63,30,61,29,31,61,33,30,32,33,33,33,31,31,1
29,31,61,31,60,56,34,28,55,34,30,63,52,59,60,31,58,31,30,61,33,32,31,36,32,35,31,34,1
29,31,61,31,60,53,38,34,52,38,30,63,50,59,56,36,54,36,30,61,33,37,31,40,32,39,31,38,1
28,30,65,28,64,56,37,31,55,35,29,66,53,64,59,34,57,33,28,64,30,34,29,37,30,37,28,35,1
28,30,65,28,64,61,32,26,60,30,29,66,58,64,64,29,62,28,28,64,30,29,29,32,30,32,28,30,1
25,29,65,27,64,67,26,20,66,24,27,67,64,63,70,23,68,22,26,65,29,23,27,26,29,26,27,24,2
31,33,62,31,61,55,39,35,54,37,32,63,53,61,57,37,55,36,31,61,33,37,32,39,33,39,31,37,2
28,30,65,28,64,60,33,27,59,31,29,66,57,64,63,30,61,29,28,64,30,30,29,33,30,33,28,31,1
32,34,58,34,57,58,32,26,57,32,33,60,54,56,62,29,60,29,33,58,36,30,34,34,35,33,34,32,2
26,29,64,28,63,67,25,20,66,24,28,66,64,62,70,23,68,22,27,64,30,23,28,26,30,26,28,24,2
29,31,61,31,60,51,40,36,50,40,30,63,48,59,54,38,52,38,30,61,33,39,31,42,32,41,31,40,1
29,31,61,31,60,52,38,32,51,38,30,63,48,59,56,35,54,35,30,61,33,36,31,40,32,39,31,38,2
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
24,29,63,28,62,62,29,22,61,28,27,66,58,60,66,26,64,25,26,64,30,26,27,30,30,30,28,28,2
35,40,49,41,48,62,28,25,61,29,38,53,59,45,65,27,63,27,38,51,43,28,39,31,42,30,41,29,1
31,33,62,31,61,59,34,28,58,32,32,63,56,61,62,31,60,30,31,61,33,31,32,34,33,34,31,32,2
28,30,65,28,64,59,34,28,58,32,29,66,56,64,62,31,60,30,28,64,30,31,29,34,30,34,28,32,1
23,27,67,25,66,77,18,16,76,16,25,69,76,65,78,17,76,16,24,67,27,17,25,18,27,18,25,16,2
28,30,65,28,64,58,34,26,57,32,29,66,54,64,62,30,60,29,28,64,30,30,29,34,30,34,28,32,1
29,31,61,31,60,51,40,36,50,40,30,63,48,59,54,38,52,38,30,61,33,39,31,42,32,41,31,40,1
27,31,63,29,62,60,33,27,59,31,29,65,57,61,63,30,61,29,28,63,31,30,29,33,31,33,29,31,2
35,39,52,39,51,67,24,20,66,24,37,55,64,49,70,22,68,22,37,53,41,23,38,26,40,25,39,24,1
30,38,54,36,53,68,26,22,67,24,34,58,66,50,70,24,68,23,33,56,38,24,34,26,38,26,36,24,1
24,30,63,28,62,67,26,20,66,24,27,66,64,60,70,23,68,22,26,64,30,23,27,26,30,26,28,24,2
27,31,60,31,59,76,16,14,75,16,29,63,74,57,78,15,76,15,29,61,33,16,30,18,32,17,31,16,2
31,33,62,31,61,54,39,33,53,37,32,63,51,61,57,36,55,35,31,61,33,36,32,39,33,39,31,37,2
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
25,29,65,27,64,71,22,16,70,20,27,67,68,63,74,19,72,18,26,65,29,19,27,22,29,22,27,20,2
29,31,61,31,60,60,31,27,59,31,30,63,57,59,63,29,61,29,30,61,33,30,31,33,32,32,31,31,1
30,34,60,32,59,62,31,25,61,29,32,62,59,58,65,28,63,27,31,60,34,28,32,31,34,31,32,29,1
28,30,65,28,64,56,37,31,55,35,29,66,53,64,59,34,57,33,28,64,30,34,29,37,30,37,28,35,2
28,30,65,28,64,56,37,31,55,35,29,66,53,64,59,34,57,33,28,64,30,34,29,37,30,37,28,35,1
31,33,62,31,61,53,40,34,52,38,32,63,50,61,56,37,54,36,31,61,33,37,32,40,33,40,31,38,2
28,30,65,28,64,53,40,34,52,38,29,66,50,64,56,37,54,36,28,64,30,37,29,40,30,40,28,38,2
27,31,63,29,62,63,30,24,62,28,29,65,60,61,66,27,64,26,28,63,31,27,29,30,31,30,29,28,1
29,31,61,31,60,59,32,28,58,32,30,63,56,59,62,30,60,30,30,61,33,31,31,34,32,33,31,32,1
26,30,64,28,63,59,34,28,58,32,28,66,56,62,62,31,60,30,27,64,30,31,28,34,30,34,28,32,2
31,33,62,31,61,53,40,34,52,38,32,63,50,61,56,37,54,36,31,61,33,37,32,40,33,40,31,38,2
28,30,65,28,64,55,38,32,54,36,29,66,52,64,58,35,56,34,28,64,30,35,29,38,30,38,28,36,1
29,31,61,31,60,57,34,30,56,34,30,63,54,59,60,32,58,32,30,61,33,33,31,36,32,35,31,34,1
28,30,65,28,64,62,31,25,61,29,29,66,59,64,65,28,63,27,28,64,30,28,29,31,30,31,28,29,1
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
29,31,61,31,60,63,28,24,62,28,30,63,60,59,66,26,64,26,30,61,33,27,31,30,32,29,31,28,1
26,29,64,28,63,61,31,26,60,30,28,66,58,62,64,29,62,28,27,64,30,29,28,32,30,32,28,30,2
31,33,62,31,61,52,41,35,51,39,32,63,49,61,55,38,53,37,31,61,33,38,32,41,33,41,31,39,2
28,30,65,28,64,53,39,31,52,37,29,66,49,64,57,35,55,34,28,64,30,35,29,39,30,39,28,37,2
28,30,65,28,64,56,36,28,55,34,29,66,52,64,60,32,58,31,28,64,30,32,29,36,30,36,28,34,2
28,30,65,28,64,60,33,27,59,31,29,66,57,64,63,30,61,29,28,64,30,30,29,33,30,33,28,31,1
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
28,30,65,28,64,54,40,36,53,38,29,66,52,64,56,38,54,37,28,64,30,38,29,40,30,40,28,38,2
25,29,65,27,64,66,27,21,65,25,27,67,63,63,69,24,67,23,26,65,29,24,27,27,29,27,27,25,2
28,30,65,28,64,60,33,27,59,31,29,66,57,64,63,30,61,29,28,64,30,30,29,33,30,33,28,31,1
28,30,65,28,64,46,47,41,45,45,29,66,43,64,49,44,47,43,28,64,30,44,29,47,30,47,28,45,2
28,30,65,28,64,53,39,31,52,37,29,66,49,64,57,35,55,34,28,64,30,35,29,39,30,39,28,37,2
28,30,65,28,64,50,43,37,49,41,29,66,47,64,53,40,51,39,28,64,30,40,29,43,30,43,28,41,1
26,30,64,28,63,66,27,21,65,25,28,66,63,62,69,24,67,23,27,64,30,24,28,27,30,27,28,25,2
21,25,66,25,65,68,23,19,67,23,23,69,65,63,71,21,69,21,23,67,27,22,24,25,26,24,25,23,2
29,31,61,31,60,60,31,27,59,31,30,63,57,59,63,29,61,29,30,61,33,30,31,33,32,32,31,31,1
22,24,68,24,67,64,27,23,63,27,23,70,61,66,67,25,65,25,23,68,26,26,24,29,25,28,24,27,2
28,30,65,28,64,48,45,39,47,43,29,66,45,64,51,42,49,41,28,64,30,42,29,45,30,45,28,43,1
28,30,65,28,64,58,35,29,57,33,29,66,55,64,61,32,59,31,28,64,30,32,29,35,30,35,28,33,1
28,30,65,28,64,56,36,28,55,34,29,66,52,64,60,32,58,31,28,64,30,32,29,36,30,36,28,34,2
25,29,65,27,64,61,32,26,60,30,27,67,58,63,64,29,62,28,26,65,29,29,27,32,29,32,27,30,1
28,30,65,28,64,63,30,24,62,28,29,66,60,64,66,27,64,26,28,64,30,27,29,30,30,30,28,28,1
34,40,53,38,52,69,25,21,68,23,37,56,67,50,71,23,69,22,36,54,40,23,37,25,40,25,38,23,1
28,30,62,30,61,52,39,35,51,39,29,64,49,60,55,37,53,37,29,62,32,38,30,41,31,40,30,39,1
29,31,61,31,60,55,36,32,54,36,30,63,52,59,58,34,56,34,30,61,33,35,31,38,32,37,31,36,1
31,32,62,31,61,60,32,27,59,31,32,63,57,61,63,30,61,29,31,61,33,30,32,33,33,33,31,31,1
31,33,62,31,61,55,37,29,54,35,32,63,51,61,59,33,57,32,31,61,33,33,32,37,33,37,31,35,1
28,30,65,28,64,60,33,27,59,31,29,66,57,64,63,30,61,29,28,64,30,30,29,33,30,33,28,31,1
23,27,67,25,66,59,34,28,58,32,25,69,56,65,62,31,60,30,24,67,27,31,25,34,27,34,25,32,1
31,33,62,31,61,56,37,31,55,35,32,63,53,61,59,34,57,33,31,61,33,34,32,37,33,37,31,35,2
28,30,65,28,64,60,32,24,59,30,29,66,56,64,64,28,62,27,28,64,30,28,29,32,30,32,28,30,1
29,31,61,31,60,55,36,32,54,36,30,63,52,59,58,34,56,34,30,61,33,35,31,38,32,37,31,36,1
28,30,65,28,64,64,29,23,63,27,29,66,61,64,67,26,65,25,28,64,30,26,29,29,30,29,28,27,1
29,31,61,31,60,57,33,27,56,33,30,63,53,59,61,30,59,30,30,61,33,31,31,35,32,34,31,33,1
30,32,60,32,59,55,36,32,54,36,31,62,52,58,58,34,56,34,31,60,34,35,32,38,33,37,32,36,1
31,33,62,31,61,56,38,34,55,36,32,63,54,61,58,36,56,35,31,61,33,36,32,38,33,38,31,36,2
26,30,64,28,63,68,25,19,67,23,28,66,65,62,71,22,69,21,27,64,30,22,28,25,30,25,28,23,2
26,30,64,28,63,63,30,24,62,28,28,66,60,62,66,27,64,26,27,64,30,27,28,30,30,30,28,28,2
23,27,64,27,63,64,27,23,63,27,25,67,61,61,67,25,65,25,25,65,29,26,26,29,28,28,27,27,2
31,33,62,31,61,60,34,30,59,32,32,63,58,61,62,32,60,31,31,61,33,32,32,34,33,34,31,32,2
24,26,63,28,62,60,29,27,59,31,25,66,57,60,63,28,61,29,26,64,30,30,27,33,28,31,28,31,2
28,30,65,28,64,62,31,25,61,29,29,66,59,64,65,28,63,27,28,64,30,28,29,31,30,31,28,29,1
29,31,61,31,60,46,45,41,45,45,30,63,43,59,49,43,47,43,30,61,33,44,31,47,32,46,31,45,1
25,28,65,27,64,68,24,19,67,23,27,67,65,63,71,22,69,21,26,65,29,22,27,25,29,25,27,23,2
29,31,61,31,60,50,41,37,49,41,30,63,47,59,53,39,51,39,30,61,33,40,31,43,32,42,31,41,1
30,34,60,32,59,60,33,27,59,31,32,62,57,58,63,30,61,29,31,60,34,30,32,33,34,33,32,31,1
28,30,65,28,64,57,35,27,56,33,29,66,53,64,61,31,59,30,28,64,30,31,29,35,30,35,28,33,2
21,27,66,25,65,73,22,20,72,20,24,69,72,63,74,21,72,20,23,67,27,21,24,22,27,22,25,20,1
30,35,57,34,56,60,32,27,59,31,33,60,57,54,63,30,61,29,32,58,36,30,33,33,36,33,34,31,1
28,30,65,28,64,56,37,31,55,35,29,66,53,64,59,34,57,33,28,64,30,34,29,37,30,37,28,35,2
31,33,62,31,61,52,41,35,51,39,32,63,49,61,55,38,53,37,31,61,33,38,32,41,33,41,31,39,2
28,30,62,30,61,58,33,29,57,33,29,64,55,60,61,31,59,31,29,62,32,32,30,35,31,34,30,33,1
29,31,61,31,60,57,35,33,56,35,30,63,55,59,59,34,57,34,30,61,33,35,31,37,32,36,31,35,2
27,29,66,27,65,60,33,27,59,31,28,67,57,65,63,30,61,29,27,65,29,30,28,33,29,33,27,31,1
28,30,65,28,64,59,34,28,58,32,29,66,56,64,62,31,60,30,28,64,30,31,29,34,30,34,28,32,1
26,34,58,32,57,66,27,21,65,25,30,62,63,54,69,24,67,23,29,60,34,24,30,27,34,27,32,25,1
29,31,61,31,60,58,33,29,57,33,30,63,55,59,61,31,59,31,30,61,33,32,31,35,32,34,31,33,1
32,36,58,34,57,60,34,30,59,32,34,60,58,56,62,32,60,31,33,58,36,32,34,34,36,34,34,32,2
28,30,65,28,64,57,36,30,56,34,29,66,54,64,60,33,58,32,28,64,30,33,29,36,30,36,28,34,1
28,30,65,28,64,56,36,28,55,34,29,66,52,64,60,32,58,31,28,64,30,32,29,36,30,36,28,34,1
28,30,65,28,64,48,44,36,47,42,29,66,44,64,52,40,50,39,28,64,30,40,29,44,30,44,28,42,2
28,30,65,28,64,55,37,29,54,35,29,66,51,64,59,33,57,32,28,64,30,33,29,37,30,37,28,35,2
29,31,61,31,60,55,35,29,54,35,30,63,51,59,59,32,57,32,30,61,33,33,31,37,32,36,31,35,1
29,31,61,31,60,59,32,28,58,32,30,63,56,59,62,30,60,30,30,61,33,31,31,34,32,33,31,32,1
28,30,65,28,64,59,33,25,58,31,29,66,55,64,63,29,61,28,28,64,30,29,29,33,30,33,28,31,1
31,32,62,31,61,54,39,36,53,38,32,63,52,61,56,38,54,37,31,61,33,38,32,40,33,40,31,38,2
29,31,61,31,60,58,33,29,57,33,30,63,55,59,61,31,59,31,30,61,33,32,31,35,32,34,31,33,1
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
29,31,61,31,60,53,38,34,52,38,30,63,50,59,56,36,54,36,30,61,33,37,31,40,32,39,31,38,1
23,27,67,25,66,68,26,22,67,24,25,69,66,65,70,24,68,23,24,67,27,24,25,26,27,26,25,24,2
28,30,65,28,64,57,37,33,56,35,29,66,55,64,59,35,57,34,28,64,30,35,29,37,30,37,28,35,2
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
31,33,62,31,61,56,38,34,55,36,32,63,54,61,58,36,56,35,31,61,33,36,32,38,33,38,31,36,2
29,31,61,31,60,57,34,30,56,34,30,63,54,59,60,32,58,32,30,61,33,33,31,36,32,35,31,34,1
35,43,49,41,48,71,23,19,70,21,39,53,69,45,73,21,71,20,38,51,43,21,39,23,43,23,41,21,1
28,30,65,28,64,54,38,30,53,36,29,66,50,64,58,34,56,33,28,64,30,34,29,38,30,38,28,36,2
28,30,65,28,64,60,33,27,59,31,29,66,57,64,63,30,61,29,28,64,30,30,29,33,30,33,28,31,1
28,30,65,28,64,48,45,39,47,43,29,66,45,64,51,42,49,41,28,64,30,42,29,45,30,45,28,43,2
23,27,67,25,66,68,26,22,67,24,25,69,66,65,70,24,68,23,24,67,27,24,25,26,27,26,25,24,2
31,36,56,35,55,60,32,27,59,31,34,59,57,53,63,30,61,29,33,57,37,30,34,33,37,33,35,31,1
25,29,65,27,64,70,23,17,69,21,27,67,67,63,73,20,71,19,26,65,29,20,27,23,29,23,27,21,2
23,27,67,25,66,57,37,33,56,35,25,69,55,65,59,35,57,34,24,67,27,35,25,37,27,37,25,35,2
28,30,65,28,64,56,36,28,55,34,29,66,52,64,60,32,58,31,28,64,30,32,29,36,30,36,28,34,1
29,31,61,31,60,64,28,26,63,28,30,63,62,59,66,27,64,27,30,61,33,28,31,30,32,29,31,28,2
28,30,65,28,64,62,30,22,61,28,29,66,58,64,66,26,64,25,28,64,30,26,29,30,30,30,28,28,1
28,30,65,28,64,54,38,30,53,36,29,66,50,64,58,34,56,33,28,64,30,34,29,38,30,38,28,36,2
29,31,61,31,60,56,35,31,55,35,30,63,53,59,59,33,57,33,30,61,33,34,31,37,32,36,31,35,1
28,30,65,28,64,54,40,36,53,38,29,66,52,64,56,38,54,37,28,64,30,38,29,40,30,40,28,38,2
23,27,67,25,66,60,33,27,59,31,25,69,57,65,63,30,61,29,24,67,27,30,25,33,27,33,25,31,1
28,34,59,32,58,63,30,24,62,28,31,62,60,56,66,27,64,26,30,60,34,27,31,30,34,30,32,28,1
29,31,61,31,60,59,32,28,58,32,30,63,56,59,62,30,60,30,30,61,33,31,31,34,32,33,31,32,1
29,31,61,31,60,55,36,32,54,36,30,63,52,59,58,34,56,34,30,61,33,35,31,38,32,37,31,36,1
32,34,58,34,57,54,37,33,53,37,33,60,51,56,57,35,55,35,33,58,36,36,34,39,35,38,34,37,2
24,28,63,28,62,75,17,15,74,17,26,66,73,60,77,16,75,16,26,64,30,17,27,19,29,18,28,17,2
28,30,65,28,64,55,37,29,54,35,29,66,51,64,59,33,57,32,28,64,30,33,29,37,30,37,28,35,1
28,30,65,28,64,60,33,27,59,31,29,66,57,64,63,30,61,29,28,64,30,30,29,33,30,33,28,31,1
28,30,65,28,64,53,40,34,52,38,29,66,50,64,56,37,54,36,28,64,30,37,29,40,30,40,28,38,1
31,33,62,31,61,57,37,33,56,35,32,63,55,61,59,35,57,34,31,61,33,35,32,37,33,37,31,35,2
31,33,62,31,61,48,45,39,47,43,32,63,45,61,51,42,49,41,31,61,33,42,32,45,33,45,31,43,2
31,32,62,31,61,60,32,27,59,31,32,63,57,61,63,30,61,29,31,61,33,30,32,33,33,33,31,31,1
32,34,58,34,57,53,39,37,52,39,33,60,51,56,55,38,53,38,33,58,36,39,34,41,35,40,34,39,2
29,31,61,31,60,47,44,40,46,44,30,63,44,59,50,42,48,42,30,61,33,43,31,46,32,45,31,44,1
28,30,65,28,64,58,36,32,57,34,29,66,56,64,60,34,58,33,28,64,30,34,29,36,30,36,28,34,2
31,33,62,31,61,56,37,31,55,35,32,63,53,61,59,34,57,33,31,61,33,34,32,37,33,37,31,35,2
28,30,65,28,64,54,39,33,53,37,29,66,51,64,57,36,55,35,28,64,30,36,29,39,30,39,28,37,2
26,32,58,32,57,72,19,15,71,19,29,62,69,54,75,17,73,17,29,60,34,18,30,21,33,20,32,19,2
23,27,67,25,66,64,29,23,63,27,25,69,61,65,67,26,65,25,24,67,27,26,25,29,27,29,25,27,2
28,30,65,28,64,54,39,33,53,37,29,66,51,64,57,36,55,35,28,64,30,36,29,39,30,39,28,37,2
25,29,65,27,64,71,22,16,70,20,27,67,68,63,74,19,72,18,26,65,29,19,27,22,29,22,27,20,2
31,33,62,31,61,55,38,32,54,36,32,63,52,61,58,35,56,34,31,61,33,35,32,38,33,38,31,36,2
23,27,67,25,66,60,33,27,59,31,25,69,57,65,63,30,61,29,24,67,27,30,25,33,27,33,25,31,1
28,30,65,28,64,59,33,25,58,31,29,66,55,64,63,29,61,28,28,64,30,29,29,33,30,33,28,31,2
