@relation 'Sax dominant'

@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMeea numeric
@attribute o1atLeea numeric
@attribute o1atMaaa numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMeaa numeric
@attribute o1atLeaa numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atLeee numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMdea numeric
@attribute o1atLdea numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMcda numeric
@attribute o1atLcda numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMdaa numeric
@attribute o1atLdaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMdda numeric
@attribute o1atLdda numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMadc numeric
@attribute o1atLadc numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMcbe numeric
@attribute o1atLcbe numeric
@attribute o1atMcea numeric
@attribute o1atLcea numeric
@attribute o1atMcdb numeric
@attribute o1atLcdb numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMeca numeric
@attribute o1atLeca numeric
@attribute o1atMdec numeric
@attribute o1atLdec numeric
@attribute o1atMdeb numeric
@attribute o1atLdeb numeric
@attribute o1atMeba numeric
@attribute o1atLeba numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMcec numeric
@attribute o1atLcec numeric
@attribute o1atMceb numeric
@attribute o1atLceb numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMdce numeric
@attribute o1atLdce numeric
@attribute o1atMeda numeric
@attribute o1atLeda numeric
@attribute o1atMeeb numeric
@attribute o1atLeeb numeric
@attribute o1atMced numeric
@attribute o1atLced numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMadb numeric
@attribute o1atLadb numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMbdb numeric
@attribute o1atLbdb numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMecc numeric
@attribute o1atLecc numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute destClass {1.0,2.0}

@data
4,82,3,7,1,75,79,80,7,79,12,78,12,76,13,2,91,3,84,11,81,78,9,2,8,85,8,6,84,7,77,15,77,13,83,11,86,7,85,7,3,8,7,82,8,81,6,88,8,9,80,8,79,8,4,12,2,14,2,84,79,11,2,14,2,90,3,12,8,82,11,15,4,13,2,83,3,13,9,79,11,9,2,83,2,90,6,83,9,9,2,8,9,14,3,14,3,8,78,8,10,8,3,8,2,81,76,8,9,8,83,8,80,8,3,8,10,7,79,8,8,13,2,14,11,8,8,15,4,15,6,14,79,7,77,8,2,84,11,12,11,13,86,6,1.0
4,63,3,7,1,75,59,80,7,79,12,78,12,76,13,2,91,3,66,28,62,78,9,2,8,85,8,6,84,7,77,14,77,13,83,11,86,7,85,7,3,8,24,64,26,62,22,88,25,9,80,8,79,8,4,12,2,14,2,66,79,11,2,14,3,90,3,12,25,65,29,15,4,13,2,65,3,13,27,59,29,9,2,65,2,90,22,65,27,9,2,8,27,14,3,14,3,8,78,8,28,8,3,8,2,62,76,8,27,8,83,8,80,8,3,8,28,7,79,8,25,13,3,14,29,8,25,15,4,15,22,14,79,7,77,8,3,66,29,12,28,13,86,6,1.0
4,82,3,7,1,74,80,79,7,78,13,78,13,75,15,2,91,3,85,8,81,77,8,2,8,85,8,6,84,8,76,15,76,14,83,12,86,7,85,7,3,8,6,83,8,81,4,88,6,9,79,8,78,8,4,13,2,15,2,85,78,12,2,15,3,90,3,13,5,84,8,15,4,15,2,85,3,15,8,81,9,8,2,84,1,90,5,83,9,8,2,8,8,15,2,15,3,8,78,8,9,8,2,8,2,82,75,8,8,8,83,8,79,8,3,8,9,7,78,8,6,14,3,15,9,8,5,16,4,15,5,15,78,7,76,8,3,84,8,13,8,15,86,6,1.0
5,85,4,7,2,75,83,80,7,77,12,76,11,75,13,3,90,4,87,6,84,78,9,3,9,83,7,5,82,6,76,14,76,12,80,10,85,6,84,6,2,8,4,85,5,84,3,87,5,10,79,8,78,7,5,12,2,14,3,87,77,10,2,14,3,89,2,12,4,85,6,14,5,13,2,87,2,13,5,83,7,9,2,86,2,89,3,85,6,9,2,9,5,13,2,13,3,8,76,7,5,7,3,8,2,85,75,8,5,8,80,7,79,7,3,8,7,6,77,8,4,12,3,13,7,8,4,15,5,14,3,13,79,6,77,7,3,86,6,12,6,13,85,5,1.0
5,84,4,5,2,76,81,79,5,78,14,78,14,76,15,3,90,4,86,9,83,78,7,3,6,87,6,4,86,6,77,16,77,15,85,13,88,5,87,5,4,6,6,83,8,82,4,87,6,7,79,6,78,6,5,14,4,15,3,86,78,13,3,15,3,89,4,14,6,84,9,16,5,15,3,85,4,15,8,81,9,7,3,84,2,89,4,84,8,7,4,6,8,15,3,15,4,6,78,6,8,6,3,6,4,83,76,6,8,6,85,6,79,6,4,6,8,5,78,6,6,15,3,15,9,6,6,16,5,16,4,15,78,5,77,6,3,85,9,14,9,15,88,4,1.0
5,88,4,4,2,73,86,80,4,77,11,77,10,73,13,3,90,4,89,6,87,77,7,3,6,86,4,2,85,4,75,15,75,12,83,8,88,3,87,3,2,5,3,86,3,86,3,87,4,7,79,5,78,4,5,11,2,14,3,89,77,8,2,14,3,89,2,11,4,87,6,15,5,13,2,88,2,13,4,86,6,7,2,87,2,89,3,87,4,7,2,6,3,13,2,13,3,5,77,4,3,4,3,5,2,87,73,5,3,5,83,4,79,4,3,5,5,3,77,5,3,12,3,13,6,5,4,15,5,15,3,13,79,3,76,4,3,88,6,11,6,13,88,2,2.0
4,89,3,4,1,75,87,80,4,78,12,78,11,75,13,2,91,3,90,5,88,78,7,2,6,86,5,3,85,5,77,15,77,12,83,10,88,4,87,4,2,6,2,87,2,87,2,88,3,7,80,6,79,5,4,12,1,14,2,90,79,10,2,14,2,90,2,12,3,88,5,15,4,13,1,89,2,13,3,87,5,7,1,88,1,90,2,88,3,7,1,6,2,13,2,13,2,6,78,6,3,6,2,6,1,88,75,6,2,6,84,6,80,5,3,6,4,4,78,6,3,12,2,13,5,6,3,15,4,15,2,13,79,4,77,5,2,89,5,12,5,13,88,3,2.0
3,89,3,6,1,75,87,81,6,78,10,78,10,76,12,2,91,3,90,4,88,78,9,2,8,84,7,5,83,6,76,13,77,12,81,9,86,6,85,6,2,7,3,87,3,87,2,88,3,9,80,7,80,7,4,10,2,12,2,90,78,9,2,13,2,90,2,10,3,88,4,13,4,13,2,89,2,13,4,87,4,9,2,88,1,90,2,88,4,9,2,8,3,12,2,13,3,8,79,7,3,7,2,8,2,88,77,8,3,8,82,7,80,7,3,7,4,6,79,7,3,12,2,13,5,7,3,13,3,13,2,12,81,6,78,7,2,89,5,10,5,12,86,5,2.0
4,57,3,6,1,48,54,50,6,50,45,48,44,48,45,2,91,4,60,36,57,49,8,2,7,86,8,5,85,7,49,46,48,44,84,44,87,6,86,6,3,7,32,57,34,56,30,88,33,8,50,8,48,7,4,45,3,45,2,60,49,44,2,44,3,90,3,44,33,59,36,46,4,45,2,58,3,44,35,54,36,8,3,58,2,90,30,59,35,8,3,7,34,45,3,44,3,7,48,7,34,7,3,7,3,56,48,7,34,7,84,7,49,8,3,7,34,6,50,7,32,44,3,45,36,8,33,46,4,46,30,45,48,6,48,7,3,59,36,45,36,45,87,5,1.0
4,86,3,6,1,74,84,79,6,77,13,76,12,74,14,2,91,3,88,6,85,77,8,2,8,84,7,5,83,7,76,15,75,13,81,11,86,6,85,6,2,8,3,87,4,86,3,88,4,9,79,8,77,7,4,13,2,15,2,88,77,11,2,15,2,90,2,13,4,86,6,15,4,14,2,88,2,14,4,85,6,8,2,88,2,90,3,87,5,9,2,8,4,15,2,15,3,7,77,7,5,8,3,8,2,86,74,7,4,8,82,7,78,7,3,7,6,6,77,7,3,14,2,15,6,8,4,16,4,15,3,15,78,6,76,7,2,88,6,13,6,14,86,5,1.0
5,86,4,6,2,76,84,81,6,78,11,78,11,76,12,2,90,3,87,6,84,79,8,3,8,84,7,5,83,7,77,13,77,12,81,10,86,6,85,6,3,7,3,87,4,86,3,87,4,9,80,7,79,7,5,11,3,13,3,88,78,10,3,13,2,89,3,11,4,85,6,13,5,12,3,88,3,12,4,85,6,8,3,88,3,89,3,86,5,9,3,8,4,13,3,13,4,7,79,7,5,7,4,8,3,86,77,7,5,8,82,7,80,7,4,7,6,6,79,7,3,12,2,13,6,7,4,14,5,13,3,13,80,6,78,7,2,88,6,11,6,12,86,5,2.0
4,67,4,3,2,40,65,46,3,45,44,46,44,40,46,3,90,4,69,22,66,43,4,3,4,89,4,2,88,4,42,45,43,46,87,42,90,3,89,3,4,4,22,67,23,66,21,87,23,5,46,4,46,4,5,45,2,47,3,69,45,42,3,48,3,89,4,45,22,67,23,46,4,47,2,69,3,47,23,65,24,4,2,68,2,89,21,67,24,4,2,4,23,46,3,47,3,4,46,4,25,4,3,4,2,67,40,4,23,4,87,4,46,4,4,4,25,3,45,4,23,46,3,47,25,4,22,47,4,47,21,46,46,3,43,4,3,68,24,44,22,46,90,2,2.0
5,82,4,4,2,77,79,82,4,79,10,79,9,77,11,3,90,4,84,11,81,80,7,3,6,86,4,2,85,4,78,13,78,10,83,8,88,3,87,3,2,5,7,81,8,80,6,87,8,7,81,5,80,4,5,10,2,12,3,84,79,8,2,12,3,89,2,10,8,82,11,13,5,11,2,83,2,11,9,79,11,7,2,82,2,89,6,82,9,7,2,6,8,11,2,11,3,5,79,4,8,4,3,5,2,81,77,5,8,5,83,4,81,4,3,5,10,3,79,5,7,10,3,11,11,5,8,13,5,13,6,11,81,3,79,4,3,83,11,10,11,11,88,2,1.0
4,89,3,4,1,74,87,81,4,79,10,78,10,75,13,2,91,3,90,5,88,78,7,2,6,86,5,3,85,5,77,14,76,12,83,8,88,4,87,4,2,6,3,87,3,87,2,88,3,7,81,6,79,5,4,10,2,13,2,90,79,8,2,13,2,90,2,10,3,88,5,14,4,13,2,89,2,13,4,87,5,7,2,88,1,90,2,88,4,7,2,6,3,13,2,13,3,6,79,6,3,6,2,6,2,88,75,6,3,6,84,5,80,5,3,5,4,4,79,5,3,12,2,13,5,6,3,14,4,14,2,13,80,4,77,5,2,89,5,10,5,13,88,3,2.0
5,84,4,6,2,71,81,78,6,75,13,75,13,71,16,3,90,4,86,9,83,75,9,3,8,84,7,5,83,7,73,17,73,15,81,11,86,6,85,6,3,7,6,83,7,82,4,87,6,9,77,7,76,7,5,13,3,16,3,86,75,11,3,16,3,89,3,13,6,84,9,17,5,16,3,85,3,16,8,81,9,9,3,84,2,89,4,84,8,9,3,8,7,16,3,16,4,8,76,7,7,7,3,8,3,83,72,8,7,8,82,7,77,7,4,7,8,6,76,7,6,15,3,16,9,7,6,17,5,17,4,16,77,6,74,7,3,85,9,13,9,16,86,5,2.0
5,81,4,6,2,72,78,79,6,78,12,77,12,73,14,3,90,4,84,9,80,76,7,3,7,86,7,5,85,6,75,15,75,14,84,10,87,6,86,6,4,7,6,82,8,80,4,87,7,8,79,7,78,7,5,12,3,15,3,84,78,10,3,15,3,89,4,12,6,82,9,15,5,14,2,84,3,14,8,78,10,7,2,83,2,89,4,82,9,7,3,7,9,14,3,14,3,7,77,7,10,7,3,7,2,81,73,7,9,7,84,7,79,7,4,7,10,6,78,7,7,14,3,14,10,7,6,16,5,15,4,14,78,6,75,7,3,83,9,12,9,14,87,5,1.0
3,88,3,4,1,72,86,80,4,78,10,78,10,74,13,2,91,3,89,5,87,76,7,2,6,86,5,3,85,5,75,14,75,13,83,8,88,4,87,4,2,6,4,86,4,86,3,88,4,7,80,6,79,5,4,10,2,13,2,89,78,8,2,14,3,90,2,10,4,88,5,14,4,14,2,88,2,14,5,86,5,7,2,87,1,90,3,87,5,7,2,6,4,13,2,14,3,6,79,6,4,6,2,6,2,87,74,6,4,6,84,5,79,5,3,5,5,4,78,5,4,13,3,14,6,6,4,14,3,14,3,13,80,4,76,5,3,88,6,10,6,13,88,3,2.0
5,85,4,2,2,62,82,70,2,69,20,69,20,63,23,3,90,4,87,8,84,66,4,3,3,90,3,1,89,3,65,25,65,23,88,17,91,2,90,2,4,3,4,84,5,83,3,87,5,4,70,3,69,3,5,20,3,24,3,87,69,18,3,24,3,89,4,20,5,85,8,25,5,23,2,86,3,23,6,82,8,4,2,85,2,89,3,85,6,4,3,3,6,23,3,23,3,3,69,3,7,3,3,3,2,84,63,3,6,3,88,3,70,3,4,3,7,2,69,3,5,23,3,23,8,3,5,25,5,25,3,23,69,2,65,3,3,86,8,20,8,23,91,1,2.0
4,79,3,7,1,75,77,80,7,77,12,76,12,75,13,2,91,3,81,12,78,78,9,2,9,83,8,6,82,7,76,14,76,13,80,11,85,7,84,7,2,8,10,80,11,79,9,88,11,10,79,8,78,8,4,12,2,14,2,81,77,11,2,14,2,90,2,12,10,79,12,14,4,13,2,81,2,13,11,77,13,9,2,81,2,90,9,80,12,9,2,9,11,14,2,14,3,8,77,8,12,8,3,9,2,79,76,8,12,9,81,8,79,8,3,8,13,7,78,8,10,13,2,14,13,8,10,15,4,14,9,14,79,7,77,8,2,81,12,12,12,13,85,6,1.0
4,71,3,7,1,74,67,79,7,78,13,78,13,75,15,2,91,4,75,21,71,77,9,2,8,85,8,6,84,8,76,16,76,14,83,12,86,7,85,7,3,8,16,71,18,69,13,88,17,9,79,8,78,8,4,13,2,15,2,75,78,12,2,15,3,90,3,13,17,74,21,16,4,15,2,73,3,15,20,67,21,9,2,72,1,90,13,73,20,9,2,8,18,15,2,15,3,8,78,8,19,8,2,8,2,70,75,8,18,8,83,8,79,8,3,8,19,7,78,8,16,14,3,15,21,8,17,16,4,16,13,15,78,7,76,8,3,73,21,13,21,15,86,6,1.0
5,88,4,6,2,76,86,81,6,78,11,78,11,76,12,2,90,3,88,6,86,79,9,3,8,84,7,5,83,7,77,14,77,12,81,10,86,6,85,6,3,7,3,87,3,87,3,87,4,9,80,7,79,7,5,11,3,13,3,89,78,10,3,13,2,89,3,11,4,86,6,14,5,12,3,88,3,12,4,86,6,9,3,88,3,89,3,87,4,9,3,8,3,13,3,13,4,7,79,7,4,7,4,8,3,87,77,7,4,8,82,7,80,7,4,7,5,6,79,7,3,12,2,13,6,7,4,14,5,14,3,13,80,6,78,7,2,89,6,11,6,12,86,5,2.0
5,88,4,6,2,76,86,81,6,79,11,77,10,76,12,3,90,4,89,6,87,79,9,3,8,84,7,5,83,6,78,14,77,11,81,9,86,6,85,6,3,8,3,86,3,86,3,87,4,9,81,8,79,7,5,11,2,13,3,89,79,9,2,13,3,89,2,11,4,87,6,14,5,12,2,88,2,12,4,86,6,9,2,87,2,89,3,87,4,9,2,8,3,12,2,12,3,7,78,7,4,7,3,7,2,87,76,7,3,7,82,7,80,7,3,7,5,6,79,7,3,11,3,12,6,8,4,14,5,14,3,12,80,6,78,7,3,88,6,11,6,12,86,5,2.0
5,88,4,5,2,76,86,81,5,79,11,78,10,76,12,3,90,4,89,6,87,79,8,3,7,85,6,4,84,6,78,14,77,11,82,9,87,5,86,5,3,7,3,86,3,86,3,87,4,8,81,7,79,6,5,11,2,13,3,89,79,9,2,13,3,89,2,11,4,87,6,14,5,12,2,88,2,12,4,86,6,8,2,87,2,89,3,87,4,8,2,7,3,12,2,12,3,6,79,6,4,6,3,6,2,87,76,6,3,6,83,6,80,6,3,6,5,5,79,6,3,11,3,12,6,7,4,14,5,14,3,12,80,5,78,6,3,88,6,11,6,12,87,4,2.0
5,88,4,5,2,77,86,82,5,79,10,79,9,77,11,3,90,4,89,6,87,80,8,3,7,85,5,3,84,5,78,13,78,10,82,8,87,4,86,4,2,6,3,86,3,86,3,87,4,8,81,6,80,5,5,10,2,12,3,89,79,8,2,12,3,89,2,10,4,87,6,13,5,11,2,88,2,11,4,86,6,8,2,87,2,89,3,87,4,8,2,7,3,11,2,11,3,6,79,5,3,5,3,6,2,87,77,6,3,6,82,5,81,5,3,6,5,4,79,6,3,10,3,11,6,6,4,13,5,13,3,11,81,4,79,5,3,88,6,10,6,11,87,3,2.0
4,83,4,5,2,53,80,62,5,62,27,62,27,56,30,3,90,4,85,9,82,57,7,3,6,87,6,4,86,6,57,32,57,31,85,25,88,5,87,5,4,6,6,82,7,81,5,87,7,7,62,6,62,6,5,27,3,31,3,85,61,26,3,32,3,89,4,27,7,83,9,32,5,31,2,84,3,31,8,80,9,7,2,83,2,89,5,83,8,7,3,6,8,30,3,31,3,6,62,6,9,6,3,6,2,82,56,6,8,6,85,6,62,7,4,6,9,5,62,6,7,31,3,31,10,6,7,32,4,32,5,30,62,5,57,6,3,84,10,27,10,30,88,4,2.0
5,88,4,6,2,75,86,80,6,79,12,78,12,76,13,3,90,4,89,6,87,78,8,3,7,86,7,5,85,6,77,15,77,13,84,11,87,6,86,6,4,7,3,86,3,86,3,87,4,8,80,7,79,7,5,12,3,14,3,89,79,11,3,14,3,89,4,12,4,87,6,15,5,13,2,88,3,13,4,86,6,8,2,87,2,89,3,87,4,8,3,7,4,13,3,13,3,7,78,7,5,7,3,7,2,87,76,7,4,7,84,7,80,7,4,7,5,6,79,7,4,13,3,13,6,7,4,15,5,15,3,13,79,6,77,7,3,88,6,12,6,13,87,5,1.0
5,75,4,6,2,74,73,79,6,77,13,76,12,74,14,3,90,4,77,16,74,77,8,3,8,84,7,5,83,7,76,15,75,13,81,11,86,6,85,6,3,8,14,75,15,74,13,87,15,9,79,8,77,7,5,13,2,15,3,77,77,11,2,15,3,89,2,13,14,75,16,15,5,14,2,77,2,14,15,73,17,8,2,76,2,89,13,75,16,8,2,8,15,14,2,14,3,7,77,7,16,7,3,7,2,75,74,7,15,7,82,7,78,7,3,7,17,6,77,7,14,13,3,14,17,8,14,16,5,15,13,14,78,6,76,7,3,76,16,13,16,14,86,5,1.0
4,76,4,8,2,72,74,79,8,78,12,77,12,74,14,3,90,4,78,14,75,76,9,3,9,84,9,7,83,8,75,14,75,14,82,11,85,8,84,8,4,9,13,76,14,75,12,87,14,10,79,9,78,9,5,12,3,15,3,78,78,11,3,15,3,89,4,12,13,76,15,14,4,14,2,78,3,14,14,74,16,9,2,77,2,89,12,76,15,9,3,9,15,14,3,14,3,9,77,9,16,9,3,9,2,76,74,9,15,9,82,9,79,9,4,9,16,8,78,9,14,14,3,14,16,9,13,15,5,15,12,14,78,8,75,9,3,77,15,12,14,14,85,7,1.0
4,78,4,4,2,60,76,71,4,70,16,71,17,62,21,2,90,3,79,12,76,65,5,3,5,88,5,3,87,5,64,21,65,22,86,13,89,4,88,4,4,5,11,79,12,78,10,87,12,6,71,5,71,5,5,17,3,22,3,80,70,14,3,23,2,89,4,17,11,77,12,21,4,22,3,80,4,22,12,76,13,5,3,80,3,89,10,78,13,5,3,5,13,22,4,23,4,5,71,5,14,5,4,5,3,78,62,5,13,5,86,5,71,5,4,5,14,4,70,5,12,22,2,23,14,5,11,22,4,22,10,22,71,4,65,5,2,80,13,16,12,21,89,3,1.0
4,58,3,6,1,73,54,80,6,77,11,77,11,74,13,2,91,3,61,33,57,77,8,2,8,84,7,5,83,7,75,14,75,13,81,10,86,6,85,6,2,7,29,59,31,57,27,88,30,9,79,7,78,7,4,11,2,14,2,61,77,10,2,14,3,90,2,11,30,60,33,15,4,13,2,60,2,13,32,54,34,9,2,60,2,90,27,60,32,8,2,8,31,14,2,14,3,7,78,7,32,7,3,8,2,57,75,7,32,8,82,7,79,7,3,7,33,6,78,7,29,13,3,14,34,7,30,15,4,15,27,14,79,6,76,7,3,61,33,11,33,13,86,5,1.0
4,87,3,6,1,78,85,83,6,80,9,79,9,78,10,2,91,3,88,7,86,81,9,2,8,84,7,5,83,6,79,12,79,10,81,8,86,6,85,6,2,7,4,86,4,86,4,88,5,9,82,7,81,7,4,9,2,11,2,88,80,8,2,11,3,90,2,9,5,87,7,12,4,10,2,87,2,10,5,85,7,9,2,87,2,90,4,87,5,9,2,8,4,11,2,11,3,7,80,7,5,7,3,8,2,86,79,7,5,8,82,7,82,7,3,7,6,6,81,7,4,10,3,11,7,7,5,12,4,12,4,11,82,6,80,7,3,88,7,9,7,10,86,5,2.0
5,85,4,3,2,77,82,82,3,81,10,81,10,77,12,3,90,4,87,8,84,80,5,3,4,89,4,2,88,4,79,13,79,12,87,8,90,3,89,3,4,4,5,84,7,83,3,87,5,5,82,4,81,4,5,10,4,12,3,87,81,8,3,12,3,89,4,10,5,85,8,13,5,12,3,86,4,12,7,82,8,5,3,85,2,89,3,85,7,5,4,4,7,12,3,12,4,4,81,4,7,4,3,4,4,84,77,4,7,4,87,4,82,4,4,4,7,3,81,4,5,12,3,12,8,4,5,13,5,13,3,12,81,3,79,4,3,86,8,10,8,12,90,2,2.0
5,88,4,4,2,76,86,81,4,78,11,78,10,76,12,3,90,4,89,6,87,79,7,3,6,86,4,2,85,4,77,14,77,11,83,9,88,3,87,3,2,5,3,86,3,86,3,87,4,7,80,5,79,4,5,11,2,13,3,89,78,9,2,13,3,89,2,11,4,87,6,14,5,12,2,88,2,12,4,86,6,7,2,87,2,89,3,87,4,7,2,6,3,12,2,12,3,5,78,4,3,4,3,5,2,87,76,5,3,5,83,4,80,4,3,5,5,3,78,5,3,11,3,12,6,5,4,14,5,14,3,12,80,3,78,4,3,88,6,11,6,12,88,2,2.0
5,74,4,4,2,54,71,61,4,60,30,60,30,55,32,3,90,5,78,18,74,58,6,3,5,88,5,3,87,5,57,34,57,32,86,28,89,4,88,4,4,5,12,74,14,72,11,87,14,6,61,5,60,5,5,30,3,33,3,78,60,28,3,33,4,89,4,30,14,77,18,34,5,32,2,76,3,32,16,72,18,6,2,75,2,89,12,76,16,6,3,5,15,32,3,32,3,5,60,5,16,5,3,5,2,73,55,5,15,5,86,5,61,5,4,5,16,4,60,5,13,32,4,32,18,5,14,34,5,34,12,32,60,4,57,5,4,76,18,30,18,32,89,3,2.0
4,88,3,7,1,74,86,79,7,76,13,76,12,74,14,2,91,3,89,6,87,77,10,2,9,83,7,5,82,7,75,16,75,13,80,11,85,6,84,6,1,8,3,86,3,86,3,88,4,10,78,8,77,7,4,13,1,15,2,89,76,11,1,15,3,90,1,13,4,88,6,16,4,14,1,88,1,14,4,86,6,10,1,87,1,90,3,87,4,10,1,9,3,14,1,14,2,8,76,7,3,7,2,8,1,87,74,8,3,8,80,7,78,7,2,8,5,6,76,8,3,13,3,14,6,8,4,16,4,16,3,14,78,6,76,7,3,88,6,13,6,14,85,5,1.0
6,87,5,4,3,70,85,79,4,78,11,78,11,72,14,4,89,5,88,7,86,75,6,4,5,88,5,3,87,5,74,16,74,14,86,9,89,4,88,4,5,5,4,85,4,85,4,86,5,6,79,5,78,5,6,11,4,15,4,88,78,9,4,15,4,88,5,11,5,86,7,16,6,14,3,87,4,14,5,85,7,6,3,86,3,88,4,86,5,6,4,5,5,14,4,14,4,5,78,5,6,5,4,5,3,86,72,5,5,5,86,5,79,5,5,5,6,4,78,5,5,14,4,14,7,5,5,16,6,16,4,14,78,4,74,5,4,87,7,11,7,14,89,3,2.0
4,86,4,5,2,65,83,75,5,74,13,74,14,66,17,3,90,4,88,6,85,70,7,3,6,87,6,4,86,5,69,18,70,18,85,10,88,5,87,5,4,6,3,85,4,84,3,87,4,7,75,6,75,6,5,14,3,18,3,88,74,10,3,19,3,89,4,14,4,86,6,18,4,18,2,87,3,18,5,84,6,7,2,86,2,89,3,86,5,7,3,6,5,17,3,18,3,6,74,6,6,6,3,6,2,85,66,6,5,6,85,6,75,6,4,6,6,5,74,6,4,18,3,18,7,6,4,18,4,19,3,17,75,5,70,6,3,87,7,13,6,17,88,4,1.0
4,78,3,6,1,74,76,79,6,77,13,75,12,74,14,2,91,3,80,13,77,77,8,2,8,84,7,5,83,6,76,15,75,13,81,11,86,6,85,6,2,8,11,79,12,78,10,88,12,9,79,8,77,7,4,13,2,15,2,80,77,11,2,15,2,90,2,13,11,78,13,15,4,14,2,80,2,14,12,76,14,8,2,80,2,90,10,79,13,8,2,8,12,15,2,15,3,7,76,7,13,8,3,8,2,78,74,7,12,8,82,7,78,7,3,7,14,6,77,7,11,14,2,15,14,8,11,16,4,15,10,15,78,6,76,7,2,80,13,13,13,14,86,5,1.0
5,74,4,6,2,75,69,80,6,77,12,77,12,75,13,3,90,5,79,17,74,78,9,3,8,84,7,5,83,7,76,15,76,13,81,11,86,6,85,6,3,7,10,75,13,72,9,87,12,9,79,7,78,7,5,12,2,14,3,79,77,11,2,14,4,89,2,12,12,78,17,15,5,13,2,77,2,13,15,71,17,9,2,76,2,89,9,77,15,9,3,8,13,13,2,13,3,7,78,7,14,7,3,7,2,73,76,7,14,7,82,7,79,7,3,7,15,6,78,7,10,13,4,13,17,7,12,15,5,15,9,13,79,6,77,7,4,77,17,12,17,13,86,5,2.0
5,82,4,5,2,64,80,71,5,70,20,70,19,64,22,3,90,4,84,8,81,68,6,3,6,87,6,4,86,6,67,22,67,21,85,17,88,5,87,5,4,6,7,82,8,81,6,87,8,7,71,6,70,6,5,20,2,23,3,84,70,17,3,23,3,89,4,20,7,82,9,23,5,22,2,84,3,22,8,80,10,6,2,83,2,89,6,82,9,6,2,6,8,22,3,22,3,6,70,6,10,6,3,6,2,82,64,6,8,6,85,6,71,6,4,6,10,5,70,6,8,21,3,22,10,6,7,24,5,23,6,22,70,5,67,6,3,83,9,20,8,22,88,4,2.0
