@relation 'Sax dominant'

@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atLeee numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMbee numeric
@attribute o1atLbee numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMaee numeric
@attribute o1atLaee numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMaae numeric
@attribute o1atLaae numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMaad numeric
@attribute o1atLaad numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMdba numeric
@attribute o1atLdba numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMdca numeric
@attribute o1atLdca numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMecc numeric
@attribute o1atLecc numeric
@attribute destClass {1.0,2.0}

@data
10,14,77,14,76,58,46,61,32,60,31,40,50,41,50,62,16,12,80,38,74,12,78,15,51,44,48,42,48,76,17,14,75,16,60,18,60,34,74,30,78,16,76,15,59,32,44,32,44,16,41,18,41,34,62,18,16,16,44,34,14,50,13,18,16,32,16,49,13,52,13,34,42,32,60,16,44,18,16,34,44,18,14,32,42,31,12,50,14,32,14,48,40,32,15,34,60,15,59,16,1.0
22,26,68,24,67,39,56,43,47,43,47,33,58,33,60,45,12,24,70,32,66,23,68,26,60,33,58,34,57,79,13,11,78,13,42,13,41,48,77,45,81,12,79,12,41,49,34,48,36,13,34,15,33,51,44,13,26,13,34,50,24,58,24,15,26,48,26,58,24,60,24,51,34,49,43,13,35,14,26,50,35,14,24,49,34,47,23,58,24,49,24,57,33,49,26,51,43,12,41,13,1.0
19,23,71,21,70,52,47,54,37,54,37,39,51,39,53,56,16,21,73,37,69,20,71,23,53,40,50,41,49,75,17,15,74,17,54,17,53,37,73,36,77,16,75,16,53,38,41,38,43,17,40,19,39,40,55,17,23,17,41,39,21,51,21,19,23,38,23,50,21,53,21,40,41,38,54,17,42,18,23,39,42,18,21,38,41,37,20,51,21,38,21,49,39,38,23,40,54,16,53,17,2.0
15,17,75,17,74,53,57,55,33,57,33,29,61,29,61,59,19,16,77,27,73,16,75,18,62,30,59,31,59,70,19,17,69,21,56,21,54,34,67,31,73,18,71,19,55,35,31,34,33,20,30,23,29,37,57,20,19,20,31,36,17,61,17,23,19,34,19,60,17,63,17,37,31,35,57,21,32,21,19,36,32,22,17,35,31,33,16,61,17,35,17,59,29,35,18,37,57,19,55,21,1.0
9,11,81,11,80,59,49,65,27,63,27,37,53,37,53,65,10,10,83,35,79,10,81,11,54,39,51,39,51,84,11,9,83,9,62,11,62,29,83,25,85,10,83,9,61,29,41,27,41,10,38,11,38,29,65,11,13,10,40,29,11,53,11,11,13,28,11,52,10,55,11,31,39,29,63,9,41,11,12,30,40,11,11,29,39,27,10,53,11,29,11,51,37,29,12,30,63,9,61,9,2.0
24,26,69,24,68,37,56,39,52,39,52,33,58,33,60,41,6,25,70,32,68,24,68,26,60,33,58,34,57,83,8,4,82,8,39,8,38,52,80,51,86,6,84,6,38,53,34,53,36,7,34,10,33,55,40,8,26,7,34,54,24,58,25,10,26,53,26,58,25,60,25,55,34,53,39,8,35,9,26,54,35,9,24,53,34,52,24,58,24,53,24,57,33,53,26,55,39,6,38,8,1.0
7,11,80,10,79,70,42,70,19,72,19,41,47,41,48,74,15,9,83,38,77,9,81,11,49,44,45,44,45,76,14,14,75,16,72,16,70,20,74,18,78,14,76,15,71,20,44,19,46,15,42,16,41,20,72,15,13,16,44,20,11,48,10,18,11,20,11,46,9,50,9,22,44,20,72,16,45,15,11,21,45,16,11,20,44,19,9,48,11,20,11,45,41,20,11,21,72,15,71,16,2.0
18,22,72,20,71,46,61,50,41,50,40,31,61,32,63,52,16,20,74,31,70,19,72,22,63,32,62,31,61,76,16,14,75,16,49,18,48,43,74,38,78,15,76,15,48,42,33,41,33,16,32,18,32,44,51,17,22,16,33,44,20,61,20,18,22,41,22,62,20,63,20,44,31,42,50,16,33,17,22,44,33,18,20,42,31,40,19,61,20,42,20,61,31,42,22,44,50,15,48,16,2.0
7,9,83,9,82,60,41,66,26,64,26,45,45,45,45,66,14,8,85,43,81,8,83,9,46,46,43,47,43,80,15,13,79,13,63,15,63,27,79,24,81,14,79,13,62,28,49,26,49,14,46,15,46,28,66,15,11,14,48,28,9,45,9,15,11,27,9,44,8,47,9,30,47,28,64,13,49,15,10,29,48,15,9,28,47,26,8,45,9,28,9,43,45,28,10,29,64,13,62,13,2.0
27,29,66,27,65,41,56,45,44,45,45,33,58,32,60,47,8,28,67,32,65,27,65,29,60,32,58,34,57,83,9,7,82,9,44,9,43,45,81,43,85,8,83,8,43,47,34,46,36,9,34,11,33,49,46,9,29,9,33,47,27,58,28,11,29,46,29,58,28,60,28,49,34,47,45,9,35,10,29,47,34,10,27,47,34,45,27,58,27,47,27,57,33,47,29,49,45,8,43,9,1.0
18,20,72,20,71,59,57,60,28,63,27,29,61,30,61,65,19,19,74,27,70,19,72,21,62,33,59,31,59,71,17,16,70,20,62,22,60,31,68,25,74,17,72,18,61,29,33,28,33,19,30,22,30,31,63,20,22,19,33,31,20,61,20,22,22,28,22,60,20,63,20,31,31,29,63,20,33,20,22,31,33,22,20,29,31,27,19,61,20,29,20,59,29,29,21,31,63,18,61,20,1.0
18,19,72,20,71,54,55,58,32,58,32,31,59,31,58,60,18,19,74,29,70,19,72,21,60,33,57,33,57,72,19,15,71,19,57,21,56,34,69,30,75,17,73,17,56,34,35,33,35,18,32,21,32,36,59,20,22,18,34,35,20,59,20,21,22,33,22,58,20,61,20,36,33,34,58,19,35,20,22,35,34,21,20,34,33,32,19,59,20,34,20,57,31,34,21,36,58,17,56,19,2.0
27,29,66,27,65,41,56,43,48,43,48,33,58,33,60,45,2,28,67,32,65,27,65,29,60,33,58,34,57,91,2,2,90,2,43,2,42,48,90,47,92,2,90,2,42,49,34,49,36,3,34,4,33,51,44,2,29,3,34,50,27,58,28,4,29,49,29,58,28,60,28,51,34,49,43,2,35,3,29,50,35,3,27,49,34,48,27,58,27,49,27,57,33,49,29,51,43,2,42,2,1.0
22,26,68,24,67,41,56,45,45,45,45,33,58,33,60,47,10,24,70,32,66,23,68,26,60,33,58,34,57,79,12,8,78,12,44,12,43,46,76,43,82,10,80,10,43,47,34,46,36,11,34,14,33,49,46,12,26,11,34,48,24,58,24,14,26,46,26,58,24,60,24,49,34,47,45,12,35,13,26,48,35,13,24,47,34,45,23,58,24,47,24,57,33,47,26,49,45,10,43,12,1.0
19,23,71,21,70,48,61,50,42,50,41,31,61,32,63,52,13,21,73,31,69,20,71,23,63,32,62,31,61,79,13,11,78,13,50,15,49,43,77,40,81,12,79,12,49,42,33,42,33,13,32,15,32,44,51,14,23,13,33,44,21,61,21,15,23,42,23,62,21,63,21,44,31,42,50,13,33,14,23,44,33,15,21,42,31,41,20,61,21,42,21,61,31,42,23,44,50,12,49,13,2.0
5,9,82,9,81,56,34,60,28,60,30,52,38,50,38,62,20,7,85,50,79,7,83,9,39,50,36,54,36,71,21,19,70,21,59,21,58,28,69,28,73,20,71,20,58,32,54,30,56,21,53,23,52,32,61,21,11,21,52,30,9,38,8,23,11,31,9,37,7,40,8,34,54,32,60,21,55,22,10,31,53,22,9,32,54,30,7,38,9,32,9,36,52,32,10,33,60,20,58,21,2.0
27,29,66,27,65,38,61,42,49,42,48,31,61,32,63,44,14,28,67,31,65,27,65,29,63,32,62,31,61,76,15,11,75,15,41,17,40,51,73,46,79,13,77,13,40,50,33,49,33,14,32,17,32,52,43,16,29,14,33,52,27,61,28,17,29,49,29,62,28,63,28,52,31,50,42,15,33,16,29,52,33,17,27,50,31,48,27,61,27,50,27,61,31,50,29,52,42,13,40,15,1.0
23,27,67,25,66,51,61,53,38,53,38,31,61,31,63,55,13,25,69,31,65,24,67,27,63,31,62,31,61,79,13,11,78,13,53,15,52,39,77,37,81,12,79,12,52,39,33,39,33,13,32,15,32,41,54,14,27,13,32,40,25,61,25,15,27,39,27,62,25,63,25,41,31,39,53,13,33,14,27,40,32,15,25,39,31,38,24,61,25,39,25,61,31,39,27,41,53,12,52,13,2.0
19,23,71,21,70,52,55,54,38,54,37,34,57,35,59,56,13,21,73,33,69,20,71,23,59,36,57,35,56,79,13,11,78,13,54,15,53,39,77,36,81,12,79,12,53,38,37,38,37,13,35,15,35,40,55,14,23,13,37,40,21,57,21,15,23,38,23,57,21,59,21,40,35,38,54,13,37,14,23,40,37,15,21,38,35,37,20,57,21,38,21,56,34,38,23,40,54,12,53,13,2.0
22,25,68,24,67,38,64,44,46,44,45,28,64,29,65,46,16,24,70,28,66,23,68,26,66,30,65,28,64,74,17,13,73,17,42,19,41,50,71,42,77,15,75,15,41,48,30,46,30,16,29,19,29,50,45,18,26,16,30,50,24,64,24,19,26,46,26,65,24,66,24,50,28,48,44,17,30,18,26,50,30,19,24,48,28,45,23,64,24,48,24,64,28,48,26,50,44,15,41,17,1.0
22,25,68,24,67,36,59,38,53,38,53,30,61,30,62,40,10,24,70,29,66,23,68,26,63,31,61,31,60,79,12,8,78,12,38,12,37,54,76,52,82,10,80,10,37,54,31,54,33,11,31,14,30,56,39,12,26,11,31,55,24,61,24,14,26,54,26,61,24,63,24,56,31,54,38,12,32,13,26,55,32,13,24,54,31,53,23,61,24,54,24,60,30,54,26,56,38,10,37,12,1.0
15,19,72,19,71,58,40,60,32,60,31,46,44,47,44,62,16,17,75,44,69,17,73,20,45,49,42,48,42,76,16,14,75,16,60,17,59,33,74,30,78,15,76,15,59,32,49,32,50,16,47,18,47,34,61,17,21,16,49,34,19,44,18,18,21,32,21,43,18,46,18,34,48,32,60,16,50,17,21,34,50,18,19,32,48,31,17,44,19,32,19,42,46,32,20,34,60,15,59,16,1.0
27,28,66,27,65,36,59,38,53,38,53,30,61,30,62,40,10,28,67,29,65,27,65,29,63,31,61,31,60,79,12,8,78,12,38,12,37,54,76,52,82,10,80,10,37,54,31,54,33,11,31,14,30,56,39,12,29,11,31,55,27,61,28,14,29,54,29,61,28,63,28,56,31,54,38,12,32,13,29,55,32,13,27,54,31,53,27,61,27,54,27,60,30,54,29,56,38,10,37,12,1.0
18,20,72,20,71,56,45,59,34,58,33,41,49,42,49,60,18,19,74,39,70,19,72,21,50,44,47,43,47,72,20,15,71,19,58,21,58,35,69,32,75,18,73,17,57,34,45,34,45,18,42,21,42,36,60,21,22,18,45,36,20,49,20,21,22,34,22,48,20,51,20,36,43,34,58,19,45,21,22,36,45,21,20,34,43,33,19,49,20,34,20,47,41,34,21,36,58,17,57,19,1.0
12,14,78,14,77,57,62,63,29,61,29,27,64,27,64,63,10,13,80,26,76,13,78,14,65,28,63,28,63,84,11,9,83,9,60,11,60,31,83,27,85,10,83,9,59,31,30,29,30,10,28,11,28,31,63,11,16,10,29,31,14,64,14,11,16,30,14,64,13,66,14,33,28,31,61,9,30,11,15,32,29,11,14,31,28,29,13,64,14,31,14,63,27,31,15,32,61,9,59,9,2.0
22,26,68,24,67,38,61,42,49,42,48,31,61,32,63,44,10,24,70,31,66,23,68,26,63,32,62,31,61,82,10,8,81,10,41,12,40,51,80,46,84,9,82,9,40,50,33,49,33,10,32,12,32,52,43,11,26,10,33,52,24,61,24,12,26,49,26,62,24,63,24,52,31,50,42,10,33,11,26,52,33,12,24,50,31,48,23,61,24,50,24,61,31,50,26,52,42,9,40,10,1.0
24,26,69,24,68,43,64,47,44,47,43,28,64,29,66,49,13,25,70,28,68,24,68,26,66,30,65,28,64,79,13,11,78,13,46,15,45,47,77,41,81,12,79,12,45,45,30,44,30,13,29,15,29,47,48,14,26,13,30,47,24,64,25,15,26,44,26,65,25,66,25,47,28,45,47,13,30,14,26,47,30,15,24,45,28,43,24,64,24,45,24,64,28,45,26,47,47,12,45,13,2.0
22,26,68,24,67,40,56,43,45,44,46,33,58,32,60,46,10,24,70,32,66,23,68,26,60,32,58,34,57,79,11,8,78,12,43,12,42,46,76,44,82,10,80,10,42,48,34,47,36,11,34,14,33,50,45,12,26,11,33,48,24,58,24,14,26,47,26,58,24,60,24,50,34,48,44,12,35,13,26,48,34,13,24,48,34,46,23,58,24,48,24,57,33,48,26,50,44,10,42,12,1.0
22,26,68,24,67,40,52,42,48,42,49,37,54,36,56,44,12,24,70,36,66,23,68,26,56,36,54,38,53,77,14,10,76,14,42,14,41,48,74,48,80,12,78,12,41,50,38,50,40,13,38,16,37,52,43,14,26,13,37,50,24,54,24,16,26,50,26,54,24,56,24,52,38,50,42,14,39,15,26,50,38,15,24,50,38,49,23,54,24,50,24,53,37,50,26,52,42,12,41,14,1.0
22,26,68,24,67,43,61,47,44,47,43,31,61,32,63,49,11,24,70,31,66,23,68,26,63,32,62,31,61,79,12,8,78,12,46,14,45,46,76,41,82,10,80,10,45,45,33,44,33,11,32,14,32,47,48,13,26,11,33,47,24,61,24,14,26,44,26,62,24,63,24,47,31,45,47,12,33,13,26,47,33,14,24,45,31,43,23,61,24,45,24,61,31,45,26,47,47,10,45,12,1.0
21,25,69,23,68,51,52,55,39,53,38,37,54,38,56,55,13,23,71,36,67,22,69,25,56,40,54,38,53,79,15,11,78,13,53,15,53,41,77,37,81,13,79,12,52,39,40,39,40,13,38,15,38,41,55,15,25,13,40,41,23,54,23,15,25,39,25,54,23,56,23,41,38,39,53,13,40,15,25,41,40,15,23,39,38,38,22,54,23,39,23,53,37,39,25,41,53,12,52,13,2.0
19,23,71,21,70,52,56,54,37,54,37,33,58,33,60,56,15,21,73,32,69,20,71,23,60,33,58,34,57,76,16,14,75,16,54,16,53,37,74,36,78,15,76,15,53,38,34,38,36,16,34,18,33,40,55,16,23,16,34,39,21,58,21,18,23,38,23,58,21,60,21,40,34,38,54,16,35,17,23,39,35,17,21,38,34,37,20,58,21,38,21,57,33,38,23,40,54,15,53,16,2.0
19,23,71,21,70,46,51,50,39,50,40,35,55,34,57,52,9,21,73,33,69,20,71,23,57,34,54,37,53,82,10,8,81,10,49,10,48,39,80,38,84,9,82,9,48,42,37,41,39,10,36,12,35,44,51,10,23,10,36,42,21,55,21,12,23,41,23,54,21,57,21,44,37,42,50,10,38,11,23,42,37,11,21,42,37,40,20,55,21,42,21,53,35,42,23,44,50,9,48,10,2.0
22,26,68,24,67,37,55,39,52,39,52,34,57,34,59,41,15,24,70,33,66,23,68,26,59,34,57,35,56,76,16,14,75,16,39,16,38,52,74,51,78,15,76,15,38,53,35,53,37,16,35,18,34,55,40,16,26,16,35,54,24,57,24,18,26,53,26,57,24,59,24,55,35,53,39,16,36,17,26,54,36,17,24,53,35,52,23,57,24,53,24,56,34,53,26,55,39,15,38,16,2.0
15,19,75,17,74,57,56,59,29,61,29,33,58,33,60,63,18,17,77,32,73,16,75,19,60,33,58,34,57,71,18,16,70,20,60,20,58,30,68,27,74,17,72,18,59,31,34,30,36,19,34,22,33,33,61,19,19,19,34,32,17,58,17,22,19,30,19,58,17,60,17,33,34,31,61,20,35,20,19,32,35,21,17,31,34,29,16,58,17,31,17,57,33,31,19,33,61,18,59,20,1.0
11,13,79,13,78,50,46,56,35,54,36,40,50,39,50,56,12,12,81,38,77,12,79,13,51,40,48,42,48,80,14,10,79,12,53,14,53,36,78,34,82,12,80,11,52,38,44,36,44,12,41,14,41,38,56,14,15,12,42,37,13,50,13,14,15,37,13,49,12,52,13,40,42,38,54,12,44,14,14,38,42,14,13,38,42,36,12,50,13,38,13,48,40,38,14,39,54,11,52,12,2.0
4,6,86,6,85,60,39,64,30,62,29,47,43,48,43,64,14,5,88,45,84,5,86,7,44,50,41,49,41,80,15,13,79,13,62,15,62,31,79,28,81,14,79,13,61,30,51,30,51,14,48,15,48,32,64,15,8,14,51,32,6,43,6,15,8,30,8,42,6,45,6,32,49,30,62,13,51,15,8,32,51,15,6,30,49,29,5,43,6,30,6,41,47,30,7,32,62,13,61,13,2.0
14,17,73,18,72,60,51,62,27,63,26,32,57,33,56,66,19,16,76,29,70,16,74,19,58,37,54,35,54,71,18,16,70,19,63,22,61,30,68,24,74,17,72,18,62,28,37,27,37,19,33,22,33,30,64,20,20,19,37,30,18,57,17,22,20,27,20,55,17,59,17,30,35,28,64,20,37,20,20,30,37,22,18,28,35,26,16,57,18,28,18,54,32,28,19,30,64,18,62,20,2.0
15,19,75,17,74,50,57,54,37,54,36,35,57,36,59,56,17,17,77,35,73,16,75,19,59,37,58,35,57,75,17,15,74,17,53,19,52,40,73,34,77,16,75,16,52,38,37,37,37,17,36,19,36,40,55,18,19,17,37,40,17,57,17,19,19,37,19,58,17,59,17,40,35,38,54,17,37,18,19,40,37,19,17,38,35,36,16,57,17,38,17,57,35,38,19,40,54,16,52,17,1.0
19,23,71,21,70,46,61,50,41,50,40,31,61,32,63,52,13,21,73,31,69,20,71,23,63,32,62,31,61,79,13,11,78,13,49,15,48,43,77,38,81,12,79,12,48,42,33,41,33,13,32,15,32,44,51,14,23,13,33,44,21,61,21,15,23,41,23,62,21,63,21,44,31,42,50,13,33,14,23,44,33,15,21,42,31,40,20,61,21,42,21,61,31,42,23,44,50,12,48,13,2.0
15,17,75,17,74,62,56,66,24,66,24,30,60,30,60,68,17,16,77,28,73,16,75,17,61,31,58,32,58,75,17,15,74,17,65,19,64,25,73,22,77,16,75,16,64,26,34,24,34,17,31,19,31,26,67,18,19,17,33,26,17,60,17,19,19,25,17,59,16,62,17,28,32,26,66,17,34,18,18,27,33,19,17,26,32,24,16,60,17,26,17,58,30,26,18,27,66,16,64,17,2.0
22,25,68,24,67,44,58,48,42,48,42,31,60,31,61,50,17,24,70,30,66,23,68,26,62,32,60,32,59,72,19,15,71,19,47,19,46,44,69,40,75,17,73,17,46,44,32,43,34,18,32,21,31,46,49,19,26,18,32,45,24,60,24,21,26,43,26,60,24,62,24,46,32,44,48,19,33,20,26,45,33,20,24,44,32,42,23,60,24,44,24,59,31,44,26,46,48,17,46,19,1.0
22,25,68,24,67,38,64,44,46,44,45,28,64,29,65,46,9,24,70,28,66,23,68,26,66,30,65,28,64,81,10,6,80,10,42,12,41,50,78,42,84,8,82,8,41,48,30,46,30,9,29,12,29,50,45,11,26,9,30,50,24,64,24,12,26,46,26,65,24,66,24,50,28,48,44,10,30,11,26,50,30,12,24,48,28,45,23,64,24,48,24,64,28,48,26,50,44,8,41,10,1.0
22,26,68,24,67,45,61,49,41,49,41,31,61,31,63,51,13,24,70,31,66,23,68,26,63,31,62,31,61,79,13,11,78,13,48,15,47,43,77,39,81,12,79,12,47,43,33,42,33,13,32,15,32,45,50,14,26,13,32,44,24,61,24,15,26,42,26,62,24,63,24,45,31,43,49,13,33,14,26,44,32,15,24,43,31,41,23,61,24,43,24,61,31,43,26,45,49,12,47,13,2.0
22,26,68,24,67,50,52,51,40,52,39,37,54,38,56,54,17,24,70,36,66,23,68,26,56,40,54,38,53,75,16,15,74,17,52,19,51,42,73,38,77,16,75,16,51,40,40,40,40,17,38,19,38,42,53,18,26,17,40,42,24,54,24,19,26,40,26,54,24,56,24,42,38,40,52,17,40,18,26,42,40,19,24,40,38,39,23,54,24,40,24,53,37,40,26,42,52,16,51,17,2.0
21,21,69,22,68,53,50,56,33,57,32,35,53,36,52,59,18,21,71,34,67,22,69,22,54,38,51,36,52,71,19,16,70,20,56,20,55,35,68,31,74,18,72,18,55,33,38,33,40,18,37,20,36,35,58,20,25,19,38,35,22,54,23,22,23,34,23,53,22,56,22,37,37,34,57,20,39,20,23,36,39,20,23,35,38,33,22,54,23,34,22,52,36,34,22,36,57,18,55,20,2.0
22,26,68,24,67,48,55,52,37,52,38,34,57,33,59,54,14,24,70,33,66,23,68,26,59,33,57,35,56,75,16,12,74,16,51,16,50,38,72,36,78,14,76,14,50,40,35,39,37,15,35,18,34,42,53,16,26,15,34,40,24,57,24,18,26,39,26,57,24,59,24,42,35,40,52,16,36,17,26,40,35,17,24,40,35,38,23,57,24,40,24,56,34,40,26,42,52,14,50,16,1.0
22,26,68,24,67,40,55,43,45,44,46,34,57,33,59,46,11,24,70,33,66,23,68,26,59,33,57,35,56,78,12,9,77,13,43,13,42,46,75,44,81,11,79,11,42,48,35,47,37,12,35,15,34,50,45,13,26,12,34,48,24,57,24,15,26,47,26,57,24,59,24,50,35,48,44,13,36,14,26,48,35,14,24,48,35,46,23,57,24,48,24,56,34,48,26,50,44,11,42,13,1.0
19,23,71,21,70,48,61,50,42,50,41,31,61,32,63,52,13,21,73,31,69,20,71,23,63,32,62,31,61,79,13,11,78,13,50,15,49,43,77,40,81,12,79,12,49,42,33,42,33,13,32,15,32,44,51,14,23,13,33,44,21,61,21,15,23,42,23,62,21,63,21,44,31,42,50,13,33,14,23,44,33,15,21,42,31,41,20,61,21,42,21,61,31,42,23,44,50,12,49,13,2.0
22,26,68,24,67,45,55,47,45,47,44,34,57,35,59,49,13,24,70,33,66,23,68,26,59,36,57,35,56,79,13,11,78,13,47,15,46,46,77,43,81,12,79,12,46,45,37,45,37,13,35,15,35,47,48,14,26,13,37,47,24,57,24,15,26,45,26,57,24,59,24,47,35,45,47,13,37,14,26,47,37,15,24,45,35,44,23,57,24,45,24,56,34,45,26,47,47,12,46,13,2.0
22,26,68,24,67,37,56,39,52,39,52,33,58,33,60,41,10,24,70,32,66,23,68,26,60,33,58,34,57,79,12,8,78,12,39,12,38,52,76,51,82,10,80,10,38,53,34,53,36,11,34,14,33,55,40,12,26,11,34,54,24,58,24,14,26,53,26,58,24,60,24,55,34,53,39,12,35,13,26,54,35,13,24,53,34,52,23,58,24,53,24,57,33,53,26,55,39,10,38,12,1.0
22,26,68,24,67,39,56,41,49,41,50,33,58,32,60,43,7,24,70,32,66,23,68,26,60,32,58,34,57,82,9,5,81,9,41,9,40,49,79,49,85,7,83,7,40,51,34,51,36,8,34,11,33,53,42,9,26,8,33,51,24,58,24,11,26,51,26,58,24,60,24,53,34,51,41,9,35,10,26,51,34,10,24,51,34,50,23,58,24,51,24,57,33,51,26,53,41,7,40,9,1.0
27,28,66,27,65,41,59,45,45,45,45,30,61,30,62,47,11,28,67,29,65,27,65,29,63,31,61,31,60,78,13,9,77,13,44,13,43,47,75,43,81,11,79,11,43,47,31,46,33,12,31,15,30,49,46,13,29,12,31,48,27,61,28,15,29,46,29,61,28,63,28,49,31,47,45,13,32,14,29,48,32,14,27,47,31,45,27,61,27,47,27,60,30,47,29,49,45,11,43,13,1.0
27,28,66,27,65,40,59,42,49,42,49,30,61,30,62,44,8,28,67,29,65,27,65,29,63,31,61,31,60,83,9,7,82,9,42,9,41,50,81,48,85,8,83,8,41,50,31,50,33,9,31,11,30,52,43,9,29,9,31,51,27,61,28,11,29,50,29,61,28,63,28,52,31,50,42,9,32,10,29,51,32,10,27,50,31,49,27,61,27,50,27,60,30,50,29,52,42,8,41,9,1.0
22,25,68,24,67,41,55,45,45,45,45,34,57,34,58,47,12,24,70,33,66,23,68,26,59,35,57,35,56,77,14,10,76,14,44,14,43,47,74,43,80,12,78,12,43,47,35,46,37,13,35,16,34,49,46,14,26,13,35,48,24,57,24,16,26,46,26,57,24,59,24,49,35,47,45,14,36,15,26,48,36,15,24,47,35,45,23,57,24,47,24,56,34,47,26,49,45,12,43,14,1.0
22,26,68,24,67,37,56,39,52,39,52,33,58,33,60,41,7,24,70,32,66,23,68,26,60,33,58,34,57,82,9,5,81,9,39,9,38,52,79,51,85,7,83,7,38,53,34,53,36,8,34,11,33,55,40,9,26,8,34,54,24,58,24,11,26,53,26,58,24,60,24,55,34,53,39,9,35,10,26,54,35,10,24,53,34,52,23,58,24,53,24,57,33,53,26,55,39,7,38,9,1.0
27,28,66,27,65,40,55,42,49,42,49,34,57,34,58,44,3,28,67,33,65,27,65,29,59,35,57,35,56,88,4,2,87,4,42,4,41,50,86,48,90,3,88,3,41,50,35,50,37,4,35,6,34,52,43,4,29,4,35,51,27,57,28,6,29,50,29,57,28,59,28,52,35,50,42,4,36,5,29,51,36,5,27,50,35,49,27,57,27,50,27,56,34,50,29,52,42,3,41,4,1.0
22,25,68,24,67,39,59,43,47,43,47,30,61,30,62,45,15,24,70,29,66,23,68,26,63,31,61,31,60,74,17,13,73,17,42,17,41,49,71,45,77,15,75,15,41,49,31,48,33,16,31,19,30,51,44,17,26,16,31,50,24,61,24,19,26,48,26,61,24,63,24,51,31,49,43,17,32,18,26,50,32,18,24,49,31,47,23,61,24,49,24,60,30,49,26,51,43,15,41,17,1.0
18,22,72,20,71,51,49,55,38,53,38,40,51,40,53,55,17,20,74,39,70,19,72,22,53,41,51,41,50,75,19,15,74,17,53,19,53,39,73,37,77,17,75,16,52,39,43,39,43,17,41,19,41,41,55,19,22,17,42,40,20,51,20,19,22,39,22,51,20,53,20,41,41,39,53,17,43,19,22,40,42,19,20,39,41,38,19,51,20,39,20,50,40,39,22,41,53,16,52,17,1.0
27,28,66,27,65,36,59,38,53,38,53,30,61,30,62,40,10,28,67,29,65,27,65,29,63,31,61,31,60,79,12,8,78,12,38,12,37,54,76,52,82,10,80,10,37,54,31,54,33,11,31,14,30,56,39,12,29,11,31,55,27,61,28,14,29,54,29,61,28,63,28,56,31,54,38,12,32,13,29,55,32,13,27,54,31,53,27,61,27,54,27,60,30,54,29,56,38,10,37,12,1.0
21,24,69,23,68,49,64,51,38,53,37,28,64,29,65,55,16,23,71,28,67,22,69,25,66,30,65,28,64,76,14,14,75,16,52,18,50,41,74,35,78,14,76,15,51,39,30,38,30,16,29,18,29,41,53,16,25,16,30,41,23,64,23,18,25,38,25,65,23,66,23,41,28,39,53,16,30,16,25,41,30,18,23,39,28,37,22,64,23,39,23,64,28,39,25,41,53,15,51,16,2.0
