@relation 'Sax dominant'

@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atLcc numeric
@attribute o1atMaa numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o2atLcc numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMaa numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMac numeric
@attribute o2atLac numeric
@attribute o2atMca numeric
@attribute o2atLca numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atLcc numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMaa numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMca numeric
@attribute o3atLca numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMac numeric
@attribute o3atLac numeric
@attribute destClass {2.0,1.0}

@data
18,16,8,12,13,18,21,10,20,10,13,17,13,10,14,11,14,14,31,0,0,31,16,16,0,31,15,15,0,15,0,16,27,16,3,28,4,11,13,18,13,18,13,3,27,3,13,4,1.0
18,20,9,8,10,22,20,11,20,11,9,21,9,11,10,11,8,21,31,0,0,31,22,9,0,31,22,9,0,9,0,9,30,19,0,31,1,8,10,21,10,21,10,0,30,0,10,1,2.0
21,15,9,15,16,16,22,10,21,9,15,15,15,9,16,10,12,18,31,0,0,31,19,13,0,31,18,12,0,12,0,13,26,13,4,27,5,16,17,14,17,14,17,4,26,4,17,5,1.0
21,22,9,6,8,24,22,10,21,9,7,23,7,9,8,10,10,20,18,11,12,19,21,11,12,19,20,10,12,10,12,11,29,31,1,30,2,0,0,31,0,31,0,1,29,1,0,2,1.0
23,29,4,1,2,30,25,6,25,6,1,29,1,6,2,6,9,20,29,0,1,30,21,10,1,30,21,10,1,10,1,10,29,31,1,30,2,0,0,31,0,31,0,1,29,1,0,2,1.0
19,19,11,9,11,21,20,12,19,11,10,20,10,11,11,12,10,20,31,0,0,31,21,11,0,31,20,10,0,10,0,11,29,9,1,30,2,20,21,10,21,10,21,1,29,1,21,2,1.0
18,13,12,17,18,14,19,13,18,12,17,13,17,12,18,13,16,14,31,0,0,31,15,17,0,31,14,16,0,16,0,17,24,10,6,25,7,19,20,11,20,11,20,6,24,6,20,7,1.0
30,29,0,1,2,30,31,1,30,0,1,29,1,0,2,1,3,25,25,2,4,27,27,5,4,27,26,4,4,4,4,5,29,31,1,30,2,0,0,31,0,31,0,1,29,1,0,2,1.0
7,23,19,1,4,27,10,21,9,20,3,26,4,21,5,22,12,18,13,17,17,13,19,13,18,14,18,12,17,12,18,13,30,6,0,31,1,22,24,8,23,7,23,0,30,0,24,1,1.0
28,26,2,2,4,28,29,3,28,2,3,27,3,2,4,3,14,16,24,5,6,25,17,15,6,25,16,14,6,14,6,15,29,31,1,30,2,0,0,31,0,31,0,1,29,1,0,2,2.0
18,23,10,3,6,26,20,12,19,11,5,25,5,11,6,12,8,22,21,8,9,22,23,9,9,22,22,8,9,8,9,9,29,31,1,30,2,0,0,31,0,31,0,1,29,1,0,2,2.0
20,30,7,0,1,31,22,9,22,9,0,30,0,9,1,9,15,14,27,3,3,27,15,16,4,28,15,16,3,16,4,16,30,3,0,31,1,26,27,4,27,4,27,0,30,0,27,1,2.0
20,29,10,1,2,30,21,11,20,10,1,29,1,10,2,11,1,28,31,0,0,31,29,2,0,31,29,2,0,2,0,2,29,25,1,30,2,2,4,27,4,27,4,1,29,1,4,2,1.0
18,15,7,13,14,17,21,9,21,10,14,16,14,10,15,10,10,17,31,0,0,31,19,12,0,31,19,12,0,12,0,12,27,10,3,28,4,19,20,11,20,11,20,3,27,3,20,4,1.0
24,29,5,1,2,30,25,6,25,6,1,29,1,6,2,6,23,6,31,0,0,31,7,24,0,31,7,24,0,24,0,24,30,11,0,31,1,18,19,12,19,12,19,0,30,0,19,1,2.0
31,29,0,1,2,30,31,0,31,0,1,29,1,0,2,0,0,31,28,1,2,29,31,0,2,29,31,0,2,0,2,0,20,31,6,23,9,0,0,31,0,31,0,8,22,8,0,9,2.0
24,29,6,1,2,30,25,7,24,6,1,29,1,6,2,7,13,17,21,9,9,21,18,14,10,22,17,13,9,13,10,14,29,4,1,30,2,26,27,5,26,4,26,1,29,1,27,2,2.0
9,29,21,1,2,30,10,22,9,21,1,29,1,21,2,22,8,22,25,2,4,27,23,9,4,27,22,8,4,8,4,9,30,28,0,31,1,1,2,29,2,29,2,0,30,0,2,1,2.0
13,23,13,5,6,25,16,15,15,15,6,24,6,15,7,16,15,11,21,9,9,21,14,18,10,22,13,17,9,17,10,18,30,1,0,31,1,29,30,2,29,1,29,0,30,0,30,1,1.0
21,14,9,16,17,15,22,10,21,9,16,14,16,9,17,10,12,18,31,0,0,31,19,13,0,31,18,12,0,12,0,13,25,11,5,26,6,19,20,12,19,11,19,5,25,5,20,6,1.0
24,12,6,16,18,14,25,7,24,6,17,13,17,6,18,7,8,22,31,0,0,31,23,9,0,31,22,8,0,8,0,9,21,15,9,22,10,14,15,16,15,16,15,9,21,9,15,10,1.0
19,13,11,17,18,14,20,12,19,11,17,13,17,11,18,12,11,19,30,0,0,30,20,12,1,31,19,11,0,11,1,12,23,11,7,24,8,19,20,12,19,11,19,7,23,7,20,8,1.0
24,13,6,17,18,14,25,7,24,6,17,13,17,6,18,7,14,16,31,0,0,31,17,15,0,31,16,14,0,14,0,15,25,21,5,26,6,8,9,22,9,22,9,5,25,5,9,6,1.0
19,29,11,1,2,30,20,12,19,11,1,29,1,11,2,12,8,22,24,5,6,25,23,9,6,25,22,8,6,8,6,9,27,9,1,29,3,19,21,11,20,10,20,2,28,2,21,3,1.0
20,14,10,16,17,15,21,11,20,10,16,14,16,10,17,11,9,21,31,0,0,31,22,10,0,31,21,9,0,9,0,10,24,11,4,26,6,18,19,12,19,12,19,5,25,5,19,6,1.0
25,16,5,14,15,17,26,6,25,5,14,16,14,5,15,6,13,15,31,0,0,31,17,15,0,31,16,14,0,14,0,15,23,28,7,24,8,1,2,29,2,29,2,7,23,7,2,8,1.0
26,13,3,17,18,14,27,4,27,4,17,13,17,4,18,4,16,14,31,0,0,31,15,17,0,31,14,16,0,16,0,17,22,21,6,24,8,8,9,22,9,22,9,7,23,7,9,8,1.0
25,19,5,11,12,20,26,6,25,5,11,19,11,5,12,6,26,4,31,0,0,31,5,27,0,31,4,26,0,26,0,27,29,14,1,30,2,15,16,15,16,15,16,1,29,1,16,2,2.0
18,19,12,9,11,21,19,13,18,12,10,20,10,12,11,13,10,20,31,0,0,31,21,11,0,31,20,10,0,10,0,11,29,9,1,30,2,20,21,10,21,10,21,1,29,1,21,2,1.0
31,27,0,3,4,28,31,0,31,0,3,27,3,0,4,0,22,7,31,0,0,31,8,23,0,31,8,23,0,23,0,23,30,16,0,31,1,13,14,17,14,17,14,0,30,0,14,1,2.0
19,17,11,11,13,19,20,12,19,11,12,18,12,11,13,12,3,27,26,3,4,27,28,4,4,27,27,3,4,3,4,4,28,20,2,29,3,5,8,23,8,23,8,2,28,2,8,3,1.0
20,16,10,14,15,17,21,11,20,10,14,16,14,10,15,11,11,19,31,0,0,31,20,12,0,31,19,11,0,11,0,12,27,11,3,28,4,18,19,12,19,12,19,3,27,3,19,4,1.0
20,29,7,1,2,30,22,9,22,9,1,29,1,9,2,9,9,12,31,0,0,31,17,14,0,31,17,14,0,14,0,14,26,31,1,28,3,0,0,31,0,31,0,3,28,3,0,3,2.0
20,14,10,16,17,15,21,11,20,10,16,14,16,10,17,11,10,20,18,11,12,19,21,11,12,19,20,10,12,10,12,11,22,29,6,24,8,0,1,30,1,30,1,7,23,7,1,8,1.0
20,29,8,1,2,30,22,10,21,9,1,29,1,9,2,10,24,4,31,0,0,31,6,26,0,31,5,25,0,25,0,26,29,7,1,30,2,22,23,8,23,8,23,1,29,1,23,2,2.0
22,20,8,8,10,22,23,9,22,8,9,21,9,8,10,9,25,5,27,3,3,27,6,26,4,28,5,25,3,25,4,26,25,14,5,26,6,14,16,16,15,15,15,5,25,5,16,6,2.0
20,13,10,17,18,14,21,11,20,10,17,13,17,10,18,11,16,14,31,0,0,31,15,17,0,31,14,16,0,16,0,17,25,12,5,26,6,17,18,13,18,13,18,5,25,5,18,6,1.0
20,15,10,15,16,16,21,11,20,10,15,15,15,10,16,11,10,20,31,0,0,31,21,11,0,31,20,10,0,10,0,11,26,17,4,27,5,12,13,18,13,18,13,4,26,4,13,5,1.0
17,29,13,1,2,30,18,14,17,13,1,29,1,13,2,14,22,8,26,4,4,26,9,23,5,27,8,22,4,22,5,23,30,12,0,31,1,18,19,13,18,12,18,0,30,0,19,1,2.0
26,26,3,2,4,28,27,4,27,4,3,27,3,4,4,4,0,31,28,1,2,29,31,0,2,29,31,0,2,0,2,0,29,31,1,30,2,0,0,31,0,31,0,1,29,1,0,2,1.0
20,15,10,15,16,16,21,11,20,10,15,15,15,10,16,11,11,19,31,0,0,31,20,12,0,31,19,11,0,11,0,12,26,12,4,27,5,17,18,13,18,13,18,4,26,4,18,5,1.0
26,29,2,1,2,30,28,4,27,3,1,29,1,3,2,4,20,10,29,1,1,29,11,21,2,30,10,20,1,20,2,21,29,12,1,30,2,18,19,13,18,12,18,1,29,1,19,2,2.0
23,13,7,17,18,14,24,8,23,7,17,13,17,7,18,8,11,19,31,0,0,31,20,12,0,31,19,11,0,11,0,12,25,11,5,26,6,18,19,12,19,12,19,5,25,5,19,6,1.0
19,13,11,17,18,14,20,12,19,11,17,13,17,11,18,12,10,20,31,0,0,31,21,11,0,31,20,10,0,10,0,11,24,16,4,26,6,13,14,17,14,17,14,5,25,5,14,6,1.0
18,18,12,12,13,19,19,13,18,12,12,18,12,12,13,13,10,20,31,0,0,31,21,11,0,31,20,10,0,10,0,11,29,18,1,30,2,11,12,19,12,19,12,1,29,1,12,2,1.0
17,16,13,12,13,18,18,13,17,13,13,17,13,13,14,14,4,26,31,0,0,31,27,5,0,31,26,4,0,4,0,5,29,10,1,30,2,19,20,11,20,11,20,1,29,1,20,2,1.0
31,29,0,1,2,30,31,0,31,0,1,29,1,0,2,0,0,31,29,0,1,30,31,0,1,30,31,0,1,0,1,0,30,21,0,31,1,8,9,22,9,22,9,0,30,0,9,1,2.0
31,18,0,12,13,19,31,0,31,0,12,18,12,0,13,0,24,5,31,0,0,31,6,25,0,31,6,25,0,25,0,25,27,19,3,28,4,8,10,21,10,21,10,3,27,3,10,4,2.0
23,17,7,13,14,18,24,8,23,7,13,17,13,7,14,8,10,20,31,0,0,31,21,11,0,31,20,10,0,10,0,11,28,18,2,29,3,11,12,19,12,19,12,2,28,2,12,3,1.0
8,30,19,0,1,31,10,21,10,21,0,30,0,21,1,21,4,25,26,1,3,28,26,5,3,28,26,5,3,5,3,5,29,9,1,30,2,20,21,10,21,10,21,1,29,1,21,2,2.0
23,29,6,1,2,30,24,7,24,7,1,29,1,7,2,7,0,31,28,1,2,29,31,0,2,29,31,0,2,0,2,0,29,31,1,30,2,0,0,31,0,31,0,1,29,1,0,2,1.0
20,29,10,1,2,30,21,11,20,10,1,29,1,10,2,11,7,23,26,2,3,27,24,7,3,28,23,7,3,7,4,8,29,31,1,30,2,0,0,31,0,31,0,1,29,1,0,2,1.0
19,29,10,1,2,30,20,11,20,11,1,29,1,11,2,11,0,29,27,2,2,28,30,1,3,28,30,0,3,1,3,1,29,31,1,30,2,0,0,31,0,31,0,1,29,1,0,2,1.0
21,24,9,6,7,25,22,10,21,9,6,24,6,9,7,10,17,13,22,8,8,22,14,18,9,23,13,17,8,17,9,18,26,15,4,27,5,13,15,17,14,16,14,4,26,4,15,5,2.0
31,28,0,2,3,29,31,0,31,0,2,28,2,0,3,0,18,9,26,1,1,28,11,20,3,28,11,18,3,20,3,20,29,22,1,30,2,7,8,23,8,23,8,1,29,1,8,2,2.0
21,29,9,1,2,30,22,10,21,9,1,29,1,9,2,10,8,20,23,6,7,24,22,10,7,24,21,9,7,9,7,10,29,29,1,30,2,0,1,30,1,30,1,1,29,1,1,2,1.0
31,27,0,1,3,29,31,0,31,0,2,28,2,0,3,0,5,22,31,0,0,31,24,7,0,31,24,7,0,7,0,7,30,15,0,31,1,12,14,17,14,17,14,0,30,0,14,1,2.0
19,18,11,12,13,19,20,12,19,11,12,18,12,11,13,12,10,20,31,0,0,31,21,11,0,31,20,10,0,10,0,11,30,18,0,31,1,11,12,19,12,19,12,0,30,0,12,1,1.0
17,30,11,0,1,31,19,13,18,12,0,30,0,12,1,13,13,17,24,6,6,24,18,14,7,25,17,13,6,13,7,14,26,17,4,27,5,13,14,18,13,17,13,4,26,4,14,5,2.0
18,19,12,9,11,21,19,13,18,12,10,20,10,12,11,13,8,21,31,0,0,31,22,9,0,31,22,9,0,9,0,9,30,10,0,31,1,17,19,12,19,12,19,0,30,0,19,1,2.0
19,16,11,12,14,18,20,12,19,11,13,17,13,11,14,12,2,28,26,3,4,27,29,3,4,27,28,2,4,2,4,3,29,27,1,30,2,2,3,28,3,28,3,1,29,1,3,2,1.0
19,29,11,1,2,30,20,12,19,11,1,29,1,11,2,12,3,27,31,0,0,31,28,4,0,31,27,3,0,3,0,4,24,31,2,27,5,0,0,31,0,31,0,4,26,4,0,5,2.0
23,16,7,12,14,18,24,8,23,7,13,17,13,7,14,8,10,20,31,0,0,31,21,11,0,31,20,10,0,10,0,11,27,31,3,28,4,0,0,31,0,31,0,3,27,3,0,4,1.0
31,27,0,3,4,28,31,0,31,0,3,27,3,0,4,0,16,13,25,5,5,25,14,17,6,26,14,17,5,17,6,17,29,25,1,30,2,5,6,26,5,25,5,1,29,1,6,2,2.0
26,24,4,2,4,27,27,4,26,4,4,26,4,4,5,5,9,21,31,0,0,31,22,10,0,31,21,9,0,9,0,10,25,31,5,26,6,0,0,31,0,31,0,5,25,5,0,6,1.0
19,22,9,6,8,24,21,11,20,10,7,23,7,10,8,11,9,19,31,0,0,31,21,11,0,31,20,10,0,10,0,11,30,12,0,31,1,17,18,13,18,13,18,0,30,0,18,1,2.0
21,13,9,13,16,16,22,10,21,9,15,15,15,9,16,10,17,11,31,0,0,31,13,19,0,31,12,18,0,18,0,19,25,11,5,26,6,18,19,12,19,12,19,5,25,5,19,6,1.0
19,13,11,17,18,14,20,12,19,11,17,13,17,11,18,12,10,20,31,0,0,31,21,11,0,31,20,10,0,10,0,11,22,15,8,23,9,14,15,16,15,16,15,8,22,8,15,9,1.0
28,18,2,10,12,20,29,3,28,2,11,19,11,2,12,3,22,8,27,3,3,27,9,23,4,28,8,22,3,22,4,23,24,16,4,26,5,12,13,18,12,17,13,5,25,4,14,6,2.0
15,22,11,8,9,23,18,14,17,13,8,22,8,13,9,14,19,11,31,0,0,31,12,20,0,31,11,19,0,19,0,20,30,12,0,31,1,15,17,14,17,14,17,0,30,0,17,1,2.0
16,27,14,3,4,28,17,15,16,14,3,27,3,14,4,15,18,12,31,0,0,31,13,19,0,31,12,18,0,18,0,19,29,12,1,30,2,17,18,13,18,13,18,1,29,1,18,2,2.0
26,28,3,2,3,29,27,4,27,4,2,28,2,4,3,4,20,9,23,7,7,23,10,21,8,24,10,21,7,21,8,21,29,18,1,30,2,10,12,20,11,19,11,1,29,1,12,2,2.0
26,21,4,9,10,22,27,5,26,4,9,21,9,4,10,5,25,5,30,0,0,30,6,26,1,31,5,25,0,25,1,26,29,12,1,30,2,18,19,13,18,12,18,1,29,1,19,2,2.0
17,14,13,16,17,15,18,14,17,13,16,14,16,13,17,14,0,31,31,0,0,31,31,0,0,31,31,0,0,0,0,0,25,16,5,26,6,13,14,17,14,17,14,5,25,5,14,6,1.0
25,17,5,11,13,19,26,6,25,5,12,18,12,5,13,6,13,17,31,0,0,31,18,14,0,31,17,13,0,13,0,14,25,12,5,26,6,17,18,13,18,13,18,5,25,5,18,6,1.0
18,18,12,10,12,20,19,13,18,12,11,19,11,12,12,13,7,21,29,0,1,30,23,9,1,30,22,8,1,8,1,9,29,12,1,30,2,17,18,13,18,13,18,1,29,1,18,2,1.0
20,20,10,8,10,22,21,11,20,10,9,21,9,10,10,11,9,21,18,10,11,19,22,10,12,20,21,9,11,9,12,10,25,30,5,26,6,0,1,31,0,30,0,5,25,5,1,6,1.0
23,10,7,18,20,12,24,8,23,7,19,11,19,7,20,8,11,19,31,0,0,31,20,12,0,31,19,11,0,11,0,12,24,16,6,25,7,13,14,17,14,17,14,6,24,6,14,7,1.0
19,22,7,2,5,26,22,9,21,7,3,25,5,9,6,10,7,21,28,1,1,29,23,8,1,29,22,7,2,8,2,9,29,31,1,30,2,0,0,31,0,31,0,1,29,1,0,2,1.0
13,29,15,1,1,30,15,16,14,16,1,29,1,16,2,17,0,28,28,1,2,29,30,1,1,29,29,1,2,1,2,2,25,13,5,26,6,12,15,16,15,16,15,5,25,5,15,6,1.0
18,14,12,16,17,15,19,13,18,12,16,14,16,12,17,13,12,18,31,0,0,31,19,13,0,31,18,12,0,12,0,13,26,15,4,27,5,14,15,16,15,16,15,4,26,4,15,5,1.0
21,12,9,16,18,14,22,10,21,9,17,13,17,9,18,10,7,23,31,0,0,31,24,8,0,31,23,7,0,7,0,8,22,15,8,23,9,14,15,16,15,16,15,8,22,8,15,9,1.0
24,15,6,15,16,16,25,7,24,6,15,15,15,6,16,7,12,18,31,0,0,31,19,13,0,31,18,12,0,12,0,13,28,12,2,29,3,17,18,13,18,13,18,2,28,2,18,3,1.0
19,19,11,9,11,21,20,12,19,11,10,20,10,11,11,12,5,25,31,0,0,31,26,6,0,31,25,5,0,5,0,6,21,18,7,23,8,9,10,20,10,20,11,8,22,7,11,9,1.0
31,25,0,3,5,27,31,0,31,0,4,26,4,0,5,0,16,13,31,0,0,31,14,17,0,31,14,17,0,17,0,17,29,25,1,30,2,4,5,26,5,26,5,1,29,1,5,2,2.0
20,16,10,14,15,17,21,11,20,10,14,16,14,10,15,11,13,17,31,0,0,31,18,14,0,31,17,13,0,13,0,14,24,12,6,25,7,17,18,13,18,13,18,6,24,6,18,7,1.0
20,14,10,16,17,15,21,11,20,10,16,14,16,10,17,11,11,19,31,0,0,31,20,12,0,31,19,11,0,11,0,12,23,15,7,24,8,14,15,16,15,16,15,7,23,7,15,8,1.0
22,15,8,15,16,16,23,9,22,8,15,15,15,8,16,9,13,17,31,0,0,31,18,14,0,31,17,13,0,13,0,14,28,13,2,29,3,16,17,14,17,14,17,2,28,2,17,3,1.0
25,17,5,13,14,18,26,6,25,5,13,17,13,5,14,6,11,19,31,0,0,31,20,12,0,31,19,11,0,11,0,12,29,16,1,30,2,13,14,17,14,17,14,1,29,1,14,2,1.0
18,13,12,17,18,14,19,13,18,12,17,13,17,12,18,13,16,14,31,0,0,31,15,17,0,31,14,16,0,16,0,17,27,12,3,28,4,17,18,13,18,13,18,3,27,3,18,4,1.0
21,27,7,3,4,28,23,9,22,8,3,27,3,8,4,9,12,18,25,5,5,25,19,13,6,26,18,12,5,12,6,13,29,23,1,30,2,7,8,24,7,23,7,1,29,1,8,2,2.0
31,24,0,3,5,26,31,0,31,0,5,26,5,0,5,0,3,26,29,0,1,30,27,4,1,30,27,4,1,4,1,4,29,31,1,30,2,0,0,31,0,31,0,1,29,1,0,2,2.0
22,13,8,17,18,14,23,9,22,8,17,13,17,8,18,9,11,19,31,0,0,31,20,12,0,31,19,11,0,11,0,12,25,11,5,26,6,18,19,12,19,12,19,5,25,5,19,6,1.0
15,20,4,6,9,23,21,10,21,9,7,22,8,10,9,10,6,14,27,1,2,28,20,12,3,29,19,11,2,11,3,12,30,1,0,31,1,29,30,2,29,1,29,0,30,0,30,1,1.0
19,30,11,0,1,31,20,12,19,11,0,30,0,11,1,12,5,25,27,2,3,28,26,6,3,28,25,5,3,5,3,6,30,18,0,31,0,11,11,19,12,19,12,0,30,0,12,1,2.0
30,18,0,8,11,21,31,1,30,0,10,20,10,0,11,1,22,8,29,1,1,29,9,23,2,30,8,22,1,22,2,23,22,17,6,24,7,11,12,19,11,18,12,7,23,6,13,8,2.0
24,29,5,1,2,30,25,6,25,6,1,29,1,6,2,6,20,10,31,0,0,31,11,21,0,31,10,20,0,20,0,21,28,9,0,30,2,18,20,11,20,11,20,1,29,1,20,2,2.0
21,13,9,17,18,14,22,10,21,9,17,13,17,9,18,10,9,21,31,0,0,31,22,10,0,31,21,9,0,9,0,10,22,15,8,23,9,14,15,16,15,16,15,8,22,8,15,9,1.0
17,22,13,8,9,23,18,14,17,13,8,22,8,13,9,14,8,20,25,3,4,26,22,9,4,27,21,9,4,9,5,10,27,13,1,29,3,11,15,17,14,16,14,2,28,2,15,3,1.0
22,14,8,16,17,15,23,9,22,8,16,14,16,8,17,9,13,17,31,0,0,31,18,14,0,31,17,13,0,13,0,14,27,15,3,28,4,14,15,16,15,16,15,3,27,3,15,4,1.0
30,23,0,3,6,26,31,1,30,0,5,25,5,0,6,1,25,5,31,0,0,31,6,26,0,31,5,25,0,25,0,26,29,22,1,30,2,5,7,24,7,24,7,1,29,1,7,2,2.0
18,24,10,2,5,27,20,12,19,10,3,26,4,11,5,12,7,21,29,0,0,30,23,9,1,30,22,7,1,8,1,9,28,28,2,29,3,1,2,29,2,29,2,2,28,2,2,3,1.0
31,24,0,4,6,26,31,0,31,0,5,25,5,0,6,0,13,16,26,3,4,27,17,14,4,27,17,14,4,14,4,14,29,31,1,30,2,0,0,31,0,31,0,1,29,1,0,2,2.0
31,24,0,4,6,26,31,0,31,0,5,25,5,0,6,0,24,6,31,0,0,31,7,25,0,31,6,24,0,24,0,25,29,15,1,30,2,12,14,17,14,17,14,1,29,1,14,2,2.0
30,29,0,1,2,30,31,1,30,0,1,29,1,0,2,1,22,7,31,0,0,31,8,23,0,31,8,23,0,23,0,23,29,12,0,30,1,17,18,13,18,13,18,1,30,1,18,1,2.0
18,20,12,10,11,21,19,13,18,12,10,20,10,12,11,13,19,11,31,0,0,31,12,20,0,31,11,19,0,19,0,20,30,17,0,31,1,11,13,19,12,18,12,0,30,0,13,1,2.0
19,16,11,12,14,18,20,12,19,11,13,17,13,11,14,12,10,20,31,0,0,31,21,11,0,31,20,10,0,10,0,11,29,11,1,30,2,18,19,12,19,12,19,1,29,1,19,2,1.0
26,18,4,12,13,19,27,5,26,4,12,18,12,4,13,5,24,6,31,0,0,31,7,25,0,31,6,24,0,24,0,25,29,16,1,30,2,13,14,17,14,17,14,1,29,1,14,2,2.0
18,15,12,13,15,17,19,13,18,12,14,16,14,12,15,13,12,18,31,0,0,31,19,13,0,31,18,12,0,12,0,13,27,9,3,28,4,20,21,10,21,10,21,3,27,3,21,4,1.0
21,14,9,16,17,15,22,10,21,9,16,14,16,9,17,10,12,18,31,0,0,31,19,13,0,31,18,12,0,12,0,13,24,11,6,25,7,19,20,12,19,11,19,6,24,6,20,7,1.0
25,25,3,1,4,28,27,5,26,4,3,27,3,4,4,5,29,0,31,0,0,31,1,30,0,31,1,30,0,30,0,30,30,10,0,31,1,19,20,11,20,11,20,0,30,0,20,1,2.0
21,14,8,13,15,16,22,9,22,9,15,16,15,9,15,9,10,17,31,0,0,31,19,12,0,31,19,12,0,12,0,12,25,19,5,26,6,10,11,20,11,20,11,5,25,5,11,6,1.0
1,30,29,0,1,31,2,30,1,29,0,30,0,29,1,30,9,21,27,0,2,29,22,10,2,29,21,9,2,9,2,10,30,2,0,31,1,25,27,4,27,4,27,0,30,0,27,1,2.0
19,13,11,17,18,14,20,12,19,11,17,13,17,11,18,12,11,19,31,0,0,31,20,12,0,31,19,11,0,11,0,12,23,17,5,25,7,12,13,18,13,18,13,6,24,6,13,7,1.0
22,29,5,1,2,30,24,7,24,7,1,29,1,7,2,7,6,21,31,0,0,31,23,8,0,31,23,8,0,8,0,8,30,31,0,31,1,0,0,31,0,31,0,0,30,0,0,1,2.0
30,29,0,1,2,30,31,1,30,0,1,29,1,0,2,1,22,8,31,0,0,31,9,23,0,31,8,22,0,22,0,23,29,11,1,30,2,18,19,12,19,12,19,1,29,1,19,2,2.0
23,26,4,2,4,28,25,6,25,6,3,27,3,6,4,6,6,23,31,0,0,31,24,7,0,31,24,7,0,7,0,7,30,28,0,31,1,1,2,29,2,29,2,0,30,0,2,1,2.0
19,13,11,17,18,14,20,12,19,11,17,13,17,11,18,12,11,19,31,0,0,31,20,12,0,31,19,11,0,11,0,12,22,16,8,23,9,13,14,17,14,17,14,8,22,8,14,9,1.0
17,29,11,1,2,30,19,13,18,12,1,29,1,12,2,13,2,27,28,1,1,29,28,3,2,29,28,2,2,3,2,3,29,28,1,30,2,0,2,30,1,29,1,1,29,1,2,2,1.0
24,21,6,9,10,22,25,7,24,6,9,21,9,6,10,7,22,8,24,6,6,24,9,23,7,25,8,22,6,22,7,23,29,15,1,30,2,13,15,17,14,16,14,1,29,1,15,2,2.0
31,29,0,1,2,30,31,0,31,0,1,29,1,0,2,0,5,24,31,0,0,31,25,6,0,31,25,6,0,6,0,6,30,28,0,31,0,1,1,29,2,29,2,0,30,0,2,1,2.0
21,12,7,16,18,14,23,9,22,8,17,13,17,8,18,9,9,21,31,0,0,31,22,10,0,31,21,9,0,9,0,10,21,14,9,22,9,15,15,15,16,15,16,9,21,9,16,10,1.0
26,19,4,11,12,20,27,5,26,4,11,19,11,4,12,5,28,2,31,0,0,31,3,29,0,31,2,28,0,28,0,29,29,10,1,30,2,19,20,11,20,11,20,1,29,1,20,2,2.0
18,13,12,17,18,14,19,13,18,12,17,13,17,12,18,13,16,14,31,0,0,31,15,17,0,31,14,16,0,16,0,17,26,12,4,27,5,17,18,13,18,13,18,4,26,4,18,5,1.0
16,16,14,14,15,17,17,15,16,14,14,16,14,14,15,15,14,10,31,0,0,31,14,18,0,31,13,17,0,17,0,18,30,12,0,31,1,15,17,14,17,14,17,0,30,0,17,1,2.0
20,14,10,16,17,15,21,11,20,10,16,14,16,10,17,11,10,20,31,0,0,31,21,11,0,31,20,10,0,10,0,11,23,14,7,24,8,15,16,15,16,15,16,7,23,7,16,8,1.0
20,15,10,15,16,16,21,11,20,10,15,15,15,10,16,11,11,19,31,0,0,31,20,12,0,31,19,11,0,11,0,12,26,17,4,27,5,12,13,18,13,18,13,4,26,4,13,5,1.0
19,14,11,14,16,16,20,12,19,11,15,15,15,11,16,12,13,17,31,0,0,31,18,14,0,31,17,13,0,13,0,14,25,10,5,26,6,19,20,11,20,11,20,5,25,5,20,6,1.0
19,25,11,3,5,27,20,12,19,11,4,26,4,11,5,12,12,16,27,0,2,29,18,13,1,29,17,13,2,13,2,14,25,31,5,26,6,0,0,31,0,31,0,5,25,5,0,6,1.0
9,30,19,0,1,31,11,21,10,20,0,30,0,20,1,21,4,26,27,2,3,28,27,5,3,28,26,4,3,4,3,5,29,25,1,30,2,4,5,26,5,26,5,1,29,1,5,2,2.0
18,13,12,17,18,14,19,13,18,12,17,13,17,12,18,13,9,21,31,0,0,31,22,10,0,31,21,9,0,9,0,10,24,24,4,26,6,5,6,25,6,25,6,5,25,5,6,6,1.0
27,29,2,1,2,30,28,3,28,3,1,29,1,3,2,3,22,7,31,0,0,31,8,23,0,31,8,23,0,23,0,23,29,5,1,30,2,24,25,6,25,6,25,1,29,1,25,2,2.0
26,20,4,10,11,21,27,5,26,4,10,20,10,4,11,5,25,5,29,1,1,29,6,26,2,30,5,25,1,25,2,26,29,11,1,30,2,19,20,12,19,11,19,1,29,1,20,2,2.0
