@relation 'Sax dominant'

@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atLeee numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMced numeric
@attribute o1atLced numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMbdc numeric
@attribute o1atLbdc numeric
@attribute o1atMeec numeric
@attribute o1atLeec numeric
@attribute o1atMeca numeric
@attribute o1atLeca numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMbbe numeric
@attribute o1atLbbe numeric
@attribute o1atMaae numeric
@attribute o1atLaae numeric
@attribute o1atMecb numeric
@attribute o1atLecb numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMdaa numeric
@attribute o1atLdaa numeric
@attribute o1atMaad numeric
@attribute o1atLaad numeric
@attribute o1atMeda numeric
@attribute o1atLeda numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMabe numeric
@attribute o1atLabe numeric
@attribute o1atMeeb numeric
@attribute o1atLeeb numeric
@attribute o1atMebe numeric
@attribute o1atLebe numeric
@attribute o1atMcbd numeric
@attribute o1atLcbd numeric
@attribute o1atMdce numeric
@attribute o1atLdce numeric
@attribute o1atMbae numeric
@attribute o1atLbae numeric
@attribute o1atMddb numeric
@attribute o1atLddb numeric
@attribute o1atMdbb numeric
@attribute o1atLdbb numeric
@attribute o1atMcdb numeric
@attribute o1atLcdb numeric
@attribute o1atMadd numeric
@attribute o1atLadd numeric
@attribute o1atMedb numeric
@attribute o1atLedb numeric
@attribute o1atMebb numeric
@attribute o1atLebb numeric
@attribute destClass {1.0,2.0}

@data
38,52,27,65,23,27,65,40,52,40,52,55,37,55,37,51,48,38,63,42,50,42,50,25,67,25,67,66,26,21,66,25,53,39,64,35,53,39,42,48,69,24,68,23,55,26,42,39,42,39,64,26,27,52,55,26,55,24,68,21,40,39,27,50,27,63,55,25,23,67,27,52,25,52,42,37,55,35,53,26,51,39,42,39,55,23,27,25,25,52,40,26,25,26,42,25,27,39,42,26,25,39,25,39,27,25,27,52,27,26,42,23,42,21,42,39,55,26,27,26,42,37,40,39,42,39,27,37,42,25,40,25,2.0
40,49,23,68,17,23,68,42,48,42,49,55,36,55,37,51,43,39,65,44,46,45,45,20,71,20,71,69,23,19,69,23,53,37,67,35,53,39,45,43,71,21,71,21,55,23,45,39,45,39,67,23,23,48,55,23,55,21,71,19,42,39,23,46,23,65,55,23,17,71,23,49,20,49,46,37,55,35,53,23,51,38,44,39,55,21,23,23,20,48,42,23,20,23,45,23,23,39,46,23,20,39,20,39,23,23,23,48,23,23,45,21,45,19,45,37,55,23,23,23,45,37,42,39,45,38,23,37,45,23,42,23,1.0
36,54,27,65,23,27,65,38,54,38,54,54,38,54,38,50,50,36,63,40,52,40,52,25,67,25,67,67,25,20,67,24,52,40,65,36,52,40,40,50,70,23,69,22,54,25,40,40,40,40,65,25,27,54,54,25,54,23,69,20,38,40,27,52,27,63,54,24,23,67,27,54,25,54,40,38,54,36,52,25,50,40,40,40,54,22,27,24,25,54,38,25,25,25,40,24,27,40,40,25,25,40,25,40,27,24,27,54,27,25,40,22,40,20,40,40,54,25,27,25,40,38,38,40,40,40,27,38,40,24,38,24,1.0
38,52,24,64,14,24,64,40,52,40,52,57,34,57,34,51,48,38,59,42,50,42,50,18,70,18,70,73,19,14,73,18,54,37,71,31,54,37,42,48,76,17,75,16,57,19,42,37,42,37,71,19,24,52,57,19,57,17,75,14,40,37,24,50,24,61,57,18,15,70,24,52,18,52,42,34,57,31,54,19,51,37,42,37,57,16,24,18,18,52,40,19,18,19,42,18,24,37,42,19,18,37,18,37,24,18,24,52,24,19,42,16,42,14,42,37,57,19,24,19,42,34,40,37,42,37,24,34,42,18,40,18,1.0
31,57,20,72,16,20,72,34,57,34,57,52,38,52,38,44,51,31,70,36,54,37,54,18,74,18,74,72,18,11,72,18,48,41,68,34,48,42,37,51,76,14,76,14,52,18,37,42,37,42,69,18,20,57,52,18,52,14,76,11,34,42,20,54,20,70,52,18,16,74,20,57,18,57,37,38,52,34,48,18,44,42,36,42,52,14,20,18,18,57,34,18,18,18,37,18,20,42,37,18,18,42,18,42,20,18,20,57,20,18,37,14,37,11,37,41,52,18,20,18,37,38,34,42,37,42,20,38,37,18,34,18,2.0
32,58,24,67,18,24,67,34,58,34,58,55,35,56,34,50,54,32,65,36,56,36,56,21,70,21,70,73,17,15,73,19,53,38,71,31,53,37,36,54,75,16,75,17,55,19,36,38,36,37,71,18,24,58,56,19,57,17,75,15,34,38,24,56,24,65,56,19,19,70,24,58,21,58,36,35,56,31,53,19,50,38,36,38,56,17,24,19,21,58,34,19,21,19,36,19,24,38,36,19,21,37,21,38,24,19,24,58,24,19,36,17,36,15,36,38,56,17,24,19,36,34,34,37,36,38,24,35,36,19,34,19,2.0
37,53,26,65,20,25,65,39,53,39,52,52,39,52,39,46,49,37,62,41,51,41,51,23,68,23,68,69,23,19,69,23,49,42,67,36,49,42,41,49,71,21,71,21,52,23,41,42,41,42,67,23,26,53,52,23,52,21,71,19,39,42,26,51,26,62,52,23,20,68,26,53,23,53,41,39,52,36,49,23,46,42,41,42,52,21,26,23,23,53,39,23,23,23,41,23,26,42,41,23,23,42,23,42,26,23,26,53,26,23,41,21,41,19,41,42,52,23,26,23,41,39,39,42,41,42,26,39,41,23,39,23,1.0
33,53,16,77,14,16,77,37,53,37,53,59,32,59,31,53,45,33,76,41,49,41,49,15,78,15,78,69,21,15,69,21,56,35,66,28,56,34,41,45,73,18,72,18,59,22,41,35,41,34,66,21,16,53,59,22,60,19,72,15,37,35,16,49,16,76,59,21,14,78,16,53,15,53,41,32,59,28,56,22,53,35,41,35,59,18,16,21,15,53,37,22,15,22,41,21,16,35,41,22,15,34,15,35,16,21,16,53,16,22,41,18,41,15,41,35,59,21,16,22,41,31,37,34,41,35,16,32,41,21,37,21,1.0
32,58,16,77,14,16,77,34,58,34,58,58,32,59,31,53,54,32,76,36,56,36,56,15,78,15,78,72,18,16,72,20,56,35,70,28,56,34,36,54,74,17,74,18,58,20,36,35,36,34,70,19,16,58,59,20,60,18,74,16,34,35,16,56,16,76,59,20,14,78,16,58,15,58,36,32,59,28,56,20,53,35,36,35,59,18,16,20,15,58,34,20,15,20,36,20,16,35,36,20,15,34,15,35,16,20,16,58,16,20,36,18,36,16,36,35,59,18,16,20,36,31,34,34,36,35,16,32,36,20,34,20,2.0
32,58,18,74,15,18,74,34,57,34,58,60,32,59,31,53,53,32,72,36,56,36,55,16,76,16,76,72,21,16,71,20,56,35,69,29,56,34,36,53,74,18,73,18,60,20,36,35,36,34,69,20,18,57,60,21,60,18,74,16,34,35,18,56,18,73,59,20,15,76,18,58,16,58,37,32,59,29,56,21,54,34,37,35,59,18,18,20,16,57,34,21,16,21,36,20,18,35,37,21,16,34,16,35,18,20,18,57,18,21,36,18,36,16,36,35,59,21,18,21,36,31,34,34,36,34,18,32,36,20,34,20,1.0
26,60,19,74,17,19,74,30,60,30,60,53,37,53,37,45,52,26,73,34,56,33,56,18,75,18,75,72,18,12,72,18,49,41,68,33,49,40,34,52,76,14,76,14,53,18,34,41,34,41,70,18,19,60,53,18,53,14,76,12,30,41,19,56,19,73,53,18,17,75,19,60,18,60,34,37,53,33,49,18,45,41,34,41,53,14,19,18,18,60,30,18,18,18,34,18,19,41,34,18,18,41,18,41,19,18,19,60,19,18,34,14,34,12,34,41,53,18,19,18,34,37,30,41,33,41,19,37,34,18,30,18,2.0
25,63,21,71,17,21,71,28,63,28,63,47,43,47,42,39,57,25,69,29,60,30,60,19,73,19,73,78,14,10,78,13,43,45,76,38,43,45,31,57,81,12,80,11,48,14,31,47,31,46,77,13,21,63,47,14,48,12,80,10,28,47,21,60,21,69,47,13,17,73,21,63,19,63,31,43,47,38,43,14,39,47,29,47,47,11,21,13,19,63,28,14,19,14,31,13,21,47,31,14,19,46,19,47,21,13,21,63,21,14,31,11,31,10,31,45,47,14,21,14,31,42,28,46,30,47,21,43,31,13,28,13,1.0
34,54,25,66,19,25,66,37,54,37,54,54,37,54,37,48,48,34,63,40,51,40,51,22,69,22,69,69,22,16,69,22,51,40,66,34,51,40,40,48,72,19,72,19,54,22,40,40,40,40,66,22,25,54,54,22,54,19,72,16,37,40,25,51,25,63,54,22,19,69,25,54,22,54,40,37,54,34,51,22,48,40,40,40,54,19,25,22,22,54,37,22,22,22,40,22,25,40,40,22,22,40,22,40,25,22,25,54,25,22,40,19,40,16,40,40,54,22,25,22,40,37,37,40,40,40,25,37,40,22,37,22,2.0
35,55,22,70,18,22,70,37,55,37,55,57,34,57,33,51,51,35,68,39,53,39,53,20,72,20,72,71,20,17,71,21,54,37,69,30,54,36,39,51,73,18,73,19,57,21,39,37,39,36,69,20,22,55,57,21,58,19,73,17,37,37,22,53,22,68,57,21,18,72,22,55,20,55,39,34,57,30,54,21,51,37,39,37,57,19,22,21,20,55,37,21,20,21,39,21,22,37,39,21,20,36,20,37,22,21,22,55,22,21,39,19,39,17,39,37,57,20,22,21,39,33,37,36,39,37,22,34,39,21,37,21,2.0
32,58,23,69,19,23,69,34,58,34,58,52,39,52,39,46,54,32,67,36,56,36,56,21,71,21,71,69,22,15,69,21,49,42,66,36,49,42,36,54,73,19,72,18,52,22,36,42,36,42,66,22,23,58,52,22,52,19,72,15,34,42,23,56,23,67,52,21,19,71,23,58,21,58,36,39,52,36,49,22,46,42,36,42,52,18,23,21,21,58,34,22,21,22,36,21,23,42,36,22,21,42,21,42,23,21,23,58,23,22,36,18,36,15,36,42,52,22,23,22,36,39,34,42,36,42,23,39,36,21,34,21,1.0
29,58,16,77,14,16,77,32,57,32,58,59,32,58,32,52,49,29,76,37,54,36,53,15,78,15,78,74,18,14,74,18,56,36,72,29,55,35,36,50,76,16,76,16,59,18,37,36,36,35,72,18,16,57,59,18,59,16,76,14,32,36,16,54,16,76,58,18,14,78,16,58,15,58,37,32,59,29,56,18,52,35,37,35,58,16,16,18,15,57,32,18,15,18,36,18,16,36,37,18,15,35,15,36,16,18,16,57,16,18,36,16,36,14,36,36,59,18,16,18,36,32,32,35,36,35,16,32,36,18,32,18,1.0
32,58,23,69,19,23,69,34,58,34,58,54,37,54,37,48,54,32,67,36,56,36,56,21,71,21,71,72,20,15,72,19,51,40,70,34,51,40,36,54,75,18,74,17,54,20,36,40,36,40,70,20,23,58,54,20,54,18,74,15,34,40,23,56,23,67,54,19,19,71,23,58,21,58,36,37,54,34,51,20,48,40,36,40,54,17,23,19,21,58,34,20,21,20,36,19,23,40,36,20,21,40,21,40,23,19,23,58,23,20,36,17,36,15,36,40,54,20,23,20,36,37,34,40,36,40,23,37,36,19,34,19,1.0
30,57,17,76,15,17,76,33,56,33,57,59,32,58,32,52,48,30,75,38,53,37,52,16,77,16,77,71,20,15,71,20,56,36,68,29,55,35,37,49,74,17,74,17,59,20,38,36,37,35,69,20,17,56,59,20,59,17,74,15,33,36,17,53,17,75,58,20,15,77,17,57,16,57,38,32,59,29,56,20,52,35,38,35,58,17,17,20,16,56,33,20,16,20,37,20,17,36,38,20,16,35,16,36,17,20,17,56,17,20,37,17,37,15,37,36,59,20,17,20,37,32,33,35,37,35,17,32,37,20,33,20,1.0
35,53,25,66,19,25,66,38,53,38,53,53,38,53,38,47,47,35,63,41,50,40,50,22,69,22,69,68,23,17,68,23,50,41,65,35,50,40,41,47,71,20,71,20,53,23,41,41,41,41,65,23,25,53,53,23,53,20,71,17,38,41,25,50,25,63,53,23,19,69,25,53,22,53,41,38,53,35,50,23,47,41,41,41,53,20,25,23,22,53,38,23,22,23,41,23,25,41,41,23,22,41,22,41,25,23,25,53,25,23,41,20,41,17,41,41,53,23,25,23,41,38,38,41,40,41,25,38,41,23,38,23,2.0
32,56,23,69,19,23,69,35,56,35,56,51,40,51,40,45,50,32,67,36,53,38,53,21,71,21,71,65,26,19,65,25,48,41,62,37,48,43,38,50,69,23,68,22,51,26,38,43,38,43,62,26,23,56,51,26,51,23,68,19,35,43,23,53,23,67,51,25,19,71,23,56,21,56,38,40,51,37,48,26,45,43,36,43,51,22,23,25,21,56,35,26,21,26,38,25,23,43,38,26,21,43,21,43,23,25,23,56,23,26,38,22,38,19,38,41,51,26,23,26,38,40,35,43,38,43,23,40,38,25,35,25,2.0
34,54,24,68,20,24,68,37,54,37,54,51,40,51,40,45,48,34,66,39,51,39,51,22,70,22,70,63,28,21,63,27,48,42,60,37,48,42,40,48,67,25,66,24,51,28,40,43,40,43,60,28,24,54,51,28,51,25,66,21,37,43,24,51,24,66,51,27,20,70,24,54,22,54,40,40,51,37,48,28,45,43,39,43,51,24,24,27,22,54,37,28,22,28,40,27,24,43,40,28,22,43,22,43,24,27,24,54,24,28,40,24,40,21,40,42,51,28,24,28,40,40,37,43,39,43,24,40,40,27,37,27,2.0
32,56,22,70,18,22,70,35,56,35,56,51,40,51,40,45,50,32,68,37,53,38,53,20,72,20,72,64,27,20,64,26,48,42,61,37,48,43,38,50,68,24,67,23,51,27,38,43,38,43,61,27,22,56,51,27,51,24,67,20,35,43,22,53,22,68,51,26,18,72,22,56,20,56,38,40,51,37,48,27,45,43,37,43,51,23,22,26,20,56,35,27,20,27,38,26,22,43,38,27,20,43,20,43,22,26,22,56,22,27,38,23,38,20,38,42,51,27,22,27,38,40,35,43,38,43,22,40,38,26,35,26,2.0
36,54,27,65,23,27,65,38,54,38,54,53,38,53,38,48,50,36,63,40,52,40,52,25,67,25,67,68,24,19,68,23,50,41,66,35,50,41,40,50,71,22,70,21,53,24,40,41,40,41,66,24,27,54,53,24,53,22,70,19,38,41,27,52,27,63,53,23,23,67,27,54,25,54,40,38,53,36,50,24,48,41,40,41,53,21,27,23,25,54,38,24,25,24,40,23,27,41,40,24,25,41,25,41,27,23,27,54,27,24,40,21,40,19,40,41,53,24,27,24,40,38,38,41,40,41,27,38,40,23,38,23,1.0
37,51,16,76,12,16,76,40,51,40,51,57,34,57,33,51,45,37,74,43,48,43,48,14,78,14,78,69,21,15,69,21,54,37,66,30,54,36,43,45,73,18,72,18,57,22,43,37,43,36,66,21,16,51,57,22,58,19,72,15,40,37,16,48,16,74,57,21,12,78,16,51,14,51,43,34,57,30,54,22,51,37,43,37,57,18,16,21,14,51,40,22,14,22,43,21,16,37,43,22,14,36,14,37,16,21,16,51,16,22,43,18,43,15,43,37,57,21,16,22,43,33,40,36,43,37,16,34,43,21,40,21,1.0
31,59,22,70,18,22,70,33,59,33,59,55,36,55,35,49,55,31,68,35,57,35,57,20,72,20,72,72,18,14,72,19,52,39,69,32,52,38,35,55,75,15,75,16,55,19,35,39,35,38,70,18,22,59,55,19,56,16,75,14,33,39,22,57,22,68,55,19,18,72,22,59,20,59,35,36,55,32,52,19,49,39,35,39,55,16,22,19,20,59,33,19,20,19,35,19,22,39,35,19,20,38,20,39,22,19,22,59,22,19,35,16,35,14,35,39,55,18,22,19,35,35,33,38,35,39,22,36,35,19,33,19,2.0
39,51,23,69,19,23,69,41,51,41,51,53,39,53,39,49,47,39,67,43,49,43,49,21,71,21,71,63,29,24,63,28,51,41,61,37,51,41,43,47,66,27,65,26,53,29,43,41,43,41,61,29,23,51,53,29,53,27,65,24,41,41,23,49,23,67,53,28,19,71,23,51,21,51,43,39,53,37,51,29,49,41,43,41,53,26,23,28,21,51,41,29,21,29,43,28,23,41,43,29,21,41,21,41,23,28,23,51,23,29,43,26,43,24,43,41,53,29,23,29,43,39,41,41,43,41,23,39,43,28,41,28,2.0
34,54,23,68,17,23,68,37,54,37,54,57,34,57,34,51,48,34,65,40,51,40,51,20,71,20,71,73,19,15,73,19,54,37,71,31,54,37,40,48,75,17,75,17,57,19,40,37,40,37,71,19,23,54,57,19,57,17,75,15,37,37,23,51,23,65,57,19,17,71,23,54,20,54,40,34,57,31,54,19,51,37,40,37,57,17,23,19,20,54,37,19,20,19,40,19,23,37,40,19,20,37,20,37,23,19,23,54,23,19,40,17,40,15,40,37,57,19,23,19,40,34,37,37,40,37,23,34,40,19,37,19,1.0
32,56,24,68,20,23,68,35,56,35,55,51,40,51,40,45,50,32,66,38,53,37,53,22,70,22,70,71,20,13,71,19,48,43,68,37,48,42,38,50,75,17,74,16,51,20,38,43,38,43,68,20,24,56,51,20,51,17,74,13,35,43,24,53,24,66,51,19,20,70,24,56,22,56,38,40,51,37,48,20,45,43,38,43,51,16,24,19,22,56,35,20,22,20,38,19,24,43,38,20,22,43,22,43,24,19,24,56,24,20,38,16,38,13,38,43,51,20,24,20,38,40,35,43,37,43,24,40,38,19,35,19,2.0
36,54,27,65,23,27,65,38,54,38,54,53,39,53,39,49,50,36,63,40,52,40,52,25,67,25,67,67,25,20,67,24,51,41,65,37,51,41,40,50,70,23,69,22,53,25,40,41,40,41,65,25,27,54,53,25,53,23,69,20,38,41,27,52,27,63,53,24,23,67,27,54,25,54,40,39,53,37,51,25,49,41,40,41,53,22,27,24,25,54,38,25,25,25,40,24,27,41,40,25,25,41,25,41,27,24,27,54,27,25,40,22,40,20,40,41,53,25,27,25,40,39,38,41,40,41,27,39,40,24,38,24,2.0
34,52,15,78,13,15,78,38,52,38,52,59,32,59,31,53,44,34,77,42,48,42,48,14,79,14,79,71,20,15,71,20,56,35,68,28,56,34,42,44,74,17,74,17,60,20,42,35,42,34,69,19,15,52,59,20,60,17,74,15,38,35,15,48,15,77,59,20,13,79,15,52,14,52,42,32,59,28,56,20,53,35,42,35,59,17,15,20,14,52,38,20,14,20,42,20,15,35,42,20,14,34,14,35,15,20,15,52,15,20,42,17,42,15,42,35,59,20,15,20,42,31,38,34,42,35,15,32,42,20,38,20,1.0
31,59,22,70,18,22,70,33,59,33,59,55,36,55,35,49,55,31,68,35,57,35,57,20,72,20,72,73,18,15,73,19,52,39,71,32,52,38,35,55,75,16,75,17,55,19,35,39,35,38,71,18,22,59,55,19,56,17,75,15,33,39,22,57,22,68,55,19,18,72,22,59,20,59,35,36,55,32,52,19,49,39,35,39,55,17,22,19,20,59,33,19,20,19,35,19,22,39,35,19,20,38,20,39,22,19,22,59,22,19,35,17,35,15,35,39,55,18,22,19,35,35,33,38,35,39,22,36,35,19,33,19,1.0
30,58,17,76,15,17,76,33,58,32,58,56,35,55,35,49,52,30,75,35,55,36,55,16,77,16,77,69,22,16,69,22,53,38,66,32,52,38,35,52,72,19,72,19,56,22,36,38,36,38,66,22,17,58,56,22,56,19,72,16,33,39,17,55,17,75,55,22,15,77,17,58,16,58,36,35,56,32,53,22,49,38,35,38,55,19,17,22,16,58,33,22,16,22,36,22,17,39,36,22,16,38,16,39,17,22,17,58,17,22,36,19,36,16,36,38,56,22,17,22,36,35,33,38,36,38,17,35,36,22,33,22,1.0
30,58,17,76,15,17,76,33,58,33,58,58,33,58,33,52,52,30,75,36,55,36,55,16,77,16,77,72,20,16,72,20,55,36,70,30,55,36,36,52,74,18,74,18,58,20,36,36,36,36,70,20,17,58,58,20,58,18,74,16,33,36,17,55,17,75,58,20,15,77,17,58,16,58,36,33,58,30,55,20,52,36,36,36,58,18,17,20,16,58,33,20,16,20,36,20,17,36,36,20,16,36,16,36,17,20,17,58,17,20,36,18,36,16,36,36,58,20,17,20,36,33,33,36,36,36,17,33,36,20,33,20,1.0
35,51,16,77,14,16,77,39,51,39,51,58,33,58,32,52,43,35,76,43,47,43,47,15,78,15,78,69,21,15,69,21,55,36,66,29,55,35,43,43,73,18,72,18,58,22,43,36,43,35,66,21,16,51,58,22,59,19,72,15,39,36,16,47,16,76,58,21,14,78,16,51,15,51,43,33,58,29,55,22,52,36,43,36,58,18,16,21,15,51,39,22,15,22,43,21,16,36,43,22,15,35,15,36,16,21,16,51,16,22,43,18,43,15,43,36,58,21,16,22,43,32,39,35,43,36,16,33,43,21,39,21,2.0
30,58,20,73,18,20,73,33,58,33,58,53,37,53,37,45,52,30,72,36,55,35,55,19,74,19,74,68,22,13,68,21,49,41,64,33,49,40,36,52,73,18,72,17,53,22,36,41,36,41,64,22,20,58,53,22,53,18,72,13,33,41,20,55,20,72,53,21,18,74,20,58,19,58,36,37,53,33,49,22,45,41,36,41,53,17,20,21,19,58,33,22,19,22,36,21,20,41,36,22,19,41,19,41,20,21,20,58,20,22,36,17,36,13,36,41,53,22,20,22,36,37,33,41,35,41,20,37,36,21,33,21,2.0
25,65,20,72,16,20,72,27,65,27,65,56,35,56,35,50,61,25,70,29,63,29,63,18,74,18,74,74,18,14,74,18,53,38,72,32,53,38,29,61,76,16,76,16,56,18,29,38,29,38,72,18,20,65,56,18,56,16,76,14,27,38,20,63,20,70,56,18,16,74,20,65,18,65,29,35,56,32,53,18,50,38,29,38,56,16,20,18,18,65,27,18,18,18,29,18,20,38,29,18,18,38,18,38,20,18,20,65,20,18,29,16,29,14,29,38,56,18,20,18,29,35,27,38,29,38,20,35,29,18,27,18,1.0
28,61,20,72,16,20,72,30,61,30,61,55,36,54,35,46,55,28,70,33,58,33,58,18,74,18,74,74,19,14,73,18,50,40,71,31,50,39,33,56,76,16,75,16,55,18,33,40,33,39,71,18,20,61,55,19,55,16,76,14,30,40,20,58,20,70,54,18,16,74,20,61,18,61,33,36,54,31,50,19,46,40,33,40,54,16,20,18,18,61,30,19,18,19,33,18,20,40,33,19,18,39,18,40,20,18,20,61,20,19,33,16,33,14,33,40,54,19,20,19,33,35,30,39,33,40,20,36,33,18,30,18,1.0
33,55,22,70,18,22,70,36,55,36,55,50,41,50,41,44,49,33,68,38,52,38,52,20,72,20,72,67,24,18,67,23,47,43,64,38,47,43,39,49,71,21,70,20,50,24,39,44,39,44,65,24,22,55,50,24,50,21,70,18,36,44,22,52,22,68,50,23,18,72,22,55,20,55,39,41,50,38,47,24,44,44,38,44,50,20,22,23,20,55,36,24,20,24,39,23,22,44,39,24,20,44,20,44,22,23,22,55,22,24,39,20,39,18,39,43,50,24,22,24,39,41,36,44,38,44,22,41,39,23,36,23,2.0
27,59,18,75,16,18,75,31,59,31,59,54,35,55,35,47,51,27,74,35,55,34,55,17,76,17,76,73,19,15,72,19,50,39,70,31,51,38,35,51,75,17,74,17,54,19,35,39,35,39,70,19,18,59,55,19,55,17,75,15,31,39,18,55,18,74,55,19,16,76,18,59,17,59,35,35,54,31,51,20,47,39,35,39,55,17,18,19,17,59,31,20,17,20,35,19,18,39,35,19,17,39,17,39,18,19,18,59,18,20,35,17,35,15,35,39,55,19,18,20,35,35,31,39,34,39,18,35,35,19,31,19,2.0
33,55,23,68,17,23,68,36,55,36,55,57,34,57,34,51,49,33,65,39,52,39,52,20,71,20,71,70,21,14,70,20,54,37,67,31,54,37,39,49,74,18,73,17,57,21,39,37,39,37,67,21,23,55,57,21,57,18,73,14,36,37,23,52,23,65,57,20,17,71,23,55,20,55,39,34,57,31,54,21,51,37,39,37,57,17,23,20,20,55,36,21,20,21,39,20,23,37,39,21,20,37,20,37,23,20,23,55,23,21,39,17,39,14,39,37,57,21,23,21,39,34,36,37,39,37,23,34,39,20,36,20,2.0
34,56,22,69,16,22,69,36,56,36,56,56,35,56,34,50,52,34,66,38,54,38,54,19,72,19,72,74,17,14,74,18,53,38,72,31,53,37,38,52,76,15,76,16,56,18,38,38,38,37,72,17,22,56,56,18,57,16,76,14,36,38,22,54,22,66,56,18,16,72,22,56,19,56,38,35,56,31,53,18,50,38,38,38,56,16,22,18,19,56,36,18,19,18,38,18,22,38,38,18,19,37,19,38,22,18,22,56,22,18,38,16,38,14,38,38,56,17,22,18,38,34,36,37,38,38,22,35,38,18,36,18,1.0
29,61,19,73,15,19,73,31,60,31,61,56,34,55,33,46,56,29,71,33,59,33,58,17,75,17,75,71,21,17,71,21,50,39,69,30,50,38,33,56,73,19,73,19,56,21,33,39,33,38,69,21,19,60,56,21,56,19,73,17,31,39,19,59,19,71,55,21,15,75,19,61,17,61,34,34,55,31,50,21,48,38,34,39,55,19,19,21,17,60,31,21,17,21,33,21,19,39,34,21,17,38,17,39,19,21,19,60,19,21,33,19,33,17,33,39,55,21,19,21,33,33,31,38,33,38,19,34,33,21,31,21,2.0
37,50,15,78,13,15,78,40,50,40,50,57,34,57,33,51,43,36,77,44,46,43,46,14,79,14,79,69,21,16,69,22,54,37,66,30,54,35,44,43,72,18,72,19,57,22,44,37,44,36,66,21,15,50,57,22,58,19,72,16,40,37,15,46,15,77,57,22,13,79,15,50,14,50,44,34,57,30,54,22,51,37,44,37,57,19,15,22,14,50,40,22,14,22,44,22,15,37,44,22,14,36,14,37,15,22,15,50,15,22,44,19,44,16,44,37,57,21,15,22,44,33,40,36,43,37,15,34,44,22,40,22,1.0
30,56,16,77,14,16,77,34,56,34,56,58,33,58,32,52,48,30,76,37,52,38,52,15,78,15,78,71,21,17,70,21,55,35,68,29,55,35,38,48,73,19,72,19,58,21,38,36,38,35,68,21,16,56,59,22,59,19,73,17,34,36,16,52,16,76,58,21,14,78,16,56,15,56,38,33,58,29,55,22,52,36,37,36,58,19,16,21,15,56,34,22,15,22,38,21,16,36,38,22,15,35,15,36,16,21,16,56,16,22,38,19,38,17,38,35,58,21,16,22,38,32,34,35,38,36,16,33,38,21,34,21,2.0
28,60,21,71,17,21,71,31,60,31,60,54,34,54,34,44,54,28,69,34,57,34,57,19,73,19,73,79,14,12,79,14,48,40,78,28,48,40,34,54,80,13,80,13,54,14,34,40,34,40,78,14,21,60,54,14,54,13,80,12,31,40,21,57,21,69,54,14,17,73,21,60,19,60,34,34,54,30,48,14,44,40,34,40,54,13,21,14,19,60,31,14,19,14,34,14,21,40,34,14,19,40,19,40,21,14,21,60,21,14,34,13,34,12,34,40,54,14,21,14,34,34,31,40,34,40,21,34,34,14,31,14,1.0
