@relation 'Sax dominant'

@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMcba numeric
@attribute o1atLcba numeric
@attribute o1atMcca numeric
@attribute o1atLcca numeric
@attribute o1atMacc numeric
@attribute o1atLacc numeric
@attribute o1atMcaa numeric
@attribute o1atLcaa numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMcab numeric
@attribute o1atLcab numeric
@attribute o1atMacb numeric
@attribute o1atLacb numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMbca numeric
@attribute o1atLbca numeric
@attribute o1atMbac numeric
@attribute o1atLbac numeric
@attribute o1atMcac numeric
@attribute o1atLcac numeric
@attribute o1atMaca numeric
@attribute o1atLaca numeric
@attribute destClass {2,3,4,1}

@data
23,66,23,65,18,68,20,17,70,20,71,20,23,63,68,61,20,69,19,70,24,21,73,18,72,19,24,21,24,19,25,19,20,21,20,22,73,17,23,20,23,21,18,70,23,20,24,20,24,17,18,21,3
17,72,20,71,16,65,20,15,66,22,67,19,18,69,62,69,18,73,16,74,19,21,72,15,71,17,20,22,20,17,21,17,18,22,18,23,72,16,18,22,17,22,16,74,20,20,20,19,20,16,16,22,4
20,70,19,69,16,66,20,17,68,20,69,21,19,67,65,66,17,72,17,73,21,22,72,18,71,18,20,21,21,19,22,19,18,22,18,23,72,17,20,20,20,21,16,73,19,21,20,21,21,17,16,22,2
18,72,15,71,14,63,20,16,66,19,67,22,16,69,62,68,14,74,15,75,19,23,71,18,70,17,17,21,19,19,20,19,16,23,16,24,71,16,18,19,18,21,14,75,15,22,17,22,19,16,14,23,1
18,71,20,70,15,68,18,13,70,19,71,17,19,69,66,68,17,73,16,74,20,19,75,14,74,15,20,19,20,15,21,15,17,19,17,20,75,13,19,19,18,19,16,74,20,18,20,17,20,13,16,19,4
15,75,14,74,11,71,15,12,73,15,74,16,14,72,70,71,12,77,12,78,16,17,77,13,76,13,15,16,16,14,17,14,13,17,13,18,77,12,15,15,15,16,11,78,14,16,15,16,16,12,11,17,3
19,69,19,68,15,66,19,14,67,19,68,19,19,66,63,64,16,72,16,73,21,21,73,15,72,15,20,20,21,16,22,16,17,21,17,22,73,15,20,19,19,20,15,73,19,20,20,19,21,15,15,21,2
17,73,15,72,11,70,16,10,71,15,72,17,16,70,67,68,12,76,13,77,18,18,77,12,76,11,16,16,17,12,18,12,13,17,13,18,77,11,17,15,17,16,11,77,15,17,16,17,17,11,11,17,3
24,66,20,65,16,64,22,17,66,20,67,24,22,64,62,61,17,70,18,71,24,24,71,19,70,18,22,22,23,19,24,19,18,23,18,24,71,17,23,20,24,22,17,71,20,23,22,24,23,17,17,23,1
15,78,13,77,13,75,15,13,76,13,77,16,14,76,75,76,13,78,14,79,16,17,79,15,77,13,14,14,15,14,16,15,14,15,14,17,78,13,15,13,15,15,13,79,13,16,14,16,15,13,13,16,3
20,70,18,69,14,66,19,13,69,18,70,20,19,67,65,65,15,73,16,74,21,21,74,16,73,15,19,19,20,16,21,16,16,20,16,21,74,13,20,18,20,19,14,74,18,20,19,20,20,13,14,20,2
17,72,16,71,12,68,17,13,70,17,71,18,16,69,66,67,13,75,13,76,18,19,75,14,74,14,17,18,18,15,19,15,14,19,14,20,75,13,17,17,17,18,12,76,16,18,17,18,18,13,12,19,3
22,71,18,70,17,67,20,16,69,18,70,22,20,68,66,68,18,72,19,73,22,22,73,18,72,17,20,20,21,18,22,18,19,21,19,22,73,16,21,18,22,20,17,73,18,21,20,22,21,16,17,21,1
20,69,15,68,13,60,20,13,63,18,64,23,17,67,56,64,13,73,15,74,21,24,71,16,70,14,17,20,20,16,21,16,15,23,15,24,71,13,20,19,20,20,14,74,16,23,17,23,20,13,14,23,1
17,69,21,68,15,67,18,14,69,20,70,16,19,66,65,64,17,72,15,73,20,19,74,14,73,16,21,20,21,16,22,16,17,20,17,21,74,14,19,20,17,20,15,73,21,18,21,16,21,14,15,20,4
22,68,21,67,18,60,25,19,62,24,63,25,22,65,57,64,19,70,20,71,24,27,68,21,67,20,22,25,23,21,24,21,20,26,20,27,68,19,23,24,22,25,18,71,21,26,22,25,23,19,18,26,3
17,73,15,72,12,68,16,11,70,16,71,17,16,70,65,69,13,75,14,77,18,18,76,12,75,12,16,17,17,13,19,13,14,18,15,19,76,11,17,16,17,17,12,76,15,17,17,17,18,11,12,18,2
13,74,16,73,12,67,17,12,69,18,70,15,15,71,64,70,14,76,12,77,16,18,75,12,74,14,17,19,17,14,18,14,14,19,14,20,75,12,15,18,13,19,12,77,16,17,17,15,17,12,12,19,4
21,70,17,69,14,64,21,15,66,19,67,23,19,67,61,65,15,73,16,74,21,23,72,17,71,16,19,21,20,17,21,17,16,22,16,23,72,15,20,19,21,21,14,74,17,22,19,23,20,15,14,22,1
17,74,13,73,9,69,16,10,72,14,73,18,15,70,68,69,11,77,12,78,17,18,77,13,76,12,15,16,16,13,17,13,12,17,12,18,77,10,16,14,17,16,9,78,13,17,15,18,16,10,9,17,1
16,73,19,72,15,67,19,14,69,20,70,17,18,70,65,70,17,74,16,75,19,20,74,15,73,16,19,20,19,16,20,16,17,20,17,21,74,14,18,20,16,20,15,75,19,19,19,17,19,14,15,20,4
20,70,19,69,14,67,21,16,69,20,70,21,20,67,66,65,16,73,16,74,21,22,73,18,72,18,20,21,20,18,21,18,16,21,16,22,73,16,20,20,20,21,14,74,19,21,20,21,20,16,14,21,3
14,71,18,70,11,68,16,11,70,18,71,14,16,68,65,65,13,75,11,76,17,17,76,11,75,13,18,18,18,13,19,13,13,18,13,19,76,11,16,18,14,18,11,76,18,16,18,14,18,11,11,18,4
20,70,17,69,14,69,18,14,71,16,72,19,19,67,68,65,15,73,16,74,21,20,75,16,74,15,19,18,20,16,21,16,16,19,16,20,75,14,20,16,20,18,14,74,17,19,19,19,20,14,14,19,1
21,71,16,70,15,67,19,16,69,17,70,22,18,68,66,67,15,73,17,74,21,22,73,18,72,16,18,19,20,18,21,18,17,21,17,22,73,16,20,17,21,19,15,74,16,21,18,22,20,16,15,21,1
16,74,17,73,13,70,17,13,72,18,73,16,17,71,69,71,15,75,15,77,18,18,76,14,75,15,17,18,17,15,19,15,15,18,16,19,76,13,17,18,16,18,13,76,17,17,18,16,18,13,13,18,4
19,68,20,68,16,72,16,14,73,16,74,16,19,66,72,64,17,72,16,72,21,17,76,15,75,15,21,17,22,16,22,16,18,18,18,19,76,15,20,16,19,17,16,72,20,17,21,16,22,15,16,18,2
21,68,21,67,18,66,20,17,68,20,69,20,21,65,65,64,19,70,19,71,23,22,72,18,71,18,22,21,23,19,24,19,20,22,20,23,72,17,22,20,21,21,18,71,21,21,22,20,23,17,18,22,3
20,71,18,70,15,71,17,13,72,16,73,18,19,68,70,67,16,73,17,74,21,19,76,15,75,14,19,17,20,15,21,15,17,18,17,19,76,14,20,16,20,17,15,74,18,18,19,18,20,14,15,18,3
17,70,18,69,14,69,16,14,71,18,72,16,17,67,68,65,15,73,14,74,19,18,75,14,74,16,19,18,20,16,21,16,16,19,16,20,75,14,18,18,17,18,14,74,19,17,19,16,20,14,14,19,4
19,70,17,69,14,67,18,14,69,17,70,19,18,67,65,65,15,73,15,74,20,20,74,15,73,15,19,19,20,16,21,16,16,20,16,21,74,14,19,17,19,19,14,74,17,19,19,19,20,14,14,20,1
19,72,15,71,13,72,15,14,74,14,74,17,17,68,72,68,14,74,16,75,19,18,76,15,76,14,17,16,19,16,20,16,16,18,16,18,76,14,19,14,19,16,13,75,15,17,17,17,19,14,13,18,1
18,69,19,68,17,69,15,14,71,15,72,15,18,66,68,65,18,71,17,72,21,18,75,14,74,14,20,17,22,16,23,16,19,19,19,20,75,14,20,16,18,17,17,72,19,17,20,15,22,14,17,19,4
20,68,19,67,13,70,16,12,71,16,72,17,19,65,68,63,15,72,15,73,21,18,76,13,75,13,20,17,21,14,22,14,16,18,16,19,76,13,20,16,20,17,14,73,19,17,20,17,21,13,14,18,2
24,68,19,67,17,60,23,17,62,21,63,26,21,64,56,64,18,70,20,71,24,26,69,19,68,17,21,23,23,19,24,19,20,25,20,26,69,17,23,21,24,23,17,71,19,25,21,26,23,17,17,25,1
20,71,18,70,15,71,18,15,72,17,73,19,19,68,71,67,16,73,17,74,21,20,75,17,74,16,19,18,20,17,21,17,17,19,17,20,75,16,20,17,20,18,15,74,18,19,19,19,20,16,15,19,3
18,72,16,71,12,69,17,12,71,16,72,18,17,70,67,68,13,75,14,76,19,19,76,14,75,13,17,17,18,14,19,14,14,18,14,19,76,12,18,16,18,17,13,76,16,18,17,18,18,12,13,18,3
20,72,15,71,14,69,18,16,71,16,72,21,17,69,69,68,14,74,16,75,20,21,74,18,73,16,17,18,19,18,20,18,16,20,16,21,74,16,19,16,20,18,14,75,15,20,17,21,19,16,14,20,1
16,74,14,73,12,69,16,14,71,15,72,18,14,71,68,70,13,76,13,77,17,19,75,15,74,14,15,17,17,16,18,16,14,19,14,20,75,14,16,16,16,17,12,77,14,18,15,18,17,14,12,19,3
18,72,19,71,14,72,18,14,73,17,74,17,19,69,71,68,16,74,16,75,20,19,77,16,75,15,19,17,19,15,20,16,16,17,16,19,76,14,19,17,18,18,14,75,19,18,19,17,19,14,14,18,4
18,72,17,71,14,70,16,13,72,16,73,17,17,70,69,69,15,74,15,75,19,18,76,14,75,14,18,17,19,15,20,15,16,18,16,19,76,13,18,16,18,17,15,75,17,17,18,17,19,13,15,18,2
17,74,13,73,10,69,17,12,71,15,72,19,15,71,67,69,11,77,12,78,17,19,76,14,75,13,15,17,16,14,17,14,12,18,12,19,76,12,16,15,17,17,10,78,13,18,15,19,16,12,10,18,1
17,72,16,71,12,71,16,13,72,15,73,17,16,69,69,67,13,75,13,76,18,18,77,14,75,13,17,16,18,14,19,15,14,17,14,19,76,13,17,15,17,17,12,76,16,17,17,17,18,13,12,18,3
13,77,10,76,7,71,14,8,73,12,74,15,12,74,68,72,8,80,9,81,14,16,79,10,78,9,12,14,13,10,14,10,9,15,9,16,79,8,13,12,13,14,7,81,10,15,12,15,13,8,7,15,1
17,74,15,73,14,65,19,13,68,17,69,20,16,71,64,71,15,75,15,76,18,21,74,16,72,15,17,19,18,16,19,17,16,20,16,22,73,13,17,17,17,20,14,76,15,20,17,20,18,13,14,21,3
17,73,17,72,13,68,17,11,71,17,72,17,17,70,67,69,15,75,14,76,18,18,76,13,75,14,18,18,18,14,19,14,15,18,15,19,76,11,17,17,17,18,13,76,17,17,18,17,18,11,13,18,3
21,67,21,67,17,66,20,17,68,20,69,20,20,65,65,63,18,71,18,71,22,21,72,18,71,18,22,21,23,19,23,19,19,22,19,23,72,17,21,20,21,21,17,71,21,21,22,21,23,17,17,22,3
18,66,18,65,10,72,12,9,74,13,75,13,17,64,70,58,11,73,11,74,19,14,79,10,78,10,19,14,20,11,21,11,12,15,12,16,79,9,18,13,19,14,11,74,18,13,19,14,20,9,11,15,2
17,75,12,74,11,73,14,12,75,12,76,17,14,72,73,71,11,77,13,78,17,17,78,14,77,12,14,14,16,14,17,14,13,16,13,17,78,12,16,12,17,14,11,78,12,16,14,17,16,12,11,16,1
21,69,20,68,18,70,17,15,72,17,73,18,20,67,70,65,18,71,18,72,22,19,75,16,74,16,21,18,22,17,23,17,19,19,19,20,75,15,21,17,21,18,18,72,20,18,21,18,22,15,18,19,3
20,69,19,68,15,69,16,12,72,16,73,17,19,67,69,65,16,72,16,73,21,18,76,14,75,14,20,17,21,15,22,15,17,18,17,19,76,12,20,16,20,17,16,73,19,17,20,17,21,12,16,18,3
21,70,20,69,18,66,21,19,68,21,69,22,20,67,66,67,19,71,19,72,22,23,71,20,70,20,21,22,22,21,23,21,20,23,20,24,71,19,21,21,21,22,18,72,20,22,21,22,22,19,18,23,2
17,71,16,70,11,70,17,13,71,16,71,18,17,68,67,65,12,75,13,76,18,19,76,15,75,13,17,17,18,14,19,15,13,18,13,19,75,13,18,16,18,18,11,76,16,18,17,18,18,13,11,19,3
21,72,16,71,16,70,17,15,72,15,73,20,18,69,70,69,16,73,18,74,21,20,75,17,74,15,18,17,20,17,21,17,18,19,18,20,75,15,20,15,21,17,16,74,16,19,18,20,20,15,16,19,1
20,69,20,68,15,68,19,15,70,19,71,19,20,66,67,64,17,72,16,73,21,20,74,16,73,17,21,20,21,17,22,17,17,20,17,21,74,15,20,19,20,20,15,73,20,19,21,19,21,15,15,20,3
19,70,18,69,14,67,18,14,69,18,70,19,18,67,65,65,15,73,15,74,20,20,74,15,73,15,19,19,20,16,21,16,16,20,16,21,74,14,19,18,19,19,14,74,18,19,19,19,20,14,14,20,3
18,71,14,70,10,66,17,11,69,15,70,19,16,68,64,66,11,75,13,76,19,20,75,14,74,12,16,17,18,14,19,14,13,19,13,20,75,11,18,15,18,17,11,76,14,19,16,19,18,11,11,19,1
19,69,16,68,12,65,18,11,67,16,68,19,18,65,62,63,13,73,15,74,21,21,74,14,73,12,18,18,20,14,21,14,15,20,15,21,74,12,20,16,19,18,12,74,16,20,18,19,20,12,12,20,1
20,71,14,70,13,70,15,13,72,13,73,19,16,68,69,66,13,74,15,75,20,19,76,15,75,13,16,15,19,15,20,15,15,18,15,19,76,13,19,14,20,15,13,75,15,18,16,19,19,13,13,18,1
15,74,16,73,12,69,17,12,71,17,72,16,16,71,67,70,14,76,13,77,17,18,76,13,75,14,17,18,17,14,18,14,14,18,14,19,76,12,16,17,15,18,12,77,16,17,17,16,17,12,12,18,2
23,69,21,68,19,65,23,19,67,21,68,24,22,66,65,66,20,70,21,71,24,25,71,22,69,20,22,22,23,21,24,22,21,23,21,25,70,19,23,21,23,23,19,71,21,24,22,24,23,19,19,24,2
19,70,20,69,18,65,20,18,67,21,68,21,19,67,64,67,19,71,18,72,21,22,71,19,70,19,21,22,22,20,23,20,20,23,20,24,71,18,20,21,20,22,18,72,20,21,21,21,22,18,18,23,3
17,72,16,71,11,70,17,12,70,16,71,17,17,68,66,67,14,75,13,76,18,18,76,12,75,13,18,18,18,13,19,13,14,18,14,19,76,13,17,16,17,18,11,76,16,17,18,17,18,13,11,18,2
18,73,16,72,15,68,18,15,70,18,71,19,17,72,67,71,15,74,16,76,19,20,74,16,73,16,17,19,18,17,20,17,16,20,17,21,74,15,18,18,18,19,16,75,16,19,18,19,19,15,16,20,2
18,69,14,68,9,66,17,10,67,15,68,19,16,66,61,61,10,75,11,76,18,19,75,12,74,11,17,18,18,12,19,12,11,19,11,20,75,11,17,15,19,18,9,76,14,18,17,20,18,11,9,19,1
16,74,18,73,14,64,20,13,66,21,67,19,17,71,60,71,16,75,15,76,18,21,73,14,72,15,18,21,18,15,19,15,16,21,16,22,73,13,17,21,16,21,14,76,18,20,18,19,18,13,14,21,4
22,67,19,66,15,63,21,15,64,20,65,23,20,65,59,62,16,71,17,72,23,24,71,17,70,16,20,21,22,17,23,17,17,23,17,24,71,16,22,21,22,21,16,72,20,23,20,23,22,16,16,23,2
21,66,16,65,11,68,15,11,70,13,71,18,18,62,65,58,12,72,14,73,22,19,76,13,75,11,18,15,21,13,22,13,14,18,14,19,76,11,21,14,21,15,11,73,17,18,18,18,21,11,11,18,1
19,69,18,68,11,68,17,10,69,16,70,17,19,64,64,63,14,73,15,74,21,19,76,12,75,11,19,17,20,12,21,12,15,18,15,19,76,11,20,16,19,17,11,74,18,18,19,17,20,11,11,18,3
22,70,17,69,16,66,19,15,68,17,69,22,19,67,64,66,16,72,18,73,22,22,73,17,72,15,19,19,21,17,22,17,18,21,18,22,73,15,21,17,22,19,16,73,17,21,19,22,21,15,16,21,1
18,70,16,69,14,66,18,14,68,16,69,19,17,67,64,65,14,73,15,74,20,21,74,16,72,14,18,18,20,16,21,17,16,20,16,22,73,14,19,16,18,19,14,74,16,20,18,19,20,14,14,21,1
19,71,18,70,15,69,19,18,70,19,71,20,18,68,68,67,16,73,16,74,20,21,73,18,72,18,19,20,20,19,21,19,17,21,17,22,73,18,19,19,19,20,15,74,18,20,19,20,20,18,15,21,2
18,72,18,71,15,64,21,15,67,21,68,20,19,69,63,69,17,73,17,75,20,22,72,17,71,18,19,22,19,18,21,18,17,22,18,23,72,15,19,21,18,22,15,74,18,21,20,20,20,15,15,22,2
23,70,19,69,18,65,23,20,67,21,68,25,21,67,65,67,19,71,20,72,23,25,70,22,69,21,21,23,22,22,23,22,20,24,20,25,70,20,22,21,23,23,18,72,19,24,21,25,22,20,18,24,1
18,70,21,69,16,66,21,16,67,21,68,19,20,67,63,66,18,72,17,73,21,22,73,17,71,17,21,21,21,17,22,18,18,21,18,23,72,16,20,21,18,22,16,73,21,21,21,19,21,16,16,22,4
19,70,17,70,13,70,17,13,72,15,73,18,18,67,69,66,15,74,15,74,20,18,76,15,75,14,19,17,20,15,20,15,16,18,16,19,76,13,19,15,19,17,13,74,17,18,19,18,20,13,13,18,1
19,73,14,72,13,63,20,14,66,18,67,23,16,70,61,69,13,75,15,76,19,23,72,17,71,15,16,20,18,17,19,17,15,22,15,23,72,14,18,18,19,20,13,76,14,22,16,23,18,14,13,22,1
20,69,23,68,19,65,21,18,67,23,68,20,21,66,64,66,21,70,19,71,22,22,71,18,70,20,23,23,23,20,24,20,21,23,21,24,71,18,21,23,20,23,19,71,23,21,23,20,23,18,19,23,4
18,72,16,71,12,73,16,13,74,14,75,17,17,70,72,68,13,75,14,76,19,18,78,15,76,13,17,15,18,14,19,15,14,16,14,18,77,13,18,14,18,16,13,76,16,17,17,17,18,13,13,17,3
15,76,14,75,12,69,17,14,71,17,72,18,14,73,68,73,13,77,13,78,16,19,75,15,74,15,15,18,16,16,17,16,14,19,14,20,75,14,15,17,15,18,12,78,14,18,15,18,16,14,12,19,3
17,71,20,70,15,70,18,15,70,20,71,17,18,68,69,67,17,73,15,74,19,19,74,15,73,17,20,20,20,17,21,17,17,20,17,21,74,17,18,20,17,20,15,74,20,18,20,17,20,17,15,20,4
14,75,17,74,13,68,17,12,70,19,71,16,15,72,67,72,15,76,13,77,16,18,75,13,74,15,17,19,17,15,18,15,15,19,15,20,75,13,15,19,14,19,13,77,17,17,17,16,17,13,13,19,4
14,74,16,73,12,69,16,12,71,17,72,15,15,72,67,71,14,76,12,77,16,17,76,12,75,14,17,18,17,14,18,14,14,18,14,19,76,12,15,17,14,18,13,77,16,16,17,15,17,12,13,18,4
19,70,20,70,16,72,19,17,73,18,74,18,20,68,72,67,18,73,17,73,21,19,75,18,74,18,21,19,21,18,21,18,18,19,18,20,75,17,20,18,19,19,16,73,20,19,21,18,21,17,16,19,2
18,70,21,69,16,68,18,14,69,20,70,17,19,67,66,66,18,72,16,73,20,19,74,14,73,16,21,20,21,16,22,16,18,20,18,21,74,15,19,20,18,20,16,73,21,18,21,17,21,15,16,20,4
19,69,22,68,17,67,20,16,67,22,68,19,20,66,65,65,19,71,17,72,21,21,72,16,71,18,22,22,22,18,23,18,19,22,19,23,72,18,20,22,19,22,17,72,22,20,22,19,22,18,17,22,4
13,75,13,74,9,71,13,8,73,14,74,13,13,72,68,70,10,78,10,79,15,15,79,9,78,10,14,14,15,10,16,10,11,15,11,16,79,8,14,14,13,14,9,79,14,14,14,13,15,8,9,15,4
19,70,18,69,14,69,17,14,71,17,72,18,18,68,68,66,15,73,15,74,20,19,75,15,74,15,19,18,20,16,21,16,16,19,16,20,75,14,19,17,19,18,15,74,18,18,19,18,20,14,15,19,3
19,72,16,71,12,71,18,14,73,16,74,19,18,69,71,67,14,75,14,76,19,19,76,16,75,16,18,18,18,16,19,16,14,18,14,19,76,14,18,16,19,18,12,76,16,18,18,19,18,14,12,18,1
14,72,17,71,10,75,12,9,77,14,77,11,16,70,74,67,12,76,11,77,16,13,80,10,80,11,17,14,17,11,18,11,12,14,12,14,80,9,16,14,15,14,11,77,17,12,17,11,17,9,11,14,4
15,68,16,67,9,66,16,9,68,17,68,14,17,64,62,60,11,74,11,75,18,18,75,10,75,12,18,18,19,12,20,12,12,19,12,19,75,10,18,17,15,18,9,75,17,17,18,14,19,10,9,19,4
18,73,16,73,15,68,19,15,70,17,71,20,17,71,67,71,16,75,16,75,19,20,74,17,73,16,18,19,19,17,19,17,17,20,17,21,74,15,18,17,18,19,15,75,16,20,18,20,19,15,15,20,1
18,71,20,70,15,69,18,14,71,19,72,17,19,68,68,67,17,73,16,74,20,19,75,15,74,16,20,19,20,16,21,16,17,19,17,20,75,14,19,19,18,19,15,74,20,18,20,17,20,14,15,19,4
14,74,15,73,10,66,18,11,69,18,70,17,15,71,64,69,12,77,11,78,16,19,75,13,74,14,16,19,16,14,17,14,12,19,12,20,75,11,15,18,14,19,10,78,15,18,16,17,16,11,10,19,4
21,71,16,70,15,68,19,17,70,17,71,22,18,68,68,67,15,73,17,74,21,22,73,19,72,17,18,19,20,19,21,19,17,21,17,22,73,17,20,17,21,19,15,74,16,21,18,22,20,17,15,21,1
22,68,21,67,19,70,19,18,71,18,72,20,21,67,70,65,19,70,19,71,23,21,74,19,72,18,22,19,23,19,24,20,20,20,20,22,73,18,22,18,22,20,20,71,21,20,22,20,23,18,20,21,3
19,71,18,70,15,67,18,14,69,18,70,19,18,68,65,67,16,73,16,74,20,20,74,15,73,15,19,19,20,16,21,16,17,20,17,21,74,14,19,18,19,19,15,74,18,19,19,19,20,14,15,20,3
19,71,18,70,15,69,17,13,70,17,71,18,18,68,67,67,16,73,16,74,20,19,75,14,74,14,19,18,20,15,21,15,17,19,17,20,75,14,19,17,19,18,15,74,18,18,19,18,20,14,15,19,2
17,71,14,70,10,67,16,10,69,15,70,17,16,69,63,66,11,75,13,77,19,19,76,12,75,11,15,16,17,12,19,12,12,18,13,19,76,10,18,16,17,16,11,76,15,18,16,17,18,10,11,18,2
21,69,19,68,15,68,19,13,70,17,71,19,21,66,66,64,17,72,17,73,22,20,75,15,74,15,21,19,21,15,22,15,17,19,17,20,75,13,21,17,21,19,15,73,19,19,21,19,21,13,15,19,1
16,70,17,70,12,69,16,12,71,16,72,15,16,68,67,65,13,75,13,75,18,17,76,13,75,13,18,17,19,14,19,14,14,18,14,19,76,12,17,16,16,17,12,75,17,17,18,16,19,12,12,18,2
18,72,14,71,10,71,15,10,73,13,74,17,16,69,69,66,11,76,12,77,18,17,78,12,77,11,16,15,17,12,18,12,12,16,12,17,78,10,17,13,18,15,10,77,14,16,16,17,17,10,10,16,1
18,72,17,71,14,68,19,16,69,19,70,20,17,69,67,68,15,74,15,75,19,21,73,17,72,17,18,20,19,18,20,18,16,21,16,22,73,17,18,19,18,20,14,75,17,20,18,20,19,17,14,21,2
16,72,15,71,10,69,15,10,71,15,72,16,15,69,66,66,11,76,11,77,17,17,77,11,76,11,16,16,17,12,18,12,12,17,12,18,77,10,16,15,16,16,10,77,15,16,16,16,17,10,10,17,3
13,74,13,73,12,66,15,11,68,17,69,15,13,71,62,70,12,76,12,77,16,18,75,11,74,13,15,17,17,13,18,13,14,19,14,20,75,11,15,17,13,17,12,77,15,17,15,15,17,11,12,19,4
17,73,19,72,15,64,22,15,64,23,65,21,18,70,60,70,17,74,16,75,19,23,71,16,70,17,19,23,19,17,20,17,17,23,17,24,71,17,18,23,17,23,15,75,19,22,19,21,19,17,15,23,4
14,74,17,73,12,69,16,11,71,18,71,15,16,71,66,70,14,76,13,77,16,17,76,12,76,13,17,18,17,13,18,13,14,18,14,18,76,11,16,18,15,18,12,77,17,16,17,15,17,11,12,18,4
18,73,16,72,15,65,20,16,67,19,68,21,17,70,63,70,16,74,16,75,19,22,72,17,71,17,18,21,19,18,20,18,17,22,17,23,72,16,18,19,18,21,15,75,16,21,18,21,19,16,15,22,1
19,73,18,72,18,69,17,13,71,16,72,18,18,71,68,71,18,73,18,74,20,19,76,15,74,14,19,17,20,15,21,16,19,18,19,20,75,13,19,16,19,18,18,74,18,18,19,18,20,13,18,19,3
15,72,17,71,12,72,14,10,73,15,74,13,16,69,70,67,14,75,12,76,17,15,78,10,77,12,18,16,18,12,19,12,14,16,14,17,78,11,16,15,15,16,12,76,17,14,18,13,18,11,12,16,4
18,72,17,71,14,69,17,14,71,17,72,18,17,70,68,69,15,74,15,75,19,19,75,15,74,15,18,18,19,16,20,16,16,19,16,20,75,14,18,17,18,18,15,75,17,18,18,18,19,14,15,19,3
15,75,14,74,11,63,19,11,65,19,66,20,14,72,59,71,12,77,12,78,16,21,73,13,72,13,15,20,16,14,17,14,13,21,13,22,73,12,15,19,15,20,11,78,14,20,15,20,16,12,11,21,2
17,76,14,75,12,70,18,13,72,16,73,19,16,73,69,73,14,77,14,78,17,19,76,15,75,15,16,18,16,15,17,15,14,18,14,19,76,13,16,16,17,18,12,78,14,18,16,19,16,13,12,18,1
23,67,21,66,17,67,20,16,69,19,70,21,22,64,66,62,18,70,19,71,24,22,73,18,72,17,22,20,23,18,24,18,19,21,19,22,73,16,23,19,23,20,17,71,21,21,22,21,23,16,17,21,3
21,66,21,66,16,63,21,16,66,21,67,21,20,64,62,61,17,71,17,71,22,22,71,18,70,18,22,22,23,19,23,19,18,23,18,24,71,16,21,21,21,22,16,71,21,22,22,22,23,16,16,23,3
18,70,20,69,16,66,20,16,67,20,68,19,19,67,63,66,18,72,16,73,20,21,73,16,71,17,21,21,21,17,22,18,18,21,18,23,72,16,19,20,18,22,16,73,20,20,21,19,21,16,16,22,4
16,71,16,70,11,71,15,12,73,15,74,15,16,68,70,65,12,75,12,76,18,17,77,13,76,13,17,16,18,14,19,14,13,17,13,18,77,12,17,15,16,16,11,76,16,16,17,15,18,12,11,17,2
16,71,17,71,13,72,16,15,73,16,74,16,16,69,71,67,14,75,13,75,18,17,76,15,75,15,18,17,19,16,19,16,15,18,15,19,76,15,17,16,16,17,13,75,17,17,18,16,19,15,13,18,2
21,70,16,69,13,70,17,15,72,15,73,20,18,66,70,65,14,73,16,74,21,20,75,17,74,15,18,17,20,17,21,17,16,19,16,20,75,15,20,15,21,17,13,74,16,19,18,20,20,15,13,19,1
19,73,15,72,13,71,17,14,73,15,74,19,17,70,71,69,14,75,15,76,19,19,76,16,75,15,17,17,18,16,19,16,15,18,15,19,76,14,18,15,19,17,13,76,15,18,17,19,18,14,13,18,1
14,76,11,75,9,75,13,9,76,10,77,14,13,74,73,71,9,79,10,80,15,15,81,11,79,9,13,12,14,10,15,11,10,13,10,15,80,9,14,10,14,13,9,80,11,14,13,14,14,9,9,14,3
20,67,19,66,13,66,20,16,67,20,68,21,19,64,64,60,14,72,14,73,21,22,72,17,71,17,20,21,21,18,22,18,15,22,15,23,72,17,20,20,20,21,13,73,19,21,20,21,21,17,13,22,2
19,73,14,72,13,71,16,12,73,13,74,18,17,70,70,69,14,75,15,76,19,18,77,14,76,13,17,16,18,14,19,14,15,17,15,18,77,12,18,13,19,16,13,76,14,17,17,18,18,12,13,17,1
16,73,12,72,11,69,14,10,71,13,72,16,14,70,66,68,11,76,12,77,17,17,77,11,76,11,15,15,17,12,18,12,13,17,13,18,77,10,16,13,16,15,11,77,13,16,15,16,17,10,11,17,3
