@relation 'Sax dominant'

@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMhh numeric
@attribute o1atLhh numeric
@attribute o1atMff numeric
@attribute o1atLff numeric
@attribute o1atMjj numeric
@attribute o1atLjj numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMfg numeric
@attribute o1atLfg numeric
@attribute o1atMjk numeric
@attribute o1atLjk numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMhi numeric
@attribute o1atLhi numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMgf numeric
@attribute o1atLgf numeric
@attribute o1atMkj numeric
@attribute o1atLkj numeric
@attribute o1atMih numeric
@attribute o1atLih numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMee numeric
@attribute o1atLee numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMgg numeric
@attribute o1atLgg numeric
@attribute o1atMii numeric
@attribute o1atLii numeric
@attribute o1atLkk numeric
@attribute o1atMaa numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMgh numeric
@attribute o1atLgh numeric
@attribute o1atMef numeric
@attribute o1atLef numeric
@attribute o1atMij numeric
@attribute o1atLij numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMeg numeric
@attribute o1atLeg numeric
@attribute o1atMgi numeric
@attribute o1atLgi numeric
@attribute o1atMeh numeric
@attribute o1atLeh numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMhg numeric
@attribute o1atLhg numeric
@attribute o1atMfe numeric
@attribute o1atLfe numeric
@attribute o1atMji numeric
@attribute o1atLji numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMfi numeric
@attribute o1atLfi numeric
@attribute o1atMhf numeric
@attribute o1atLhf numeric
@attribute o1atMge numeric
@attribute o1atLge numeric
@attribute o1atMfh numeric
@attribute o1atLfh numeric
@attribute o1atMik numeric
@attribute o1atLik numeric
@attribute o1atMfd numeric
@attribute o1atLfd numeric
@attribute o1atMhj numeric
@attribute o1atLhj numeric
@attribute o1atMfj numeric
@attribute o1atLfj numeric
@attribute o1atMcf numeric
@attribute o1atLcf numeric
@attribute o1atMei numeric
@attribute o1atLei numeric
@attribute o1atMgj numeric
@attribute o1atLgj numeric
@attribute o1atMdg numeric
@attribute o1atLdg numeric
@attribute o1atMgk numeric
@attribute o1atLgk numeric
@attribute o1atMhk numeric
@attribute o1atLhk numeric
@attribute o1atMig numeric
@attribute o1atLig numeric
@attribute o1atMdf numeric
@attribute o1atLdf numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMbf numeric
@attribute o1atLbf numeric
@attribute o1atMjh numeric
@attribute o1atLjh numeric
@attribute o1atMcg numeric
@attribute o1atLcg numeric
@attribute o1atMdh numeric
@attribute o1atLdh numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMhe numeric
@attribute o1atLhe numeric
@attribute o1atMck numeric
@attribute o1atLck numeric
@attribute o1atMjf numeric
@attribute o1atLjf numeric
@attribute o1atMfc numeric
@attribute o1atLfc numeric
@attribute o1atMbj numeric
@attribute o1atLbj numeric
@attribute o1atMgd numeric
@attribute o1atLgd numeric
@attribute o1atMjg numeric
@attribute o1atLjg numeric
@attribute o1atMdi numeric
@attribute o1atLdi numeric
@attribute o1atMkg numeric
@attribute o1atLkg numeric
@attribute o1atMch numeric
@attribute o1atLch numeric
@attribute o1atMif numeric
@attribute o1atLif numeric
@attribute o1atMbi numeric
@attribute o1atLbi numeric
@attribute o1atMib numeric
@attribute o1atLib numeric
@attribute o1atMdk numeric
@attribute o1atLdk numeric
@attribute o1atMeb numeric
@attribute o1atLeb numeric
@attribute o1atMje numeric
@attribute o1atLje numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMdj numeric
@attribute o1atLdj numeric
@attribute o1atMkd numeric
@attribute o1atLkd numeric
@attribute o1atMki numeric
@attribute o1atLki numeric
@attribute o1atMkf numeric
@attribute o1atLkf numeric
@attribute o1atMcj numeric
@attribute o1atLcj numeric
@attribute o1atMbh numeric
@attribute o1atLbh numeric
@attribute o1atMkh numeric
@attribute o1atLkh numeric
@attribute o1atMhd numeric
@attribute o1atLhd numeric
@attribute o1atMej numeric
@attribute o1atLej numeric
@attribute o1atMid numeric
@attribute o1atLid numeric
@attribute destClass {1.0,2.0}

@data
40,57,63,35,52,46,81,22,21,88,42,53,54,41,84,11,23,72,65,30,35,53,42,53,54,41,83,11,65,30,23,72,45,51,32,70,56,39,68,28,9,5,35,60,58,37,47,48,70,25,6,89,35,53,47,41,58,30,47,37,35,60,58,37,47,48,70,24,6,89,54,30,54,37,47,41,54,37,71,12,42,48,65,25,54,25,35,48,47,30,58,25,42,41,58,12,65,12,58,30,42,48,23,53,23,60,23,48,65,24,35,41,42,37,23,60,47,37,35,12,54,24,35,48,23,25,42,41,58,24,42,30,58,11,35,37,54,30,23,30,23,30,42,12,23,53,47,24,6,72,42,25,42,11,70,11,54,11,35,25,23,37,65,11,42,37,47,25,42,30,2.0
37,64,67,33,47,53,84,14,18,82,37,56,50,45,86,10,20,75,70,25,28,56,38,56,50,45,85,9,70,24,20,75,38,54,25,73,54,42,77,22,8,9,28,67,58,37,40,53,79,16,11,84,28,56,40,45,58,25,40,37,28,67,57,37,40,54,79,16,11,84,50,25,50,37,40,45,50,37,79,10,39,55,70,16,50,16,28,55,40,25,58,16,39,45,58,10,70,10,58,25,39,55,20,56,20,67,20,55,70,16,28,45,39,37,20,67,40,37,28,10,50,16,28,55,20,16,39,45,58,16,39,25,58,9,28,37,50,25,20,25,20,25,39,10,20,56,40,16,11,75,39,16,39,9,79,9,50,9,28,16,20,37,70,9,39,37,40,16,39,25,1.0
35,61,63,33,45,52,81,16,21,83,37,58,48,47,83,12,24,71,67,27,32,58,37,58,48,47,83,12,67,27,24,71,39,56,30,68,53,44,74,23,10,8,32,63,57,38,41,54,77,18,10,85,32,58,41,47,57,28,41,38,32,63,57,37,41,54,76,18,10,85,48,28,48,37,41,47,48,38,77,12,37,54,68,18,48,19,32,54,41,28,58,19,37,47,58,12,68,12,57,27,37,54,24,58,24,63,24,54,67,18,32,47,37,38,24,63,41,37,32,12,48,18,32,54,24,19,37,47,57,18,37,28,57,12,32,38,48,27,24,28,24,27,37,12,24,58,41,18,10,71,37,19,37,12,76,12,48,12,32,19,24,38,67,12,37,37,41,19,37,27,2.0
37,60,68,29,49,45,82,16,17,89,39,56,52,42,85,10,21,74,70,24,33,56,39,56,52,43,84,10,70,24,21,74,44,54,31,70,59,40,74,22,8,4,33,62,62,33,46,48,76,18,5,90,33,56,47,43,62,25,47,33,33,62,62,32,47,48,76,18,5,90,52,25,52,32,47,43,52,33,77,11,39,48,71,18,52,19,33,48,47,25,63,19,39,43,63,11,71,11,62,24,39,48,21,56,21,62,21,48,70,18,33,43,39,33,21,62,47,32,33,11,52,18,33,48,21,19,39,43,62,18,39,25,62,10,33,33,52,24,21,25,21,24,39,11,21,56,47,18,5,74,39,19,39,10,76,10,52,10,33,19,21,33,70,10,39,32,47,19,39,24,1.0
32,67,62,31,50,45,82,17,14,85,36,59,53,42,84,11,15,80,65,28,24,59,36,59,53,42,84,11,65,29,15,80,44,55,20,79,57,39,71,26,9,8,24,71,59,35,47,48,75,20,9,86,24,59,47,42,60,30,47,35,24,71,60,34,47,48,74,20,9,86,53,30,53,34,47,42,53,35,75,11,36,48,66,20,53,21,24,48,47,30,61,21,36,42,61,11,66,11,60,29,36,48,15,59,15,71,15,48,65,20,24,42,36,35,15,71,47,34,24,11,53,20,24,48,15,21,36,42,60,20,36,30,60,11,24,35,53,29,15,30,15,29,36,11,15,59,47,20,9,80,36,21,36,11,74,11,53,11,24,21,15,35,65,11,36,34,47,21,36,29,1.0
41,59,62,35,50,45,82,19,21,85,43,52,52,43,85,9,24,71,64,31,33,52,43,52,52,43,84,10,64,30,24,71,46,50,30,68,56,41,71,28,8,6,33,62,58,37,48,47,72,21,8,87,33,52,48,43,58,31,48,37,33,62,58,37,48,47,73,21,8,87,52,31,52,37,48,43,52,37,74,10,43,47,64,22,52,22,33,47,48,31,58,22,43,43,58,11,65,11,58,30,43,47,24,52,24,62,24,47,64,21,33,43,43,37,24,62,48,37,33,11,52,21,33,47,24,22,43,43,58,21,43,31,58,10,33,37,52,30,24,31,24,30,43,11,24,52,48,21,8,71,43,22,43,10,73,10,52,10,33,22,24,37,64,10,43,37,48,22,43,30,2.0
30,68,66,31,50,49,82,19,15,83,32,63,52,43,85,10,17,78,69,26,25,62,32,62,52,42,85,10,68,26,17,78,39,60,23,76,57,40,72,24,7,10,25,70,60,34,43,52,74,21,11,84,25,63,43,43,61,26,43,35,25,70,60,34,42,52,74,21,11,84,53,27,52,34,42,42,52,35,74,10,32,52,69,21,53,21,25,53,43,27,61,21,33,43,61,10,69,10,60,26,33,53,17,63,17,70,17,53,68,21,25,43,33,35,17,70,42,34,25,10,52,21,25,52,17,21,32,42,60,21,33,27,60,10,25,35,52,26,17,27,17,26,33,10,17,62,42,21,11,78,33,21,32,10,74,10,52,10,25,21,17,35,68,10,32,34,43,21,32,26,2.0
37,60,63,39,45,50,84,16,19,83,39,56,47,48,87,7,21,74,65,30,33,56,39,56,47,48,86,8,65,29,21,74,41,54,31,72,52,46,74,27,6,8,33,62,54,41,43,52,75,18,10,85,33,56,43,48,54,30,43,41,33,62,54,41,43,52,76,18,10,85,47,30,47,41,43,48,47,41,77,8,39,52,65,19,47,19,33,52,43,30,54,19,39,48,54,9,66,9,54,29,39,52,21,56,21,62,21,52,65,18,33,48,39,41,21,62,43,41,33,9,47,18,33,52,21,19,39,48,54,18,39,30,54,8,33,41,47,29,21,30,21,29,39,9,21,56,43,18,10,74,39,19,39,8,76,8,47,8,33,19,21,41,65,8,39,41,43,19,39,29,2.0
38,61,67,29,51,42,81,19,19,87,41,54,54,41,84,12,22,73,69,26,31,54,41,54,54,39,83,11,69,26,22,73,47,51,28,70,62,38,72,24,9,2,31,64,64,31,50,45,74,21,5,90,31,54,50,41,64,26,50,31,31,64,64,31,48,45,74,21,5,90,54,26,54,31,50,41,54,31,74,12,41,45,69,21,54,21,31,45,50,26,64,21,41,41,64,12,69,12,64,26,41,45,22,54,22,64,22,45,69,21,31,41,41,31,22,64,50,31,31,12,54,21,31,45,22,21,41,41,64,21,41,26,64,11,31,31,54,26,22,26,22,26,41,12,22,54,50,21,5,73,41,21,41,11,74,11,54,11,31,21,22,31,69,11,41,31,50,21,41,26,1.0
34,67,63,30,51,44,83,16,13,83,38,57,54,41,85,10,14,81,67,28,25,57,38,57,54,40,85,10,66,27,14,81,45,53,22,80,58,37,74,25,8,10,25,70,61,33,48,47,77,19,11,84,25,57,48,41,62,28,48,34,25,70,60,33,48,47,76,18,11,84,55,29,54,33,48,40,54,34,77,10,38,47,67,19,55,19,25,47,48,29,62,19,38,41,62,10,67,10,61,28,38,47,14,57,14,70,14,47,66,18,25,41,38,34,14,70,48,33,25,10,54,18,25,47,14,19,38,40,61,18,38,29,61,10,25,34,54,28,14,29,14,28,38,10,14,57,48,18,11,81,38,19,38,10,76,10,54,10,25,19,14,34,66,10,38,33,48,19,38,28,1.0
30,66,61,35,51,49,88,19,17,83,32,63,53,42,90,5,19,76,63,32,27,63,32,63,53,42,89,5,63,31,19,76,40,61,25,74,56,40,71,29,4,10,27,68,58,37,43,52,73,21,11,84,27,63,43,42,58,32,43,37,27,68,58,37,43,52,73,21,11,84,53,32,53,37,43,42,53,37,74,5,32,52,63,22,53,22,27,52,43,32,58,22,32,42,58,6,64,6,58,31,32,52,19,63,19,68,19,52,63,21,27,42,32,37,19,68,43,37,27,6,53,21,27,52,19,22,32,42,58,21,32,32,58,5,27,37,53,31,19,32,19,31,32,6,19,63,43,21,11,76,32,22,32,5,73,5,53,5,27,22,19,37,63,5,32,37,43,22,32,31,2.0
39,58,63,37,49,44,83,19,21,87,42,53,50,42,85,10,24,71,65,30,34,52,42,52,51,43,85,10,65,30,24,71,46,49,31,68,53,41,72,28,8,4,34,61,56,38,47,46,74,21,6,89,34,53,47,43,56,30,49,39,34,61,55,39,48,46,74,21,6,89,52,30,51,39,48,43,52,38,74,10,42,46,65,21,52,21,34,47,49,30,56,21,42,44,56,10,65,10,55,30,42,47,24,53,24,61,24,47,65,21,34,44,43,40,24,61,48,39,34,10,51,21,34,46,24,21,42,43,55,21,43,30,55,10,34,40,51,30,24,30,24,30,43,10,24,52,48,21,6,71,43,21,42,10,74,10,51,10,34,21,24,40,65,10,42,39,49,21,42,30,1.0
32,64,62,38,45,51,90,22,19,79,35,60,48,46,92,3,21,74,64,31,28,60,35,60,48,47,91,3,64,30,21,74,38,57,25,72,51,44,68,28,2,12,28,67,54,41,40,54,70,24,14,81,28,60,41,47,54,31,41,41,28,67,54,41,41,54,70,24,14,81,48,31,48,41,41,47,48,41,71,3,35,54,64,25,48,25,28,54,41,31,54,25,35,47,54,4,65,4,54,30,35,54,21,60,21,67,21,54,64,24,28,47,35,41,21,67,41,41,28,4,48,24,28,54,21,25,35,47,54,24,35,31,54,3,28,41,48,30,21,31,21,30,35,4,21,60,41,24,14,74,35,25,35,3,70,3,48,3,28,25,21,41,64,3,35,41,41,25,35,30,2.0
34,62,63,31,49,51,86,19,13,85,36,59,52,43,87,8,15,80,66,27,31,59,36,59,52,42,87,8,66,28,15,80,38,57,29,78,57,39,72,25,7,8,31,64,59,34,41,54,74,20,9,86,31,59,41,43,60,28,41,35,31,64,60,34,41,54,74,21,9,86,52,29,52,34,41,42,52,35,74,8,36,54,67,20,53,21,31,54,41,29,61,20,36,43,61,8,67,8,60,28,36,54,15,59,15,64,15,54,66,21,31,43,36,35,15,64,41,34,31,8,52,21,31,54,15,21,36,42,60,21,36,29,60,8,31,35,52,28,15,29,15,28,36,8,15,59,41,21,9,80,36,21,36,8,74,8,52,8,31,21,15,35,66,8,36,34,41,21,36,28,2.0
33,64,61,35,46,50,88,18,19,80,35,58,49,46,90,5,21,74,63,32,29,59,36,59,49,46,89,5,63,31,21,74,39,56,27,72,56,43,70,29,4,11,28,66,58,37,42,52,73,21,13,82,29,59,42,46,58,32,42,37,29,66,58,37,42,53,73,21,13,82,49,32,49,37,42,46,49,37,74,5,36,53,63,22,49,22,29,53,42,32,58,22,36,46,58,6,64,6,58,31,36,53,21,59,21,66,21,53,63,21,29,46,36,37,21,66,42,37,29,6,49,21,29,53,21,22,36,46,58,21,36,32,58,5,29,37,49,31,21,32,21,31,36,6,21,59,42,21,13,74,36,22,36,5,73,5,49,5,29,22,21,37,63,5,36,37,42,22,36,31,2.0
33,66,57,39,44,50,94,21,19,79,35,59,47,47,95,1,21,74,60,35,27,59,36,59,46,48,94,0,60,34,21,74,39,56,25,72,50,45,67,31,0,12,27,68,53,42,41,52,71,24,14,81,27,59,42,48,53,35,42,42,27,68,53,41,42,53,70,24,14,81,47,35,47,42,42,48,47,42,71,1,36,53,61,25,47,25,27,53,42,35,53,25,36,48,53,1,61,1,53,34,36,53,21,59,21,68,21,53,60,24,27,48,36,42,21,68,42,42,27,1,47,24,27,53,21,25,36,48,53,24,36,35,53,0,27,42,47,34,21,35,21,34,36,1,21,59,42,24,14,74,36,25,36,0,70,0,47,0,27,25,21,42,60,0,36,42,42,25,36,34,2.0
38,58,60,36,50,43,85,20,21,87,41,54,51,41,86,9,24,71,62,33,34,53,41,53,52,42,86,9,62,33,24,71,47,50,31,68,54,40,71,31,8,4,34,61,57,37,48,45,73,22,6,89,34,54,48,42,57,33,50,38,34,61,56,38,49,45,73,22,6,89,53,33,52,38,49,42,53,37,73,9,41,45,62,22,53,22,34,46,50,33,57,22,41,43,57,9,62,9,56,33,41,46,24,54,24,61,24,46,62,22,34,43,42,39,24,61,49,38,34,9,52,22,34,45,24,22,41,42,56,22,42,33,56,9,34,39,52,33,24,33,24,33,42,9,24,53,49,22,6,71,42,22,41,9,73,9,52,9,34,22,24,39,62,9,41,38,50,22,41,33,1.0
35,62,63,34,46,51,85,20,23,81,37,58,48,47,88,7,25,70,65,30,31,58,37,58,48,47,87,7,65,29,25,70,40,56,29,68,57,45,70,27,5,10,31,64,59,36,42,53,72,22,12,83,31,58,42,47,59,30,42,36,31,64,59,36,42,53,72,22,12,83,48,30,48,36,42,47,48,36,73,7,37,53,65,23,48,23,31,53,42,30,59,23,37,47,59,8,66,8,59,29,37,53,25,58,25,64,25,53,65,22,31,47,37,36,25,64,42,36,31,8,48,22,31,53,25,23,37,47,59,22,37,30,59,7,31,36,48,29,25,30,25,29,37,8,25,58,42,22,12,70,37,23,37,7,72,7,48,7,31,23,25,36,65,7,37,36,42,23,37,29,1.0
37,61,61,36,46,51,83,15,20,88,38,56,49,46,85,9,23,72,65,29,31,56,39,56,48,45,85,10,65,29,23,72,40,54,28,69,52,43,75,25,8,5,31,64,55,40,42,52,77,17,6,89,31,56,42,46,55,30,42,40,31,64,55,38,41,53,77,17,6,89,49,30,49,39,42,46,49,40,78,9,39,53,65,17,49,18,31,53,42,30,55,18,39,46,56,10,66,9,55,29,39,53,23,56,23,64,23,53,65,17,31,46,39,40,23,64,42,39,31,10,49,17,31,53,23,18,39,46,55,17,39,30,55,10,31,40,49,29,23,30,23,29,39,10,23,56,42,17,6,72,39,18,39,10,77,10,49,10,31,18,23,40,65,10,39,39,42,18,39,29,2.0
35,61,61,35,46,48,84,16,20,88,37,58,49,45,87,8,22,72,65,29,31,58,37,58,49,46,86,8,65,29,23,72,41,56,28,69,52,43,72,25,6,5,31,63,55,39,43,51,75,19,6,89,31,58,44,46,56,30,44,39,31,64,56,39,44,51,75,19,6,89,49,30,49,39,44,46,49,39,76,8,37,51,65,20,49,20,31,51,44,30,56,20,37,46,56,9,66,9,56,29,37,51,23,58,23,64,23,51,65,19,31,46,37,39,23,64,44,39,31,9,49,19,31,51,23,20,37,46,56,19,37,30,56,8,31,39,49,29,23,30,23,29,37,9,23,58,44,19,6,72,37,20,37,8,75,8,49,8,31,20,23,39,65,8,37,39,44,20,37,29,1.0
34,67,64,31,50,44,84,17,14,85,38,57,53,41,86,9,15,80,68,27,25,57,38,57,53,41,86,9,67,27,15,80,45,53,22,79,57,38,73,24,7,8,25,70,60,34,47,47,76,20,9,86,25,57,48,42,61,27,48,35,25,70,60,34,48,47,75,19,9,86,54,28,53,34,48,41,53,35,76,9,38,47,68,20,54,20,25,47,48,28,61,20,38,42,61,9,68,9,60,27,38,47,15,57,15,70,15,47,67,19,25,42,38,35,15,70,48,34,25,9,53,19,25,47,15,20,38,41,60,19,38,28,60,9,25,35,53,27,15,28,15,27,38,9,15,57,48,19,9,80,38,20,38,9,75,9,53,9,25,20,15,35,67,9,38,34,48,20,38,27,1.0
37,61,59,37,48,47,87,16,19,81,39,56,50,45,89,6,22,73,61,34,32,56,39,56,50,45,88,6,61,34,22,73,44,54,30,70,54,43,72,32,5,10,32,63,56,39,46,49,75,20,12,83,32,56,46,45,56,34,46,39,32,63,56,39,46,49,75,19,12,83,50,34,50,39,46,45,50,39,76,7,39,49,61,20,50,20,32,49,46,34,56,20,39,45,56,7,61,7,56,34,39,49,22,56,22,63,22,49,61,19,32,45,39,39,22,63,46,39,32,7,50,19,32,49,22,20,39,45,56,19,39,34,56,6,32,39,50,34,22,34,22,34,39,7,22,56,46,19,12,73,39,20,39,6,75,6,50,6,32,20,22,39,61,6,39,39,46,20,39,34,2.0
34,63,64,34,45,51,86,13,19,86,36,59,48,47,87,8,21,74,67,27,29,59,36,59,48,46,87,8,67,27,21,74,40,57,26,72,54,43,75,24,7,7,29,66,57,37,42,53,79,16,8,87,29,59,42,47,58,27,42,38,29,66,57,37,42,53,78,16,8,87,49,28,48,37,42,46,48,38,79,8,36,53,68,17,49,17,29,53,42,28,58,17,36,47,58,8,68,8,57,27,36,53,21,59,21,66,21,53,67,16,29,47,36,38,21,66,42,37,29,8,48,16,29,53,21,17,36,46,57,16,36,28,57,8,29,38,48,27,21,28,21,27,36,8,21,59,42,16,8,74,36,17,36,8,78,8,48,8,29,17,21,38,67,8,36,37,42,17,36,27,2.0
34,62,64,34,47,51,81,19,22,83,36,59,50,45,84,11,24,71,66,29,31,59,36,59,50,45,83,11,66,28,24,71,40,57,29,69,57,42,71,26,9,8,31,64,59,36,42,53,73,21,10,85,31,59,42,45,59,29,42,36,31,64,59,36,42,53,73,21,10,85,50,29,50,36,42,45,50,36,74,11,36,53,66,22,50,22,31,53,42,29,59,22,36,45,59,12,67,12,59,28,36,53,24,59,24,64,24,53,66,21,31,45,36,36,24,64,42,36,31,12,50,21,31,53,24,22,36,45,59,21,36,29,59,11,31,36,50,28,24,29,24,28,36,12,24,59,42,21,10,71,36,22,36,11,73,11,50,11,31,22,24,36,66,11,36,36,42,22,36,28,1.0
31,66,67,32,45,52,84,17,14,84,34,61,47,46,87,8,17,78,69,26,27,61,33,61,48,46,87,8,69,25,17,78,36,58,25,75,56,43,73,23,5,9,27,68,60,34,39,56,76,19,10,85,27,61,39,47,60,26,40,36,27,68,59,35,39,54,75,19,10,85,49,26,48,35,39,46,49,35,76,8,34,55,70,20,49,20,27,56,40,26,60,20,34,47,60,8,70,8,59,25,34,56,17,61,17,68,17,56,69,19,27,47,34,36,17,68,39,35,27,8,48,19,27,55,17,20,34,46,59,19,34,26,59,8,27,36,48,25,17,26,17,25,34,8,17,61,39,19,10,78,34,20,34,8,75,8,48,8,27,20,17,36,69,8,34,35,40,20,34,25,1.0
38,58,59,38,47,47,84,20,23,86,40,55,49,44,86,9,26,69,61,34,35,54,40,54,49,45,86,9,61,34,26,69,43,52,33,66,52,43,71,32,7,5,35,60,55,40,44,49,73,22,7,88,35,55,45,45,55,34,46,41,35,60,54,40,45,49,73,22,7,88,50,34,49,40,45,45,50,40,73,9,40,49,61,22,50,22,35,50,46,34,55,22,41,46,55,9,61,9,54,34,40,50,26,55,26,60,26,50,61,22,35,46,41,41,26,60,45,40,35,9,49,22,35,49,26,22,40,45,54,22,41,34,54,9,35,41,49,34,26,34,26,34,41,9,26,54,45,22,7,69,41,22,40,9,73,9,49,9,35,22,26,41,61,9,40,40,46,22,40,34,1.0
37,58,59,39,47,46,83,19,21,84,39,56,49,44,85,10,24,71,61,34,35,55,39,55,49,45,85,10,61,34,24,71,44,53,33,68,51,43,70,32,8,7,35,60,54,41,45,48,73,22,9,86,35,56,46,45,54,34,47,42,35,60,53,41,46,48,73,22,9,86,50,34,49,41,46,45,50,41,73,10,39,48,61,22,50,22,35,49,47,34,54,22,40,46,54,10,61,10,53,34,39,49,24,56,24,60,24,49,61,22,35,46,40,42,24,60,46,41,35,10,49,22,35,48,24,22,39,45,53,22,40,34,53,10,35,42,49,34,24,34,24,34,40,10,24,55,46,22,9,71,40,22,39,10,73,10,49,10,35,22,24,42,61,10,39,41,47,22,39,34,1.0
35,61,64,34,45,51,85,20,23,84,37,58,47,48,87,9,25,70,66,29,32,58,37,58,47,48,86,8,66,28,25,70,40,56,30,68,55,46,70,26,7,7,32,63,58,37,42,53,73,22,9,86,32,58,42,48,58,29,42,37,32,63,58,37,42,53,72,22,9,86,47,29,47,37,42,48,47,37,73,9,37,53,67,23,47,23,32,53,42,29,58,23,37,48,58,9,67,9,58,28,37,53,25,58,25,63,25,53,66,22,32,48,37,37,25,63,42,37,32,9,47,22,32,53,25,23,37,48,58,22,37,29,58,8,32,37,47,28,25,29,25,28,37,9,25,58,42,22,9,70,37,23,37,8,72,8,47,8,32,23,25,37,66,8,37,37,42,23,37,28,2.0
35,65,62,32,50,47,83,17,12,84,37,58,53,41,86,10,13,82,65,30,27,58,37,58,53,42,85,9,65,27,13,82,42,56,24,81,57,39,73,26,7,9,27,68,60,35,44,50,76,19,10,85,27,58,45,42,60,30,45,35,27,68,58,35,45,50,75,19,10,85,53,30,53,35,45,42,53,35,76,10,37,50,66,20,53,20,27,50,45,30,60,20,37,42,60,10,66,10,60,29,37,50,13,58,13,68,13,50,65,19,27,42,37,35,13,68,45,35,27,10,53,19,27,50,13,20,37,42,60,19,37,30,60,9,27,35,53,29,13,30,13,29,37,10,13,58,45,19,10,82,37,20,37,9,75,9,53,9,27,20,13,35,65,9,37,35,45,20,37,29,1.0
30,74,66,29,49,51,83,18,17,80,32,63,53,43,85,10,18,77,69,26,20,62,32,62,51,42,85,10,68,26,18,77,37,60,19,76,61,39,73,24,8,13,20,75,63,32,41,54,75,20,14,81,20,63,41,43,64,27,41,32,20,75,63,30,40,54,75,20,14,81,53,27,52,31,40,42,53,32,75,10,32,54,69,20,53,20,20,55,41,27,64,20,33,43,64,10,69,10,63,26,33,55,18,63,18,75,18,55,68,20,20,43,33,32,18,75,40,31,20,10,52,20,20,54,18,20,32,42,63,20,33,27,63,10,20,32,52,26,18,27,18,26,33,10,18,62,40,20,14,77,33,20,32,10,75,10,52,10,20,20,18,32,68,10,32,31,41,20,32,26,1.0
32,64,65,33,48,50,86,17,18,86,34,61,51,44,87,8,21,74,67,26,29,61,34,61,51,44,87,8,68,26,21,74,39,59,27,71,55,41,73,23,7,7,29,66,58,37,42,53,76,18,8,87,29,61,42,44,58,27,42,37,29,66,58,36,42,53,75,19,8,87,51,27,51,36,42,44,51,37,76,8,34,53,69,19,51,20,29,53,42,27,59,20,34,44,59,8,69,8,58,26,34,53,21,61,21,66,21,53,68,19,29,44,34,37,21,66,42,36,29,8,51,19,29,53,21,20,34,44,58,19,34,27,58,8,29,37,51,26,21,27,21,26,34,8,21,61,42,19,8,74,34,20,34,8,75,8,51,8,29,20,21,37,68,8,34,36,42,20,34,26,1.0
37,61,59,38,47,48,86,20,23,82,39,56,49,46,89,6,25,70,61,34,32,56,39,56,49,46,88,6,61,33,25,70,43,54,30,68,53,44,70,31,4,9,32,63,55,40,45,50,72,22,11,84,32,56,45,46,55,34,45,40,32,63,55,40,45,50,72,22,11,84,49,34,49,40,45,46,49,40,73,6,39,50,61,23,49,23,32,50,45,34,55,23,39,46,55,7,62,7,55,33,39,50,25,56,25,63,25,50,61,22,32,46,39,40,25,63,45,40,32,7,49,22,32,50,25,23,39,46,55,22,39,34,55,6,32,40,49,33,25,34,25,33,39,7,25,56,45,22,11,70,39,23,39,6,72,6,49,6,32,23,25,40,61,6,39,40,45,23,39,33,2.0
29,68,67,30,51,45,83,16,11,84,32,63,54,40,85,9,12,83,70,25,24,63,32,63,54,41,85,10,70,24,12,83,44,60,21,82,59,38,74,21,8,9,24,71,62,33,46,48,76,18,10,85,24,63,47,41,62,25,47,33,24,71,62,33,47,48,76,18,10,85,54,25,54,33,47,41,54,33,77,9,32,48,70,19,54,19,24,48,47,25,62,19,32,41,62,10,71,10,62,24,32,48,12,63,12,71,12,48,70,18,24,41,32,33,12,71,47,33,24,10,54,18,24,48,12,19,32,41,62,18,32,25,62,10,24,33,54,24,12,25,12,24,32,10,12,63,47,18,10,83,32,19,32,10,76,10,54,10,24,19,12,33,70,10,32,33,47,19,32,24,2.0
