@relation 'Sax dominant'

@attribute o1atMbba numeric
@attribute o1atLbba numeric
@attribute o1atMaaa numeric
@attribute o1atMabb numeric
@attribute o1atLabb numeric
@attribute o1atMccc numeric
@attribute o1atLccc numeric
@attribute o1atMcbb numeric
@attribute o1atLcbb numeric
@attribute o1atMbbc numeric
@attribute o1atLbbc numeric
@attribute o1atMcdd numeric
@attribute o1atLcdd numeric
@attribute o1atMddc numeric
@attribute o1atLddc numeric
@attribute o1atMccb numeric
@attribute o1atLccb numeric
@attribute o1atMbbb numeric
@attribute o1atLbbb numeric
@attribute o1atMbaa numeric
@attribute o1atLbaa numeric
@attribute o1atMaab numeric
@attribute o1atLaab numeric
@attribute o1atMbcc numeric
@attribute o1atLbcc numeric
@attribute o1atMdde numeric
@attribute o1atLdde numeric
@attribute o1atLeee numeric
@attribute o1atMedd numeric
@attribute o1atLedd numeric
@attribute o1atMccd numeric
@attribute o1atLccd numeric
@attribute o1atMdee numeric
@attribute o1atLdee numeric
@attribute o1atMeed numeric
@attribute o1atLeed numeric
@attribute o1atMdcc numeric
@attribute o1atLdcc numeric
@attribute o1atMcee numeric
@attribute o1atLcee numeric
@attribute o1atMbce numeric
@attribute o1atLbce numeric
@attribute o1atMddd numeric
@attribute o1atLddd numeric
@attribute o1atMcbc numeric
@attribute o1atLcbc numeric
@attribute o1atMbcd numeric
@attribute o1atLbcd numeric
@attribute o1atMbde numeric
@attribute o1atLbde numeric
@attribute o1atMbbd numeric
@attribute o1atLbbd numeric
@attribute o1atMabc numeric
@attribute o1atLabc numeric
@attribute o1atMcde numeric
@attribute o1atLcde numeric
@attribute o1atMcdc numeric
@attribute o1atLcdc numeric
@attribute o1atMbab numeric
@attribute o1atLbab numeric
@attribute o1atMaac numeric
@attribute o1atLaac numeric
@attribute o1atMacd numeric
@attribute o1atLacd numeric
@attribute o1atMdcd numeric
@attribute o1atLdcd numeric
@attribute o1atMbcb numeric
@attribute o1atLbcb numeric
@attribute o1atMabd numeric
@attribute o1atLabd numeric
@attribute o1atMbdd numeric
@attribute o1atLbdd numeric
@attribute o1atMede numeric
@attribute o1atLede numeric
@attribute o1atMdcb numeric
@attribute o1atLdcb numeric
@attribute o1atMded numeric
@attribute o1atLded numeric
@attribute o1atMaba numeric
@attribute o1atLaba numeric
@attribute o1atMedc numeric
@attribute o1atLedc numeric
@attribute o1atMcce numeric
@attribute o1atLcce numeric
@attribute destClass {2,3,7,6,4,5,1}

@data
15,78,13,15,78,63,47,37,53,37,54,65,27,65,28,40,50,35,77,14,79,14,79,39,50,71,22,20,71,22,64,27,72,21,72,21,64,29,65,21,40,22,70,27,40,48,40,28,41,22,38,29,15,54,65,22,63,28,15,77,14,54,15,28,65,27,35,53,15,29,41,28,72,20,40,29,70,22,13,79,65,22,64,22,5
12,81,10,11,81,55,44,47,46,47,45,58,33,58,33,48,45,46,80,11,82,11,82,47,45,73,19,18,73,20,57,35,74,19,74,19,56,35,59,19,48,20,72,31,48,44,48,36,48,20,47,36,12,46,59,20,55,35,12,80,11,46,12,36,59,32,46,46,12,36,48,33,74,18,48,35,72,20,10,82,58,20,57,20,4
19,73,14,18,72,68,46,42,50,42,50,69,23,70,23,44,48,40,70,16,76,16,75,44,48,72,20,19,72,21,69,24,73,20,73,20,69,24,70,20,44,21,71,22,44,46,44,24,44,21,42,24,18,50,70,21,68,24,19,71,16,50,18,24,70,22,40,50,18,24,44,23,73,19,44,24,71,21,14,75,70,21,69,21,3
9,84,7,8,84,65,31,56,35,56,35,66,25,67,26,58,33,54,83,8,85,8,85,57,33,75,17,16,75,18,66,25,76,17,76,17,66,27,67,17,58,18,74,25,58,31,58,26,59,18,57,26,8,36,67,17,65,26,9,83,8,36,9,26,67,25,54,35,9,27,58,26,76,16,58,27,74,18,7,85,67,18,66,17,6
8,85,6,8,85,67,46,45,48,44,48,69,21,71,22,46,47,44,84,7,86,7,86,44,47,78,14,13,78,15,68,21,79,14,79,14,69,24,70,14,45,15,77,20,45,46,45,22,46,15,45,23,8,48,70,14,67,23,8,84,7,48,8,22,70,20,44,48,8,23,45,22,79,13,46,24,77,15,6,86,71,15,68,14,5
20,71,18,22,72,66,33,56,35,57,37,68,27,66,26,57,34,55,70,19,72,20,74,59,35,69,26,24,68,24,67,28,70,25,68,24,66,26,68,25,59,26,68,26,58,33,59,28,59,26,57,28,22,37,68,26,66,27,21,70,20,37,22,28,67,26,55,36,22,28,59,27,69,24,57,26,68,25,18,73,66,24,67,26,3
15,78,13,14,78,59,43,48,45,48,44,62,29,63,29,49,44,47,77,14,79,14,79,48,44,69,23,22,69,24,61,30,70,23,70,23,61,31,63,23,49,24,68,27,49,43,49,31,49,24,48,31,15,45,63,24,59,31,15,77,14,45,15,31,63,27,47,45,15,31,49,29,70,22,49,31,68,24,13,79,63,24,61,24,1
7,86,5,7,86,67,33,55,37,55,37,68,24,69,24,57,35,53,85,6,87,6,87,56,35,72,20,19,72,21,68,24,73,20,73,20,68,25,69,20,57,21,71,23,57,33,57,25,57,21,55,25,7,37,69,21,67,25,7,85,6,37,7,25,69,23,53,37,7,25,57,24,73,19,57,25,71,21,5,87,69,21,68,21,5
18,74,14,18,74,65,37,51,41,51,41,67,26,67,26,53,39,49,72,16,76,16,76,53,39,70,23,21,70,23,66,27,71,22,71,22,66,27,67,22,53,23,69,25,53,37,53,27,53,23,51,27,18,41,67,23,65,27,18,72,16,41,18,27,67,25,49,41,18,27,53,26,71,21,53,27,69,23,14,76,67,23,66,23,2
3,90,1,3,90,69,32,59,34,59,34,70,22,71,22,60,33,58,89,2,91,2,91,59,33,77,15,14,77,16,70,22,78,15,78,15,70,23,71,15,60,16,76,21,60,32,60,23,60,16,59,23,3,34,71,16,69,23,3,89,2,34,3,23,71,21,58,34,3,23,60,22,78,14,60,23,76,16,1,91,71,16,70,16,3
18,74,14,17,74,49,49,39,53,38,52,53,38,53,38,41,51,37,72,16,76,16,76,39,51,72,20,19,72,21,51,39,73,20,73,20,51,40,54,20,40,21,71,36,40,49,40,40,41,21,39,40,17,53,54,20,49,40,18,72,16,53,18,40,53,36,37,53,18,41,40,39,73,19,41,40,71,21,14,76,53,21,51,20,4
12,81,10,11,81,61,45,43,49,43,48,63,29,63,29,45,47,41,80,11,82,11,82,44,47,72,20,19,72,21,63,30,73,20,73,20,62,30,64,20,45,21,71,28,45,45,45,31,45,21,43,31,12,49,64,21,61,30,12,80,11,49,12,31,64,28,41,49,12,31,45,29,73,19,45,30,71,21,10,82,63,21,63,21,4
18,74,14,17,74,61,45,46,47,46,46,63,27,65,27,47,46,45,72,16,76,16,76,46,46,80,11,11,80,13,62,28,81,11,81,12,63,29,65,12,47,13,79,25,47,45,46,29,47,12,46,29,18,47,64,12,61,29,18,72,16,47,18,29,64,25,45,47,18,29,46,27,81,11,47,29,79,12,14,76,65,13,63,12,6
7,86,5,6,86,68,33,54,37,54,37,69,22,70,23,56,35,52,85,6,87,6,87,55,35,77,15,14,77,16,69,22,78,15,78,15,69,24,70,15,56,16,76,22,56,33,56,23,57,16,55,23,6,38,70,15,68,23,7,85,6,38,7,23,70,22,52,37,7,24,56,23,78,14,56,24,76,16,5,87,70,16,69,15,7
14,79,12,13,79,59,53,35,57,35,56,62,29,63,29,37,55,33,78,13,80,13,80,36,55,72,20,19,72,21,61,30,73,20,73,20,61,31,63,20,37,21,71,27,37,53,37,31,37,21,35,31,14,57,63,21,59,31,14,78,13,57,14,31,63,27,33,57,14,31,37,29,73,19,37,31,71,21,12,80,63,21,61,21,3
12,81,10,12,81,59,40,52,40,52,42,62,30,61,30,52,40,52,80,11,82,11,82,52,41,76,15,12,76,16,61,31,78,14,78,14,60,31,63,14,53,16,74,29,52,40,53,32,54,16,53,33,12,42,63,15,59,31,12,80,11,42,12,32,62,29,52,41,12,33,53,31,78,12,52,31,74,16,10,82,61,16,61,15,2
15,78,13,14,78,63,53,31,59,31,59,64,28,65,28,34,56,28,77,14,79,14,79,34,57,68,24,23,68,25,64,28,69,24,69,24,64,29,65,24,35,25,67,27,34,53,35,29,35,25,31,29,15,60,65,25,63,29,15,77,14,60,15,29,65,27,28,60,15,29,35,28,69,23,34,29,67,25,13,79,65,25,64,25,5
14,78,10,13,78,71,42,44,46,45,47,72,20,73,20,46,44,42,76,12,80,12,80,47,45,76,16,15,76,17,72,20,77,16,77,16,72,21,73,16,48,17,75,19,47,42,48,21,48,17,45,21,14,48,73,17,71,21,14,76,12,48,14,21,73,19,42,47,14,21,48,20,77,15,46,21,75,17,10,80,73,17,72,17,3
13,80,11,12,80,66,57,31,61,31,60,68,24,68,23,33,59,29,79,12,81,12,81,32,59,72,19,19,72,21,67,25,73,19,73,20,67,24,70,20,33,21,71,22,33,57,32,26,33,20,31,26,13,61,69,20,66,25,13,79,12,61,13,26,68,22,29,61,13,26,32,24,73,19,33,24,71,20,11,81,68,21,68,20,3
24,68,20,23,68,53,43,48,45,47,44,57,34,57,34,49,44,47,66,22,70,22,70,47,44,78,14,13,78,15,55,35,79,14,79,14,55,36,58,14,48,15,77,33,48,43,48,36,49,15,48,36,23,45,58,14,54,36,24,66,22,45,24,36,57,33,47,45,24,37,48,35,79,13,49,36,77,15,20,70,57,15,55,14,4
20,72,16,20,72,59,41,50,43,49,43,62,28,63,29,51,42,49,70,18,74,18,74,49,42,72,20,19,72,21,61,29,73,20,73,20,61,31,63,20,50,21,71,27,50,41,50,30,51,21,50,31,20,43,63,20,59,30,20,70,18,43,20,30,63,27,49,43,20,31,50,29,73,19,51,31,71,21,16,74,63,21,61,20,5
6,87,4,5,87,70,32,58,34,59,34,71,21,72,21,59,33,57,86,5,88,5,88,59,33,77,15,14,77,16,71,21,78,15,78,15,71,22,72,15,60,16,76,20,60,32,60,22,60,16,59,22,6,35,72,16,70,22,6,86,5,35,6,22,72,20,57,34,6,22,60,21,78,14,59,22,76,16,4,88,72,16,71,16,5
5,88,3,5,88,67,28,62,30,62,31,68,23,69,24,63,29,61,87,4,89,4,89,62,29,77,15,14,77,16,68,23,78,15,78,15,68,25,69,15,63,16,76,23,63,28,63,24,64,16,63,25,5,31,69,15,67,24,5,87,4,31,5,24,69,23,61,30,5,25,63,24,78,14,63,25,76,16,3,89,69,16,68,15,7
14,79,12,13,79,59,45,46,47,46,46,62,29,63,29,47,46,45,78,13,80,13,80,46,46,71,21,20,71,22,61,30,72,21,72,21,61,31,63,21,47,22,70,27,47,45,47,31,47,22,46,31,14,47,63,22,59,31,14,78,13,47,14,31,63,27,45,47,14,31,47,29,72,20,47,31,70,22,12,80,63,22,61,22,1
14,79,12,13,79,54,42,49,44,48,43,58,32,58,33,50,43,48,78,13,80,13,80,48,43,72,20,19,72,21,57,34,73,20,73,20,56,35,59,20,49,21,71,31,49,42,49,35,50,21,49,35,13,44,59,20,54,34,14,78,13,44,14,35,59,31,48,44,14,36,49,33,73,19,50,35,71,21,12,80,58,21,57,20,5
7,85,3,7,85,66,33,54,37,55,38,67,25,68,25,56,35,52,83,5,87,5,87,56,35,77,15,14,77,16,67,25,78,15,78,15,67,26,68,15,57,16,76,24,57,33,57,26,57,16,55,26,7,38,68,16,66,26,7,83,5,38,7,26,68,24,52,37,7,26,57,25,78,14,56,26,76,16,3,87,68,16,67,16,7
10,82,6,10,82,77,41,47,45,47,45,79,16,77,15,49,43,45,80,8,84,8,84,48,43,80,15,13,79,13,78,16,81,14,79,13,77,15,79,14,49,15,79,15,49,41,49,17,49,15,47,17,10,45,79,15,77,16,10,80,8,45,10,17,78,15,45,45,10,17,49,16,80,13,49,15,79,14,6,84,77,13,78,15,2
7,86,5,6,86,67,38,50,42,50,41,67,24,69,24,52,40,48,85,6,87,6,87,51,40,77,14,14,77,16,67,24,78,14,78,15,68,25,69,15,52,16,76,23,52,38,51,25,52,15,50,25,7,42,68,15,67,25,7,85,6,42,7,25,68,23,48,42,7,25,51,24,78,14,52,25,76,15,5,87,69,16,68,15,7
14,78,10,13,78,71,38,50,42,50,41,72,20,73,20,52,40,48,76,12,80,12,80,51,40,75,17,16,75,18,72,20,76,17,76,17,72,21,73,17,52,18,74,19,52,38,52,21,52,18,50,21,14,42,73,18,71,21,14,76,12,42,14,21,73,19,48,42,14,21,52,20,76,16,52,21,74,18,10,80,73,18,72,18,3
21,71,17,20,71,65,48,40,52,40,51,67,25,67,25,42,50,38,69,19,73,19,73,41,50,75,17,16,75,18,67,26,76,17,76,17,66,26,68,17,42,18,74,24,42,48,42,27,42,18,40,27,21,52,68,18,65,26,21,69,19,52,21,27,68,24,38,52,21,27,42,25,76,16,42,26,74,18,17,73,67,18,67,18,6
11,80,9,13,81,66,40,48,44,48,44,67,25,68,25,50,42,46,79,10,81,11,83,49,42,71,21,20,71,22,67,25,72,21,72,21,67,26,68,21,50,22,70,24,50,40,50,26,50,22,48,26,13,44,68,22,66,26,12,79,11,44,13,26,68,24,46,44,13,26,50,25,72,20,50,26,70,22,9,82,68,22,67,22,6
8,85,6,7,85,66,36,53,40,53,38,66,25,68,25,55,38,51,84,7,86,7,86,53,37,73,18,18,73,20,66,25,74,18,74,19,67,26,68,19,54,20,72,24,55,36,53,26,54,19,53,26,8,39,67,19,66,26,8,84,7,39,8,26,67,24,51,39,8,26,53,25,74,18,55,26,72,19,6,86,68,20,67,19,6
19,73,15,18,73,56,42,47,44,48,45,60,34,58,33,48,43,46,71,17,75,17,75,49,44,75,19,15,74,17,58,35,77,17,75,16,57,34,60,17,50,19,73,32,49,42,50,36,50,19,48,36,19,46,60,19,56,35,19,71,17,46,19,36,59,32,46,45,19,36,50,34,76,15,48,34,73,18,15,75,58,17,58,19,1
21,71,17,20,71,55,43,48,45,48,44,58,33,59,33,49,44,47,69,19,73,19,73,48,44,79,13,12,79,14,57,34,80,13,80,13,57,35,59,13,49,14,78,31,49,43,49,35,49,14,48,35,21,45,59,14,55,35,21,69,19,45,21,35,59,31,47,45,21,35,49,33,80,12,49,35,78,14,17,73,59,14,57,14,6
18,74,14,17,74,67,41,43,47,43,47,67,24,69,24,46,44,40,72,16,76,16,76,46,45,74,17,17,74,19,67,24,75,17,75,18,68,25,69,18,47,19,73,23,46,41,46,25,47,18,43,25,18,48,68,18,67,25,18,72,16,48,18,25,68,23,40,48,18,25,46,24,75,17,46,25,73,18,14,76,69,19,68,18,6
10,83,8,9,83,69,39,50,41,51,42,70,22,71,22,51,40,49,82,9,84,9,84,52,41,74,18,17,74,19,70,22,75,18,75,18,70,23,71,18,53,19,73,21,52,39,53,23,53,19,51,23,10,43,71,19,69,23,10,82,9,43,10,23,71,21,49,42,10,23,53,22,75,17,51,23,73,19,8,84,71,19,70,19,4
14,79,12,14,79,59,43,48,45,47,45,62,28,63,29,49,44,47,78,13,80,13,80,47,44,79,13,12,79,14,61,29,80,13,80,13,61,31,63,13,48,14,78,27,48,43,48,30,49,14,48,31,14,45,63,13,59,30,14,78,13,45,14,30,63,27,47,45,14,31,48,29,80,12,49,31,78,14,12,80,63,14,61,13,1
13,80,11,12,80,53,41,50,43,50,42,57,34,57,33,51,42,49,79,12,81,12,81,50,42,73,18,18,73,20,55,36,74,18,74,19,55,35,59,19,51,20,72,31,51,41,50,37,51,19,50,37,13,43,58,19,53,36,13,79,12,43,13,37,57,31,49,43,13,37,50,34,74,18,51,35,72,19,11,81,57,20,56,19,4
13,80,11,12,80,54,43,48,45,48,44,58,33,58,33,49,44,47,79,12,81,12,81,48,44,71,21,20,71,22,57,35,72,21,72,21,56,35,59,21,49,22,70,31,49,43,49,36,49,22,48,36,13,45,59,22,54,35,13,79,12,45,13,36,59,31,47,45,13,36,49,33,72,20,49,35,70,22,11,81,58,22,57,22,2
9,84,7,8,84,68,33,55,37,55,36,69,23,70,23,57,35,53,83,8,85,8,85,56,35,73,19,18,73,20,69,23,74,19,74,19,69,24,70,19,57,20,72,22,57,33,57,24,57,20,55,24,9,37,70,20,68,24,9,83,8,37,9,24,70,22,53,37,9,24,57,23,74,18,57,24,72,20,7,85,70,20,69,20,6
17,76,15,16,76,67,58,30,62,30,61,68,24,69,24,32,60,28,75,16,77,16,77,31,60,71,21,20,71,22,68,24,72,21,72,21,68,25,69,21,32,22,70,23,32,58,32,25,32,22,30,25,17,62,69,22,67,25,17,75,16,62,17,25,69,23,28,62,17,25,32,24,72,20,32,25,70,22,15,77,69,22,68,22,5
14,78,10,13,78,67,38,50,42,50,41,69,21,71,22,52,40,48,76,12,80,12,80,51,40,75,17,16,75,18,69,22,76,17,76,17,69,24,70,17,52,18,74,20,52,38,52,23,52,18,50,23,14,42,70,18,67,23,14,76,12,42,14,23,71,20,48,42,14,23,52,21,76,16,52,24,74,18,10,80,71,18,69,18,4
11,82,9,11,82,65,44,47,46,46,46,69,22,69,22,48,45,46,81,10,83,10,83,46,45,79,13,12,79,14,67,23,80,13,80,13,67,24,70,13,47,14,78,21,47,44,47,24,48,14,47,25,11,46,70,13,66,24,11,81,10,46,11,24,69,21,46,46,11,25,47,23,80,12,48,24,78,14,9,83,69,14,67,13,4
8,84,5,8,84,69,33,53,37,53,39,70,21,71,22,55,35,51,82,6,86,6,86,55,36,76,16,15,76,17,70,21,77,16,77,16,70,23,71,16,56,17,75,21,55,33,56,22,57,17,54,23,8,39,71,16,69,22,8,83,6,39,8,22,71,21,51,38,8,23,56,22,77,15,55,23,75,17,5,86,71,17,70,16,4
7,85,4,6,85,65,34,56,36,57,36,66,26,67,26,57,35,55,83,5,87,5,87,57,35,75,17,16,75,18,66,26,76,17,76,17,66,27,67,17,58,18,74,25,58,34,58,27,58,18,57,27,7,37,67,18,65,27,7,84,5,37,7,27,67,25,55,36,7,27,58,26,76,16,57,27,74,18,4,87,67,18,66,18,6
14,78,10,13,78,67,37,50,41,50,41,67,24,69,24,52,39,48,76,12,80,12,80,52,40,76,15,15,76,17,67,24,77,15,77,16,68,25,69,16,53,17,75,23,52,37,52,25,53,16,50,25,14,42,68,16,67,25,14,76,12,42,14,25,68,23,48,42,14,25,52,24,77,15,52,25,75,16,10,80,69,17,68,16,7
14,79,12,13,79,63,40,51,42,50,41,64,27,65,28,52,41,50,78,13,80,13,80,50,41,73,21,20,72,20,64,27,74,21,72,20,64,29,65,21,51,22,72,27,51,40,51,28,52,22,51,28,13,42,65,21,63,28,14,78,13,42,14,28,65,27,50,42,14,29,51,28,73,20,52,29,72,21,12,80,65,20,64,21,5
13,80,11,12,80,54,55,33,59,33,58,59,33,58,32,35,57,31,79,12,81,12,81,34,57,73,19,18,73,20,57,35,74,19,74,19,56,34,60,19,35,20,72,30,35,55,35,36,35,20,33,36,13,59,60,20,54,35,13,79,12,59,13,36,59,30,31,59,13,36,35,33,74,18,35,34,72,20,11,81,58,20,57,20,2
14,79,12,13,79,57,53,33,58,32,57,62,29,61,29,36,55,30,78,13,80,13,80,34,55,74,18,17,74,19,60,31,75,18,75,18,59,31,63,18,35,19,73,28,35,53,35,32,36,19,33,32,13,58,63,18,58,31,14,78,13,58,14,32,62,28,31,58,14,33,35,30,75,17,36,31,73,19,12,80,61,19,60,18,3
16,76,12,15,76,65,34,55,38,54,36,67,26,67,26,57,36,53,74,14,78,14,78,55,36,72,21,19,72,21,66,26,73,20,73,20,66,27,67,20,56,21,71,25,56,34,56,27,56,21,54,27,16,37,67,21,65,27,16,74,14,37,16,27,67,25,53,38,16,27,56,26,73,19,57,27,71,21,12,78,67,21,66,21,7
11,82,9,10,82,61,45,46,47,46,46,64,29,63,28,47,46,45,81,10,83,10,83,46,46,78,14,13,78,15,63,30,79,14,79,14,62,29,65,14,47,15,77,27,47,45,47,31,47,15,46,31,11,47,65,15,61,30,11,81,10,47,11,31,64,27,45,47,11,31,47,29,79,13,47,29,77,15,9,83,63,15,63,15,4
19,74,17,19,74,66,50,37,54,37,55,68,24,68,24,39,52,35,73,18,75,18,75,39,53,71,21,20,71,22,68,25,72,21,72,21,67,25,69,21,40,22,70,23,39,50,40,26,40,22,37,26,19,55,69,22,66,25,19,73,18,55,19,26,69,23,35,55,19,26,40,24,72,20,39,25,70,22,17,75,68,22,68,22,3
12,81,10,11,81,62,44,47,46,47,45,65,28,64,27,48,45,46,80,11,82,11,82,47,45,78,14,13,78,15,64,29,79,14,79,14,63,28,66,14,48,15,77,26,48,44,48,30,48,15,47,30,12,46,66,15,62,29,12,80,11,46,12,30,65,26,46,46,12,30,48,28,79,13,48,28,77,15,10,82,64,15,64,15,2
18,75,16,18,75,64,50,39,52,40,54,68,26,66,25,40,51,38,74,17,76,17,76,42,52,79,16,14,78,14,66,28,80,15,78,14,65,26,68,15,42,16,78,24,41,50,42,28,42,16,40,28,18,54,68,16,64,27,18,74,17,54,18,28,67,24,38,53,18,28,42,26,79,14,40,26,78,15,16,76,66,14,66,16,2
7,86,5,7,86,72,25,66,27,66,27,74,19,74,19,67,26,65,85,6,87,6,87,66,26,81,14,12,80,12,73,19,82,13,80,12,73,20,74,13,67,14,80,18,67,25,67,20,67,14,66,20,7,27,74,14,72,20,7,85,6,27,7,20,74,18,65,27,7,20,67,19,81,12,67,20,80,13,5,87,74,12,73,14,2
20,72,16,19,72,57,45,44,47,45,48,60,33,59,32,45,46,43,70,18,74,18,74,46,47,80,12,11,80,13,59,34,81,12,81,12,58,33,61,12,47,13,79,31,46,45,47,35,47,13,45,35,20,49,61,13,57,34,20,70,18,49,20,35,60,31,43,48,20,35,47,33,81,11,45,33,79,13,16,74,59,13,59,13,6
25,66,21,26,66,67,47,41,51,41,51,68,24,69,24,43,49,39,64,23,68,24,69,43,49,72,20,19,72,21,68,25,73,20,73,20,68,25,69,20,43,21,71,23,43,47,43,25,43,21,41,25,26,51,69,21,67,25,26,64,24,51,26,25,69,23,39,51,26,25,43,24,73,19,43,25,71,21,21,68,69,21,68,21,3
8,85,6,8,85,72,30,56,36,56,35,73,19,74,19,59,33,53,84,7,86,7,86,57,32,76,16,15,76,17,73,19,77,16,77,16,73,20,74,16,58,17,75,18,59,30,58,20,58,17,56,20,8,35,74,17,72,20,8,84,7,35,8,20,74,18,53,35,8,20,58,19,77,15,59,20,75,17,6,86,74,17,73,17,2
10,83,8,9,83,62,42,49,44,49,43,65,28,64,27,50,43,48,82,9,84,9,84,49,43,79,13,12,79,14,64,29,80,13,80,13,63,28,66,13,50,14,78,26,50,42,50,30,50,14,49,30,10,44,66,14,62,29,10,82,9,44,10,30,65,26,48,44,10,30,50,28,80,12,50,28,78,14,8,84,64,14,64,14,3
11,82,9,10,82,61,43,48,45,48,44,64,29,63,28,49,44,47,81,10,83,10,83,48,44,73,18,15,73,19,63,30,75,17,75,17,62,29,65,17,49,19,71,27,49,43,49,31,49,19,48,31,11,45,65,19,61,30,11,81,10,45,11,31,64,27,47,45,11,31,49,29,75,15,49,29,71,19,9,83,63,19,63,19,2
19,74,17,19,74,70,53,36,55,37,57,71,21,72,21,37,54,35,73,18,75,18,75,38,55,78,14,13,78,15,71,21,79,14,79,14,71,22,72,14,39,15,77,20,38,53,39,22,39,15,37,22,19,57,72,15,70,22,19,73,18,57,19,22,72,20,35,56,19,22,39,21,79,13,37,22,77,15,17,75,72,15,71,15,3
25,68,23,25,68,58,54,37,56,37,56,61,30,62,30,38,55,36,67,24,69,24,69,38,55,70,21,18,70,22,60,32,72,20,72,20,60,32,62,20,38,22,68,28,38,54,38,32,38,22,37,32,25,56,62,22,58,32,25,67,24,56,25,32,62,28,36,56,25,32,38,30,72,18,38,32,68,22,23,69,62,22,60,22,1
11,82,9,11,82,73,36,53,38,54,40,75,20,73,19,54,37,52,81,10,83,10,83,56,38,76,19,17,75,17,74,21,77,18,75,17,73,19,75,18,56,19,75,19,55,36,56,21,56,19,54,21,11,40,75,19,73,20,11,81,10,40,11,21,74,19,52,39,11,21,56,20,76,17,54,19,75,18,9,83,73,17,74,19,2
6,87,4,5,87,66,28,63,30,63,29,67,25,68,25,64,29,62,86,5,88,5,88,64,29,71,21,20,71,22,67,26,72,21,72,21,67,26,68,21,64,22,70,24,64,28,64,26,64,22,63,26,6,30,68,22,66,26,6,86,5,30,6,26,68,24,62,30,6,26,64,25,72,20,64,26,70,22,4,88,68,22,67,22,4
17,75,13,17,75,69,42,46,46,46,46,71,21,71,21,48,44,44,73,15,77,15,77,47,44,77,15,14,77,16,71,22,78,15,78,15,70,22,72,15,48,16,76,20,48,42,48,23,48,16,46,23,17,46,72,16,69,22,17,73,15,46,17,23,72,20,44,46,17,23,48,21,78,14,48,22,76,16,13,77,71,16,71,16,3
15,78,13,14,78,61,53,35,57,35,56,63,27,65,28,37,55,33,77,14,79,14,79,36,55,70,22,21,70,23,63,28,71,22,71,22,63,30,64,22,37,23,69,26,37,53,37,29,37,23,35,29,15,57,64,23,61,29,15,77,14,57,15,29,65,26,33,57,15,29,37,27,71,21,37,30,69,23,13,79,65,23,63,23,1
4,89,2,4,89,71,35,49,41,50,42,72,20,73,20,52,38,47,88,3,90,3,90,52,38,77,15,14,77,16,72,20,78,15,78,15,72,21,73,15,53,16,76,19,53,36,53,21,53,16,50,21,4,42,73,16,71,21,4,88,3,42,4,21,73,19,47,41,4,21,53,20,78,14,52,21,76,16,2,90,73,16,72,16,3
19,73,15,18,73,65,36,49,42,49,41,66,26,67,26,52,39,46,71,17,75,17,75,51,39,71,21,20,71,22,66,26,72,21,72,21,66,27,67,21,52,22,70,25,52,36,52,27,52,22,49,27,19,42,67,22,65,27,19,71,17,42,19,27,67,25,46,42,19,27,52,26,72,20,52,27,70,22,15,75,67,22,66,22,5
15,76,9,15,76,64,32,56,36,56,36,66,27,66,27,58,34,54,73,12,79,12,79,57,34,70,23,21,70,23,65,27,71,22,71,22,65,28,66,22,58,23,69,26,58,32,58,28,58,23,56,28,15,36,66,23,64,28,15,73,12,36,15,28,66,26,54,36,15,28,58,27,71,21,58,28,69,23,9,79,66,23,65,23,1
18,77,16,16,76,48,58,30,62,30,62,53,37,54,37,32,60,28,76,17,78,16,76,32,60,75,16,13,75,17,51,40,77,15,77,15,51,40,54,15,32,17,73,34,32,58,32,40,32,17,30,40,16,62,54,17,48,40,17,76,16,62,16,40,54,34,28,62,16,40,32,37,77,13,32,40,73,17,16,77,54,17,51,17,1
11,82,9,10,82,65,29,58,33,59,33,66,26,67,26,60,31,57,81,10,83,10,83,60,31,71,21,20,71,22,66,26,72,21,72,21,66,27,67,21,61,22,70,25,61,30,61,27,61,22,59,27,11,34,67,22,65,27,11,81,10,34,11,27,67,25,57,33,11,27,61,26,72,20,60,27,70,22,9,83,67,22,66,22,7
14,79,12,14,79,79,45,44,47,45,49,81,14,79,13,45,46,43,78,13,80,13,80,47,47,82,13,11,81,11,80,15,83,12,81,11,79,13,81,12,47,13,81,13,46,45,47,15,47,13,45,15,14,49,81,13,79,14,14,78,13,49,14,15,80,13,43,48,14,15,47,14,82,11,45,13,81,12,12,80,79,11,80,13,1
18,74,14,16,74,53,50,38,54,38,52,54,40,53,39,40,52,36,72,16,76,15,76,39,51,70,22,21,70,23,54,40,71,22,71,22,53,39,55,22,40,23,69,39,40,50,40,40,40,23,38,40,17,53,55,23,53,40,17,72,16,54,18,41,54,39,36,53,17,41,40,40,71,21,40,39,69,23,14,76,53,23,54,23,2
13,79,10,12,79,55,44,47,46,47,45,59,32,59,32,48,45,46,77,11,81,11,81,47,45,73,19,18,73,20,58,34,74,19,74,19,57,34,60,19,48,20,72,30,48,44,48,35,48,20,47,35,13,46,60,20,55,34,13,78,11,46,13,35,60,30,46,46,13,35,48,32,74,18,48,34,72,20,10,81,59,20,58,20,4
10,83,8,9,83,60,45,46,47,46,46,63,28,64,28,47,46,45,82,9,84,9,84,46,46,81,12,10,80,12,62,29,82,11,81,11,62,30,64,11,47,13,79,26,47,45,47,30,47,13,46,30,10,47,64,13,60,30,10,82,9,47,10,30,64,26,45,47,10,30,47,28,82,10,47,30,79,12,8,84,64,12,62,13,1
