@relation 'Sax dominant'

@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMaa numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atLee numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o2atMaa numeric
@attribute o2atMbb numeric
@attribute o2atLbb numeric
@attribute o2atMcc numeric
@attribute o2atLcc numeric
@attribute o2atMdd numeric
@attribute o2atLdd numeric
@attribute o2atLee numeric
@attribute o2atMab numeric
@attribute o2atLab numeric
@attribute o2atMbc numeric
@attribute o2atLbc numeric
@attribute o2atMcd numeric
@attribute o2atLcd numeric
@attribute o2atMde numeric
@attribute o2atLde numeric
@attribute o2atMce numeric
@attribute o2atLce numeric
@attribute o2atMba numeric
@attribute o2atLba numeric
@attribute o2atMed numeric
@attribute o2atLed numeric
@attribute o2atMbd numeric
@attribute o2atLbd numeric
@attribute o2atMcb numeric
@attribute o2atLcb numeric
@attribute o2atMac numeric
@attribute o2atLac numeric
@attribute o2atMdc numeric
@attribute o2atLdc numeric
@attribute o3atLee numeric
@attribute o3atMdd numeric
@attribute o3atLdd numeric
@attribute o3atMcc numeric
@attribute o3atLcc numeric
@attribute o3atMbb numeric
@attribute o3atLbb numeric
@attribute o3atMaa numeric
@attribute o3atMab numeric
@attribute o3atLab numeric
@attribute o3atMbc numeric
@attribute o3atLbc numeric
@attribute o3atMed numeric
@attribute o3atLed numeric
@attribute o3atMdc numeric
@attribute o3atLdc numeric
@attribute o3atMcb numeric
@attribute o3atLcb numeric
@attribute o3atMba numeric
@attribute o3atLba numeric
@attribute o3atMcd numeric
@attribute o3atLcd numeric
@attribute o3atMce numeric
@attribute o3atLce numeric
@attribute o3atMde numeric
@attribute o3atLde numeric
@attribute o3atMbd numeric
@attribute o3atLbd numeric
@attribute destClass {2.0,3.0,7.0,6.0,4.0,5.0,1.0}

@data
31,11,19,17,12,19,11,13,18,13,18,31,0,31,0,31,0,20,12,31,0,0,31,0,4,10,25,22,19,23,8,7,5,26,11,20,23,9,24,8,23,8,5,26,23,7,11,9,11,20,5,20,22,8,12,18,14,16,16,14,29,0,1,30,14,16,19,13,17,15,15,17,1,30,16,14,16,12,18,12,14,14,3.0
31,0,31,31,0,31,0,0,31,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,8,16,21,16,14,17,14,13,9,22,16,15,17,14,18,14,17,14,9,22,17,13,17,15,16,14,9,15,16,14,3,27,11,19,18,9,31,0,0,31,11,20,28,4,20,12,11,20,0,31,19,11,19,3,27,3,11,11,6.0
28,7,23,31,0,24,8,0,31,0,31,31,1,29,2,29,2,23,7,31,0,0,31,0,7,21,22,21,9,22,9,8,8,23,21,10,22,9,23,9,22,9,8,23,22,8,22,10,21,9,8,10,21,9,5,25,11,19,31,0,31,0,0,31,0,31,26,6,20,12,0,31,0,31,19,11,19,5,25,5,0,11,5.0
31,0,31,15,15,31,0,15,15,16,16,31,0,31,0,31,0,31,0,31,0,0,31,0,5,23,24,31,6,31,0,0,6,25,24,7,31,0,31,0,31,0,6,25,31,0,24,0,24,7,6,7,31,0,25,5,27,3,29,1,31,0,0,31,2,30,5,25,3,27,1,29,0,31,4,28,4,26,6,26,2,28,3.0
28,7,23,31,0,24,8,0,31,0,31,31,1,29,2,29,2,23,7,31,0,0,31,0,14,24,15,25,6,26,5,4,15,16,25,7,26,6,27,5,26,5,15,16,26,4,25,6,24,6,15,7,25,5,18,12,22,7,31,0,31,0,0,31,0,31,13,19,8,23,0,31,0,31,8,23,8,18,12,18,0,23,1.0
31,5,25,31,0,25,5,0,31,0,31,31,0,31,0,31,0,26,6,31,0,0,31,0,6,15,23,18,14,19,12,11,7,24,16,15,19,13,20,12,19,12,7,24,19,11,16,13,16,15,7,15,18,12,8,22,11,19,14,16,31,0,0,31,16,14,23,9,20,12,17,15,0,31,19,11,19,8,22,8,16,11,5.0
31,0,31,14,15,31,0,16,15,16,15,31,0,31,0,31,0,31,0,31,0,0,31,0,1,15,28,27,13,29,3,1,2,29,17,15,28,4,30,2,28,2,2,29,29,1,17,4,16,14,2,15,27,3,20,10,22,8,25,5,31,0,0,31,5,25,11,21,9,23,6,26,0,31,8,22,8,20,10,20,5,22,2.0
31,0,31,31,0,31,0,0,31,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,2,18,27,19,12,20,11,10,3,28,19,13,20,12,21,11,20,11,3,28,20,10,19,12,18,12,3,13,19,11,4,26,10,20,20,10,31,0,0,31,10,20,27,5,21,11,11,21,0,31,20,10,20,4,26,4,10,10,3.0
21,13,17,24,5,18,14,6,25,6,25,31,8,22,9,22,9,17,13,31,0,0,31,0,11,21,18,28,7,29,2,1,12,19,22,9,29,2,30,2,29,2,12,19,29,1,23,3,22,8,12,9,28,2,18,12,28,1,31,0,31,0,0,31,0,31,13,19,2,29,0,31,0,31,2,29,2,18,12,18,0,29,4.0
31,2,27,31,0,28,3,0,31,0,31,31,0,31,0,31,0,28,3,31,0,0,31,0,11,16,18,23,13,24,7,6,12,19,17,14,24,8,25,7,24,7,12,19,24,6,17,8,17,14,12,14,23,7,13,17,21,8,31,0,31,0,0,31,0,31,18,14,9,22,0,31,0,31,9,22,9,13,17,13,0,22,4.0
29,4,26,20,9,27,5,10,21,10,21,31,1,29,1,30,2,26,4,31,0,0,31,0,7,19,22,20,11,20,10,10,8,23,20,12,20,11,21,10,21,11,8,23,20,10,20,11,19,11,8,12,20,10,1,29,16,13,31,0,31,0,0,31,0,31,30,2,14,17,0,31,0,31,14,17,14,1,29,1,0,17,6.0
31,0,31,31,0,31,0,0,31,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,6,12,23,19,16,20,11,10,7,24,13,18,20,11,21,11,20,11,7,24,20,10,14,12,13,17,7,18,19,11,4,26,11,19,18,11,31,0,0,31,12,19,27,5,20,12,12,19,0,31,19,11,19,4,26,4,12,11,7.0
27,13,17,31,0,18,14,0,31,0,31,31,2,28,3,28,3,17,13,31,0,0,31,0,13,18,16,31,11,31,0,0,14,17,19,12,31,0,31,0,31,0,14,17,31,0,19,0,19,12,14,12,31,0,20,9,27,3,31,0,31,0,0,31,0,31,10,21,4,28,0,31,0,31,3,27,3,21,10,21,0,27,3.0
31,0,31,31,0,31,0,0,31,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,11,21,18,21,9,22,9,8,12,19,21,10,22,9,23,9,22,9,12,19,22,8,22,10,21,9,12,10,21,9,5,23,21,8,31,0,31,0,0,31,0,31,25,7,9,22,0,31,0,31,9,22,9,6,24,6,0,22,2.0
31,21,6,31,0,8,23,0,31,0,31,31,0,31,0,31,0,8,23,31,0,0,31,0,14,19,15,20,11,21,10,9,15,16,20,12,21,11,22,10,21,10,15,16,21,9,20,11,19,11,15,12,20,10,14,16,17,13,24,5,31,0,0,31,6,25,17,15,14,18,6,25,0,31,13,17,13,14,16,14,6,17,5.0
31,4,26,25,4,26,4,5,26,5,26,31,0,31,0,31,0,27,5,31,0,0,31,0,8,14,21,22,15,23,8,7,9,22,15,16,23,9,24,8,23,8,9,22,23,7,15,9,15,16,9,16,22,8,8,22,11,19,24,5,31,0,0,31,6,25,23,9,20,12,6,25,0,31,19,11,19,8,22,8,6,11,3.0
27,19,11,31,0,12,20,0,31,0,31,31,2,28,3,28,3,11,19,31,0,0,31,0,5,11,25,31,18,31,0,0,5,25,12,19,31,0,31,0,31,0,6,26,31,0,12,0,12,19,5,19,31,0,20,9,22,8,23,7,24,6,7,25,8,24,10,21,8,22,7,23,6,24,8,23,9,21,10,20,8,23,3.0
29,4,26,17,12,27,5,13,18,13,18,31,0,30,1,30,1,26,4,31,0,0,31,0,10,21,19,21,9,22,9,8,11,20,21,10,22,9,23,9,22,9,11,20,22,8,22,10,21,9,11,10,21,9,5,25,25,4,31,0,31,0,0,31,0,31,26,6,5,26,0,31,0,31,5,26,5,5,25,5,0,26,4.0
25,16,14,24,6,15,17,7,25,6,24,31,3,26,4,27,5,14,16,31,0,0,31,0,9,31,20,31,0,31,0,0,10,21,31,0,31,0,31,0,31,0,10,21,31,0,31,0,31,0,10,0,31,0,20,9,27,3,27,3,29,1,2,30,3,28,10,21,3,27,3,27,1,29,4,27,4,21,10,21,4,28,5.0
31,0,31,31,0,31,0,0,31,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,5,19,24,20,11,21,10,9,6,25,20,12,21,11,22,10,21,10,6,25,21,9,20,11,19,11,6,12,20,10,5,25,10,20,21,8,31,0,0,31,9,22,26,6,21,11,9,22,0,31,20,10,20,5,25,5,9,10,5.0
31,0,31,31,0,31,0,0,31,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,4,19,25,19,11,20,11,10,5,26,19,12,20,11,21,11,20,11,5,26,20,10,20,12,19,11,5,12,19,11,4,26,12,18,17,12,31,0,0,31,13,18,27,5,19,13,13,18,0,31,18,12,18,4,26,4,13,12,7.0
27,8,22,31,0,23,9,0,31,0,31,31,3,27,3,28,4,22,8,31,0,0,31,0,13,23,16,24,7,25,6,5,14,17,24,8,25,7,26,6,25,6,14,17,25,5,24,7,23,7,14,8,24,6,15,15,20,9,31,0,31,0,0,31,0,31,16,16,10,21,0,31,0,31,10,21,10,15,15,15,0,21,1.0
31,4,26,31,0,27,5,0,31,0,31,31,0,31,0,31,0,26,4,31,0,0,31,0,13,22,16,22,8,23,8,7,14,17,22,9,23,8,24,8,23,8,14,17,23,7,23,9,22,8,14,9,22,8,12,18,24,3,31,0,31,0,0,31,0,31,19,13,5,26,0,31,0,31,5,26,5,12,18,12,0,26,5.0
31,0,31,27,2,31,0,3,28,3,28,31,0,31,0,31,0,31,0,31,0,0,31,0,3,13,26,19,15,20,11,10,4,27,15,17,20,12,21,11,20,11,4,27,20,10,15,12,14,16,4,17,19,11,4,26,13,17,19,10,31,0,0,31,11,20,27,5,18,14,11,20,0,31,17,13,17,4,26,4,11,13,7.0
31,5,25,24,5,26,6,6,25,6,25,31,0,31,0,31,0,25,5,31,0,0,31,0,0,7,31,31,22,31,0,0,0,31,8,23,31,0,31,0,31,0,0,31,31,0,8,0,8,23,0,23,31,0,14,16,16,14,17,13,26,3,4,27,14,18,16,14,14,16,13,17,4,27,15,17,15,15,17,15,14,17,2.0
31,3,27,31,0,27,3,0,31,0,31,31,0,31,0,31,0,28,4,31,0,0,31,0,6,12,23,21,17,21,9,9,7,24,13,18,21,10,22,9,22,10,7,24,21,9,13,10,13,18,7,18,21,9,5,25,14,16,18,12,31,0,0,31,12,18,26,6,17,15,13,19,0,31,16,14,16,5,25,5,12,14,7.0
31,8,22,22,7,22,8,8,23,8,23,31,0,31,0,31,0,23,9,31,0,0,31,0,5,11,24,20,18,21,10,9,6,25,12,19,21,11,22,10,21,10,6,25,21,9,12,11,12,19,6,19,20,10,7,23,9,21,12,18,31,0,0,31,18,12,24,8,22,10,19,13,0,31,21,9,21,7,23,7,18,9,3.0
31,5,25,18,11,26,6,12,19,12,19,31,0,31,0,31,0,25,5,31,0,0,31,0,8,14,21,22,14,23,8,7,9,22,16,16,23,9,24,8,23,8,9,22,23,7,16,9,15,15,9,16,22,8,9,21,16,13,31,0,31,0,0,31,0,31,22,10,14,17,0,31,0,31,14,17,14,9,21,9,0,17,6.0
31,13,17,26,4,17,13,4,26,5,27,31,0,31,0,31,0,18,14,31,0,0,31,0,7,15,22,17,14,18,13,12,8,23,16,15,18,14,19,13,18,13,8,23,18,12,16,14,16,15,8,15,17,13,8,22,11,19,13,17,31,0,0,31,17,13,23,9,20,12,18,14,0,31,19,11,19,8,22,8,17,11,6.0
31,8,22,31,0,23,9,0,31,0,31,31,0,31,0,31,0,22,8,31,0,0,31,0,7,23,22,24,7,24,6,6,8,23,24,8,24,7,25,6,25,7,8,23,24,6,24,7,23,7,8,8,24,6,12,18,18,12,22,7,31,0,0,31,8,23,19,13,13,19,8,23,0,31,12,18,12,12,18,12,8,18,6.0
31,0,31,19,10,31,0,11,20,11,20,31,0,31,0,31,0,31,0,31,0,0,31,0,0,5,31,11,25,22,19,8,0,31,6,26,12,20,23,9,12,9,0,31,22,8,6,20,5,25,0,26,11,19,8,21,14,15,18,11,22,7,8,23,12,19,22,9,16,15,12,19,8,23,16,15,16,9,22,9,12,15,1.0
25,8,22,18,11,23,9,12,19,12,19,31,5,25,5,26,6,22,8,31,0,0,31,0,8,25,21,26,5,27,4,3,9,22,26,6,27,5,28,4,27,4,9,22,27,3,26,5,25,5,9,6,26,4,9,21,24,5,31,0,31,0,0,31,0,31,22,10,6,25,0,31,0,31,6,25,6,9,21,9,0,25,6.0
31,8,21,20,9,22,9,10,21,10,21,31,0,31,0,31,0,22,9,31,0,0,31,0,7,16,22,24,12,24,6,6,8,23,18,14,24,7,25,6,25,7,8,23,24,6,18,7,17,13,8,14,24,6,11,19,17,13,24,5,31,0,0,31,6,25,20,12,14,18,6,25,0,31,13,17,13,11,19,11,6,17,6.0
31,0,31,31,0,31,0,0,31,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,9,18,20,19,12,20,11,10,10,21,19,13,20,12,21,11,20,11,10,21,20,10,19,12,18,12,10,13,19,11,7,23,10,20,28,1,31,0,0,31,2,29,24,8,21,11,2,29,0,31,20,10,20,7,23,7,2,10,4.0
28,5,25,31,0,26,6,0,31,0,31,31,2,28,2,29,3,25,5,31,0,0,31,0,13,22,16,22,8,23,8,7,14,17,22,9,23,8,24,8,23,8,14,17,23,7,23,9,22,8,14,9,22,8,5,25,19,10,31,0,31,0,0,31,0,31,26,6,11,20,0,31,0,31,11,20,11,5,25,5,0,20,1.0
31,1,29,31,0,30,2,0,31,0,31,31,0,31,0,31,0,29,1,31,0,0,31,0,12,20,17,21,10,21,9,9,13,18,21,11,21,10,22,9,22,10,13,18,21,9,21,10,20,10,13,11,21,9,9,21,24,3,31,0,31,0,0,31,0,31,22,10,5,26,0,31,0,31,5,26,5,9,21,9,0,26,4.0
24,12,18,31,0,19,13,0,31,0,31,31,5,25,6,25,6,18,12,31,0,0,31,0,12,29,17,30,1,31,0,0,13,18,30,2,31,1,31,0,31,0,13,18,31,0,30,1,29,1,13,2,30,0,21,9,27,2,31,0,31,0,0,31,0,31,10,22,3,28,0,31,0,31,3,28,3,21,9,21,0,28,2.0
31,8,22,31,0,22,8,0,31,0,31,31,0,31,0,31,0,23,9,31,0,0,31,0,8,17,21,18,13,19,12,11,9,22,18,14,19,13,20,12,19,12,9,22,19,11,18,13,17,13,9,14,18,12,7,23,10,20,13,17,31,0,0,31,17,13,24,8,21,11,18,14,0,31,20,10,20,7,23,7,17,10,6.0
31,26,4,31,0,5,27,0,31,0,31,31,0,31,0,31,0,4,26,31,0,0,31,0,16,18,13,19,12,20,11,10,17,14,19,13,20,12,21,11,20,11,17,14,20,10,19,12,18,12,17,13,19,11,10,20,12,18,22,7,31,0,0,31,8,23,21,11,19,13,8,23,0,31,18,12,18,10,20,10,8,12,5.0
29,6,24,26,3,25,7,4,27,4,27,31,1,29,1,30,2,24,6,31,0,0,31,0,9,21,20,22,9,23,8,7,10,21,22,10,23,9,24,8,23,8,10,21,23,7,22,9,21,9,10,10,22,8,9,21,12,17,25,4,31,0,0,31,5,26,22,10,18,13,5,26,0,31,18,13,18,9,21,9,5,13,4.0
29,5,25,31,0,26,6,0,31,0,31,31,0,30,1,30,1,25,5,31,0,0,31,0,10,21,19,21,9,22,9,8,11,20,21,10,22,9,23,9,22,9,11,20,22,8,22,10,21,9,11,10,21,9,4,26,13,16,31,0,31,0,0,31,0,31,27,5,17,14,0,31,0,31,17,14,17,4,26,4,0,14,4.0
31,3,26,29,0,27,4,1,30,1,30,31,0,31,0,31,0,27,4,31,0,0,31,0,6,25,23,25,5,26,5,4,7,24,25,6,26,5,27,5,26,5,7,24,26,4,26,6,25,5,7,6,25,5,11,19,16,14,27,2,31,0,0,31,3,28,20,12,15,17,3,28,0,31,14,16,14,11,19,11,3,16,4.0
31,0,31,29,0,31,0,1,30,1,30,31,0,31,0,31,0,31,0,31,0,0,31,0,5,19,24,20,11,21,10,9,6,25,20,12,21,11,22,10,21,10,6,25,21,9,20,11,19,11,6,12,20,10,7,23,15,15,23,6,31,0,0,31,7,24,24,8,16,16,7,24,0,31,15,15,15,7,23,7,7,15,6.0
31,3,26,23,6,27,4,7,24,7,24,31,0,31,0,31,0,27,4,31,0,0,31,0,6,19,23,20,11,20,10,10,7,24,20,12,20,11,21,10,21,11,7,24,20,10,20,11,19,11,7,12,20,10,5,25,13,17,25,4,31,0,0,31,5,26,26,6,18,14,5,26,0,31,17,13,17,5,25,5,5,13,7.0
23,20,10,31,0,11,21,0,31,0,31,31,7,23,7,24,8,10,20,31,0,0,31,0,5,31,25,31,0,31,0,0,5,25,31,0,31,0,31,0,31,0,6,26,31,0,31,0,31,0,5,0,31,0,21,9,22,8,22,8,23,7,8,24,8,23,9,21,8,22,8,22,7,23,9,22,9,22,10,22,9,23,5.0
26,19,11,31,0,12,20,0,31,0,31,31,3,27,4,27,4,11,19,31,0,0,31,0,10,18,20,26,11,31,3,0,10,20,19,12,27,4,31,0,27,0,11,21,31,0,19,4,19,12,10,12,27,4,19,10,27,3,28,2,29,1,2,30,3,29,11,20,3,27,2,28,1,29,4,28,4,20,11,20,3,28,2.0
29,17,11,31,0,13,19,0,31,0,31,31,0,30,1,30,1,12,18,31,0,0,31,0,13,21,16,23,7,24,7,6,14,17,22,9,24,7,25,7,24,7,14,17,24,6,23,8,22,8,14,9,23,7,11,19,22,7,31,0,31,0,0,31,0,31,20,12,8,23,0,31,0,31,8,23,8,11,19,11,0,23,3.0
31,5,24,21,8,25,6,9,22,9,22,31,0,31,0,31,0,25,6,31,0,0,31,0,6,22,23,23,8,25,7,5,7,24,23,9,24,8,26,6,24,6,7,24,25,5,23,8,22,8,7,9,23,7,14,16,18,12,22,8,31,0,0,31,8,22,17,15,13,19,9,23,0,31,12,18,12,14,16,14,8,18,7.0
31,3,27,31,0,28,4,0,31,0,31,31,0,31,0,31,0,27,3,31,0,0,31,0,10,18,19,19,12,20,11,10,11,20,19,13,20,12,21,11,20,11,11,20,20,10,19,12,18,12,11,13,19,11,3,27,17,12,31,0,31,0,0,31,0,31,28,4,13,18,0,31,0,31,13,18,13,3,27,3,0,18,4.0
31,23,6,31,0,7,24,0,31,0,31,31,0,31,0,31,0,7,24,31,0,0,31,0,18,22,11,23,8,24,7,6,19,12,23,9,24,8,25,7,24,7,19,12,24,6,23,8,22,8,19,9,23,7,14,16,16,13,21,8,31,0,0,31,9,22,17,15,14,17,9,22,0,31,14,17,14,14,16,14,9,17,3.0
31,3,27,31,0,28,4,0,31,0,31,31,0,31,0,31,0,27,3,31,0,0,31,0,11,19,18,20,11,21,10,9,12,19,20,12,21,11,22,10,21,10,12,19,21,9,20,11,19,11,12,12,20,10,4,26,17,12,31,0,31,0,0,31,0,31,27,5,13,18,0,31,0,31,13,18,13,4,26,4,0,18,2.0
20,26,4,31,0,4,26,0,31,0,31,31,9,21,10,21,10,5,27,31,0,0,31,0,7,24,23,31,6,31,0,0,7,23,24,6,31,0,31,0,31,0,8,24,31,0,24,0,25,7,7,6,31,0,15,15,17,13,19,11,21,9,10,22,12,20,15,15,13,17,11,19,9,21,14,18,14,16,16,16,12,18,2.0
25,11,19,31,0,20,12,0,31,0,31,31,5,25,5,26,6,19,11,31,0,0,31,0,0,31,31,31,0,31,0,0,0,31,31,0,31,0,31,0,31,0,0,31,31,0,31,0,31,0,0,0,31,0,13,17,15,15,16,14,23,6,7,24,15,17,17,13,15,15,14,16,7,24,16,16,16,14,18,14,15,16,2.0
31,1,29,19,10,29,1,11,20,11,20,31,0,31,0,31,0,30,2,31,0,0,31,0,8,16,21,19,13,20,11,10,9,22,17,14,20,12,21,11,20,11,9,22,20,10,17,12,17,14,9,14,19,11,1,29,21,8,31,0,31,0,0,31,0,31,30,2,9,22,0,31,0,31,9,22,9,1,29,1,0,22,6.0
31,4,26,11,19,26,4,19,11,20,12,31,0,31,0,31,0,27,5,31,0,0,31,0,2,8,27,27,21,28,3,2,3,28,9,22,28,4,29,3,28,3,3,28,28,2,9,4,9,22,3,22,27,3,17,13,20,10,22,8,26,3,4,27,8,22,14,18,11,21,9,23,4,27,10,20,10,17,13,17,8,20,3.0
31,7,22,31,0,23,8,0,31,0,31,31,0,31,0,31,0,23,8,31,0,0,31,0,7,17,22,21,12,22,9,8,8,23,18,13,22,10,23,9,22,9,8,23,22,8,18,10,18,13,8,13,21,9,7,23,9,21,12,17,31,0,0,31,18,13,24,8,22,10,18,13,0,31,21,9,21,7,23,7,18,9,2.0
31,2,28,31,0,29,3,0,31,0,31,31,0,31,0,31,0,28,2,31,0,0,31,0,9,20,20,21,10,22,9,8,10,21,21,11,22,10,23,9,22,9,10,21,22,8,21,10,20,10,10,11,21,9,4,26,18,11,31,0,31,0,0,31,0,31,27,5,12,19,0,31,0,31,12,19,12,4,26,4,0,19,3.0
31,3,27,31,0,28,4,0,31,0,31,31,0,31,0,31,0,27,3,31,0,0,31,0,10,20,19,21,10,22,9,8,11,20,21,11,22,10,23,9,22,9,11,20,22,8,21,10,20,10,11,11,21,9,8,20,19,10,31,0,31,0,0,31,0,31,22,10,11,20,0,31,0,31,11,20,11,9,21,9,0,20,2.0
31,1,29,11,18,29,1,19,12,19,12,31,0,31,0,31,0,30,2,31,0,0,31,0,0,8,31,18,21,19,12,11,0,31,9,22,19,13,20,12,19,12,0,31,19,11,9,13,9,22,0,22,18,12,2,28,8,22,31,0,31,0,0,31,0,31,29,3,23,9,0,31,0,31,22,8,22,2,28,2,0,8,3.0
17,15,15,23,7,15,15,7,23,8,24,20,13,18,14,17,13,16,16,21,11,10,20,10,0,0,31,18,31,23,11,6,0,31,0,31,19,12,24,7,19,7,0,31,24,7,0,12,0,31,0,31,19,12,2,28,4,26,7,23,12,18,18,12,23,7,29,3,27,5,24,8,19,13,26,4,26,2,28,2,23,4,1.0
31,0,31,19,10,31,0,11,20,11,20,31,0,31,0,31,0,31,0,31,0,0,31,0,0,14,31,31,16,31,0,0,0,31,15,17,31,0,31,0,31,0,0,31,31,0,15,0,14,16,0,17,31,0,18,12,20,10,22,8,31,0,0,31,9,23,12,18,10,20,8,22,0,31,11,21,11,19,13,19,9,21,2.0
31,0,31,31,0,31,0,0,31,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,5,21,24,23,9,24,7,6,6,25,22,10,24,8,25,7,24,7,6,25,24,6,22,8,21,9,6,10,23,7,14,16,17,13,19,11,31,0,0,31,11,19,17,15,14,18,12,20,0,31,13,17,13,14,16,14,11,17,4.0
31,2,28,16,13,29,3,14,17,14,17,31,0,31,0,31,0,28,2,31,0,0,31,0,2,17,27,21,11,22,9,8,3,28,19,13,22,10,23,9,22,9,3,28,22,8,19,10,18,12,3,13,21,9,6,24,11,18,31,0,31,0,0,31,0,31,25,7,19,12,0,31,0,31,19,12,19,6,24,6,0,12,3.0
28,18,10,31,0,12,20,0,31,0,31,31,2,28,2,29,3,11,19,31,0,0,31,0,14,24,15,25,6,26,5,4,15,16,25,7,26,6,27,5,26,5,15,16,26,4,25,6,24,6,15,7,25,5,17,13,20,9,31,0,31,0,0,31,0,31,14,18,10,21,0,31,0,31,10,21,10,17,13,17,0,21,1.0
31,0,31,31,0,31,0,0,31,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,3,13,26,17,15,18,13,12,4,27,15,17,18,14,19,13,18,13,4,27,18,12,15,14,14,16,4,17,17,13,2,28,6,24,22,5,31,0,0,31,7,24,29,3,25,7,7,24,0,31,24,6,24,2,28,2,7,6,3.0
31,2,27,16,13,28,3,14,17,14,17,31,0,31,0,31,0,28,3,31,0,0,31,0,4,13,25,23,15,24,7,6,5,26,15,17,24,8,25,7,24,7,5,26,24,6,15,8,14,16,5,17,23,7,14,16,18,12,21,8,31,0,0,31,9,22,17,15,13,19,9,22,0,31,12,18,12,14,16,14,9,18,5.0
31,0,31,21,8,31,0,9,22,9,22,31,0,31,0,31,0,31,0,31,0,0,31,0,2,12,27,19,16,21,11,9,3,28,14,18,20,12,22,10,20,10,3,28,21,9,14,12,13,17,3,18,19,11,12,18,15,15,17,13,27,2,3,28,13,17,19,13,16,16,14,18,3,28,15,15,15,12,18,12,13,15,1.0
12,24,6,31,0,6,24,0,31,0,31,21,17,13,18,13,18,7,25,22,9,8,22,9,0,4,31,16,25,28,12,2,0,31,5,26,18,14,29,3,18,3,0,31,28,2,5,14,5,26,0,26,17,13,4,26,7,23,9,21,13,17,17,13,21,9,27,5,24,8,22,10,18,14,23,7,23,4,26,4,21,7,1.0
31,0,31,31,0,31,0,0,31,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,10,17,19,18,13,19,12,11,11,20,18,14,19,13,20,12,19,12,11,20,19,11,18,13,17,13,11,14,18,12,9,21,13,17,17,10,31,0,0,31,12,19,22,10,18,14,12,19,0,31,17,13,17,9,21,9,12,13,7.0
31,0,31,16,13,31,0,14,17,14,17,31,0,31,0,31,0,31,0,31,0,0,31,0,0,5,31,31,25,31,0,0,0,31,6,26,31,0,31,0,31,0,0,31,31,0,6,0,5,25,0,26,31,0,12,18,14,16,21,8,31,0,0,31,9,22,18,12,16,14,9,22,0,31,17,15,17,13,19,13,9,15,1.0
31,7,22,25,4,23,8,5,26,5,26,31,0,31,0,31,0,23,8,31,0,0,31,0,12,16,17,22,13,23,8,7,12,18,17,13,23,9,24,8,23,8,13,18,23,7,17,9,17,14,13,14,22,8,14,16,31,0,31,0,31,0,0,31,0,31,17,15,0,31,0,31,0,31,0,31,0,14,16,14,0,31,2.0
26,10,20,29,0,21,11,1,30,1,30,31,3,27,4,27,4,20,10,31,0,0,31,0,11,26,18,27,4,28,3,2,12,19,27,5,28,4,29,3,28,3,12,19,28,2,27,4,26,4,12,5,27,3,16,14,25,4,31,0,31,0,0,31,0,31,15,17,5,26,0,31,0,31,5,26,5,16,14,16,0,26,4.0
26,7,23,31,0,24,8,0,31,0,31,31,4,26,4,27,5,23,7,31,0,0,31,0,9,22,20,23,8,24,7,6,10,21,23,9,24,8,25,7,24,7,10,21,24,6,23,8,22,8,10,9,23,7,4,25,17,12,31,0,31,0,0,31,0,31,26,5,13,18,0,31,0,31,13,18,13,5,26,5,0,18,1.0
31,0,31,31,0,31,0,0,31,0,31,31,0,31,0,31,0,31,0,31,0,0,31,0,8,21,21,21,9,22,9,8,9,22,21,10,22,9,23,9,22,9,9,22,22,8,22,10,21,9,9,10,21,9,7,23,14,16,31,0,31,0,0,31,0,31,24,8,17,15,0,31,0,31,16,14,16,7,23,7,0,14,6.0
31,0,31,26,3,31,0,4,27,4,27,31,0,31,0,31,0,31,0,31,0,0,31,0,5,13,24,14,17,15,16,15,6,25,14,18,15,17,16,16,15,16,6,25,15,15,14,17,13,17,6,18,14,16,0,31,5,25,26,4,31,0,0,31,4,26,31,0,26,6,5,27,0,31,25,5,25,0,31,0,4,5,5.0
31,3,27,19,10,27,3,11,20,11,20,31,0,31,0,31,0,28,4,31,0,0,31,0,5,12,24,23,17,25,7,5,6,25,13,18,24,8,26,6,24,6,6,25,25,5,13,8,13,18,6,18,23,7,15,15,18,12,20,10,27,2,3,28,10,20,16,16,13,19,11,21,3,28,12,18,12,15,15,15,10,18,4.0
