@relation 'Sax dominant'

@attribute o1atMaa numeric
@attribute o1atMbb numeric
@attribute o1atLbb numeric
@attribute o1atMcc numeric
@attribute o1atLcc numeric
@attribute o1atMdd numeric
@attribute o1atLdd numeric
@attribute o1atLee numeric
@attribute o1atMab numeric
@attribute o1atLab numeric
@attribute o1atMbc numeric
@attribute o1atLbc numeric
@attribute o1atMcd numeric
@attribute o1atLcd numeric
@attribute o1atMde numeric
@attribute o1atLde numeric
@attribute o1atMce numeric
@attribute o1atLce numeric
@attribute o1atMba numeric
@attribute o1atLba numeric
@attribute o1atMed numeric
@attribute o1atLed numeric
@attribute o1atMdc numeric
@attribute o1atLdc numeric
@attribute o1atMcb numeric
@attribute o1atLcb numeric
@attribute o1atMbd numeric
@attribute o1atLbd numeric
@attribute o1atMbe numeric
@attribute o1atLbe numeric
@attribute o1atMae numeric
@attribute o1atLae numeric
@attribute o1atMac numeric
@attribute o1atLac numeric
@attribute o1atMad numeric
@attribute o1atLad numeric
@attribute o1atMdb numeric
@attribute o1atLdb numeric
@attribute o1atMca numeric
@attribute o1atLca numeric
@attribute o1atMec numeric
@attribute o1atLec numeric
@attribute destClass {1,2}

@data
24,31,68,44,61,75,46,15,26,70,32,63,45,48,78,16,47,17,25,69,77,17,46,48,32,62,32,49,33,18,26,18,26,63,26,49,32,48,25,62,46,17,1.0
21,32,71,41,60,82,49,10,23,73,33,62,43,51,84,11,44,11,22,72,83,11,43,51,33,61,33,52,34,12,23,12,23,62,23,52,33,51,22,61,43,11,1.0
22,32,68,54,60,79,38,13,23,71,34,60,56,40,81,15,56,15,24,70,80,14,55,39,33,61,34,40,34,15,25,15,25,62,25,40,33,39,24,61,55,14,1.0
24,32,68,53,62,79,39,13,26,70,33,63,54,41,81,14,55,15,25,69,80,14,54,40,32,62,33,41,33,15,26,15,26,63,26,41,32,40,25,62,54,14,2.0
12,41,80,57,49,80,33,12,13,82,43,51,59,35,82,13,60,13,13,81,81,13,59,35,43,51,43,35,44,13,14,14,13,52,13,36,43,35,13,51,59,13,2.0
21,36,71,61,56,78,31,14,22,73,38,57,63,33,80,16,63,16,22,72,79,15,62,32,37,57,38,33,38,16,23,16,23,58,23,33,37,32,22,57,62,15,2.0
23,34,69,50,58,75,42,15,25,71,36,60,51,44,78,17,52,18,24,70,77,17,51,43,35,59,36,44,36,18,25,18,25,60,25,44,35,43,24,59,51,17,2.0
25,32,67,50,62,78,42,12,27,69,33,63,51,44,81,14,52,15,26,68,80,14,51,43,32,62,33,44,33,15,27,15,27,63,27,44,32,43,26,62,51,14,2.0
24,28,68,64,64,76,26,16,24,70,30,64,66,29,78,17,67,18,25,69,77,17,66,28,29,65,30,29,30,18,26,18,26,66,26,29,29,28,25,65,66,17,2.0
28,31,66,42,61,88,50,4,29,67,32,63,43,51,90,5,44,5,28,66,89,5,43,51,32,62,32,52,33,6,29,6,29,63,29,52,32,51,28,62,43,5,1.0
24,32,68,50,62,79,42,13,26,70,33,63,51,44,81,14,52,15,25,69,80,14,51,43,32,62,33,44,33,15,26,15,26,63,26,44,32,43,25,62,51,14,2.0
25,34,67,39,58,82,53,10,27,69,35,60,40,54,84,11,41,11,26,68,83,11,40,54,35,59,35,55,36,12,27,12,27,60,27,55,35,54,26,59,40,11,2.0
20,36,72,64,52,76,28,16,21,74,40,55,66,30,78,18,66,18,21,73,77,17,65,29,39,55,40,30,40,18,22,18,22,56,22,30,39,29,21,55,65,17,2.0
28,38,66,43,54,86,49,6,29,67,39,56,44,50,88,7,45,7,28,66,87,7,44,50,39,55,39,51,40,8,29,8,29,56,29,51,39,50,28,55,44,7,1.0
24,29,68,45,65,79,45,13,26,70,30,66,47,48,81,14,48,15,25,69,80,14,47,47,29,65,30,48,30,15,26,15,26,66,26,48,29,47,25,65,47,14,1.0
20,35,72,55,57,72,35,20,22,74,37,59,57,38,74,21,58,22,21,73,73,21,57,37,36,58,37,38,37,22,22,22,22,59,22,38,36,37,21,58,57,21,1.0
23,31,69,64,59,76,26,16,23,71,34,60,65,29,78,16,67,18,24,70,77,17,66,28,33,61,34,29,34,18,25,18,25,62,25,29,33,28,24,61,66,17,2.0
21,39,71,53,49,75,37,17,22,73,43,52,55,40,77,18,56,19,22,72,76,18,55,39,42,52,43,40,43,19,23,19,23,53,23,40,42,39,22,52,55,18,1.0
19,36,71,48,56,72,42,18,22,74,37,58,51,44,75,21,51,21,21,73,74,20,50,44,37,57,38,45,38,21,22,21,22,58,22,45,37,44,21,57,50,20,2.0
25,35,69,44,57,78,46,12,26,70,36,59,46,48,81,14,47,14,25,69,80,14,46,48,36,58,36,49,37,15,26,15,26,59,26,49,36,48,25,58,46,14,1.0
21,35,71,52,57,71,38,19,23,73,36,59,54,40,74,21,55,21,22,72,73,21,54,40,36,58,36,41,37,22,23,22,23,59,23,41,36,40,22,58,54,21,1.0
24,35,68,40,57,75,52,15,26,70,36,59,41,53,78,17,42,17,25,69,77,17,41,53,36,58,36,54,37,18,26,18,26,59,26,54,36,53,25,58,41,17,1.0
24,34,68,36,58,91,56,3,26,70,35,60,37,57,92,3,38,3,25,69,91,3,37,57,35,59,35,58,36,4,26,4,26,60,26,58,35,57,25,59,37,3,2.0
21,34,71,50,58,73,42,17,23,73,35,60,51,43,76,19,52,19,22,72,75,19,51,43,35,59,35,44,36,20,23,20,23,60,23,44,35,43,22,59,51,19,2.0
24,35,68,42,57,86,50,6,26,70,36,59,43,51,88,7,44,7,25,69,87,7,43,51,36,58,36,52,37,8,26,8,26,59,26,52,36,51,25,58,43,7,1.0
24,32,68,52,60,75,38,17,26,70,33,62,54,40,77,18,55,18,25,69,76,18,54,40,33,61,33,41,34,19,26,19,26,62,26,41,33,40,25,61,54,18,2.0
20,32,70,58,60,75,34,17,22,73,34,61,60,36,77,19,60,19,22,72,76,18,59,35,33,61,34,36,34,19,23,19,23,62,23,36,33,35,22,61,59,18,1.0
13,40,79,60,50,84,30,10,14,81,42,52,63,32,85,11,63,11,14,80,84,10,62,32,42,52,43,32,43,11,15,11,14,53,15,33,42,32,14,52,62,10,2.0
20,27,72,61,63,74,29,16,21,74,29,65,63,31,77,18,64,18,21,73,76,18,63,31,29,65,29,32,30,19,22,19,22,66,22,32,29,31,21,65,63,18,1.0
24,31,68,51,61,77,39,13,26,70,32,63,53,41,80,15,54,15,25,69,79,15,53,41,32,62,32,42,33,16,26,16,26,63,26,42,32,41,25,62,53,15,1.0
21,32,71,48,62,79,42,13,23,73,32,63,50,44,81,14,51,15,22,72,80,14,50,44,32,62,33,45,33,15,23,15,23,63,23,45,32,44,22,62,50,14,2.0
24,31,68,41,61,83,51,7,26,70,32,63,42,52,86,9,43,9,25,69,85,9,42,52,32,62,32,53,33,10,26,10,26,63,26,53,32,52,25,62,42,9,1.0
20,33,72,59,57,68,31,22,22,74,36,60,60,34,71,23,62,25,21,73,70,24,61,33,35,59,36,34,36,25,22,25,22,60,22,34,35,33,21,59,61,24,1.0
20,32,72,53,60,74,37,16,22,74,33,62,55,39,77,18,56,18,21,73,76,18,55,39,33,61,33,40,34,19,22,19,22,62,22,40,33,39,21,61,55,18,1.0
17,30,75,60,60,71,30,19,18,77,33,62,62,33,74,21,63,22,18,76,73,21,62,32,32,62,33,33,33,22,19,22,19,63,19,33,32,32,18,62,62,21,2.0
19,38,71,61,52,76,31,16,21,74,41,54,62,33,78,17,63,18,21,73,77,17,62,32,40,54,41,33,41,18,22,18,22,55,22,33,40,32,21,54,62,17,1.0
24,32,68,43,60,83,47,9,26,70,33,62,45,49,85,10,46,10,25,69,84,10,45,49,33,61,33,50,34,11,26,11,26,62,26,50,33,49,25,61,45,10,1.0
17,32,73,60,60,78,32,12,19,76,33,61,61,33,81,14,62,15,19,75,80,14,61,33,33,61,34,34,34,15,20,15,20,62,20,34,33,33,19,61,61,14,2.0
20,35,72,62,51,75,28,17,21,74,40,55,63,31,77,17,65,19,21,73,76,18,64,30,39,55,40,31,40,19,22,19,22,56,22,31,39,30,21,55,64,18,1.0
24,32,68,41,60,83,51,9,26,70,33,62,42,52,85,10,43,10,25,69,84,10,42,52,33,61,33,53,34,11,26,11,26,62,26,53,33,52,25,61,42,10,1.0
24,34,68,43,58,78,49,12,26,70,35,60,44,50,81,14,45,14,25,69,80,14,44,50,35,59,35,51,36,15,26,15,26,60,26,51,35,50,25,59,44,14,1.0
24,32,68,42,60,86,50,6,26,70,33,62,43,51,88,7,44,7,25,69,87,7,43,51,33,61,33,52,34,8,26,8,26,62,26,52,33,51,25,61,43,7,1.0
25,32,67,45,62,82,45,10,27,69,33,63,47,48,84,11,48,12,26,68,83,11,47,47,32,62,33,48,33,12,27,12,27,63,27,48,32,47,26,62,47,11,1.0
25,32,67,53,62,79,39,11,27,69,33,63,54,41,82,13,55,14,26,68,81,13,54,40,32,62,33,41,33,14,27,14,27,63,27,41,32,40,26,62,54,13,2.0
17,44,73,53,46,80,35,14,18,76,46,47,57,38,81,15,57,15,19,75,80,14,56,38,46,48,47,38,47,15,20,15,19,49,20,39,46,38,19,48,56,14,2.0
13,35,79,60,55,80,30,12,13,81,37,56,62,32,82,13,63,13,14,80,81,13,62,32,37,57,37,32,38,13,15,14,14,58,14,33,37,32,14,57,62,13,2.0
25,32,67,53,62,76,39,16,27,69,33,63,53,41,78,16,55,18,26,68,77,17,54,40,32,62,33,41,33,18,27,18,27,63,27,41,32,40,26,62,54,17,2.0
13,41,77,60,49,76,32,16,15,80,44,51,62,34,78,18,62,18,15,79,77,17,61,33,43,51,44,34,44,18,16,18,16,52,16,34,43,33,15,51,61,17,1.0
24,34,68,42,58,79,48,13,26,70,35,60,44,50,81,14,45,14,25,69,80,14,44,50,35,59,35,51,36,15,26,15,26,60,26,51,35,50,25,59,44,14,1.0
21,40,71,54,50,75,38,17,23,73,42,53,55,39,77,18,56,18,22,72,76,18,55,39,42,52,42,40,43,19,23,19,23,53,23,40,42,39,22,52,55,18,2.0
17,30,75,56,60,70,34,20,18,77,32,62,57,36,73,21,59,22,18,76,72,22,58,36,32,62,32,37,33,23,19,23,19,63,19,37,32,36,18,62,58,22,1.0
11,38,81,62,52,84,28,10,12,83,40,54,65,30,85,11,65,11,12,82,84,10,64,30,40,54,41,30,41,11,13,11,12,55,13,31,40,30,12,54,64,10,2.0
25,34,69,39,58,83,53,7,26,70,35,60,40,54,86,9,41,9,25,69,85,9,40,54,35,59,35,55,36,10,26,10,26,60,26,55,35,54,25,59,40,9,1.0
10,42,80,72,46,76,20,16,12,83,45,49,72,21,78,16,74,17,12,82,77,17,73,21,45,49,45,21,46,17,13,18,12,50,12,22,45,21,12,49,73,17,2.0
20,32,72,49,62,76,41,16,22,74,33,63,51,44,78,17,52,18,21,73,77,17,51,43,32,62,33,44,33,18,22,18,22,63,22,44,32,43,21,62,51,17,2.0
9,46,83,63,44,80,27,14,10,85,48,46,66,29,81,15,66,15,10,84,80,14,65,29,48,46,49,29,49,15,11,15,10,47,11,30,48,29,10,46,65,14,2.0
28,34,66,44,58,83,46,9,29,67,34,60,46,47,85,10,47,10,28,66,84,10,46,48,35,59,35,49,36,11,29,11,29,60,29,49,35,48,28,59,46,10,1.0
20,30,72,62,60,71,28,19,21,74,33,62,63,31,74,20,65,22,21,73,73,21,64,30,32,62,33,31,33,22,22,22,22,63,22,31,32,30,21,62,64,21,1.0
20,32,72,57,58,72,33,18,21,74,34,60,59,35,75,20,60,21,21,73,74,20,59,35,34,60,35,36,35,21,22,21,22,61,22,36,34,35,21,60,59,20,2.0
28,34,66,43,58,91,49,3,29,67,35,60,44,50,92,3,45,3,28,66,91,3,44,50,35,59,35,51,36,4,29,4,29,60,29,51,35,50,28,59,44,3,1.0
24,34,68,44,58,79,46,11,26,70,35,60,46,48,82,13,47,13,25,69,81,13,46,48,35,59,35,49,36,14,26,14,26,60,26,49,35,48,25,59,46,13,1.0
21,32,71,50,62,79,42,13,23,73,33,63,51,44,81,14,52,15,22,72,80,14,51,43,32,62,33,44,33,15,23,15,23,63,23,44,32,43,22,62,51,14,2.0
8,53,82,59,37,71,31,21,10,85,53,39,61,31,73,22,62,22,10,84,72,22,61,33,55,39,55,33,56,23,11,23,10,40,11,34,55,33,10,39,61,22,2.0
28,32,66,41,62,76,49,14,29,67,33,63,43,52,79,16,44,17,28,66,78,16,43,51,32,62,33,52,33,17,29,17,29,63,29,52,32,51,28,62,43,16,1.0
25,32,67,53,62,79,39,13,27,69,32,63,54,40,81,14,55,15,26,68,80,14,54,40,32,62,33,41,33,15,27,15,27,63,27,41,32,40,26,62,54,14,2.0
21,35,71,54,57,79,38,13,23,73,37,59,55,40,81,14,56,15,22,72,80,14,55,39,36,58,37,40,37,15,23,15,23,59,23,40,36,39,22,58,55,14,2.0
24,29,68,42,65,74,46,16,26,70,30,66,45,50,77,18,46,19,25,69,76,18,45,49,29,65,30,50,30,19,26,19,26,66,26,50,29,49,25,65,45,18,1.0
24,31,68,38,61,79,54,11,26,70,32,63,39,55,82,13,40,13,25,69,81,13,39,55,32,62,32,56,33,14,26,14,26,63,26,56,32,55,25,62,39,13,1.0
18,47,72,60,43,76,32,16,20,75,50,45,61,34,78,17,62,18,20,74,77,17,61,33,49,45,50,34,50,18,21,18,21,46,21,34,49,33,20,45,61,17,1.0
28,31,66,38,61,79,54,11,29,67,32,63,39,55,82,13,40,13,28,66,81,13,39,55,32,62,32,56,33,14,29,14,29,63,29,56,32,55,28,62,39,13,1.0
20,42,72,58,48,72,34,18,21,74,45,50,60,36,75,21,60,21,21,73,74,20,59,35,44,50,45,36,45,21,22,21,22,51,22,36,44,35,21,50,59,20,1.0
14,28,78,60,64,84,30,10,15,80,29,65,63,32,85,11,63,11,15,79,84,10,62,32,29,65,30,32,30,11,16,11,15,66,16,33,29,32,15,65,62,10,2.0
24,32,68,41,62,82,49,10,26,70,33,63,43,52,84,11,44,12,25,69,83,11,43,51,32,62,33,52,33,12,26,12,26,63,26,52,32,51,25,62,43,11,1.0
25,29,69,46,65,79,44,13,26,70,30,66,48,47,81,14,49,15,25,69,80,14,48,46,29,65,30,47,30,15,26,15,26,66,26,47,29,46,25,65,48,14,2.0
24,34,68,43,58,79,47,11,26,70,34,60,45,48,82,13,46,13,25,69,81,13,45,49,35,59,35,50,36,14,26,14,26,60,26,50,35,49,25,59,45,13,1.0
24,38,68,42,54,77,50,13,26,70,38,56,43,50,80,15,44,15,25,69,79,15,43,51,39,55,39,52,40,16,26,16,26,56,26,52,39,51,25,55,43,15,1.0
24,32,68,46,62,79,44,11,26,70,33,63,48,47,82,13,49,14,25,69,81,13,48,46,32,62,33,47,33,14,26,14,26,63,26,47,32,46,25,62,48,13,1.0
23,38,69,53,54,79,39,13,25,71,40,56,55,41,81,15,55,15,24,70,80,14,54,40,39,55,40,41,40,15,25,15,25,56,25,41,39,40,24,55,54,14,2.0
21,34,71,54,58,76,38,16,23,73,35,60,55,39,78,17,56,17,22,72,77,17,55,39,35,59,35,40,36,18,23,18,23,60,23,40,35,39,22,59,55,17,2.0
21,36,71,49,54,82,41,10,23,73,37,57,51,42,84,11,52,11,22,72,83,11,51,43,38,56,38,44,39,12,23,12,23,57,23,44,38,43,22,56,51,11,2.0
24,35,68,39,57,76,53,16,26,70,36,59,40,54,78,17,41,17,25,69,77,17,40,54,36,58,36,55,37,18,26,18,26,59,26,55,36,54,25,58,40,17,2.0
17,34,75,60,58,71,30,19,19,77,35,60,61,32,74,20,63,21,18,76,73,21,62,32,35,59,35,33,36,22,19,22,19,60,19,33,35,32,18,59,62,21,1.0
13,41,79,53,49,80,37,12,14,81,42,51,56,38,82,14,56,14,14,80,81,13,55,39,43,51,44,39,44,14,15,14,14,52,15,40,43,39,14,51,55,13,2.0
6,48,86,62,42,80,30,14,7,88,51,44,64,32,81,15,64,15,7,87,80,14,63,31,50,44,51,32,51,15,8,15,8,45,8,32,50,31,7,44,63,14,2.0
17,33,73,63,55,71,27,19,19,76,37,58,64,30,74,20,66,22,19,75,73,21,65,29,36,58,37,30,37,22,20,22,20,59,20,30,36,29,19,58,65,21,2.0
17,36,75,53,58,75,37,17,19,77,37,59,55,40,77,18,56,19,18,76,76,18,55,39,36,58,37,40,37,19,19,19,19,59,19,40,36,39,18,58,55,18,1.0
21,32,71,49,62,79,41,13,23,73,33,63,51,44,81,14,52,15,22,72,80,14,51,43,32,62,33,44,33,15,23,15,23,63,23,44,32,43,22,62,51,14,2.0
17,31,75,65,59,75,25,17,18,77,33,61,67,27,77,18,68,19,18,76,76,18,67,27,33,61,34,27,34,19,19,19,18,62,19,28,33,27,18,61,67,18,2.0
24,32,68,47,60,72,43,18,26,70,33,62,49,45,75,20,50,20,25,69,74,20,49,45,33,61,33,46,34,21,26,21,26,62,26,46,33,45,25,61,49,20,1.0
24,29,68,42,65,81,46,9,26,70,30,66,45,50,84,11,46,12,25,69,83,11,45,49,29,65,30,50,30,12,26,12,26,66,26,50,29,49,25,65,45,11,1.0
24,32,68,48,62,79,42,13,26,70,32,63,50,44,81,14,51,15,25,69,80,14,50,44,32,62,33,45,33,15,26,15,26,63,26,45,32,44,25,62,50,14,2.0
24,38,68,52,54,75,40,17,26,70,40,56,53,42,77,18,54,19,25,69,76,18,53,41,39,55,40,42,40,19,26,19,26,56,26,42,39,41,25,55,53,18,2.0
23,37,69,56,53,71,34,19,23,71,39,54,58,36,74,21,59,21,24,70,73,21,58,35,38,55,39,36,40,21,25,22,24,56,24,37,39,36,24,55,58,21,2.0
24,35,68,51,57,75,39,15,26,70,35,59,53,40,78,17,54,17,25,69,77,17,53,41,36,58,36,42,37,18,26,18,26,59,26,42,36,41,25,58,53,17,1.0
24,35,68,43,57,78,47,12,26,70,35,59,45,48,81,14,46,14,25,69,80,14,45,49,36,58,36,50,37,15,26,15,26,59,26,50,36,49,25,58,45,14,1.0
21,32,71,50,62,79,42,13,23,73,33,63,51,44,81,14,52,15,22,72,80,14,51,43,32,62,33,44,33,15,23,15,23,63,23,44,32,43,22,62,51,14,2.0
24,35,68,47,57,79,45,13,26,70,37,59,48,47,81,14,49,15,25,69,80,14,48,46,36,58,37,47,37,15,26,15,26,59,26,47,36,46,25,58,48,14,2.0
24,34,68,39,58,79,53,11,26,70,35,60,40,54,82,13,41,13,25,69,81,13,40,54,35,59,35,55,36,14,26,14,26,60,26,55,35,54,25,59,40,13,1.0
24,34,68,41,58,82,51,8,26,70,34,60,42,51,85,10,43,10,25,69,84,10,42,52,35,59,35,53,36,11,26,11,26,60,26,53,35,52,25,59,42,10,1.0
28,31,66,44,61,78,46,12,29,67,32,63,46,48,81,14,47,14,28,66,80,14,46,48,32,62,32,49,33,15,29,15,29,63,29,49,32,48,28,62,46,14,1.0
28,31,66,42,61,83,50,9,29,67,32,63,43,51,85,10,44,10,28,66,84,10,43,51,32,62,32,52,33,11,29,11,29,63,29,52,32,51,28,62,43,10,1.0
24,35,68,44,57,77,46,13,26,70,36,59,46,48,80,15,47,15,25,69,79,15,46,48,36,58,36,49,37,16,26,16,26,59,26,49,36,48,25,58,46,15,1.0
24,34,68,39,58,82,53,8,26,70,35,60,40,54,85,10,41,10,25,69,84,10,40,54,35,59,35,55,36,11,26,11,26,60,26,55,35,54,25,59,40,10,1.0
28,35,66,42,57,88,50,4,29,67,36,59,43,51,90,5,44,5,28,66,89,5,43,51,36,58,36,52,37,6,29,6,29,59,29,52,36,51,28,58,43,5,1.0
24,31,68,42,61,74,48,16,26,70,32,63,44,50,77,18,45,18,25,69,76,18,44,50,32,62,32,51,33,19,26,19,26,63,26,51,32,50,25,62,44,18,1.0
20,41,72,53,51,75,39,17,22,74,42,53,55,40,77,19,55,19,21,73,76,18,54,40,42,52,43,41,43,19,22,19,22,53,22,41,42,40,21,52,54,18,1.0
28,31,66,38,61,79,54,11,29,67,32,63,39,55,82,13,40,13,28,66,81,13,39,55,32,62,32,56,33,14,29,14,29,63,29,56,32,55,28,62,39,13,1.0
23,29,69,52,65,76,38,16,25,71,30,66,53,41,78,16,55,18,24,70,77,17,54,40,29,65,30,41,30,18,25,18,25,66,25,41,29,40,24,65,54,17,2.0
28,31,66,43,61,83,47,9,29,67,32,63,45,49,85,10,46,10,28,66,84,10,45,49,32,62,32,50,33,11,29,11,29,63,29,50,32,49,28,62,45,10,1.0
28,32,66,46,62,82,44,10,29,67,33,63,48,47,84,11,49,12,28,66,83,11,48,46,32,62,33,47,33,12,29,12,29,63,29,47,32,46,28,62,48,11,2.0
21,34,71,53,58,75,39,17,23,73,36,60,53,41,77,17,55,19,22,72,76,18,54,40,35,59,36,41,36,19,23,19,23,60,23,41,35,40,22,59,54,18,2.0
20,35,70,48,57,75,42,15,22,73,36,58,51,44,78,18,51,18,22,72,77,17,50,44,36,58,37,45,37,18,23,18,23,59,23,45,36,44,22,58,50,17,2.0
9,46,83,69,44,72,25,20,10,85,49,46,69,26,74,21,70,22,10,84,73,21,69,25,48,46,49,26,49,22,11,22,11,47,11,26,48,25,10,46,69,21,1.0
19,41,71,59,47,75,31,17,21,74,45,50,60,34,77,17,62,19,21,73,76,18,61,33,44,50,45,34,45,19,22,19,22,51,22,34,44,33,21,50,61,18,1.0
28,31,66,38,61,83,54,9,29,67,32,63,39,55,85,10,40,10,28,66,84,10,39,55,32,62,32,56,33,11,29,11,29,63,29,56,32,55,28,62,39,10,1.0
23,32,69,41,62,79,49,13,25,71,33,63,43,52,81,14,44,15,24,70,80,14,43,51,32,62,33,52,33,15,25,15,25,63,25,52,32,51,24,62,43,14,2.0
21,32,71,52,62,79,40,13,23,73,32,63,53,41,81,14,54,15,22,72,80,14,53,41,32,62,33,42,33,15,23,15,23,63,23,42,32,41,22,62,53,14,2.0
12,48,78,64,42,76,26,18,14,81,49,44,67,27,77,19,67,19,14,80,76,18,66,28,50,44,51,28,51,19,15,19,14,45,15,29,50,28,14,44,66,18,2.0
9,34,83,72,54,76,20,16,10,85,37,57,72,21,78,16,74,17,10,84,77,17,73,21,37,57,37,21,38,17,11,18,10,58,10,22,37,21,10,57,73,17,2.0
24,34,68,54,58,76,36,16,26,70,35,60,56,38,78,17,57,17,25,69,77,17,56,38,35,59,35,39,36,18,26,18,26,60,26,39,35,38,25,59,56,17,2.0
28,29,66,38,65,82,54,8,29,67,30,66,39,56,85,10,40,11,28,66,84,10,39,55,29,65,30,56,30,11,29,11,29,66,29,56,29,55,28,65,39,10,1.0
17,45,75,57,45,78,35,14,18,77,47,47,59,36,80,16,59,16,18,76,79,15,58,36,47,47,48,37,48,16,19,16,19,48,19,37,47,36,18,47,58,15,1.0
23,32,69,48,62,79,42,13,25,71,32,63,50,44,81,14,51,15,24,70,80,14,50,44,32,62,33,45,33,15,25,15,25,63,25,45,32,44,24,62,50,14,2.0
21,31,71,47,61,76,43,14,23,73,32,63,49,45,79,16,50,16,22,72,78,16,49,45,32,62,32,46,33,17,23,17,23,63,23,46,32,45,22,62,49,16,1.0
23,29,69,60,61,76,28,16,23,71,30,62,63,30,78,17,64,18,24,70,77,17,63,31,31,63,32,30,32,18,25,18,23,64,25,32,31,31,24,63,63,17,2.0
23,32,69,44,62,79,46,13,25,71,32,63,46,48,81,14,47,15,24,70,80,14,46,48,32,62,33,49,33,15,25,15,25,63,25,49,32,48,24,62,46,14,2.0
28,31,66,42,61,88,50,4,29,67,32,63,43,51,90,5,44,5,28,66,89,5,43,51,32,62,32,52,33,6,29,6,29,63,29,52,32,51,28,62,43,5,1.0
24,31,68,51,61,75,39,15,26,70,32,63,53,41,78,17,54,17,25,69,77,17,53,41,32,62,32,42,33,18,26,18,26,63,26,42,32,41,25,62,53,17,1.0
17,31,75,58,59,75,32,17,18,77,34,61,60,35,77,18,61,19,18,76,76,18,60,34,33,61,34,35,34,19,19,19,19,62,19,35,33,34,18,61,60,18,1.0
28,31,66,38,61,91,54,3,29,67,32,63,39,55,92,3,40,3,28,66,91,3,39,55,32,62,32,56,33,4,29,4,29,63,29,56,32,55,28,62,39,3,1.0
24,31,68,52,61,72,36,18,26,70,32,63,55,39,75,20,56,20,25,69,74,20,55,39,32,62,32,40,33,21,26,21,26,63,26,40,32,39,25,62,55,20,1.0
24,32,68,48,62,79,42,13,26,70,32,63,50,44,81,14,51,15,25,69,80,14,50,44,32,62,33,45,33,15,26,15,26,63,26,45,32,44,25,62,50,14,2.0
9,43,83,72,47,80,20,14,10,85,45,49,74,21,81,15,74,15,10,84,80,14,73,21,45,49,46,21,46,15,11,15,10,50,11,22,45,21,10,49,73,14,2.0
21,31,71,54,61,76,34,16,23,73,32,63,57,37,78,17,58,17,22,72,77,17,57,37,32,62,32,38,33,18,23,18,23,63,23,38,32,37,22,62,57,17,2.0
25,32,67,50,62,79,42,13,27,69,33,63,51,44,81,14,52,15,26,68,80,14,51,43,32,62,33,44,33,15,27,15,27,63,27,44,32,43,26,62,51,14,2.0
24,31,68,45,61,71,45,19,26,70,32,63,47,47,74,21,48,21,25,69,73,21,47,47,32,62,32,48,33,22,26,22,26,63,26,48,32,47,25,62,47,21,1.0
20,37,72,54,53,75,38,17,22,74,40,56,56,40,77,19,56,19,21,73,76,18,55,39,39,55,40,40,40,19,22,19,22,56,22,40,39,39,21,55,55,18,1.0
24,35,68,50,55,78,42,12,26,70,37,58,50,43,81,13,52,14,25,69,80,14,51,43,37,57,37,44,38,15,26,15,26,58,26,44,37,43,25,57,51,14,2.0
23,32,69,49,62,79,41,13,25,71,33,63,51,44,81,14,52,15,24,70,80,14,51,43,32,62,33,44,33,15,25,15,25,63,25,44,32,43,24,62,51,14,2.0
24,32,68,50,62,79,42,13,26,70,33,63,51,44,81,14,52,15,25,69,80,14,51,43,32,62,33,44,33,15,26,15,26,63,26,44,32,43,25,62,51,14,2.0
16,38,74,61,52,80,31,14,18,77,41,54,63,33,81,15,63,15,18,76,80,14,62,32,40,54,41,33,41,15,19,15,19,55,19,33,40,32,18,54,62,14,2.0
17,30,75,57,60,80,33,14,17,77,32,61,60,35,81,15,60,15,18,76,80,14,59,35,32,62,33,35,33,15,19,15,18,63,19,36,32,35,18,62,59,14,2.0
24,34,68,41,58,78,49,12,26,70,35,60,43,51,81,14,44,14,25,69,80,14,43,51,35,59,35,52,36,15,26,15,26,60,26,52,35,51,25,59,43,14,1.0
24,34,68,49,58,74,43,16,26,70,34,60,50,43,77,18,51,18,25,69,76,18,50,44,35,59,35,45,36,19,26,19,26,60,26,45,35,44,25,59,50,18,2.0
20,38,72,54,54,75,36,15,22,74,40,56,56,39,78,17,57,18,21,73,77,17,56,38,39,55,40,39,40,18,22,18,22,56,22,39,39,38,21,55,56,17,1.0
27,32,65,53,62,78,39,14,28,67,33,62,54,41,80,15,55,16,28,66,79,15,54,40,32,62,33,41,33,16,29,16,29,63,29,41,32,40,28,62,54,15,2.0
22,37,68,48,55,79,42,11,25,71,38,57,50,44,82,13,51,14,24,70,81,13,50,44,38,56,39,45,39,14,25,14,25,57,25,45,38,44,24,56,50,13,2.0
14,45,76,61,45,76,31,16,16,79,48,47,62,33,78,17,63,18,16,78,77,17,62,32,47,47,48,33,48,18,17,18,17,48,17,33,47,32,16,47,62,17,1.0
25,34,67,51,58,79,39,13,27,69,34,60,53,40,81,14,54,14,26,68,80,14,53,41,35,59,35,42,36,15,27,15,27,60,27,42,35,41,26,59,53,14,2.0
15,39,75,61,49,78,31,14,16,78,43,51,63,33,80,16,63,16,17,77,79,15,62,32,42,52,43,33,43,16,18,16,18,53,18,33,42,32,17,52,62,15,1.0
24,34,68,50,58,76,40,16,26,70,35,60,52,42,78,17,53,17,25,69,77,17,52,42,35,59,35,43,36,18,26,18,26,60,26,43,35,42,25,59,52,17,2.0
24,29,68,52,65,78,40,12,26,70,30,66,53,42,81,14,54,15,25,69,80,14,53,41,29,65,30,42,30,15,26,15,26,66,26,42,29,41,25,65,53,14,2.0
